	Saccharomyces_cerevisiae	yHMPu5000035242_Zygoascus_ofunaensis
OG0002285	YLR193C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.87-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.87&CDS=1-567
OG0002286	YLR195C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.3-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.3&CDS=1-1407
OG0002287	YLR196W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.2-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.2&CDS=1-1686
OG0002288	YLR197W	genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-1.86-mRNA-1_1&gene=genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-1.86&CDS=1-1530
OG0002289	YLR200W	genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-1.87-mRNA-1_1&gene=genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-1.87&CDS=1-369
OG0002290	YLR203C	augustus_masked-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-3.85&CDS=1-1206
OG0002291	YLR207W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-1.0-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-1.0&CDS=1-2883
OG0002292	YLR208W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-1.1-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-1.1&CDS=1-897
OG0002293	YLR209C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-1.4-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-1.4&CDS=1-921
OG0002294	YLR215C	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-3.132-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-3.132&CDS=1-1077
OG0002295	YLR216C	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-3.112-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-3.112&CDS=1-1098
OG0002296	YLR218C	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-5.82-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-5.82&CDS=1-228
OG0002297	YLR220W	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-6.25-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-6.25&CDS=1-906
OG0002298	YLR221C	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-6.91-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-6.91&CDS=1-486
OG0002299	YLR222C	genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-4.135-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-4.135&CDS=1-2289
OG0002300	YLR229C	snap_masked-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-1.119-mRNA-1_1&gene=snap_masked-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-1.119&CDS=1-543
OG0002301	YLR231C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.5-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.5&CDS=1-1347
OG0002302	YLR234W	augustus_masked-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-2.184-mRNA-1_1&gene=augustus_masked-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-2.184&CDS=1-1893
OG0002303	YLR239C	genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-1.119-mRNA-1_1&gene=genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-1.119&CDS=1-780
OG0002304	YLR240W	genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-1.121-mRNA-1_1&gene=genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-1.121&CDS=1-2466
OG0002305	YLR241W	genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-2.78-mRNA-1_1&gene=genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-2.78&CDS=1-2697
OG0002306	YLR242C	augustus_masked-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-2.157-mRNA-1_1&gene=augustus_masked-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-2.157&CDS=1-1371
OG0002307	YLR243W	augustus_masked-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-1.136&CDS=1-2922
OG0002308	YLR244C	genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-1.112-mRNA-1_1&gene=genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-1.112&CDS=1-1107
OG0002309	YLR245C	genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-1.115-mRNA-1_1&gene=genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-1.115&CDS=1-417
OG0002310	YLR246W	maker-NODE_2_length_1600885_cov_16.5161_ID_3305-snap-gene-1.127-mRNA-1_1&gene=maker-NODE_2_length_1600885_cov_16.5161_ID_3305-snap-gene-1.127&CDS=1-936
OG0002311	YLR251W	genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.55-mRNA-1_1&gene=genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.55&CDS=1-633
OG0002312	YLR253W	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-9.25-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-9.25&CDS=1-1683
OG0002313	YLR258W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-3.30-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-3.30&CDS=1-2061
OG0002314	YLR259C	maker-NODE_1_length_1859704_cov_17.1121_ID_3507-snap-gene-15.53-mRNA-1_1&gene=maker-NODE_1_length_1859704_cov_17.1121_ID_3507-snap-gene-15.53&CDS=1-2085
OG0002315	YLR262C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-8.33-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-8.33&CDS=1-609
OG0002316	YLR262C-A	snap_masked-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-1.44-mRNA-1_1&gene=snap_masked-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-1.44&CDS=1-180
OG0002317	YLR268W	snap_masked-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-5.35-mRNA-1_1&gene=snap_masked-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-5.35&CDS=1-645
OG0002318	YLR272C	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-6.109-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-6.109&CDS=1-3585
OG0002319	YLR274W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-12.10-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-12.10&CDS=1-2160
OG0002320	YLR275W	maker-NODE_8_length_713415_cov_14.5623_ID_3973-augustus-gene-3.0-mRNA-1_1&gene=maker-NODE_8_length_713415_cov_14.5623_ID_3973-augustus-gene-3.0&CDS=1-354
OG0002321	YLR276C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.74-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.74&CDS=1-1767
OG0002322	YLR277C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-12.39-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-12.39&CDS=1-2247
OG0002323	YLR278C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-12.14-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-12.14&CDS=1-2751
OG0002324	YLR281C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-12.12-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-12.12&CDS=1-498
OG0002325	YLR283W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-12.28-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-12.28&CDS=1-1350
OG0002326	YLR285W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-1.9-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-1.9&CDS=1-768
OG0002327	YLR289W	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-3.124-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-3.124&CDS=1-2040
OG0002328	YLR290C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.53-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.53&CDS=1-831
OG0002329	YLR291C	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-3.151-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-3.151&CDS=1-1146
OG0002330	YLR293C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-0.56-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-0.56&CDS=1-648
OG0002331	YLR295C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-2.24-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-2.24&CDS=1-336
OG0002332	YLR298C	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-0.2&CDS=1-369
OG0002333	YLR299W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-1.17-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-1.17&CDS=1-1914
OG0002334	YLR303W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-7.92-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-7.92&CDS=1-1290
OG0002335	YLR304C	genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-1.71-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-1.71&CDS=1-2328
OG0002336	YLR305C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.62-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.62&CDS=1-5877
OG0002337	YLR306W	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-3.49-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-3.49&CDS=1-594
OG0002338	YLR309C	snap_masked-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-8.158-mRNA-1_1&gene=snap_masked-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-8.158&CDS=1-3111
OG0002339	YLR312W-A	genemark-NODE_13_length_249367_cov_20.4516_ID_4175-processed-gene-1.103-mRNA-1_1&gene=genemark-NODE_13_length_249367_cov_20.4516_ID_4175-processed-gene-1.103&CDS=1-729
OG0002340	YLR316C	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-9.56-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-9.56&CDS=1-1062
OG0002341	YLR318W	snap_masked-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-9.127-mRNA-1_1&gene=snap_masked-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-9.127&CDS=1-3132
OG0002342	YLR319C	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-9.58-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-9.58&CDS=1-2979
OG0002343	YLR321C	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-9.62-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-9.62&CDS=1-1137
OG0002344	YLR323C	genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-0.71&CDS=1-927
OG0002345	YLR324W	genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-0.55-mRNA-1_1&gene=genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-0.55&CDS=1-1362
OG0002346	YLR325C	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-0.87&CDS=1-207
OG0002347	YLR326W	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-4.60-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-4.60&CDS=1-1032
OG0002348	YLR330W	maker-NODE_1_length_1859704_cov_17.1121_ID_3507-snap-gene-17.87-mRNA-1_1&gene=maker-NODE_1_length_1859704_cov_17.1121_ID_3507-snap-gene-17.87&CDS=1-1887
OG0002349	YLR336C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-4.105-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-4.105&CDS=1-2790
OG0002350	YLR337C	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-8.62-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-8.62&CDS=1-1821
OG0002351	YLR340W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-7.96-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-7.96&CDS=1-939
OG0002352	YLR342W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-4.93-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-4.93&CDS=1-5856
OG0002353	YLR345W	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-5.89-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-5.89&CDS=1-2040
OG0002354	YLR347C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-2.16-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-2.16&CDS=1-2601
OG0002355	YLR348C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-3.28-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-3.28&CDS=1-888
OG0002356	YLR351C	genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-4.126-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-4.126&CDS=1-864
OG0002357	YLR352W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-11.86-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-11.86&CDS=1-1953
OG0002358	YLR354C	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-6.74-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-6.74&CDS=1-975
OG0002359	YLR355C	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-3.23-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-3.23&CDS=1-1212
OG0002360	YLR359W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-14.155-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-14.155&CDS=1-1443
OG0002361	YLR361C	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-8.6-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-8.6&CDS=1-1704
OG0002362	YLR363W-A	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-10.37-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-10.37&CDS=1-276
OG0002363	YLR370C	augustus_masked-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-5.58-mRNA-1_1&gene=augustus_masked-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-5.58&CDS=1-528
OG0002364	YLR377C	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-2.111-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-2.111&CDS=1-1026
OG0002365	YLR378C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-1.7-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-1.7&CDS=1-1407
OG0002366	YLR380W	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-2.139-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-2.139&CDS=1-1308
OG0002367	YLR382C	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-2.121-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-2.121&CDS=1-2706
OG0002368	YLR383W	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-2.136-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-2.136&CDS=1-3276
OG0002369	YLR384C	genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-2.105-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-2.105&CDS=1-3819
OG0002370	YLR386W	maker-NODE_24_length_47979_cov_17.207_ID_4989-snap-gene-0.41-mRNA-1_1&gene=maker-NODE_24_length_47979_cov_17.207_ID_4989-snap-gene-0.41&CDS=1-2988
OG0002371	YLR389C	maker-NODE_1_length_1859704_cov_17.1121_ID_3507-augustus-gene-5.2-mRNA-1_1&gene=maker-NODE_1_length_1859704_cov_17.1121_ID_3507-augustus-gene-5.2&CDS=1-3873
OG0002372	YLR390W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-9.72-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-9.72&CDS=1-225
OG0002373	YLR393W	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-1.12-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-1.12&CDS=1-825
OG0002374	YLR395C	genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-3.114-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-3.114&CDS=1-234
OG0002375	YLR396C	genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-2.125-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-2.125&CDS=1-2070
OG0002376	YLR397C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-14.4-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-14.4&CDS=1-2343
OG0002377	YLR398C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-12.81-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-12.81&CDS=1-3942
OG0002378	YLR399C	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-1.76-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-1.76&CDS=1-2658
OG0002379	YLR401C	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-4.141-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-4.141&CDS=1-1839
OG0002380	YLR403W	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-6.26-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-6.26&CDS=1-996
OG0002381	YLR405W	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-4.123-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-4.123&CDS=1-1059
OG0002382	YLR407W	snap_masked-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-5.26-mRNA-1_1&gene=snap_masked-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-5.26&CDS=1-1110
OG0002383	YLR409C	genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-6.130-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-6.130&CDS=1-2781
OG0002384	YLR410W	genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-6.128-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-6.128&CDS=1-2976
OG0002385	YLR411W	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-4.151-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-4.151&CDS=1-894
OG0002386	YLR414C	augustus_masked-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-3.20&CDS=1-864
OG0002387	YLR417W	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-1.38-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-1.38&CDS=1-1683
OG0002388	YLR418C	augustus_masked-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-6.94&CDS=1-1893
OG0002389	YLR420W	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-6.53-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-6.53&CDS=1-1050
OG0002390	YLR422W	maker-NODE_5_length_961671_cov_15.7982_ID_15482-augustus-gene-5.46-mRNA-1_1&gene=maker-NODE_5_length_961671_cov_15.7982_ID_15482-augustus-gene-5.46&CDS=1-6483
OG0002391	YLR423C	genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-6.144-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-6.144&CDS=1-1260
OG0002392	YLR424W	augustus_masked-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-6.115-mRNA-1_1&gene=augustus_masked-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-6.115&CDS=1-2274
OG0002393	YLR425W	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-0.20&CDS=1-4893
OG0002394	YLR427W	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-0.18&CDS=1-1905
OG0002395	YLR429W	maker-NODE_6_length_944837_cov_16.9478_ID_3814-augustus-gene-0.121-mRNA-1_1&gene=maker-NODE_6_length_944837_cov_16.9478_ID_3814-augustus-gene-0.121&CDS=1-1827
OG0002396	YLR430W	genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-6.148-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-6.148&CDS=1-6474
OG0002397	YLR433C	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-4.144-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-4.144&CDS=1-1914
OG0002398	YLR435W	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-4.123-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-4.123&CDS=1-573
OG0002399	YLR438C-A	genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-4.160-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-4.160&CDS=1-270
OG0002400	YLR438W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-15.97-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-15.97&CDS=1-1281
OG0002401	YLR439W	genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-4.159-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-4.159&CDS=1-912
OG0002402	YLR440C	snap_masked-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-4.42-mRNA-1_1&gene=snap_masked-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-4.42&CDS=1-2121
OG0002403	YLR441C	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-0.70-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-0.70&CDS=1-768
OG0002404	YLR447C	genemark-NODE_13_length_249367_cov_20.4516_ID_4175-processed-gene-1.125-mRNA-1_1&gene=genemark-NODE_13_length_249367_cov_20.4516_ID_4175-processed-gene-1.125&CDS=1-1032
OG0002405	YLR451W	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-1.62-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-1.62&CDS=1-2367
OG0002406	YLR452C	augustus_masked-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-1.33&CDS=1-1980
OG0002407	YLR454W	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-5.89-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-5.89&CDS=1-9780
OG0002408	YLR459W	maker-NODE_16_length_108370_cov_23.3074_ID_4316-snap-gene-0.144-mRNA-1_1&gene=maker-NODE_16_length_108370_cov_23.3074_ID_4316-snap-gene-0.144&CDS=1-1506
