	Nakaseomyces_bacillisporus	Saccharomyces_cerevisiae
OG0003292	augustus_masked-NABA0S32-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.115&CDS=1-1434	YFL026W
OG0003293	snap_masked-NABA0S32-processed-gene-2.52-mRNA-1_1&gene=snap_masked-NABA0S32-processed-gene-2.52&CDS=1-1344	YFL027C
OG0003294	augustus_masked-NABA0S32-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.102&CDS=1-873	YFL028C
OG0003295	augustus_masked-NABA0S32-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.103&CDS=1-1092	YFL029C
OG0003296	genemark-NABA0S32-processed-gene-2.25-mRNA-1_1&gene=genemark-NABA0S32-processed-gene-2.25&CDS=1-1185	YFL030W
OG0003297	augustus_masked-NABA0S32-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.118&CDS=1-1230	YFL031W
OG0003298	snap_masked-NABA0S32-processed-gene-2.56-mRNA-1_1&gene=snap_masked-NABA0S32-processed-gene-2.56&CDS=1-714	YFR008W
OG0003299	augustus_masked-NABA0S32-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.105&CDS=1-960	YGL166W
OG0003300	augustus_masked-NABA0S32-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.119&CDS=1-1275	YGL164C
OG0003301	maker-NABA0S32-snap-gene-2.90-mRNA-1_1&gene=maker-NABA0S32-snap-gene-2.90&CDS=1-2745	YGL163C
OG0003302	augustus_masked-NABA0S32-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.121&CDS=1-963	YGL161C
OG0003303	augustus_masked-NABA0S32-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.107&CDS=1-1269	YGL169W
OG0003304	augustus_masked-NABA0S32-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.124&CDS=1-4197	YBR081C
OG0003305	genemark-NABA0S32-processed-gene-2.33-mRNA-1_1&gene=genemark-NABA0S32-processed-gene-2.33&CDS=1-3114	YOR048C
OG0003306	genemark-NABA0S32-processed-gene-2.34-mRNA-1_1&gene=genemark-NABA0S32-processed-gene-2.34&CDS=1-1140	YOR049C
OG0003307	augustus_masked-NABA0S32-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.127&CDS=1-1248	YOR051C
OG0003308	augustus_masked-NABA0S32-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.128&CDS=1-924	YKR071C
OG0003309	augustus_masked-NABA0S32-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.109&CDS=1-1170	YOR057W
OG0003310	augustus_masked-NABA0S32-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.130&CDS=1-2748	YOR058C
OG0003311	genemark-NABA0S32-processed-gene-2.40-mRNA-1_1&gene=genemark-NABA0S32-processed-gene-2.40&CDS=1-1383	YOR059C
OG0003312	genemark-NABA0S32-processed-gene-2.41-mRNA-1_1&gene=genemark-NABA0S32-processed-gene-2.41&CDS=1-810	YOR060C
OG0003313	augustus_masked-NABA0S32-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.6&CDS=1-762	YHL044W
OG0003314	snap_masked-NABA0S32-processed-gene-3.165-mRNA-1_1&gene=snap_masked-NABA0S32-processed-gene-3.165&CDS=1-867	YOR065W
OG0003315	snap_masked-NABA0S32-processed-gene-3.166-mRNA-1_1&gene=snap_masked-NABA0S32-processed-gene-3.166&CDS=1-1854	YOR066W
OG0003316	augustus_masked-NABA0S32-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.9&CDS=1-1749	YOR067C
OG0003317	augustus_masked-NABA0S32-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.10&CDS=1-2034	YOR069W
OG0003318	augustus_masked-NABA0S32-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.44&CDS=1-1749	YOR070C
OG0003319	augustus_masked-NABA0S32-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.45&CDS=1-1014	YKR081C
OG0003320	augustus_masked-NABA0S32-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.11&CDS=1-1101	YOR073W
OG0003321	augustus_masked-NABA0S32-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.46&CDS=1-906	YOR074C
OG0003322	augustus_masked-NABA0S32-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.12&CDS=1-927	YOR075W
OG0003323	augustus_masked-NABA0S32-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.13&CDS=1-759	YOR077W
OG0003324	augustus_masked-NABA0S32-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.14&CDS=1-618	YOR078W
OG0003325	augustus_masked-NABA0S32-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.48&CDS=1-843	YOR079C
OG0003326	augustus_masked-NABA0S32-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.15&CDS=1-2124	YOR080W
OG0003327	augustus_masked-NABA0S32-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.17&CDS=1-1461	YOR083W
OG0003328	augustus_masked-NABA0S32-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.18&CDS=1-1143	YOR084W
OG0003329	augustus_masked-NABA0S32-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.19&CDS=1-1038	YOR085W
OG0003330	augustus_masked-NABA0S32-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.50&CDS=1-3594	YOR086C
OG0003331	augustus_masked-NABA0S32-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.20&CDS=1-1971	YOR087W
OG0003332	augustus_masked-NABA0S32-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.51&CDS=1-636	YOR089C
OG0003333	augustus_masked-NABA0S32-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.52&CDS=1-1665	YOR090C
OG0003334	augustus_masked-NABA0S32-processed-gene-3.53-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.53&CDS=1-6159	YOR093C
OG0003335	augustus_masked-NABA0S32-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.23&CDS=1-2721	YJR117W
OG0003336	augustus_masked-NABA0S32-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.24&CDS=1-1575	YER021W
OG0003337	augustus_masked-NABA0S32-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.25&CDS=1-2055	YER022W
OG0003338	snap_masked-NABA0S32-processed-gene-3.185-mRNA-1_1&gene=snap_masked-NABA0S32-processed-gene-3.185&CDS=1-852	YER023W
OG0003339	snap_masked-NABA0S32-processed-gene-3.186-mRNA-1_1&gene=snap_masked-NABA0S32-processed-gene-3.186&CDS=1-2772	YER024W
OG0003340	augustus_masked-NABA0S32-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.54&CDS=1-2028	YPR161C
OG0003341	augustus_masked-NABA0S32-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.55&CDS=1-1644	YPR162C
OG0003342	augustus_masked-NABA0S32-processed-gene-3.56-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.56&CDS=1-1356	YPR163C
OG0003343	snap_masked-NABA0S32-processed-gene-3.189-mRNA-1_1&gene=snap_masked-NABA0S32-processed-gene-3.189&CDS=1-633	YPR165W
OG0003344	genemark-NABA0S32-processed-gene-3.144-mRNA-1_1&gene=genemark-NABA0S32-processed-gene-3.144&CDS=1-345	YPR166C
OG0003345	snap_masked-NABA0S32-processed-gene-3.190-mRNA-1_1&gene=snap_masked-NABA0S32-processed-gene-3.190&CDS=1-507	YPR168W
OG0003346	augustus_masked-NABA0S32-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.28&CDS=1-1599	YPR169W
OG0003347	augustus_masked-NABA0S32-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.59&CDS=1-1029	YFR025C
OG0003348	augustus_masked-NABA0S32-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.30&CDS=1-795	YFR027W
OG0003349	augustus_masked-NABA0S32-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.60&CDS=1-1668	YFR028C
OG0003350	augustus_masked-NABA0S32-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.61&CDS=1-1836	YNL125C
OG0003351	maker-NABA0S32-augustus-gene-3.78-mRNA-1_1&gene=maker-NABA0S32-augustus-gene-3.78&CDS=1-2712	YFR029W
OG0003352	augustus_masked-NABA0S32-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.62&CDS=1-387	YBR258C
OG0003353	augustus_masked-NABA0S32-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.63&CDS=1-2286	YBR260C
OG0003354	augustus_masked-NABA0S32-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.64&CDS=1-708	YBR261C
OG0003355	augustus_masked-NABA0S32-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.65&CDS=1-630	YBR264C
OG0003356	maker-NABA0S32-augustus-gene-3.79-mRNA-1_1&gene=maker-NABA0S32-augustus-gene-3.79&CDS=1-1212	YBR265W
OG0003357	augustus_masked-NABA0S32-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.66&CDS=1-2136	YBR270C
OG0003358	augustus_masked-NABA0S32-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.35&CDS=1-1188	YBR271W
OG0003359	augustus_masked-NABA0S32-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.67&CDS=1-1440	YBR272C
OG0003360	augustus_masked-NABA0S32-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.68&CDS=1-1332	YBR273C
OG0003361	augustus_masked-NABA0S32-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.36&CDS=1-1557	YBR274W
OG0003362	augustus_masked-NABA0S32-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.69&CDS=1-4305	YBR275C
OG0003363	augustus_masked-NABA0S32-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.70&CDS=1-2301	YBR276C
OG0003364	snap_masked-NABA0S32-processed-gene-3.199-mRNA-1_1&gene=snap_masked-NABA0S32-processed-gene-3.199&CDS=1-753	YBR278W
OG0003365	genemark-NABA0S32-processed-gene-3.122-mRNA-1_1&gene=genemark-NABA0S32-processed-gene-3.122&CDS=1-1359	YBR279W
OG0003366	genemark-NABA0S32-processed-gene-3.160-mRNA-1_1&gene=genemark-NABA0S32-processed-gene-3.160&CDS=1-1788	YBR280C
OG0003367	genemark-NABA0S32-processed-gene-3.161-mRNA-1_1&gene=genemark-NABA0S32-processed-gene-3.161&CDS=1-2631	YBR281C
OG0003368	augustus_masked-NABA0S32-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.38&CDS=1-435	YBR282W
OG0003369	augustus_masked-NABA0S32-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.72&CDS=1-1470	YBR283C
OG0003370	augustus_masked-NABA0S32-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.73&CDS=1-2241	YAL053W
OG0003371	maker-NABA0S32-augustus-gene-3.80-mRNA-1_1&gene=maker-NABA0S32-augustus-gene-3.80&CDS=1-1770	YAL060W
OG0003372	augustus_masked-NABA0S34-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.0&CDS=1-1500	YJR129C
OG0003373	augustus_masked-NABA0S34-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.2&CDS=1-2298	YJR126C
OG0003374	augustus_masked-NABA0S34-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.3&CDS=1-1035	YLR447C
OG0003375	snap_masked-NABA0S34-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NABA0S34-processed-gene-0.87&CDS=1-1521	YLR446W
OG0003376	maker-NABA0S34-augustus-gene-0.100-mRNA-1_1&gene=maker-NABA0S34-augustus-gene-0.100&CDS=1-528	YLR445W
OG0003377	augustus_masked-NABA0S34-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.21&CDS=1-1311	YLR443W
OG0003378	snap_masked-NABA0S34-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NABA0S34-processed-gene-0.75&CDS=1-2199	YLR440C
OG0003379	genemark-NABA0S34-processed-gene-0.54-mRNA-1_1&gene=genemark-NABA0S34-processed-gene-0.54&CDS=1-1026	YLR439W
OG0003380	augustus_masked-NABA0S34-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.8&CDS=1-261	YLR438C-A
OG0003381	augustus_masked-NABA0S34-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.23&CDS=1-1284	YLR438W
OG0003382	snap_masked-NABA0S34-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NABA0S34-processed-gene-0.78&CDS=1-3819	YLR436C
OG0003383	augustus_masked-NABA0S34-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.24&CDS=1-591	YLR435W
OG0003384	augustus_masked-NABA0S34-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.10&CDS=1-1308	YLR431C
OG0003385	augustus_masked-NABA0S34-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.25&CDS=1-12768	YLR430W
OG0003386	augustus_masked-NABA0S34-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.11&CDS=1-936	YKL195W
OG0003387	augustus_masked-NABA0S34-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.26&CDS=1-1944	YLR424W
OG0003388	augustus_masked-NABA0S34-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.12&CDS=1-1233	YLR423C
OG0003389	augustus_masked-NABA0S34-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.27&CDS=1-5691	YLR422W
OG0003390	augustus_masked-NABA0S34-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.13&CDS=1-468	YLR421C
OG0003391	augustus_masked-NABA0S34-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.28&CDS=1-1095	YLR420W
OG0003392	genemark-NABA0S34-processed-gene-0.62-mRNA-1_1&gene=genemark-NABA0S34-processed-gene-0.62&CDS=1-4338	YLR419W
OG0003393	augustus_masked-NABA0S34-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.14&CDS=1-1218	YLR418C
OG0003394	augustus_masked-NABA0S34-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.30&CDS=1-1569	YLR417W
OG0003395	augustus_masked-NABA0S34-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-0.15&CDS=1-804	YLR414C
OG0003396	snap_masked-NABA0S34-processed-gene-1.41-mRNA-1_1&gene=snap_masked-NABA0S34-processed-gene-1.41&CDS=1-831	YLR412W
OG0003397	augustus_masked-NABA0S34-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.3&CDS=1-3558	YLR410W
OG0003398	augustus_masked-NABA0S34-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.0&CDS=1-2817	YLR409C
OG0003399	augustus_masked-NABA0S34-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.1&CDS=1-315	YLR408C
OG0003400	snap_masked-NABA0S34-processed-gene-1.43-mRNA-1_1&gene=snap_masked-NABA0S34-processed-gene-1.43&CDS=1-792	YLR407W
OG0003401	augustus_masked-NABA0S34-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.5&CDS=1-1074	YLR405W
OG0003402	snap_masked-NABA0S34-processed-gene-1.62-mRNA-1_1&gene=snap_masked-NABA0S34-processed-gene-1.62&CDS=1-879	YLR404W
OG0003403	augustus_masked-NABA0S34-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.6&CDS=1-1959	YLR401C
OG0003404	augustus_masked-NABA0S34-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.7&CDS=1-2109	YLR399C
OG0003405	augustus_masked-NABA0S34-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.8&CDS=1-3876	YLR398C
OG0003406	augustus_masked-NABA0S34-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.9&CDS=1-2325	YLR397C
OG0003407	augustus_masked-NABA0S34-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.11&CDS=1-1917	YCR072C
OG0003408	genemark-NABA0S34-processed-gene-1.106-mRNA-1_1&gene=genemark-NABA0S34-processed-gene-1.106&CDS=1-999	YCR069W
OG0003409	genemark-NABA0S34-processed-gene-1.107-mRNA-1_1&gene=genemark-NABA0S34-processed-gene-1.107&CDS=1-783	YCR068W
OG0003410	snap_masked-NABA0S34-processed-gene-1.52-mRNA-1_1&gene=snap_masked-NABA0S34-processed-gene-1.52&CDS=1-1767	YNR026C
OG0003411	augustus_masked-NABA0S34-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.26&CDS=1-1449	YCR066W
OG0003412	genemark-NABA0S34-processed-gene-1.109-mRNA-1_1&gene=genemark-NABA0S34-processed-gene-1.109&CDS=1-1644	YCR065W
OG0003413	genemark-NABA0S34-processed-gene-1.110-mRNA-1_1&gene=genemark-NABA0S34-processed-gene-1.110&CDS=1-471	YCR063W
OG0003414	augustus_masked-NABA0S34-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.28&CDS=1-1899	YCR061W
OG0003415	augustus_masked-NABA0S34-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.13&CDS=1-804	YCR059C
OG0003416	augustus_masked-NABA0S34-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.14&CDS=1-2760	YCR057C
OG0003417	augustus_masked-NABA0S34-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.15&CDS=1-1611	YCR054C
OG0003418	augustus_masked-NABA0S34-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.29&CDS=1-1539	YCR053W
OG0003419	genemark-NABA0S34-processed-gene-1.114-mRNA-1_1&gene=genemark-NABA0S34-processed-gene-1.114&CDS=1-1221	YNR021W
OG0003420	augustus_masked-NABA0S34-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.31&CDS=1-624	YCR051W
OG0003421	augustus_masked-NABA0S34-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.16&CDS=1-840	YCR047C
OG0003422	genemark-NABA0S34-processed-gene-1.98-mRNA-1_1&gene=genemark-NABA0S34-processed-gene-1.98&CDS=1-555	YCR046C
OG0003423	genemark-NABA0S34-processed-gene-1.99-mRNA-1_1&gene=genemark-NABA0S34-processed-gene-1.99&CDS=1-1359	YCR045C
OG0003424	augustus_masked-NABA0S34-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.18&CDS=1-6696	YNR016C
OG0003425	augustus_masked-NABA0S34-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.20&CDS=1-1185	YMR204C
OG0003426	augustus_masked-NABA0S34-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.33&CDS=1-1167	YMR203W
OG0003427	augustus_masked-NABA0S34-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.34&CDS=1-672	YMR202W
OG0003428	augustus_masked-NABA0S34-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.21&CDS=1-1059	YMR201C
OG0003429	augustus_masked-NABA0S34-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.35&CDS=1-765	YMR200W
OG0003430	augustus_masked-NABA0S34-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.36&CDS=1-1605	YMR199W
OG0003431	snap_masked-NABA0S34-processed-gene-1.79-mRNA-1_1&gene=snap_masked-NABA0S34-processed-gene-1.79&CDS=1-2031	YMR198W
OG0003432	augustus_masked-NABA0S34-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-1.22&CDS=1-651	YMR197C
OG0003433	augustus_masked-NABA0S34-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.0&CDS=1-222	YMR194C-B
OG0003434	maker-NABA0S34-augustus-gene-2.39-mRNA-1_1&gene=maker-NABA0S34-augustus-gene-2.39&CDS=1-3060	YMR193W
OG0003435	snap_masked-NABA0S34-processed-gene-2.107-mRNA-1_1&gene=snap_masked-NABA0S34-processed-gene-2.107&CDS=1-1047	YMR191W
OG0003436	augustus_masked-NABA0S34-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.25&CDS=1-3069	YMR189W
OG0003437	augustus_masked-NABA0S34-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.6&CDS=1-708	YMR188C
OG0003438	augustus_masked-NABA0S34-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.7&CDS=1-1407	YMR187C
OG0003439	augustus_masked-NABA0S34-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.27&CDS=1-3027	YMR185W
OG0003440	snap_masked-NABA0S34-processed-gene-2.113-mRNA-1_1&gene=snap_masked-NABA0S34-processed-gene-2.113&CDS=1-663	YMR184W
OG0003441	augustus_masked-NABA0S34-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.8&CDS=1-885	YPL232W
OG0003442	augustus_masked-NABA0S34-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.29&CDS=1-2334	YMR179W
OG0003443	augustus_masked-NABA0S34-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.10&CDS=1-3549	YPL226W
OG0003444	augustus_masked-NABA0S34-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.30&CDS=1-849	YMR178W
OG0003445	augustus_masked-NABA0S34-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.11&CDS=1-441	YPL225W
OG0003446	snap_masked-NABA0S34-processed-gene-2.119-mRNA-1_1&gene=snap_masked-NABA0S34-processed-gene-2.119&CDS=1-1980	YMR172W
OG0003447	augustus_masked-NABA0S34-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.13&CDS=1-570	YPL218W
OG0003448	augustus_masked-NABA0S34-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.33&CDS=1-3537	YPL217C
OG0003449	augustus_masked-NABA0S34-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.14&CDS=1-954	YPL215W
OG0003450	augustus_masked-NABA0S34-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.34&CDS=1-1623	YPL214C
OG0003451	augustus_masked-NABA0S34-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.15&CDS=1-723	YPL213W
OG0003452	maker-NABA0S34-augustus-gene-2.40-mRNA-1_1&gene=maker-NABA0S34-augustus-gene-2.40&CDS=1-4926	YPL212C
OG0003453	augustus_masked-NABA0S34-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.16&CDS=1-1764	YPL208W
OG0003454	augustus_masked-NABA0S34-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.17&CDS=1-2391	YPL207W
OG0003455	augustus_masked-NABA0S34-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.36&CDS=1-957	YPL206C
OG0003456	snap_masked-NABA0S34-processed-gene-2.125-mRNA-1_1&gene=snap_masked-NABA0S34-processed-gene-2.125&CDS=1-1431	YPL201C
OG0003457	augustus_masked-NABA0S34-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.38&CDS=1-801	YPL199C
OG0003458	genemark-NABA0S34-processed-gene-2.62-mRNA-1_1&gene=genemark-NABA0S34-processed-gene-2.62&CDS=1-786	YPL196W
OG0003459	augustus_masked-NABA0S34-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.21&CDS=1-2682	YPL195W
OG0003460	augustus_masked-NABA0S34-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-2.22&CDS=1-1809	YPL194W
OG0003461	snap_masked-NABA0S34-processed-gene-2.106-mRNA-1_1&gene=snap_masked-NABA0S34-processed-gene-2.106&CDS=1-1185	YPL193W
OG0003462	genemark-NABA0S34-processed-gene-3.91-mRNA-1_1&gene=genemark-NABA0S34-processed-gene-3.91&CDS=1-1146	YPL191C
OG0003463	augustus_masked-NABA0S34-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-3.3&CDS=1-2403	YPL190C
OG0003464	augustus_masked-NABA0S34-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-3.1&CDS=1-1281	YPL188W
OG0003465	snap_masked-NABA0S34-processed-gene-3.68-mRNA-1_1&gene=snap_masked-NABA0S34-processed-gene-3.68&CDS=1-804	YPL186C
OG0003466	genemark-NABA0S34-processed-gene-3.111-mRNA-1_1&gene=genemark-NABA0S34-processed-gene-3.111&CDS=1-1956	YPL184C
