	Saccharomyces_arboricola	Saccharomyces_cerevisiae
OG0003835	genemark-NC_026185.1-processed-gene-5.68-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.68&CDS=1-4380	YOR116C
OG0003836	genemark-NC_026185.1-processed-gene-5.54-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.54&CDS=1-1302	YOR117W
OG0003837	genemark-NC_026185.1-processed-gene-5.55-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.55&CDS=1-1701	YOR118W
OG0003838	genemark-NC_026185.1-processed-gene-5.69-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.69&CDS=1-1461	YOR119C
OG0003839	snap_masked-NC_026185.1-processed-gene-5.25-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-5.25&CDS=1-378	YOR122C
OG0003840	genemark-NC_026185.1-processed-gene-5.71-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.71&CDS=1-1380	YOR123C
OG0003841	snap_masked-NC_026185.1-processed-gene-5.27-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-5.27&CDS=1-3819	YOR124C
OG0003842	maker-NC_026185.1-augustus-gene-5.98-mRNA-1_1&gene=maker-NC_026185.1-augustus-gene-5.98&CDS=1-1425	YOR125C
OG0003843	genemark-NC_026185.1-processed-gene-5.57-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.57&CDS=1-3030	YOR127W
OG0003844	genemark-NC_026185.1-processed-gene-5.73-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.73&CDS=1-1713	YOR128C
OG0003845	snap_masked-NC_026185.1-processed-gene-5.31-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-5.31&CDS=1-3522	YOR129C
OG0003846	genemark-NC_026185.1-processed-gene-5.76-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.76&CDS=1-654	YOR131C
OG0003847	genemark-NC_026185.1-processed-gene-5.58-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.58&CDS=1-1647	YOR132W
OG0003848	genemark-NC_026185.1-processed-gene-5.59-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.59&CDS=1-1218	YOR134W
OG0003849	augustus_masked-NC_026185.1-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-5.108&CDS=1-1110	YOR136W
OG0003850	snap_masked-NC_026185.1-processed-gene-5.33-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-5.33&CDS=1-1818	YOR137C
OG0003851	augustus_masked-NC_026185.1-processed-gene-5.124-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-5.124&CDS=1-2025	YOR138C
OG0003852	genemark-NC_026185.1-processed-gene-5.61-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.61&CDS=1-2280	YOR140W
OG0003853	genemark-NC_026185.1-processed-gene-5.79-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.79&CDS=1-2628	YOR141C
OG0003854	genemark-NC_026185.1-processed-gene-5.62-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.62&CDS=1-987	YOR142W
OG0003855	augustus_masked-NC_026185.1-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-5.126&CDS=1-4119	YOR144C
OG0003856	genemark-NC_026185.1-processed-gene-5.63-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.63&CDS=1-1689	YOR147W
OG0003857	genemark-NC_026185.1-processed-gene-5.83-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.83&CDS=1-2058	YOR149C
OG0003858	genemark-NC_026185.1-processed-gene-5.64-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.64&CDS=1-480	YOR150W
OG0003859	genemark-NC_026185.1-processed-gene-5.84-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.84&CDS=1-3672	YOR151C
OG0003860	genemark-NC_026185.1-processed-gene-5.85-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.85&CDS=1-774	YOR152C
OG0003861	genemark-NC_026185.1-processed-gene-5.86-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.86&CDS=1-1350	YOR155C
OG0003862	snap_masked-NC_026185.1-processed-gene-5.42-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-5.42&CDS=1-2169	YOR156C
OG0003863	genemark-NC_026185.1-processed-gene-5.88-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-5.88&CDS=1-783	YOR157C
OG0003864	genemark-NC_026185.1-processed-gene-6.39-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.39&CDS=1-948	YOR158W
OG0003865	snap_masked-NC_026185.1-processed-gene-6.94-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-6.94&CDS=1-291	YOR159C
OG0003866	genemark-NC_026185.1-processed-gene-6.40-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.40&CDS=1-2919	YOR160W
OG0003867	genemark-NC_026185.1-processed-gene-6.43-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.43&CDS=1-1620	YOR161C
OG0003868	genemark-NC_026185.1-processed-gene-6.44-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.44&CDS=1-2484	YOR162C
OG0003869	genemark-NC_026185.1-processed-gene-6.41-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.41&CDS=1-570	YOR163W
OG0003870	genemark-NC_026185.1-processed-gene-6.67-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.67&CDS=1-936	YOR164C
OG0003871	genemark-NC_026185.1-processed-gene-6.45-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.45&CDS=1-2328	YOR165W
OG0003872	augustus_masked-NC_026185.1-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-6.24&CDS=1-1548	YOR166C
OG0003873	genemark-NC_026185.1-processed-gene-6.46-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.46&CDS=1-2427	YOR168W
OG0003874	genemark-NC_026185.1-processed-gene-6.47-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.47&CDS=1-2370	YOR172W
OG0003875	genemark-NC_026185.1-processed-gene-6.49-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.49&CDS=1-852	YOR174W
OG0003876	genemark-NC_026185.1-processed-gene-6.70-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.70&CDS=1-1857	YOR175C
OG0003877	genemark-NC_026185.1-processed-gene-6.50-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.50&CDS=1-1179	YOR176W
OG0003878	genemark-NC_026185.1-processed-gene-6.71-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.71&CDS=1-1395	YOR177C
OG0003879	snap_masked-NC_026185.1-processed-gene-6.126-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-6.126&CDS=1-2157	YOR178C
OG0003880	snap_masked-NC_026185.1-processed-gene-6.127-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-6.127&CDS=1-555	YOR179C
OG0003881	genemark-NC_026185.1-processed-gene-6.73-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.73&CDS=1-813	YOR180C
OG0003882	genemark-NC_026185.1-processed-gene-6.51-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.51&CDS=1-1944	YOR181W
OG0003883	genemark-NC_026185.1-processed-gene-6.52-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.52&CDS=1-1185	YOR184W
OG0003884	augustus_masked-NC_026185.1-processed-gene-6.13-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-6.13&CDS=1-1758	YOR187W
OG0003885	genemark-NC_026185.1-processed-gene-6.55-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.55&CDS=1-3420	YOR188W
OG0003886	genemark-NC_026185.1-processed-gene-6.56-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.56&CDS=1-348	YOR189W
OG0003887	snap_masked-NC_026185.1-processed-gene-6.110-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-6.110&CDS=1-4812	YOR191W
OG0003888	genemark-NC_026185.1-processed-gene-6.59-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.59&CDS=1-1143	YOR193W
OG0003889	maker-NC_026185.1-snap-gene-6.88-mRNA-1_1&gene=maker-NC_026185.1-snap-gene-6.88&CDS=1-816	YOR194C
OG0003890	genemark-NC_026185.1-processed-gene-6.60-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.60&CDS=1-2496	YOR195W
OG0003891	genemark-NC_026185.1-processed-gene-6.76-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.76&CDS=1-1245	YOR196C
OG0003892	augustus_masked-NC_026185.1-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-6.17&CDS=1-1236	YOR197W
OG0003893	augustus_masked-NC_026185.1-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-6.34&CDS=1-2631	YOR201C
OG0003894	genemark-NC_026185.1-processed-gene-6.79-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.79&CDS=1-1689	YOR205C
OG0003895	genemark-NC_026185.1-processed-gene-6.64-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.64&CDS=1-2127	YOR206W
OG0003896	genemark-NC_026185.1-processed-gene-6.80-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.80&CDS=1-3447	YOR207C
OG0003897	genemark-NC_026185.1-processed-gene-6.65-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.65&CDS=1-2091	YOR208W
OG0003898	augustus_masked-NC_026185.1-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-6.37&CDS=1-1293	YOR209C
OG0003899	snap_masked-NC_026185.1-processed-gene-6.118-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-6.118&CDS=1-210	YOR210W
OG0003900	genemark-NC_026185.1-processed-gene-6.82-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.82&CDS=1-2700	YOR211C
OG0003901	genemark-NC_026185.1-processed-gene-6.66-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-6.66&CDS=1-1272	YOR212W
OG0003902	augustus_masked-NC_026185.1-processed-gene-7.2-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-7.2&CDS=1-1419	YOR213C
OG0003903	augustus_masked-NC_026185.1-processed-gene-7.3-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-7.3&CDS=1-1917	YOR215C
OG0003904	genemark-NC_026185.1-processed-gene-7.110-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.110&CDS=1-2583	YOR217W
OG0003905	genemark-NC_026185.1-processed-gene-7.116-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.116&CDS=1-2796	YOR219C
OG0003906	genemark-NC_026185.1-processed-gene-7.111-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.111&CDS=1-798	YOR220W
OG0003907	genemark-NC_026185.1-processed-gene-7.148-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.148&CDS=1-1077	YOR221C
OG0003908	genemark-NC_026185.1-processed-gene-7.117-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.117&CDS=1-921	YOR222W
OG0003909	augustus_masked-NC_026185.1-processed-gene-7.6-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-7.6&CDS=1-921	YOR223W
OG0003910	augustus_masked-NC_026185.1-processed-gene-7.31-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-7.31&CDS=1-924	YOR224C
OG0003911	genemark-NC_026185.1-processed-gene-7.119-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.119&CDS=1-3747	YOR227W
OG0003912	genemark-NC_026185.1-processed-gene-7.151-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.151&CDS=1-903	YOR228C
OG0003913	genemark-NC_026185.1-processed-gene-7.120-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.120&CDS=1-1407	YOR229W
OG0003914	genemark-NC_026185.1-processed-gene-7.121-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.121&CDS=1-1302	YOR230W
OG0003915	genemark-NC_026185.1-processed-gene-7.125-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.125&CDS=1-633	YOR236W
OG0003916	genemark-NC_026185.1-processed-gene-7.127-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.127&CDS=1-900	YOR238W
OG0003917	maker-NC_026185.1-augustus-gene-7.108-mRNA-1_1&gene=maker-NC_026185.1-augustus-gene-7.108&CDS=1-1752	YOR239W
OG0003918	genemark-NC_026185.1-processed-gene-7.130-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.130&CDS=1-1458	YOR241W
OG0003919	augustus_masked-NC_026185.1-processed-gene-7.34-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-7.34&CDS=1-3084	YOR243C
OG0003920	genemark-NC_026185.1-processed-gene-7.131-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.131&CDS=1-1332	YOR244W
OG0003921	snap_masked-NC_026185.1-processed-gene-7.87-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-7.87&CDS=1-1254	YOR245C
OG0003922	genemark-NC_026185.1-processed-gene-7.156-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.156&CDS=1-978	YOR246C
OG0003923	genemark-NC_026185.1-processed-gene-7.132-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.132&CDS=1-609	YOR247W
OG0003924	augustus_masked-NC_026185.1-processed-gene-7.36-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-7.36&CDS=1-4215	YOR249C
OG0003925	genemark-NC_026185.1-processed-gene-7.133-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.133&CDS=1-534	YOR252W
OG0003926	genemark-NC_026185.1-processed-gene-7.134-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.134&CDS=1-528	YOR253W
OG0003927	genemark-NC_026185.1-processed-gene-7.160-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.160&CDS=1-1992	YOR254C
OG0003928	genemark-NC_026185.1-processed-gene-7.135-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.135&CDS=1-828	YOR255W
OG0003929	genemark-NC_026185.1-processed-gene-7.161-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.161&CDS=1-2433	YOR256C
OG0003930	genemark-NC_026185.1-processed-gene-7.136-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.136&CDS=1-483	YOR257W
OG0003931	genemark-NC_026185.1-processed-gene-7.137-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.137&CDS=1-654	YOR258W
OG0003932	genemark-NC_026185.1-processed-gene-7.162-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.162&CDS=1-1311	YOR259C
OG0003933	genemark-NC_026185.1-processed-gene-7.138-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.138&CDS=1-1734	YOR260W
OG0003934	genemark-NC_026185.1-processed-gene-7.163-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.163&CDS=1-1005	YOR261C
OG0003935	genemark-NC_026185.1-processed-gene-7.139-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.139&CDS=1-1038	YOR262W
OG0003936	snap_masked-NC_026185.1-processed-gene-7.75-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-7.75&CDS=1-1569	YOR264W
OG0003937	genemark-NC_026185.1-processed-gene-7.142-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.142&CDS=1-1248	YOR266W
OG0003938	genemark-NC_026185.1-processed-gene-7.164-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.164&CDS=1-2124	YOR267C
OG0003939	genemark-NC_026185.1-processed-gene-7.143-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.143&CDS=1-1482	YOR269W
OG0003940	genemark-NC_026185.1-processed-gene-7.165-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.165&CDS=1-2520	YOR270C
OG0003941	genemark-NC_026185.1-processed-gene-7.166-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.166&CDS=1-981	YOR271C
OG0003942	genemark-NC_026185.1-processed-gene-7.144-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.144&CDS=1-1380	YOR272W
OG0003943	genemark-NC_026185.1-processed-gene-7.167-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.167&CDS=1-1977	YOR273C
OG0003944	augustus_masked-NC_026185.1-processed-gene-7.27-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-7.27&CDS=1-1284	YOR274W
OG0003945	genemark-NC_026185.1-processed-gene-7.168-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.168&CDS=1-1980	YOR275C
OG0003946	genemark-NC_026185.1-processed-gene-7.146-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.146&CDS=1-483	YOR276W
OG0003947	genemark-NC_026185.1-processed-gene-7.147-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-7.147&CDS=1-864	YOR278W
OG0003948	augustus_masked-NC_026185.1-processed-gene-8.3-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-8.3&CDS=1-1704	YOR280C
OG0003949	genemark-NC_026185.1-processed-gene-8.55-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.55&CDS=1-855	YOR281C
OG0003950	genemark-NC_026185.1-processed-gene-8.48-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.48&CDS=1-690	YOR283W
OG0003951	genemark-NC_026185.1-processed-gene-8.49-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.49&CDS=1-855	YOR284W
OG0003952	maker-NC_026185.1-snap-gene-8.42-mRNA-1_1&gene=maker-NC_026185.1-snap-gene-8.42&CDS=1-861	YOR286W
OG0003953	augustus_masked-NC_026185.1-processed-gene-8.5-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-8.5&CDS=1-1878	YOR288C
OG0003954	genemark-NC_026185.1-processed-gene-8.52-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.52&CDS=1-711	YOR289W
OG0003955	genemark-NC_026185.1-processed-gene-8.58-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.58&CDS=1-5127	YOR290C
OG0003956	genemark-NC_026185.1-processed-gene-8.59-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.59&CDS=1-4416	YOR291W
OG0003957	genemark-NC_026185.1-processed-gene-8.76-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.76&CDS=1-927	YOR292C
OG0003958	augustus_masked-NC_026185.1-processed-gene-8.9-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-8.9&CDS=1-1317	YOR294W
OG0003959	genemark-NC_026185.1-processed-gene-8.63-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.63&CDS=1-3861	YOR296W
OG0003960	genemark-NC_026185.1-processed-gene-8.77-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.77&CDS=1-576	YOR297C
OG0003961	snap_masked-NC_026185.1-processed-gene-8.110-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-8.110&CDS=1-1302	YOR298W
OG0003962	genemark-NC_026185.1-processed-gene-8.78-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.78&CDS=1-453	YOR298C-A
OG0003963	snap_masked-NC_026185.1-processed-gene-8.112-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-8.112&CDS=1-1305	YOR301W
OG0003964	maker-NC_026185.1-snap-gene-8.45-mRNA-1_1&gene=maker-NC_026185.1-snap-gene-8.45&CDS=1-1218	YOR303W
OG0003965	snap_masked-NC_026185.1-processed-gene-8.125-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-8.125&CDS=1-228	YOR304C-A
OG0003966	genemark-NC_026185.1-processed-gene-8.69-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.69&CDS=1-738	YOR305W
OG0003967	genemark-NC_026185.1-processed-gene-8.80-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.80&CDS=1-1557	YOR306C
OG0003968	genemark-NC_026185.1-processed-gene-8.81-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.81&CDS=1-1359	YOR307C
OG0003969	genemark-NC_026185.1-processed-gene-8.82-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.82&CDS=1-1779	YOR308C
OG0003970	genemark-NC_026185.1-processed-gene-8.83-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.83&CDS=1-1569	YOR310C
OG0003971	maker-NC_026185.1-augustus-gene-8.40-mRNA-1_1&gene=maker-NC_026185.1-augustus-gene-8.40&CDS=1-1377	YOR311C
OG0003972	snap_masked-NC_026185.1-processed-gene-8.132-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-8.132&CDS=1-1020	YOR313C
OG0003973	genemark-NC_026185.1-processed-gene-8.70-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.70&CDS=1-1029	YOR315W
OG0003974	genemark-NC_026185.1-processed-gene-8.86-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.86&CDS=1-1332	YOR316C
OG0003975	snap_masked-NC_026185.1-processed-gene-8.134-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-8.134&CDS=1-237	YOR318C
OG0003976	genemark-NC_026185.1-processed-gene-8.72-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.72&CDS=1-639	YOR319W
OG0003977	genemark-NC_026185.1-processed-gene-8.87-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.87&CDS=1-1473	YOR320C
OG0003978	genemark-NC_026185.1-processed-gene-8.88-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.88&CDS=1-2472	YOR322C
OG0003979	augustus_masked-NC_026185.1-processed-gene-8.34-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-8.34&CDS=1-3057	YOR323C
OG0003980	genemark-NC_026185.1-processed-gene-8.91-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.91&CDS=1-345	YOR327C
OG0003981	genemark-NC_026185.1-processed-gene-8.92-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-8.92&CDS=1-2637	YOR329C
OG0003982	snap_masked-NC_026185.1-processed-gene-8.141-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-8.141&CDS=1-3777	YOR330C
OG0003983	augustus_masked-NC_026185.1-processed-gene-9.0-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-9.0&CDS=1-2028	YOR334W
OG0003984	snap_masked-NC_026185.1-processed-gene-9.115-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-9.115&CDS=1-222	YOR333C
OG0003985	genemark-NC_026185.1-processed-gene-9.49-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.49&CDS=1-2874	YOR335C
OG0003986	genemark-NC_026185.1-processed-gene-9.47-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.47&CDS=1-4095	YOR336W
OG0003987	augustus_masked-NC_026185.1-processed-gene-9.2-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-9.2&CDS=1-3414	YOR337W
OG0003988	augustus_masked-NC_026185.1-processed-gene-9.27-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-9.27&CDS=1-1434	YOR340C
OG0003989	genemark-NC_026185.1-processed-gene-9.51-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.51&CDS=1-5001	YOR341W
OG0003990	genemark-NC_026185.1-processed-gene-9.78-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.78&CDS=1-957	YOR342C
OG0003991	genemark-NC_026185.1-processed-gene-9.79-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.79&CDS=1-873	YOR344C
OG0003992	genemark-NC_026185.1-processed-gene-9.52-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.52&CDS=1-2958	YOR346W
OG0003993	genemark-NC_026185.1-processed-gene-9.81-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.81&CDS=1-1875	YOR348C
OG0003994	genemark-NC_026185.1-processed-gene-9.53-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.53&CDS=1-3060	YOR349W
OG0003995	augustus_masked-NC_026185.1-processed-gene-9.32-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-9.32&CDS=1-3465	YOR351C
OG0003996	genemark-NC_026185.1-processed-gene-9.54-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.54&CDS=1-1026	YOR352W
OG0003997	augustus_masked-NC_026185.1-processed-gene-9.33-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-9.33&CDS=1-4464	YOR354C
OG0003998	genemark-NC_026185.1-processed-gene-9.55-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.55&CDS=1-1572	YOR355W
OG0003999	genemark-NC_026185.1-processed-gene-9.56-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.56&CDS=1-1893	YOR356W
OG0004000	genemark-NC_026185.1-processed-gene-9.86-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.86&CDS=1-486	YOR357C
OG0004001	genemark-NC_026185.1-processed-gene-9.57-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.57&CDS=1-735	YOR358W
OG0004002	genemark-NC_026185.1-processed-gene-9.58-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.58&CDS=1-1569	YOR359W
OG0004003	genemark-NC_026185.1-processed-gene-9.87-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.87&CDS=1-1578	YOR360C
OG0004004	genemark-NC_026185.1-processed-gene-9.88-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.88&CDS=1-2178	YOR361C
OG0004005	genemark-NC_026185.1-processed-gene-9.89-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.89&CDS=1-864	YOR362C
OG0004006	maker-NC_026185.1-augustus-gene-9.111-mRNA-1_1&gene=maker-NC_026185.1-augustus-gene-9.111&CDS=1-4710	YOR363C
OG0004007	augustus_masked-NC_026185.1-processed-gene-9.12-mRNA-1_1&gene=augustus_masked-NC_026185.1-processed-gene-9.12&CDS=1-1725	YOR368W
OG0004008	genemark-NC_026185.1-processed-gene-9.92-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.92&CDS=1-429	YOR369C
OG0004009	genemark-NC_026185.1-processed-gene-9.93-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.93&CDS=1-1809	YOR370C
OG0004010	genemark-NC_026185.1-processed-gene-9.94-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.94&CDS=1-2691	YOR371C
OG0004011	genemark-NC_026185.1-processed-gene-9.95-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.95&CDS=1-1635	YOR372C
OG0004012	snap_masked-NC_026185.1-processed-gene-9.129-mRNA-1_1&gene=snap_masked-NC_026185.1-processed-gene-9.129&CDS=1-2484	YOR373W
OG0004013	genemark-NC_026185.1-processed-gene-9.63-mRNA-1_1&gene=genemark-NC_026185.1-processed-gene-9.63&CDS=1-1572	YOR377W
