	Candida_sojae	Saccharomyces_cerevisiae
OG0002360	augustus_masked-LMTL01000181.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-LMTL01000181.1-processed-gene-0.34&CDS=1-1428	YLR175W
OG0002361	augustus_masked-LMTL01000181.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LMTL01000181.1-processed-gene-0.28&CDS=1-990	YCR036W
OG0002362	augustus_masked-LMTL01000182.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LMTL01000182.1-processed-gene-0.0&CDS=1-1047	YJL155C
OG0002363	augustus_masked-LMTL01000182.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LMTL01000182.1-processed-gene-0.11&CDS=1-477	YDL064W
OG0002364	augustus_masked-LMTL01000182.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000182.1-processed-gene-0.1&CDS=1-3711	YLR398C
OG0002365	augustus_masked-LMTL01000182.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LMTL01000182.1-processed-gene-0.2&CDS=1-2322	YLR397C
OG0002366	augustus_masked-LMTL01000182.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LMTL01000182.1-processed-gene-0.13&CDS=1-978	YDL065C
OG0002367	augustus_masked-LMTL01000182.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LMTL01000182.1-processed-gene-0.3&CDS=1-1734	YOR090C
OG0002368	augustus_masked-LMTL01000182.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LMTL01000182.1-processed-gene-0.4&CDS=1-348	YHL015W
OG0002369	augustus_masked-LMTL01000182.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LMTL01000182.1-processed-gene-0.14&CDS=1-858	YLR393W
OG0002370	augustus_masked-LMTL01000182.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LMTL01000182.1-processed-gene-0.5&CDS=1-2733	YNL118C
OG0002371	augustus_masked-LMTL01000182.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LMTL01000182.1-processed-gene-0.6&CDS=1-1293	YNL207W
OG0002372	snap_masked-LMTL01000182.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-LMTL01000182.1-processed-gene-0.28&CDS=1-2202	YJL156C
OG0002373	augustus_masked-LMTL01000182.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-LMTL01000182.1-processed-gene-0.19&CDS=1-735	YPR016C
OG0002374	augustus_masked-LMTL01000184.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LMTL01000184.1-processed-gene-0.4&CDS=1-774	YBR213W
OG0002375	augustus_masked-LMTL01000184.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LMTL01000184.1-processed-gene-0.6&CDS=1-1317	YOR323C
OG0002376	maker-LMTL01000184.1-augustus-gene-0.8-mRNA-1_1&gene=maker-LMTL01000184.1-augustus-gene-0.8&CDS=1-5472	YAL026C
OG0002377	augustus_masked-LMTL01000184.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LMTL01000184.1-processed-gene-0.7&CDS=1-5451	YHL030W
OG0002378	maker-LMTL01000187.1-snap-gene-0.48-mRNA-1_1&gene=maker-LMTL01000187.1-snap-gene-0.48&CDS=1-1191	YPL252C
OG0002379	augustus_masked-LMTL01000187.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LMTL01000187.1-processed-gene-0.10&CDS=1-3135	YMR196W
OG0002380	augustus_masked-LMTL01000187.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LMTL01000187.1-processed-gene-0.14&CDS=1-2649	YER024W
OG0002381	augustus_masked-LMTL01000187.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LMTL01000187.1-processed-gene-0.2&CDS=1-2103	YLR117C
OG0002382	augustus_masked-LMTL01000187.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LMTL01000187.1-processed-gene-0.3&CDS=1-1773	YDR140W
OG0002383	augustus_masked-LMTL01000187.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LMTL01000187.1-processed-gene-0.4&CDS=1-1992	YEL062W
OG0002384	augustus_masked-LMTL01000187.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LMTL01000187.1-processed-gene-0.5&CDS=1-399	YOL012C
OG0002385	augustus_masked-LMTL01000187.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LMTL01000187.1-processed-gene-0.6&CDS=1-534	YHR193C
OG0002386	augustus_masked-LMTL01000187.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LMTL01000187.1-processed-gene-0.17&CDS=1-1119	YJR032W
OG0002387	augustus_masked-LMTL01000190.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.60&CDS=1-1203	YER178W
OG0002388	genemark-LMTL01000190.1-processed-gene-0.17-mRNA-1_1&gene=genemark-LMTL01000190.1-processed-gene-0.17&CDS=1-2325	YDR104C
OG0002389	augustus_masked-LMTL01000190.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.47&CDS=1-1218	YHL014C
OG0002390	augustus_masked-LMTL01000190.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.62&CDS=1-447	YDR100W
OG0002391	augustus_masked-LMTL01000190.1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.48&CDS=1-2991	YDR359C
OG0002392	augustus_masked-LMTL01000190.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.49&CDS=1-3861	YDR180W
OG0002393	augustus_masked-LMTL01000190.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.63&CDS=1-1104	YDR181C
OG0002394	augustus_masked-LMTL01000190.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.50&CDS=1-1131	YDR182W
OG0002395	augustus_masked-LMTL01000190.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.64&CDS=1-2376	YLR166C
OG0002396	genemark-LMTL01000190.1-processed-gene-0.21-mRNA-1_1&gene=genemark-LMTL01000190.1-processed-gene-0.21&CDS=1-453	YLR167W
OG0002397	augustus_masked-LMTL01000190.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.65&CDS=1-621	YDR183W
OG0002398	augustus_masked-LMTL01000190.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.67&CDS=1-579	YLR168C
OG0002399	augustus_masked-LMTL01000190.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.52&CDS=1-2625	YOL090W
OG0002400	maker-LMTL01000190.1-augustus-gene-0.44-mRNA-1_1&gene=maker-LMTL01000190.1-augustus-gene-0.44&CDS=1-2055	YPR167C
OG0002401	maker-LMTL01000190.1-augustus-gene-0.41-mRNA-1_1&gene=maker-LMTL01000190.1-augustus-gene-0.41&CDS=1-876	YDL200C
OG0002402	snap_masked-LMTL01000190.1-processed-gene-0.106-mRNA-1_1&gene=snap_masked-LMTL01000190.1-processed-gene-0.106&CDS=1-966	YOL154W
OG0002403	augustus_masked-LMTL01000190.1-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.75&CDS=1-822	YLR165C
OG0002404	augustus_masked-LMTL01000190.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.56&CDS=1-714	YDL087C
OG0002405	augustus_masked-LMTL01000190.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.76&CDS=1-1173	YPR201W
OG0002406	augustus_masked-LMTL01000190.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.57&CDS=1-255	YDR363W-A
OG0002407	augustus_masked-LMTL01000190.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.77&CDS=1-1284	YOR117W
OG0002408	maker-LMTL01000190.1-augustus-gene-0.42-mRNA-1_1&gene=maker-LMTL01000190.1-augustus-gene-0.42&CDS=1-1584	YLR244C
OG0002409	augustus_masked-LMTL01000190.1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-LMTL01000190.1-processed-gene-0.59&CDS=1-1668	YDR188W
OG0002410	augustus_masked-LMTL01000191.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LMTL01000191.1-processed-gene-0.14&CDS=1-1908	YMR258C
OG0002411	augustus_masked-LMTL01000191.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LMTL01000191.1-processed-gene-0.10&CDS=1-1104	YEL046C
OG0002412	augustus_masked-LMTL01000191.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LMTL01000191.1-processed-gene-0.17&CDS=1-789	YLL041C
OG0002413	augustus_masked-LMTL01000192.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-LMTL01000192.1-processed-gene-0.39&CDS=1-1311	YKL106W
OG0002414	augustus_masked-LMTL01000192.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-LMTL01000192.1-processed-gene-0.40&CDS=1-990	YKR081C
OG0002415	augustus_masked-LMTL01000192.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-LMTL01000192.1-processed-gene-0.41&CDS=1-3345	YKR082W
OG0002416	augustus_masked-LMTL01000192.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-LMTL01000192.1-processed-gene-0.51&CDS=1-468	YKR083C
OG0002417	augustus_masked-LMTL01000192.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-LMTL01000192.1-processed-gene-0.43&CDS=1-1965	YLR289W
OG0002418	augustus_masked-LMTL01000192.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-LMTL01000192.1-processed-gene-0.52&CDS=1-1707	YER086W
OG0002419	snap_masked-LMTL01000192.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-LMTL01000192.1-processed-gene-0.26&CDS=1-4326	YJR137C
OG0002420	augustus_masked-LMTL01000192.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-LMTL01000192.1-processed-gene-0.45&CDS=1-840	YHR200W
OG0002421	augustus_masked-LMTL01000192.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-LMTL01000192.1-processed-gene-0.54&CDS=1-1029	YMR048W
OG0002422	augustus_masked-LMTL01000192.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-LMTL01000192.1-processed-gene-0.47&CDS=1-1047	YJR141W
OG0002423	augustus_masked-LMTL01000192.1-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-LMTL01000192.1-processed-gene-0.55&CDS=1-1200	YHR201C
OG0002424	augustus_masked-LMTL01000192.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-LMTL01000192.1-processed-gene-0.56&CDS=1-2277	YJR143C
OG0002425	augustus_masked-LMTL01000192.1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-LMTL01000192.1-processed-gene-0.48&CDS=1-924	YJR142W
OG0002426	maker-LMTL01000195.1-augustus-gene-0.9-mRNA-1_1&gene=maker-LMTL01000195.1-augustus-gene-0.9&CDS=1-489	YDL219W
OG0002427	augustus_masked-LMTL01000195.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LMTL01000195.1-processed-gene-0.13&CDS=1-906	YHR134W
OG0002428	augustus_masked-LMTL01000195.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LMTL01000195.1-processed-gene-0.14&CDS=1-4341	YOR336W
OG0002429	augustus_masked-LMTL01000195.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LMTL01000195.1-processed-gene-0.15&CDS=1-1827	YGL125W
OG0002430	augustus_masked-LMTL01000196.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LMTL01000196.1-processed-gene-0.2&CDS=1-276	YLR429W
OG0002431	augustus_masked-LMTL01000196.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LMTL01000196.1-processed-gene-0.7&CDS=1-4608	YPL242C
OG0002432	snap_masked-LMTL01000196.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-LMTL01000196.1-processed-gene-0.17&CDS=1-669	YPL233W
OG0002433	augustus_masked-LMTL01000196.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LMTL01000196.1-processed-gene-0.3&CDS=1-489	YPL234C
OG0002434	augustus_masked-LMTL01000196.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LMTL01000196.1-processed-gene-0.9&CDS=1-1395	YPL235W
OG0002435	genemark-LMTL01000196.1-processed-gene-0.22-mRNA-1_1&gene=genemark-LMTL01000196.1-processed-gene-0.22&CDS=1-4284	YMR205C
OG0002436	augustus_masked-LMTL01000196.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LMTL01000196.1-processed-gene-0.10&CDS=1-645	YIL134W
OG0002437	maker-LMTL01000196.1-augustus-gene-0.0-mRNA-1_1&gene=maker-LMTL01000196.1-augustus-gene-0.0&CDS=1-666	YBL064C
OG0002438	augustus_masked-LMTL01000197.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LMTL01000197.1-processed-gene-0.0&CDS=1-1554	YIL099W
OG0002439	augustus_masked-LMTL01000197.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LMTL01000197.1-processed-gene-0.3&CDS=1-2442	YFR038W
OG0002440	augustus_masked-LMTL01000197.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000197.1-processed-gene-0.1&CDS=1-810	YNL036W
OG0002441	augustus_masked-LMTL01000197.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LMTL01000197.1-processed-gene-0.4&CDS=1-666	YJL055W
OG0002442	augustus_masked-LMTL01000198.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LMTL01000198.1-processed-gene-0.8&CDS=1-516	YOR276W
OG0002443	augustus_masked-LMTL01000198.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LMTL01000198.1-processed-gene-0.14&CDS=1-2928	YMR212C
OG0002444	augustus_masked-LMTL01000198.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LMTL01000198.1-processed-gene-0.9&CDS=1-1770	YMR213W
OG0002445	augustus_masked-LMTL01000198.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LMTL01000198.1-processed-gene-0.10&CDS=1-2358	YOR275C
OG0002446	augustus_masked-LMTL01000198.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LMTL01000198.1-processed-gene-0.11&CDS=1-1332	YOR274W
OG0002447	augustus_masked-LMTL01000198.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LMTL01000198.1-processed-gene-0.15&CDS=1-1278	YBR207W
OG0002448	augustus_masked-LMTL01000199.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LMTL01000199.1-processed-gene-0.6&CDS=1-834	YIL093C
OG0002449	augustus_masked-LMTL01000200.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-LMTL01000200.1-processed-gene-0.84&CDS=1-588	YER050C
OG0002450	augustus_masked-LMTL01000200.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-LMTL01000200.1-processed-gene-0.70&CDS=1-942	YDL047W
OG0002451	augustus_masked-LMTL01000200.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-LMTL01000200.1-processed-gene-0.85&CDS=1-2241	YPL043W
OG0002452	augustus_masked-LMTL01000200.1-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-LMTL01000200.1-processed-gene-0.86&CDS=1-2619	YKL157W
OG0002453	augustus_masked-LMTL01000200.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-LMTL01000200.1-processed-gene-0.87&CDS=1-531	YJR017C
OG0002454	snap_masked-LMTL01000200.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-LMTL01000200.1-processed-gene-0.57&CDS=1-840	YKL024C
OG0002455	augustus_masked-LMTL01000200.1-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-LMTL01000200.1-processed-gene-0.92&CDS=1-4359	YLR425W
OG0002456	augustus_masked-LMTL01000200.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-LMTL01000200.1-processed-gene-0.71&CDS=1-1353	YDR254W
OG0002457	augustus_masked-LMTL01000200.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-LMTL01000200.1-processed-gene-0.93&CDS=1-2850	YPL045W
OG0002458	augustus_masked-LMTL01000200.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-LMTL01000200.1-processed-gene-0.72&CDS=1-300	YPL046C
OG0002459	augustus_masked-LMTL01000200.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-LMTL01000200.1-processed-gene-0.73&CDS=1-3174	YPL030W
OG0002460	maker-LMTL01000200.1-augustus-gene-0.35-mRNA-1_1&gene=maker-LMTL01000200.1-augustus-gene-0.35&CDS=1-990	YPL031C
OG0002461	augustus_masked-LMTL01000200.1-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-LMTL01000200.1-processed-gene-0.95&CDS=1-1650	YER065C
OG0002462	augustus_masked-LMTL01000200.1-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-LMTL01000200.1-processed-gene-0.97&CDS=1-834	YEL072W
OG0002463	maker-LMTL01000200.1-augustus-gene-0.36-mRNA-1_1&gene=maker-LMTL01000200.1-augustus-gene-0.36&CDS=1-1638	YBL099W
OG0002464	augustus_masked-LMTL01000200.1-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-LMTL01000200.1-processed-gene-0.99&CDS=1-3480	YIL048W
OG0002465	augustus_masked-LMTL01000200.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-LMTL01000200.1-processed-gene-0.77&CDS=1-1968	YBR204C
OG0002466	augustus_masked-LMTL01000200.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-LMTL01000200.1-processed-gene-0.78&CDS=1-2154	YHL016C
OG0002467	augustus_masked-LMTL01000200.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-LMTL01000200.1-processed-gene-0.79&CDS=1-5445	YBR208C
OG0002468	augustus_masked-LMTL01000202.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LMTL01000202.1-processed-gene-0.0&CDS=1-666	YJR057W
OG0002469	augustus_masked-LMTL01000202.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LMTL01000202.1-processed-gene-0.3&CDS=1-342	YJR058C
OG0002470	augustus_masked-LMTL01000202.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000202.1-processed-gene-0.1&CDS=1-2178	YMR284W
OG0002471	augustus_masked-LMTL01000203.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LMTL01000203.1-processed-gene-0.9&CDS=1-1176	YDR371W
OG0002472	augustus_masked-LMTL01000203.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LMTL01000203.1-processed-gene-0.14&CDS=1-1023	YDR372C
OG0002473	snap_masked-LMTL01000203.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LMTL01000203.1-processed-gene-0.1&CDS=1-7602	YFR019W
OG0002474	augustus_masked-LMTL01000203.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LMTL01000203.1-processed-gene-0.11&CDS=1-1872	YFR012W
OG0002475	augustus_masked-LMTL01000203.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LMTL01000203.1-processed-gene-0.15&CDS=1-1134	YOL018C
OG0002476	genemark-LMTL01000204.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LMTL01000204.1-processed-gene-0.8&CDS=1-1014	YDL002C
OG0002477	augustus_masked-LMTL01000204.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-LMTL01000204.1-processed-gene-0.24&CDS=1-4176	YJR033C
OG0002478	augustus_masked-LMTL01000204.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LMTL01000204.1-processed-gene-0.17&CDS=1-363	YJR034W
OG0002479	snap_masked-LMTL01000204.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-LMTL01000204.1-processed-gene-0.40&CDS=1-714	YGL005C
OG0002480	augustus_masked-LMTL01000204.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-LMTL01000204.1-processed-gene-0.26&CDS=1-873	YBR151W
OG0002481	augustus_masked-LMTL01000204.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-LMTL01000204.1-processed-gene-0.19&CDS=1-2175	YDR208W
OG0002482	augustus_masked-LMTL01000204.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LMTL01000204.1-processed-gene-0.20&CDS=1-1296	YJR080C
OG0002483	augustus_masked-LMTL01000204.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LMTL01000204.1-processed-gene-0.28&CDS=1-1374	YDL001W
OG0002484	augustus_masked-LMTL01000204.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LMTL01000204.1-processed-gene-0.21&CDS=1-7341	YBL004W
OG0002485	augustus_masked-LMTL01000204.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-LMTL01000204.1-processed-gene-0.22&CDS=1-3588	YGL006W
OG0002486	augustus_masked-LMTL01000205.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000205.1-processed-gene-0.1&CDS=1-3192	YOR304W
OG0002487	augustus_masked-LMTL01000205.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LMTL01000205.1-processed-gene-0.9&CDS=1-4176	YDR440W
OG0002488	augustus_masked-LMTL01000205.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LMTL01000205.1-processed-gene-0.10&CDS=1-2544	YML020W
OG0002489	augustus_masked-LMTL01000205.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LMTL01000205.1-processed-gene-0.12&CDS=1-645	YML012W
OG0002490	augustus_masked-LMTL01000205.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LMTL01000205.1-processed-gene-0.4&CDS=1-210	YML009C
OG0002491	augustus_masked-LMTL01000205.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LMTL01000205.1-processed-gene-0.13&CDS=1-3093	YDR430C
OG0002492	augustus_masked-LMTL01000205.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LMTL01000205.1-processed-gene-0.5&CDS=1-1065	YKL120W
OG0002493	snap_masked-LMTL01000205.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-LMTL01000205.1-processed-gene-0.19&CDS=1-2325	YMR100W
OG0002494	snap_masked-LMTL01000205.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-LMTL01000205.1-processed-gene-0.20&CDS=1-813	YEL019C
OG0002495	augustus_masked-LMTL01000205.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LMTL01000205.1-processed-gene-0.8&CDS=1-552	YDR305C
OG0002496	augustus_masked-LMTL01000206.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LMTL01000206.1-processed-gene-0.8&CDS=1-1245	YLR181C
OG0002497	augustus_masked-LMTL01000206.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LMTL01000206.1-processed-gene-0.9&CDS=1-3141	YLR187W
OG0002498	augustus_masked-LMTL01000206.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LMTL01000206.1-processed-gene-0.13&CDS=1-438	YPR100W
OG0002499	augustus_masked-LMTL01000206.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LMTL01000206.1-processed-gene-0.11&CDS=1-507	YPR168W
OG0002500	augustus_masked-LMTL01000207.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LMTL01000207.1-processed-gene-0.2&CDS=1-2040	YPL109C
OG0002501	augustus_masked-LMTL01000207.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LMTL01000207.1-processed-gene-0.3&CDS=1-1551	YOR059C
OG0002502	augustus_masked-LMTL01000207.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LMTL01000207.1-processed-gene-0.0&CDS=1-1182	YJL203W
OG0002503	snap_masked-LMTL01000207.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-LMTL01000207.1-processed-gene-0.18&CDS=1-1725	YBR182C
OG0002504	snap_masked-LMTL01000207.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-LMTL01000207.1-processed-gene-0.19&CDS=1-672	YMR069W
OG0002505	maker-LMTL01000208.1-snap-gene-0.4-mRNA-1_1&gene=maker-LMTL01000208.1-snap-gene-0.4&CDS=1-3642	YJL085W
OG0002506	maker-LMTL01000210.1-augustus-gene-0.36-mRNA-1_1&gene=maker-LMTL01000210.1-augustus-gene-0.36&CDS=1-4290	YKL114C
OG0002507	augustus_masked-LMTL01000210.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-LMTL01000210.1-processed-gene-0.26&CDS=1-351	YAL044W-A
OG0002508	augustus_masked-LMTL01000210.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-LMTL01000210.1-processed-gene-0.32&CDS=1-4683	YOR326W
OG0002509	augustus_masked-LMTL01000210.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-LMTL01000210.1-processed-gene-0.27&CDS=1-708	YGL085W
OG0002510	augustus_masked-LMTL01000210.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-LMTL01000210.1-processed-gene-0.34&CDS=1-1599	YEL058W
OG0002511	augustus_masked-LMTL01000212.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LMTL01000212.1-processed-gene-0.9&CDS=1-309	YGR181W
OG0002512	augustus_masked-LMTL01000212.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LMTL01000212.1-processed-gene-0.10&CDS=1-735	YBL041W
OG0002513	augustus_masked-LMTL01000212.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LMTL01000212.1-processed-gene-0.16&CDS=1-636	YBL040C
OG0002514	augustus_masked-LMTL01000212.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LMTL01000212.1-processed-gene-0.18&CDS=1-4056	YDR301W
OG0002515	augustus_masked-LMTL01000212.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LMTL01000212.1-processed-gene-0.12&CDS=1-723	YDR302W
OG0002516	augustus_masked-LMTL01000212.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LMTL01000212.1-processed-gene-0.13&CDS=1-516	YLR109W
OG0002517	augustus_masked-LMTL01000215.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-LMTL01000215.1-processed-gene-0.24&CDS=1-1329	YLR090W
OG0002518	augustus_masked-LMTL01000215.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LMTL01000215.1-processed-gene-0.25&CDS=1-2556	YBR229C
OG0002519	augustus_masked-LMTL01000215.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LMTL01000215.1-processed-gene-0.16&CDS=1-2007	YDL074C
OG0002520	augustus_masked-LMTL01000215.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LMTL01000215.1-processed-gene-0.17&CDS=1-2070	YLR399C
OG0002521	augustus_masked-LMTL01000215.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LMTL01000215.1-processed-gene-0.18&CDS=1-6117	YKL182W
