	Metschnikowia_lockheadii	Saccharomyces_cerevisiae
OG0002233	snap_masked-loc-_s445-processed-gene-0.36-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-0.36&CDS=1-1689	YBR200W
OG0002234	snap_masked-loc-_s445-processed-gene-0.40-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-0.40&CDS=1-1257	YLR105C
OG0002235	snap_masked-loc-_s445-processed-gene-0.41-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-0.41&CDS=1-516	YER159C
OG0002236	snap_masked-loc-_s445-processed-gene-0.42-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-0.42&CDS=1-2268	YDR109C
OG0002237	snap_masked-loc-_s445-processed-gene-0.56-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-0.56&CDS=1-1740	YKR056W
OG0002238	snap_masked-loc-_s445-processed-gene-1.3-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.3&CDS=1-1350	YBR162C
OG0002239	snap_masked-loc-_s445-processed-gene-1.7-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.7&CDS=1-1020	YDL134C
OG0002240	augustus_masked-loc-_s445-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-loc-_s445-processed-gene-1.63&CDS=1-1851	YDL185W
OG0002241	snap_masked-loc-_s445-processed-gene-1.36-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.36&CDS=1-1092	YDL183C
OG0002242	snap_masked-loc-_s445-processed-gene-1.11-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.11&CDS=1-1152	YDL133W
OG0002243	snap_masked-loc-_s445-processed-gene-1.15-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.15&CDS=1-2802	YPL084W
OG0002244	maker-loc-_s445-snap-gene-1.160-mRNA-1_1&gene=maker-loc-_s445-snap-gene-1.160&CDS=1-4947	YDL145C
OG0002245	snap_masked-loc-_s445-processed-gene-1.21-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.21&CDS=1-1677	YBR170C
OG0002246	snap_masked-loc-_s445-processed-gene-1.22-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.22&CDS=1-2085	YBR169C
OG0002247	maker-loc-_s445-snap-gene-1.161-mRNA-1_1&gene=maker-loc-_s445-snap-gene-1.161&CDS=1-2268	YMR216C
OG0002248	genemark-loc-_s445-processed-gene-1.147-mRNA-1_1&gene=genemark-loc-_s445-processed-gene-1.147&CDS=1-1680	YPL086C
OG0002249	snap_masked-loc-_s445-processed-gene-1.44-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.44&CDS=1-1191	YPL054W
OG0002250	snap_masked-loc-_s445-processed-gene-1.46-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.46&CDS=1-1779	YMR013C
OG0002251	snap_masked-loc-_s445-processed-gene-1.47-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.47&CDS=1-3225	YPL195W
OG0002252	augustus_masked-loc-_s445-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-loc-_s445-processed-gene-1.77&CDS=1-849	YGL079W
OG0002253	snap_masked-loc-_s445-processed-gene-1.48-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.48&CDS=1-2061	YIL108W
OG0002254	snap_masked-loc-_s445-processed-gene-1.27-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.27&CDS=1-2586	YBR223C
OG0002255	snap_masked-loc-_s445-processed-gene-1.28-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.28&CDS=1-3582	YJL074C
OG0002256	snap_masked-loc-_s445-processed-gene-1.51-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.51&CDS=1-1374	YDR023W
OG0002257	genemark-loc-_s445-processed-gene-1.133-mRNA-1_1&gene=genemark-loc-_s445-processed-gene-1.133&CDS=1-1413	YDR030C
OG0002258	snap_masked-loc-_s445-processed-gene-1.54-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.54&CDS=1-1506	YGL160W
OG0002259	snap_masked-loc-_s445-processed-gene-1.31-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.31&CDS=1-513	YJL024C
OG0002260	snap_masked-loc-_s445-processed-gene-1.55-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.55&CDS=1-435	YGR174C
OG0002261	snap_masked-loc-_s445-processed-gene-1.32-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.32&CDS=1-1764	YDR213W
OG0002262	snap_masked-loc-_s445-processed-gene-1.33-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.33&CDS=1-573	YLR229C
OG0002263	snap_masked-loc-_s450-processed-gene-0.17-mRNA-1_1&gene=snap_masked-loc-_s450-processed-gene-0.17&CDS=1-648	YMR202W
OG0002264	augustus_masked-loc-_s450-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-loc-_s450-processed-gene-0.37&CDS=1-732	YMR200W
OG0002265	snap_masked-loc-_s451-processed-gene-0.14-mRNA-1_1&gene=snap_masked-loc-_s451-processed-gene-0.14&CDS=1-360	YAL046C
OG0002266	genemark-loc-_s451-processed-gene-0.22-mRNA-1_1&gene=genemark-loc-_s451-processed-gene-0.22&CDS=1-1938	YAL048C
OG0002267	snap_masked-loc-_s451-processed-gene-0.11-mRNA-1_1&gene=snap_masked-loc-_s451-processed-gene-0.11&CDS=1-600	YOR294W
OG0002268	snap_masked-loc-_s451-processed-gene-0.13-mRNA-1_1&gene=snap_masked-loc-_s451-processed-gene-0.13&CDS=1-3819	YOR296W
OG0002269	maker-loc-_s451-snap-gene-0.21-mRNA-1_1&gene=maker-loc-_s451-snap-gene-0.21&CDS=1-4305	YOL004W
OG0002270	maker-loc-_s451-snap-gene-0.20-mRNA-1_1&gene=maker-loc-_s451-snap-gene-0.20&CDS=1-360	YOL005C
OG0002271	augustus_masked-loc-_s453-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-loc-_s453-processed-gene-0.20&CDS=1-252	YLR038C
OG0002272	genemark-loc-_s453-processed-gene-0.6-mRNA-1_1&gene=genemark-loc-_s453-processed-gene-0.6&CDS=1-699	YMR132C
OG0002273	snap_masked-loc-_s453-processed-gene-0.10-mRNA-1_1&gene=snap_masked-loc-_s453-processed-gene-0.10&CDS=1-6765	YCR093W
OG0002274	snap_masked-loc-_s453-processed-gene-0.11-mRNA-1_1&gene=snap_masked-loc-_s453-processed-gene-0.11&CDS=1-660	YDR177W
OG0002275	snap_masked-loc-_s453-processed-gene-0.12-mRNA-1_1&gene=snap_masked-loc-_s453-processed-gene-0.12&CDS=1-1269	YNR051C
OG0002276	snap_masked-loc-_s453-processed-gene-0.17-mRNA-1_1&gene=snap_masked-loc-_s453-processed-gene-0.17&CDS=1-2580	YIL143C
OG0002277	genemark-loc-_s453-processed-gene-0.8-mRNA-1_1&gene=genemark-loc-_s453-processed-gene-0.8&CDS=1-1128	YKR092C
OG0002278	snap_masked-loc-_s455-processed-gene-0.0-mRNA-1_1&gene=snap_masked-loc-_s455-processed-gene-0.0&CDS=1-10476	YDR150W
OG0002279	snap_masked-loc-_s455-processed-gene-0.5-mRNA-1_1&gene=snap_masked-loc-_s455-processed-gene-0.5&CDS=1-453	YBR109C
OG0002280	maker-loc-_s455-snap-gene-0.16-mRNA-1_1&gene=maker-loc-_s455-snap-gene-0.16&CDS=1-3831	YOR346W
OG0002281	snap_masked-loc-_s460-processed-gene-0.5-mRNA-1_1&gene=snap_masked-loc-_s460-processed-gene-0.5&CDS=1-945	YKR080W
OG0002282	genemark-loc-_s460-processed-gene-0.10-mRNA-1_1&gene=genemark-loc-_s460-processed-gene-0.10&CDS=1-1809	YOR070C
OG0002283	snap_masked-loc-_s460-processed-gene-0.7-mRNA-1_1&gene=snap_masked-loc-_s460-processed-gene-0.7&CDS=1-1635	YHR064C
OG0002284	snap_masked-loc-_s464-processed-gene-0.8-mRNA-1_1&gene=snap_masked-loc-_s464-processed-gene-0.8&CDS=1-744	YGL005C
OG0002285	snap_masked-loc-_s464-processed-gene-0.12-mRNA-1_1&gene=snap_masked-loc-_s464-processed-gene-0.12&CDS=1-3372	YGL006W
OG0002286	snap_masked-loc-_s465-processed-gene-0.18-mRNA-1_1&gene=snap_masked-loc-_s465-processed-gene-0.18&CDS=1-672	YHR140W
OG0002287	snap_masked-loc-_s465-processed-gene-0.19-mRNA-1_1&gene=snap_masked-loc-_s465-processed-gene-0.19&CDS=1-1467	YHR132C
OG0002288	snap_masked-loc-_s465-processed-gene-0.20-mRNA-1_1&gene=snap_masked-loc-_s465-processed-gene-0.20&CDS=1-489	YDL219W
OG0002289	snap_masked-loc-_s465-processed-gene-0.22-mRNA-1_1&gene=snap_masked-loc-_s465-processed-gene-0.22&CDS=1-1314	YDR448W
OG0002290	snap_masked-loc-_s465-processed-gene-0.26-mRNA-1_1&gene=snap_masked-loc-_s465-processed-gene-0.26&CDS=1-639	YHR110W
OG0002291	snap_masked-loc-_s468-processed-gene-0.3-mRNA-1_1&gene=snap_masked-loc-_s468-processed-gene-0.3&CDS=1-1344	YNL181W
OG0002292	snap_masked-loc-_s468-processed-gene-0.2-mRNA-1_1&gene=snap_masked-loc-_s468-processed-gene-0.2&CDS=1-1380	YNL182C
OG0002293	snap_masked-loc-_s469-processed-gene-0.6-mRNA-1_1&gene=snap_masked-loc-_s469-processed-gene-0.6&CDS=1-747	YNL098C
OG0002294	snap_masked-loc-_s469-processed-gene-0.8-mRNA-1_1&gene=snap_masked-loc-_s469-processed-gene-0.8&CDS=1-990	YNL097C
OG0002295	snap_masked-loc-_s47-processed-gene-0.7-mRNA-1_1&gene=snap_masked-loc-_s47-processed-gene-0.7&CDS=1-618	YFL038C
OG0002296	snap_masked-loc-_s47-processed-gene-0.8-mRNA-1_1&gene=snap_masked-loc-_s47-processed-gene-0.8&CDS=1-867	YJR116W
OG0002297	snap_masked-loc-_s470-processed-gene-0.12-mRNA-1_1&gene=snap_masked-loc-_s470-processed-gene-0.12&CDS=1-1857	YKR099W
OG0002298	snap_masked-loc-_s470-processed-gene-0.19-mRNA-1_1&gene=snap_masked-loc-_s470-processed-gene-0.19&CDS=1-711	YOR077W
OG0002299	snap_masked-loc-_s470-processed-gene-0.20-mRNA-1_1&gene=snap_masked-loc-_s470-processed-gene-0.20&CDS=1-1011	YKR087C
OG0002300	genemark-loc-_s470-processed-gene-0.34-mRNA-1_1&gene=genemark-loc-_s470-processed-gene-0.34&CDS=1-537	YIL157C
OG0002301	snap_masked-loc-_s470-processed-gene-0.16-mRNA-1_1&gene=snap_masked-loc-_s470-processed-gene-0.16&CDS=1-480	YAL059W
OG0002302	snap_masked-loc-_s470-processed-gene-0.17-mRNA-1_1&gene=snap_masked-loc-_s470-processed-gene-0.17&CDS=1-1812	YAL058W
OG0002303	maker-loc-_s471-snap-gene-0.0-mRNA-1_1&gene=maker-loc-_s471-snap-gene-0.0&CDS=1-3612	YGL094C
OG0002304	genemark-loc-_s475-processed-gene-0.5-mRNA-1_1&gene=genemark-loc-_s475-processed-gene-0.5&CDS=1-3153	YMR189W
OG0002305	genemark-loc-_s477-processed-gene-0.24-mRNA-1_1&gene=genemark-loc-_s477-processed-gene-0.24&CDS=1-759	YFL046W
OG0002306	snap_masked-loc-_s477-processed-gene-0.1-mRNA-1_1&gene=snap_masked-loc-_s477-processed-gene-0.1&CDS=1-1905	YLR077W
OG0002307	snap_masked-loc-_s478-processed-gene-0.42-mRNA-1_1&gene=snap_masked-loc-_s478-processed-gene-0.42&CDS=1-444	YOR224C
OG0002308	snap_masked-loc-_s478-processed-gene-0.27-mRNA-1_1&gene=snap_masked-loc-_s478-processed-gene-0.27&CDS=1-4047	YGR061C
OG0002309	snap_masked-loc-_s478-processed-gene-0.28-mRNA-1_1&gene=snap_masked-loc-_s478-processed-gene-0.28&CDS=1-732	YNL178W
OG0002310	snap_masked-loc-_s478-processed-gene-0.45-mRNA-1_1&gene=snap_masked-loc-_s478-processed-gene-0.45&CDS=1-321	YJR085C
OG0002311	snap_masked-loc-_s478-processed-gene-0.30-mRNA-1_1&gene=snap_masked-loc-_s478-processed-gene-0.30&CDS=1-3990	YGL150C
OG0002312	augustus_masked-loc-_s478-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-loc-_s478-processed-gene-0.61&CDS=1-2016	YGL155W
OG0002313	snap_masked-loc-_s478-processed-gene-0.33-mRNA-1_1&gene=snap_masked-loc-_s478-processed-gene-0.33&CDS=1-948	YDL119C
OG0002314	snap_masked-loc-_s478-processed-gene-0.34-mRNA-1_1&gene=snap_masked-loc-_s478-processed-gene-0.34&CDS=1-1140	YGL153W
OG0002315	snap_masked-loc-_s478-processed-gene-0.36-mRNA-1_1&gene=snap_masked-loc-_s478-processed-gene-0.36&CDS=1-3297	YDL102W
OG0002316	snap_masked-loc-_s478-processed-gene-0.37-mRNA-1_1&gene=snap_masked-loc-_s478-processed-gene-0.37&CDS=1-945	YMR161W
OG0002317	snap_masked-loc-_s478-processed-gene-0.39-mRNA-1_1&gene=snap_masked-loc-_s478-processed-gene-0.39&CDS=1-1350	YOR197W
OG0002318	genemark-loc-_s479-processed-gene-0.2-mRNA-1_1&gene=genemark-loc-_s479-processed-gene-0.2&CDS=1-852	YGR205W
OG0002319	genemark-loc-_s480-processed-gene-0.4-mRNA-1_1&gene=genemark-loc-_s480-processed-gene-0.4&CDS=1-2319	YJR090C
OG0002320	snap_masked-loc-_s481-processed-gene-0.3-mRNA-1_1&gene=snap_masked-loc-_s481-processed-gene-0.3&CDS=1-1659	YDR188W
OG0002321	snap_masked-loc-_s482-processed-gene-0.9-mRNA-1_1&gene=snap_masked-loc-_s482-processed-gene-0.9&CDS=1-1362	YDR449C
OG0002322	maker-loc-_s482-augustus-gene-0.0-mRNA-1_1&gene=maker-loc-_s482-augustus-gene-0.0&CDS=1-504	YHR175W
OG0002323	snap_masked-loc-_s482-processed-gene-0.11-mRNA-1_1&gene=snap_masked-loc-_s482-processed-gene-0.11&CDS=1-1311	YHR009C
OG0002324	snap_masked-loc-_s485-processed-gene-0.4-mRNA-1_1&gene=snap_masked-loc-_s485-processed-gene-0.4&CDS=1-1443	YFR044C
OG0002325	augustus_masked-loc-_s485-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-loc-_s485-processed-gene-0.14&CDS=1-1053	YOR288C
OG0002326	snap_masked-loc-_s485-processed-gene-0.7-mRNA-1_1&gene=snap_masked-loc-_s485-processed-gene-0.7&CDS=1-1041	YJR100C
OG0002327	snap_masked-loc-_s485-processed-gene-0.8-mRNA-1_1&gene=snap_masked-loc-_s485-processed-gene-0.8&CDS=1-933	YJR095W
OG0002328	snap_masked-loc-_s485-processed-gene-0.9-mRNA-1_1&gene=snap_masked-loc-_s485-processed-gene-0.9&CDS=1-1368	YNL237W
OG0002329	genemark-loc-_s485-processed-gene-0.23-mRNA-1_1&gene=genemark-loc-_s485-processed-gene-0.23&CDS=1-2649	YNL238W
OG0002330	snap_masked-loc-_s485-processed-gene-0.3-mRNA-1_1&gene=snap_masked-loc-_s485-processed-gene-0.3&CDS=1-1506	YNL241C
OG0002331	genemark-loc-_s486-processed-gene-0.2-mRNA-1_1&gene=genemark-loc-_s486-processed-gene-0.2&CDS=1-657	YNL107W
OG0002332	genemark-loc-_s49-processed-gene-0.0-mRNA-1_1&gene=genemark-loc-_s49-processed-gene-0.0&CDS=1-5016	YGR170W
OG0002333	snap_masked-loc-_s49-processed-gene-0.66-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.66&CDS=1-2244	YGR264C
OG0002334	snap_masked-loc-_s49-processed-gene-0.44-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.44&CDS=1-1413	YMR293C
OG0002335	snap_masked-loc-_s49-processed-gene-0.67-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.67&CDS=1-828	YGR267C
OG0002336	snap_masked-loc-_s49-processed-gene-0.68-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.68&CDS=1-3564	YDR293C
OG0002337	snap_masked-loc-_s49-processed-gene-0.69-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.69&CDS=1-1401	YJR006W
OG0002338	snap_masked-loc-_s49-processed-gene-0.71-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.71&CDS=1-2070	YGR266W
OG0002339	snap_masked-loc-_s49-processed-gene-0.47-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.47&CDS=1-1521	YLR015W
OG0002340	maker-loc-_s49-snap-gene-0.41-mRNA-1_1&gene=maker-loc-_s49-snap-gene-0.41&CDS=1-432	YMR292W
OG0002341	snap_masked-loc-_s49-processed-gene-0.53-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.53&CDS=1-741	YGR268C
OG0002342	snap_masked-loc-_s49-processed-gene-0.74-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.74&CDS=1-1770	YHR037W
OG0002343	snap_masked-loc-_s49-processed-gene-0.75-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.75&CDS=1-1095	YMR294W
OG0002344	snap_masked-loc-_s49-processed-gene-0.76-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.76&CDS=1-1101	YGR173W
OG0002345	snap_masked-loc-_s49-processed-gene-0.54-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.54&CDS=1-672	YGR271C-A
OG0002346	snap_masked-loc-_s49-processed-gene-0.56-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.56&CDS=1-471	YJL011C
OG0002347	snap_masked-loc-_s49-processed-gene-0.57-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.57&CDS=1-306	YNL086W
OG0002348	snap_masked-loc-_s49-processed-gene-0.58-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.58&CDS=1-1509	YGL142C
OG0002349	snap_masked-loc-_s49-processed-gene-0.61-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.61&CDS=1-1560	YDL106C
OG0002350	snap_masked-loc-_s49-processed-gene-0.62-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.62&CDS=1-1086	YDL107W
OG0002351	snap_masked-loc-_s49-processed-gene-0.63-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.63&CDS=1-213	YDR079C-A
OG0002352	genemark-loc-_s49-processed-gene-0.38-mRNA-1_1&gene=genemark-loc-_s49-processed-gene-0.38&CDS=1-2487	YER157W
OG0002353	genemark-loc-_s49-processed-gene-0.20-mRNA-1_1&gene=genemark-loc-_s49-processed-gene-0.20&CDS=1-1758	YIL150C
OG0002354	snap_masked-loc-_s49-processed-gene-1.55-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.55&CDS=1-1002	YGL225W
OG0002355	snap_masked-loc-_s49-processed-gene-1.56-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.56&CDS=1-2955	YGL238W
OG0002356	snap_masked-loc-_s49-processed-gene-1.59-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.59&CDS=1-726	YGL237C
OG0002357	snap_masked-loc-_s49-processed-gene-1.60-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.60&CDS=1-849	YLR003C
OG0002358	snap_masked-loc-_s49-processed-gene-1.58-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.58&CDS=1-2031	YGL236C
OG0002359	snap_masked-loc-_s49-processed-gene-1.84-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.84&CDS=1-711	YFR027W
OG0002360	snap_masked-loc-_s49-processed-gene-1.62-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.62&CDS=1-894	YFR047C
OG0002361	snap_masked-loc-_s49-processed-gene-1.85-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.85&CDS=1-903	YGL240W
OG0002362	snap_masked-loc-_s49-processed-gene-1.87-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.87&CDS=1-2271	YJL101C
OG0002363	snap_masked-loc-_s49-processed-gene-1.88-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.88&CDS=1-2379	YGL234W
OG0002364	snap_masked-loc-_s49-processed-gene-1.89-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.89&CDS=1-1101	YMR024W
OG0002365	genemark-loc-_s49-processed-gene-1.11-mRNA-1_1&gene=genemark-loc-_s49-processed-gene-1.11&CDS=1-1287	YDR354W
OG0002366	snap_masked-loc-_s49-processed-gene-1.90-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.90&CDS=1-1272	YDR414C
OG0002367	snap_masked-loc-_s49-processed-gene-1.91-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.91&CDS=1-747	YDR412W
OG0002368	snap_masked-loc-_s49-processed-gene-1.65-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.65&CDS=1-624	YHR081W
OG0002369	snap_masked-loc-_s49-processed-gene-1.92-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.92&CDS=1-3351	YHR079C
OG0002370	snap_masked-loc-_s49-processed-gene-1.66-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.66&CDS=1-1212	YDR329C
OG0002371	snap_masked-loc-_s49-processed-gene-1.67-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.67&CDS=1-495	YDR328C
OG0002372	snap_masked-loc-_s49-processed-gene-1.95-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.95&CDS=1-1407	YDR330W
OG0002373	maker-loc-_s49-augustus-gene-1.164-mRNA-1_1&gene=maker-loc-_s49-augustus-gene-1.164&CDS=1-3594	YPL162C
OG0002374	snap_masked-loc-_s49-processed-gene-1.73-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.73&CDS=1-3462	YDR027C
OG0002375	snap_masked-loc-_s49-processed-gene-1.96-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.96&CDS=1-1203	YPR118W
OG0002376	snap_masked-loc-_s49-processed-gene-1.97-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.97&CDS=1-1362	YMR026C
OG0002377	snap_masked-loc-_s49-processed-gene-1.75-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.75&CDS=1-1308	YIL033C
OG0002378	snap_masked-loc-_s49-processed-gene-1.76-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.76&CDS=1-435	YER044C
OG0002379	snap_masked-loc-_s49-processed-gene-1.102-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.102&CDS=1-3144	YNL014W
OG0002380	snap_masked-loc-_s49-processed-gene-1.105-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.105&CDS=1-525	YCR046C
OG0002381	snap_masked-loc-_s49-processed-gene-1.106-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.106&CDS=1-804	YCR047C
OG0002382	snap_masked-loc-_s49-processed-gene-1.108-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.108&CDS=1-687	YNR020C
OG0002383	snap_masked-loc-_s49-processed-gene-1.79-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.79&CDS=1-648	YCR051W
OG0002384	snap_masked-loc-_s49-processed-gene-1.80-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.80&CDS=1-1044	YNR021W
OG0002385	snap_masked-loc-_s49-processed-gene-1.81-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.81&CDS=1-1002	YHR040W
OG0002386	snap_masked-loc-_s49-processed-gene-1.82-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.82&CDS=1-672	YOR319W
OG0002387	snap_masked-loc-_s49-processed-gene-2.188-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.188&CDS=1-1428	YNR023W
OG0002388	snap_masked-loc-_s49-processed-gene-2.190-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.190&CDS=1-771	YNL312W
OG0002389	snap_masked-loc-_s49-processed-gene-2.193-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.193&CDS=1-5061	YLR247C
OG0002390	snap_masked-loc-_s49-processed-gene-2.194-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.194&CDS=1-723	YNL010W
OG0002391	snap_masked-loc-_s49-processed-gene-2.233-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.233&CDS=1-300	YGL070C
OG0002392	snap_masked-loc-_s49-processed-gene-2.196-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.196&CDS=1-513	YGL068W
OG0002393	snap_masked-loc-_s49-processed-gene-2.197-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.197&CDS=1-738	YKL206C
OG0002394	maker-loc-_s49-augustus-gene-2.3-mRNA-1_1&gene=maker-loc-_s49-augustus-gene-2.3&CDS=1-2121	YDL178W
OG0002395	snap_masked-loc-_s49-processed-gene-2.200-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.200&CDS=1-393	YKL170W
OG0002396	snap_masked-loc-_s49-processed-gene-2.203-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.203&CDS=1-2202	YOR022C
OG0002397	snap_masked-loc-_s49-processed-gene-2.237-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.237&CDS=1-618	YOR021C
OG0002398	genemark-loc-_s49-processed-gene-2.26-mRNA-1_1&gene=genemark-loc-_s49-processed-gene-2.26&CDS=1-681	YDR408C
OG0002399	snap_masked-loc-_s49-processed-gene-2.242-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.242&CDS=1-1134	YDL168W
OG0002400	snap_masked-loc-_s49-processed-gene-2.244-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.244&CDS=1-807	YOR157C
OG0002401	snap_masked-loc-_s49-processed-gene-2.204-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.204&CDS=1-3960	YDR407C
OG0002402	snap_masked-loc-_s49-processed-gene-2.245-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.245&CDS=1-315	YMR244C-A
OG0002403	genemark-loc-_s49-processed-gene-2.28-mRNA-1_1&gene=genemark-loc-_s49-processed-gene-2.28&CDS=1-1137	YDR321W
OG0002404	genemark-loc-_s49-processed-gene-2.68-mRNA-1_1&gene=genemark-loc-_s49-processed-gene-2.68&CDS=1-2094	YOR317W
OG0002405	snap_masked-loc-_s49-processed-gene-2.248-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.248&CDS=1-1911	YMR108W
OG0002406	snap_masked-loc-_s49-processed-gene-2.250-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.250&CDS=1-1128	YDR282C
OG0002407	augustus_masked-loc-_s49-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-loc-_s49-processed-gene-2.124&CDS=1-2049	YKL104C
OG0002408	maker-loc-_s49-snap-gene-2.99-mRNA-1_1&gene=maker-loc-_s49-snap-gene-2.99&CDS=1-252	YIL156W-B
OG0002409	snap_masked-loc-_s49-processed-gene-2.208-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.208&CDS=1-1269	YER020W
OG0002410	snap_masked-loc-_s49-processed-gene-2.251-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.251&CDS=1-1845	YML017W
OG0002411	snap_masked-loc-_s49-processed-gene-2.253-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-2.253&CDS=1-1137	YHR068W
