	Lachancea_cidri	Saccharomyces_cerevisiae
OG0002875	snap_masked-LACI0G-processed-gene-16.57-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-16.57&CDS=1-1722	YGL116W
OG0002876	snap_masked-LACI0G-processed-gene-16.58-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-16.58&CDS=1-960	YGL115W
OG0002877	snap_masked-LACI0G-processed-gene-16.59-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-16.59&CDS=1-2196	YGL114W
OG0002878	snap_masked-LACI0G-processed-gene-16.81-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-16.81&CDS=1-846	YBR231C
OG0002879	snap_masked-LACI0G-processed-gene-16.60-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-16.60&CDS=1-1155	YBR233W
OG0002880	snap_masked-LACI0G-processed-gene-16.61-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-16.61&CDS=1-2160	YGL113W
OG0002881	snap_masked-LACI0G-processed-gene-16.82-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-16.82&CDS=1-1536	YGL112C
OG0002882	snap_masked-LACI0G-processed-gene-16.62-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-16.62&CDS=1-234	YBR233W-A
OG0002883	snap_masked-LACI0G-processed-gene-16.83-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-16.83&CDS=1-1119	YBR234C
OG0002884	snap_masked-LACI0G-processed-gene-16.63-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-16.63&CDS=1-1320	YGL111W
OG0002885	snap_masked-LACI0G-processed-gene-16.84-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-16.84&CDS=1-1794	YGL110C
OG0002886	snap_masked-LACI0G-processed-gene-16.64-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-16.64&CDS=1-3381	YBR235W
OG0002887	snap_masked-LACI0G-processed-gene-16.85-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-16.85&CDS=1-1263	YBR236C
OG0002888	snap_masked-LACI0G-processed-gene-17.48-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.48&CDS=1-2463	YBR237W
OG0002889	snap_masked-LACI0G-processed-gene-17.52-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.52&CDS=1-1908	YBR238C
OG0002890	snap_masked-LACI0G-processed-gene-17.49-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.49&CDS=1-429	YGL106W
OG0002891	snap_masked-LACI0G-processed-gene-17.53-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.53&CDS=1-1269	YBR239C
OG0002892	snap_masked-LACI0G-processed-gene-17.50-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.50&CDS=1-1104	YGL105W
OG0002893	snap_masked-LACI0G-processed-gene-17.54-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.54&CDS=1-1143	YBR240C
OG0002894	snap_masked-LACI0G-processed-gene-17.55-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.55&CDS=1-1554	YBR241C
OG0002895	maker-LACI0G-snap-gene-17.2-mRNA-1_1&gene=maker-LACI0G-snap-gene-17.2&CDS=1-447	YGL103W
OG0002896	augustus_masked-LACI0G-processed-gene-17.13-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-17.13&CDS=1-693	YGL101W
OG0002897	snap_masked-LACI0G-processed-gene-17.81-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.81&CDS=1-1338	YBR243C
OG0002898	snap_masked-LACI0G-processed-gene-17.58-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.58&CDS=1-1011	YGL100W
OG0002899	snap_masked-LACI0G-processed-gene-17.59-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.59&CDS=1-483	YIR037W
OG0002900	maker-LACI0G-augustus-gene-17.99-mRNA-1_1&gene=maker-LACI0G-augustus-gene-17.99&CDS=1-3099	YGL099W
OG0002901	snap_masked-LACI0G-processed-gene-17.62-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.62&CDS=1-789	YGL098W
OG0002902	snap_masked-LACI0G-processed-gene-17.84-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.84&CDS=1-1389	YBR247C
OG0002903	augustus_masked-LACI0G-processed-gene-17.20-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-17.20&CDS=1-1443	YGL097W
OG0002904	maker-LACI0G-snap-gene-17.3-mRNA-1_1&gene=maker-LACI0G-snap-gene-17.3&CDS=1-2751	YBR248C
OG0002905	augustus_masked-LACI0G-processed-gene-17.38-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-17.38&CDS=1-1626	YBR250W
OG0002906	snap_masked-LACI0G-processed-gene-17.67-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.67&CDS=1-939	YPL177C
OG0002907	snap_masked-LACI0G-processed-gene-17.89-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.89&CDS=1-615	YPL178W
OG0002908	snap_masked-LACI0G-processed-gene-17.68-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.68&CDS=1-1101	YPL181W
OG0002909	snap_masked-LACI0G-processed-gene-17.91-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.91&CDS=1-1731	YGL095C
OG0002910	snap_masked-LACI0G-processed-gene-17.69-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.69&CDS=1-1932	YPL180W
OG0002911	snap_masked-LACI0G-processed-gene-17.92-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.92&CDS=1-3378	YGL094C
OG0002912	snap_masked-LACI0G-processed-gene-17.70-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.70&CDS=1-2988	YPL183C
OG0002913	maker-LACI0G-snap-gene-17.4-mRNA-1_1&gene=maker-LACI0G-snap-gene-17.4&CDS=1-255	YPL183W-A
OG0002914	augustus_masked-LACI0G-processed-gene-17.26-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-17.26&CDS=1-2877	YGL093W
OG0002915	snap_masked-LACI0G-processed-gene-17.72-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.72&CDS=1-4173	YGL092W
OG0002916	snap_masked-LACI0G-processed-gene-17.93-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.93&CDS=1-981	YGL091C
OG0002917	augustus_masked-LACI0G-processed-gene-17.28-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-17.28&CDS=1-1173	YGL090W
OG0002918	snap_masked-LACI0G-processed-gene-17.74-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.74&CDS=1-1686	YPL184C
OG0002919	snap_masked-LACI0G-processed-gene-17.76-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.76&CDS=1-666	YPL186C
OG0002920	maker-LACI0G-augustus-gene-17.101-mRNA-1_1&gene=maker-LACI0G-augustus-gene-17.101&CDS=1-1542	YPL188W
OG0002921	augustus_masked-LACI0G-processed-gene-17.31-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-17.31&CDS=1-2622	YGL086W
OG0002922	snap_masked-LACI0G-processed-gene-17.97-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.97&CDS=1-1755	YGL084C
OG0002923	snap_masked-LACI0G-processed-gene-17.79-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.79&CDS=1-2412	YGL083W
OG0002924	snap_masked-LACI0G-processed-gene-17.80-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.80&CDS=1-201	YPL189C-A
OG0002925	snap_masked-LACI0G-processed-gene-18.51-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.51&CDS=1-2199	YPL190C
OG0002926	snap_masked-LACI0G-processed-gene-18.53-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.53&CDS=1-1116	YGL082W
OG0002927	snap_masked-LACI0G-processed-gene-18.54-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.54&CDS=1-1140	YGL081W
OG0002928	augustus_masked-LACI0G-processed-gene-18.6-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-18.6&CDS=1-1032	YPL193W
OG0002929	snap_masked-LACI0G-processed-gene-18.56-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.56&CDS=1-363	YGL080W
OG0002930	snap_masked-LACI0G-processed-gene-18.59-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.59&CDS=1-1635	YPL194W
OG0002931	snap_masked-LACI0G-processed-gene-18.60-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.60&CDS=1-2742	YPL195W
OG0002932	snap_masked-LACI0G-processed-gene-18.57-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.57&CDS=1-552	YGL079W
OG0002933	augustus_masked-LACI0G-processed-gene-18.9-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-18.9&CDS=1-771	YPL196W
OG0002934	maker-LACI0G-augustus-gene-18.161-mRNA-1_1&gene=maker-LACI0G-augustus-gene-18.161&CDS=1-3186	YGL077C
OG0002935	snap_masked-LACI0G-processed-gene-18.62-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.62&CDS=1-780	YPL199C
OG0002936	snap_masked-LACI0G-processed-gene-18.63-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.63&CDS=1-1722	YGL073W
OG0002937	snap_masked-LACI0G-processed-gene-18.64-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.64&CDS=1-1089	YPL201C
OG0002938	snap_masked-LACI0G-processed-gene-18.65-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.65&CDS=1-1650	YPL202C
OG0002939	snap_masked-LACI0G-processed-gene-18.87-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.87&CDS=1-330	YGL070C
OG0002940	snap_masked-LACI0G-processed-gene-18.66-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.66&CDS=1-510	YGL068W
OG0002941	snap_masked-LACI0G-processed-gene-18.88-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.88&CDS=1-1389	YPL204W
OG0002942	augustus_masked-LACI0G-processed-gene-18.15-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-18.15&CDS=1-1062	YGL067W
OG0002943	snap_masked-LACI0G-processed-gene-18.68-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.68&CDS=1-963	YPL206C
OG0002944	augustus_masked-LACI0G-processed-gene-18.17-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-18.17&CDS=1-1542	YGL066W
OG0002945	augustus_masked-LACI0G-processed-gene-18.35-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-18.35&CDS=1-1380	YGL065C
OG0002946	maker-LACI0G-augustus-gene-18.163-mRNA-1_1&gene=maker-LACI0G-augustus-gene-18.163&CDS=1-4104	YPL207W
OG0002947	snap_masked-LACI0G-processed-gene-18.70-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.70&CDS=1-1203	YPL209C
OG0002948	snap_masked-LACI0G-processed-gene-18.93-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.93&CDS=1-1689	YGL064C
OG0002949	snap_masked-LACI0G-processed-gene-18.71-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.71&CDS=1-1845	YPL210C
OG0002950	augustus_masked-LACI0G-processed-gene-18.38-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-18.38&CDS=1-543	YPL211W
OG0002951	maker-LACI0G-snap-gene-18.49-mRNA-1_1&gene=maker-LACI0G-snap-gene-18.49&CDS=1-1605	YPL212C
OG0002952	snap_masked-LACI0G-processed-gene-18.73-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.73&CDS=1-1314	YGL129C
OG0002953	snap_masked-LACI0G-processed-gene-18.95-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.95&CDS=1-1368	YGL130W
OG0002954	snap_masked-LACI0G-processed-gene-18.74-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.74&CDS=1-4572	YGL131C
OG0002955	snap_masked-LACI0G-processed-gene-18.96-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.96&CDS=1-699	YPL213W
OG0002956	snap_masked-LACI0G-processed-gene-18.75-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.75&CDS=1-1614	YPL214C
OG0002957	snap_masked-LACI0G-processed-gene-18.97-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.97&CDS=1-1008	YPL215W
OG0002958	snap_masked-LACI0G-processed-gene-18.98-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.98&CDS=1-3324	YGL133W
OG0002959	snap_masked-LACI0G-processed-gene-18.76-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.76&CDS=1-3528	YPL217C
OG0002960	maker-LACI0G-augustus-gene-18.164-mRNA-1_1&gene=maker-LACI0G-augustus-gene-18.164&CDS=1-1959	YPL218W
OG0002961	snap_masked-LACI0G-processed-gene-18.77-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.77&CDS=1-942	YGL136C
OG0002962	augustus_masked-LACI0G-processed-gene-18.45-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-18.45&CDS=1-2610	YGL137W
OG0002963	augustus_masked-LACI0G-processed-gene-18.27-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-18.27&CDS=1-1539	YGL138C
OG0002964	snap_masked-LACI0G-processed-gene-18.103-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.103&CDS=1-2418	YPL221W
OG0002965	snap_masked-LACI0G-processed-gene-18.105-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.105&CDS=1-1992	YPL222W
OG0002966	snap_masked-LACI0G-processed-gene-18.78-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.78&CDS=1-2001	YMR172W
OG0002967	snap_masked-LACI0G-processed-gene-19.43-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.43&CDS=1-4749	YMR176W
OG0002968	snap_masked-LACI0G-processed-gene-19.44-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.44&CDS=1-1485	YMR177W
OG0002969	snap_masked-LACI0G-processed-gene-19.73-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.73&CDS=1-438	YPL225W
OG0002970	augustus_masked-LACI0G-processed-gene-19.3-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-19.3&CDS=1-867	YMR178W
OG0002971	snap_masked-LACI0G-processed-gene-19.74-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.74&CDS=1-3555	YPL226W
OG0002972	snap_masked-LACI0G-processed-gene-19.47-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.47&CDS=1-2016	YMR179W
OG0002973	snap_masked-LACI0G-processed-gene-19.48-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.48&CDS=1-1002	YPL227C
OG0002974	augustus_masked-LACI0G-processed-gene-19.25-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-19.25&CDS=1-1374	YPL228W
OG0002975	snap_masked-LACI0G-processed-gene-19.76-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.76&CDS=1-447	YMR181C
OG0002976	snap_masked-LACI0G-processed-gene-19.80-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.80&CDS=1-639	YPL233W
OG0002977	snap_masked-LACI0G-processed-gene-19.49-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.49&CDS=1-492	YPL234C
OG0002978	snap_masked-LACI0G-processed-gene-19.81-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.81&CDS=1-1407	YPL235W
OG0002979	snap_masked-LACI0G-processed-gene-19.50-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.50&CDS=1-1026	YPL236C
OG0002980	snap_masked-LACI0G-processed-gene-19.51-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.51&CDS=1-429	YMR184W
OG0002981	snap_masked-LACI0G-processed-gene-19.82-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.82&CDS=1-846	YPL237W
OG0002982	snap_masked-LACI0G-processed-gene-19.83-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.83&CDS=1-642	YPL239W
OG0002983	snap_masked-LACI0G-processed-gene-19.54-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.54&CDS=1-888	YPL241C
OG0002984	snap_masked-LACI0G-processed-gene-19.55-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.55&CDS=1-4608	YPL242C
OG0002985	snap_masked-LACI0G-processed-gene-19.85-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.85&CDS=1-1299	YMR187C
OG0002986	snap_masked-LACI0G-processed-gene-19.86-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.86&CDS=1-1746	YPL243W
OG0002987	snap_masked-LACI0G-processed-gene-19.56-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.56&CDS=1-990	YPL244C
OG0002988	snap_masked-LACI0G-processed-gene-19.58-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.58&CDS=1-966	YIL164C
OG0002989	snap_masked-LACI0G-processed-gene-19.87-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.87&CDS=1-1302	YPL245W
OG0002990	maker-LACI0G-snap-gene-19.38-mRNA-1_1&gene=maker-LACI0G-snap-gene-19.38&CDS=1-792	YPL246C
OG0002991	snap_masked-LACI0G-processed-gene-19.88-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.88&CDS=1-690	YMR188C
OG0002992	augustus_masked-LACI0G-processed-gene-19.13-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-19.13&CDS=1-4269	YMR189W
OG0002993	snap_masked-LACI0G-processed-gene-19.62-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.62&CDS=1-1740	YAL067C
OG0002994	snap_masked-LACI0G-processed-gene-19.89-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.89&CDS=1-4224	YMR190C
OG0002995	augustus_masked-LACI0G-processed-gene-19.15-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-19.15&CDS=1-2310	YPL248C
OG0002996	snap_masked-LACI0G-processed-gene-19.63-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.63&CDS=1-1104	YMR191W
OG0002997	augustus_masked-LACI0G-processed-gene-19.17-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-19.17&CDS=1-3492	YMR193W
OG0002998	snap_masked-LACI0G-processed-gene-19.90-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.90&CDS=1-237	YMR194C-B
OG0002999	snap_masked-LACI0G-processed-gene-19.69-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.69&CDS=1-372	YPL250C
OG0003000	snap_masked-LACI0G-processed-gene-19.70-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.70&CDS=1-3234	YMR196W
OG0003001	snap_masked-LACI0G-processed-gene-19.91-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.91&CDS=1-657	YMR197C
OG0003002	snap_masked-LACI0G-processed-gene-19.71-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.71&CDS=1-486	YPL252C
OG0003003	snap_masked-LACI0G-processed-gene-19.72-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-19.72&CDS=1-1905	YPL253C
OG0003004	snap_masked-LACI0G-processed-gene-20.48-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.48&CDS=1-1290	YPL254W
OG0003005	snap_masked-LACI0G-processed-gene-20.49-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.49&CDS=1-1122	YPL255W
OG0003006	snap_masked-LACI0G-processed-gene-20.45-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.45&CDS=1-1512	YPL256C
OG0003007	maker-LACI0G-augustus-gene-20.95-mRNA-1_1&gene=maker-LACI0G-augustus-gene-20.95&CDS=1-2739	YNR006W
OG0003008	augustus_masked-LACI0G-processed-gene-20.4-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-20.4&CDS=1-1851	YMR201C
OG0003009	snap_masked-LACI0G-processed-gene-20.51-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.51&CDS=1-1881	YNR008W
OG0003010	snap_masked-LACI0G-processed-gene-20.52-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.52&CDS=1-594	YNR009W
OG0003011	genemark-LACI0G-processed-gene-20.107-mRNA-1_1&gene=genemark-LACI0G-processed-gene-20.107&CDS=1-666	YMR202W
OG0003012	augustus_masked-LACI0G-processed-gene-20.6-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-20.6&CDS=1-1533	YMR203W
OG0003013	snap_masked-LACI0G-processed-gene-20.73-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.73&CDS=1-1149	YMR204C
OG0003014	augustus_masked-LACI0G-processed-gene-20.25-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-20.25&CDS=1-963	YML004C
OG0003015	snap_masked-LACI0G-processed-gene-20.76-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.76&CDS=1-2682	YNR011C
OG0003016	snap_masked-LACI0G-processed-gene-20.56-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.56&CDS=1-1452	YNR012W
OG0003017	snap_masked-LACI0G-processed-gene-20.57-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.57&CDS=1-1182	YNR015W
OG0003018	snap_masked-LACI0G-processed-gene-20.79-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.79&CDS=1-6693	YNR016C
OG0003019	snap_masked-LACI0G-processed-gene-20.58-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.58&CDS=1-654	YNR017W
OG0003020	snap_masked-LACI0G-processed-gene-20.80-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.80&CDS=1-1635	YCR045C
OG0003021	snap_masked-LACI0G-processed-gene-20.59-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.59&CDS=1-666	YNR018W
OG0003022	augustus_masked-LACI0G-processed-gene-20.31-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-20.31&CDS=1-1269	YCR047C
OG0003023	snap_masked-LACI0G-processed-gene-20.60-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.60&CDS=1-1665	YNR019W
OG0003024	snap_masked-LACI0G-processed-gene-20.83-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.83&CDS=1-729	YNR020C
OG0003025	snap_masked-LACI0G-processed-gene-20.61-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.61&CDS=1-609	YCR051W
OG0003026	snap_masked-LACI0G-processed-gene-20.62-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.62&CDS=1-1221	YNR021W
OG0003027	snap_masked-LACI0G-processed-gene-20.84-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.84&CDS=1-408	YNR022C
OG0003028	augustus_masked-LACI0G-processed-gene-20.14-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-20.14&CDS=1-2811	YCR053W
OG0003029	snap_masked-LACI0G-processed-gene-20.85-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.85&CDS=1-1578	YCR054C
OG0003030	snap_masked-LACI0G-processed-gene-20.86-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.86&CDS=1-2682	YCR057C
OG0003031	snap_masked-LACI0G-processed-gene-20.87-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.87&CDS=1-852	YCR059C
OG0003032	genemark-LACI0G-processed-gene-20.120-mRNA-1_1&gene=genemark-LACI0G-processed-gene-20.120&CDS=1-1866	YCR061W
OG0003033	snap_masked-LACI0G-processed-gene-20.65-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.65&CDS=1-408	YCR063W
OG0003034	snap_masked-LACI0G-processed-gene-20.66-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.66&CDS=1-1812	YCR065W
OG0003035	snap_masked-LACI0G-processed-gene-20.67-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.67&CDS=1-1287	YCR066W
OG0003036	snap_masked-LACI0G-processed-gene-20.89-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.89&CDS=1-2997	YNR026C
OG0003037	snap_masked-LACI0G-processed-gene-20.68-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.68&CDS=1-909	YNR027W
OG0003038	snap_masked-LACI0G-processed-gene-20.69-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.69&CDS=1-1575	YCR068W
OG0003039	augustus_masked-LACI0G-processed-gene-20.21-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-20.21&CDS=1-915	YCR069W
OG0003040	augustus_masked-LACI0G-processed-gene-20.39-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-20.39&CDS=1-1221	YNR029C
OG0003041	snap_masked-LACI0G-processed-gene-20.71-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.71&CDS=1-1635	YNR030W
OG0003042	snap_masked-LACI0G-processed-gene-20.91-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.91&CDS=1-2022	YCR072C
OG0003043	snap_masked-LACI0G-processed-gene-20.92-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.92&CDS=1-4590	YNR031C
OG0003044	maker-LACI0G-augustus-gene-21.0-mRNA-1_1&gene=maker-LACI0G-augustus-gene-21.0&CDS=1-3300	YNR033W
OG0003045	snap_masked-LACI0G-processed-gene-20.93-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-20.93&CDS=1-219	YNR032C-A
OG0003046	snap_masked-LACI0G-processed-gene-21.64-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-21.64&CDS=1-924	YNR034W
OG0003047	snap_masked-LACI0G-processed-gene-21.66-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-21.66&CDS=1-642	YCR075C
OG0003048	snap_masked-LACI0G-processed-gene-21.65-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-21.65&CDS=1-255	YCR075W-A
OG0003049	augustus_masked-LACI0G-processed-gene-21.123-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-21.123&CDS=1-915	YCR076C
OG0003050	augustus_masked-LACI0G-processed-gene-21.124-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-21.124&CDS=1-4056	YCR077C
OG0003051	snap_masked-LACI0G-processed-gene-21.70-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-21.70&CDS=1-1443	YCR079W
OG0003052	snap_masked-LACI0G-processed-gene-21.93-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-21.93&CDS=1-273	YNR037C
OG0003053	snap_masked-LACI0G-processed-gene-21.71-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-21.71&CDS=1-1833	YNR038W
OG0003054	snap_masked-LACI0G-processed-gene-21.72-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-21.72&CDS=1-4116	YCR081W
OG0003055	snap_masked-LACI0G-processed-gene-21.94-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-21.94&CDS=1-1701	YNR039C
OG0003056	augustus_masked-LACI0G-processed-gene-21.128-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-21.128&CDS=1-1104	YNR041C
