	Saccharomyces_cerevisiae	yHAB164_Kazachstania_aerobia
OG0003624	YOR147W	genemark-scf7180000020224-processed-gene-0.85-mRNA-1_1&gene=genemark-scf7180000020224-processed-gene-0.85&CDS=1-1803
OG0003625	YOR148C	augustus_masked-scf7180000020224-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scf7180000020224-processed-gene-0.43&CDS=1-537
OG0003626	YOR149C	genemark-scf7180000020207-processed-gene-0.20-mRNA-1_1&gene=genemark-scf7180000020207-processed-gene-0.20&CDS=1-1518
OG0003627	YOR150W	genemark-scf7180000020224-processed-gene-0.87-mRNA-1_1&gene=genemark-scf7180000020224-processed-gene-0.87&CDS=1-483
OG0003628	YOR151C	genemark-scf7180000020224-processed-gene-0.123-mRNA-1_1&gene=genemark-scf7180000020224-processed-gene-0.123&CDS=1-3657
OG0003629	YOR152C	snap_masked-scf7180000020224-processed-gene-0.199-mRNA-1_1&gene=snap_masked-scf7180000020224-processed-gene-0.199&CDS=1-1041
OG0003630	YOR155C	genemark-scf7180000020224-processed-gene-0.125-mRNA-1_1&gene=genemark-scf7180000020224-processed-gene-0.125&CDS=1-1383
OG0003631	YOR156C	genemark-scf7180000020224-processed-gene-0.93-mRNA-1_1&gene=genemark-scf7180000020224-processed-gene-0.93&CDS=1-2466
OG0003632	YOR157C	genemark-scf7180000020224-processed-gene-0.92-mRNA-1_1&gene=genemark-scf7180000020224-processed-gene-0.92&CDS=1-786
OG0003633	YOR158W	genemark-scf7180000020224-processed-gene-0.128-mRNA-1_1&gene=genemark-scf7180000020224-processed-gene-0.128&CDS=1-864
OG0003634	YOR159C	augustus_masked-scf7180000020224-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000020224-processed-gene-0.10&CDS=1-282
OG0003635	YOR160W	genemark-scf7180000020224-processed-gene-0.127-mRNA-1_1&gene=genemark-scf7180000020224-processed-gene-0.127&CDS=1-2865
OG0003636	YOR161C	genemark-scf7180000020224-processed-gene-0.89-mRNA-1_1&gene=genemark-scf7180000020224-processed-gene-0.89&CDS=1-1683
OG0003637	YOR163W	genemark-scf7180000020166-processed-gene-0.124-mRNA-1_1&gene=genemark-scf7180000020166-processed-gene-0.124&CDS=1-540
OG0003638	YOR164C	genemark-scf7180000020166-processed-gene-0.86-mRNA-1_1&gene=genemark-scf7180000020166-processed-gene-0.86&CDS=1-945
OG0003639	YOR165W	genemark-scf7180000020166-processed-gene-0.123-mRNA-1_1&gene=genemark-scf7180000020166-processed-gene-0.123&CDS=1-2364
OG0003640	YOR166C	genemark-scf7180000020166-processed-gene-0.85-mRNA-1_1&gene=genemark-scf7180000020166-processed-gene-0.85&CDS=1-1506
OG0003641	YOR168W	maker-scf7180000020166-snap-gene-0.150-mRNA-1_1&gene=maker-scf7180000020166-snap-gene-0.150&CDS=1-2373
OG0003642	YOR174W	genemark-scf7180000020129-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000020129-processed-gene-0.15&CDS=1-870
OG0003643	YOR175C	genemark-scf7180000020129-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000020129-processed-gene-0.7&CDS=1-1851
OG0003644	YOR176W	genemark-scf7180000020129-processed-gene-0.14-mRNA-1_1&gene=genemark-scf7180000020129-processed-gene-0.14&CDS=1-1194
OG0003645	YOR178C	augustus_masked-scf7180000020129-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-scf7180000020129-processed-gene-0.39&CDS=1-2634
OG0003646	YOR179C	snap_masked-scf7180000020129-processed-gene-0.22-mRNA-1_1&gene=snap_masked-scf7180000020129-processed-gene-0.22&CDS=1-582
OG0003647	YOR181W	genemark-scf7180000020129-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000020129-processed-gene-0.12&CDS=1-2172
OG0003648	YOR187W	maker-scf7180000020083-snap-gene-0.14-mRNA-1_1&gene=maker-scf7180000020083-snap-gene-0.14&CDS=1-2592
OG0003649	YOR188W	genemark-scf7180000020083-processed-gene-0.20-mRNA-1_1&gene=genemark-scf7180000020083-processed-gene-0.20&CDS=1-4644
OG0003650	YOR191W	augustus_masked-scf7180000020169-processed-gene-0.212-mRNA-1_1&gene=augustus_masked-scf7180000020169-processed-gene-0.212&CDS=1-5454
OG0003651	YOR194C	augustus_masked-scf7180000020185-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000020185-processed-gene-0.3&CDS=1-864
OG0003652	YOR195W	genemark-scf7180000020222-processed-gene-0.34-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.34&CDS=1-2223
OG0003653	YOR196C	genemark-scf7180000020222-processed-gene-0.74-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.74&CDS=1-1155
OG0003654	YOR197W	genemark-scf7180000020222-processed-gene-0.35-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.35&CDS=1-1257
OG0003655	YOR198C	genemark-scf7180000020222-processed-gene-0.75-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.75&CDS=1-1422
OG0003656	YOR201C	genemark-scf7180000020222-processed-gene-0.76-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.76&CDS=1-1257
OG0003657	YOR202W	genemark-scf7180000020222-processed-gene-0.36-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.36&CDS=1-672
OG0003658	YOR205C	genemark-scf7180000020222-processed-gene-0.77-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.77&CDS=1-1695
OG0003659	YOR206W	genemark-scf7180000020222-processed-gene-0.38-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.38&CDS=1-2046
OG0003660	YOR207C	genemark-scf7180000020222-processed-gene-0.78-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.78&CDS=1-3441
OG0003661	YOR209C	genemark-scf7180000020185-processed-gene-0.87-mRNA-1_1&gene=genemark-scf7180000020185-processed-gene-0.87&CDS=1-1302
OG0003662	YOR211C	augustus_masked-scf7180000020222-processed-gene-0.225-mRNA-1_1&gene=augustus_masked-scf7180000020222-processed-gene-0.225&CDS=1-2595
OG0003663	YOR212W	genemark-scf7180000020222-processed-gene-0.41-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.41&CDS=1-1269
OG0003664	YOR215C	augustus_masked-scf7180000020222-processed-gene-0.227-mRNA-1_1&gene=augustus_masked-scf7180000020222-processed-gene-0.227&CDS=1-558
OG0003665	YOR216C	genemark-scf7180000020222-processed-gene-0.81-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.81&CDS=1-1527
OG0003666	YOR217W	genemark-scf7180000020222-processed-gene-0.42-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.42&CDS=1-2703
OG0003667	YOR219C	genemark-scf7180000020185-processed-gene-0.91-mRNA-1_1&gene=genemark-scf7180000020185-processed-gene-0.91&CDS=1-2703
OG0003668	YOR220W	snap_masked-scf7180000020222-processed-gene-0.125-mRNA-1_1&gene=snap_masked-scf7180000020222-processed-gene-0.125&CDS=1-810
OG0003669	YOR221C	genemark-scf7180000020222-processed-gene-0.82-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.82&CDS=1-1101
OG0003670	YOR223W	augustus_masked-scf7180000020222-processed-gene-0.198-mRNA-1_1&gene=augustus_masked-scf7180000020222-processed-gene-0.198&CDS=1-780
OG0003671	YOR224C	genemark-scf7180000020222-processed-gene-0.83-mRNA-1_1&gene=genemark-scf7180000020222-processed-gene-0.83&CDS=1-435
OG0003672	YOR236W	genemark-scf7180000020213-processed-gene-0.98-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-0.98&CDS=1-663
OG0003673	YOR238W	genemark-scf7180000020213-processed-gene-0.100-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-0.100&CDS=1-888
OG0003674	YOR239W	maker-scf7180000020213-snap-gene-0.136-mRNA-1_1&gene=maker-scf7180000020213-snap-gene-0.136&CDS=1-1746
OG0003675	YOR241W	genemark-scf7180000020213-processed-gene-0.103-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-0.103&CDS=1-1455
OG0003676	YOR242C	snap_masked-scf7180000020213-processed-gene-0.78-mRNA-1_1&gene=snap_masked-scf7180000020213-processed-gene-0.78&CDS=1-1029
OG0003677	YOR243C	genemark-scf7180000020213-processed-gene-0.126-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-0.126&CDS=1-2016
OG0003678	YOR244W	snap_masked-scf7180000020213-processed-gene-0.59-mRNA-1_1&gene=snap_masked-scf7180000020213-processed-gene-0.59&CDS=1-1386
OG0003679	YOR245C	genemark-scf7180000020213-processed-gene-0.127-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-0.127&CDS=1-1344
OG0003680	YOR246C	genemark-scf7180000020213-processed-gene-0.129-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-0.129&CDS=1-984
OG0003681	YOR249C	snap_masked-scf7180000020213-processed-gene-0.82-mRNA-1_1&gene=snap_masked-scf7180000020213-processed-gene-0.82&CDS=1-1947
OG0003682	YOR250C	genemark-scf7180000020213-processed-gene-0.131-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-0.131&CDS=1-1491
OG0003683	YOR251C	genemark-scf7180000020213-processed-gene-0.132-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-0.132&CDS=1-945
OG0003684	YOR252W	genemark-scf7180000020213-processed-gene-0.108-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-0.108&CDS=1-540
OG0003685	YOR254C	genemark-scf7180000020154-processed-gene-0.32-mRNA-1_1&gene=genemark-scf7180000020154-processed-gene-0.32&CDS=1-1965
OG0003686	YOR255W	snap_masked-scf7180000020154-processed-gene-0.44-mRNA-1_1&gene=snap_masked-scf7180000020154-processed-gene-0.44&CDS=1-1005
OG0003687	YOR257W	genemark-scf7180000020213-processed-gene-0.111-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-0.111&CDS=1-525
OG0003688	YOR258W	maker-scf7180000020213-augustus-gene-0.87-mRNA-1_1&gene=maker-scf7180000020213-augustus-gene-0.87&CDS=1-549
OG0003689	YOR259C	genemark-scf7180000020213-processed-gene-1.97-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.97&CDS=1-1305
OG0003690	YOR260W	genemark-scf7180000020213-processed-gene-1.92-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.92&CDS=1-1767
OG0003691	YOR261C	genemark-scf7180000020131-processed-gene-0.26-mRNA-1_1&gene=genemark-scf7180000020131-processed-gene-0.26&CDS=1-1077
OG0003692	YOR262W	genemark-scf7180000020213-processed-gene-1.93-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.93&CDS=1-1044
OG0003693	YOR264W	snap_masked-scf7180000020213-processed-gene-1.185-mRNA-1_1&gene=snap_masked-scf7180000020213-processed-gene-1.185&CDS=1-1317
OG0003694	YOR265W	genemark-scf7180000020213-processed-gene-1.95-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.95&CDS=1-321
OG0003695	YOR266W	augustus_masked-scf7180000020213-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-scf7180000020213-processed-gene-1.3&CDS=1-1248
OG0003696	YOR267C	genemark-scf7180000020213-processed-gene-1.98-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.98&CDS=1-2274
OG0003697	YOR269W	augustus_masked-scf7180000020213-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-scf7180000020213-processed-gene-1.6&CDS=1-1521
OG0003698	YOR271C	genemark-scf7180000020213-processed-gene-1.146-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.146&CDS=1-981
OG0003699	YOR272W	genemark-scf7180000020213-processed-gene-1.100-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.100&CDS=1-1377
OG0003700	YOR273C	genemark-scf7180000020213-processed-gene-1.147-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.147&CDS=1-1965
OG0003701	YOR274W	augustus_masked-scf7180000020213-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-scf7180000020213-processed-gene-1.8&CDS=1-1317
OG0003702	YOR275C	augustus_masked-scf7180000020213-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-scf7180000020213-processed-gene-1.53&CDS=1-2049
OG0003703	YOR276W	genemark-scf7180000020213-processed-gene-1.102-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.102&CDS=1-513
OG0003704	YOR278W	genemark-scf7180000020213-processed-gene-1.105-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.105&CDS=1-699
OG0003705	YOR279C	augustus_masked-scf7180000020213-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-scf7180000020213-processed-gene-1.54&CDS=1-1074
OG0003706	YOR280C	genemark-scf7180000020213-processed-gene-1.150-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.150&CDS=1-828
OG0003707	YOR281C	genemark-scf7180000020213-processed-gene-1.151-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.151&CDS=1-861
OG0003708	YOR283W	genemark-scf7180000020213-processed-gene-1.107-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.107&CDS=1-693
OG0003709	YOR286W	maker-scf7180000020213-snap-gene-1.87-mRNA-1_1&gene=maker-scf7180000020213-snap-gene-1.87&CDS=1-891
OG0003710	YOR287C	genemark-scf7180000020213-processed-gene-1.152-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.152&CDS=1-963
OG0003711	YOR288C	genemark-scf7180000020213-processed-gene-1.153-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.153&CDS=1-1065
OG0003712	YOR291W	maker-scf7180000020213-augustus-gene-1.181-mRNA-1_1&gene=maker-scf7180000020213-augustus-gene-1.181&CDS=1-5067
OG0003713	YOR292C	genemark-scf7180000020213-processed-gene-1.154-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.154&CDS=1-1017
OG0003714	YOR294W	genemark-scf7180000020201-processed-gene-0.73-mRNA-1_1&gene=genemark-scf7180000020201-processed-gene-0.73&CDS=1-597
OG0003715	YOR296W	augustus_masked-scf7180000020213-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-scf7180000020213-processed-gene-1.19&CDS=1-3849
OG0003716	YOR297C	genemark-scf7180000020213-processed-gene-1.155-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.155&CDS=1-675
OG0003717	YOR298C-A	genemark-scf7180000020201-processed-gene-0.86-mRNA-1_1&gene=genemark-scf7180000020201-processed-gene-0.86&CDS=1-447
OG0003718	YOR298W	augustus_masked-scf7180000020213-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-scf7180000020213-processed-gene-1.23&CDS=1-1143
OG0003719	YOR301W	snap_masked-scf7180000020213-processed-gene-1.211-mRNA-1_1&gene=snap_masked-scf7180000020213-processed-gene-1.211&CDS=1-864
OG0003720	YOR303W	snap_masked-scf7180000020213-processed-gene-1.212-mRNA-1_1&gene=snap_masked-scf7180000020213-processed-gene-1.212&CDS=1-1242
OG0003721	YOR304C-A	augustus_masked-scf7180000020213-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-scf7180000020213-processed-gene-1.61&CDS=1-279
OG0003722	YOR304W	genemark-scf7180000020213-processed-gene-1.121-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.121&CDS=1-3108
OG0003723	YOR305W	snap_masked-scf7180000020213-processed-gene-1.214-mRNA-1_1&gene=snap_masked-scf7180000020213-processed-gene-1.214&CDS=1-654
OG0003724	YOR306C	genemark-scf7180000020213-processed-gene-1.157-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.157&CDS=1-1635
OG0003725	YOR308C	snap_masked-scf7180000020213-processed-gene-1.252-mRNA-1_1&gene=snap_masked-scf7180000020213-processed-gene-1.252&CDS=1-1692
OG0003726	YOR310C	genemark-scf7180000020213-processed-gene-1.159-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.159&CDS=1-1590
OG0003727	YOR311C	genemark-scf7180000020213-processed-gene-1.161-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.161&CDS=1-885
OG0003728	YOR313C	augustus_masked-scf7180000020213-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-scf7180000020213-processed-gene-1.68&CDS=1-1125
OG0003729	YOR315W	augustus_masked-scf7180000020213-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-scf7180000020213-processed-gene-1.27&CDS=1-1281
OG0003730	YOR319W	genemark-scf7180000020213-processed-gene-1.125-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.125&CDS=1-648
OG0003731	YOR322C	genemark-scf7180000020230-processed-gene-0.152-mRNA-1_1&gene=genemark-scf7180000020230-processed-gene-0.152&CDS=1-2511
OG0003732	YOR323C	genemark-scf7180000020230-processed-gene-0.151-mRNA-1_1&gene=genemark-scf7180000020230-processed-gene-0.151&CDS=1-1368
OG0003733	YOR326W	genemark-scf7180000020230-processed-gene-0.188-mRNA-1_1&gene=genemark-scf7180000020230-processed-gene-0.188&CDS=1-4668
OG0003734	YOR327C	genemark-scf7180000020230-processed-gene-0.149-mRNA-1_1&gene=genemark-scf7180000020230-processed-gene-0.149&CDS=1-339
OG0003735	YOR329C	genemark-scf7180000020205-processed-gene-0.62-mRNA-1_1&gene=genemark-scf7180000020205-processed-gene-0.62&CDS=1-2625
OG0003736	YOR330C	augustus_masked-scf7180000020205-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-scf7180000020205-processed-gene-0.125&CDS=1-3360
OG0003737	YOR332W	genemark-scf7180000020205-processed-gene-0.102-mRNA-1_1&gene=genemark-scf7180000020205-processed-gene-0.102&CDS=1-705
OG0003738	YOR334W	genemark-scf7180000020205-processed-gene-0.101-mRNA-1_1&gene=genemark-scf7180000020205-processed-gene-0.101&CDS=1-1494
OG0003739	YOR335C	genemark-scf7180000020205-processed-gene-0.73-mRNA-1_1&gene=genemark-scf7180000020205-processed-gene-0.73&CDS=1-2871
OG0003740	YOR336W	snap_masked-scf7180000020205-processed-gene-0.44-mRNA-1_1&gene=snap_masked-scf7180000020205-processed-gene-0.44&CDS=1-3801
OG0003741	YOR337W	genemark-scf7180000020205-processed-gene-0.104-mRNA-1_1&gene=genemark-scf7180000020205-processed-gene-0.104&CDS=1-2268
OG0003742	YOR340C	genemark-scf7180000020205-processed-gene-0.106-mRNA-1_1&gene=genemark-scf7180000020205-processed-gene-0.106&CDS=1-900
OG0003743	YOR341W	genemark-scf7180000020112-processed-gene-0.11-mRNA-1_1&gene=genemark-scf7180000020112-processed-gene-0.11&CDS=1-6090
OG0003744	YOR342C	augustus_masked-scf7180000020205-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-scf7180000020205-processed-gene-0.168&CDS=1-936
OG0003745	YOR344C	genemark-scf7180000020112-processed-gene-0.35-mRNA-1_1&gene=genemark-scf7180000020112-processed-gene-0.35&CDS=1-747
OG0003746	YOR346W	augustus_masked-scf7180000020205-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-scf7180000020205-processed-gene-0.137&CDS=1-2436
OG0003747	YOR348C	genemark-scf7180000020205-processed-gene-0.110-mRNA-1_1&gene=genemark-scf7180000020205-processed-gene-0.110&CDS=1-981
OG0003748	YOR349W	augustus_masked-scf7180000020205-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-scf7180000020205-processed-gene-0.138&CDS=1-3183
OG0003749	YOR350C	augustus_masked-scf7180000020205-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-scf7180000020205-processed-gene-0.172&CDS=1-1839
OG0003750	YOR351C	genemark-scf7180000020205-processed-gene-0.112-mRNA-1_1&gene=genemark-scf7180000020205-processed-gene-0.112&CDS=1-1605
OG0003751	YOR352W	genemark-scf7180000020205-processed-gene-0.76-mRNA-1_1&gene=genemark-scf7180000020205-processed-gene-0.76&CDS=1-1032
OG0003752	YOR353C	maker-scf7180000020205-snap-gene-0.123-mRNA-1_1&gene=maker-scf7180000020205-snap-gene-0.123&CDS=1-2724
OG0003753	YOR354C	augustus_masked-scf7180000020205-processed-gene-0.175-mRNA-1_1&gene=augustus_masked-scf7180000020205-processed-gene-0.175&CDS=1-2130
OG0003754	YOR355W	genemark-scf7180000020205-processed-gene-0.78-mRNA-1_1&gene=genemark-scf7180000020205-processed-gene-0.78&CDS=1-1737
OG0003755	YOR356W	genemark-scf7180000020205-processed-gene-0.79-mRNA-1_1&gene=genemark-scf7180000020205-processed-gene-0.79&CDS=1-1821
OG0003756	YOR357C	genemark-scf7180000020205-processed-gene-0.116-mRNA-1_1&gene=genemark-scf7180000020205-processed-gene-0.116&CDS=1-540
OG0003757	YOR358W	genemark-scf7180000020205-processed-gene-0.80-mRNA-1_1&gene=genemark-scf7180000020205-processed-gene-0.80&CDS=1-576
OG0003758	YOR359W	genemark-scf7180000020205-processed-gene-0.81-mRNA-1_1&gene=genemark-scf7180000020205-processed-gene-0.81&CDS=1-1626
OG0003759	YOR360C	genemark-scf7180000020205-processed-gene-0.117-mRNA-1_1&gene=genemark-scf7180000020205-processed-gene-0.117&CDS=1-1659
OG0003760	YOR361C	genemark-scf7180000020081-processed-gene-0.39-mRNA-1_1&gene=genemark-scf7180000020081-processed-gene-0.39&CDS=1-2286
OG0003761	YOR362C	genemark-scf7180000020081-processed-gene-0.36-mRNA-1_1&gene=genemark-scf7180000020081-processed-gene-0.36&CDS=1-870
OG0003762	YOR367W	genemark-scf7180000020081-processed-gene-0.42-mRNA-1_1&gene=genemark-scf7180000020081-processed-gene-0.42&CDS=1-600
OG0003763	YOR368W	genemark-scf7180000020081-processed-gene-0.41-mRNA-1_1&gene=genemark-scf7180000020081-processed-gene-0.41&CDS=1-1365
OG0003764	YOR369C	genemark-scf7180000020081-processed-gene-0.33-mRNA-1_1&gene=genemark-scf7180000020081-processed-gene-0.33&CDS=1-432
OG0003765	YOR370C	genemark-scf7180000020081-processed-gene-0.32-mRNA-1_1&gene=genemark-scf7180000020081-processed-gene-0.32&CDS=1-1851
OG0003766	YOR373W	snap_masked-scf7180000020081-processed-gene-0.23-mRNA-1_1&gene=snap_masked-scf7180000020081-processed-gene-0.23&CDS=1-2019
OG0003767	YOR374W	snap_masked-scf7180000020081-processed-gene-0.22-mRNA-1_1&gene=snap_masked-scf7180000020081-processed-gene-0.22&CDS=1-1551
OG0003768	YPL001W	genemark-scf7180000019735-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000019735-processed-gene-0.4&CDS=1-1155
OG0003769	YPL003W	augustus_masked-scf7180000020230-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000020230-processed-gene-0.11&CDS=1-1380
OG0003770	YPL004C	genemark-scf7180000020166-processed-gene-0.129-mRNA-1_1&gene=genemark-scf7180000020166-processed-gene-0.129&CDS=1-1002
OG0003771	YPL005W	snap_masked-scf7180000020166-processed-gene-0.22-mRNA-1_1&gene=snap_masked-scf7180000020166-processed-gene-0.22&CDS=1-1719
OG0003772	YPL006W	augustus_masked-scf7180000020103-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000020103-processed-gene-0.3&CDS=1-3603
OG0003773	YPL007C	genemark-scf7180000020103-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000020103-processed-gene-0.13&CDS=1-1752
OG0003774	YPL008W	augustus_masked-scf7180000020103-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000020103-processed-gene-0.2&CDS=1-2514
OG0003775	YPL009C	genemark-scf7180000020094-processed-gene-0.19-mRNA-1_1&gene=genemark-scf7180000020094-processed-gene-0.19&CDS=1-3000
OG0003776	YPL010W	genemark-scf7180000020108-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000020108-processed-gene-0.13&CDS=1-594
OG0003777	YPL011C	snap_masked-scf7180000020108-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000020108-processed-gene-0.5&CDS=1-1341
OG0003778	YPL012W	augustus_masked-scf7180000020108-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000020108-processed-gene-0.26&CDS=1-2763
OG0003779	YPL013C	genemark-scf7180000020103-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000020103-processed-gene-0.7&CDS=1-366
OG0003780	YPL014W	augustus_masked-scf7180000020103-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000020103-processed-gene-0.5&CDS=1-972
OG0003781	YPL015C	genemark-scf7180000020166-processed-gene-0.130-mRNA-1_1&gene=genemark-scf7180000020166-processed-gene-0.130&CDS=1-1107
OG0003782	YPL016W	augustus_masked-scf7180000020193-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-scf7180000020193-processed-gene-0.58&CDS=1-3939
OG0003783	YPL018W	snap_masked-scf7180000020230-processed-gene-0.110-mRNA-1_1&gene=snap_masked-scf7180000020230-processed-gene-0.110&CDS=1-1146
OG0003784	YPL020C	genemark-scf7180000020166-processed-gene-0.99-mRNA-1_1&gene=genemark-scf7180000020166-processed-gene-0.99&CDS=1-1857
OG0003785	YPL022W	genemark-scf7180000020193-processed-gene-0.108-mRNA-1_1&gene=genemark-scf7180000020193-processed-gene-0.108&CDS=1-3222
OG0003786	YPL023C	genemark-scf7180000020193-processed-gene-0.142-mRNA-1_1&gene=genemark-scf7180000020193-processed-gene-0.142&CDS=1-1998
OG0003787	YPL024W	genemark-scf7180000020193-processed-gene-0.107-mRNA-1_1&gene=genemark-scf7180000020193-processed-gene-0.107&CDS=1-672
OG0003788	YPL028W	genemark-scf7180000020193-processed-gene-0.106-mRNA-1_1&gene=genemark-scf7180000020193-processed-gene-0.106&CDS=1-1194
OG0003789	YPL029W	augustus_masked-scf7180000020193-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000020193-processed-gene-0.23&CDS=1-2097
OG0003790	YPL030W	genemark-scf7180000020193-processed-gene-0.104-mRNA-1_1&gene=genemark-scf7180000020193-processed-gene-0.104&CDS=1-1701
OG0003791	YPL031C	augustus_masked-scf7180000020193-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scf7180000020193-processed-gene-0.55&CDS=1-912
OG0003792	YPL032C	maker-scf7180000020193-snap-gene-0.173-mRNA-1_1&gene=maker-scf7180000020193-snap-gene-0.173&CDS=1-2526
OG0003793	YPL034W	genemark-scf7180000020191-processed-gene-0.95-mRNA-1_1&gene=genemark-scf7180000020191-processed-gene-0.95&CDS=1-771
OG0003794	YPL037C	genemark-scf7180000020227-processed-gene-0.83-mRNA-1_1&gene=genemark-scf7180000020227-processed-gene-0.83&CDS=1-486
OG0003795	YPL039W	augustus_masked-scf7180000020193-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000020193-processed-gene-0.17&CDS=1-1047
OG0003796	YPL040C	maker-scf7180000020193-snap-gene-0.172-mRNA-1_1&gene=maker-scf7180000020193-snap-gene-0.172&CDS=1-3582
OG0003797	YPL042C	augustus_masked-scf7180000020193-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000020193-processed-gene-0.51&CDS=1-1878
OG0003798	YPL043W	genemark-scf7180000020193-processed-gene-0.99-mRNA-1_1&gene=genemark-scf7180000020193-processed-gene-0.99&CDS=1-2091
OG0003799	YPL045W	genemark-scf7180000020193-processed-gene-0.98-mRNA-1_1&gene=genemark-scf7180000020193-processed-gene-0.98&CDS=1-2379
OG0003800	YPL046C	genemark-scf7180000020193-processed-gene-0.135-mRNA-1_1&gene=genemark-scf7180000020193-processed-gene-0.135&CDS=1-309
OG0003801	YPL047W	genemark-scf7180000020193-processed-gene-0.97-mRNA-1_1&gene=genemark-scf7180000020193-processed-gene-0.97&CDS=1-297
