	Kluyveromyces_marxianus	Saccharomyces_cerevisiae
OG0002966	genemark-BBIL01000010.1-processed-gene-10.66-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.66&CDS=1-1194	YLR130C
OG0002967	snap_masked-BBIL01000010.1-processed-gene-10.142-mRNA-1_1&gene=snap_masked-BBIL01000010.1-processed-gene-10.142&CDS=1-819	YLR132C
OG0002968	genemark-BBIL01000010.1-processed-gene-10.23-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.23&CDS=1-1617	YLR133W
OG0002969	genemark-BBIL01000010.1-processed-gene-10.69-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.69&CDS=1-1365	YDR148C
OG0002970	genemark-BBIL01000010.1-processed-gene-10.24-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.24&CDS=1-2181	YLR135W
OG0002971	snap_masked-BBIL01000010.1-processed-gene-10.105-mRNA-1_1&gene=snap_masked-BBIL01000010.1-processed-gene-10.105&CDS=1-8322	YDR150W
OG0002972	genemark-BBIL01000010.1-processed-gene-10.26-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.26&CDS=1-798	YDR152W
OG0002973	genemark-BBIL01000010.1-processed-gene-10.71-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.71&CDS=1-1251	YDR153C
OG0002974	genemark-BBIL01000010.1-processed-gene-10.72-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.72&CDS=1-486	YDR155C
OG0002975	genemark-BBIL01000010.1-processed-gene-10.27-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.27&CDS=1-501	YDR156W
OG0002976	genemark-BBIL01000010.1-processed-gene-10.28-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.28&CDS=1-1092	YDR158W
OG0002977	genemark-BBIL01000010.1-processed-gene-10.29-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.29&CDS=1-4929	YDR159W
OG0002978	genemark-BBIL01000010.1-processed-gene-10.30-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.30&CDS=1-2685	YLR138W
OG0002979	genemark-BBIL01000010.1-processed-gene-10.73-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.73&CDS=1-804	YDR162C
OG0002980	genemark-BBIL01000010.1-processed-gene-10.33-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.33&CDS=1-588	YDR163W
OG0002981	snap_masked-BBIL01000010.1-processed-gene-10.148-mRNA-1_1&gene=snap_masked-BBIL01000010.1-processed-gene-10.148&CDS=1-2073	YLR139C
OG0002982	snap_masked-BBIL01000010.1-processed-gene-10.115-mRNA-1_1&gene=snap_masked-BBIL01000010.1-processed-gene-10.115&CDS=1-1614	YLR141W
OG0002983	genemark-BBIL01000010.1-processed-gene-10.35-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.35&CDS=1-1398	YLR142W
OG0002984	snap_masked-BBIL01000010.1-processed-gene-10.117-mRNA-1_1&gene=snap_masked-BBIL01000010.1-processed-gene-10.117&CDS=1-2094	YLR143W
OG0002985	genemark-BBIL01000010.1-processed-gene-10.75-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.75&CDS=1-2094	YDR164C
OG0002986	genemark-BBIL01000010.1-processed-gene-10.37-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.37&CDS=1-645	YLR145W
OG0002987	genemark-BBIL01000010.1-processed-gene-10.77-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.77&CDS=1-882	YLR146C
OG0002988	snap_masked-BBIL01000010.1-processed-gene-10.120-mRNA-1_1&gene=snap_masked-BBIL01000010.1-processed-gene-10.120&CDS=1-1353	YDR165W
OG0002989	maker-BBIL01000010.1-augustus-gene-10.246-mRNA-1_1&gene=maker-BBIL01000010.1-augustus-gene-10.246&CDS=1-3063	YDR166C
OG0002990	snap_masked-BBIL01000010.1-processed-gene-10.122-mRNA-1_1&gene=snap_masked-BBIL01000010.1-processed-gene-10.122&CDS=1-2763	YLR148W
OG0002991	augustus_masked-BBIL01000010.1-processed-gene-10.203-mRNA-1_1&gene=augustus_masked-BBIL01000010.1-processed-gene-10.203&CDS=1-2073	YDR168W
OG0002992	snap_masked-BBIL01000010.1-processed-gene-10.154-mRNA-1_1&gene=snap_masked-BBIL01000010.1-processed-gene-10.154&CDS=1-2058	YLR149C
OG0002993	snap_masked-BBIL01000010.1-processed-gene-10.155-mRNA-1_1&gene=snap_masked-BBIL01000010.1-processed-gene-10.155&CDS=1-1635	YDR169C
OG0002994	snap_masked-BBIL01000010.1-processed-gene-10.125-mRNA-1_1&gene=snap_masked-BBIL01000010.1-processed-gene-10.125&CDS=1-744	YLR150W
OG0002995	augustus_masked-BBIL01000010.1-processed-gene-10.233-mRNA-1_1&gene=augustus_masked-BBIL01000010.1-processed-gene-10.233&CDS=1-1038	YLR151C
OG0002996	genemark-BBIL01000010.1-processed-gene-10.82-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.82&CDS=1-1920	YLR152C
OG0002997	genemark-BBIL01000010.1-processed-gene-10.83-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.83&CDS=1-2052	YLR153C
OG0002998	genemark-BBIL01000010.1-processed-gene-10.84-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.84&CDS=1-5589	YDR170C
OG0002999	augustus_masked-BBIL01000010.1-processed-gene-10.206-mRNA-1_1&gene=augustus_masked-BBIL01000010.1-processed-gene-10.206&CDS=1-1056	YDR173C
OG0003000	genemark-BBIL01000010.1-processed-gene-10.85-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.85&CDS=1-2133	YDR172W
OG0003001	genemark-BBIL01000010.1-processed-gene-10.86-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-10.86&CDS=1-1182	YDR171W
OG0003002	genemark-BBIL01000018.1-processed-gene-0.2-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.2&CDS=1-492	YLR164W
OG0003003	genemark-BBIL01000018.1-processed-gene-0.41-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.41&CDS=1-471	YDR179C
OG0003004	genemark-BBIL01000018.1-processed-gene-0.42-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.42&CDS=1-924	YLR165C
OG0003005	augustus_masked-BBIL01000018.1-processed-gene-0.171-mRNA-1_1&gene=augustus_masked-BBIL01000018.1-processed-gene-0.171&CDS=1-4419	YDR180W
OG0003006	augustus_masked-BBIL01000018.1-processed-gene-0.207-mRNA-1_1&gene=augustus_masked-BBIL01000018.1-processed-gene-0.207&CDS=1-1077	YDR181C
OG0003007	genemark-BBIL01000018.1-processed-gene-0.5-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.5&CDS=1-1443	YDR182W
OG0003008	snap_masked-BBIL01000018.1-processed-gene-0.126-mRNA-1_1&gene=snap_masked-BBIL01000018.1-processed-gene-0.126&CDS=1-2451	YLR166C
OG0003009	genemark-BBIL01000018.1-processed-gene-0.6-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.6&CDS=1-660	YDR183W
OG0003010	snap_masked-BBIL01000018.1-processed-gene-0.127-mRNA-1_1&gene=snap_masked-BBIL01000018.1-processed-gene-0.127&CDS=1-849	YDR184C
OG0003011	genemark-BBIL01000018.1-processed-gene-0.46-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.46&CDS=1-696	YLR168C
OG0003012	genemark-BBIL01000018.1-processed-gene-0.47-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.47&CDS=1-1077	YLR246W
OG0003013	snap_masked-BBIL01000018.1-processed-gene-0.130-mRNA-1_1&gene=snap_masked-BBIL01000018.1-processed-gene-0.130&CDS=1-2064	YDR186C
OG0003014	genemark-BBIL01000018.1-processed-gene-0.8-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.8&CDS=1-444	YLR245C
OG0003015	genemark-BBIL01000018.1-processed-gene-0.9-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.9&CDS=1-1113	YLR244C
OG0003016	genemark-BBIL01000018.1-processed-gene-0.10-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.10&CDS=1-1632	YDR188W
OG0003017	genemark-BBIL01000018.1-processed-gene-0.11-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.11&CDS=1-1926	YDR189W
OG0003018	genemark-BBIL01000018.1-processed-gene-0.49-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.49&CDS=1-1371	YDR190C
OG0003019	genemark-BBIL01000018.1-processed-gene-0.12-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.12&CDS=1-1164	YDR191W
OG0003020	genemark-BBIL01000018.1-processed-gene-0.50-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.50&CDS=1-813	YLR243W
OG0003021	genemark-BBIL01000018.1-processed-gene-0.51-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.51&CDS=1-1719	YDR192C
OG0003022	genemark-BBIL01000018.1-processed-gene-0.13-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.13&CDS=1-909	YLR242C
OG0003023	genemark-BBIL01000018.1-processed-gene-0.52-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.52&CDS=1-4737	YLR240W
OG0003024	genemark-BBIL01000018.1-processed-gene-0.53-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.53&CDS=1-2010	YDR194C
OG0003025	genemark-BBIL01000018.1-processed-gene-0.14-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.14&CDS=1-1398	YDR195W
OG0003026	genemark-BBIL01000018.1-processed-gene-0.54-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.54&CDS=1-969	YDR196C
OG0003027	augustus_masked-BBIL01000018.1-processed-gene-0.180-mRNA-1_1&gene=augustus_masked-BBIL01000018.1-processed-gene-0.180&CDS=1-1110	YDR197W
OG0003028	genemark-BBIL01000018.1-processed-gene-0.55-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.55&CDS=1-1359	YDR198C
OG0003029	genemark-BBIL01000018.1-processed-gene-0.16-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.16&CDS=1-1011	YLR239C
OG0003030	genemark-BBIL01000018.1-processed-gene-0.56-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.56&CDS=1-1428	YLR238W
OG0003031	genemark-BBIL01000018.1-processed-gene-0.17-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.17&CDS=1-465	YDR201W
OG0003032	genemark-BBIL01000018.1-processed-gene-0.57-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.57&CDS=1-1122	YDR202C
OG0003033	genemark-BBIL01000018.1-processed-gene-0.18-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.18&CDS=1-1011	YDR204W
OG0003034	genemark-BBIL01000018.1-processed-gene-0.19-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.19&CDS=1-2259	YNL201C
OG0003035	genemark-BBIL01000018.1-processed-gene-0.58-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.58&CDS=1-876	YNL202W
OG0003036	genemark-BBIL01000018.1-processed-gene-0.20-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.20&CDS=1-1071	YDL226C
OG0003037	genemark-BBIL01000018.1-processed-gene-0.21-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.21&CDS=1-1410	YNL206C
OG0003038	genemark-BBIL01000018.1-processed-gene-0.60-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.60&CDS=1-1248	YNL207W
OG0003039	augustus_masked-BBIL01000018.1-processed-gene-0.225-mRNA-1_1&gene=augustus_masked-BBIL01000018.1-processed-gene-0.225&CDS=1-816	YNL210W
OG0003040	genemark-BBIL01000018.1-processed-gene-0.63-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.63&CDS=1-996	YDL230W
OG0003041	snap_masked-BBIL01000018.1-processed-gene-0.105-mRNA-1_1&gene=snap_masked-BBIL01000018.1-processed-gene-0.105&CDS=1-3129	YDL231C
OG0003042	snap_masked-BBIL01000018.1-processed-gene-0.106-mRNA-1_1&gene=snap_masked-BBIL01000018.1-processed-gene-0.106&CDS=1-258	YNL211C
OG0003043	augustus_masked-BBIL01000018.1-processed-gene-0.227-mRNA-1_1&gene=augustus_masked-BBIL01000018.1-processed-gene-0.227&CDS=1-957	YNL212W
OG0003044	genemark-BBIL01000018.1-processed-gene-0.23-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.23&CDS=1-708	YNL213C
OG0003045	augustus_masked-BBIL01000018.1-processed-gene-0.228-mRNA-1_1&gene=augustus_masked-BBIL01000018.1-processed-gene-0.228&CDS=1-585	YNL214W
OG0003046	augustus_masked-BBIL01000018.1-processed-gene-0.229-mRNA-1_1&gene=augustus_masked-BBIL01000018.1-processed-gene-0.229&CDS=1-1830	YDL233W
OG0003047	genemark-BBIL01000018.1-processed-gene-0.24-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.24&CDS=1-2238	YDL234C
OG0003048	genemark-BBIL01000018.1-processed-gene-0.68-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.68&CDS=1-2055	YNL216W
OG0003049	augustus_masked-BBIL01000018.1-processed-gene-0.232-mRNA-1_1&gene=augustus_masked-BBIL01000018.1-processed-gene-0.232&CDS=1-933	YNL217W
OG0003050	genemark-BBIL01000018.1-processed-gene-0.25-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.25&CDS=1-405	YDL235C
OG0003051	augustus_masked-BBIL01000018.1-processed-gene-0.233-mRNA-1_1&gene=augustus_masked-BBIL01000018.1-processed-gene-0.233&CDS=1-2352	YNL218W
OG0003052	genemark-BBIL01000018.1-processed-gene-0.26-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.26&CDS=1-1650	YNL219C
OG0003053	genemark-BBIL01000018.1-processed-gene-0.72-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.72&CDS=1-1302	YNL220W
OG0003054	genemark-BBIL01000018.1-processed-gene-0.27-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.27&CDS=1-2457	YNL221C
OG0003055	genemark-BBIL01000018.1-processed-gene-0.73-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.73&CDS=1-1224	YDL237W
OG0003056	genemark-BBIL01000018.1-processed-gene-0.28-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.28&CDS=1-1500	YDL238C
OG0003057	augustus_masked-BBIL01000018.1-processed-gene-0.236-mRNA-1_1&gene=augustus_masked-BBIL01000018.1-processed-gene-0.236&CDS=1-633	YNL222W
OG0003058	genemark-BBIL01000018.1-processed-gene-0.75-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.75&CDS=1-1353	YNL223W
OG0003059	genemark-BBIL01000018.1-processed-gene-0.29-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.29&CDS=1-2280	YNL224C
OG0003060	augustus_masked-BBIL01000018.1-processed-gene-0.195-mRNA-1_1&gene=augustus_masked-BBIL01000018.1-processed-gene-0.195&CDS=1-2592	YNL225C
OG0003061	genemark-BBIL01000018.1-processed-gene-0.31-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.31&CDS=1-1842	YNL227C
OG0003062	genemark-BBIL01000018.1-processed-gene-0.32-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.32&CDS=1-1218	YNL229C
OG0003063	augustus_masked-BBIL01000018.1-processed-gene-0.198-mRNA-1_1&gene=augustus_masked-BBIL01000018.1-processed-gene-0.198&CDS=1-987	YNL230C
OG0003064	genemark-BBIL01000018.1-processed-gene-0.34-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.34&CDS=1-1032	YNL231C
OG0003065	genemark-BBIL01000018.1-processed-gene-0.76-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.76&CDS=1-879	YNL232W
OG0003066	genemark-BBIL01000018.1-processed-gene-0.77-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.77&CDS=1-2451	YNL233W
OG0003067	genemark-BBIL01000018.1-processed-gene-0.78-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.78&CDS=1-1281	YNL234W
OG0003068	genemark-BBIL01000018.1-processed-gene-0.35-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.35&CDS=1-1641	YMR319C
OG0003069	genemark-BBIL01000018.1-processed-gene-0.79-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.79&CDS=1-2862	YNL236W
OG0003070	genemark-BBIL01000018.1-processed-gene-0.80-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.80&CDS=1-1287	YNL237W
OG0003071	augustus_masked-BBIL01000018.1-processed-gene-0.243-mRNA-1_1&gene=augustus_masked-BBIL01000018.1-processed-gene-0.243&CDS=1-2328	YNL238W
OG0003072	genemark-BBIL01000018.1-processed-gene-0.36-mRNA-1_1&gene=genemark-BBIL01000018.1-processed-gene-0.36&CDS=1-1389	YNL240C
OG0003073	genemark-BBIL01000023.1-processed-gene-0.35-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.35&CDS=1-1755	YBR296C
OG0003074	augustus_masked-BBIL01000023.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-BBIL01000023.1-processed-gene-0.2&CDS=1-2628	YBR055C
OG0003075	genemark-BBIL01000023.1-processed-gene-0.37-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.37&CDS=1-2247	YDR034C
OG0003076	genemark-BBIL01000023.1-processed-gene-0.39-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.39&CDS=1-1011	YBR053C
OG0003077	genemark-BBIL01000023.1-processed-gene-0.40-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.40&CDS=1-594	YDR032C
OG0003078	genemark-BBIL01000023.1-processed-gene-0.41-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.41&CDS=1-2535	YDR028C
OG0003079	genemark-BBIL01000023.1-processed-gene-0.42-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.42&CDS=1-2532	YDR027C
OG0003080	genemark-BBIL01000023.1-processed-gene-0.43-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.43&CDS=1-1812	YDR026C
OG0003081	genemark-BBIL01000023.1-processed-gene-0.54-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.54&CDS=1-891	YIL124W
OG0003082	genemark-BBIL01000023.1-processed-gene-0.55-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.55&CDS=1-3060	YIL125W
OG0003083	genemark-BBIL01000023.1-processed-gene-0.44-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.44&CDS=1-597	YIL127C
OG0003084	genemark-BBIL01000023.1-processed-gene-0.58-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.58&CDS=1-3087	YIL128W
OG0003085	genemark-BBIL01000023.1-processed-gene-0.45-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.45&CDS=1-6789	YIL129C
OG0003086	genemark-BBIL01000023.1-processed-gene-0.59-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.59&CDS=1-2616	YIL130W
OG0003087	genemark-BBIL01000023.1-processed-gene-0.60-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.60&CDS=1-1122	YIL134W
OG0003088	genemark-BBIL01000023.1-processed-gene-0.61-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.61&CDS=1-1401	YNL071W
OG0003089	maker-BBIL01000023.1-augustus-gene-0.31-mRNA-1_1&gene=maker-BBIL01000023.1-augustus-gene-0.31&CDS=1-2448	YNL072W
OG0003090	genemark-BBIL01000023.1-processed-gene-0.49-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.49&CDS=1-1470	YKL045W
OG0003091	genemark-BBIL01000023.1-processed-gene-1.0-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.0&CDS=1-1713	YKL043W
OG0003092	genemark-BBIL01000023.1-processed-gene-1.1-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.1&CDS=1-981	YKL042W
OG0003093	genemark-BBIL01000023.1-processed-gene-1.3-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.3&CDS=1-5178	YDL145C
OG0003094	genemark-BBIL01000023.1-processed-gene-1.4-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.4&CDS=1-1086	YDL144C
OG0003095	genemark-BBIL01000023.1-processed-gene-1.31-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.31&CDS=1-1104	YLR215C
OG0003096	genemark-BBIL01000023.1-processed-gene-1.5-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.5&CDS=1-1590	YDL143W
OG0003097	genemark-BBIL01000023.1-processed-gene-1.32-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.32&CDS=1-780	YDL142C
OG0003098	genemark-BBIL01000023.1-processed-gene-1.6-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.6&CDS=1-2067	YDL141W
OG0003099	snap_masked-BBIL01000023.1-processed-gene-1.79-mRNA-1_1&gene=snap_masked-BBIL01000023.1-processed-gene-1.79&CDS=1-5181	YDL140C
OG0003100	snap_masked-BBIL01000023.1-processed-gene-1.80-mRNA-1_1&gene=snap_masked-BBIL01000023.1-processed-gene-1.80&CDS=1-1116	YLR216C
OG0003101	genemark-BBIL01000023.1-processed-gene-1.34-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.34&CDS=1-762	YLR218C
OG0003102	genemark-BBIL01000023.1-processed-gene-1.7-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.7&CDS=1-3768	YDL195W
OG0003103	genemark-BBIL01000023.1-processed-gene-1.9-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.9&CDS=1-1047	YDL193W
OG0003104	genemark-BBIL01000023.1-processed-gene-1.35-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.35&CDS=1-2871	YDL190C
OG0003105	snap_masked-BBIL01000023.1-processed-gene-1.58-mRNA-1_1&gene=snap_masked-BBIL01000023.1-processed-gene-1.58&CDS=1-1212	YDL189W
OG0003106	genemark-BBIL01000023.1-processed-gene-1.36-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.36&CDS=1-597	YDL135C
OG0003107	augustus_masked-BBIL01000023.1-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-BBIL01000023.1-processed-gene-1.112&CDS=1-726	YDL186W
OG0003108	genemark-BBIL01000023.1-processed-gene-1.15-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.15&CDS=1-1851	YDL185W
OG0003109	genemark-BBIL01000023.1-processed-gene-1.38-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.38&CDS=1-924	YDL183C
OG0003110	augustus_masked-BBIL01000023.1-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-BBIL01000023.1-processed-gene-1.114&CDS=1-1413	YDL133W
OG0003111	genemark-BBIL01000023.1-processed-gene-1.17-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.17&CDS=1-2427	YDL132W
OG0003112	snap_masked-BBIL01000023.1-processed-gene-1.65-mRNA-1_1&gene=snap_masked-BBIL01000023.1-processed-gene-1.65&CDS=1-264	YDL181W
OG0003113	genemark-BBIL01000023.1-processed-gene-1.19-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.19&CDS=1-312	YDL130W
OG0003114	augustus_masked-BBIL01000023.1-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-BBIL01000023.1-processed-gene-1.119&CDS=1-852	YDL129W
OG0003115	snap_masked-BBIL01000023.1-processed-gene-1.68-mRNA-1_1&gene=snap_masked-BBIL01000023.1-processed-gene-1.68&CDS=1-1536	YDL180W
OG0003116	genemark-BBIL01000023.1-processed-gene-1.22-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.22&CDS=1-1218	YDL128W
OG0003117	maker-BBIL01000023.1-snap-gene-1.92-mRNA-1_1&gene=maker-BBIL01000023.1-snap-gene-1.92&CDS=1-2886	YDL126C
OG0003118	genemark-BBIL01000023.1-processed-gene-1.24-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.24&CDS=1-1644	YDL178W
OG0003119	genemark-BBIL01000023.1-processed-gene-1.25-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.25&CDS=1-930	YDL124W
OG0003120	genemark-BBIL01000023.1-processed-gene-1.41-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.41&CDS=1-462	YDL177C
OG0003121	snap_masked-BBIL01000023.1-processed-gene-1.73-mRNA-1_1&gene=snap_masked-BBIL01000023.1-processed-gene-1.73&CDS=1-2049	YDL176W
OG0003122	genemark-BBIL01000023.1-processed-gene-1.27-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.27&CDS=1-2229	YIL078W
OG0003123	augustus_masked-BBIL01000023.1-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-BBIL01000023.1-processed-gene-1.141&CDS=1-951	YIL077C
OG0003124	genemark-BBIL01000023.1-processed-gene-1.28-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.28&CDS=1-801	YCR047C
OG0003125	genemark-BBIL01000023.1-processed-gene-1.29-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.29&CDS=1-519	YCR046C
OG0003126	genemark-BBIL01000023.1-processed-gene-1.44-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.44&CDS=1-663	YNR018W
OG0003127	genemark-BBIL01000023.1-processed-gene-1.30-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.30&CDS=1-1497	YCR045C
OG0003128	genemark-BBIL01000023.1-processed-gene-2.47-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-2.47&CDS=1-657	YNR017W
OG0003129	snap_masked-BBIL01000023.1-processed-gene-2.89-mRNA-1_1&gene=snap_masked-BBIL01000023.1-processed-gene-2.89&CDS=1-6696	YNR016C
OG0003130	genemark-BBIL01000023.1-processed-gene-2.64-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-2.64&CDS=1-1134	YNR015W
OG0003131	genemark-BBIL01000023.1-processed-gene-2.49-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-2.49&CDS=1-2574	YNR013C
OG0003132	genemark-BBIL01000023.1-processed-gene-2.66-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-2.66&CDS=1-1374	YNR012W
OG0003133	genemark-BBIL01000023.1-processed-gene-2.50-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-2.50&CDS=1-2550	YNR011C
OG0003134	genemark-BBIL01000023.1-processed-gene-2.51-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-2.51&CDS=1-969	YML004C
OG0003135	genemark-BBIL01000023.1-processed-gene-2.52-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-2.52&CDS=1-2814	YMR205C
