	Metschnikowia_bicuspidata	Saccharomyces_cerevisiae
OG0002519	snap_masked-scaffold_4-processed-gene-16.56-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-16.56&CDS=1-477	YIR037W
OG0002520	genemark-scaffold_4-processed-gene-16.102-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-16.102&CDS=1-1626	YLR306W
OG0002521	genemark-scaffold_4-processed-gene-16.92-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-16.92&CDS=1-1305	YPL151C
OG0002522	genemark-scaffold_4-processed-gene-16.93-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-16.93&CDS=1-1059	YPL152W
OG0002523	genemark-scaffold_4-processed-gene-16.106-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-16.106&CDS=1-1461	YOR250C
OG0002524	genemark-scaffold_4-processed-gene-16.94-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-16.94&CDS=1-1038	YLR019W
OG0002525	genemark-scaffold_4-processed-gene-17.50-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-17.50&CDS=1-1380	YLL011W
OG0002526	genemark-scaffold_4-processed-gene-17.53-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-17.53&CDS=1-768	YNL265C
OG0002527	genemark-scaffold_4-processed-gene-17.54-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-17.54&CDS=1-1548	YOR269W
OG0002528	genemark-scaffold_4-processed-gene-17.66-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-17.66&CDS=1-930	YOR251C
OG0002529	genemark-scaffold_4-processed-gene-17.67-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-17.67&CDS=1-2082	YOR243C
OG0002530	snap_masked-scaffold_4-processed-gene-17.30-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-17.30&CDS=1-2754	YPL155C
OG0002531	genemark-scaffold_4-processed-gene-17.68-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-17.68&CDS=1-2484	YPL153C
OG0002532	genemark-scaffold_4-processed-gene-17.69-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-17.69&CDS=1-1746	YKR093W
OG0002533	genemark-scaffold_4-processed-gene-17.56-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-17.56&CDS=1-2535	YJL102W
OG0002534	genemark-scaffold_4-processed-gene-17.57-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-17.57&CDS=1-2586	YOR165W
OG0002535	genemark-scaffold_4-processed-gene-17.60-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-17.60&CDS=1-858	YPR061C
OG0002536	genemark-scaffold_4-processed-gene-17.61-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-17.61&CDS=1-777	YPR060C
OG0002537	genemark-scaffold_4-processed-gene-17.71-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-17.71&CDS=1-699	YML015C
OG0002538	genemark-scaffold_4-processed-gene-17.63-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-17.63&CDS=1-753	YML014W
OG0002539	genemark-scaffold_4-processed-gene-18.37-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-18.37&CDS=1-1827	YDR425W
OG0002540	genemark-scaffold_4-processed-gene-18.39-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-18.39&CDS=1-1221	YDR427W
OG0002541	maker-scaffold_4-snap-gene-18.72-mRNA-1_1&gene=maker-scaffold_4-snap-gene-18.72&CDS=1-1884	YJL036W
OG0002542	snap_masked-scaffold_4-processed-gene-18.12-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-18.12&CDS=1-1368	YKL046C
OG0002543	genemark-scaffold_4-processed-gene-18.52-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-18.52&CDS=1-2946	YHR154W
OG0002544	genemark-scaffold_4-processed-gene-18.56-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-18.56&CDS=1-5445	YDR443C
OG0002545	genemark-scaffold_4-processed-gene-18.41-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-18.41&CDS=1-285	YDR424C
OG0002546	genemark-scaffold_4-processed-gene-18.57-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-18.57&CDS=1-555	YML022W
OG0002547	genemark-scaffold_4-processed-gene-18.42-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-18.42&CDS=1-3267	YML010W
OG0002548	snap_masked-scaffold_4-processed-gene-18.21-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-18.21&CDS=1-1500	YLR005W
OG0002549	genemark-scaffold_4-processed-gene-18.60-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-18.60&CDS=1-879	YJL035C
OG0002550	augustus_masked-scaffold_4-processed-gene-18.83-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-18.83&CDS=1-1041	YHR075C
OG0002551	genemark-scaffold_4-processed-gene-18.61-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-18.61&CDS=1-2148	YHR074W
OG0002552	snap_masked-scaffold_4-processed-gene-18.27-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-18.27&CDS=1-2793	YOR353C
OG0002553	snap_masked-scaffold_4-processed-gene-18.28-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-18.28&CDS=1-633	YMR038C
OG0002554	genemark-scaffold_4-processed-gene-18.44-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-18.44&CDS=1-900	YNL288W
OG0002555	genemark-scaffold_4-processed-gene-18.65-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-18.65&CDS=1-1332	YBR247C
OG0002556	genemark-scaffold_4-processed-gene-18.66-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-18.66&CDS=1-3000	YPL268W
OG0002557	genemark-scaffold_4-processed-gene-18.67-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-18.67&CDS=1-1743	YBR248C
OG0002558	augustus_masked-scaffold_4-processed-gene-18.106-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-18.106&CDS=1-2256	YOR001W
OG0002559	maker-scaffold_4-snap-gene-18.74-mRNA-1_1&gene=maker-scaffold_4-snap-gene-18.74&CDS=1-3708	YER093C
OG0002560	augustus_masked-scaffold_4-processed-gene-18.108-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-18.108&CDS=1-855	YNL075W
OG0002561	augustus_masked-scaffold_5-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.57&CDS=1-6060	YLR430W
OG0002562	genemark-scaffold_5-processed-gene-0.16-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.16&CDS=1-522	YKL190W
OG0002563	snap_masked-scaffold_5-processed-gene-0.47-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.47&CDS=1-4035	YLR425W
OG0002564	genemark-scaffold_5-processed-gene-0.6-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.6&CDS=1-507	YLR221C
OG0002565	genemark-scaffold_5-processed-gene-0.19-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.19&CDS=1-1248	YMR235C
OG0002566	snap_masked-scaffold_5-processed-gene-0.37-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.37&CDS=1-180	YDR276C
OG0002567	genemark-scaffold_5-processed-gene-0.12-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.12&CDS=1-1041	YDR347W
OG0002568	genemark-scaffold_5-processed-gene-0.21-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.21&CDS=1-1494	YOR046C
OG0002569	snap_masked-scaffold_5-processed-gene-0.53-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.53&CDS=1-1647	YOR205C
OG0002570	genemark-scaffold_5-processed-gene-1.0-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.0&CDS=1-936	YCR016W
OG0002571	genemark-scaffold_5-processed-gene-1.2-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.2&CDS=1-2052	YDR234W
OG0002572	genemark-scaffold_5-processed-gene-1.4-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.4&CDS=1-1134	YMR272C
OG0002573	genemark-scaffold_5-processed-gene-1.20-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.20&CDS=1-810	YML105C
OG0002574	genemark-scaffold_5-processed-gene-1.22-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.22&CDS=1-3267	YPL160W
OG0002575	augustus_masked-scaffold_5-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.96&CDS=1-2709	YMR268C
OG0002576	genemark-scaffold_5-processed-gene-1.8-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.8&CDS=1-660	YMR269W
OG0002577	maker-scaffold_5-augustus-gene-1.33-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-1.33&CDS=1-3390	YML104C
OG0002578	genemark-scaffold_5-processed-gene-1.24-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.24&CDS=1-5052	YMR229C
OG0002579	snap_masked-scaffold_5-processed-gene-1.63-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.63&CDS=1-1728	YHL010C
OG0002580	snap_masked-scaffold_5-processed-gene-1.64-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.64&CDS=1-726	YKL033W-A
OG0002581	snap_masked-scaffold_5-processed-gene-1.65-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.65&CDS=1-960	YHL011C
OG0002582	maker-scaffold_5-snap-gene-1.73-mRNA-1_1&gene=maker-scaffold_5-snap-gene-1.73&CDS=1-1797	YMR227C
OG0002583	genemark-scaffold_5-processed-gene-1.9-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.9&CDS=1-4137	YOR291W
OG0002584	genemark-scaffold_5-processed-gene-1.11-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.11&CDS=1-342	YER072W
OG0002585	genemark-scaffold_5-processed-gene-1.12-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.12&CDS=1-1605	YKL047W
OG0002586	maker-scaffold_5-augustus-gene-1.34-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-1.34&CDS=1-4827	YIL068C
OG0002587	genemark-scaffold_5-processed-gene-1.29-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.29&CDS=1-936	YKL095W
OG0002588	genemark-scaffold_5-processed-gene-1.15-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.15&CDS=1-462	YDR016C
OG0002589	snap_masked-scaffold_5-processed-gene-1.68-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.68&CDS=1-1491	YHR045W
OG0002590	snap_masked-scaffold_5-processed-gene-1.55-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.55&CDS=1-1239	YHR005C
OG0002591	genemark-scaffold_5-processed-gene-1.30-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.30&CDS=1-1323	YBL045C
OG0002592	genemark-scaffold_5-processed-gene-1.32-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.32&CDS=1-798	YJR113C
OG0002593	augustus_masked-scaffold_5-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.82&CDS=1-1362	YJL060W
OG0002594	genemark-scaffold_5-processed-gene-2.1-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.1&CDS=1-1242	YBR271W
OG0002595	snap_masked-scaffold_5-processed-gene-2.41-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.41&CDS=1-399	YBR269C
OG0002596	snap_masked-scaffold_5-processed-gene-2.62-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.62&CDS=1-609	YLR262C
OG0002597	snap_masked-scaffold_5-processed-gene-2.63-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.63&CDS=1-2823	YML043C
OG0002598	snap_masked-scaffold_5-processed-gene-2.64-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.64&CDS=1-1701	YLR259C
OG0002599	augustus_masked-scaffold_5-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.89&CDS=1-1701	YEL062W
OG0002600	snap_masked-scaffold_5-processed-gene-2.48-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.48&CDS=1-399	YOL012C
OG0002601	genemark-scaffold_5-processed-gene-2.23-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.23&CDS=1-807	YOR278W
OG0002602	genemark-scaffold_5-processed-gene-2.9-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.9&CDS=1-699	YIL010W
OG0002603	genemark-scaffold_5-processed-gene-2.25-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.25&CDS=1-1437	YIL039W
OG0002604	genemark-scaffold_5-processed-gene-2.26-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.26&CDS=1-618	YDR298C
OG0002605	genemark-scaffold_5-processed-gene-2.10-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.10&CDS=1-1086	YEL050C
OG0002606	maker-scaffold_5-snap-gene-2.119-mRNA-1_1&gene=maker-scaffold_5-snap-gene-2.119&CDS=1-3252	YKR079C
OG0002607	snap_masked-scaffold_5-processed-gene-2.53-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.53&CDS=1-1629	YOR081C
OG0002608	augustus_masked-scaffold_5-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.96&CDS=1-2259	YOR080W
OG0002609	snap_masked-scaffold_5-processed-gene-2.56-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.56&CDS=1-2001	YML096W
OG0002610	genemark-scaffold_5-processed-gene-2.29-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.29&CDS=1-669	YBL095W
OG0002611	maker-scaffold_5-snap-gene-2.120-mRNA-1_1&gene=maker-scaffold_5-snap-gene-2.120&CDS=1-372	YER009W
OG0002612	snap_masked-scaffold_5-processed-gene-2.80-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.80&CDS=1-828	YKR062W
OG0002613	snap_masked-scaffold_5-processed-gene-2.81-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.81&CDS=1-1809	YBR203W
OG0002614	genemark-scaffold_5-processed-gene-3.14-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.14&CDS=1-741	YER010C
OG0002615	genemark-scaffold_5-processed-gene-3.16-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.16&CDS=1-660	YJL148W
OG0002616	snap_masked-scaffold_5-processed-gene-3.50-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.50&CDS=1-918	YJR077C
OG0002617	genemark-scaffold_5-processed-gene-3.4-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.4&CDS=1-1761	YNR055C
OG0002618	genemark-scaffold_5-processed-gene-3.19-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.19&CDS=1-1833	YKL212W
OG0002619	genemark-scaffold_5-processed-gene-3.5-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.5&CDS=1-2307	YKL213C
OG0002620	snap_masked-scaffold_5-processed-gene-3.55-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.55&CDS=1-1524	YKL211C
OG0002621	snap_masked-scaffold_5-processed-gene-3.56-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.56&CDS=1-2907	YKL165C
OG0002622	genemark-scaffold_5-processed-gene-3.22-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.22&CDS=1-1023	YJL145W
OG0002623	genemark-scaffold_5-processed-gene-3.23-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.23&CDS=1-1233	YGR210C
OG0002624	genemark-scaffold_5-processed-gene-3.7-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.7&CDS=1-516	YMR071C
OG0002625	genemark-scaffold_5-processed-gene-3.9-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.9&CDS=1-1347	YLR047C
OG0002626	snap_masked-scaffold_5-processed-gene-3.62-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.62&CDS=1-4155	YLR382C
OG0002627	genemark-scaffold_5-processed-gene-3.26-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.26&CDS=1-1161	YGL213C
OG0002628	augustus_masked-scaffold_5-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.77&CDS=1-4641	YJL061W
OG0002629	genemark-scaffold_5-processed-gene-3.27-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.27&CDS=1-1929	YLR116W
OG0002630	genemark-scaffold_5-processed-gene-3.28-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.28&CDS=1-648	YDR140W
OG0002631	genemark-scaffold_5-processed-gene-3.29-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.29&CDS=1-2127	YLR117C
OG0002632	snap_masked-scaffold_5-processed-gene-3.45-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.45&CDS=1-369	YKL086W
OG0002633	genemark-scaffold_5-processed-gene-4.69-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.69&CDS=1-858	YOR065W
OG0002634	genemark-scaffold_5-processed-gene-4.70-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.70&CDS=1-1194	YAL012W
OG0002635	genemark-scaffold_5-processed-gene-4.71-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.71&CDS=1-3414	YGL006W
OG0002636	genemark-scaffold_5-processed-gene-4.85-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.85&CDS=1-741	YGL005C
OG0002637	genemark-scaffold_5-processed-gene-4.72-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.72&CDS=1-1248	YGL004C
OG0002638	genemark-scaffold_5-processed-gene-4.73-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.73&CDS=1-582	YIL127C
OG0002639	genemark-scaffold_5-processed-gene-4.87-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.87&CDS=1-3189	YIL128W
OG0002640	augustus_masked-scaffold_5-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.12&CDS=1-9303	YIL129C
OG0002641	augustus_masked-scaffold_5-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.13&CDS=1-1701	YHR114W
OG0002642	genemark-scaffold_5-processed-gene-4.76-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.76&CDS=1-774	YOR095C
OG0002643	genemark-scaffold_5-processed-gene-4.77-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.77&CDS=1-3744	YGL119W
OG0002644	augustus_masked-scaffold_5-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.17&CDS=1-1593	YNL083W
OG0002645	snap_masked-scaffold_5-processed-gene-4.47-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.47&CDS=1-2733	YNL082W
OG0002646	maker-scaffold_5-augustus-gene-4.3-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.3&CDS=1-3306	YNL092W
OG0002647	genemark-scaffold_5-processed-gene-4.80-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.80&CDS=1-639	YOR089C
OG0002648	snap_masked-scaffold_5-processed-gene-4.65-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.65&CDS=1-1269	YNL207W
OG0002649	snap_masked-scaffold_5-processed-gene-4.66-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.66&CDS=1-2340	YNL118C
OG0002650	genemark-scaffold_5-processed-gene-4.83-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.83&CDS=1-822	YLR393W
OG0002651	genemark-scaffold_5-processed-gene-4.84-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.84&CDS=1-354	YHL015W
OG0002652	genemark-scaffold_5-processed-gene-5.8-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.8&CDS=1-1707	YOR090C
OG0002653	snap_masked-scaffold_5-processed-gene-5.85-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.85&CDS=1-3705	YLR398C
OG0002654	snap_masked-scaffold_5-processed-gene-5.86-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.86&CDS=1-2319	YLR397C
OG0002655	genemark-scaffold_5-processed-gene-5.12-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.12&CDS=1-900	YDL065C
OG0002656	genemark-scaffold_5-processed-gene-5.10-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.10&CDS=1-474	YDL064W
OG0002657	genemark-scaffold_5-processed-gene-5.13-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.13&CDS=1-1374	YJL155C
OG0002658	augustus_masked-scaffold_5-processed-gene-5.51-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.51&CDS=1-2403	YJL156C
OG0002659	genemark-scaffold_5-processed-gene-5.14-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.14&CDS=1-1917	YDL063C
OG0002660	maker-scaffold_5-snap-gene-5.42-mRNA-1_1&gene=maker-scaffold_5-snap-gene-5.42&CDS=1-300	YLR390W
OG0002661	maker-scaffold_5-augustus-gene-5.0-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-5.0&CDS=1-3624	YDL060W
OG0002662	augustus_masked-scaffold_5-processed-gene-5.57-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.57&CDS=1-4527	YLR386W
OG0002663	snap_masked-scaffold_5-processed-gene-5.96-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.96&CDS=1-243	YKL053C-A
OG0002664	snap_masked-scaffold_5-processed-gene-5.111-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.111&CDS=1-3840	YDR376W
OG0002665	augustus_masked-scaffold_5-processed-gene-5.59-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.59&CDS=1-1908	YGL110C
OG0002666	augustus_masked-scaffold_5-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.74&CDS=1-2478	YOL061W
OG0002667	genemark-scaffold_5-processed-gene-5.20-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.20&CDS=1-3183	YDL215C
OG0002668	genemark-scaffold_5-processed-gene-5.21-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.21&CDS=1-1029	YBR246W
OG0002669	genemark-scaffold_5-processed-gene-5.31-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.31&CDS=1-1770	YLR337C
OG0002670	genemark-scaffold_5-processed-gene-5.32-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.32&CDS=1-525	YDL120W
OG0002671	genemark-scaffold_5-processed-gene-5.23-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.23&CDS=1-798	YIL093C
OG0002672	snap_masked-scaffold_5-processed-gene-5.103-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.103&CDS=1-3315	YOL060C
OG0002673	snap_masked-scaffold_5-processed-gene-5.104-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.104&CDS=1-1461	YKR051W
OG0002674	augustus_masked-scaffold_5-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.78&CDS=1-2529	YNL240C
OG0002675	snap_masked-scaffold_5-processed-gene-5.105-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.105&CDS=1-1485	YIL130W
OG0002676	genemark-scaffold_5-processed-gene-5.35-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.35&CDS=1-2268	YOR112W
OG0002677	genemark-scaffold_5-processed-gene-5.27-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.27&CDS=1-891	YLR283W
OG0002678	snap_masked-scaffold_5-processed-gene-5.107-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.107&CDS=1-249	YMR194C-B
OG0002679	augustus_masked-scaffold_5-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.81&CDS=1-1758	YBR025C
OG0002680	genemark-scaffold_5-processed-gene-5.28-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.28&CDS=1-309	YBR268W
OG0002681	genemark-scaffold_5-processed-gene-5.38-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.38&CDS=1-2475	YPR089W
OG0002682	augustus_masked-scaffold_5-processed-gene-5.70-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.70&CDS=1-885	YPR079W
OG0002683	genemark-scaffold_5-processed-gene-5.39-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.39&CDS=1-2802	YNL287W
OG0002684	snap_masked-scaffold_5-processed-gene-6.71-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.71&CDS=1-3792	YML091C
OG0002685	snap_masked-scaffold_5-processed-gene-6.72-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.72&CDS=1-1968	YML088W
OG0002686	genemark-scaffold_5-processed-gene-6.8-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.8&CDS=1-3876	YMR012W
OG0002687	genemark-scaffold_5-processed-gene-6.27-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.27&CDS=1-1341	YML126C
OG0002688	snap_masked-scaffold_5-processed-gene-6.93-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.93&CDS=1-3867	YLR380W
OG0002689	snap_masked-scaffold_5-processed-gene-6.94-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.94&CDS=1-3939	YOR093C
OG0002690	snap_masked-scaffold_5-processed-gene-6.95-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.95&CDS=1-303	YOL108C
OG0002691	snap_masked-scaffold_5-processed-gene-6.73-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.73&CDS=1-381	YPR166C
OG0002692	genemark-scaffold_5-processed-gene-6.29-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.29&CDS=1-990	YPL064C
OG0002693	genemark-scaffold_5-processed-gene-6.13-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.13&CDS=1-2448	YPR029C
OG0002694	maker-scaffold_5-snap-gene-6.68-mRNA-1_1&gene=maker-scaffold_5-snap-gene-6.68&CDS=1-522	YPR028W
OG0002695	snap_masked-scaffold_5-processed-gene-6.97-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.97&CDS=1-1305	YKL082C
OG0002696	genemark-scaffold_5-processed-gene-6.14-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.14&CDS=1-1119	YKL080W
OG0002697	genemark-scaffold_5-processed-gene-6.17-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.17&CDS=1-804	YER026C
OG0002698	genemark-scaffold_5-processed-gene-6.18-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.18&CDS=1-1431	YPL063W
OG0002699	genemark-scaffold_5-processed-gene-6.19-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.19&CDS=1-3306	YOR017W
OG0002700	genemark-scaffold_5-processed-gene-6.32-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.32&CDS=1-1386	YNL317W
OG0002701	genemark-scaffold_5-processed-gene-6.20-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.20&CDS=1-615	YMR009W
