	Dekkera_bruxellensis	Saccharomyces_cerevisiae
OG0002532	genemark-scaffold_4-processed-gene-4.72-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.72&CDS=1-561	YMR295C
OG0002533	genemark-scaffold_4-processed-gene-4.74-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.74&CDS=1-2553	YMR309C
OG0002534	genemark-scaffold_4-processed-gene-4.55-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.55&CDS=1-3651	YDL145C
OG0002535	genemark-scaffold_4-processed-gene-4.75-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.75&CDS=1-1614	YER051W
OG0002536	genemark-scaffold_4-processed-gene-4.56-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.56&CDS=1-528	YER050C
OG0002537	genemark-scaffold_4-processed-gene-4.76-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.76&CDS=1-1464	YIL042C
OG0002538	genemark-scaffold_4-processed-gene-4.77-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.77&CDS=1-1899	YDL146W
OG0002539	genemark-scaffold_4-processed-gene-4.78-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.78&CDS=1-1326	YDL147W
OG0002540	augustus_masked-scaffold_4-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.19&CDS=1-9036	YLR087C
OG0002541	augustus_masked-scaffold_4-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.20&CDS=1-4155	YER093C
OG0002542	maker-scaffold_4-snap-gene-5.94-mRNA-1_1&gene=maker-scaffold_4-snap-gene-5.94&CDS=1-1650	YGL045W
OG0002543	genemark-scaffold_4-processed-gene-5.50-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.50&CDS=1-1050	YIL041W
OG0002544	genemark-scaffold_4-processed-gene-5.69-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.69&CDS=1-672	YDR489W
OG0002545	genemark-scaffold_4-processed-gene-5.70-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.70&CDS=1-1668	YDL003W
OG0002546	genemark-scaffold_4-processed-gene-5.71-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.71&CDS=1-2334	YGR199W
OG0002547	genemark-scaffold_4-processed-gene-5.72-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.72&CDS=1-2202	YBL051C
OG0002548	genemark-scaffold_4-processed-gene-5.73-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.73&CDS=1-1731	YER087W
OG0002549	genemark-scaffold_4-processed-gene-5.77-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.77&CDS=1-522	YPL252C
OG0002550	genemark-scaffold_4-processed-gene-5.55-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.55&CDS=1-636	YMR197C
OG0002551	genemark-scaffold_4-processed-gene-5.78-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.78&CDS=1-3159	YMR196W
OG0002552	genemark-scaffold_4-processed-gene-5.79-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.79&CDS=1-3489	YHR079C
OG0002553	maker-scaffold_4-snap-gene-5.95-mRNA-1_1&gene=maker-scaffold_4-snap-gene-5.95&CDS=1-3369	YML104C
OG0002554	genemark-scaffold_4-processed-gene-5.58-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.58&CDS=1-846	YML105C
OG0002555	genemark-scaffold_4-processed-gene-5.82-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.82&CDS=1-1170	YMR272C
OG0002556	genemark-scaffold_4-processed-gene-5.60-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.60&CDS=1-1497	YHR024C
OG0002557	genemark-scaffold_4-processed-gene-5.84-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.84&CDS=1-699	YER002W
OG0002558	genemark-scaffold_4-processed-gene-5.61-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.61&CDS=1-702	YIR001C
OG0002559	genemark-scaffold_4-processed-gene-5.85-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.85&CDS=1-378	YIL004C
OG0002560	genemark-scaffold_4-processed-gene-5.62-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.62&CDS=1-585	YIR022W
OG0002561	genemark-scaffold_4-processed-gene-5.86-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.86&CDS=1-1632	YKL012W
OG0002562	maker-scaffold_4-snap-gene-5.96-mRNA-1_1&gene=maker-scaffold_4-snap-gene-5.96&CDS=1-657	YKL013C
OG0002563	genemark-scaffold_4-processed-gene-5.87-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.87&CDS=1-2415	YIR007W
OG0002564	genemark-scaffold_4-processed-gene-5.88-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.88&CDS=1-735	YPL002C
OG0002565	genemark-scaffold_4-processed-gene-5.66-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.66&CDS=1-1449	YER021W
OG0002566	genemark-scaffold_4-processed-gene-6.107-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.107&CDS=1-2121	YGL205W
OG0002567	genemark-scaffold_4-processed-gene-6.109-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.109&CDS=1-1071	YGR165W
OG0002568	genemark-scaffold_4-processed-gene-6.110-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.110&CDS=1-915	YPL206C
OG0002569	genemark-scaffold_4-processed-gene-6.131-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.131&CDS=1-750	YGR033C
OG0002570	genemark-scaffold_4-processed-gene-6.112-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.112&CDS=1-312	YLR364W
OG0002571	genemark-scaffold_4-processed-gene-6.113-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.113&CDS=1-1584	YOR374W
OG0002572	genemark-scaffold_4-processed-gene-6.114-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.114&CDS=1-4599	YAL024C
OG0002573	genemark-scaffold_4-processed-gene-6.116-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.116&CDS=1-426	YPR082C
OG0002574	maker-scaffold_4-snap-gene-6.8-mRNA-1_1&gene=maker-scaffold_4-snap-gene-6.8&CDS=1-477	YML030W
OG0002575	genemark-scaffold_4-processed-gene-6.118-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.118&CDS=1-1401	YKL194C
OG0002576	genemark-scaffold_4-processed-gene-6.134-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.134&CDS=1-1326	YLR423C
OG0002577	augustus_masked-scaffold_4-processed-gene-6.75-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.75&CDS=1-1275	YOR370C
OG0002578	genemark-scaffold_4-processed-gene-6.136-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.136&CDS=1-438	YOR369C
OG0002579	maker-scaffold_4-augustus-gene-6.4-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-6.4&CDS=1-1935	YOR368W
OG0002580	genemark-scaffold_4-processed-gene-6.138-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.138&CDS=1-3087	YJR132W
OG0002581	genemark-scaffold_4-processed-gene-6.120-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.120&CDS=1-1341	YJR072C
OG0002582	genemark-scaffold_4-processed-gene-6.122-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.122&CDS=1-342	YHL015W
OG0002583	genemark-scaffold_4-processed-gene-6.123-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.123&CDS=1-1047	YGL225W
OG0002584	genemark-scaffold_4-processed-gene-6.140-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.140&CDS=1-921	YFR047C
OG0002585	augustus_masked-scaffold_4-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.80&CDS=1-4776	YFR027W
OG0002586	genemark-scaffold_4-processed-gene-6.141-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.141&CDS=1-1113	YMR024W
OG0002587	maker-scaffold_4-snap-gene-6.10-mRNA-1_1&gene=maker-scaffold_4-snap-gene-6.10&CDS=1-2589	YGL236C
OG0002588	genemark-scaffold_4-processed-gene-6.144-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.144&CDS=1-2928	YGL238W
OG0002589	genemark-scaffold_4-processed-gene-6.145-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.145&CDS=1-3699	YKL129C
OG0002590	genemark-scaffold_4-processed-gene-6.146-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.146&CDS=1-558	YDL046W
OG0002591	genemark-scaffold_4-processed-gene-7.85-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.85&CDS=1-1311	YGR254W
OG0002592	genemark-scaffold_4-processed-gene-7.86-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.86&CDS=1-2892	YOR160W
OG0002593	augustus_masked-scaffold_4-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.47&CDS=1-264	YOR159C
OG0002594	genemark-scaffold_4-processed-gene-7.106-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.106&CDS=1-645	YJL030W
OG0002595	maker-scaffold_4-augustus-gene-7.39-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-7.39&CDS=1-1158	YJL031C
OG0002596	genemark-scaffold_4-processed-gene-7.107-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.107&CDS=1-1017	YJL006C
OG0002597	genemark-scaffold_4-processed-gene-7.88-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.88&CDS=1-1317	YDL007W
OG0002598	genemark-scaffold_4-processed-gene-7.89-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.89&CDS=1-1269	YDL006W
OG0002599	genemark-scaffold_4-processed-gene-7.90-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.90&CDS=1-1929	YKL148C
OG0002600	genemark-scaffold_4-processed-gene-7.91-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.91&CDS=1-567	YKL144C
OG0002601	genemark-scaffold_4-processed-gene-7.108-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.108&CDS=1-1389	YKL145W
OG0002602	genemark-scaffold_4-processed-gene-7.110-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.110&CDS=1-4254	YDR496C
OG0002603	genemark-scaffold_4-processed-gene-7.95-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.95&CDS=1-1275	YKL149C
OG0002604	snap_masked-scaffold_4-processed-gene-7.27-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.27&CDS=1-2127	YOR035C
OG0002605	genemark-scaffold_4-processed-gene-7.97-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.97&CDS=1-1359	YMR034C
OG0002606	genemark-scaffold_4-processed-gene-7.112-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.112&CDS=1-1332	YOR308C
OG0002607	augustus_masked-scaffold_4-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.76&CDS=1-1161	YOR305W
OG0002608	genemark-scaffold_4-processed-gene-7.99-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.99&CDS=1-1377	YMR240C
OG0002609	augustus_masked-scaffold_4-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.62&CDS=1-1611	YMR239C
OG0002610	augustus_masked-scaffold_4-processed-gene-7.64-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.64&CDS=1-333	YBR091C
OG0002611	genemark-scaffold_4-processed-gene-7.118-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.118&CDS=1-1242	YKL004W
OG0002612	genemark-scaffold_4-processed-gene-7.103-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.103&CDS=1-684	YBR035C
OG0002613	genemark-scaffold_4-processed-gene-7.121-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.121&CDS=1-1110	YCL016C
OG0002614	genemark-scaffold_4-processed-gene-7.122-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.122&CDS=1-978	YLR372W
OG0002615	genemark-scaffold_4-processed-gene-7.105-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-7.105&CDS=1-672	YBR096W
OG0002616	maker-scaffold_4-augustus-gene-8.72-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-8.72&CDS=1-714	YJL054W
OG0002617	genemark-scaffold_4-processed-gene-8.145-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.145&CDS=1-960	YNL229C
OG0002618	genemark-scaffold_4-processed-gene-8.142-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.142&CDS=1-651	YLR126C
OG0002619	snap_masked-scaffold_4-processed-gene-8.4-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.4&CDS=1-831	YMR043W
OG0002620	genemark-scaffold_4-processed-gene-8.143-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.143&CDS=1-1515	YMR044W
OG0002621	genemark-scaffold_4-processed-gene-8.173-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.173&CDS=1-2490	YOR353C
OG0002622	genemark-scaffold_4-processed-gene-8.174-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.174&CDS=1-1581	YJL014W
OG0002623	genemark-scaffold_4-processed-gene-8.150-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.150&CDS=1-1755	YBR030W
OG0002624	genemark-scaffold_4-processed-gene-8.151-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.151&CDS=1-1830	YKR016W
OG0002625	genemark-scaffold_4-processed-gene-8.152-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.152&CDS=1-1482	YJL081C
OG0002626	genemark-scaffold_4-processed-gene-8.153-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.153&CDS=1-792	YJR056C
OG0002627	maker-scaffold_4-snap-gene-8.83-mRNA-1_1&gene=maker-scaffold_4-snap-gene-8.83&CDS=1-2592	YPR055W
OG0002628	genemark-scaffold_4-processed-gene-8.155-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.155&CDS=1-1299	YJR125C
OG0002629	maker-scaffold_4-augustus-gene-8.71-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-8.71&CDS=1-3378	YML077W
OG0002630	genemark-scaffold_4-processed-gene-8.183-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.183&CDS=1-1035	YLR447C
OG0002631	genemark-scaffold_4-processed-gene-8.186-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.186&CDS=1-1113	YJR129C
OG0002632	maker-scaffold_4-augustus-gene-8.74-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-8.74&CDS=1-1059	YIR029W
OG0002633	maker-scaffold_4-snap-gene-8.85-mRNA-1_1&gene=maker-scaffold_4-snap-gene-8.85&CDS=1-981	YGR127W
OG0002634	genemark-scaffold_4-processed-gene-8.189-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.189&CDS=1-1398	YGR227W
OG0002635	maker-scaffold_4-snap-gene-8.87-mRNA-1_1&gene=maker-scaffold_4-snap-gene-8.87&CDS=1-8832	YHR165C
OG0002636	genemark-scaffold_4-processed-gene-8.158-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.158&CDS=1-870	YOR344C
OG0002637	genemark-scaffold_4-processed-gene-8.193-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.193&CDS=1-2379	YNL256W
OG0002638	genemark-scaffold_4-processed-gene-8.161-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.161&CDS=1-1422	YGR255C
OG0002639	genemark-scaffold_4-processed-gene-8.162-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.162&CDS=1-1143	YDL168W
OG0002640	genemark-scaffold_4-processed-gene-8.195-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.195&CDS=1-837	YMR126C
OG0002641	genemark-scaffold_4-processed-gene-8.163-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.163&CDS=1-357	YMR059W
OG0002642	genemark-scaffold_4-processed-gene-8.196-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.196&CDS=1-903	YMR060C
OG0002643	genemark-scaffold_4-processed-gene-8.165-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.165&CDS=1-2022	YMR061W
OG0002644	genemark-scaffold_4-processed-gene-8.197-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.197&CDS=1-4131	YGR061C
OG0002645	genemark-scaffold_4-processed-gene-8.166-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.166&CDS=1-1773	YGR252W
OG0002646	genemark-scaffold_4-processed-gene-8.198-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.198&CDS=1-795	YGR253C
OG0002647	snap_masked-scaffold_4-processed-gene-8.23-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.23&CDS=1-909	YMR101C
OG0002648	maker-scaffold_4-snap-gene-8.80-mRNA-1_1&gene=maker-scaffold_4-snap-gene-8.80&CDS=1-3507	YDR142C
OG0002649	snap_masked-scaffold_4-processed-gene-8.67-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.67&CDS=1-426	YDR100W
OG0002650	genemark-scaffold_4-processed-gene-8.201-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.201&CDS=1-837	YER177W
OG0002651	genemark-scaffold_4-processed-gene-8.202-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.202&CDS=1-1698	YDR101C
OG0002652	augustus_masked-scaffold_43-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_43-processed-gene-0.1&CDS=1-225	YDR449C
OG0002653	genemark-scaffold_43-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_43-processed-gene-0.4&CDS=1-1305	YDR448W
OG0002654	genemark-scaffold_46-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_46-processed-gene-0.0&CDS=1-573	YOL114C
OG0002655	augustus_masked-scaffold_5-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.45&CDS=1-1821	YPR140W
OG0002656	genemark-scaffold_5-processed-gene-0.90-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.90&CDS=1-2097	YPR141C
OG0002657	genemark-scaffold_5-processed-gene-0.91-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.91&CDS=1-681	YLR051C
OG0002658	genemark-scaffold_5-processed-gene-0.92-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.92&CDS=1-2694	YLL013C
OG0002659	snap_masked-scaffold_5-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.28&CDS=1-1197	YGR223C
OG0002660	snap_masked-scaffold_5-processed-gene-0.13-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.13&CDS=1-5073	YCR081W
OG0002661	genemark-scaffold_5-processed-gene-0.95-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.95&CDS=1-621	YFL005W
OG0002662	genemark-scaffold_5-processed-gene-0.81-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.81&CDS=1-1773	YLR060W
OG0002663	maker-scaffold_5-snap-gene-0.2-mRNA-1_1&gene=maker-scaffold_5-snap-gene-0.2&CDS=1-3330	YFL034W
OG0002664	genemark-scaffold_5-processed-gene-0.98-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.98&CDS=1-945	YOL031C
OG0002665	genemark-scaffold_5-processed-gene-0.99-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.99&CDS=1-1902	YNR006W
OG0002666	maker-scaffold_5-snap-gene-0.3-mRNA-1_1&gene=maker-scaffold_5-snap-gene-0.3&CDS=1-2376	YJL093C
OG0002667	augustus_masked-scaffold_5-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.53&CDS=1-8349	YOL075C
OG0002668	genemark-scaffold_5-processed-gene-0.105-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.105&CDS=1-1149	YER016W
OG0002669	genemark-scaffold_5-processed-gene-0.86-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.86&CDS=1-1410	YOR123C
OG0002670	augustus_masked-scaffold_5-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.55&CDS=1-378	YOR122C
OG0002671	genemark-scaffold_5-processed-gene-1.79-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.79&CDS=1-1083	YDR372C
OG0002672	genemark-scaffold_5-processed-gene-1.80-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.80&CDS=1-3936	YOR124C
OG0002673	genemark-scaffold_5-processed-gene-1.78-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.78&CDS=1-1545	YDR375C
OG0002674	genemark-scaffold_5-processed-gene-1.81-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.81&CDS=1-2259	YOR140W
OG0002675	genemark-scaffold_5-processed-gene-1.96-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.96&CDS=1-1368	YDR367W
OG0002676	genemark-scaffold_5-processed-gene-1.82-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.82&CDS=1-1524	YOR119C
OG0002677	genemark-scaffold_5-processed-gene-1.97-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.97&CDS=1-1824	YOR118W
OG0002678	augustus_masked-scaffold_5-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.48&CDS=1-3795	YHR111W
OG0002679	genemark-scaffold_5-processed-gene-1.98-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.98&CDS=1-1791	YDR362C
OG0002680	genemark-scaffold_5-processed-gene-1.99-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.99&CDS=1-1128	YHR112C
OG0002681	genemark-scaffold_5-processed-gene-1.86-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.86&CDS=1-2823	YML093W
OG0002682	genemark-scaffold_5-processed-gene-1.100-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.100&CDS=1-327	YDR382W
OG0002683	genemark-scaffold_5-processed-gene-1.88-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.88&CDS=1-900	YOR130C
OG0002684	genemark-scaffold_5-processed-gene-1.89-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.89&CDS=1-330	YDR381C-A
OG0002685	genemark-scaffold_5-processed-gene-1.102-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.102&CDS=1-825	YDR381W
OG0002686	genemark-scaffold_5-processed-gene-1.91-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.91&CDS=1-3297	YDR060W
OG0002687	genemark-scaffold_5-processed-gene-1.105-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.105&CDS=1-2700	YBR083W
OG0002688	snap_masked-scaffold_5-processed-gene-1.17-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.17&CDS=1-4797	YPR184W
OG0002689	genemark-scaffold_5-processed-gene-1.94-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.94&CDS=1-720	YPL129W
OG0002690	genemark-scaffold_5-processed-gene-1.108-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.108&CDS=1-1266	YOR212W
OG0002691	genemark-scaffold_5-processed-gene-1.109-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.109&CDS=1-3393	YMR288W
OG0002692	genemark-scaffold_5-processed-gene-1.95-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.95&CDS=1-1209	YMR200W
OG0002693	genemark-scaffold_5-processed-gene-1.110-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.110&CDS=1-1362	YML126C
OG0002694	genemark-scaffold_5-processed-gene-1.113-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.113&CDS=1-2451	YGR261C
OG0002695	genemark-scaffold_5-processed-gene-2.37-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.37&CDS=1-1215	YGR202C
OG0002696	genemark-scaffold_5-processed-gene-2.38-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.38&CDS=1-453	YGR203W
OG0002697	genemark-scaffold_5-processed-gene-2.42-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.42&CDS=1-3414	YGR258C
OG0002698	genemark-scaffold_5-processed-gene-2.41-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.41&CDS=1-924	YHR187W
OG0002699	augustus_masked-scaffold_5-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.7&CDS=1-1257	YLL006W
OG0002700	genemark-scaffold_5-processed-gene-2.61-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.61&CDS=1-2160	YJL012C
OG0002701	genemark-scaffold_5-processed-gene-2.62-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.62&CDS=1-828	YPL196W
OG0002702	maker-scaffold_5-snap-gene-2.77-mRNA-1_1&gene=maker-scaffold_5-snap-gene-2.77&CDS=1-5223	YGL078C
OG0002703	snap_masked-scaffold_5-processed-gene-2.100-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.100&CDS=1-276	YOR104W
OG0002704	genemark-scaffold_5-processed-gene-2.65-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.65&CDS=1-2928	YGR187C
OG0002705	augustus_masked-scaffold_5-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.13&CDS=1-2982	YHR067W
OG0002706	snap_masked-scaffold_5-processed-gene-2.125-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.125&CDS=1-4986	YDR301W
OG0002707	genemark-scaffold_5-processed-gene-2.70-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.70&CDS=1-276	YFR049W
OG0002708	genemark-scaffold_5-processed-gene-2.53-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.53&CDS=1-825	YFR050C
OG0002709	genemark-scaffold_5-processed-gene-2.71-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.71&CDS=1-1173	YGL248W
OG0002710	snap_masked-scaffold_5-processed-gene-2.128-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.128&CDS=1-1284	YMR208W
OG0002711	genemark-scaffold_5-processed-gene-2.57-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.57&CDS=1-1374	YOR272W
OG0002712	genemark-scaffold_5-processed-gene-2.73-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.73&CDS=1-1584	YMR217W
OG0002713	genemark-scaffold_5-processed-gene-2.58-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.58&CDS=1-618	YJR057W
OG0002714	maker-scaffold_5-augustus-gene-2.89-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-2.89&CDS=1-2130	YNL097C
OG0002715	maker-scaffold_5-augustus-gene-2.86-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-2.86&CDS=1-1296	YJR076C
OG0002716	maker-scaffold_5-augustus-gene-2.87-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-2.87&CDS=1-627	YJR073C
