	Lachancea_meyersii	Saccharomyces_cerevisiae
OG0003502	augustus_masked-LAME0H-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.4&CDS=1-954	YKR011C
OG0003503	augustus_masked-LAME0H-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.7&CDS=1-1749	YOR386W
OG0003504	augustus_masked-LAME0H-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.8&CDS=1-873	YHR029C
OG0003505	augustus_masked-LAME0H-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.5&CDS=1-3762	YJL076W
OG0003506	augustus_masked-LAME0H-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.21&CDS=1-3669	YJL074C
OG0003507	augustus_masked-LAME0H-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.22&CDS=1-1245	YBR287W
OG0003508	augustus_masked-LAME0H-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.9&CDS=1-1830	YJL073W
OG0003509	genemark-LAME0H-processed-gene-4.124-mRNA-1_1&gene=genemark-LAME0H-processed-gene-4.124&CDS=1-1542	YBR286W
OG0003510	augustus_masked-LAME0H-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.24&CDS=1-621	YJL072C
OG0003511	snap_masked-LAME0H-processed-gene-4.57-mRNA-1_1&gene=snap_masked-LAME0H-processed-gene-4.57&CDS=1-1647	YJL071W
OG0003512	genemark-LAME0H-processed-gene-4.127-mRNA-1_1&gene=genemark-LAME0H-processed-gene-4.127&CDS=1-2343	YJL070C
OG0003513	augustus_masked-LAME0H-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.12&CDS=1-4860	YBR275C
OG0003514	maker-LAME0H-augustus-gene-4.2-mRNA-1_1&gene=maker-LAME0H-augustus-gene-4.2&CDS=1-1557	YBR274W
OG0003515	genemark-LAME0H-processed-gene-4.112-mRNA-1_1&gene=genemark-LAME0H-processed-gene-4.112&CDS=1-1086	YBR273C
OG0003516	augustus_masked-LAME0H-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.28&CDS=1-1299	YJL049W
OG0003517	augustus_masked-LAME0H-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.14&CDS=1-1446	YBR272C
OG0003518	augustus_masked-LAME0H-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.29&CDS=1-3255	YJL050W
OG0003519	snap_masked-LAME0H-processed-gene-4.81-mRNA-1_1&gene=snap_masked-LAME0H-processed-gene-4.81&CDS=1-1926	YJL051W
OG0003520	augustus_masked-LAME0H-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.31&CDS=1-936	YJL053W
OG0003521	augustus_masked-LAME0H-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.32&CDS=1-1428	YJL054W
OG0003522	augustus_masked-LAME0H-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.34&CDS=1-711	YJL055W
OG0003523	augustus_masked-LAME0H-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.15&CDS=1-258	YGR008C
OG0003524	augustus_masked-LAME0H-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.35&CDS=1-960	YGR007W
OG0003525	maker-LAME0H-augustus-gene-4.3-mRNA-1_1&gene=maker-LAME0H-augustus-gene-4.3&CDS=1-1419	YLR326W
OG0003526	augustus_masked-LAME0H-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.16&CDS=1-1503	YGR005C
OG0003527	augustus_masked-LAME0H-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.37&CDS=1-1626	YLR324W
OG0003528	augustus_masked-LAME0H-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.17&CDS=1-711	YLR323C
OG0003529	augustus_masked-LAME0H-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.38&CDS=1-2181	YGR003W
OG0003530	augustus_masked-LAME0H-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.18&CDS=1-1383	YGR002C
OG0003531	augustus_masked-LAME0H-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.39&CDS=1-4191	YLR320W
OG0003532	augustus_masked-LAME0H-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.19&CDS=1-2157	YLR319C
OG0003533	snap_masked-LAME0H-processed-gene-4.93-mRNA-1_1&gene=snap_masked-LAME0H-processed-gene-4.93&CDS=1-2136	YLR318W
OG0003534	genemark-LAME0H-processed-gene-4.119-mRNA-1_1&gene=genemark-LAME0H-processed-gene-4.119&CDS=1-519	YLR316C
OG0003535	augustus_masked-LAME0H-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.41&CDS=1-465	YLR315W
OG0003536	augustus_masked-LAME0H-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.42&CDS=1-1080	YLR321C
OG0003537	maker-LAME0H-augustus-gene-4.1-mRNA-1_1&gene=maker-LAME0H-augustus-gene-4.1&CDS=1-636	YAL003W
OG0003538	snap_masked-LAME0H-processed-gene-4.69-mRNA-1_1&gene=snap_masked-LAME0H-processed-gene-4.69&CDS=1-3696	YAL002W
OG0003539	augustus_masked-LAME0H-processed-gene-4.43-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.43&CDS=1-1038	YGL001C
OG0003540	augustus_masked-LAME0H-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.44&CDS=1-726	YGR001C
OG0003541	augustus_masked-LAME0H-processed-gene-5.0-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.0&CDS=1-3336	YAL001C
OG0003542	augustus_masked-LAME0H-processed-gene-5.1-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.1&CDS=1-1527	YAR002W
OG0003543	augustus_masked-LAME0H-processed-gene-5.2-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.2&CDS=1-1320	YAR003W
OG0003544	augustus_masked-LAME0H-processed-gene-5.3-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.3&CDS=1-1671	YGL003C
OG0003545	augustus_masked-LAME0H-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.26&CDS=1-1884	YAR007C
OG0003546	augustus_masked-LAME0H-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.5&CDS=1-1215	YGL004C
OG0003547	augustus_masked-LAME0H-processed-gene-5.6-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.6&CDS=1-777	YGL005C
OG0003548	augustus_masked-LAME0H-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.27&CDS=1-3681	YGL006W
OG0003549	augustus_masked-LAME0H-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.7&CDS=1-846	YAR008W
OG0003550	augustus_masked-LAME0H-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.28&CDS=1-684	YOR289W
OG0003551	maker-LAME0H-augustus-gene-5.45-mRNA-1_1&gene=maker-LAME0H-augustus-gene-5.45&CDS=1-1251	YOR288C
OG0003552	augustus_masked-LAME0H-processed-gene-5.9-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.9&CDS=1-939	YOR287C
OG0003553	augustus_masked-LAME0H-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.29&CDS=1-426	YOR286W
OG0003554	augustus_masked-LAME0H-processed-gene-5.30-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.30&CDS=1-1062	YOR283W
OG0003555	augustus_masked-LAME0H-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.10&CDS=1-1989	YMR224C
OG0003556	augustus_masked-LAME0H-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.11&CDS=1-807	YOR281C
OG0003557	augustus_masked-LAME0H-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.31&CDS=1-1128	YMR223W
OG0003558	augustus_masked-LAME0H-processed-gene-5.13-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.13&CDS=1-2490	YNL118C
OG0003559	augustus_masked-LAME0H-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.34&CDS=1-1419	YNL119W
OG0003560	augustus_masked-LAME0H-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.14&CDS=1-330	YHR116W
OG0003561	augustus_masked-LAME0H-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.15&CDS=1-1812	YNL121C
OG0003562	augustus_masked-LAME0H-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.35&CDS=1-2958	YNL123W
OG0003563	augustus_masked-LAME0H-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.36&CDS=1-1317	YHR118C
OG0003564	genemark-LAME0H-processed-gene-5.120-mRNA-1_1&gene=genemark-LAME0H-processed-gene-5.120&CDS=1-2961	YHR119W
OG0003565	augustus_masked-LAME0H-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.17&CDS=1-2886	YHR120W
OG0003566	augustus_masked-LAME0H-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.37&CDS=1-1611	YNL124W
OG0003567	augustus_masked-LAME0H-processed-gene-5.18-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.18&CDS=1-1746	YNL125C
OG0003568	augustus_masked-LAME0H-processed-gene-5.38-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.38&CDS=1-2259	YNL126W
OG0003569	augustus_masked-LAME0H-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.39&CDS=1-2772	YNL127W
OG0003570	genemark-LAME0H-processed-gene-5.123-mRNA-1_1&gene=genemark-LAME0H-processed-gene-5.123&CDS=1-318	YHR121W
OG0003571	augustus_masked-LAME0H-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.40&CDS=1-1305	YNL128W
OG0003572	maker-LAME0H-augustus-gene-5.48-mRNA-1_1&gene=maker-LAME0H-augustus-gene-5.48&CDS=1-708	YNL129W
OG0003573	augustus_masked-LAME0H-processed-gene-5.19-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.19&CDS=1-678	YHR122W
OG0003574	maker-LAME0H-augustus-gene-5.46-mRNA-1_1&gene=maker-LAME0H-augustus-gene-5.46&CDS=1-1173	YNL130C
OG0003575	augustus_masked-LAME0H-processed-gene-5.42-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.42&CDS=1-447	YNL131W
OG0003576	augustus_masked-LAME0H-processed-gene-5.43-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.43&CDS=1-3159	YNL132W
OG0003577	augustus_masked-LAME0H-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.21&CDS=1-2061	YHR124W
OG0003578	augustus_masked-LAME0H-processed-gene-5.22-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.22&CDS=1-525	YNL133C
OG0003579	augustus_masked-LAME0H-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-5.24&CDS=1-342	YNL135C
OG0003580	augustus_masked-LAME0H-processed-gene-6.4-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.4&CDS=1-996	YNL136W
OG0003581	augustus_masked-LAME0H-processed-gene-6.1-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.1&CDS=1-1431	YNL137C
OG0003582	augustus_masked-LAME0H-processed-gene-6.5-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.5&CDS=1-1590	YNL138W
OG0003583	augustus_masked-LAME0H-processed-gene-6.2-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.2&CDS=1-798	YHR127W
OG0003584	augustus_masked-LAME0H-processed-gene-6.3-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.3&CDS=1-4896	YNL139C
OG0003585	augustus_masked-LAME0H-processed-gene-6.6-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.6&CDS=1-1194	YNL152W
OG0003586	augustus_masked-LAME0H-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.29&CDS=1-687	YNL151C
OG0003587	augustus_masked-LAME0H-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.30&CDS=1-378	YNL149C
OG0003588	snap_masked-LAME0H-processed-gene-6.130-mRNA-1_1&gene=snap_masked-LAME0H-processed-gene-6.130&CDS=1-756	YNL148C
OG0003589	augustus_masked-LAME0H-processed-gene-6.7-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.7&CDS=1-357	YNL147W
OG0003590	augustus_masked-LAME0H-processed-gene-6.8-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.8&CDS=1-648	YHR128W
OG0003591	maker-LAME0H-snap-gene-6.97-mRNA-1_1&gene=maker-LAME0H-snap-gene-6.97&CDS=1-1779	YNL144C
OG0003592	augustus_masked-LAME0H-processed-gene-6.36-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.36&CDS=1-804	YNL159C
OG0003593	augustus_masked-LAME0H-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.10&CDS=1-540	YNL158W
OG0003594	augustus_masked-LAME0H-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.37&CDS=1-1311	YHR132C
OG0003595	augustus_masked-LAME0H-processed-gene-6.11-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.11&CDS=1-387	YHR132W-A
OG0003596	augustus_masked-LAME0H-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.38&CDS=1-786	YNL156C
OG0003597	augustus_masked-LAME0H-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.12&CDS=1-744	YHR134W
OG0003598	augustus_masked-LAME0H-processed-gene-6.13-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.13&CDS=1-804	YNL155W
OG0003599	augustus_masked-LAME0H-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.15&CDS=1-1065	YNL141W
OG0003600	augustus_masked-LAME0H-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.17&CDS=1-1095	YMR139W
OG0003601	augustus_masked-LAME0H-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.19&CDS=1-2604	YOR113W
OG0003602	augustus_masked-LAME0H-processed-gene-6.20-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.20&CDS=1-723	YOR114W
OG0003603	augustus_masked-LAME0H-processed-gene-6.42-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.42&CDS=1-771	YOR115C
OG0003604	augustus_masked-LAME0H-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.21&CDS=1-1863	YHR114W
OG0003605	augustus_masked-LAME0H-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.22&CDS=1-1794	YNL115C
OG0003606	augustus_masked-LAME0H-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.24&CDS=1-1056	YJR154W
OG0003607	augustus_masked-LAME0H-processed-gene-6.25-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.25&CDS=1-957	YBR176W
OG0003608	augustus_masked-LAME0H-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.45&CDS=1-1410	YPL103C
OG0003609	augustus_masked-LAME0H-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.26&CDS=1-1347	YPL101W
OG0003610	augustus_masked-LAME0H-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.27&CDS=1-1152	YPL100W
OG0003611	augustus_masked-LAME0H-processed-gene-6.46-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.46&CDS=1-489	YPL099C
OG0003612	genemark-LAME0H-processed-gene-6.95-mRNA-1_1&gene=genemark-LAME0H-processed-gene-6.95&CDS=1-360	YPL098C
OG0003613	maker-LAME0H-augustus-gene-6.0-mRNA-1_1&gene=maker-LAME0H-augustus-gene-6.0&CDS=1-2412	YPL097W
OG0003614	augustus_masked-LAME0H-processed-gene-7.48-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.48&CDS=1-1359	YBR177C
OG0003615	maker-LAME0H-augustus-gene-7.91-mRNA-1_1&gene=maker-LAME0H-augustus-gene-7.91&CDS=1-3291	YBR179C
OG0003616	augustus_masked-LAME0H-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.45&CDS=1-1947	YPL093W
OG0003617	augustus_masked-LAME0H-processed-gene-7.46-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.46&CDS=1-1695	YBR180W
OG0003618	augustus_masked-LAME0H-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.47&CDS=1-1323	YPL092W
OG0003619	augustus_masked-LAME0H-processed-gene-7.50-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.50&CDS=1-1398	YPL091W
OG0003620	augustus_masked-LAME0H-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.73&CDS=1-1812	YBR182C
OG0003621	augustus_masked-LAME0H-processed-gene-7.51-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.51&CDS=1-1704	YOR348C
OG0003622	augustus_masked-LAME0H-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.74&CDS=1-1671	YPL086C
OG0003623	augustus_masked-LAME0H-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.54&CDS=1-6975	YPL085W
OG0003624	augustus_masked-LAME0H-processed-gene-7.75-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.75&CDS=1-693	YBR185C
OG0003625	snap_masked-LAME0H-processed-gene-7.104-mRNA-1_1&gene=snap_masked-LAME0H-processed-gene-7.104&CDS=1-2442	YPL084W
OG0003626	augustus_masked-LAME0H-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.76&CDS=1-1329	YPL083C
OG0003627	maker-LAME0H-augustus-gene-7.87-mRNA-1_1&gene=maker-LAME0H-augustus-gene-7.87&CDS=1-2514	YBR187W
OG0003628	snap_masked-LAME0H-processed-gene-7.127-mRNA-1_1&gene=snap_masked-LAME0H-processed-gene-7.127&CDS=1-5712	YPL082C
OG0003629	augustus_masked-LAME0H-processed-gene-7.60-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.60&CDS=1-1119	YBR192W
OG0003630	augustus_masked-LAME0H-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.78&CDS=1-651	YBR193C
OG0003631	augustus_masked-LAME0H-processed-gene-7.79-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.79&CDS=1-1896	YBR195C
OG0003632	augustus_masked-LAME0H-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.80&CDS=1-1662	YBR196C
OG0003633	augustus_masked-LAME0H-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.81&CDS=1-423	YPL077C
OG0003634	augustus_masked-LAME0H-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.61&CDS=1-822	YPL076W
OG0003635	augustus_masked-LAME0H-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.82&CDS=1-2295	YBR198C
OG0003636	augustus_masked-LAME0H-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.62&CDS=1-2106	YPL075W
OG0003637	maker-LAME0H-snap-gene-7.141-mRNA-1_1&gene=maker-LAME0H-snap-gene-7.141&CDS=1-2094	YPL072W
OG0003638	augustus_masked-LAME0H-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.65&CDS=1-1668	YBR200W
OG0003639	snap_masked-LAME0H-processed-gene-7.134-mRNA-1_1&gene=snap_masked-LAME0H-processed-gene-7.134&CDS=1-429	YPL071C
OG0003640	augustus_masked-LAME0H-processed-gene-7.66-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.66&CDS=1-1554	YPL070W
OG0003641	augustus_masked-LAME0H-processed-gene-7.83-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.83&CDS=1-972	YPL069C
OG0003642	augustus_masked-LAME0H-processed-gene-7.67-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.67&CDS=1-657	YBR201W
OG0003643	augustus_masked-LAME0H-processed-gene-7.85-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.85&CDS=1-582	YPL067C
OG0003644	augustus_masked-LAME0H-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.68&CDS=1-2472	YBR202W
OG0003645	maker-LAME0H-augustus-gene-7.90-mRNA-1_1&gene=maker-LAME0H-augustus-gene-7.90&CDS=1-1302	YPL066W
OG0003646	augustus_masked-LAME0H-processed-gene-7.70-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.70&CDS=1-681	YPL065W
OG0003647	augustus_masked-LAME0H-processed-gene-7.86-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.86&CDS=1-960	YPL064C
OG0003648	augustus_masked-LAME0H-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.71&CDS=1-1422	YPL063W
OG0003649	augustus_masked-LAME0H-processed-gene-8.102-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.102&CDS=1-2433	YBR203W
OG0003650	augustus_masked-LAME0H-processed-gene-8.106-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.106&CDS=1-960	YBR204C
OG0003651	augustus_masked-LAME0H-processed-gene-8.104-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.104&CDS=1-966	YGR263C
OG0003652	augustus_masked-LAME0H-processed-gene-8.107-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.107&CDS=1-1320	YBR207W
OG0003653	augustus_masked-LAME0H-processed-gene-8.127-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.127&CDS=1-5496	YBR208C
OG0003654	augustus_masked-LAME0H-processed-gene-8.108-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.108&CDS=1-411	YPL059W
OG0003655	snap_masked-LAME0H-processed-gene-8.28-mRNA-1_1&gene=snap_masked-LAME0H-processed-gene-8.28&CDS=1-1644	YBR163W
OG0003656	snap_masked-LAME0H-processed-gene-8.29-mRNA-1_1&gene=snap_masked-LAME0H-processed-gene-8.29&CDS=1-186	YBR162W-A
OG0003657	augustus_masked-LAME0H-processed-gene-8.109-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.109&CDS=1-1377	YBR162C
OG0003658	augustus_masked-LAME0H-processed-gene-8.130-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.130&CDS=1-1080	YMR152W
OG0003659	maker-LAME0H-snap-gene-8.50-mRNA-1_1&gene=maker-LAME0H-snap-gene-8.50&CDS=1-1926	YBR160W
OG0003660	augustus_masked-LAME0H-processed-gene-8.134-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.134&CDS=1-1470	YBR158W
OG0003661	augustus_masked-LAME0H-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.110&CDS=1-1305	YPL054W
OG0003662	augustus_masked-LAME0H-processed-gene-8.112-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.112&CDS=1-2238	YBR156C
OG0003663	augustus_masked-LAME0H-processed-gene-8.136-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.136&CDS=1-1125	YBR155W
OG0003664	snap_masked-LAME0H-processed-gene-8.11-mRNA-1_1&gene=snap_masked-LAME0H-processed-gene-8.11&CDS=1-609	YPL052W
OG0003665	genemark-LAME0H-processed-gene-8.65-mRNA-1_1&gene=genemark-LAME0H-processed-gene-8.65&CDS=1-417	YDR482C
OG0003666	augustus_masked-LAME0H-processed-gene-8.114-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.114&CDS=1-591	YPL051W
OG0003667	augustus_masked-LAME0H-processed-gene-8.115-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.115&CDS=1-1632	YDR481C
OG0003668	augustus_masked-LAME0H-processed-gene-8.138-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.138&CDS=1-1179	YPL050C
OG0003669	augustus_masked-LAME0H-processed-gene-8.139-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.139&CDS=1-1245	YDR480W
OG0003670	snap_masked-LAME0H-processed-gene-8.17-mRNA-1_1&gene=snap_masked-LAME0H-processed-gene-8.17&CDS=1-294	YPL047W
OG0003671	augustus_masked-LAME0H-processed-gene-8.118-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.118&CDS=1-1206	YDR255C
OG0003672	augustus_masked-LAME0H-processed-gene-8.140-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.140&CDS=1-291	YPL046C
OG0003673	augustus_masked-LAME0H-processed-gene-8.119-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.119&CDS=1-2397	YPL045W
OG0003674	augustus_masked-LAME0H-processed-gene-8.141-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.141&CDS=1-1158	YDR254W
OG0003675	augustus_masked-LAME0H-processed-gene-8.120-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.120&CDS=1-2121	YPL043W
OG0003676	augustus_masked-LAME0H-processed-gene-8.142-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.142&CDS=1-1707	YPL042C
OG0003677	maker-LAME0H-augustus-gene-8.101-mRNA-1_1&gene=maker-LAME0H-augustus-gene-8.101&CDS=1-3702	YPL040C
OG0003678	augustus_masked-LAME0H-processed-gene-8.121-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.121&CDS=1-627	YDR253C
OG0003679	augustus_masked-LAME0H-processed-gene-8.144-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.144&CDS=1-483	YPL037C
OG0003680	augustus_masked-LAME0H-processed-gene-8.145-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.145&CDS=1-2700	YPL032C
