	Saccharomyces_cerevisiae	yHMPu5000034967_Candida_freyschussii
OG0002579	YLR337C	maker-flattened_line_16-snap-gene-0.115-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-0.115&CDS=1-1989
OG0002580	YLR340W	genemark-flattened_line_36-processed-gene-0.251-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.251&CDS=1-936
OG0002581	YLR345W	maker-flattened_line_2-augustus-gene-3.57-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-3.57&CDS=1-2055
OG0002582	YLR347C	genemark-flattened_line_2-processed-gene-4.125-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.125&CDS=1-2586
OG0002583	YLR348C	genemark-flattened_line_12-processed-gene-1.84-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.84&CDS=1-918
OG0002584	YLR351C	augustus_masked-flattened_line_12-processed-gene-3.137-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.137&CDS=1-1149
OG0002585	YLR352W	genemark-flattened_line_36-processed-gene-0.224-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.224&CDS=1-1500
OG0002586	YLR354C	genemark-flattened_line_28-processed-gene-0.109-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.109&CDS=1-972
OG0002587	YLR355C	genemark-flattened_line_14-processed-gene-3.120-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.120&CDS=1-1191
OG0002588	YLR362W	maker-flattened_line_2-snap-gene-6.152-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-6.152&CDS=1-1935
OG0002589	YLR363C	genemark-flattened_line_4-processed-gene-5.9-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.9&CDS=1-768
OG0002590	YLR363W-A	augustus_masked-flattened_line_58-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.89&CDS=1-273
OG0002591	YLR364W	genemark-flattened_line_22-processed-gene-1.174-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.174&CDS=1-312
OG0002592	YLR370C	genemark-flattened_line_38-processed-gene-0.154-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.154&CDS=1-528
OG0002593	YLR371W	genemark-flattened_line_38-processed-gene-0.188-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.188&CDS=1-3975
OG0002594	YLR377C	genemark-flattened_line_4-processed-gene-3.120-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.120&CDS=1-1020
OG0002595	YLR378C	maker-flattened_line_42-snap-gene-0.69-mRNA-1_1&gene=maker-flattened_line_42-snap-gene-0.69&CDS=1-1431
OG0002596	YLR380W	augustus_masked-flattened_line_0-processed-gene-8.51-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.51&CDS=1-3249
OG0002597	YLR382C	genemark-flattened_line_0-processed-gene-8.135-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.135&CDS=1-2556
OG0002598	YLR383W	genemark-flattened_line_0-processed-gene-8.153-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.153&CDS=1-3339
OG0002599	YLR384C	genemark-flattened_line_0-processed-gene-8.133-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.133&CDS=1-3969
OG0002600	YLR386W	maker-flattened_line_8-snap-gene-1.59-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-1.59&CDS=1-2595
OG0002601	YLR387C	genemark-flattened_line_8-processed-gene-1.90-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.90&CDS=1-1272
OG0002602	YLR389C	genemark-flattened_line_8-processed-gene-1.88-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.88&CDS=1-2880
OG0002603	YLR393W	maker-flattened_line_8-augustus-gene-0.89-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-0.89&CDS=1-1620
OG0002604	YLR395C	snap_masked-flattened_line_0-processed-gene-8.103-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.103&CDS=1-222
OG0002605	YLR396C	genemark-flattened_line_0-processed-gene-8.132-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.132&CDS=1-1734
OG0002606	YLR397C	augustus_masked-flattened_line_8-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.47&CDS=1-3324
OG0002607	YLR398C	genemark-flattened_line_8-processed-gene-1.115-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.115&CDS=1-3747
OG0002608	YLR399C	genemark-flattened_line_8-processed-gene-1.116-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.116&CDS=1-1977
OG0002609	YLR401C	genemark-flattened_line_8-processed-gene-1.120-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.120&CDS=1-1896
OG0002610	YLR403W	genemark-flattened_line_8-processed-gene-1.119-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.119&CDS=1-1158
OG0002611	YLR405W	genemark-flattened_line_8-processed-gene-1.95-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.95&CDS=1-1053
OG0002612	YLR407W	genemark-flattened_line_8-processed-gene-2.1-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.1&CDS=1-723
OG0002613	YLR409C	genemark-flattened_line_8-processed-gene-2.5-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.5&CDS=1-2727
OG0002614	YLR410W	genemark-flattened_line_8-processed-gene-2.6-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.6&CDS=1-2931
OG0002615	YLR411W	augustus_masked-flattened_line_44-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.103&CDS=1-693
OG0002616	YLR412W	genemark-flattened_line_8-processed-gene-2.7-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.7&CDS=1-762
OG0002617	YLR414C	genemark-flattened_line_6-processed-gene-4.163-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.163&CDS=1-813
OG0002618	YLR417W	genemark-flattened_line_6-processed-gene-5.47-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.47&CDS=1-1470
OG0002619	YLR419W	genemark-flattened_line_20-processed-gene-1.61-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.61&CDS=1-4152
OG0002620	YLR420W	genemark-flattened_line_20-processed-gene-2.22-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.22&CDS=1-1101
OG0002621	YLR421C	maker-flattened_line_34-augustus-gene-0.6-mRNA-1_1&gene=maker-flattened_line_34-augustus-gene-0.6&CDS=1-801
OG0002622	YLR422W	genemark-flattened_line_20-processed-gene-2.24-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.24&CDS=1-5724
OG0002623	YLR423C	genemark-flattened_line_4-processed-gene-1.166-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.166&CDS=1-1269
OG0002624	YLR424W	genemark-flattened_line_4-processed-gene-1.141-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.141&CDS=1-2232
OG0002625	YLR425W	genemark-flattened_line_6-processed-gene-4.141-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.141&CDS=1-3918
OG0002626	YLR427W	genemark-flattened_line_6-processed-gene-1.43-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.43&CDS=1-1905
OG0002627	YLR429W	genemark-flattened_line_6-processed-gene-0.83-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.83&CDS=1-1971
OG0002628	YLR430W	genemark-flattened_line_6-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.58&CDS=1-5838
OG0002629	YLR436C	genemark-flattened_line_6-processed-gene-4.168-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.168&CDS=1-3003
OG0002630	YLR437C	genemark-flattened_line_6-processed-gene-4.169-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.169&CDS=1-396
OG0002631	YLR438C-A	maker-flattened_line_8-snap-gene-4.112-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-4.112&CDS=1-315
OG0002632	YLR438W	genemark-flattened_line_6-processed-gene-4.142-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.142&CDS=1-1296
OG0002633	YLR439W	genemark-flattened_line_8-processed-gene-4.77-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.77&CDS=1-852
OG0002634	YLR440C	genemark-flattened_line_8-processed-gene-4.55-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.55&CDS=1-2013
OG0002635	YLR443W	snap_masked-flattened_line_6-processed-gene-4.110-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.110&CDS=1-1110
OG0002636	YLR446W	snap_masked-flattened_line_44-processed-gene-0.208-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.208&CDS=1-1185
OG0002637	YLR447C	genemark-flattened_line_8-processed-gene-3.121-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.121&CDS=1-1032
OG0002638	YLR449W	genemark-flattened_line_8-processed-gene-3.98-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.98&CDS=1-1278
OG0002639	YLR451W	genemark-flattened_line_14-processed-gene-4.96-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.96&CDS=1-2652
OG0002640	YLR452C	genemark-flattened_line_14-processed-gene-4.49-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.49&CDS=1-2010
OG0002641	YLR454W	snap_masked-flattened_line_28-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.11&CDS=1-7893
OG0002642	YLR455W	snap_masked-flattened_line_28-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.8&CDS=1-1104
OG0002643	YLR459W	genemark-flattened_line_14-processed-gene-2.102-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.102&CDS=1-1164
OG0002644	YML001W	genemark-flattened_line_4-processed-gene-2.160-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.160&CDS=1-615
OG0002645	YML002W	genemark-flattened_line_6-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.57&CDS=1-3480
OG0002646	YML004C	genemark-flattened_line_2-processed-gene-3.75-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.75&CDS=1-951
OG0002647	YML005W	genemark-flattened_line_16-processed-gene-2.18-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.18&CDS=1-1230
OG0002648	YML006C	genemark-flattened_line_14-processed-gene-4.3-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.3&CDS=1-1311
OG0002649	YML007W	genemark-flattened_line_10-processed-gene-2.163-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.163&CDS=1-1371
OG0002650	YML008C	genemark-flattened_line_10-processed-gene-3.91-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.91&CDS=1-1113
OG0002651	YML009C	genemark-flattened_line_18-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.40&CDS=1-219
OG0002652	YML010W	genemark-flattened_line_18-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.13&CDS=1-2955
OG0002653	YML011C	genemark-flattened_line_18-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.39&CDS=1-519
OG0002654	YML012W	genemark-flattened_line_18-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.12&CDS=1-633
OG0002655	YML013W	genemark-flattened_line_18-processed-gene-3.206-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.206&CDS=1-1536
OG0002656	YML014W	augustus_masked-flattened_line_18-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.4&CDS=1-1995
OG0002657	YML015C	genemark-flattened_line_18-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.49&CDS=1-780
OG0002658	YML017W	augustus_masked-flattened_line_18-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.156&CDS=1-1719
OG0002659	YML018C	snap_masked-flattened_line_18-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.70&CDS=1-1050
OG0002660	YML019W	augustus_masked-flattened_line_18-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.157&CDS=1-960
OG0002661	YML020W	genemark-flattened_line_18-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.15&CDS=1-1956
OG0002662	YML021C	augustus_masked-flattened_line_18-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.154&CDS=1-981
OG0002663	YML022W	genemark-flattened_line_18-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.43&CDS=1-567
OG0002664	YML023C	snap_masked-flattened_line_18-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.66&CDS=1-1704
OG0002665	YML025C	maker-flattened_line_16-augustus-gene-2.173-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-2.173&CDS=1-732
OG0002666	YML030W	maker-flattened_line_22-snap-gene-1.205-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-1.205&CDS=1-429
OG0002667	YML031W	genemark-flattened_line_22-processed-gene-1.128-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.128&CDS=1-1734
OG0002668	YML032C	genemark-flattened_line_22-processed-gene-1.123-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.123&CDS=1-1221
OG0002669	YML034W	snap_masked-flattened_line_40-processed-gene-0.257-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.257&CDS=1-2604
OG0002670	YML035C	genemark-flattened_line_28-processed-gene-0.137-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.137&CDS=1-2301
OG0002671	YML036W	maker-flattened_line_8-snap-gene-1.58-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-1.58&CDS=1-522
OG0002672	YML038C	genemark-flattened_line_22-processed-gene-1.185-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.185&CDS=1-1140
OG0002673	YML042W	genemark-flattened_line_14-processed-gene-3.162-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.162&CDS=1-1845
OG0002674	YML043C	genemark-flattened_line_20-processed-gene-1.84-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.84&CDS=1-1359
OG0002675	YML046W	maker-flattened_line_8-snap-gene-3.51-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-3.51&CDS=1-1932
OG0002676	YML048W	genemark-flattened_line_0-processed-gene-0.141-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.141&CDS=1-1134
OG0002677	YML049C	genemark-flattened_line_0-processed-gene-0.120-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.120&CDS=1-3357
OG0002678	YML052W	genemark-flattened_line_8-processed-gene-5.72-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.72&CDS=1-834
OG0002679	YML054C	snap_masked-flattened_line_20-processed-gene-2.100-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-2.100&CDS=1-1686
OG0002680	YML055W	genemark-flattened_line_6-processed-gene-1.18-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.18&CDS=1-519
OG0002681	YML056C	genemark-flattened_line_6-processed-gene-4.167-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.167&CDS=1-1566
OG0002682	YML059C	genemark-flattened_line_8-processed-gene-4.78-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.78&CDS=1-4035
OG0002683	YML060W	genemark-flattened_line_8-processed-gene-4.56-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.56&CDS=1-1050
OG0002684	YML064C	genemark-flattened_line_6-processed-gene-4.166-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.166&CDS=1-600
OG0002685	YML065W	genemark-flattened_line_6-processed-gene-4.139-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.139&CDS=1-2256
OG0002686	YML066C	genemark-flattened_line_6-processed-gene-4.164-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.164&CDS=1-1407
OG0002687	YML067C	snap_masked-flattened_line_2-processed-gene-5.5-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-5.5&CDS=1-1014
OG0002688	YML068W	genemark-flattened_line_2-processed-gene-5.55-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.55&CDS=1-1335
OG0002689	YML069W	genemark-flattened_line_44-processed-gene-0.63-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.63&CDS=1-1572
OG0002690	YML071C	genemark-flattened_line_8-processed-gene-3.95-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.95&CDS=1-1686
OG0002691	YML076C	genemark-flattened_line_8-processed-gene-3.100-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.100&CDS=1-2202
OG0002692	YML077W	maker-flattened_line_0-augustus-gene-12.178-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-12.178&CDS=1-459
OG0002693	YML081C-A	snap_masked-flattened_line_71-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_71-processed-gene-0.0&CDS=1-183
OG0002694	YML085C	genemark-flattened_line_4-processed-gene-4.64-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.64&CDS=1-1347
OG0002695	YML086C	genemark-flattened_line_4-processed-gene-3.161-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.161&CDS=1-1584
OG0002696	YML091C	snap_masked-flattened_line_32-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.20&CDS=1-2157
OG0002697	YML092C	genemark-flattened_line_32-processed-gene-0.165-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.165&CDS=1-750
OG0002698	YML093W	genemark-flattened_line_32-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.119&CDS=1-2454
OG0002699	YML094W	genemark-flattened_line_32-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.118&CDS=1-456
OG0002700	YML095C	genemark-flattened_line_32-processed-gene-0.164-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.164&CDS=1-447
OG0002701	YML096W	genemark-flattened_line_32-processed-gene-0.117-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.117&CDS=1-1431
OG0002702	YML097C	genemark-flattened_line_32-processed-gene-0.163-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.163&CDS=1-807
OG0002703	YML098W	genemark-flattened_line_36-processed-gene-0.245-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.245&CDS=1-603
OG0002704	YML099C	genemark-flattened_line_36-processed-gene-0.244-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.244&CDS=1-2385
OG0002705	YML102W	genemark-flattened_line_28-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.106&CDS=1-1587
OG0002706	YML104C	augustus_masked-flattened_line_0-processed-gene-12.262-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-12.262&CDS=1-3999
OG0002707	YML105C	genemark-flattened_line_0-processed-gene-12.166-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-12.166&CDS=1-768
OG0002708	YML106W	genemark-flattened_line_0-processed-gene-12.121-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-12.121&CDS=1-660
OG0002709	YML110C	genemark-flattened_line_8-processed-gene-2.33-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.33&CDS=1-882
OG0002710	YML112W	genemark-flattened_line_66-processed-gene-0.54-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.54&CDS=1-774
OG0002711	YML113W	snap_masked-flattened_line_8-processed-gene-3.152-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-3.152&CDS=1-600
OG0002712	YML114C	augustus_masked-flattened_line_8-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.121&CDS=1-1485
OG0002713	YML115C	maker-flattened_line_8-snap-gene-4.111-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-4.111&CDS=1-1605
OG0002714	YML121W	genemark-flattened_line_10-processed-gene-4.153-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-4.153&CDS=1-912
OG0002715	YML123C	genemark-flattened_line_14-processed-gene-3.117-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.117&CDS=1-1704
OG0002716	YML125C	genemark-flattened_line_4-processed-gene-3.160-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.160&CDS=1-912
OG0002717	YML126C	genemark-flattened_line_32-processed-gene-0.122-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.122&CDS=1-1341
OG0002718	YML127W	genemark-flattened_line_32-processed-gene-0.121-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.121&CDS=1-1518
OG0002719	YML128C	genemark-flattened_line_32-processed-gene-0.168-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.168&CDS=1-1638
OG0002720	YML129C	genemark-flattened_line_32-processed-gene-0.167-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.167&CDS=1-174
OG0002721	YML130C	genemark-flattened_line_36-processed-gene-0.289-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.289&CDS=1-1422
OG0002722	YML131W	genemark-flattened_line_6-processed-gene-2.110-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.110&CDS=1-1116
OG0002723	YMR001C	genemark-flattened_line_46-processed-gene-0.116-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.116&CDS=1-2079
OG0002724	YMR002W	genemark-flattened_line_46-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.88&CDS=1-471
OG0002725	YMR003W	genemark-flattened_line_46-processed-gene-0.89-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.89&CDS=1-879
OG0002726	YMR004W	augustus_masked-flattened_line_46-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.6&CDS=1-1464
OG0002727	YMR005W	genemark-flattened_line_46-processed-gene-0.91-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.91&CDS=1-1152
OG0002728	YMR009W	genemark-flattened_line_2-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.70&CDS=1-525
OG0002729	YMR010W	genemark-flattened_line_2-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.96&CDS=1-912
OG0002730	YMR012W	genemark-flattened_line_4-processed-gene-2.140-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.140&CDS=1-3702
OG0002731	YMR013C	genemark-flattened_line_4-processed-gene-4.76-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.76&CDS=1-1611
OG0002732	YMR015C	genemark-flattened_line_40-processed-gene-0.115-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.115&CDS=1-1614
OG0002733	YMR022W	genemark-flattened_line_4-processed-gene-2.139-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.139&CDS=1-504
OG0002734	YMR023C	genemark-flattened_line_12-processed-gene-2.99-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.99&CDS=1-1488
OG0002735	YMR024W	genemark-flattened_line_6-processed-gene-3.140-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.140&CDS=1-993
OG0002736	YMR026C	genemark-flattened_line_40-processed-gene-0.112-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.112&CDS=1-1020
OG0002737	YMR027W	genemark-flattened_line_34-processed-gene-0.236-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.236&CDS=1-1347
OG0002738	YMR028W	genemark-flattened_line_34-processed-gene-0.288-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.288&CDS=1-1020
OG0002739	YMR029C	snap_masked-flattened_line_4-processed-gene-2.34-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.34&CDS=1-1545
OG0002740	YMR032W	snap_masked-flattened_line_71-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_71-processed-gene-0.5&CDS=1-1884
OG0002741	YMR033W	genemark-flattened_line_71-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_71-processed-gene-0.40&CDS=1-1293
OG0002742	YMR034C	genemark-flattened_line_71-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_71-processed-gene-0.39&CDS=1-1332
OG0002743	YMR035W	genemark-flattened_line_71-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_71-processed-gene-0.50&CDS=1-465
OG0002744	YMR036C	genemark-flattened_line_4-processed-gene-3.115-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.115&CDS=1-1800
OG0002745	YMR038C	genemark-flattened_line_0-processed-gene-1.111-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.111&CDS=1-669
OG0002746	YMR039C	genemark-flattened_line_0-processed-gene-1.113-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.113&CDS=1-276
OG0002747	YMR041C	genemark-flattened_line_0-processed-gene-1.94-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.94&CDS=1-990
OG0002748	YMR043W	genemark-flattened_line_4-processed-gene-0.127-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.127&CDS=1-642
OG0002749	YMR044W	genemark-flattened_line_4-processed-gene-0.126-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.126&CDS=1-1302
OG0002750	YMR048W	snap_masked-flattened_line_8-processed-gene-1.137-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.137&CDS=1-777
OG0002751	YMR049C	genemark-flattened_line_10-processed-gene-2.148-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.148&CDS=1-2415
OG0002752	YMR059W	genemark-flattened_line_10-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.10&CDS=1-429
OG0002753	YMR060C	genemark-flattened_line_10-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.33&CDS=1-873
OG0002754	YMR061W	genemark-flattened_line_10-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.11&CDS=1-2091
OG0002755	YMR062C	maker-flattened_line_28-augustus-gene-0.206-mRNA-1_1&gene=maker-flattened_line_28-augustus-gene-0.206&CDS=1-6294
OG0002756	YMR063W	genemark-flattened_line_20-processed-gene-3.263-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-3.263&CDS=1-2037
OG0002757	YMR065W	genemark-flattened_line_2-processed-gene-6.1-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.1&CDS=1-1362
OG0002758	YMR066W	snap_masked-flattened_line_20-processed-gene-3.121-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-3.121&CDS=1-2484
OG0002759	YMR067C	genemark-flattened_line_2-processed-gene-8.203-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.203&CDS=1-1458
