	Botrytis_cinerea	Saccharomyces_cerevisiae
OG0001625	XP_001556820.2	YPL072W
OG0001626	XP_001556825.1	YHR065C
OG0001627	XP_001556831.2	YNL091W
OG0001628	XP_001556841.1	YER007C-A
OG0001629	XP_001556886.1	YDR502C
OG0001630	XP_001556887.1	YLR243W
OG0001631	XP_001556947.1	YBR042C
OG0001632	XP_001556948.1	YBR231C
OG0001633	XP_001556976.1	YNL039W
OG0001634	XP_001556977.1	YDL074C
OG0001635	XP_001556998.1	YJR050W
OG0001636	XP_001557004.1	YGR194C
OG0001637	XP_001557011.1	YGR271C-A
OG0001638	XP_001557017.2	YOR129C
OG0001639	XP_001557019.1	YPR187W
OG0001640	XP_001557023.2	YHR113W
OG0001641	XP_001557041.1	YPL083C
OG0001642	XP_001557047.1	YPR108W
OG0001643	XP_001557048.1	YBR236C
OG0001644	XP_001557054.1	YGR211W
OG0001645	XP_001557091.1	YGR145W
OG0001646	XP_001557140.1	YJL034W
OG0001647	XP_001557145.1	YPL178W
OG0001648	XP_001557147.1	YBR254C
OG0001649	XP_001557160.1	YNL252C
OG0001650	XP_001557192.1	YLR306W
OG0001651	XP_001557193.1	YLR355C
OG0001652	XP_001557196.1	YBR269C
OG0001653	XP_001557197.2	YGL026C
OG0001654	XP_001557201.2	YBR084W
OG0001655	XP_001557202.1	YMR146C
OG0001656	XP_001557203.2	YNL110C
OG0001657	XP_001557210.2	YGL148W
OG0001658	XP_001557236.1	YPR165W
OG0001659	XP_001557237.1	YPL173W
OG0001660	XP_001557272.2	YNR013C
OG0001661	XP_001557305.1	YCL009C
OG0001662	XP_001557317.1	YMR161W
OG0001663	XP_001557330.2	YOR216C
OG0001664	XP_001557348.1	YDL007W
OG0001665	XP_001557361.2	YNL237W
OG0001666	XP_001557367.1	YLR361C
OG0001667	XP_001557388.1	YNR052C
OG0001668	XP_001557391.1	YMR027W
OG0001669	XP_001557408.1	YDL014W
OG0001670	XP_001557447.1	YMR297W
OG0001671	XP_001557448.1	YLR022C
OG0001672	XP_001557459.1	YDR297W
OG0001673	XP_001557469.2	YKR079C
OG0001674	XP_001557471.1	YOR271C
OG0001675	XP_001557473.2	YNL094W
OG0001676	XP_001557482.1	YLL008W
OG0001677	XP_001557492.1	YKL047W
OG0001678	XP_001557493.1	YOR254C
OG0001679	XP_001557495.1	YJL109C
OG0001680	XP_001557517.1	YLR316C
OG0001681	XP_001557526.1	YHR013C
OG0001682	XP_001557533.1	YLR025W
OG0001683	XP_001557542.1	YMR039C
OG0001684	XP_001557544.1	YJL030W
OG0001685	XP_001557549.1	YGR264C
OG0001686	XP_001557554.1	YJL088W
OG0001687	XP_001557558.1	YPL265W
OG0001688	XP_001557565.1	YML032C
OG0001689	XP_001557574.1	YDL065C
OG0001690	XP_001557575.1	YDL064W
OG0001691	XP_001557579.1	YBL091C
OG0001692	XP_001557588.1	YJL059W
OG0001693	XP_001557622.1	YBR127C
OG0001694	XP_001557645.2	YDL015C
OG0001695	XP_001557671.1	YDR267C
OG0001696	XP_001557682.1	YNL024C-A
OG0001697	XP_001557683.1	YML098W
OG0001698	XP_001557689.2	YOR304W
OG0001699	XP_001557710.1	YHR073W
OG0001700	XP_001557711.1	YGR116W
OG0001701	XP_001557712.1	YDL159W
OG0001702	XP_001557717.1	YGL047W
OG0001703	XP_001557718.1	YDR175C
OG0001704	XP_001557719.2	YMR110C
OG0001705	XP_001557724.1	YHR069C
OG0001706	XP_001557732.1	YJL063C
OG0001707	XP_001557733.1	YIL091C
OG0001708	XP_001557735.1	YDL189W
OG0001709	XP_001557743.2	YIL140W
OG0001710	XP_001557747.2	YDR454C
OG0001711	XP_001557748.1	YCR002C
OG0001712	XP_001557749.1	YCR003W
OG0001713	XP_001557800.1	YOR090C
OG0001714	XP_001557802.1	YNL259C
OG0001715	XP_001557815.1	YIL155C
OG0001716	XP_001557848.1	YNL135C
OG0001717	XP_001557854.1	YPL116W
OG0001718	XP_001557860.1	YPL118W
OG0001719	XP_001557886.1	YLR231C
OG0001720	XP_001557922.1	YOR087W
OG0001721	XP_001557930.2	YKR023W
OG0001722	XP_001557950.2	YDR061W
OG0001723	XP_001557952.1	YBR173C
OG0001724	XP_001557971.1	YLL057C
OG0001725	XP_001557972.1	YHR170W
OG0001726	XP_001557983.1	YNR036C
OG0001727	XP_001557986.2	YDR393W
OG0001728	XP_001557994.1	YKL195W
OG0001729	XP_001557995.1	YOR143C
OG0001730	XP_001557996.1	YMR217W
OG0001731	XP_001558005.1	YLR078C
OG0001732	XP_001558023.1	YJR063W
OG0001733	XP_001558034.2	YBR257W
OG0001734	XP_001558044.2	YPR003C
OG0001735	XP_001558062.2	YPL003W
OG0001736	XP_001558063.1	YOR095C
OG0001737	XP_001558072.1	YMR266W
OG0001738	XP_001558109.1	YLR417W
OG0001739	XP_001558115.1	YOR074C
OG0001740	XP_001558134.1	YER005W
OG0001741	XP_001558137.1	YPL101W
OG0001742	XP_001558138.1	YOR224C
OG0001743	XP_001558140.1	YOL032W
OG0001744	XP_001558150.2	YDR365C
OG0001745	XP_001558170.1	YKR024C
OG0001746	XP_001558171.2	YIL145C
OG0001747	XP_001558183.2	YFR025C
OG0001748	XP_001558190.1	YHR027C
OG0001749	XP_001558191.1	YNL207W
OG0001750	XP_001558194.1	YHR042W
OG0001751	XP_001558214.1	YIL143C
OG0001752	XP_001558216.1	YOL038W
OG0001753	XP_001558217.1	YDL178W
OG0001754	XP_001558236.2	YDR325W
OG0001755	XP_001558247.1	YEL056W
OG0001756	XP_001558276.1	YJL167W
OG0001757	XP_001558290.1	YKR050W
OG0001758	XP_001558322.1	YDL046W
OG0001759	XP_001558323.1	YGR020C
OG0001760	XP_001558329.1	YPR004C
OG0001761	XP_001558330.1	YFR037C
OG0001762	XP_001558349.1	YFL025C
OG0001763	XP_001558350.2	YKL165C
OG0001764	XP_001558358.1	YGR009C
OG0001765	XP_001558387.1	YDL040C
OG0001766	XP_001558392.1	YER043C
OG0001767	XP_001558396.1	YNL161W
OG0001768	XP_001558397.1	YDL043C
OG0001769	XP_001558426.1	YML128C
OG0001770	XP_001558431.1	YDR019C
OG0001771	XP_001558432.1	YPR036W
OG0001772	XP_001558437.1	YEL050C
OG0001773	XP_001558441.1	YOR039W
OG0001774	XP_001558445.1	YOL124C
OG0001775	XP_001558447.1	YCR051W
OG0001776	XP_001558448.2	YJL087C
OG0001777	XP_001558454.1	YMR202W
OG0001778	XP_001558455.1	YNL286W
OG0001779	XP_001558460.1	YDR354W
OG0001780	XP_001558461.2	YNL274C
OG0001781	XP_001558462.1	YDL137W
OG0001782	XP_001558480.2	YJR072C
OG0001783	XP_001558489.2	YDR258C
OG0001784	XP_001558509.1	YOR123C
OG0001785	XP_001558512.1	YLR393W
OG0001786	XP_001558515.2	YDR248C
OG0001787	XP_001558523.2	YLR337C
OG0001788	XP_001558526.1	YMR049C
OG0001789	XP_001558531.1	YGL186C
OG0001790	XP_001558536.2	YGL006W
OG0001791	XP_001558550.1	YER009W
OG0001792	XP_001558554.1	YMR032W
OG0001793	XP_001558561.1	YLL018C-A
OG0001794	XP_001558571.1	YHL023C
OG0001795	XP_001558576.2	YDR191W
OG0001796	XP_001558590.2	YGL140C
OG0001797	XP_001558592.2	YNL265C
OG0001798	XP_001558601.1	YJR058C
OG0001799	XP_001558615.1	YER169W
OG0001800	XP_001558642.2	YML121W
OG0001801	XP_001558649.1	YPL023C
OG0001802	XP_001558662.1	YDR139C
OG0001803	XP_001558665.1	YOR265W
OG0001804	XP_001558673.1	YHR183W
OG0001805	XP_001558686.1	YDL003W
OG0001806	XP_001558690.1	YJL069C
OG0001807	XP_001558696.1	YMR036C
OG0001808	XP_001558705.2	YDR489W
OG0001809	XP_001558710.1	YER053C
OG0001810	XP_001558716.1	YMR201C
OG0001811	XP_001558757.1	YHR068W
OG0001812	XP_001558765.1	YPR129W
OG0001813	XP_001558766.2	YPL222W
OG0001814	XP_001558778.1	YPL001W
OG0001815	XP_001558781.1	YER178W
OG0001816	XP_001558791.1	YGL184C
OG0001817	XP_001558792.2	YGR028W
OG0001818	XP_001558795.2	YFR002W
OG0001819	XP_001558799.2	YCR079W
OG0001820	XP_001558807.1	YMR058W
OG0001821	XP_001558810.1	YMR241W
OG0001822	XP_001558825.1	YPR135W
OG0001823	XP_001558829.1	YDR226W
OG0001824	XP_001558830.1	YOR261C
OG0001825	XP_001558833.1	YBL078C
OG0001826	XP_001558836.1	YDL198C
OG0001827	XP_001558838.1	YPR191W
OG0001828	XP_001558859.1	YDR004W
OG0001829	XP_001558863.1	YDL117W
OG0001830	XP_001558864.1	YNL005C
OG0001831	XP_001558865.1	YLR104W
OG0001832	XP_001558870.1	YPL174C
OG0001833	XP_001558873.1	YML014W
OG0001834	XP_001558877.1	YDR322C-A
OG0001835	XP_001558878.1	YGL022W
OG0001836	XP_001558891.1	YER049W
OG0001837	XP_001558908.1	YLR370C
OG0001838	XP_001558909.2	YNL062C
OG0001839	XP_001558921.1	YKL145W
OG0001840	XP_001558922.1	YDL143W
OG0001841	XP_001558936.1	YOR130C
OG0001842	XP_001558945.1	YMR010W
OG0001843	XP_001558988.1	YLR066W
OG0001844	XP_001559001.1	YMR239C
OG0001845	XP_001559002.1	YGR215W
OG0001846	XP_001559004.1	YER173W
OG0001847	XP_001559012.1	YDR217C
OG0001848	XP_001559021.1	YMR055C
OG0001849	XP_001559027.1	YDR469W
OG0001850	XP_001559028.1	YDR064W
OG0001851	XP_001559036.1	YGL085W
OG0001852	XP_001559069.1	YPR110C
OG0001853	XP_001559103.2	YLR014C
OG0001854	XP_001559112.1	YGL058W
OG0001855	XP_001559179.1	YBR220C
OG0001856	XP_001559189.1	YDR287W
OG0001857	XP_001559229.1	YLR026C
OG0001858	XP_001559262.1	YNL245C
OG0001859	XP_001559267.1	YMR089C
OG0001860	XP_001559288.1	YML051W
OG0001861	XP_001559304.1	YDR256C
OG0001862	XP_001559307.1	YBR164C
OG0001863	XP_001559308.1	YJL189W
OG0001864	XP_001559309.1	YDR328C
OG0001865	XP_001559328.1	YLR138W
OG0001866	XP_001559329.1	YBR179C
OG0001867	XP_001559330.1	YKL002W
OG0001868	XP_001559335.2	YHR024C
OG0001869	XP_001559368.2	YHR009C
OG0001870	XP_001559406.1	YBR053C
OG0001871	XP_001559422.1	YER002W
OG0001872	XP_001559432.1	YJR077C
OG0001873	XP_001559435.1	YBR085W
OG0001874	XP_001559454.1	YNL141W
OG0001875	XP_001559487.1	YJR123W
OG0001876	XP_001559491.1	YDR155C
OG0001877	XP_001559522.1	YGL171W
OG0001878	XP_001559530.1	YKL211C
OG0001879	XP_001559533.1	YEL020W-A
OG0001880	XP_001559568.1	YML021C
OG0001881	XP_001559569.1	YGR257C
OG0001882	XP_001559582.1	YJR125C
OG0001883	XP_001559585.1	YNR003C
OG0001884	XP_001559609.1	YOR301W
OG0001885	XP_001559612.2	YBR274W
OG0001886	XP_001559617.1	YLR325C
OG0001887	XP_001559621.1	YGR171C
OG0001888	XP_001559650.1	YLR447C
OG0001889	XP_001559651.1	YOR310C
OG0001890	XP_001559652.2	YNR032C-A
OG0001891	XP_001559658.1	YFL002C
OG0001892	XP_001559672.1	YFL001W
OG0001893	XP_001559677.1	YDL114W
OG0001894	XP_001559680.2	YJL011C
OG0001895	XP_001559688.1	YPL120W
OG0001896	XP_001559693.1	YGL043W
OG0001897	XP_001559701.1	YOR061W
OG0001898	XP_001559705.2	YDR301W
OG0001899	XP_001559721.1	YLR191W
OG0001900	XP_001559723.1	YCL030C
OG0001901	XP_001559724.1	YMR236W
OG0001902	XP_001559750.2	YPL063W
OG0001903	XP_001559754.1	YHR008C
OG0001904	XP_001559775.1	YLR163C
OG0001905	XP_001559795.1	YIR034C
OG0001906	XP_001559801.1	YDR486C
OG0001907	XP_001559810.1	YOR206W
OG0001908	XP_001559811.1	YPL065W
OG0001909	XP_001559812.1	YOL009C
OG0001910	XP_001559822.1	YJL081C
OG0001911	XP_001559844.1	YKL146W
OG0001912	XP_001559852.1	YNL097C
OG0001913	XP_001559853.1	YBR002C
OG0001914	XP_001559859.1	YJR117W
OG0001915	XP_001559910.1	YJL204C
OG0001916	XP_001559911.1	YDL108W
OG0001917	XP_001559931.2	YOL138C
OG0001918	XP_001559940.1	YNL238W
OG0001919	XP_001559941.1	YJL036W
OG0001920	XP_001559942.1	YPR125W
OG0001921	XP_001559945.1	YER170W
OG0001922	XP_001559960.1	YGL037C
OG0001923	XP_001559961.2	YDR162C
OG0001924	XP_001559963.2	YLR313C
OG0001925	XP_001559964.1	YOR027W
OG0001926	XP_001559994.1	YLL011W
OG0001927	XP_001559995.1	YDL097C
OG0001928	XP_001560013.1	YPL199C
OG0001929	XP_001560033.1	YDR353W
OG0001930	XP_001560037.1	YPR107C
OG0001931	XP_001560049.1	YNL330C
OG0001932	XP_001560063.1	YER042W
OG0001933	XP_001560073.1	YNR018W
OG0001934	XP_001560084.2	YPL126W
OG0001935	XP_001560085.1	YOR210W
OG0001936	XP_001560089.1	YBR271W
OG0001937	XP_001560094.1	YLR401C
OG0001938	XP_001560137.1	YOL142W
OG0001939	XP_001560191.1	YGR086C
OG0001940	XP_001560203.1	YKL155C
OG0001941	XP_001560224.2	YOR196C
OG0001942	XP_001560226.1	YKR069W
OG0001943	XP_001560254.1	YPR166C
OG0001944	XP_001560266.1	YPL225W
OG0001945	XP_001560276.1	YBR041W
OG0001946	XP_001560277.1	YDR434W
OG0001947	XP_001560295.2	YKL191W
OG0001948	XP_001560329.2	YBR006W
OG0001949	XP_001560335.1	YPL097W
OG0001950	XP_001560357.1	YDL226C
OG0001951	XP_001560367.1	YHL028W
OG0001952	XP_001560428.1	YIL094C
OG0001953	XP_001560435.1	YNR053C
OG0001954	XP_001560440.1	YIR004W
OG0001955	XP_001560441.1	YHR190W
OG0001956	XP_001560460.1	YLR069C
OG0001957	XP_001560495.2	YLL018C
OG0001958	XP_001560525.1	YMR097C
OG0001959	XP_001560530.1	YJR104C
OG0001960	XP_001560568.1	YDR512C
OG0001961	XP_001560597.1	YKL213C
OG0001962	XP_001560604.1	YIL160C
OG0001963	XP_001560623.2	YOL122C
OG0001964	XP_001560625.1	YLR277C
OG0001965	XP_001560637.2	YOR017W
OG0001966	XP_001560640.1	YFR001W
OG0001967	XP_001560641.1	YOR202W
OG0001968	XP_001560643.1	YOL094C
OG0001969	XP_001560650.1	YLL006W
OG0001970	XP_001560651.1	YGL225W
OG0001971	XP_001560652.1	YDR183W
OG0001972	XP_001560657.1	YOR175C
OG0001973	XP_001560658.1	YGL095C
OG0001974	XP_001560687.1	YOL086W-A
OG0001975	XP_001560698.1	YML105C
OG0001976	XP_001560702.1	YOR260W
OG0001977	XP_001560727.1	YBL036C
OG0001978	XP_001560753.2	YKR092C
OG0001979	XP_001560760.1	YIL098C
OG0001980	XP_001560763.2	YOR257W
OG0001981	XP_001560777.1	YBL011W
OG0001982	XP_001560782.1	YNL289W
OG0001983	XP_001560795.1	YML093W
OG0001984	XP_001560808.2	YOR154W
OG0001985	XP_001560814.1	YGL234W
OG0001986	XP_001560815.1	YHR025W
OG0001987	XP_001560819.1	YMR009W
OG0001988	XP_001560841.1	YNL131W
OG0001989	XP_001560880.1	YNL248C
OG0001990	XP_001560888.1	YCL001W
OG0001991	XP_001560890.1	YBR279W
OG0001992	XP_001560908.1	YOR287C
OG0001993	XP_001560911.2	YBR146W
OG0001994	XP_001560925.1	YPR118W
OG0001995	XP_001560943.1	YMR041C
OG0001996	XP_001560946.1	YMR140W
OG0001997	XP_001560951.1	YGL087C
OG0001998	XP_001560976.1	YLR251W
OG0001999	XP_001560977.1	YOL139C
OG0002000	XP_001560979.2	YAL044W-A
OG0002001	XP_001560984.1	YPL104W
OG0002002	XP_001560987.1	YDR460W
OG0002003	XP_001560989.1	YMR149W
OG0002004	XP_001560997.1	YAL058W
OG0002005	XP_001560998.1	YJR024C
OG0002006	XP_001561003.1	YOL143C
OG0002007	XP_001561038.1	YFR009W
OG0002008	XP_001561040.1	YJR133W
OG0002009	XP_001561052.2	YOR043W
OG0002010	XP_001561058.1	YNL202W
OG0002011	XP_001561074.1	YGR172C
OG0002012	XP_001561083.1	YPL107W
OG0002013	XP_001561105.1	YKR088C
OG0002014	XP_001561110.1	YHR112C
OG0002015	XP_001561115.1	YFR041C
OG0002016	XP_001561121.1	YNL037C
OG0002017	XP_001561122.1	YCR047C
OG0002018	XP_001561123.1	YHR181W
OG0002019	XP_001561127.1	YGR280C
OG0002020	XP_001561150.1	YGL174W
OG0002021	XP_001561177.1	YLR411W
OG0002022	XP_001561196.1	YGR207C
OG0002023	XP_001561199.1	YOR303W
OG0002024	XP_001561209.2	YPL172C
OG0002025	XP_001561243.1	YER055C
OG0002026	XP_001561244.1	YNL023C
OG0002027	XP_001561258.1	YPR201W
OG0002028	XP_001561259.1	YFR050C
OG0002029	XP_001561261.1	YDL101C
OG0002030	XP_001561262.1	YKL104C
OG0002031	XP_001561263.1	YOR259C
OG0002032	XP_001561266.1	YLR192C
OG0002033	XP_001561280.1	YBR088C
OG0002034	XP_001561287.1	YOR296W
OG0002035	XP_001561306.1	YBR234C
OG0002036	XP_001561307.2	YIR009W
OG0002037	XP_001561309.1	YJR131W
OG0002038	XP_001561312.1	YJL194W
OG0002039	XP_001561314.1	YFL045C
OG0002040	XP_001561332.1	YJR107W
OG0002041	XP_001561371.1	YDL141W
OG0002042	XP_001561373.1	YJR144W
OG0002043	XP_001561379.1	YPL236C
OG0002044	XP_001561389.1	YNL168C
OG0002045	XP_001561393.1	YBR171W
OG0002046	XP_001561397.2	YLR271W
OG0002047	XP_001561401.1	YOL010W
OG0002048	XP_001561403.1	YER172C
OG0002049	XP_001561406.1	YNL115C
OG0002050	XP_001561407.1	YHR075C
OG0002051	XP_001561419.1	YKL125W
OG0002052	XP_001561421.1	YEL003W
OG0002053	XP_001561423.1	YJR085C
OG0002054	XP_001561438.2	YDR243C
OG0002055	XP_001561439.2	YGR076C
OG0002056	XP_024545911.1	YJR008W
OG0002057	XP_024545913.1	YER086W
OG0002058	XP_024545914.1	YOR118W
OG0002059	XP_024545921.1	YNL201C
OG0002060	XP_024545922.1	YPL227C
OG0002061	XP_024545923.1	YOR122C
OG0002062	XP_024545925.1	YML054C
OG0002063	XP_024545926.1	YBR086C
OG0002064	XP_024545928.1	YPL231W
OG0002065	XP_024545931.1	YMR292W
OG0002066	XP_024545932.1	YDR320C-A
OG0002067	XP_024545933.1	YNL059C
OG0002068	XP_024545935.1	YPR155C
OG0002069	XP_024545943.1	YML059C
OG0002070	XP_024545951.1	YHR074W
OG0002071	XP_024545953.1	YMR035W
OG0002072	XP_024545954.1	YBR187W
OG0002073	XP_024545959.1	YOR251C
OG0002074	XP_024545960.1	YDL008W
OG0002075	XP_024545979.1	YMR060C
OG0002076	XP_024546008.1	YBL098W
OG0002077	XP_024546027.1	YKR016W
OG0002078	XP_024546037.1	YDR198C
OG0002079	XP_024546045.1	YGR112W
OG0002080	XP_024546050.1	YBR260C
OG0002081	XP_024546051.1	YCR081W
OG0002082	XP_024546054.1	YBR185C
OG0002083	XP_024546058.1	YOR249C
OG0002084	XP_024546061.1	YNL243W
OG0002085	XP_024546065.1	YBR192W
OG0002086	XP_024546066.1	YOR357C
OG0002087	XP_024546068.1	YLR246W
OG0002088	XP_024546074.1	YAL011W
OG0002089	XP_024546094.1	YDR266C
OG0002090	XP_024546095.1	YIL142W
OG0002091	XP_024546102.1	YDR414C
OG0002092	XP_024546103.1	YDR265W
OG0002093	XP_024546104.1	YOR245C
OG0002094	XP_024546107.1	YPL155C
OG0002095	XP_024546117.1	YDR084C
OG0002096	XP_024546119.1	YMR225C
OG0002097	XP_024546120.1	YBR011C
OG0002098	XP_024546124.1	YPL109C
OG0002099	XP_024546154.1	YGR094W
OG0002100	XP_024546171.1	YKL035W
OG0002101	XP_024546182.1	YBL061C
OG0002102	XP_024546202.1	YOL054W
OG0002103	XP_024546205.1	YIL166C
OG0002104	XP_024546225.1	YMR063W
OG0002105	XP_024546258.1	YLR459W
OG0002106	XP_024546263.1	YNL026W
OG0002107	XP_024546274.1	YFL003C
OG0002108	XP_024546286.1	YGL183C
OG0002109	XP_024546287.1	YGL045W
OG0002110	XP_024546290.1	YLR143W
OG0002111	XP_024546291.1	YER130C
OG0002112	XP_024546294.1	YPL157W
OG0002113	XP_024546295.1	YDR517W
OG0002114	XP_024546296.1	YOR103C
OG0002115	XP_024546297.1	YBL059C-A
OG0002116	XP_024546310.1	YJR068W
OG0002117	XP_024546314.1	YFL022C
OG0002118	XP_024546323.1	YJR025C
OG0002119	XP_024546326.1	YJR109C
OG0002120	XP_024546333.1	YLR218C
OG0002121	XP_024546359.1	YDR379C-A
OG0002122	XP_024546361.1	YPL115C
OG0002123	XP_024546362.1	YMR190C
OG0002124	XP_024546366.1	YKR039W
OG0002125	XP_024546371.1	YIL007C
OG0002126	XP_024546381.1	YEL029C
OG0002127	XP_024546382.1	YBR252W
OG0002128	XP_024546386.1	YDR524C
OG0002129	XP_024546391.1	YIR002C
OG0002130	XP_024546396.1	YJR124C
OG0002131	XP_024546397.1	YIR023W
OG0002132	XP_024546404.1	YCR087C-A
OG0002133	XP_024546408.1	YLR318W
OG0002134	XP_024546438.1	YPL098C
OG0002135	XP_024546440.1	YKL209C
OG0002136	XP_024546441.1	YGR187C
OG0002137	XP_024546464.1	YLR151C
OG0002138	XP_024546497.1	YJL094C
OG0002139	XP_024546500.1	YFL037W
OG0002140	XP_024546517.1	YNL027W
OG0002141	XP_024546521.1	YDR408C
OG0002142	XP_024546526.1	YOR209C
OG0002143	XP_024546537.1	YJR013W
OG0002144	XP_024546541.1	YBR296C
OG0002145	XP_024546542.1	YMR001C
OG0002146	XP_024546548.1	YNL297C
OG0002147	XP_024546549.1	YBR249C
OG0002148	XP_024546554.1	YGR127W
OG0002149	XP_024546564.1	YPL122C
OG0002150	XP_024546573.1	YLR241W
OG0002151	XP_024546582.1	YPR037C
OG0002152	XP_024546589.1	YDR090C
OG0002153	XP_024546590.1	YER094C
OG0002154	XP_024546591.1	YKR066C
OG0002155	XP_024546602.1	YDR378C
OG0002156	XP_024546604.1	YLR305C
OG0002157	XP_024546616.1	YER029C
OG0002158	XP_024546619.1	YNL241C
OG0002159	XP_024546620.1	YGR105W
OG0002160	XP_024546621.1	YAL019W
OG0002161	XP_024546631.1	YFL034W
OG0002162	XP_024546636.1	YDR330W
OG0002163	XP_024546637.1	YDR523C
OG0002164	XP_024546643.1	YGL206C
OG0002165	XP_024546644.1	YBR218C
OG0002166	XP_024546649.1	YML010W
OG0002167	XP_024546689.1	YHR111W
OG0002168	XP_024546695.1	YLR208W
OG0002169	XP_024546698.1	YBL097W
OG0002170	XP_024546708.1	YEL009C
OG0002171	XP_024546718.1	YIL075C
OG0002172	XP_024546753.1	YKL203C
OG0002173	XP_024546791.1	YKL103C
OG0002174	XP_024546794.1	YBR228W
OG0002175	XP_024546832.1	YLR105C
OG0002176	XP_024546835.1	YHR072W
OG0002177	XP_024546841.1	YIL047C
OG0002178	XP_024546858.1	YBL047C
OG0002179	XP_024546865.1	YNL246W
OG0002180	XP_024546868.1	YKL067W
OG0002181	XP_024546869.1	YBR229C
OG0002182	XP_024546891.1	YBL040C
OG0002183	XP_024546894.1	YDL167C
OG0002184	XP_024546908.1	YLR433C
OG0002185	XP_024546926.1	YGR061C
OG0002186	XP_024546931.1	YPR097W
OG0002187	XP_024546940.1	YJR143C
OG0002188	XP_024546943.1	YJL121C
OG0002189	XP_024546951.1	YDR488C
OG0002190	XP_024546956.1	YDR228C
OG0002191	XP_024546957.1	YNL015W
OG0002192	XP_024546959.1	YEL053C
OG0002193	XP_024546960.1	YPR190C
OG0002194	XP_024546963.1	YLL001W
OG0002195	XP_024546969.1	YNR001C
OG0002196	XP_024546970.1	YNL251C
OG0002197	XP_024546976.1	YKL089W
OG0002198	XP_024546977.1	YNL072W
OG0002199	XP_024546982.1	YNL321W
OG0002200	XP_024546993.1	YOR306C
OG0002201	XP_024547001.1	YOL052C
OG0002202	XP_024547007.1	YHR099W
OG0002203	XP_024547012.1	YGL237C
OG0002204	XP_024547013.1	YPL092W
OG0002205	XP_024547015.1	YLR166C
OG0002206	XP_024547016.1	YDL193W
OG0002207	XP_024547019.1	YHR070W
OG0002208	XP_024547021.1	YBL026W
OG0002209	XP_024547025.1	YDR382W
OG0002210	XP_024547028.1	YAL013W
OG0002211	XP_024547032.1	YKL151C
OG0002212	XP_024547044.1	YEL046C
OG0002213	XP_024547048.1	YDR021W
OG0002214	XP_024547054.1	YER154W
OG0002215	XP_024547056.1	YGL018C
OG0002216	XP_024547061.1	YPR178W
OG0002217	XP_024547064.1	YER126C
OG0002218	XP_024547068.1	YCR034W
OG0002219	XP_024547083.1	YNL219C
OG0002220	XP_024547096.1	YKL052C
OG0002221	XP_024547104.1	YHR029C
OG0002222	XP_024547109.1	YPL127C
OG0002223	XP_024547110.1	YDR208W
OG0002224	XP_024547112.1	YKL113C
OG0002225	XP_024547120.1	YJL004C
OG0002226	XP_024547126.1	YCR024C
OG0002227	XP_024547128.1	YHR098C
OG0002228	XP_024547129.1	YLR115W
OG0002229	XP_024547133.1	YLR272C
OG0002230	XP_024547134.1	YGR029W
OG0002231	XP_024547137.1	YPR051W
OG0002232	XP_024547165.1	YKL119C
OG0002233	XP_024547166.1	YFR027W
OG0002234	XP_024547169.1	YLR186W
OG0002235	XP_024547182.1	YDL125C
OG0002236	XP_024547183.1	YLR380W
OG0002237	XP_024547184.1	YGR113W
OG0002238	XP_024547185.1	YLR074C
OG0002239	XP_024547186.1	YLR304C
OG0002240	XP_024547187.1	YPL246C
OG0002241	XP_024547188.1	YLR088W
OG0002242	XP_024547190.1	YGR001C
OG0002243	XP_024547192.1	YMR223W
OG0002244	XP_024547193.1	YCR061W
OG0002245	XP_024547196.1	YLR167W
OG0002246	XP_024547203.1	YLR086W
OG0002247	XP_024547208.1	YOR124C
OG0002248	XP_024547214.1	YOR273C
OG0002249	XP_024547217.1	YLR386W
OG0002250	XP_024547218.1	YLR336C
OG0002251	XP_024547219.1	YDL092W
OG0002252	XP_024547222.1	YLR383W
OG0002253	XP_024547224.1	YGR090W
OG0002254	XP_024547227.1	YOR197W
OG0002255	XP_024547230.1	YGL232W
OG0002256	XP_024547231.1	YJL095W
OG0002257	XP_024547233.1	YER026C
OG0002258	XP_024547234.1	YIL108W
OG0002259	XP_024547243.1	YNL227C
OG0002260	XP_024547244.1	YNL224C
OG0002261	XP_024547245.1	YDR148C
OG0002262	XP_024547253.1	YMR296C
OG0002263	XP_024547254.1	YLR342W
OG0002264	XP_024547255.1	YFL044C
OG0002265	XP_024547258.1	YDR080W
OG0002266	XP_024547263.1	YJL111W
OG0002267	XP_024547300.1	YHL004W
OG0002268	XP_024547304.1	YNL172W
OG0002269	XP_024547305.1	YGR054W
OG0002270	XP_024547315.1	YKL053C-A
OG0002271	XP_024547316.1	YGR216C
OG0002272	XP_024547322.1	YDR372C
OG0002273	XP_024547323.1	YKL192C
OG0002274	XP_024547330.1	YCR017C
OG0002275	XP_024547332.1	YIR007W
OG0002276	XP_024547337.1	YKL135C
OG0002277	XP_024547339.1	YGL221C
OG0002278	XP_024547342.1	YPL016W
OG0002279	XP_024547344.1	YDR335W
OG0002280	XP_024547346.1	YBR126C
OG0002281	XP_024547351.1	YBR291C
OG0002282	XP_024547352.1	YLR200W
OG0002283	XP_024547353.1	YPR173C
OG0002284	XP_024547354.1	YLR197W
OG0002285	XP_024547360.1	YMR079W
OG0002286	XP_024547361.1	YGR078C
OG0002287	XP_024547363.1	YLL035W
OG0002288	XP_024547369.1	YDR394W
OG0002289	XP_024547371.1	YOL090W
