	Brettanomyces_anomalus	Saccharomyces_cerevisiae
OG0002674	augustus_masked-LCTY01000008.1-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.39&CDS=1-1056	YKR071C
OG0002675	augustus_masked-LCTY01000008.1-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.43&CDS=1-3042	YIL125W
OG0002676	augustus_masked-LCTY01000008.1-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.44&CDS=1-1407	YOL132W
OG0002677	augustus_masked-LCTY01000008.1-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.45&CDS=1-3255	YKL033W
OG0002678	augustus_masked-LCTY01000008.1-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.46&CDS=1-954	YJR008W
OG0002679	augustus_masked-LCTY01000008.1-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.47&CDS=1-909	YBR076W
OG0002680	augustus_masked-LCTY01000008.1-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.64&CDS=1-2682	YML061C
OG0002681	augustus_masked-LCTY01000008.1-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.49&CDS=1-10233	YDR457W
OG0002682	augustus_masked-LCTY01000008.1-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.50&CDS=1-1458	YDR473C
OG0002683	augustus_masked-LCTY01000008.1-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.65&CDS=1-312	YOR020C
OG0002684	augustus_masked-LCTY01000008.1-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.52&CDS=1-978	YHR012W
OG0002685	augustus_masked-LCTY01000008.1-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.66&CDS=1-642	YHR013C
OG0002686	augustus_masked-LCTY01000008.1-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.53&CDS=1-792	YDR472W
OG0002687	augustus_masked-LCTY01000008.1-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.55&CDS=1-990	YIR011C
OG0002688	augustus_masked-LCTY01000008.1-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.67&CDS=1-735	YMR188C
OG0002689	augustus_masked-LCTY01000008.1-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.56&CDS=1-1926	YPL093W
OG0002690	augustus_masked-LCTY01000008.1-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.69&CDS=1-1098	YPL050C
OG0002691	augustus_masked-LCTY01000008.1-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.70&CDS=1-2274	YKL078W
OG0002692	augustus_masked-LCTY01000008.1-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.60&CDS=1-840	YMR063W
OG0002693	augustus_masked-LCTY01000008.1-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.61&CDS=1-1431	YJL002C
OG0002694	augustus_masked-LCTY01000008.1-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.71&CDS=1-6960	YIL160C
OG0002695	augustus_masked-LCTY01000008.1-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-2.72&CDS=1-1422	YBR110W
OG0002696	genemark-LCTY01000008.1-processed-gene-3.86-mRNA-1_1&gene=genemark-LCTY01000008.1-processed-gene-3.86&CDS=1-4662	YDR127W
OG0002697	augustus_masked-LCTY01000008.1-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-3.1&CDS=1-666	YDL059C
OG0002698	augustus_masked-LCTY01000008.1-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-3.3&CDS=1-2157	YLR396C
OG0002699	snap_masked-LCTY01000008.1-processed-gene-3.37-mRNA-1_1&gene=snap_masked-LCTY01000008.1-processed-gene-3.37&CDS=1-180	YDL067C
OG0002700	augustus_masked-LCTY01000008.1-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-3.2&CDS=1-279	YLR395C
OG0002701	augustus_masked-LCTY01000008.1-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-3.5&CDS=1-693	YBL107C
OG0002702	snap_masked-LCTY01000008.1-processed-gene-3.41-mRNA-1_1&gene=snap_masked-LCTY01000008.1-processed-gene-3.41&CDS=1-1518	YOL137W
OG0002703	augustus_masked-LCTY01000008.1-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-3.7&CDS=1-4767	YJL074C
OG0002704	augustus_masked-LCTY01000008.1-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-3.20&CDS=1-1446	YDR030C
OG0002705	snap_masked-LCTY01000008.1-processed-gene-3.45-mRNA-1_1&gene=snap_masked-LCTY01000008.1-processed-gene-3.45&CDS=1-249	YCL001W
OG0002706	augustus_masked-LCTY01000008.1-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-3.23&CDS=1-624	YOR367W
OG0002707	genemark-LCTY01000008.1-processed-gene-3.114-mRNA-1_1&gene=genemark-LCTY01000008.1-processed-gene-3.114&CDS=1-1161	YML032C
OG0002708	maker-LCTY01000008.1-snap-gene-3.79-mRNA-1_1&gene=maker-LCTY01000008.1-snap-gene-3.79&CDS=1-1602	YML031W
OG0002709	augustus_masked-LCTY01000008.1-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-3.25&CDS=1-2016	YDR456W
OG0002710	augustus_masked-LCTY01000008.1-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-3.12&CDS=1-567	YDR454C
OG0002711	maker-LCTY01000008.1-snap-gene-3.84-mRNA-1_1&gene=maker-LCTY01000008.1-snap-gene-3.84&CDS=1-3063	YDR421W
OG0002712	maker-LCTY01000008.1-snap-gene-3.83-mRNA-1_1&gene=maker-LCTY01000008.1-snap-gene-3.83&CDS=1-2439	YGL066W
OG0002713	snap_masked-LCTY01000008.1-processed-gene-3.69-mRNA-1_1&gene=snap_masked-LCTY01000008.1-processed-gene-3.69&CDS=1-1776	YKL029C
OG0002714	augustus_masked-LCTY01000008.1-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-3.18&CDS=1-837	YOL102C
OG0002715	augustus_masked-LCTY01000008.1-processed-gene-4.180-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.180&CDS=1-3309	YCR092C
OG0002716	augustus_masked-LCTY01000008.1-processed-gene-4.178-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.178&CDS=1-519	YDR482C
OG0002717	maker-LCTY01000008.1-snap-gene-4.74-mRNA-1_1&gene=maker-LCTY01000008.1-snap-gene-4.74&CDS=1-1617	YEL013W
OG0002718	snap_masked-LCTY01000008.1-processed-gene-4.108-mRNA-1_1&gene=snap_masked-LCTY01000008.1-processed-gene-4.108&CDS=1-5793	YDR170C
OG0002719	augustus_masked-LCTY01000008.1-processed-gene-4.187-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.187&CDS=1-939	YLR150W
OG0002720	snap_masked-LCTY01000008.1-processed-gene-4.110-mRNA-1_1&gene=snap_masked-LCTY01000008.1-processed-gene-4.110&CDS=1-1575	YDR169C
OG0002721	augustus_masked-LCTY01000008.1-processed-gene-4.213-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.213&CDS=1-5649	YPL231W
OG0002722	augustus_masked-LCTY01000008.1-processed-gene-4.190-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.190&CDS=1-915	YPR079W
OG0002723	augustus_masked-LCTY01000008.1-processed-gene-4.216-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.216&CDS=1-2331	YIL107C
OG0002724	augustus_masked-LCTY01000008.1-processed-gene-4.218-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.218&CDS=1-771	YIL106W
OG0002725	augustus_masked-LCTY01000008.1-processed-gene-4.191-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.191&CDS=1-1020	YKL128C
OG0002726	augustus_masked-LCTY01000008.1-processed-gene-4.219-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.219&CDS=1-2022	YAL016W
OG0002727	maker-LCTY01000008.1-augustus-gene-4.87-mRNA-1_1&gene=maker-LCTY01000008.1-augustus-gene-4.87&CDS=1-756	YGR135W
OG0002728	augustus_masked-LCTY01000008.1-processed-gene-4.193-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.193&CDS=1-834	YGR132C
OG0002729	augustus_masked-LCTY01000008.1-processed-gene-4.221-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.221&CDS=1-4509	YJR033C
OG0002730	augustus_masked-LCTY01000008.1-processed-gene-4.195-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.195&CDS=1-324	YJR034W
OG0002731	augustus_masked-LCTY01000008.1-processed-gene-4.196-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.196&CDS=1-3729	YJR035W
OG0002732	augustus_masked-LCTY01000008.1-processed-gene-4.223-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.223&CDS=1-1659	YMR297W
OG0002733	augustus_masked-LCTY01000008.1-processed-gene-4.197-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.197&CDS=1-1482	YMR215W
OG0002734	augustus_masked-LCTY01000008.1-processed-gene-4.224-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.224&CDS=1-786	YPL107W
OG0002735	maker-LCTY01000008.1-augustus-gene-4.88-mRNA-1_1&gene=maker-LCTY01000008.1-augustus-gene-4.88&CDS=1-1737	YBR170C
OG0002736	augustus_masked-LCTY01000008.1-processed-gene-4.225-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.225&CDS=1-1650	YEL060C
OG0002737	augustus_masked-LCTY01000008.1-processed-gene-4.227-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.227&CDS=1-1992	YDR398W
OG0002738	augustus_masked-LCTY01000008.1-processed-gene-4.202-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.202&CDS=1-414	YDR397C
OG0002739	augustus_masked-LCTY01000008.1-processed-gene-4.229-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.229&CDS=1-507	YGL041W-A
OG0002740	augustus_masked-LCTY01000008.1-processed-gene-4.205-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.205&CDS=1-2184	YPL106C
OG0002741	maker-LCTY01000008.1-snap-gene-4.77-mRNA-1_1&gene=maker-LCTY01000008.1-snap-gene-4.77&CDS=1-2445	YMR216C
OG0002742	maker-LCTY01000008.1-snap-gene-4.80-mRNA-1_1&gene=maker-LCTY01000008.1-snap-gene-4.80&CDS=1-1536	YBR026C
OG0002743	maker-LCTY01000008.1-snap-gene-4.81-mRNA-1_1&gene=maker-LCTY01000008.1-snap-gene-4.81&CDS=1-4596	YAL021C
OG0002744	augustus_masked-LCTY01000008.1-processed-gene-4.236-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.236&CDS=1-1227	YIL113W
OG0002745	augustus_masked-LCTY01000008.1-processed-gene-4.237-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.237&CDS=1-1116	YIL110W
OG0002746	genemark-LCTY01000008.1-processed-gene-4.37-mRNA-1_1&gene=genemark-LCTY01000008.1-processed-gene-4.37&CDS=1-1161	YNL051W
OG0002747	augustus_masked-LCTY01000008.1-processed-gene-4.210-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.210&CDS=1-399	YCR028C-A
OG0002748	augustus_masked-LCTY01000008.1-processed-gene-4.240-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.240&CDS=1-1278	YKL178C
OG0002749	augustus_masked-LCTY01000008.1-processed-gene-4.241-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.241&CDS=1-522	YPL047W
OG0002750	augustus_masked-LCTY01000008.1-processed-gene-4.211-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.211&CDS=1-1377	YPL083C
OG0002751	augustus_masked-LCTY01000009.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-0.54&CDS=1-1185	YGR234W
OG0002752	maker-LCTY01000009.1-augustus-gene-0.6-mRNA-1_1&gene=maker-LCTY01000009.1-augustus-gene-0.6&CDS=1-666	YCR020C
OG0002753	maker-LCTY01000009.1-snap-gene-0.4-mRNA-1_1&gene=maker-LCTY01000009.1-snap-gene-0.4&CDS=1-1716	YMR155W
OG0002754	augustus_masked-LCTY01000009.1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-0.59&CDS=1-3822	YDR335W
OG0002755	augustus_masked-LCTY01000009.1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-0.42&CDS=1-1485	YDR316W
OG0002756	augustus_masked-LCTY01000009.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-0.47&CDS=1-1341	YDL090C
OG0002757	augustus_masked-LCTY01000009.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-0.60&CDS=1-1788	YDL091C
OG0002758	genemark-LCTY01000009.1-processed-gene-0.34-mRNA-1_1&gene=genemark-LCTY01000009.1-processed-gene-0.34&CDS=1-756	YPL199C
OG0002759	augustus_masked-LCTY01000009.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-0.62&CDS=1-447	YPL225W
OG0002760	snap_masked-LCTY01000009.1-processed-gene-1.83-mRNA-1_1&gene=snap_masked-LCTY01000009.1-processed-gene-1.83&CDS=1-4686	YMR176W
OG0002761	augustus_masked-LCTY01000009.1-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-1.64&CDS=1-672	YER063W
OG0002762	augustus_masked-LCTY01000009.1-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-1.48&CDS=1-549	YJR014W
OG0002763	augustus_masked-LCTY01000009.1-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-1.49&CDS=1-1245	YPR140W
OG0002764	augustus_masked-LCTY01000009.1-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-1.65&CDS=1-2106	YPR141C
OG0002765	maker-LCTY01000009.1-snap-gene-1.2-mRNA-1_1&gene=maker-LCTY01000009.1-snap-gene-1.2&CDS=1-3345	YLR051C
OG0002766	augustus_masked-LCTY01000009.1-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-1.68&CDS=1-1197	YGR223C
OG0002767	augustus_masked-LCTY01000009.1-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-1.53&CDS=1-4680	YCR081W
OG0002768	augustus_masked-LCTY01000009.1-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-1.70&CDS=1-618	YFL005W
OG0002769	augustus_masked-LCTY01000009.1-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-1.55&CDS=1-1773	YLR060W
OG0002770	maker-LCTY01000009.1-snap-gene-1.3-mRNA-1_1&gene=maker-LCTY01000009.1-snap-gene-1.3&CDS=1-3387	YFL034W
OG0002771	augustus_masked-LCTY01000009.1-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-1.73&CDS=1-1905	YNR006W
OG0002772	maker-LCTY01000009.1-snap-gene-1.5-mRNA-1_1&gene=maker-LCTY01000009.1-snap-gene-1.5&CDS=1-2418	YJL093C
OG0002773	augustus_masked-LCTY01000009.1-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-1.59&CDS=1-4068	YOL075C
OG0002774	augustus_masked-LCTY01000009.1-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-1.60&CDS=1-1923	YHR188C
OG0002775	augustus_masked-LCTY01000009.1-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-1.77&CDS=1-2610	YGR188C
OG0002776	augustus_masked-LCTY01000009.1-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-1.78&CDS=1-2121	YER017C
OG0002777	augustus_masked-LCTY01000009.1-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-1.79&CDS=1-1149	YER016W
OG0002778	augustus_masked-LCTY01000009.1-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-1.61&CDS=1-1440	YOR123C
OG0002779	augustus_masked-LCTY01000009.1-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-1.62&CDS=1-378	YOR122C
OG0002780	augustus_masked-LCTY01000009.1-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-1.81&CDS=1-1083	YDR372C
OG0002781	augustus_masked-LCTY01000009.1-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.3&CDS=1-3957	YOR124C
OG0002782	augustus_masked-LCTY01000009.1-processed-gene-2.1-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.1&CDS=1-1545	YDR375C
OG0002783	maker-LCTY01000009.1-augustus-gene-2.89-mRNA-1_1&gene=maker-LCTY01000009.1-augustus-gene-2.89&CDS=1-1530	YDR367W
OG0002784	augustus_masked-LCTY01000009.1-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.4&CDS=1-1470	YOR119C
OG0002785	augustus_masked-LCTY01000009.1-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.21&CDS=1-1827	YOR118W
OG0002786	augustus_masked-LCTY01000009.1-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.5&CDS=1-1983	YDR365C
OG0002787	maker-LCTY01000009.1-augustus-gene-2.88-mRNA-1_1&gene=maker-LCTY01000009.1-augustus-gene-2.88&CDS=1-1953	YHR111W
OG0002788	augustus_masked-LCTY01000009.1-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.22&CDS=1-1794	YDR362C
OG0002789	augustus_masked-LCTY01000009.1-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.23&CDS=1-1128	YHR112C
OG0002790	augustus_masked-LCTY01000009.1-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.7&CDS=1-2838	YML093W
OG0002791	augustus_masked-LCTY01000009.1-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.9&CDS=1-900	YOR130C
OG0002792	augustus_masked-LCTY01000009.1-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.10&CDS=1-330	YDR381C-A
OG0002793	maker-LCTY01000009.1-augustus-gene-2.90-mRNA-1_1&gene=maker-LCTY01000009.1-augustus-gene-2.90&CDS=1-765	YDR381W
OG0002794	augustus_masked-LCTY01000009.1-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.12&CDS=1-3348	YDR060W
OG0002795	snap_masked-LCTY01000009.1-processed-gene-2.73-mRNA-1_1&gene=snap_masked-LCTY01000009.1-processed-gene-2.73&CDS=1-2316	YBR083W
OG0002796	snap_masked-LCTY01000009.1-processed-gene-2.58-mRNA-1_1&gene=snap_masked-LCTY01000009.1-processed-gene-2.58&CDS=1-4707	YPR184W
OG0002797	augustus_masked-LCTY01000009.1-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.15&CDS=1-720	YPL129W
OG0002798	augustus_masked-LCTY01000009.1-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.32&CDS=1-1272	YOR212W
OG0002799	augustus_masked-LCTY01000009.1-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.33&CDS=1-3369	YMR288W
OG0002800	augustus_masked-LCTY01000009.1-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.16&CDS=1-936	YMR200W
OG0002801	augustus_masked-LCTY01000009.1-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.34&CDS=1-1362	YML126C
OG0002802	maker-LCTY01000009.1-augustus-gene-2.91-mRNA-1_1&gene=maker-LCTY01000009.1-augustus-gene-2.91&CDS=1-2757	YGR261C
OG0002803	augustus_masked-LCTY01000009.1-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.17&CDS=1-1209	YGR202C
OG0002804	augustus_masked-LCTY01000009.1-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.18&CDS=1-453	YGR203W
OG0002805	augustus_masked-LCTY01000009.1-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-2.38&CDS=1-3375	YGR258C
OG0002806	genemark-LCTY01000009.1-processed-gene-3.9-mRNA-1_1&gene=genemark-LCTY01000009.1-processed-gene-3.9&CDS=1-924	YHR187W
OG0002807	augustus_masked-LCTY01000009.1-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.50&CDS=1-1251	YLL006W
OG0002808	augustus_masked-LCTY01000009.1-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.51&CDS=1-2160	YJL012C
OG0002809	augustus_masked-LCTY01000009.1-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.52&CDS=1-822	YPL196W
OG0002810	maker-LCTY01000009.1-snap-gene-3.4-mRNA-1_1&gene=maker-LCTY01000009.1-snap-gene-3.4&CDS=1-5229	YGL078C
OG0002811	augustus_masked-LCTY01000009.1-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.55&CDS=1-444	YOR104W
OG0002812	augustus_masked-LCTY01000009.1-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.68&CDS=1-5673	YLR024C
OG0002813	augustus_masked-LCTY01000009.1-processed-gene-3.56-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.56&CDS=1-5718	YGR184C
OG0002814	augustus_masked-LCTY01000009.1-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.57&CDS=1-210	YGR183C
OG0002815	maker-LCTY01000009.1-snap-gene-3.5-mRNA-1_1&gene=maker-LCTY01000009.1-snap-gene-3.5&CDS=1-2934	YGR187C
OG0002816	augustus_masked-LCTY01000009.1-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.58&CDS=1-1509	YCR098C
OG0002817	snap_masked-LCTY01000009.1-processed-gene-3.111-mRNA-1_1&gene=snap_masked-LCTY01000009.1-processed-gene-3.111&CDS=1-543	YGR036C
OG0002818	augustus_masked-LCTY01000009.1-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.59&CDS=1-3315	YGR099W
OG0002819	augustus_masked-LCTY01000009.1-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.72&CDS=1-4113	YDR301W
OG0002820	maker-LCTY01000009.1-augustus-gene-3.2-mRNA-1_1&gene=maker-LCTY01000009.1-augustus-gene-3.2&CDS=1-279	YFR049W
OG0002821	augustus_masked-LCTY01000009.1-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.61&CDS=1-825	YFR050C
OG0002822	augustus_masked-LCTY01000009.1-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.74&CDS=1-1173	YGL248W
OG0002823	genemark-LCTY01000009.1-processed-gene-3.38-mRNA-1_1&gene=genemark-LCTY01000009.1-processed-gene-3.38&CDS=1-1254	YMR208W
OG0002824	augustus_masked-LCTY01000009.1-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.65&CDS=1-1362	YOR272W
OG0002825	augustus_masked-LCTY01000009.1-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.76&CDS=1-1584	YMR217W
OG0002826	augustus_masked-LCTY01000009.1-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.66&CDS=1-621	YJR057W
OG0002827	snap_masked-LCTY01000009.1-processed-gene-3.119-mRNA-1_1&gene=snap_masked-LCTY01000009.1-processed-gene-3.119&CDS=1-963	YKL019W
OG0002828	augustus_masked-LCTY01000009.1-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.79&CDS=1-1287	YNL097C
OG0002829	augustus_masked-LCTY01000009.1-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.80&CDS=1-627	YJR073C
OG0002830	augustus_masked-LCTY01000009.1-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.81&CDS=1-1317	YJR076C
OG0002831	augustus_masked-LCTY01000009.1-processed-gene-4.116-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-4.116&CDS=1-6897	YJL130C
OG0002832	augustus_masked-LCTY01000009.1-processed-gene-4.142-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-4.142&CDS=1-1485	YFL022C
OG0002833	augustus_masked-LCTY01000009.1-processed-gene-4.144-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-4.144&CDS=1-2046	YDR479C
OG0002834	snap_masked-LCTY01000009.1-processed-gene-4.90-mRNA-1_1&gene=snap_masked-LCTY01000009.1-processed-gene-4.90&CDS=1-1935	YDR477W
OG0002835	augustus_masked-LCTY01000009.1-processed-gene-4.146-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-4.146&CDS=1-1725	YOR027W
OG0002836	augustus_masked-LCTY01000009.1-processed-gene-4.120-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-4.120&CDS=1-1677	YDR257C
