	Saccharomyces_cerevisiae	Schizosaccharomyces_pombe
OG0001463	YHR134W	SPCC1442.07c_pep
OG0001464	YHR143W-A	SPBC19C2.03_pep
OG0001465	YHR144C	SPBC2G2.13c_pep
OG0001466	YHR147C	SPAC12G12.08_pep
OG0001467	YHR148W	SPAC19D5.05c_pep
OG0001468	YHR154W	SPBC582.05c_pep
OG0001469	YHR156C	SPBC83.09c_pep
OG0001470	YHR164C	SPBC16D10.04c_pep
OG0001471	YHR165C	SPAC4F8.12c_pep
OG0001472	YHR166C	SPAC6F12.14_pep
OG0001473	YHR168W	SPAP8A3.11c_pep
OG0001474	YHR169W	SPBC543.06c_pep
OG0001475	YHR170W	SPAC16C9.03_pep
OG0001476	YHR171W	SPBC6B1.05c_pep
OG0001477	YHR172W	SPBC365.15_pep
OG0001478	YHR175W	SPBC23G7.16_pep
OG0001479	YHR176W	SPBP16F5.08c_pep
OG0001480	YHR181W	SPCC1795.10c_pep
OG0001481	YHR183W	SPBC660.16_pep
OG0001482	YHR186C	SPAC57A7.11_pep
OG0001483	YHR187W	SPBC18E5.05c_pep
OG0001484	YHR188C	SPBC1604.15_pep
OG0001485	YHR189W	SPBC2D10.15c_pep
OG0001486	YHR190W	SPBC646.05c_pep
OG0001487	YHR193C	SPBC25H2.05_pep
OG0001488	YHR194W	SPAC3H1.04c_pep
OG0001489	YHR200W	SPAC637.10c_pep
OG0001490	YHR201C	SPAC2F3.11_pep
OG0001491	YHR204W	SPAC23A1.04c_pep
OG0001492	YHR205W	SPAC22E12.14c_pep
OG0001493	YHR206W	SPAC8C9.14_pep
OG0001494	YIL001W	SPAC13D6.04c_pep
OG0001495	YIL004C	SPAC23C4.13_pep
OG0001496	YIL007C	SPAC2H10.02c_pep
OG0001497	YIL008W	SPCC548.04_pep
OG0001498	YIL010W	SPBC1773.02c_pep
OG0001499	YIL017C	SPAC26H5.04_pep
OG0001500	YIL019W	SPAC3F10.08c_pep
OG0001501	YIL020C	SPAC3F10.09_pep
OG0001502	YIL021W	SPCC1442.10c_pep
OG0001503	YIL022W	SPBC14C8.02_pep
OG0001504	YIL023C	SPAP8A3.03_pep
OG0001505	YIL026C	SPAC17H9.20_pep
OG0001506	YIL030C	SPBC14F5.07_pep
OG0001507	YIL031W	SPAC17A5.07c_pep
OG0001508	YIL033C	SPAC8C9.03_pep
OG0001509	YIL034C	SPAC631.01c_pep
OG0001510	YIL038C	SPAC1B3.05_pep
OG0001511	YIL039W	SPAC23A1.02c_pep
OG0001512	YIL041W	SPAC56F8.05c_pep
OG0001513	YIL042C	SPAC644.11c_pep
OG0001514	YIL043C	SPCC970.03_pep
OG0001515	YIL044C	SPAC824.09c_pep
OG0001516	YIL046W	SPAC57A10.05c_pep
OG0001517	YIL047C	SPCC1827.07c_pep
OG0001518	YIL048W	SPAC6C3.06c_pep
OG0001519	YIL049W	SPAC7D4.09c_pep
OG0001520	YIL050W	SPBC20F10.10_pep
OG0001521	YIL061C	SPAC19A8.13_pep
OG0001522	YIL062C	SPAC17G8.04c_pep
OG0001523	YIL063C	SPBC365.13c_pep
OG0001524	YIL064W	SPBC839.14c_pep
OG0001525	YIL065C	SPBC11G11.01_pep
OG0001526	YIL068C	SPCC1235.10c_pep
OG0001527	YIL070C	SPBC776.07_pep
OG0001528	YIL075C	SPBC17D11.07c_pep
OG0001529	YIL078W	SPBC25H2.02_pep
OG0001530	YIL083C	SPCC4B3.18_pep
OG0001531	YIL090W	SPAC23C11.01_pep
OG0001532	YIL091C	SPCC1827.01c_pep
OG0001533	YIL093C	SPBC16A3.04_pep
OG0001534	YIL094C	SPAC31G5.04_pep
OG0001535	YIL096C	SPCC1919.13c_pep
OG0001536	YIL097W	SPBC106.13_pep
OG0001537	YIL099W	SPBC14C8.05c_pep
OG0001538	YIL103W	SPBC3B8.05_pep
OG0001539	YIL104C	SPBC8D2.13_pep
OG0001540	YIL106W	SPBC428.13c_pep
OG0001541	YIL107C	SPAPB17E12.14c_pep
OG0001542	YIL108W	SPAC607.06c_pep
OG0001543	YIL110W	SPAC1071.05_pep
OG0001544	YIL113W	SPBC1685.01_pep
OG0001545	YIL116W	SPBC11B10.02c_pep
OG0001546	YIL118W	SPAC23C4.08_pep
OG0001547	YIL124W	SPAC23D3.11_pep
OG0001548	YIL125W	SPBC3H7.03c_pep
OG0001549	YIL126W	SPAC1250.01_pep
OG0001550	YIL128W	SPAC1071.02_pep
OG0001551	YIL129C	SPBP19A11.04c_pep
OG0001552	YIL134W	SPBC27B12.09c_pep
OG0001553	YIL142W	SPAC1D4.04_pep
OG0001554	YIL143C	SPAC17A5.06_pep
OG0001555	YIL144W	SPBC11C11.03_pep
OG0001556	YIL145C	SPAC5H10.08c_pep
OG0001557	YIL150C	SPBC1347.10_pep
OG0001558	YIL153W	SPAC4F10.04_pep
OG0001559	YIL154C	SPAC167.05_pep
OG0001560	YIL155C	SPCC1223.03c_pep
OG0001561	YIL156W-B	SPAC26A3.14c_pep
OG0001562	YIL157C	SPBC16E9.03c_pep
OG0001563	YIL162W	SPCC191.11_pep
OG0001564	YIR001C	SPBC16E9.12c_pep
OG0001565	YIR002C	SPAC9.05_pep
OG0001566	YIR005W	SPBC887.05c_pep
OG0001567	YIR006C	SPAC25G10.09c_pep
OG0001568	YIR008C	SPAC6B12.10c_pep
OG0001569	YIR009W	SPBC8D2.09c_pep
OG0001570	YIR011C	SPAC17C9.13c_pep
OG0001571	YIR015W	SPBC1105.16c_pep
OG0001572	YIR022W	SPBC1685.03_pep
OG0001573	YIR026C	SPBC17A3.06_pep
OG0001574	YIR029W	SPAC1F7.09c_pep
OG0001575	YIR032C	SPAC19G12.04_pep
OG0001576	YIR034C	SPAC227.18_pep
OG0001577	YIR037W	SPBC32F12.03c_pep
OG0001578	YIR038C	SPAC688.04c_pep
OG0001579	YJL001W	SPBC4C3.10c_pep
OG0001580	YJL002C	SPAC27F1.07_pep
OG0001581	YJL003W	SPAC1486.08_pep
OG0001582	YJL005W	SPBC19C7.03_pep
OG0001583	YJL006C	SPBC530.13_pep
OG0001584	YJL008C	SPBC337.05c_pep
OG0001585	YJL010C	SPAC6G9.02c_pep
OG0001586	YJL011C	SPAPB1E7.10_pep
OG0001587	YJL012C	SPCC1322.14c_pep
OG0001588	YJL013C	SPCC1795.01c_pep
OG0001589	YJL014W	SPBC1A4.08c_pep
OG0001590	YJL020C	SPAC23A1.17_pep
OG0001591	YJL024C	SPAC30D11.05_pep
OG0001592	YJL026W	SPBC25D12.04_pep
OG0001593	YJL029C	SPAC3A12.15_pep
OG0001594	YJL030W	SPBC20F10.06_pep
OG0001595	YJL031C	SPCC1620.05_pep
OG0001596	YJL033W	SPAC1093.05_pep
OG0001597	YJL034W	SPAC22A12.15c_pep
OG0001598	YJL035C	SPBC16D10.10_pep
OG0001599	YJL036W	SPAC6F6.12_pep
OG0001600	YJL039C	SPCC290.03c_pep
OG0001601	YJL041W	SPAC26A3.15c_pep
OG0001602	YJL046W	SPBC17A3.09c_pep
OG0001603	YJL049W	SPBC1604.18c_pep
OG0001604	YJL050W	SPAC6F12.16c_pep
OG0001605	YJL053W	SPAC4G9.13c_pep
OG0001606	YJL054W	SPBC1347.04_pep
OG0001607	YJL059W	SPAC607.09c_pep
OG0001608	YJL060W	SPAC6B12.04c_pep
OG0001609	YJL062W	SPAC13G6.03_pep
OG0001610	YJL063C	SPBC1271.13_pep
OG0001611	YJL069C	SPBC29A3.06_pep
OG0001612	YJL071W	SPBC725.14_pep
OG0001613	YJL072C	SPBC725.13c_pep
OG0001614	YJL074C	SPAC10F6.09c_pep
OG0001615	YJL080C	SPCC550.14_pep
OG0001616	YJL085W	SPBC106.20_pep
OG0001617	YJL087C	SPAC17G8.01c_pep
OG0001618	YJL088W	SPAC4G9.10_pep
OG0001619	YJL090C	SPAC23C4.18c_pep
OG0001620	YJL091C	SPAC144.10c_pep
OG0001621	YJL092W	SPAC4H3.05_pep
OG0001622	YJL094C	SPAC105.01c_pep
OG0001623	YJL095W	SPAC1F3.02c_pep
OG0001624	YJL097W	SPBC19C2.15c_pep
OG0001625	YJL100W	SPAC343.19_pep
OG0001626	YJL101C	SPAC22F3.10c_pep
OG0001627	YJL102W	SPBC660.10_pep
OG0001628	YJL104W	SPBC713.10_pep
OG0001629	YJL106W	SPAC3C7.06c_pep
OG0001630	YJL108C	SPAC7D4.12c_pep
OG0001631	YJL109C	SPBC23E6.04c_pep
OG0001632	YJL111W	SPBC25H2.12c_pep
OG0001633	YJL112W	SPAC664.15_pep
OG0001634	YJL115W	SPCC663.05c_pep
OG0001635	YJL116C	SPBC2G2.17c_pep
OG0001636	YJL121C	SPAC31G5.05c_pep
OG0001637	YJL123C	SPCC1322.09_pep
OG0001638	YJL124C	SPBC3D6.08c_pep
OG0001639	YJL125C	SPAC9G1.12_pep
OG0001640	YJL126W	SPBC651.02_pep
OG0001641	YJL127C	SPAC21E11.04_pep
OG0001642	YJL128C	SPBC409.07c_pep
OG0001643	YJL130C	SPAC22G7.06c_pep
OG0001644	YJL140W	SPBC337.14_pep
OG0001645	YJL141C	SPAC823.03_pep
OG0001646	YJL143W	SPAC3A12.16c_pep
OG0001647	YJL154C	SPCC777.13_pep
OG0001648	YJL155C	SPAC732.02c_pep
OG0001649	YJL163C	SPAC14C4.07_pep
OG0001650	YJL166W	SPAC1782.07_pep
OG0001651	YJL167W	SPAC6F12.13c_pep
OG0001652	YJL168C	SPAC29B12.02c_pep
OG0001653	YJL179W	SPBC1D7.01_pep
OG0001654	YJL180C	SPAC9.12c_pep
OG0001655	YJL187C	SPCC18B5.03_pep
OG0001656	YJL189W	SPCC663.04_pep
OG0001657	YJL194W	SPBC14C8.07c_pep
OG0001658	YJL197W	SPCC1494.05c_pep
OG0001659	YJL200C	SPBP4H10.15_pep
OG0001660	YJL203W	SPAC22A12.09c_pep
OG0001661	YJL204C	SPCC18.04_pep
OG0001662	YJL207C	SPBC27B12.08_pep
OG0001663	YJL208C	SPAC17C9.08_pep
OG0001664	YJL212C	SPAC29B12.10c_pep
OG0001665	YJL218W	SPAC18B11.09c_pep
OG0001666	YJR002W	SPAC23C11.03_pep
OG0001667	YJR006W	SPAC27E2.05_pep
OG0001668	YJR007W	SPAC3G9.09c_pep
OG0001669	YJR008W	SPAC4H3.04c_pep
OG0001670	YJR010W	SPBC27.08c_pep
OG0001671	YJR013W	SPBC13E7.05_pep
OG0001672	YJR014W	SPBC16C6.05_pep
OG0001673	YJR016C	SPAC17G8.06c_pep
OG0001674	YJR017C	SPCC16C4.03_pep
OG0001675	YJR022W	SPCC1840.10_pep
OG0001676	YJR024C	SPAC20H4.05c_pep
OG0001677	YJR033C	SPBC1105.10_pep
OG0001678	YJR034W	SPBC16A3.16_pep
OG0001679	YJR035W	SPCP25A2.02c_pep
OG0001680	YJR036C	SPBP8B7.27_pep
OG0001681	YJR040W	SPBC19C7.11_pep
OG0001682	YJR044C	SPAC630.11_pep
OG0001683	YJR045C	SPAC664.11_pep
OG0001684	YJR050W	SPBC32F12.05c_pep
OG0001685	YJR052W	SPCC330.02_pep
OG0001686	YJR055W	SPAC4F10.19c_pep
OG0001687	YJR057W	SPCC70.07c_pep
OG0001688	YJR058C	SPBC685.04c_pep
OG0001689	YJR060W	SPAC3F10.12c_pep
OG0001690	YJR062C	SPBC23E6.03c_pep
OG0001691	YJR063W	SPCC1259.03_pep
OG0001692	YJR064W	SPAC1420.02c_pep
OG0001693	YJR065C	SPAC630.03_pep
OG0001694	YJR068W	SPAC23D3.02_pep
OG0001695	YJR069C	SPCC830.10_pep
OG0001696	YJR070C	SPAC30C2.02_pep
OG0001697	YJR072C	SPBC119.15_pep
OG0001698	YJR073C	SPBC337.16_pep
OG0001699	YJR074W	SPCC1840.01c_pep
OG0001700	YJR075W	SPAC1006.05c_pep
OG0001701	YJR076C	SPBC16A3.01_pep
OG0001702	YJR084W	SPAC1B3.08_pep
OG0001703	YJR085C	SPAP14E8.05c_pep
OG0001704	YJR088C	SPBC15C4.01c_pep
OG0001705	YJR090C	SPBC25B2.11_pep
OG0001706	YJR093C	SPAC22G7.10_pep
OG0001707	YJR096W	SPAC2F3.05c_pep
OG0001708	YJR097W	SPAC926.05c_pep
OG0001709	YJR099W	SPAC27F1.03c_pep
OG0001710	YJR100C	SPAC343.06c_pep
OG0001711	YJR101W	SPBC16A3.14_pep
OG0001712	YJR102C	SPBC4B4.06_pep
OG0001713	YJR104C	SPAC821.10c_pep
OG0001714	YJR105W	SPCC338.14_pep
OG0001715	YJR109C	SPBC215.08c_pep
OG0001716	YJR110W	SPAC19A8.03_pep
OG0001717	YJR111C	SPBC17D11.03c_pep
OG0001718	YJR112W	SPAC29E6.04_pep
OG0001719	YJR113C	SPAC16E8.10c_pep
OG0001720	YJR116W	SPAC17A2.02c_pep
OG0001721	YJR117W	SPAC3H1.05_pep
OG0001722	YJR119C	SPAC1002.05c_pep
OG0001723	YJR121W	SPAC222.12c_pep
OG0001724	YJR122W	SPAC21E11.07_pep
OG0001725	YJR125C	SPCC794.11c_pep
OG0001726	YJR129C	SPAC3A11.03_pep
OG0001727	YJR131W	SPAC2E1P5.01c_pep
OG0001728	YJR132W	SPCC550.11_pep
OG0001729	YJR133W	SPAC23C11.13c_pep
OG0001730	YJR135W-A	SPAC13G6.04_pep
OG0001731	YJR137C	SPAC10F6.01c_pep
OG0001732	YJR138W	SPBC26H8.04c_pep
OG0001733	YJR139C	SPBC776.03_pep
OG0001734	YJR140C	SPBC31F10.14c_pep
OG0001735	YJR142W	SPAC6F12.05c_pep
OG0001736	YJR143C	SPBC16C6.09_pep
OG0001737	YJR144W	SPBC30D10.08_pep
OG0001738	YJR152W	SPCC417.10_pep
OG0001739	YKL001C	SPAC1782.11_pep
OG0001740	YKL002W	SPAC4F8.01_pep
OG0001741	YKL003C	SPAC343.08c_pep
OG0001742	YKL004W	SPAC3H8.06_pep
OG0001743	YKL007W	SPAC12B10.07_pep
OG0001744	YKL009W	SPBC11G11.03_pep
OG0001745	YKL010C	SPAC12B10.01c_pep
OG0001746	YKL012W	SPAC4D7.13_pep
OG0001747	YKL013C	SPAC6G9.07c_pep
OG0001748	YKL014C	SPCC14G10.02_pep
OG0001749	YKL016C	SPBC29A10.13_pep
OG0001750	YKL017C	SPCC737.07c_pep
OG0001751	YKL018W	SPBC18H10.06c_pep
OG0001752	YKL019W	SPAPB1A10.04c_pep
OG0001753	YKL022C	SPAC6F12.15c_pep
OG0001754	YKL024C	SPCC1795.05c_pep
OG0001755	YKL025C	SPBC336.14c_pep
OG0001756	YKL027W	SPAC1A6.10_pep
OG0001757	YKL028W	SPAC458.07_pep
OG0001758	YKL033W	SPCC622.13c_pep
OG0001759	YKL034W	SPBC947.10_pep
OG0001760	YKL035W	SPCC1322.04_pep
OG0001761	YKL040C	SPBC1709.19c_pep
OG0001762	YKL041W	SPAC9E9.14_pep
OG0001763	YKL045W	SPBC17D11.06_pep
OG0001764	YKL046C	SPCC970.02_pep
OG0001765	YKL051W	SPCC16A11.01_pep
OG0001766	YKL052C	SPBC27.02c_pep
OG0001767	YKL053C-A	SPBC119.18_pep
OG0001768	YKL055C	SPAC3G9.02_pep
OG0001769	YKL056C	SPAC1F12.02c_pep
OG0001770	YKL058W	SPCC553.11c_pep
OG0001771	YKL059C	SPBP8B7.15c_pep
OG0001772	YKL060C	SPBC19C2.07_pep
OG0001773	YKL067W	SPAC806.07_pep
OG0001774	YKL073W	SPAC1F5.06_pep
OG0001775	YKL078W	SPAC2G11.11c_pep
OG0001776	YKL080W	SPAPB2B4.05_pep
OG0001777	YKL082C	SPAC8C9.10c_pep
OG0001778	YKL084W	SPAC29B12.12_pep
OG0001779	YKL085W	SPCC306.08c_pep
OG0001780	YKL086W	SPBC106.02c_pep
OG0001781	YKL087C	SPAC24C9.02c_pep
OG0001782	YKL089W	SPBC1861.01c_pep
OG0001783	YKL094W	SPCC5E4.05c_pep
OG0001784	YKL095W	SPAC9.13c_pep
OG0001785	YKL099C	SPAC18G6.06_pep
OG0001786	YKL100C	SPAC25B8.17_pep
OG0001787	YKL104C	SPBC12C2.11_pep
OG0001788	YKL108W	SPAC6B12.11_pep
OG0001789	YKL110C	SPAC30.02c_pep
OG0001790	YKL113C	SPAC3G6.06c_pep
OG0001791	YKL114C	SPCC622.17_pep
OG0001792	YKL116C	SPBC337.04_pep
OG0001793	YKL117W	SPAC9E9.13_pep
OG0001794	YKL119C	SPCC757.10_pep
OG0001795	YKL120W	SPAC139.02c_pep
OG0001796	YKL125W	SPAC18G6.11c_pep
OG0001797	YKL134C	SPAC1F3.10c_pep
OG0001798	YKL135C	SPBC947.02_pep
OG0001799	YKL138C	SPCC16A11.11_pep
OG0001800	YKL139W	SPAC2F3.15_pep
OG0001801	YKL143W	SPAC3F10.17_pep
OG0001802	YKL144C	SPBC2G5.07c_pep
OG0001803	YKL145W	SPBC16C6.07c_pep
OG0001804	YKL146W	SPAC3H1.09c_pep
OG0001805	YKL149C	SPAC17A5.02c_pep
OG0001806	YKL151C	SPCC61.03_pep
OG0001807	YKL152C	SPAC26F1.06_pep
OG0001808	YKL154W	SPAC23H4.07c_pep
OG0001809	YKL160W	SPAC1B3.02c_pep
OG0001810	YKL165C	SPBC839.08c_pep
OG0001811	YKL167C	SPCC1442.19_pep
OG0001812	YKL170W	SPBC887.07_pep
OG0001813	YKL172W	SPAC17H9.05_pep
OG0001814	YKL178C	SPAC3F10.10c_pep
OG0001815	YKL179C	SPCC364.04c_pep
OG0001816	YKL181W	SPAC4A8.14_pep
OG0001817	YKL182W	SPAC926.09c_pep
OG0001818	YKL184W	SPAC144.04c_pep
OG0001819	YKL189W	SPAC1834.06c_pep
OG0001820	YKL190W	SPCC830.06_pep
OG0001821	YKL191W	SPBC17D1.02_pep
OG0001822	YKL192C	SPAC4H3.09_pep
OG0001823	YKL193C	SPAC4A8.12c_pep
OG0001824	YKL194C	SPAC24C9.09_pep
OG0001825	YKL195W	SPAC57A10.11c_pep
OG0001826	YKL196C	SPBC13G1.11_pep
OG0001827	YKL197C	SPCC553.03_pep
OG0001828	YKL203C	SPBC216.07c_pep
OG0001829	YKL205W	SPBP8B7.09c_pep
OG0001830	YKL207W	SPBC1711.03_pep
OG0001831	YKL209C	SPBC25B2.02c_pep
OG0001832	YKL210W	SPBC1604.21c_pep
OG0001833	YKL211C	SPBC1539.09c_pep
OG0001834	YKL212W	SPBC19F5.03_pep
OG0001835	YKL213C	SPBC887.04c_pep
OG0001836	YKL215C	SPAC11D3.15_pep
OG0001837	YKL216W	SPAC57A10.12c_pep
OG0001838	YKL218C	SPCC320.14_pep
OG0001839	YKR001C	SPAC767.01c_pep
OG0001840	YKR002W	SPBC646.04_pep
OG0001841	YKR008W	SPBC1734.15_pep
OG0001842	YKR016W	SPBC3E7.05c_pep
OG0001843	YKR017C	SPAC328.02_pep
OG0001844	YKR023W	SPAC1A6.01c_pep
OG0001845	YKR024C	SPBC21H7.04_pep
OG0001846	YKR025W	SPCC330.13_pep
OG0001847	YKR026C	SPCC11E10.07c_pep
OG0001848	YKR030W	SPBC25H2.14_pep
OG0001849	YKR031C	SPAC2F7.16c_pep
OG0001850	YKR034W	SPAC23E2.01_pep
OG0001851	YKR035W-A	SPBC13G1.12_pep
OG0001852	YKR038C	SPBC16D10.03_pep
OG0001853	YKR048C	SPBC2D10.11c_pep
OG0001854	YKR050W	SPAC3F10.02c_pep
OG0001855	YKR051W	SPAC30D11.06c_pep
OG0001856	YKR054C	SPAC1093.06c_pep
OG0001857	YKR056W	SPAC4G8.07c_pep
OG0001858	YKR062W	SPCC1672.08c_pep
OG0001859	YKR063C	SPBC16C6.12c_pep
OG0001860	YKR065C	SPAC167.04_pep
OG0001861	YKR068C	SPAC644.18c_pep
OG0001862	YKR069W	SPCC1739.06c_pep
OG0001863	YKR070W	SPAC22A12.08c_pep
OG0001864	YKR071C	SPBC337.10c_pep
OG0001865	YKR074W	SPAC2C4.04c_pep
OG0001866	YKR079C	SPAC1D4.10_pep
OG0001867	YKR080W	SPBC1711.04_pep
OG0001868	YKR081C	SPAC926.08c_pep
OG0001869	YKR082W	SPAC1805.04_pep
OG0001870	YKR086W	SPBC1711.17_pep
OG0001871	YKR087C	SPAP14E8.04_pep
OG0001872	YKR092C	SPBC1711.05_pep
OG0001873	YKR093W	SPBC13A2.04c_pep
OG0001874	YLL001W	SPBC12C2.08_pep
OG0001875	YLL002W	SPBC342.06c_pep
OG0001876	YLL006W	SPBC27B12.01c_pep
OG0001877	YLL008W	SPAC30D11.03_pep
OG0001878	YLL011W	SPBC1A4.07c_pep
OG0001879	YLL018C	SPCC1223.07c_pep
OG0001880	YLL018C-A	SPCC1672.04c_pep
OG0001881	YLL019C	SPAC1D4.11c_pep
OG0001882	YLL023C	SPBC1539.04_pep
OG0001883	YLL026W	SPBC16D10.08c_pep
OG0001884	YLL027W	SPCC645.03c_pep
OG0001885	YLL029W	SPAC22G7.01c_pep
OG0001886	YLL031C	SPBC27B12.06_pep
OG0001887	YLL032C	SPBC28E12.02_pep
OG0001888	YLL034C	SPBC16E9.10c_pep
OG0001889	YLL035W	SPCC830.03_pep
OG0001890	YLL036C	SPAC29A4.08c_pep
OG0001891	YLL039C	SPBC337.08c_pep
OG0001892	YLL040C	SPBC21C3.01c_pep
OG0001893	YLL041C	SPAC140.01_pep
OG0001894	YLL050C	SPAC20G4.06c_pep
OG0001895	YLL056C	SPBC2A9.02_pep
OG0001896	YLL057C	SPBC460.04c_pep
OG0001897	YLR001C	SPAC22H12.05c_pep
OG0001898	YLR002C	SPBC887.03c_pep
OG0001899	YLR005W	SPCC1682.07_pep
OG0001900	YLR006C	SPBC887.10_pep
OG0001901	YLR008C	SPAC824.06_pep
OG0001902	YLR009W	SPAC22E12.13c_pep
OG0001903	YLR011W	SPCC4B3.06c_pep
OG0001904	YLR015W	SPBC13G1.08c_pep
OG0001905	YLR017W	SPAC16C9.02c_pep
OG0001906	YLR019W	SPAC2F7.02c_pep
OG0001907	YLR022C	SPAC4F8.03_pep
OG0001908	YLR023C	SPAC30D11.11_pep
OG0001909	YLR025W	SPAC1142.07c_pep
OG0001910	YLR026C	SPBC8D2.14c_pep
OG0001911	YLR027C	SPAC10F6.13c_pep
OG0001912	YLR032W	SPAC13G6.01c_pep
OG0001913	YLR038C	SPCC1442.08c_pep
OG0001914	YLR051C	SPAC3G9.15c_pep
OG0001915	YLR055C	SPBC14C8.17c_pep
OG0001916	YLR056W	SPAC1687.16c_pep
OG0001917	YLR058C	SPAC24C9.12c_pep
OG0001918	YLR059C	SPBC1347.07_pep
OG0001919	YLR060W	SPAC23A1.12c_pep
OG0001920	YLR066W	SPAC56F8.11_pep
OG0001921	YLR069C	SPBC1306.01c_pep
OG0001922	YLR071C	SPBC1A4.10c_pep
OG0001923	YLR074C	SPAC19B12.11c_pep
OG0001924	YLR078C	SPAP14E8.03_pep
OG0001925	YLR084C	SPAC6F6.06c_pep
OG0001926	YLR085C	SPCC550.12_pep
OG0001927	YLR086W	SPBC146.03c_pep
OG0001928	YLR088W	SPAC1002.11_pep
OG0001929	YLR097C	SPCC1827.08c_pep
OG0001930	YLR099W-A	SPBC409.23_pep
OG0001931	YLR100W	SPBC1709.07_pep
OG0001932	YLR103C	SPAC17D4.02_pep
OG0001933	YLR105C	SPAPB17E12.07c_pep
OG0001934	YLR106C	SPCC737.08_pep
OG0001935	YLR107W	SPAC1782.08c_pep
OG0001936	YLR109W	SPCC330.06c_pep
OG0001937	YLR113W	SPAC24B11.06c_pep
OG0001938	YLR114C	SPAC23H3.14_pep
OG0001939	YLR115W	SPBC1709.15c_pep
OG0001940	YLR116W	SPCC962.06c_pep
OG0001941	YLR117C	SPBC31F10.11c_pep
OG0001942	YLR118C	SPAC8E11.04c_pep
OG0001943	YLR126C	SPAC13C5.04_pep
OG0001944	YLR127C	SPBP23A10.04_pep
OG0001945	YLR128W	SPBC839.03c_pep
OG0001946	YLR129W	SPBC3D6.12_pep
OG0001947	YLR138W	SPAC3A11.09_pep
OG0001948	YLR142W	SPCC70.03c_pep
OG0001949	YLR143W	SPBC577.12_pep
OG0001950	YLR144C	SPAC23D3.10c_pep
OG0001951	YLR147C	SPBC19C2.14_pep
OG0001952	YLR148W	SPCC790.02_pep
OG0001953	YLR149C	SPCC4G3.03_pep
OG0001954	YLR151C	SPAC6G9.05_pep
OG0001955	YLR153C	SPCC191.02c_pep
OG0001956	YLR163C	SPBP23A10.15c_pep
OG0001957	YLR166C	SPAC13F5.06c_pep
OG0001958	YLR170C	SPAP27G11.06c_pep
OG0001959	YLR172C	SPCC576.14_pep
OG0001960	YLR175W	SPAC29A4.04c_pep
OG0001961	YLR176C	SPAC3G9.14_pep
OG0001962	YLR182W	SPBC336.12c_pep
OG0001963	YLR186W	SPAC18G6.07c_pep
OG0001964	YLR188W	SPBC9B6.09c_pep
OG0001965	YLR191W	SPAC3C7.10_pep
OG0001966	YLR193C	SPAP8A3.10_pep
OG0001967	YLR195C	SPBC2G2.11_pep
OG0001968	YLR196W	SPBC1711.16_pep
OG0001969	YLR197W	SPBC646.10c_pep
OG0001970	YLR200W	SPAC3A11.13_pep
OG0001971	YLR203C	SPAC25B8.04c_pep
OG0001972	YLR208W	SPBC215.15_pep
OG0001973	YLR209C	SPAC1805.16c_pep
OG0001974	YLR212C	SPBC32F12.04_pep
OG0001975	YLR215C	SPAP27G11.03_pep
OG0001976	YLR216C	SPAC1B3.03c_pep
OG0001977	YLR218C	SPCC550.01c_pep
OG0001978	YLR222C	SPCC16A11.02_pep
OG0001979	YLR229C	SPAC110.03_pep
OG0001980	YLR234W	SPBC16G5.12c_pep
OG0001981	YLR239C	SPAC4F10.05c_pep
OG0001982	YLR240W	SPAC458.05_pep
OG0001983	YLR241W	SPAC2G11.09_pep
OG0001984	YLR242C	SPAPB1A10.15_pep
OG0001985	YLR243W	SPAC4D7.12c_pep
OG0001986	YLR244C	SPBC3E7.10_pep
OG0001987	YLR245C	SPAC1556.04c_pep
OG0001988	YLR246W	SPBC3H7.09_pep
OG0001989	YLR247C	SPAC144.05_pep
OG0001990	YLR250W	SPCC613.03_pep
OG0001991	YLR253W	SPBC15C4.02_pep
OG0001992	YLR259C	SPAC12G12.04_pep
OG0001993	YLR262C	SPAC4C5.02c_pep
OG0001994	YLR268W	SPBC2A9.08c_pep
OG0001995	YLR271W	SPAC6F6.19_pep
OG0001996	YLR272C	SPBC776.13_pep
OG0001997	YLR274W	SPAC1B2.05_pep
OG0001998	YLR275W	SPAC2C4.03c_pep
OG0001999	YLR276C	SPCC1494.06c_pep
OG0002000	YLR277C	SPAC17G6.16c_pep
OG0002001	YLR281C	SPBC1105.18c_pep
OG0002002	YLR285W	SPAC8F11.09c_pep
OG0002003	YLR286C	SPAPB1E7.04c_pep
OG0002004	YLR289W	SPAC1B3.04c_pep
OG0002005	YLR290C	SPCC1840.09_pep
OG0002006	YLR291C	SPAC343.14c_pep
OG0002007	YLR293C	SPBC1289.03c_pep
OG0002008	YLR298C	SPBP35G2.09_pep
OG0002009	YLR303W	SPBC428.11_pep
OG0002010	YLR304C	SPAC24C9.06c_pep
OG0002011	YLR305C	SPBC577.06c_pep
OG0002012	YLR306W	SPCC777.10c_pep
OG0002013	YLR313C	SPAC3G9.05_pep
OG0002014	YLR314C	SPAC4F10.11_pep
OG0002015	YLR316C	SPAP27G11.04c_pep
OG0002016	YLR318W	SPBC29A3.14c_pep
OG0002017	YLR319C	SPAC15A10.16_pep
OG0002018	YLR321C	SPCC16A11.14_pep
OG0002019	YLR323C	SPBC13E7.02_pep
OG0002020	YLR330W	SPAC6G9.12_pep
OG0002021	YLR336C	SPAC24C9.11_pep
OG0002022	YLR337C	SPBC13E7.09_pep
