	Debaryomyces_hansenii	Saccharomyces_cerevisiae
OG0002872	augustus_masked-Deha2F-processed-gene-20.76-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-20.76&CDS=1-2094	YJR005W
OG0002873	augustus_masked-Deha2F-processed-gene-20.95-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-20.95&CDS=1-3561	YDR291W
OG0002874	augustus_masked-Deha2F-processed-gene-20.77-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-20.77&CDS=1-4134	YBR056W
OG0002875	augustus_masked-Deha2F-processed-gene-20.96-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-20.96&CDS=1-600	YDR067C
OG0002876	augustus_masked-Deha2F-processed-gene-20.97-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-20.97&CDS=1-1671	YDR062W
OG0002877	augustus_masked-Deha2F-processed-gene-20.98-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-20.98&CDS=1-1638	YDR061W
OG0002878	augustus_masked-Deha2F-processed-gene-20.78-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-20.78&CDS=1-1041	YDR068W
OG0002879	maker-Deha2F-augustus-gene-20.107-mRNA-1_1&gene=maker-Deha2F-augustus-gene-20.107&CDS=1-2493	YLR006C
OG0002880	augustus_masked-Deha2F-processed-gene-20.80-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-20.80&CDS=1-1344	YER143W
OG0002881	maker-Deha2F-augustus-gene-20.111-mRNA-1_1&gene=maker-Deha2F-augustus-gene-20.111&CDS=1-2757	YER136W
OG0002882	augustus_masked-Deha2F-processed-gene-20.82-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-20.82&CDS=1-1539	YFR005C
OG0002883	augustus_masked-Deha2F-processed-gene-21.101-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.101&CDS=1-1020	YHR083W
OG0002884	maker-Deha2F-augustus-gene-21.52-mRNA-1_1&gene=maker-Deha2F-augustus-gene-21.52&CDS=1-1911	YEL056W
OG0002885	augustus_masked-Deha2F-processed-gene-21.103-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.103&CDS=1-2595	YPR003C
OG0002886	augustus_masked-Deha2F-processed-gene-21.99-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.99&CDS=1-993	YPR004C
OG0002887	augustus_masked-Deha2F-processed-gene-21.104-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.104&CDS=1-2994	YKL015W
OG0002888	augustus_masked-Deha2F-processed-gene-21.106-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.106&CDS=1-2265	YKL017C
OG0002889	augustus_masked-Deha2F-processed-gene-21.123-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.123&CDS=1-5454	YKL014C
OG0002890	snap_masked-Deha2F-processed-gene-21.82-mRNA-1_1&gene=snap_masked-Deha2F-processed-gene-21.82&CDS=1-510	YPL059W
OG0002891	snap_masked-Deha2F-processed-gene-21.83-mRNA-1_1&gene=snap_masked-Deha2F-processed-gene-21.83&CDS=1-3894	YOL075C
OG0002892	augustus_masked-Deha2F-processed-gene-21.126-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.126&CDS=1-1032	YDR072C
OG0002893	augustus_masked-Deha2F-processed-gene-21.127-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.127&CDS=1-525	YKL016C
OG0002894	augustus_masked-Deha2F-processed-gene-21.109-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.109&CDS=1-3144	YBL037W
OG0002895	augustus_masked-Deha2F-processed-gene-21.111-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.111&CDS=1-1299	YGR169C
OG0002896	augustus_masked-Deha2F-processed-gene-21.129-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.129&CDS=1-1119	YKL018W
OG0002897	augustus_masked-Deha2F-processed-gene-21.112-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.112&CDS=1-3303	YJL020C
OG0002898	augustus_masked-Deha2F-processed-gene-21.113-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.113&CDS=1-2970	YBR086C
OG0002899	augustus_masked-Deha2F-processed-gene-21.130-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.130&CDS=1-747	YBL036C
OG0002900	augustus_masked-Deha2F-processed-gene-21.114-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.114&CDS=1-906	YDL051W
OG0002901	augustus_masked-Deha2F-processed-gene-21.115-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.115&CDS=1-2106	YBL035C
OG0002902	augustus_masked-Deha2F-processed-gene-21.116-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.116&CDS=1-7812	YDR331W
OG0002903	augustus_masked-Deha2F-processed-gene-21.131-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.131&CDS=1-1734	YHR084W
OG0002904	augustus_masked-Deha2F-processed-gene-21.132-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.132&CDS=1-2592	YHR082C
OG0002905	augustus_masked-Deha2F-processed-gene-21.118-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.118&CDS=1-1479	YDR330W
OG0002906	augustus_masked-Deha2F-processed-gene-21.134-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.134&CDS=1-492	YDR328C
OG0002907	augustus_masked-Deha2F-processed-gene-21.135-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.135&CDS=1-1260	YDR329C
OG0002908	maker-Deha2F-augustus-gene-21.51-mRNA-1_1&gene=maker-Deha2F-augustus-gene-21.51&CDS=1-396	YHR079C-A
OG0002909	augustus_masked-Deha2F-processed-gene-21.136-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.136&CDS=1-2397	YGL234W
OG0002910	augustus_masked-Deha2F-processed-gene-21.137-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.137&CDS=1-1092	YMR024W
OG0002911	augustus_masked-Deha2F-processed-gene-21.138-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.138&CDS=1-1341	YDR414C
OG0002912	augustus_masked-Deha2F-processed-gene-21.139-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.139&CDS=1-801	YDR412W
OG0002913	augustus_masked-Deha2F-processed-gene-21.121-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.121&CDS=1-612	YHR081W
OG0002914	augustus_masked-Deha2F-processed-gene-21.140-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.140&CDS=1-3585	YHR079C
OG0002915	augustus_masked-Deha2F-processed-gene-22.59-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.59&CDS=1-912	YLR003C
OG0002916	augustus_masked-Deha2F-processed-gene-22.56-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.56&CDS=1-2070	YGL236C
OG0002917	augustus_masked-Deha2F-processed-gene-22.57-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.57&CDS=1-1164	YFR045W
OG0002918	augustus_masked-Deha2F-processed-gene-22.61-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.61&CDS=1-864	YFR027W
OG0002919	augustus_masked-Deha2F-processed-gene-22.58-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.58&CDS=1-900	YFR047C
OG0002920	augustus_masked-Deha2F-processed-gene-22.62-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.62&CDS=1-1167	YGL240W
OG0002921	augustus_masked-Deha2F-processed-gene-22.81-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.81&CDS=1-2286	YJL101C
OG0002922	augustus_masked-Deha2F-processed-gene-22.65-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.65&CDS=1-744	YGL237C
OG0002923	augustus_masked-Deha2F-processed-gene-22.82-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.82&CDS=1-2979	YGL238W
OG0002924	augustus_masked-Deha2F-processed-gene-22.83-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.83&CDS=1-990	YGL225W
OG0002925	augustus_masked-Deha2F-processed-gene-22.84-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.84&CDS=1-1584	YMR300C
OG0002926	augustus_masked-Deha2F-processed-gene-22.85-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.85&CDS=1-1548	YDL160C
OG0002927	augustus_masked-Deha2F-processed-gene-22.67-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.67&CDS=1-3153	YNL163C
OG0002928	augustus_masked-Deha2F-processed-gene-22.68-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.68&CDS=1-1449	YNL164C
OG0002929	augustus_masked-Deha2F-processed-gene-22.86-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.86&CDS=1-2073	YGR276C
OG0002930	augustus_masked-Deha2F-processed-gene-22.70-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.70&CDS=1-3414	YGR274C
OG0002931	augustus_masked-Deha2F-processed-gene-22.88-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.88&CDS=1-1632	YJL103C
OG0002932	augustus_masked-Deha2F-processed-gene-22.89-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.89&CDS=1-1602	YIL162W
OG0002933	maker-Deha2F-augustus-gene-22.103-mRNA-1_1&gene=maker-Deha2F-augustus-gene-22.103&CDS=1-3318	YBR293W
OG0002934	augustus_masked-Deha2G-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-0.32&CDS=1-1497	YLR004C
OG0002935	augustus_masked-Deha2G-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-0.10&CDS=1-489	YBR137W
OG0002936	augustus_masked-Deha2G-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-0.33&CDS=1-1539	YDR539W
OG0002937	augustus_masked-Deha2G-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-0.11&CDS=1-696	YDR538W
OG0002938	augustus_masked-Deha2G-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-0.34&CDS=1-2319	YLR144C
OG0002939	augustus_masked-Deha2G-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-0.36&CDS=1-1635	YNL189W
OG0002940	snap_masked-Deha2G-processed-gene-0.64-mRNA-1_1&gene=snap_masked-Deha2G-processed-gene-0.64&CDS=1-696	YHR140W
OG0002941	augustus_masked-Deha2G-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-0.16&CDS=1-1455	YHR132C
OG0002942	maker-Deha2G-augustus-gene-0.95-mRNA-1_1&gene=maker-Deha2G-augustus-gene-0.95&CDS=1-501	YDL219W
OG0002943	augustus_masked-Deha2G-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-0.40&CDS=1-1671	YHR134W
OG0002944	augustus_masked-Deha2G-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-0.41&CDS=1-1626	YPL214C
OG0002945	augustus_masked-Deha2G-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.85&CDS=1-3318	YGR047C
OG0002946	augustus_masked-Deha2G-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.83&CDS=1-4596	YOR336W
OG0002947	augustus_masked-Deha2G-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.84&CDS=1-1851	YGL125W
OG0002948	augustus_masked-Deha2G-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.99&CDS=1-1545	YPL196W
OG0002949	augustus_masked-Deha2G-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.86&CDS=1-1611	YPL194W
OG0002950	augustus_masked-Deha2G-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.100&CDS=1-339	YGL080W
OG0002951	augustus_masked-Deha2G-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.102&CDS=1-1827	YMR013C
OG0002952	augustus_masked-Deha2G-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.103&CDS=1-3348	YPL195W
OG0002953	augustus_masked-Deha2G-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.104&CDS=1-2205	YIL108W
OG0002954	augustus_masked-Deha2G-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.89&CDS=1-5430	YJL074C
OG0002955	genemark-Deha2G-processed-gene-1.27-mRNA-1_1&gene=genemark-Deha2G-processed-gene-1.27&CDS=1-819	YPL193W
OG0002956	augustus_masked-Deha2G-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.106&CDS=1-1380	YDR023W
OG0002957	augustus_masked-Deha2G-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.92&CDS=1-1359	YDR030C
OG0002958	augustus_masked-Deha2G-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.109&CDS=1-3591	YPL217C
OG0002959	augustus_masked-Deha2G-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.114&CDS=1-297	YMR286W
OG0002960	augustus_masked-Deha2G-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.96&CDS=1-3393	YOR349W
OG0002961	augustus_masked-Deha2G-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.116&CDS=1-3384	YJL089W
OG0002962	augustus_masked-Deha2G-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-1.117&CDS=1-2022	YMR108W
OG0002963	genemark-Deha2G-processed-gene-2.105-mRNA-1_1&gene=genemark-Deha2G-processed-gene-2.105&CDS=1-1104	YDR282C
OG0002964	augustus_masked-Deha2G-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.0&CDS=1-2091	YKL104C
OG0002965	augustus_masked-Deha2G-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.4&CDS=1-216	YIL156W-B
OG0002966	genemark-Deha2G-processed-gene-2.102-mRNA-1_1&gene=genemark-Deha2G-processed-gene-2.102&CDS=1-1710	YKL139W
OG0002967	augustus_masked-Deha2G-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.2&CDS=1-1320	YER020W
OG0002968	genemark-Deha2G-processed-gene-2.129-mRNA-1_1&gene=genemark-Deha2G-processed-gene-2.129&CDS=1-2493	YML017W
OG0002969	augustus_masked-Deha2G-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.29&CDS=1-1563	YKL103C
OG0002970	augustus_masked-Deha2G-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.30&CDS=1-1134	YHR068W
OG0002971	genemark-Deha2G-processed-gene-2.133-mRNA-1_1&gene=genemark-Deha2G-processed-gene-2.133&CDS=1-1443	YML007W
OG0002972	augustus_masked-Deha2G-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.6&CDS=1-1368	YMR027W
OG0002973	augustus_masked-Deha2G-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.33&CDS=1-372	YKL058W
OG0002974	augustus_masked-Deha2G-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.7&CDS=1-1164	YMR028W
OG0002975	augustus_masked-Deha2G-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.8&CDS=1-1449	YKL059C
OG0002976	augustus_masked-Deha2G-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.10&CDS=1-1287	YOR303W
OG0002977	augustus_masked-Deha2G-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.35&CDS=1-1131	YGL211W
OG0002978	augustus_masked-Deha2G-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.36&CDS=1-2556	YMR309C
OG0002979	augustus_masked-Deha2G-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.37&CDS=1-1341	YLR097C
OG0002980	augustus_masked-Deha2G-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.15&CDS=1-1353	YLR195C
OG0002981	augustus_masked-Deha2G-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.16&CDS=1-1722	YLR196W
OG0002982	augustus_masked-Deha2G-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.40&CDS=1-1827	YER036C
OG0002983	augustus_masked-Deha2G-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.17&CDS=1-6615	YFL007W
OG0002984	maker-Deha2G-snap-gene-2.153-mRNA-1_1&gene=maker-Deha2G-snap-gene-2.153&CDS=1-1179	YGR058W
OG0002985	maker-Deha2G-snap-gene-2.150-mRNA-1_1&gene=maker-Deha2G-snap-gene-2.150&CDS=1-1125	YLR363C
OG0002986	augustus_masked-Deha2G-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.22&CDS=1-1092	YMR228W
OG0002987	maker-Deha2G-augustus-gene-2.49-mRNA-1_1&gene=maker-Deha2G-augustus-gene-2.49&CDS=1-2226	YMR061W
OG0002988	augustus_masked-Deha2G-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.23&CDS=1-1074	YMR060C
OG0002989	augustus_masked-Deha2G-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.24&CDS=1-1383	YKL077W
OG0002990	augustus_masked-Deha2G-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.25&CDS=1-1458	YKL175W
OG0002991	augustus_masked-Deha2G-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.27&CDS=1-1215	YMR243C
OG0002992	augustus_masked-Deha2G-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.58&CDS=1-5148	YMR229C
OG0002993	maker-Deha2G-augustus-gene-3.106-mRNA-1_1&gene=maker-Deha2G-augustus-gene-3.106&CDS=1-2538	YKL033W-A
OG0002994	augustus_masked-Deha2G-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.85&CDS=1-960	YHL011C
OG0002995	augustus_masked-Deha2G-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.86&CDS=1-1590	YMR227C
OG0002996	augustus_masked-Deha2G-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.60&CDS=1-4140	YOR291W
OG0002997	augustus_masked-Deha2G-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.62&CDS=1-345	YER072W
OG0002998	augustus_masked-Deha2G-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.63&CDS=1-1707	YKL047W
OG0002999	augustus_masked-Deha2G-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.64&CDS=1-2445	YGR178C
OG0003000	augustus_masked-Deha2G-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.65&CDS=1-2517	YIL068C
OG0003001	augustus_masked-Deha2G-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.87&CDS=1-996	YKL095W
OG0003002	augustus_masked-Deha2G-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.66&CDS=1-1389	YJL025W
OG0003003	augustus_masked-Deha2G-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.69&CDS=1-936	YGR208W
OG0003004	augustus_masked-Deha2G-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.91&CDS=1-852	YMR289W
OG0003005	augustus_masked-Deha2G-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.92&CDS=1-870	YCL031C
OG0003006	augustus_masked-Deha2G-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.70&CDS=1-3039	YDR395W
OG0003007	augustus_masked-Deha2G-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.71&CDS=1-1083	YGR048W
OG0003008	augustus_masked-Deha2G-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.93&CDS=1-627	YDR399W
OG0003009	augustus_masked-Deha2G-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.72&CDS=1-2766	YKL073W
OG0003010	maker-Deha2G-augustus-gene-3.103-mRNA-1_1&gene=maker-Deha2G-augustus-gene-3.103&CDS=1-1908	YKL074C
OG0003011	genemark-Deha2G-processed-gene-3.47-mRNA-1_1&gene=genemark-Deha2G-processed-gene-3.47&CDS=1-1044	YMR055C
OG0003012	snap_masked-Deha2G-processed-gene-3.127-mRNA-1_1&gene=snap_masked-Deha2G-processed-gene-3.127&CDS=1-276	YER074W-A
OG0003013	augustus_masked-Deha2G-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.95&CDS=1-435	YDR397C
OG0003014	augustus_masked-Deha2G-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.74&CDS=1-2034	YDR398W
OG0003015	augustus_masked-Deha2G-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.75&CDS=1-1605	YOR149C
OG0003016	augustus_masked-Deha2G-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.96&CDS=1-1248	YDR394W
OG0003017	augustus_masked-Deha2G-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.97&CDS=1-1386	YDR393W
OG0003018	augustus_masked-Deha2G-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.100&CDS=1-2823	YOR005C
OG0003019	augustus_masked-Deha2G-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.77&CDS=1-1278	YJL026W
OG0003020	augustus_masked-Deha2G-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.78&CDS=1-999	YOR006C
OG0003021	augustus_masked-Deha2G-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.102&CDS=1-858	YLR192C
OG0003022	snap_masked-Deha2G-processed-gene-3.139-mRNA-1_1&gene=snap_masked-Deha2G-processed-gene-3.139&CDS=1-1599	YHR109W
OG0003023	augustus_masked-Deha2G-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.4&CDS=1-2559	YER075C
OG0003024	augustus_masked-Deha2G-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.5&CDS=1-1470	YOR023C
OG0003025	augustus_masked-Deha2G-processed-gene-4.0-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.0&CDS=1-744	YDR472W
OG0003026	augustus_masked-Deha2G-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.1&CDS=1-645	YHR013C
OG0003027	augustus_masked-Deha2G-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.7&CDS=1-765	YOR145C
OG0003028	augustus_masked-Deha2G-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.3&CDS=1-3225	YOR144C
OG0003029	augustus_masked-Deha2G-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.28&CDS=1-981	YDR392W
OG0003030	augustus_masked-Deha2G-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.29&CDS=1-693	YDR468C
OG0003031	augustus_masked-Deha2G-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.9&CDS=1-417	YDR469W
OG0003032	augustus_masked-Deha2G-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.10&CDS=1-1617	YDR470C
OG0003033	augustus_masked-Deha2G-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.11&CDS=1-1560	YOR132W
OG0003034	augustus_masked-Deha2G-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.30&CDS=1-684	YHR008C
OG0003035	augustus_masked-Deha2G-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.31&CDS=1-600	YKR035W-A
OG0003036	augustus_masked-Deha2G-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.12&CDS=1-510	YBL107C
OG0003037	augustus_masked-Deha2G-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.13&CDS=1-2382	YKL134C
OG0003038	augustus_masked-Deha2G-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.35&CDS=1-1575	YBR288C
OG0003039	augustus_masked-Deha2G-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.36&CDS=1-1854	YMR058W
OG0003040	augustus_masked-Deha2G-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.16&CDS=1-1326	YGR110W
OG0003041	maker-Deha2G-snap-gene-4.149-mRNA-1_1&gene=maker-Deha2G-snap-gene-4.149&CDS=1-3006	YPR066W
OG0003042	augustus_masked-Deha2G-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.38&CDS=1-270	YOR159C
OG0003043	maker-Deha2G-augustus-gene-4.43-mRNA-1_1&gene=maker-Deha2G-augustus-gene-4.43&CDS=1-2850	YDR386W
OG0003044	augustus_masked-Deha2G-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.19&CDS=1-1980	YML031W
OG0003045	augustus_masked-Deha2G-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.39&CDS=1-2013	YDR456W
OG0003046	augustus_masked-Deha2G-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.20&CDS=1-1329	YOR307C
OG0003047	augustus_masked-Deha2G-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.40&CDS=1-924	YMR241W
OG0003048	genemark-Deha2G-processed-gene-4.145-mRNA-1_1&gene=genemark-Deha2G-processed-gene-4.145&CDS=1-744	YDR410C
OG0003049	augustus_masked-Deha2G-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.41&CDS=1-528	YLR370C
OG0003050	augustus_masked-Deha2G-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-4.23&CDS=1-966	YLR372W
