	Nakaseomyces_nivariensis	Saccharomyces_cerevisiae
OG0003199	snap_masked-CANI0S19-processed-gene-8.98-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-8.98&CDS=1-453	YOR298C-A
OG0003200	snap_masked-CANI0S19-processed-gene-8.81-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-8.81&CDS=1-609	YMR236W
OG0003201	snap_masked-CANI0S19-processed-gene-8.82-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-8.82&CDS=1-2199	YMR237W
OG0003202	snap_masked-CANI0S19-processed-gene-8.83-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-8.83&CDS=1-1335	YMR238W
OG0003203	snap_masked-CANI0S19-processed-gene-8.99-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-8.99&CDS=1-1377	YMR239C
OG0003204	augustus_masked-CANI0S19-processed-gene-8.65-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-8.65&CDS=1-1362	YMR240C
OG0003205	augustus_masked-CANI0S19-processed-gene-8.48-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-8.48&CDS=1-921	YMR241W
OG0003206	snap_masked-CANI0S19-processed-gene-8.103-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-8.103&CDS=1-1365	YMR243C
OG0003207	augustus_masked-CANI0S19-processed-gene-8.49-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-8.49&CDS=1-972	YMR244W
OG0003208	snap_masked-CANI0S19-processed-gene-8.104-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-8.104&CDS=1-924	YCR021C
OG0003209	snap_masked-CANI0S19-processed-gene-8.105-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-8.105&CDS=1-267	YMR244C-A
OG0003210	snap_masked-CANI0S19-processed-gene-8.86-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-8.86&CDS=1-2454	YML006C
OG0003211	augustus_masked-CANI0S19-processed-gene-8.70-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-8.70&CDS=1-1812	YML007W
OG0003212	snap_masked-CANI0S19-processed-gene-8.87-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-8.87&CDS=1-1116	YML008C
OG0003213	snap_masked-CANI0S19-processed-gene-8.106-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-8.106&CDS=1-828	YDR429C
OG0003214	augustus_masked-CANI0S19-processed-gene-8.53-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-8.53&CDS=1-210	YML009C
OG0003215	snap_masked-CANI0S19-processed-gene-8.107-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-8.107&CDS=1-2982	YML010W
OG0003216	augustus_masked-CANI0S19-processed-gene-8.54-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-8.54&CDS=1-525	YML011C
OG0003217	snap_masked-CANI0S19-processed-gene-8.108-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-8.108&CDS=1-627	YML012W
OG0003218	augustus_masked-CANI0S19-processed-gene-9.112-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-9.112&CDS=1-1158	YDR432W
OG0003219	augustus_masked-CANI0S19-processed-gene-9.114-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-9.114&CDS=1-1971	YML013W
OG0003220	snap_masked-CANI0S19-processed-gene-9.5-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.5&CDS=1-801	YML014W
OG0003221	snap_masked-CANI0S19-processed-gene-9.2-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.2&CDS=1-1056	YML015C
OG0003222	augustus_masked-CANI0S19-processed-gene-9.143-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-9.143&CDS=1-654	YLR376C
OG0003223	augustus_masked-CANI0S19-processed-gene-9.117-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-9.117&CDS=1-903	YDR088C
OG0003224	snap_masked-CANI0S19-processed-gene-9.9-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.9&CDS=1-1437	YLR378C
OG0003225	augustus_masked-CANI0S19-processed-gene-9.145-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-9.145&CDS=1-2700	YLR382C
OG0003226	snap_masked-CANI0S19-processed-gene-9.12-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.12&CDS=1-3294	YLR383W
OG0003227	snap_masked-CANI0S19-processed-gene-9.41-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.41&CDS=1-3996	YLR384C
OG0003228	snap_masked-CANI0S19-processed-gene-9.42-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.42&CDS=1-396	YLR385C
OG0003229	augustus_masked-CANI0S19-processed-gene-9.122-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-9.122&CDS=1-2649	YLR386W
OG0003230	augustus_masked-CANI0S19-processed-gene-9.148-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-9.148&CDS=1-486	YDR155C
OG0003231	augustus_masked-CANI0S19-processed-gene-9.123-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-9.123&CDS=1-231	YDR156W
OG0003232	snap_masked-CANI0S19-processed-gene-9.15-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.15&CDS=1-1074	YDR158W
OG0003233	augustus_masked-CANI0S19-processed-gene-9.125-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-9.125&CDS=1-3612	YDR159W
OG0003234	maker-CANI0S19-augustus-gene-9.56-mRNA-1_1&gene=maker-CANI0S19-augustus-gene-9.56&CDS=1-3657	YDR160W
OG0003235	snap_masked-CANI0S19-processed-gene-9.43-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.43&CDS=1-567	YDR162C
OG0003236	snap_masked-CANI0S19-processed-gene-9.18-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.18&CDS=1-453	YDR163W
OG0003237	snap_masked-CANI0S19-processed-gene-9.44-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.44&CDS=1-2091	YDR164C
OG0003238	snap_masked-CANI0S19-processed-gene-9.19-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.19&CDS=1-1266	YDR165W
OG0003239	snap_masked-CANI0S19-processed-gene-9.45-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.45&CDS=1-2955	YDR166C
OG0003240	snap_masked-CANI0S19-processed-gene-9.20-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.20&CDS=1-594	YDR167W
OG0003241	augustus_masked-CANI0S19-processed-gene-9.130-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-9.130&CDS=1-1584	YDR168W
OG0003242	augustus_masked-CANI0S19-processed-gene-9.152-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-9.152&CDS=1-1368	YDR169C
OG0003243	snap_masked-CANI0S19-processed-gene-9.24-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.24&CDS=1-801	YLR150W
OG0003244	snap_masked-CANI0S19-processed-gene-9.46-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.46&CDS=1-5676	YDR170C
OG0003245	snap_masked-CANI0S19-processed-gene-9.25-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.25&CDS=1-1110	YDR171W
OG0003246	snap_masked-CANI0S19-processed-gene-9.26-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.26&CDS=1-2076	YDR172W
OG0003247	snap_masked-CANI0S19-processed-gene-9.47-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.47&CDS=1-999	YDR173C
OG0003248	snap_masked-CANI0S19-processed-gene-9.27-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.27&CDS=1-810	YDR174W
OG0003249	snap_masked-CANI0S19-processed-gene-9.48-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.48&CDS=1-921	YDR175C
OG0003250	snap_masked-CANI0S19-processed-gene-9.28-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.28&CDS=1-2430	YDR176W
OG0003251	snap_masked-CANI0S19-processed-gene-9.29-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.29&CDS=1-639	YDR177W
OG0003252	snap_masked-CANI0S19-processed-gene-9.30-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.30&CDS=1-1425	YCR079W
OG0003253	augustus_masked-CANI0S19-processed-gene-9.137-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-9.137&CDS=1-4377	YCR081W
OG0003254	snap_masked-CANI0S19-processed-gene-9.33-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.33&CDS=1-411	YCR083W
OG0003255	snap_masked-CANI0S19-processed-gene-9.34-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.34&CDS=1-546	YCR086W
OG0003256	augustus_masked-CANI0S19-processed-gene-9.157-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-9.157&CDS=1-438	YCR087C-A
OG0003257	snap_masked-CANI0S19-processed-gene-9.51-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.51&CDS=1-558	YCR090C
OG0003258	augustus_masked-CANI0S19-processed-gene-9.159-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-9.159&CDS=1-3102	YCR092C
OG0003259	snap_masked-CANI0S19-processed-gene-9.35-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.35&CDS=1-6192	YCR093W
OG0003260	snap_masked-CANI0S19-processed-gene-9.53-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.53&CDS=1-1107	YCR095C
OG0003261	snap_masked-CANI0S19-processed-gene-9.54-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.54&CDS=1-1833	YLR188W
OG0003262	genemark-CANI0S20-processed-gene-0.33-mRNA-1_1&gene=genemark-CANI0S20-processed-gene-0.33&CDS=1-3057	YDL240W
OG0003263	snap_masked-CANI0S20-processed-gene-0.85-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.85&CDS=1-1446	YDL238C
OG0003264	snap_masked-CANI0S20-processed-gene-0.71-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.71&CDS=1-1230	YDL237W
OG0003265	snap_masked-CANI0S20-processed-gene-0.72-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.72&CDS=1-927	YDL236W
OG0003266	snap_masked-CANI0S20-processed-gene-0.86-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.86&CDS=1-2244	YDL234C
OG0003267	snap_masked-CANI0S20-processed-gene-0.87-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.87&CDS=1-3399	YDL231C
OG0003268	snap_masked-CANI0S20-processed-gene-0.73-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.73&CDS=1-1011	YDL230W
OG0003269	augustus_masked-CANI0S20-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-0.15&CDS=1-1746	YDL227C
OG0003270	snap_masked-CANI0S20-processed-gene-0.88-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.88&CDS=1-1083	YDL226C
OG0003271	augustus_masked-CANI0S20-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-0.5&CDS=1-1593	YDL225W
OG0003272	augustus_masked-CANI0S20-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-0.20&CDS=1-843	YDL222C
OG0003273	snap_masked-CANI0S20-processed-gene-0.91-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.91&CDS=1-2478	YDL220C
OG0003274	snap_masked-CANI0S20-processed-gene-0.77-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.77&CDS=1-456	YDL219W
OG0003275	snap_masked-CANI0S20-processed-gene-0.78-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.78&CDS=1-774	YDL218W
OG0003276	augustus_masked-CANI0S20-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-0.22&CDS=1-1950	YDL217C
OG0003277	snap_masked-CANI0S20-processed-gene-0.94-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.94&CDS=1-3306	YDL215C
OG0003278	snap_masked-CANI0S20-processed-gene-0.96-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.96&CDS=1-633	YDL213C
OG0003279	snap_masked-CANI0S20-processed-gene-0.79-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.79&CDS=1-633	YDL212W
OG0003280	augustus_masked-CANI0S20-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-0.8&CDS=1-921	YHR144C
OG0003281	augustus_masked-CANI0S20-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-0.29&CDS=1-1128	YHR143W-A
OG0003282	augustus_masked-CANI0S20-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-0.30&CDS=1-936	YHR142W
OG0003283	snap_masked-CANI0S20-processed-gene-0.102-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.102&CDS=1-717	YHR140W
OG0003284	snap_masked-CANI0S20-processed-gene-0.83-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.83&CDS=1-360	YHR138C
OG0003285	snap_masked-CANI0S20-processed-gene-0.103-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-0.103&CDS=1-1512	YHR137W
OG0003286	augustus_masked-CANI0S20-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-1.53&CDS=1-1365	YHR132C
OG0003287	snap_masked-CANI0S20-processed-gene-1.103-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.103&CDS=1-411	YHR132W-A
OG0003288	augustus_masked-CANI0S20-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-1.51&CDS=1-828	YHR134W
OG0003289	augustus_masked-CANI0S20-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-1.56&CDS=1-1107	YHR017W
OG0003290	snap_masked-CANI0S20-processed-gene-1.129-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.129&CDS=1-1647	YHR019C
OG0003291	snap_masked-CANI0S20-processed-gene-1.107-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.107&CDS=1-2028	YHR020W
OG0003292	snap_masked-CANI0S20-processed-gene-1.130-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.130&CDS=1-2310	YOR018W
OG0003293	augustus_masked-CANI0S20-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-1.58&CDS=1-2070	YOL025W
OG0003294	augustus_masked-CANI0S20-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-1.59&CDS=1-363	YFR017C
OG0003295	snap_masked-CANI0S20-processed-gene-1.110-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.110&CDS=1-2037	YOL023W
OG0003296	snap_masked-CANI0S20-processed-gene-1.132-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.132&CDS=1-1239	YOL022C
OG0003297	augustus_masked-CANI0S20-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-1.83&CDS=1-3018	YOL021C
OG0003298	augustus_masked-CANI0S20-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-1.61&CDS=1-1974	YMR163C
OG0003299	augustus_masked-CANI0S20-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-1.62&CDS=1-894	YLR208W
OG0003300	augustus_masked-CANI0S20-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-1.84&CDS=1-930	YLR209C
OG0003301	snap_masked-CANI0S20-processed-gene-1.135-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.135&CDS=1-2388	YDL148C
OG0003302	snap_masked-CANI0S20-processed-gene-1.136-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.136&CDS=1-669	YLR211C
OG0003303	snap_masked-CANI0S20-processed-gene-1.137-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.137&CDS=1-1389	YLR212C
OG0003304	snap_masked-CANI0S20-processed-gene-1.138-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.138&CDS=1-1488	YLR213C
OG0003305	snap_masked-CANI0S20-processed-gene-1.139-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.139&CDS=1-1068	YLR215C
OG0003306	snap_masked-CANI0S20-processed-gene-1.140-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.140&CDS=1-1113	YLR216C
OG0003307	snap_masked-CANI0S20-processed-gene-1.141-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.141&CDS=1-270	YLR218C
OG0003308	snap_masked-CANI0S20-processed-gene-1.113-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.113&CDS=1-3834	YDL195W
OG0003309	augustus_masked-CANI0S20-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-1.89&CDS=1-2844	YDL190C
OG0003310	snap_masked-CANI0S20-processed-gene-1.118-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.118&CDS=1-1779	YDL189W
OG0003311	snap_masked-CANI0S20-processed-gene-1.143-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.143&CDS=1-597	YDL135C
OG0003312	augustus_masked-CANI0S20-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-1.70&CDS=1-843	YDL186W
OG0003313	snap_masked-CANI0S20-processed-gene-1.120-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.120&CDS=1-1389	YDL133W
OG0003314	snap_masked-CANI0S20-processed-gene-1.121-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.121&CDS=1-2472	YDL132W
OG0003315	augustus_masked-CANI0S20-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-1.74&CDS=1-672	YDL129W
OG0003316	snap_masked-CANI0S20-processed-gene-1.125-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.125&CDS=1-1206	YDL128W
OG0003317	augustus_masked-CANI0S20-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-1.76&CDS=1-900	YDL127W
OG0003318	snap_masked-CANI0S20-processed-gene-1.126-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.126&CDS=1-930	YDL124W
OG0003319	snap_masked-CANI0S20-processed-gene-1.146-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.146&CDS=1-567	YDL123W
OG0003320	snap_masked-CANI0S20-processed-gene-1.127-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.127&CDS=1-690	YPL024W
OG0003321	snap_masked-CANI0S20-processed-gene-1.148-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.148&CDS=1-1947	YPL023C
OG0003322	snap_masked-CANI0S20-processed-gene-2.101-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.101&CDS=1-3204	YPL022W
OG0003323	augustus_masked-CANI0S20-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-2.55&CDS=1-4104	YPL016W
OG0003324	augustus_masked-CANI0S20-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-2.57&CDS=1-903	YDL209C
OG0003325	snap_masked-CANI0S20-processed-gene-2.103-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.103&CDS=1-432	YDL208W
OG0003326	snap_masked-CANI0S20-processed-gene-2.104-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.104&CDS=1-1611	YDL207W
OG0003327	snap_masked-CANI0S20-processed-gene-2.107-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.107&CDS=1-2217	YDL206W
OG0003328	augustus_masked-CANI0S20-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-2.73&CDS=1-987	YDL205C
OG0003329	genemark-CANI0S20-processed-gene-2.24-mRNA-1_1&gene=genemark-CANI0S20-processed-gene-2.24&CDS=1-1878	YDL203C
OG0003330	snap_masked-CANI0S20-processed-gene-2.108-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.108&CDS=1-654	YDL202W
OG0003331	snap_masked-CANI0S20-processed-gene-2.109-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.109&CDS=1-855	YDL201W
OG0003332	snap_masked-CANI0S20-processed-gene-2.125-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.125&CDS=1-621	YDL200C
OG0003333	snap_masked-CANI0S20-processed-gene-2.126-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.126&CDS=1-900	YDL198C
OG0003334	snap_masked-CANI0S20-processed-gene-2.110-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.110&CDS=1-1473	YBR126C
OG0003335	snap_masked-CANI0S20-processed-gene-2.111-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.111&CDS=1-1203	YBR125C
OG0003336	snap_masked-CANI0S20-processed-gene-2.127-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.127&CDS=1-552	YBR122C
OG0003337	snap_masked-CANI0S20-processed-gene-2.128-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.128&CDS=1-1866	YBR123C
OG0003338	snap_masked-CANI0S20-processed-gene-2.112-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.112&CDS=1-849	YNL055C
OG0003339	snap_masked-CANI0S20-processed-gene-2.114-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.114&CDS=1-1770	YNL065W
OG0003340	snap_masked-CANI0S20-processed-gene-2.129-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.129&CDS=1-1227	YNL064C
OG0003341	snap_masked-CANI0S20-processed-gene-2.115-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.115&CDS=1-852	YNL063W
OG0003342	snap_masked-CANI0S20-processed-gene-2.130-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.130&CDS=1-1434	YNL062C
OG0003343	snap_masked-CANI0S20-processed-gene-2.116-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.116&CDS=1-1848	YNL061W
OG0003344	snap_masked-CANI0S20-processed-gene-2.131-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.131&CDS=1-2250	YNL059C
OG0003345	snap_masked-CANI0S20-processed-gene-2.132-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.132&CDS=1-1152	YNL058C
OG0003346	snap_masked-CANI0S20-processed-gene-2.117-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.117&CDS=1-525	YNL056W
OG0003347	snap_masked-CANI0S20-processed-gene-2.133-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.133&CDS=1-183	YNL070W
OG0003348	snap_masked-CANI0S20-processed-gene-2.134-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.134&CDS=1-1407	YNL071W
OG0003349	snap_masked-CANI0S20-processed-gene-2.135-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.135&CDS=1-912	YNL072W
OG0003350	snap_masked-CANI0S20-processed-gene-2.136-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.136&CDS=1-1620	YNL073W
OG0003351	snap_masked-CANI0S20-processed-gene-2.137-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.137&CDS=1-864	YNL075W
OG0003352	snap_masked-CANI0S20-processed-gene-2.138-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.138&CDS=1-1941	YNL076W
OG0003353	snap_masked-CANI0S20-processed-gene-2.139-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.139&CDS=1-1476	YNL077W
OG0003354	snap_masked-CANI0S20-processed-gene-2.141-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.141&CDS=1-1008	YGL100W
OG0003355	maker-CANI0S20-snap-gene-2.0-mRNA-1_1&gene=maker-CANI0S20-snap-gene-2.0&CDS=1-447	YGL103W
OG0003356	snap_masked-CANI0S20-processed-gene-2.144-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.144&CDS=1-1125	YGL105W
OG0003357	snap_masked-CANI0S20-processed-gene-2.145-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.145&CDS=1-423	YGL106W
OG0003358	snap_masked-CANI0S20-processed-gene-2.122-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.122&CDS=1-1863	YGL110C
OG0003359	snap_masked-CANI0S20-processed-gene-2.146-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.146&CDS=1-1311	YGL111W
OG0003360	genemark-CANI0S20-processed-gene-2.46-mRNA-1_1&gene=genemark-CANI0S20-processed-gene-2.46&CDS=1-2187	YGL114W
OG0003361	snap_masked-CANI0S20-processed-gene-2.148-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.148&CDS=1-969	YGL115W
OG0003362	snap_masked-CANI0S20-processed-gene-2.149-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.149&CDS=1-1821	YGL116W
OG0003363	snap_masked-CANI0S20-processed-gene-2.151-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.151&CDS=1-1617	YGL112C
OG0003364	snap_masked-CANI0S20-processed-gene-2.152-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.152&CDS=1-1617	YGL119W
OG0003365	snap_masked-CANI0S20-processed-gene-3.2-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-3.2&CDS=1-420	YGL121C
OG0003366	snap_masked-CANI0S20-processed-gene-3.3-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-3.3&CDS=1-1581	YGL122C
OG0003367	snap_masked-CANI0S20-processed-gene-3.4-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-3.4&CDS=1-771	YGL123W
OG0003368	augustus_masked-CANI0S20-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-3.52&CDS=1-1734	YGL124C
OG0003369	snap_masked-CANI0S20-processed-gene-3.5-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-3.5&CDS=1-1800	YGL125W
OG0003370	snap_masked-CANI0S20-processed-gene-3.22-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-3.22&CDS=1-1455	YGL059W
OG0003371	augustus_masked-CANI0S20-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-3.55&CDS=1-594	YGL061C
OG0003372	snap_masked-CANI0S20-processed-gene-3.25-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-3.25&CDS=1-363	YGL127C
OG0003373	augustus_masked-CANI0S20-processed-gene-3.56-mRNA-1_1&gene=augustus_masked-CANI0S20-processed-gene-3.56&CDS=1-1458	YGL058W
OG0003374	snap_masked-CANI0S20-processed-gene-3.8-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-3.8&CDS=1-1488	YGL055W
