	Hanseniaspora_vinae	Saccharomyces_cerevisiae
OG0003108	augustus_masked-JFAV02000281.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-JFAV02000281.1-processed-gene-0.5&CDS=1-1107	YBR087W
OG0003109	augustus_masked-JFAV02000281.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-JFAV02000281.1-processed-gene-0.11&CDS=1-645	YBL038W
OG0003110	augustus_masked-JFAV02000281.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-JFAV02000281.1-processed-gene-0.6&CDS=1-1455	YPR047W
OG0003111	augustus_masked-JFAV02000281.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-JFAV02000281.1-processed-gene-0.7&CDS=1-1836	YPR048W
OG0003112	snap_masked-JFAV02000281.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-JFAV02000281.1-processed-gene-0.24&CDS=1-3417	YPR049C
OG0003113	augustus_masked-JFAV02000281.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-JFAV02000281.1-processed-gene-0.8&CDS=1-558	YPR051W
OG0003114	maker-JFAV02000281.1-augustus-gene-0.26-mRNA-1_1&gene=maker-JFAV02000281.1-augustus-gene-0.26&CDS=1-777	YBR088C
OG0003115	augustus_masked-JFAV02000282.1-processed-gene-0.176-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.176&CDS=1-1500	YOL148C
OG0003116	augustus_masked-JFAV02000282.1-processed-gene-0.177-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.177&CDS=1-741	YOL147C
OG0003117	augustus_masked-JFAV02000282.1-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.146&CDS=1-621	YOL146W
OG0003118	augustus_masked-JFAV02000282.1-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.178&CDS=1-3387	YOL145C
OG0003119	augustus_masked-JFAV02000282.1-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.147&CDS=1-1533	YOL144W
OG0003120	augustus_masked-JFAV02000282.1-processed-gene-0.179-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.179&CDS=1-492	YOL143C
OG0003121	augustus_masked-JFAV02000282.1-processed-gene-0.180-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.180&CDS=1-1296	YNL330C
OG0003122	augustus_masked-JFAV02000282.1-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.181&CDS=1-3354	YNL329C
OG0003123	augustus_masked-JFAV02000282.1-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.182&CDS=1-1020	YNL326C
OG0003124	genemark-JFAV02000282.1-processed-gene-0.10-mRNA-1_1&gene=genemark-JFAV02000282.1-processed-gene-0.10&CDS=1-1029	YLR426W
OG0003125	genemark-JFAV02000282.1-processed-gene-0.11-mRNA-1_1&gene=genemark-JFAV02000282.1-processed-gene-0.11&CDS=1-1554	YNL317W
OG0003126	snap_masked-JFAV02000282.1-processed-gene-0.108-mRNA-1_1&gene=snap_masked-JFAV02000282.1-processed-gene-0.108&CDS=1-2481	YOL136C
OG0003127	augustus_masked-JFAV02000282.1-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.150&CDS=1-717	YOL139C
OG0003128	maker-JFAV02000282.1-snap-gene-0.4-mRNA-1_1&gene=maker-JFAV02000282.1-snap-gene-0.4&CDS=1-3525	YNL321W
OG0003129	augustus_masked-JFAV02000282.1-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.151&CDS=1-1026	YNL322C
OG0003130	augustus_masked-JFAV02000282.1-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.185&CDS=1-1314	YOL140W
OG0003131	augustus_masked-JFAV02000282.1-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.186&CDS=1-1311	YNL323W
OG0003132	snap_masked-JFAV02000282.1-processed-gene-0.78-mRNA-1_1&gene=snap_masked-JFAV02000282.1-processed-gene-0.78&CDS=1-4494	YOL138C
OG0003133	augustus_masked-JFAV02000282.1-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.188&CDS=1-840	YNL320W
OG0003134	augustus_masked-JFAV02000282.1-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.189&CDS=1-621	YOL135C
OG0003135	augustus_masked-JFAV02000282.1-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.153&CDS=1-378	YOL133W
OG0003136	augustus_masked-JFAV02000282.1-processed-gene-0.190-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.190&CDS=1-1080	YNL316C
OG0003137	augustus_masked-JFAV02000282.1-processed-gene-0.191-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.191&CDS=1-975	YNL315C
OG0003138	snap_masked-JFAV02000282.1-processed-gene-0.80-mRNA-1_1&gene=snap_masked-JFAV02000282.1-processed-gene-0.80&CDS=1-1620	YNL314W
OG0003139	snap_masked-JFAV02000282.1-processed-gene-0.81-mRNA-1_1&gene=snap_masked-JFAV02000282.1-processed-gene-0.81&CDS=1-1032	YOL073C
OG0003140	augustus_masked-JFAV02000282.1-processed-gene-0.193-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.193&CDS=1-582	YGR078C
OG0003141	snap_masked-JFAV02000282.1-processed-gene-0.118-mRNA-1_1&gene=snap_masked-JFAV02000282.1-processed-gene-0.118&CDS=1-1104	YOL065C
OG0003142	augustus_masked-JFAV02000282.1-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.157&CDS=1-1758	YOL066C
OG0003143	augustus_masked-JFAV02000282.1-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.158&CDS=1-2628	YDL040C
OG0003144	augustus_masked-JFAV02000282.1-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.159&CDS=1-618	YOL067C
OG0003145	snap_masked-JFAV02000282.1-processed-gene-0.87-mRNA-1_1&gene=snap_masked-JFAV02000282.1-processed-gene-0.87&CDS=1-885	YDL043C
OG0003146	snap_masked-JFAV02000282.1-processed-gene-0.119-mRNA-1_1&gene=snap_masked-JFAV02000282.1-processed-gene-0.119&CDS=1-1443	YOL069W
OG0003147	augustus_masked-JFAV02000282.1-processed-gene-0.162-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.162&CDS=1-1236	YAR018C
OG0003148	augustus_masked-JFAV02000282.1-processed-gene-0.196-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.196&CDS=1-918	YAR015W
OG0003149	augustus_masked-JFAV02000282.1-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.163&CDS=1-2655	YAR014C
OG0003150	augustus_masked-JFAV02000282.1-processed-gene-0.197-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.197&CDS=1-2889	YOL090W
OG0003151	augustus_masked-JFAV02000282.1-processed-gene-0.199-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.199&CDS=1-978	YOL092W
OG0003152	augustus_masked-JFAV02000282.1-processed-gene-0.200-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.200&CDS=1-1065	YOL093W
OG0003153	augustus_masked-JFAV02000282.1-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.164&CDS=1-969	YOL094C
OG0003154	snap_masked-JFAV02000282.1-processed-gene-0.91-mRNA-1_1&gene=snap_masked-JFAV02000282.1-processed-gene-0.91&CDS=1-1635	YDR484W
OG0003155	augustus_masked-JFAV02000282.1-processed-gene-0.166-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.166&CDS=1-1716	YOL095C
OG0003156	augustus_masked-JFAV02000282.1-processed-gene-0.202-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.202&CDS=1-2307	YNL287W
OG0003157	augustus_masked-JFAV02000282.1-processed-gene-0.203-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.203&CDS=1-1032	YNL288W
OG0003158	augustus_masked-JFAV02000282.1-processed-gene-0.205-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.205&CDS=1-927	YNL284C
OG0003159	snap_masked-JFAV02000282.1-processed-gene-0.94-mRNA-1_1&gene=snap_masked-JFAV02000282.1-processed-gene-0.94&CDS=1-693	YNL282W
OG0003160	snap_masked-JFAV02000282.1-processed-gene-0.95-mRNA-1_1&gene=snap_masked-JFAV02000282.1-processed-gene-0.95&CDS=1-6171	YBR023C
OG0003161	maker-JFAV02000282.1-augustus-gene-0.145-mRNA-1_1&gene=maker-JFAV02000282.1-augustus-gene-0.145&CDS=1-1659	YNL290W
OG0003162	augustus_masked-JFAV02000282.1-processed-gene-0.207-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.207&CDS=1-1251	YNL292W
OG0003163	augustus_masked-JFAV02000282.1-processed-gene-0.208-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.208&CDS=1-789	YOL110W
OG0003164	augustus_masked-JFAV02000282.1-processed-gene-0.174-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.174&CDS=1-633	YOL111C
OG0003165	maker-JFAV02000282.1-snap-gene-0.5-mRNA-1_1&gene=maker-JFAV02000282.1-snap-gene-0.5&CDS=1-1992	YNL293W
OG0003166	augustus_masked-JFAV02000284.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.44&CDS=1-1605	YER020W
OG0003167	augustus_masked-JFAV02000284.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.69&CDS=1-1068	YJR107W
OG0003168	augustus_masked-JFAV02000284.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.71&CDS=1-2214	YJR106W
OG0003169	genemark-JFAV02000284.1-processed-gene-0.115-mRNA-1_1&gene=genemark-JFAV02000284.1-processed-gene-0.115&CDS=1-1323	YJR105W
OG0003170	augustus_masked-JFAV02000284.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.45&CDS=1-858	YJR116W
OG0003171	augustus_masked-JFAV02000284.1-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.46&CDS=1-4020	YJR117W
OG0003172	augustus_masked-JFAV02000284.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.47&CDS=1-1557	YER021W
OG0003173	snap_masked-JFAV02000284.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-JFAV02000284.1-processed-gene-0.6&CDS=1-2007	YER022W
OG0003174	augustus_masked-JFAV02000284.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.73&CDS=1-540	YJR118C
OG0003175	augustus_masked-JFAV02000284.1-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.74&CDS=1-2727	YJR119C
OG0003176	augustus_masked-JFAV02000284.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.49&CDS=1-882	YER023W
OG0003177	augustus_masked-JFAV02000284.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.50&CDS=1-1521	YJR121W
OG0003178	snap_masked-JFAV02000284.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-JFAV02000284.1-processed-gene-0.9&CDS=1-1695	YJR122W
OG0003179	augustus_masked-JFAV02000284.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.52&CDS=1-678	YJR123W
OG0003180	augustus_masked-JFAV02000284.1-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.75&CDS=1-1356	YJR124C
OG0003181	augustus_masked-JFAV02000284.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.53&CDS=1-3324	YLR451W
OG0003182	augustus_masked-JFAV02000284.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.54&CDS=1-1563	YER025W
OG0003183	augustus_masked-JFAV02000284.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.76&CDS=1-2184	YLR452C
OG0003184	augustus_masked-JFAV02000284.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.77&CDS=1-2118	YPR161C
OG0003185	augustus_masked-JFAV02000284.1-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.55&CDS=1-1533	YPR162C
OG0003186	augustus_masked-JFAV02000284.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.78&CDS=1-1215	YPR163C
OG0003187	snap_masked-JFAV02000284.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-JFAV02000284.1-processed-gene-0.15&CDS=1-639	YPR165W
OG0003188	augustus_masked-JFAV02000284.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.79&CDS=1-339	YPR166C
OG0003189	augustus_masked-JFAV02000284.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.80&CDS=1-831	YPR167C
OG0003190	snap_masked-JFAV02000284.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-JFAV02000284.1-processed-gene-0.16&CDS=1-504	YPR168W
OG0003191	augustus_masked-JFAV02000284.1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.59&CDS=1-1692	YPR169W
OG0003192	augustus_masked-JFAV02000284.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.60&CDS=1-258	YPR170W-B
OG0003193	snap_masked-JFAV02000284.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-JFAV02000284.1-processed-gene-0.19&CDS=1-1218	YLR455W
OG0003194	augustus_masked-JFAV02000284.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.63&CDS=1-2232	YPR175W
OG0003195	augustus_masked-JFAV02000284.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.83&CDS=1-981	YPR176C
OG0003196	augustus_masked-JFAV02000284.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.64&CDS=1-1359	YPR178W
OG0003197	snap_masked-JFAV02000284.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-JFAV02000284.1-processed-gene-0.40&CDS=1-2205	YPR179C
OG0003198	augustus_masked-JFAV02000284.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.65&CDS=1-1050	YPR180W
OG0003199	augustus_masked-JFAV02000284.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.85&CDS=1-2331	YPR181C
OG0003200	snap_masked-JFAV02000284.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-JFAV02000284.1-processed-gene-0.23&CDS=1-1323	YLR459W
OG0003201	maker-JFAV02000284.1-augustus-gene-0.86-mRNA-1_1&gene=maker-JFAV02000284.1-augustus-gene-0.86&CDS=1-1083	YPR183W
OG0003202	genemark-JFAV02000284.1-processed-gene-0.111-mRNA-1_1&gene=genemark-JFAV02000284.1-processed-gene-0.111&CDS=1-4692	YPR184W
OG0003203	snap_masked-JFAV02000285.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-JFAV02000285.1-processed-gene-0.25&CDS=1-3381	YNL242W
OG0003204	augustus_masked-JFAV02000285.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-JFAV02000285.1-processed-gene-0.53&CDS=1-3153	YDL240W
OG0003205	augustus_masked-JFAV02000285.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-JFAV02000285.1-processed-gene-0.67&CDS=1-1584	YNL241C
OG0003206	snap_masked-JFAV02000285.1-processed-gene-0.41-mRNA-1_1&gene=snap_masked-JFAV02000285.1-processed-gene-0.41&CDS=1-1788	YNL240C
OG0003207	augustus_masked-JFAV02000285.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-JFAV02000285.1-processed-gene-0.54&CDS=1-1452	YNL239W
OG0003208	genemark-JFAV02000285.1-processed-gene-0.4-mRNA-1_1&gene=genemark-JFAV02000285.1-processed-gene-0.4&CDS=1-2505	YNL238W
OG0003209	augustus_masked-JFAV02000285.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-JFAV02000285.1-processed-gene-0.56&CDS=1-1221	YNL237W
OG0003210	snap_masked-JFAV02000285.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-JFAV02000285.1-processed-gene-0.30&CDS=1-2919	YNL236W
OG0003211	snap_masked-JFAV02000285.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-JFAV02000285.1-processed-gene-0.31&CDS=1-3150	YNL233W
OG0003212	augustus_masked-JFAV02000285.1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-JFAV02000285.1-processed-gene-0.59&CDS=1-882	YNL232W
OG0003213	augustus_masked-JFAV02000285.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-JFAV02000285.1-processed-gene-0.69&CDS=1-1047	YNL231C
OG0003214	augustus_masked-JFAV02000285.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-JFAV02000285.1-processed-gene-0.71&CDS=1-1242	YNL229C
OG0003215	augustus_masked-JFAV02000285.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-JFAV02000285.1-processed-gene-0.72&CDS=1-2118	YNL227C
OG0003216	snap_masked-JFAV02000285.1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-JFAV02000285.1-processed-gene-0.47&CDS=1-2367	YNL224C
OG0003217	augustus_masked-JFAV02000285.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-JFAV02000285.1-processed-gene-0.60&CDS=1-1611	YNL223W
OG0003218	augustus_masked-JFAV02000285.1-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-JFAV02000285.1-processed-gene-0.61&CDS=1-663	YNL222W
OG0003219	genemark-JFAV02000285.1-processed-gene-0.21-mRNA-1_1&gene=genemark-JFAV02000285.1-processed-gene-0.21&CDS=1-1572	YDL238C
OG0003220	augustus_masked-JFAV02000285.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-JFAV02000285.1-processed-gene-0.62&CDS=1-1596	YDL237W
OG0003221	snap_masked-JFAV02000285.1-processed-gene-0.49-mRNA-1_1&gene=snap_masked-JFAV02000285.1-processed-gene-0.49&CDS=1-2766	YNL221C
OG0003222	augustus_masked-JFAV02000285.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-JFAV02000285.1-processed-gene-0.63&CDS=1-1287	YNL220W
OG0003223	augustus_masked-JFAV02000285.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-JFAV02000285.1-processed-gene-0.77&CDS=1-1899	YNL219C
OG0003224	augustus_masked-JFAV02000285.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-JFAV02000285.1-processed-gene-0.64&CDS=1-936	YDL236W
OG0003225	augustus_masked-JFAV02000285.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-JFAV02000285.1-processed-gene-0.65&CDS=1-1824	YNL218W
OG0003226	augustus_masked-JFAV02000285.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-JFAV02000285.1-processed-gene-0.78&CDS=1-567	YDL235C
OG0003227	snap_masked-JFAV02000285.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-JFAV02000285.1-processed-gene-0.39&CDS=1-1311	YNL217W
OG0003228	snap_masked-JFAV02000286.1-processed-gene-0.70-mRNA-1_1&gene=snap_masked-JFAV02000286.1-processed-gene-0.70&CDS=1-1443	YKL082C
OG0003229	snap_masked-JFAV02000286.1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-JFAV02000286.1-processed-gene-0.71&CDS=1-2481	YMR066W
OG0003230	augustus_masked-JFAV02000286.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.54&CDS=1-1287	YMR067C
OG0003231	genemark-JFAV02000286.1-processed-gene-0.2-mRNA-1_1&gene=genemark-JFAV02000286.1-processed-gene-0.2&CDS=1-1476	YMR068W
OG0003232	augustus_masked-JFAV02000286.1-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.55&CDS=1-354	YKL084W
OG0003233	augustus_masked-JFAV02000286.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.38&CDS=1-435	YKL086W
OG0003234	augustus_masked-JFAV02000286.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.39&CDS=1-1023	YKL085W
OG0003235	augustus_masked-JFAV02000286.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.56&CDS=1-1392	YHR005C
OG0003236	augustus_masked-JFAV02000286.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.40&CDS=1-783	YKL087C
OG0003237	augustus_masked-JFAV02000286.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.57&CDS=1-276	YHR005C-A
OG0003238	augustus_masked-JFAV02000286.1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.58&CDS=1-2037	YKL088W
OG0003239	augustus_masked-JFAV02000286.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.41&CDS=1-1392	YKL011C
OG0003240	augustus_masked-JFAV02000286.1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.42&CDS=1-546	YIR022W
OG0003241	augustus_masked-JFAV02000286.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.60&CDS=1-2037	YKL012W
OG0003242	augustus_masked-JFAV02000286.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.43&CDS=1-516	YKL013C
OG0003243	maker-JFAV02000286.1-snap-gene-0.113-mRNA-1_1&gene=maker-JFAV02000286.1-snap-gene-0.113&CDS=1-3627	YIR023W
OG0003244	augustus_masked-JFAV02000286.1-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.61&CDS=1-759	YIR024C
OG0003245	augustus_masked-JFAV02000286.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.45&CDS=1-5097	YKL014C
OG0003246	augustus_masked-JFAV02000286.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.62&CDS=1-3273	YKL015W
OG0003247	augustus_masked-JFAV02000286.1-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.46&CDS=1-522	YKL016C
OG0003248	augustus_masked-JFAV02000286.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.47&CDS=1-2181	YKL017C
OG0003249	augustus_masked-JFAV02000286.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.63&CDS=1-978	YKL018W
OG0003250	maker-JFAV02000286.1-augustus-gene-0.112-mRNA-1_1&gene=maker-JFAV02000286.1-augustus-gene-0.112&CDS=1-2139	YIR026C
OG0003251	augustus_masked-JFAV02000286.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.50&CDS=1-1266	YKL021C
OG0003252	augustus_masked-JFAV02000286.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.65&CDS=1-1119	YIR034C
OG0003253	augustus_masked-JFAV02000286.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.51&CDS=1-2274	YKL022C
OG0003254	augustus_masked-JFAV02000286.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-JFAV02000286.1-processed-gene-0.67&CDS=1-615	YKL024C
OG0003255	maker-JFAV02000286.1-snap-gene-0.114-mRNA-1_1&gene=maker-JFAV02000286.1-snap-gene-0.114&CDS=1-2277	YKL025C
OG0003256	snap_masked-JFAV02000287.1-processed-gene-0.77-mRNA-1_1&gene=snap_masked-JFAV02000287.1-processed-gene-0.77&CDS=1-3813	YDR028C
OG0003257	snap_masked-JFAV02000287.1-processed-gene-0.78-mRNA-1_1&gene=snap_masked-JFAV02000287.1-processed-gene-0.78&CDS=1-2844	YDR027C
OG0003258	augustus_masked-JFAV02000287.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-JFAV02000287.1-processed-gene-0.3&CDS=1-2031	YBR046C
OG0003259	augustus_masked-JFAV02000287.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-JFAV02000287.1-processed-gene-0.36&CDS=1-1380	YDR023W
OG0003260	snap_masked-JFAV02000287.1-processed-gene-0.83-mRNA-1_1&gene=snap_masked-JFAV02000287.1-processed-gene-0.83&CDS=1-675	YDR022C
OG0003261	augustus_masked-JFAV02000287.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-JFAV02000287.1-processed-gene-0.37&CDS=1-1185	YDR021W
OG0003262	snap_masked-JFAV02000287.1-processed-gene-0.84-mRNA-1_1&gene=snap_masked-JFAV02000287.1-processed-gene-0.84&CDS=1-789	YDR020C
OG0003263	snap_masked-JFAV02000287.1-processed-gene-0.85-mRNA-1_1&gene=snap_masked-JFAV02000287.1-processed-gene-0.85&CDS=1-1755	YBR044C
OG0003264	augustus_masked-JFAV02000287.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-JFAV02000287.1-processed-gene-0.8&CDS=1-1176	YDR019C
OG0003265	augustus_masked-JFAV02000287.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-JFAV02000287.1-processed-gene-0.9&CDS=1-2121	YBR043C
OG0003266	augustus_masked-JFAV02000287.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-JFAV02000287.1-processed-gene-0.10&CDS=1-1179	YBR042C
OG0003267	augustus_masked-JFAV02000287.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-JFAV02000287.1-processed-gene-0.38&CDS=1-2031	YBR041W
OG0003268	augustus_masked-JFAV02000287.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-JFAV02000287.1-processed-gene-0.39&CDS=1-1125	YBR040W
OG0003269	augustus_masked-JFAV02000287.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-JFAV02000287.1-processed-gene-0.40&CDS=1-939	YBR039W
OG0003270	genemark-JFAV02000287.1-processed-gene-0.156-mRNA-1_1&gene=genemark-JFAV02000287.1-processed-gene-0.156&CDS=1-3216	YDR017C
