	Saccharomyces_cerevisiae	yHMPu5000034890_Ogataea_ramenticola
OG0002518	YLR412W	snap_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-1.59-mRNA-1_1&gene=snap_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-1.59&CDS=1-1116
OG0002519	YLR414C	genemark-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-2.71-mRNA-1_1&gene=genemark-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-2.71&CDS=1-858
OG0002520	YLR417W	augustus_masked-NODE_34_length_99083_cov_101.504_ID_67-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_34_length_99083_cov_101.504_ID_67-processed-gene-0.19&CDS=1-2298
OG0002521	YLR418C	augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-3.116&CDS=1-1293
OG0002522	YLR419W	augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-1.104&CDS=1-4452
OG0002523	YLR420W	augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.141&CDS=1-1104
OG0002524	YLR421C	augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.167-mRNA-1_1&gene=augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.167&CDS=1-408
OG0002525	YLR422W	augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.162-mRNA-1_1&gene=augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.162&CDS=1-5841
OG0002526	YLR423C	augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-3.122&CDS=1-1347
OG0002527	YLR424W	augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-3.120&CDS=1-2583
OG0002528	YLR427W	augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.143&CDS=1-2196
OG0002529	YLR429W	augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.169-mRNA-1_1&gene=augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.169&CDS=1-1872
OG0002530	YLR430W	augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.144&CDS=1-6693
OG0002531	YLR435W	augustus_masked-NODE_26_length_171845_cov_113.307_ID_51-processed-gene-0.174-mRNA-1_1&gene=augustus_masked-NODE_26_length_171845_cov_113.307_ID_51-processed-gene-0.174&CDS=1-639
OG0002532	YLR438C-A	augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-1.80&CDS=1-279
OG0002533	YLR438W	augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-3.181-mRNA-1_1&gene=augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-3.181&CDS=1-1308
OG0002534	YLR439W	augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-2.109&CDS=1-921
OG0002535	YLR440C	augustus_masked-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-1.77&CDS=1-2628
OG0002536	YLR443W	augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.147&CDS=1-1635
OG0002537	YLR447C	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-5.1-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-5.1&CDS=1-1032
OG0002538	YLR449W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-5.114-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-5.114&CDS=1-1191
OG0002539	YLR451W	augustus_masked-NODE_13_length_439646_cov_107.886_ID_25-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_13_length_439646_cov_107.886_ID_25-processed-gene-0.46&CDS=1-3294
OG0002540	YLR452C	augustus_masked-NODE_13_length_439646_cov_107.886_ID_25-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_13_length_439646_cov_107.886_ID_25-processed-gene-0.62&CDS=1-2241
OG0002541	YLR454W	maker-NODE_6_length_541680_cov_107.521_ID_11-snap-gene-4.77-mRNA-1_1&gene=maker-NODE_6_length_541680_cov_107.521_ID_11-snap-gene-4.77&CDS=1-7911
OG0002542	YLR459W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-5.125-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-5.125&CDS=1-1236
OG0002543	YML001W	augustus_masked-NODE_33_length_100635_cov_106.929_ID_65-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_33_length_100635_cov_106.929_ID_65-processed-gene-0.48&CDS=1-621
OG0002544	YML002W	snap_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-4.66-mRNA-1_1&gene=snap_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-4.66&CDS=1-4389
OG0002545	YML004C	genemark-NODE_15_length_375730_cov_128.345_ID_29-processed-gene-0.98-mRNA-1_1&gene=genemark-NODE_15_length_375730_cov_128.345_ID_29-processed-gene-0.98&CDS=1-963
OG0002546	YML007W	augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.58&CDS=1-1563
OG0002547	YML008C	augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-0.107&CDS=1-1134
OG0002548	YML009C	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.82-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.82&CDS=1-228
OG0002549	YML010W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.83&CDS=1-3066
OG0002550	YML011C	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.109-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.109&CDS=1-597
OG0002551	YML012W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.84&CDS=1-645
OG0002552	YML014W	augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-4.169-mRNA-1_1&gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-4.169&CDS=1-870
OG0002553	YML015C	augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-3.6&CDS=1-1320
OG0002554	YML017W	augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-3.82&CDS=1-2256
OG0002555	YML018C	augustus_masked-NODE_34_length_99083_cov_101.504_ID_67-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_34_length_99083_cov_101.504_ID_67-processed-gene-0.48&CDS=1-1221
OG0002556	YML020W	augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-1.28&CDS=1-2154
OG0002557	YML021C	augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-1.11&CDS=1-1068
OG0002558	YML022W	augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-1.8&CDS=1-570
OG0002559	YML025C	augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-2.69&CDS=1-870
OG0002560	YML030W	augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-3.106&CDS=1-465
OG0002561	YML031W	genemark-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-2.20-mRNA-1_1&gene=genemark-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-2.20&CDS=1-1998
OG0002562	YML032C	augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-2.138&CDS=1-1443
OG0002563	YML035C	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.102&CDS=1-2451
OG0002564	YML036W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.76-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.76&CDS=1-558
OG0002565	YML041C	augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-1.43&CDS=1-798
OG0002566	YML042W	genemark-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-1.43-mRNA-1_1&gene=genemark-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-1.43&CDS=1-1953
OG0002567	YML043C	augustus_masked-NODE_33_length_100635_cov_106.929_ID_65-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_33_length_100635_cov_106.929_ID_65-processed-gene-0.75&CDS=1-2052
OG0002568	YML048W	augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-1.89&CDS=1-1131
OG0002569	YML049C	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-2.127&CDS=1-3717
OG0002570	YML052W	augustus_masked-NODE_34_length_99083_cov_101.504_ID_67-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_34_length_99083_cov_101.504_ID_67-processed-gene-0.21&CDS=1-906
OG0002571	YML055W	augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.168-mRNA-1_1&gene=augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.168&CDS=1-537
OG0002572	YML059C	augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-1.83&CDS=1-4764
OG0002573	YML060W	augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-1.21&CDS=1-1101
OG0002574	YML064C	augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.146&CDS=1-579
OG0002575	YML065W	augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.173-mRNA-1_1&gene=augustus_masked-NODE_20_length_227501_cov_157.981_ID_39-processed-gene-1.173&CDS=1-2424
OG0002576	YML067C	augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-5.23&CDS=1-996
OG0002577	YML068W	augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-5.53&CDS=1-1410
OG0002578	YML069W	augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-1.87&CDS=1-1647
OG0002579	YML071C	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-5.117-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-5.117&CDS=1-1458
OG0002580	YML076C	maker-NODE_2_length_729701_cov_103.929_ID_3-snap-gene-5.133-mRNA-1_1&gene=maker-NODE_2_length_729701_cov_103.929_ID_3-snap-gene-5.133&CDS=1-2556
OG0002581	YML077W	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-4.111&CDS=1-723
OG0002582	YML079W	augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-4.71&CDS=1-708
OG0002583	YML080W	augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-2.175-mRNA-1_1&gene=augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-2.175&CDS=1-1356
OG0002584	YML081C-A	genemark-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-2.7-mRNA-1_1&gene=genemark-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-2.7&CDS=1-183
OG0002585	YML085C	augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-5.156-mRNA-1_1&gene=augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-5.156&CDS=1-1350
OG0002586	YML086C	genemark-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-5.324-mRNA-1_1&gene=genemark-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-5.324&CDS=1-1647
OG0002587	YML088W	snap_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-0.77-mRNA-1_1&gene=snap_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-0.77&CDS=1-2325
OG0002588	YML091C	augustus_masked-NODE_19_length_231626_cov_146.684_ID_37-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-NODE_19_length_231626_cov_146.684_ID_37-processed-gene-1.76&CDS=1-2337
OG0002589	YML092C	maker-NODE_3_length_696421_cov_108.181_ID_5-augustus-gene-5.119-mRNA-1_1&gene=maker-NODE_3_length_696421_cov_108.181_ID_5-augustus-gene-5.119&CDS=1-750
OG0002590	YML093W	augustus_masked-NODE_36_length_89563_cov_110.668_ID_71-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_36_length_89563_cov_110.668_ID_71-processed-gene-0.83&CDS=1-2808
OG0002591	YML094W	augustus_masked-NODE_15_length_375730_cov_128.345_ID_29-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-NODE_15_length_375730_cov_128.345_ID_29-processed-gene-2.15&CDS=1-474
OG0002592	YML096W	augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-5.162-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-5.162&CDS=1-1749
OG0002593	YML098W	genemark-NODE_24_length_187661_cov_169.262_ID_47-processed-gene-0.215-mRNA-1_1&gene=genemark-NODE_24_length_187661_cov_169.262_ID_47-processed-gene-0.215&CDS=1-489
OG0002594	YML099C	maker-NODE_24_length_187661_cov_169.262_ID_47-snap-gene-0.10-mRNA-1_1&gene=maker-NODE_24_length_187661_cov_169.262_ID_47-snap-gene-0.10&CDS=1-3216
OG0002595	YML102W	augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-2.26&CDS=1-2160
OG0002596	YML103C	augustus_masked-NODE_31_length_108823_cov_110.344_ID_61-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-NODE_31_length_108823_cov_110.344_ID_61-processed-gene-0.143&CDS=1-5127
OG0002597	YML104C	genemark-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-4.115-mRNA-1_1&gene=genemark-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-4.115&CDS=1-3681
OG0002598	YML105C	augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-4.21&CDS=1-861
OG0002599	YML108W	augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-4.161-mRNA-1_1&gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-4.161&CDS=1-420
OG0002600	YML110C	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-3.124&CDS=1-861
OG0002601	YML114C	maker-NODE_12_length_456140_cov_104.9_ID_23-snap-gene-3.148-mRNA-1_1&gene=maker-NODE_12_length_456140_cov_104.9_ID_23-snap-gene-3.148&CDS=1-1890
OG0002602	YML115C	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-0.50&CDS=1-1455
OG0002603	YML121W	augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-5.191-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-5.191&CDS=1-1251
OG0002604	YML123C	augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-5.212-mRNA-1_1&gene=augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-5.212&CDS=1-1707
OG0002605	YML126C	augustus_masked-NODE_36_length_89563_cov_110.668_ID_71-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_36_length_89563_cov_110.668_ID_71-processed-gene-0.85&CDS=1-1347
OG0002606	YML127W	augustus_masked-NODE_15_length_375730_cov_128.345_ID_29-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-NODE_15_length_375730_cov_128.345_ID_29-processed-gene-2.53&CDS=1-1812
OG0002607	YML129C	maker-NODE_16_length_354407_cov_122.497_ID_31-augustus-gene-2.207-mRNA-1_1&gene=maker-NODE_16_length_354407_cov_122.497_ID_31-augustus-gene-2.207&CDS=1-207
OG0002608	YML130C	snap_masked-NODE_24_length_187661_cov_169.262_ID_47-processed-gene-0.174-mRNA-1_1&gene=snap_masked-NODE_24_length_187661_cov_169.262_ID_47-processed-gene-0.174&CDS=1-1803
OG0002609	YML131W	snap_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-8.163-mRNA-1_1&gene=snap_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-8.163&CDS=1-1092
OG0002610	YMR001C	augustus_masked-NODE_13_length_439646_cov_107.886_ID_25-processed-gene-3.183-mRNA-1_1&gene=augustus_masked-NODE_13_length_439646_cov_107.886_ID_25-processed-gene-3.183&CDS=1-2046
OG0002611	YMR002W	augustus_masked-NODE_13_length_439646_cov_107.886_ID_25-processed-gene-3.184-mRNA-1_1&gene=augustus_masked-NODE_13_length_439646_cov_107.886_ID_25-processed-gene-3.184&CDS=1-441
OG0002612	YMR003W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-3.132-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-3.132&CDS=1-927
OG0002613	YMR004W	maker-NODE_25_length_175160_cov_168.54_ID_49-augustus-gene-0.132-mRNA-1_1&gene=maker-NODE_25_length_175160_cov_168.54_ID_49-augustus-gene-0.132&CDS=1-1866
OG0002614	YMR005W	augustus_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_25_length_175160_cov_168.54_ID_49-processed-gene-0.72&CDS=1-1188
OG0002615	YMR009W	augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-1.11&CDS=1-633
OG0002616	YMR010W	augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-4.17&CDS=1-1269
OG0002617	YMR012W	augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-1.3&CDS=1-4005
OG0002618	YMR013C	augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-2.39&CDS=1-2127
OG0002619	YMR014W	augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-4.9&CDS=1-1443
OG0002620	YMR015C	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-8.114-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-8.114&CDS=1-1605
OG0002621	YMR022W	augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-0.27&CDS=1-501
OG0002622	YMR023C	augustus_masked-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-0.25&CDS=1-1548
OG0002623	YMR024W	augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-4.185-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-4.185&CDS=1-1203
OG0002624	YMR026C	augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-2.126&CDS=1-1251
OG0002625	YMR027W	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-3.131&CDS=1-1404
OG0002626	YMR028W	augustus_masked-NODE_34_length_99083_cov_101.504_ID_67-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_34_length_99083_cov_101.504_ID_67-processed-gene-0.23&CDS=1-1122
OG0002627	YMR029C	augustus_masked-NODE_19_length_231626_cov_146.684_ID_37-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-NODE_19_length_231626_cov_146.684_ID_37-processed-gene-1.110&CDS=1-2124
OG0002628	YMR033W	augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-1.50&CDS=1-1458
OG0002629	YMR034C	augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.64&CDS=1-1359
OG0002630	YMR035W	augustus_masked-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-0.0&CDS=1-585
OG0002631	YMR036C	augustus_masked-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-0.27&CDS=1-2859
OG0002632	YMR038C	maker-NODE_54_length_8854_cov_82.2728_ID_107-augustus-gene-0.8-mRNA-1_1&gene=maker-NODE_54_length_8854_cov_82.2728_ID_107-augustus-gene-0.8&CDS=1-714
OG0002633	YMR039C	maker-NODE_1_length_936193_cov_107.414_ID_1-augustus-gene-1.116-mRNA-1_1&gene=maker-NODE_1_length_936193_cov_107.414_ID_1-augustus-gene-1.116&CDS=1-366
OG0002634	YMR041C	augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-3.84&CDS=1-993
OG0002635	YMR044W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-3.136-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-3.136&CDS=1-1383
OG0002636	YMR048W	snap_masked-NODE_34_length_99083_cov_101.504_ID_67-processed-gene-0.88-mRNA-1_1&gene=snap_masked-NODE_34_length_99083_cov_101.504_ID_67-processed-gene-0.88&CDS=1-1227
OG0002637	YMR049C	augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-3.140-mRNA-1_1&gene=augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-3.140&CDS=1-2589
OG0002638	YMR055C	genemark-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-1.22-mRNA-1_1&gene=genemark-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-1.22&CDS=1-1086
OG0002639	YMR059W	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-5.30-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-5.30&CDS=1-384
OG0002640	YMR060C	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-5.4-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-5.4&CDS=1-951
OG0002641	YMR061W	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-5.29&CDS=1-1944
OG0002642	YMR062C	augustus_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-1.1&CDS=1-1311
