	Candida_parapsilosis	Saccharomyces_cerevisiae
OG0002957	augustus_masked-Contig006372-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-1.126&CDS=1-1872	YCR088W
OG0002958	augustus_masked-Contig006372-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-1.151&CDS=1-1470	YGR189C
OG0002959	snap_masked-Contig006372-processed-gene-1.83-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-1.83&CDS=1-1269	YMR171C
OG0002960	snap_masked-Contig006372-processed-gene-2.36-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.36&CDS=1-888	YCL009C
OG0002961	augustus_masked-Contig006372-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-2.4&CDS=1-1704	YBR200W
OG0002962	snap_masked-Contig006372-processed-gene-2.41-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.41&CDS=1-903	YGR060W
OG0002963	snap_masked-Contig006372-processed-gene-2.43-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.43&CDS=1-801	YMR226C
OG0002964	snap_masked-Contig006372-processed-gene-2.58-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.58&CDS=1-1086	YGL211W
OG0002965	augustus_masked-Contig006372-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-2.24&CDS=1-4389	YMR309C
OG0002966	snap_masked-Contig006372-processed-gene-2.44-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.44&CDS=1-1296	YLR195C
OG0002967	snap_masked-Contig006372-processed-gene-2.45-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.45&CDS=1-1656	YLR196W
OG0002968	augustus_masked-Contig006372-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-2.25&CDS=1-3675	YOR303W
OG0002969	augustus_masked-Contig006372-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-2.10&CDS=1-786	YMR312W
OG0002970	snap_masked-Contig006372-processed-gene-2.63-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.63&CDS=1-1782	YMR313C
OG0002971	snap_masked-Contig006372-processed-gene-2.66-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.66&CDS=1-1083	YMR166C
OG0002972	snap_masked-Contig006372-processed-gene-2.46-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.46&CDS=1-1275	YDL104C
OG0002973	snap_masked-Contig006372-processed-gene-2.67-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.67&CDS=1-1149	YDL105W
OG0002974	snap_masked-Contig006372-processed-gene-2.47-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.47&CDS=1-2250	YMR167W
OG0002975	snap_masked-Contig006372-processed-gene-2.48-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.48&CDS=1-3759	YJR014W
OG0002976	maker-Contig006372-augustus-gene-2.77-mRNA-1_1&gene=maker-Contig006372-augustus-gene-2.77&CDS=1-1620	YBR095C
OG0002977	snap_masked-Contig006372-processed-gene-2.69-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.69&CDS=1-777	YBR088C
OG0002978	augustus_masked-Contig006372-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-2.32&CDS=1-531	YPR051W
OG0002979	snap_masked-Contig006372-processed-gene-2.52-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.52&CDS=1-1077	YKL060C
OG0002980	snap_masked-Contig006372-processed-gene-2.71-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.71&CDS=1-321	YBR091C
OG0002981	snap_masked-Contig006372-processed-gene-2.53-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.53&CDS=1-2103	YBR094W
OG0002982	augustus_masked-Contig006372-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-2.18&CDS=1-2091	YKL054C
OG0002983	augustus_masked-Contig006372-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-2.19&CDS=1-3462	YPR049C
OG0002984	snap_masked-Contig006372-processed-gene-2.74-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.74&CDS=1-1908	YML042W
OG0002985	snap_masked-Contig006372-processed-gene-2.75-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.75&CDS=1-234	YDR379C-A
OG0002986	augustus_masked-Contig006372-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-3.79&CDS=1-267	YKL053C-A
OG0002987	maker-Contig006372-augustus-gene-3.70-mRNA-1_1&gene=maker-Contig006372-augustus-gene-3.70&CDS=1-1608	YJR107W
OG0002988	snap_masked-Contig006372-processed-gene-3.6-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-3.6&CDS=1-1488	YDR376W
OG0002989	snap_masked-Contig006372-processed-gene-3.10-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-3.10&CDS=1-2688	YOR211C
OG0002990	snap_masked-Contig006372-processed-gene-3.24-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-3.24&CDS=1-2544	YPL126W
OG0002991	snap_masked-Contig006372-processed-gene-3.11-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-3.11&CDS=1-216	YOR210W
OG0002992	snap_masked-Contig006372-processed-gene-3.29-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-3.29&CDS=1-924	YGR282C
OG0002993	snap_masked-Contig006372-processed-gene-3.14-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-3.14&CDS=1-861	YPL117C
OG0002994	snap_masked-Contig006372-processed-gene-3.15-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-3.15&CDS=1-1239	YOR196C
OG0002995	snap_masked-Contig006372-processed-gene-3.16-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-3.16&CDS=1-2175	YPL116W
OG0002996	snap_masked-Contig006372-processed-gene-3.17-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-3.17&CDS=1-3357	YPL115C
OG0002997	augustus_masked-Contig006372-processed-gene-3.108-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-3.108&CDS=1-852	YOR194C
OG0002998	snap_masked-Contig006372-processed-gene-3.32-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-3.32&CDS=1-2628	YBR179C
OG0002999	snap_masked-Contig006372-processed-gene-3.18-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-3.18&CDS=1-639	YIR032C
OG0003000	snap_masked-Contig006372-processed-gene-3.33-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-3.33&CDS=1-831	YFR043C
OG0003001	snap_masked-Contig006372-processed-gene-3.19-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-3.19&CDS=1-2781	YGL233W
OG0003002	snap_masked-Contig006372-processed-gene-3.20-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-3.20&CDS=1-822	YPL132W
OG0003003	snap_masked-Contig006372-processed-gene-4.2-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.2&CDS=1-297	YCL057C-A
OG0003004	snap_masked-Contig006372-processed-gene-4.6-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.6&CDS=1-1119	YKR038C
OG0003005	snap_masked-Contig006372-processed-gene-4.7-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.7&CDS=1-333	YGL030W
OG0003006	snap_masked-Contig006372-processed-gene-4.9-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.9&CDS=1-4257	YGL179C
OG0003007	snap_masked-Contig006372-processed-gene-4.11-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.11&CDS=1-1659	YER007W
OG0003008	snap_masked-Contig006372-processed-gene-4.27-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.27&CDS=1-594	YER007C-A
OG0003009	snap_masked-Contig006372-processed-gene-4.28-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.28&CDS=1-3144	YIR002C
OG0003010	snap_masked-Contig006372-processed-gene-4.29-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.29&CDS=1-1560	YER006W
OG0003011	snap_masked-Contig006372-processed-gene-4.31-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.31&CDS=1-2061	YER005W
OG0003012	augustus_masked-Contig006372-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-4.76&CDS=1-3891	YAL001C
OG0003013	snap_masked-Contig006372-processed-gene-4.13-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.13&CDS=1-756	YGR001C
OG0003014	maker-Contig006372-snap-gene-4.141-mRNA-1_1&gene=maker-Contig006372-snap-gene-4.141&CDS=1-648	YAL003W
OG0003015	snap_masked-Contig006372-processed-gene-4.15-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.15&CDS=1-1689	YAL058W
OG0003016	maker-Contig006372-snap-gene-4.143-mRNA-1_1&gene=maker-Contig006372-snap-gene-4.143&CDS=1-1299	YNL103W
OG0003017	snap_masked-Contig006372-processed-gene-4.19-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.19&CDS=1-3537	YBR218C
OG0003018	snap_masked-Contig006372-processed-gene-4.20-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.20&CDS=1-633	YGL127C
OG0003019	snap_masked-Contig006372-processed-gene-4.22-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.22&CDS=1-984	YGL126W
OG0003020	snap_masked-Contig006372-processed-gene-4.43-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.43&CDS=1-1320	YLR303W
OG0003021	snap_masked-Contig006372-processed-gene-4.24-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.24&CDS=1-1032	YPL034W
OG0003022	maker-Contig006372-snap-gene-4.144-mRNA-1_1&gene=maker-Contig006372-snap-gene-4.144&CDS=1-1302	YDL084W
OG0003023	snap_masked-Contig006372-processed-gene-4.45-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.45&CDS=1-816	YER023W
OG0003024	snap_masked-Contig006372-processed-gene-5.97-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.97&CDS=1-2331	YJR119C
OG0003025	snap_masked-Contig006372-processed-gene-5.98-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.98&CDS=1-1503	YJR121W
OG0003026	maker-Contig006372-snap-gene-5.55-mRNA-1_1&gene=maker-Contig006372-snap-gene-5.55&CDS=1-1443	YJR117W
OG0003027	snap_masked-Contig006372-processed-gene-5.100-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.100&CDS=1-726	YDL087C
OG0003028	augustus_masked-Contig006372-processed-gene-5.62-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-5.62&CDS=1-1578	YOL132W
OG0003029	augustus_masked-Contig006372-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-5.82&CDS=1-1710	YER163C
OG0003030	snap_masked-Contig006372-processed-gene-5.127-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.127&CDS=1-2955	YLR138W
OG0003031	snap_masked-Contig006372-processed-gene-5.104-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.104&CDS=1-1272	YOR368W
OG0003032	snap_masked-Contig006372-processed-gene-5.128-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.128&CDS=1-1044	YLR447C
OG0003033	snap_masked-Contig006372-processed-gene-5.105-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.105&CDS=1-1197	YML071C
OG0003034	snap_masked-Contig006372-processed-gene-5.129-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.129&CDS=1-3291	YOR191W
OG0003035	snap_masked-Contig006372-processed-gene-5.130-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.130&CDS=1-600	YLR292C
OG0003036	augustus_masked-Contig006372-processed-gene-5.67-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-5.67&CDS=1-2688	YIL116W
OG0003037	snap_masked-Contig006372-processed-gene-5.109-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.109&CDS=1-2151	YJL093C
OG0003038	snap_masked-Contig006372-processed-gene-5.110-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.110&CDS=1-1386	YAL022C
OG0003039	snap_masked-Contig006372-processed-gene-5.112-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.112&CDS=1-1623	YKL191W
OG0003040	snap_masked-Contig006372-processed-gene-5.113-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.113&CDS=1-933	YLR426W
OG0003041	snap_masked-Contig006372-processed-gene-5.131-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.131&CDS=1-507	YML055W
OG0003042	snap_masked-Contig006372-processed-gene-5.114-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.114&CDS=1-1947	YLR427W
OG0003043	snap_masked-Contig006372-processed-gene-5.133-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.133&CDS=1-3162	YJR132W
OG0003044	maker-Contig006372-augustus-gene-5.3-mRNA-1_1&gene=maker-Contig006372-augustus-gene-5.3&CDS=1-2742	YGR202C
OG0003045	snap_masked-Contig006372-processed-gene-5.116-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.116&CDS=1-450	YGR203W
OG0003046	snap_masked-Contig006372-processed-gene-5.137-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.137&CDS=1-477	YLR008C
OG0003047	snap_masked-Contig006372-processed-gene-5.117-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.117&CDS=1-624	YLR009W
OG0003048	snap_masked-Contig006372-processed-gene-5.118-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.118&CDS=1-501	YBR167C
OG0003049	snap_masked-Contig006372-processed-gene-5.120-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.120&CDS=1-1380	YMR027W
OG0003050	snap_masked-Contig006372-processed-gene-5.142-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.142&CDS=1-387	YKL058W
OG0003051	snap_masked-Contig006372-processed-gene-5.122-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.122&CDS=1-1116	YMR028W
OG0003052	augustus_masked-Contig006372-processed-gene-5.95-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-5.95&CDS=1-3279	YKL057C
OG0003053	augustus_masked-Contig006372-processed-gene-5.80-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-5.80&CDS=1-1242	YKL059C
OG0003054	snap_masked-Contig006372-processed-gene-5.124-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-5.124&CDS=1-1293	YLR438W
OG0003055	snap_masked-Contig006372-processed-gene-6.34-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.34&CDS=1-1833	YDR244W
OG0003056	snap_masked-Contig006372-processed-gene-6.35-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.35&CDS=1-2544	YCL030C
OG0003057	maker-Contig006372-snap-gene-6.124-mRNA-1_1&gene=maker-Contig006372-snap-gene-6.124&CDS=1-3921	YPL016W
OG0003058	augustus_masked-Contig006372-processed-gene-6.4-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-6.4&CDS=1-1938	YDR245W
OG0003059	snap_masked-Contig006372-processed-gene-6.66-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.66&CDS=1-282	YDR322C-A
OG0003060	snap_masked-Contig006372-processed-gene-6.40-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.40&CDS=1-1137	YHR076W
OG0003061	snap_masked-Contig006372-processed-gene-6.41-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.41&CDS=1-1509	YDR323C
OG0003062	snap_masked-Contig006372-processed-gene-6.67-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.67&CDS=1-1380	YMR034C
OG0003063	augustus_masked-Contig006372-processed-gene-6.7-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-6.7&CDS=1-3846	YMR041C
OG0003064	snap_masked-Contig006372-processed-gene-6.45-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.45&CDS=1-2925	YKL064W
OG0003065	augustus_masked-Contig006372-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-6.27&CDS=1-2967	YCR030C
OG0003066	snap_masked-Contig006372-processed-gene-6.47-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.47&CDS=1-1506	YNL142W
OG0003067	augustus_masked-Contig006372-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-6.15&CDS=1-2838	YIL140W
OG0003068	augustus_masked-Contig006372-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-6.17&CDS=1-4032	YBR221C
OG0003069	snap_masked-Contig006372-processed-gene-6.57-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.57&CDS=1-1539	YCR072C
OG0003070	snap_masked-Contig006372-processed-gene-6.58-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.58&CDS=1-3864	YMR109W
OG0003071	snap_masked-Contig006372-processed-gene-6.59-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.59&CDS=1-4719	YCR081W
OG0003072	augustus_masked-Contig006372-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-6.21&CDS=1-4359	YOL140W
OG0003073	snap_masked-Contig006372-processed-gene-6.71-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.71&CDS=1-219	YNR032C-A
OG0003074	snap_masked-Contig006372-processed-gene-6.63-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.63&CDS=1-4335	YCR073C
OG0003075	augustus_masked-Contig006372-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-6.30&CDS=1-1902	YCR071C
OG0003076	snap_masked-Contig006372-processed-gene-6.74-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.74&CDS=1-2436	YCR077C
OG0003077	snap_masked-Contig006372-processed-gene-6.75-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.75&CDS=1-2277	YNR033W
OG0003078	snap_masked-Contig006372-processed-gene-6.76-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.76&CDS=1-4635	YDL058W
OG0003079	snap_masked-Contig006372-processed-gene-6.65-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-6.65&CDS=1-687	YDL059C
OG0003080	augustus_masked-Contig006372-processed-gene-7.97-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-7.97&CDS=1-4650	YLR384C
OG0003081	augustus_masked-Contig006372-processed-gene-7.95-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-7.95&CDS=1-2463	YOR270C
OG0003082	snap_masked-Contig006372-processed-gene-7.27-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-7.27&CDS=1-747	YDR302W
OG0003083	augustus_masked-Contig006372-processed-gene-7.100-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-7.100&CDS=1-4002	YDR301W
OG0003084	snap_masked-Contig006372-processed-gene-7.8-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-7.8&CDS=1-636	YBL040C
OG0003085	snap_masked-Contig006372-processed-gene-7.28-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-7.28&CDS=1-732	YBL041W
OG0003086	snap_masked-Contig006372-processed-gene-7.29-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-7.29&CDS=1-309	YGR181W
OG0003087	augustus_masked-Contig006372-processed-gene-7.103-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-7.103&CDS=1-6084	YPL109C
OG0003088	snap_masked-Contig006372-processed-gene-7.30-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-7.30&CDS=1-3738	YDR335W
OG0003089	snap_masked-Contig006372-processed-gene-7.14-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-7.14&CDS=1-2172	YJL012C
OG0003090	snap_masked-Contig006372-processed-gene-7.31-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-7.31&CDS=1-885	YHR067W
OG0003091	snap_masked-Contig006372-processed-gene-7.16-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-7.16&CDS=1-888	YHR088W
OG0003092	snap_masked-Contig006372-processed-gene-7.19-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-7.19&CDS=1-702	YDL212W
OG0003093	augustus_masked-Contig006372-processed-gene-7.111-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-7.111&CDS=1-1113	YNL177C
OG0003094	snap_masked-Contig006372-processed-gene-7.32-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-7.32&CDS=1-354	YBL049W
OG0003095	snap_masked-Contig006372-processed-gene-7.33-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-7.33&CDS=1-2367	YNL186W
OG0003096	augustus_masked-Contig006372-processed-gene-7.123-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-7.123&CDS=1-3693	YHL024W
OG0003097	augustus_masked-Contig006372-processed-gene-7.126-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-7.126&CDS=1-5220	YGR258C
OG0003098	snap_masked-Contig006372-processed-gene-7.41-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-7.41&CDS=1-2550	YHR073W
OG0003099	augustus_masked-Contig006372-processed-gene-8.88-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-8.88&CDS=1-2550	YLL005C
OG0003100	augustus_masked-Contig006372-processed-gene-8.109-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-8.109&CDS=1-2160	YDR314C
OG0003101	snap_masked-Contig006372-processed-gene-8.50-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.50&CDS=1-1764	YMR088C
OG0003102	snap_masked-Contig006372-processed-gene-8.73-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.73&CDS=1-1044	YHR069C
OG0003103	snap_masked-Contig006372-processed-gene-8.53-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.53&CDS=1-1362	YHR070W
OG0003104	genemark-Contig006372-processed-gene-8.29-mRNA-1_1&gene=genemark-Contig006372-processed-gene-8.29&CDS=1-1185	YGL143C
OG0003105	snap_masked-Contig006372-processed-gene-8.76-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.76&CDS=1-1338	YDR316W
OG0003106	snap_masked-Contig006372-processed-gene-8.55-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.55&CDS=1-1278	YDL097C
OG0003107	snap_masked-Contig006372-processed-gene-8.77-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.77&CDS=1-2235	YDL116W
OG0003108	snap_masked-Contig006372-processed-gene-8.56-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.56&CDS=1-1497	YDL089W
OG0003109	snap_masked-Contig006372-processed-gene-8.57-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.57&CDS=1-900	YDL111C
OG0003110	snap_masked-Contig006372-processed-gene-8.80-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.80&CDS=1-4116	YDL112W
OG0003111	snap_masked-Contig006372-processed-gene-8.60-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.60&CDS=1-5259	YMR162C
OG0003112	snap_masked-Contig006372-processed-gene-8.84-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.84&CDS=1-2601	YOR208W
OG0003113	snap_masked-Contig006372-processed-gene-8.61-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.61&CDS=1-2409	YDL113C
OG0003114	maker-Contig006372-snap-gene-8.46-mRNA-1_1&gene=maker-Contig006372-snap-gene-8.46&CDS=1-2244	YBR203W
OG0003115	snap_masked-Contig006372-processed-gene-8.65-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.65&CDS=1-840	YKR062W
OG0003116	snap_masked-Contig006372-processed-gene-8.66-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.66&CDS=1-372	YER009W
OG0003117	augustus_masked-Contig006372-processed-gene-8.123-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-8.123&CDS=1-852	YKR060W
OG0003118	maker-Contig006372-snap-gene-9.2-mRNA-1_1&gene=maker-Contig006372-snap-gene-9.2&CDS=1-2802	YDR047W
OG0003119	snap_masked-Contig006372-processed-gene-9.48-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-9.48&CDS=1-2724	YBR074W
OG0003120	snap_masked-Contig006372-processed-gene-9.50-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-9.50&CDS=1-1491	YBR006W
OG0003121	snap_masked-Contig006372-processed-gene-9.66-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-9.66&CDS=1-1629	YLR089C
OG0003122	augustus_masked-Contig006372-processed-gene-9.100-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-9.100&CDS=1-1863	YNR012W
OG0003123	snap_masked-Contig006372-processed-gene-9.52-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-9.52&CDS=1-2586	YNR011C
OG0003124	snap_masked-Contig006372-processed-gene-9.53-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-9.53&CDS=1-1845	YPL023C
OG0003125	snap_masked-Contig006372-processed-gene-9.69-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-9.69&CDS=1-534	YPL024W
OG0003126	snap_masked-Contig006372-processed-gene-9.54-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-9.54&CDS=1-3003	YPL022W
OG0003127	augustus_masked-Contig006372-processed-gene-9.104-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-9.104&CDS=1-315	YBL001C
OG0003128	snap_masked-Contig006372-processed-gene-9.56-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-9.56&CDS=1-795	YJL218W
OG0003129	snap_masked-Contig006372-processed-gene-9.57-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-9.57&CDS=1-3036	YKL210W
OG0003130	augustus_masked-Contig006372-processed-gene-9.105-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-9.105&CDS=1-3540	YKL209C
OG0003131	snap_masked-Contig006372-processed-gene-9.72-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-9.72&CDS=1-1716	YBR286W
OG0003132	genemark-Contig006372-processed-gene-9.38-mRNA-1_1&gene=genemark-Contig006372-processed-gene-9.38&CDS=1-1917	YPR155C
OG0003133	snap_masked-Contig006372-processed-gene-9.76-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-9.76&CDS=1-828	YJL178C
OG0003134	augustus_masked-Contig006372-processed-gene-9.92-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-9.92&CDS=1-954	YPR023C
OG0003135	snap_masked-Contig006372-processed-gene-9.59-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-9.59&CDS=1-1203	YGL048C
OG0003136	snap_masked-Contig006372-processed-gene-9.60-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-9.60&CDS=1-1539	YER078C
OG0003137	snap_masked-Contig006372-processed-gene-9.79-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-9.79&CDS=1-852	YGR132C
OG0003138	maker-Contig006372-snap-gene-9.1-mRNA-1_1&gene=maker-Contig006372-snap-gene-9.1&CDS=1-672	YDR381W
