	Saccharomyces_cerevisiae	yHAB158_Kazachstania_viticola
OG0002896	YLR395C	snap_masked-scf7180000050335-processed-gene-0.192-mRNA-1_1&gene=snap_masked-scf7180000050335-processed-gene-0.192&CDS=1-219
OG0002897	YLR396C	augustus_masked-scf7180000050335-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-scf7180000050335-processed-gene-0.128&CDS=1-2016
OG0002898	YLR397C	augustus_masked-scf7180000050335-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-scf7180000050335-processed-gene-0.129&CDS=1-2331
OG0002899	YLR398C	augustus_masked-scf7180000050335-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-scf7180000050335-processed-gene-0.130&CDS=1-3837
OG0002900	YLR403W	maker-scf7180000050371-snap-gene-0.226-mRNA-1_1&gene=maker-scf7180000050371-snap-gene-0.226&CDS=1-1728
OG0002901	YLR404W	augustus_masked-scf7180000050371-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.139&CDS=1-747
OG0002902	YLR405W	augustus_masked-scf7180000050371-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.138&CDS=1-1029
OG0002903	YLR407W	augustus_masked-scf7180000050371-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.137&CDS=1-708
OG0002904	YLR408C	augustus_masked-scf7180000050371-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.97&CDS=1-363
OG0002905	YLR409C	augustus_masked-scf7180000050371-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.96&CDS=1-2829
OG0002906	YLR410W	maker-scf7180000050371-augustus-gene-0.6-mRNA-1_1&gene=maker-scf7180000050371-augustus-gene-0.6&CDS=1-4311
OG0002907	YLR414C	augustus_masked-scf7180000050371-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.94&CDS=1-798
OG0002908	YLR417W	augustus_masked-scf7180000050371-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.134&CDS=1-1596
OG0002909	YLR418C	augustus_masked-scf7180000050371-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.93&CDS=1-1161
OG0002910	YLR419W	augustus_masked-scf7180000050371-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.133&CDS=1-4278
OG0002911	YLR420W	augustus_masked-scf7180000050371-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.132&CDS=1-1086
OG0002912	YLR421C	augustus_masked-scf7180000050371-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.91&CDS=1-453
OG0002913	YLR422W	augustus_masked-scf7180000050371-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.131&CDS=1-5811
OG0002914	YLR423C	augustus_masked-scf7180000050371-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.90&CDS=1-1257
OG0002915	YLR424W	augustus_masked-scf7180000050371-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.129&CDS=1-2049
OG0002916	YLR425W	maker-scf7180000050371-augustus-gene-0.5-mRNA-1_1&gene=maker-scf7180000050371-augustus-gene-0.5&CDS=1-4851
OG0002917	YLR427W	augustus_masked-scf7180000050371-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.125&CDS=1-1974
OG0002918	YLR429W	augustus_masked-scf7180000050371-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.124&CDS=1-1872
OG0002919	YLR430W	augustus_masked-scf7180000050371-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.123&CDS=1-6570
OG0002920	YLR431C	augustus_masked-scf7180000050371-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.88&CDS=1-1293
OG0002921	YLR435W	augustus_masked-scf7180000050371-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.122&CDS=1-624
OG0002922	YLR438C-A	augustus_masked-scf7180000050371-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.86&CDS=1-252
OG0002923	YLR438W	augustus_masked-scf7180000050371-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.121&CDS=1-1272
OG0002924	YLR439W	augustus_masked-scf7180000050371-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.120&CDS=1-888
OG0002925	YLR440C	augustus_masked-scf7180000050371-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.85&CDS=1-2052
OG0002926	YLR442C	augustus_masked-scf7180000050371-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.83&CDS=1-3153
OG0002927	YLR443W	augustus_masked-scf7180000050371-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.119&CDS=1-1236
OG0002928	YLR445W	augustus_masked-scf7180000050371-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.118&CDS=1-546
OG0002929	YLR446W	augustus_masked-scf7180000050371-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.117&CDS=1-1392
OG0002930	YLR447C	augustus_masked-scf7180000050371-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.82&CDS=1-1041
OG0002931	YLR449W	augustus_masked-scf7180000050371-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.114&CDS=1-1221
OG0002932	YLR452C	augustus_masked-scf7180000050094-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000050094-processed-gene-0.16&CDS=1-2151
OG0002933	YLR454W	augustus_masked-scf7180000050094-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000050094-processed-gene-0.12&CDS=1-7875
OG0002934	YLR455W	augustus_masked-scf7180000050094-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000050094-processed-gene-0.14&CDS=1-1032
OG0002935	YLR459W	augustus_masked-scf7180000050144-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000050144-processed-gene-0.34&CDS=1-1209
OG0002936	YML001W	augustus_masked-scf7180000050354-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-scf7180000050354-processed-gene-0.91&CDS=1-624
OG0002937	YML002W	augustus_masked-scf7180000050354-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-scf7180000050354-processed-gene-0.90&CDS=1-3438
OG0002938	YML004C	augustus_masked-scf7180000050397-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scf7180000050397-processed-gene-0.52&CDS=1-942
OG0002939	YML005W	augustus_masked-scf7180000050395-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scf7180000050395-processed-gene-0.78&CDS=1-1251
OG0002940	YML006C	snap_masked-scf7180000049353-processed-gene-0.78-mRNA-1_1&gene=snap_masked-scf7180000049353-processed-gene-0.78&CDS=1-2097
OG0002941	YML007W	genemark-scf7180000049353-processed-gene-0.197-mRNA-1_1&gene=genemark-scf7180000049353-processed-gene-0.197&CDS=1-1632
OG0002942	YML008C	augustus_masked-scf7180000049353-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.156&CDS=1-1149
OG0002943	YML010W	augustus_masked-scf7180000049353-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.116&CDS=1-2964
OG0002944	YML011C	augustus_masked-scf7180000049353-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.154&CDS=1-549
OG0002945	YML012W	augustus_masked-scf7180000050195-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scf7180000050195-processed-gene-0.78&CDS=1-642
OG0002946	YML013W	snap_masked-scf7180000049353-processed-gene-0.33-mRNA-1_1&gene=snap_masked-scf7180000049353-processed-gene-0.33&CDS=1-2025
OG0002947	YML014W	augustus_masked-scf7180000049353-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.114&CDS=1-822
OG0002948	YML015C	augustus_masked-scf7180000050195-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-scf7180000050195-processed-gene-0.92&CDS=1-1017
OG0002949	YML017W	augustus_masked-scf7180000049353-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.113&CDS=1-1653
OG0002950	YML018C	augustus_masked-scf7180000049353-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.152&CDS=1-1200
OG0002951	YML019W	snap_masked-scf7180000049353-processed-gene-0.30-mRNA-1_1&gene=snap_masked-scf7180000049353-processed-gene-0.30&CDS=1-801
OG0002952	YML020W	augustus_masked-scf7180000049353-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.111&CDS=1-1917
OG0002953	YML021C	augustus_masked-scf7180000049353-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.151&CDS=1-1089
OG0002954	YML022W	augustus_masked-scf7180000049353-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.110&CDS=1-561
OG0002955	YML023C	augustus_masked-scf7180000049353-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.150&CDS=1-1671
OG0002956	YML025C	augustus_masked-scf7180000049353-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.147&CDS=1-819
OG0002957	YML027W	augustus_masked-scf7180000049353-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.108&CDS=1-1308
OG0002958	YML029W	snap_masked-scf7180000049353-processed-gene-0.24-mRNA-1_1&gene=snap_masked-scf7180000049353-processed-gene-0.24&CDS=1-2505
OG0002959	YML030W	augustus_masked-scf7180000049353-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.105&CDS=1-483
OG0002960	YML031W	augustus_masked-scf7180000049353-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.104&CDS=1-1473
OG0002961	YML032C	augustus_masked-scf7180000049353-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.145&CDS=1-1407
OG0002962	YML034W	snap_masked-scf7180000049353-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scf7180000049353-processed-gene-0.21&CDS=1-2616
OG0002963	YML035C	augustus_masked-scf7180000049353-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.144&CDS=1-2364
OG0002964	YML036W	augustus_masked-scf7180000049353-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.102&CDS=1-519
OG0002965	YML037C	snap_masked-scf7180000049353-processed-gene-0.65-mRNA-1_1&gene=snap_masked-scf7180000049353-processed-gene-0.65&CDS=1-1347
OG0002966	YML038C	augustus_masked-scf7180000049353-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.142&CDS=1-1377
OG0002967	YML041C	augustus_masked-scf7180000049353-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.148&CDS=1-783
OG0002968	YML042W	augustus_masked-scf7180000049353-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-scf7180000049353-processed-gene-0.120&CDS=1-1944
OG0002969	YML043C	augustus_masked-scf7180000050354-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-scf7180000050354-processed-gene-0.135&CDS=1-1599
OG0002970	YML046W	augustus_masked-scf7180000050391-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-scf7180000050391-processed-gene-0.60&CDS=1-1971
OG0002971	YML048W	augustus_masked-scf7180000050391-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-scf7180000050391-processed-gene-0.61&CDS=1-1179
OG0002972	YML049C	snap_masked-scf7180000050391-processed-gene-0.99-mRNA-1_1&gene=snap_masked-scf7180000050391-processed-gene-0.99&CDS=1-3807
OG0002973	YML051W	augustus_masked-scf7180000050391-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-scf7180000050391-processed-gene-0.62&CDS=1-1287
OG0002974	YML052W	augustus_masked-scf7180000050391-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-scf7180000050391-processed-gene-0.63&CDS=1-894
OG0002975	YML054C	augustus_masked-scf7180000050326-processed-gene-0.236-mRNA-1_1&gene=augustus_masked-scf7180000050326-processed-gene-0.236&CDS=1-1860
OG0002976	YML055W	augustus_masked-scf7180000050326-processed-gene-0.193-mRNA-1_1&gene=augustus_masked-scf7180000050326-processed-gene-0.193&CDS=1-516
OG0002977	YML057W	augustus_masked-scf7180000050326-processed-gene-0.192-mRNA-1_1&gene=augustus_masked-scf7180000050326-processed-gene-0.192&CDS=1-1662
OG0002978	YML058W	snap_masked-scf7180000050326-processed-gene-0.110-mRNA-1_1&gene=snap_masked-scf7180000050326-processed-gene-0.110&CDS=1-330
OG0002979	YML059C	augustus_masked-scf7180000050326-processed-gene-0.234-mRNA-1_1&gene=augustus_masked-scf7180000050326-processed-gene-0.234&CDS=1-4410
OG0002980	YML060W	augustus_masked-scf7180000050326-processed-gene-0.190-mRNA-1_1&gene=augustus_masked-scf7180000050326-processed-gene-0.190&CDS=1-1101
OG0002981	YML061C	maker-scf7180000050326-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000050326-augustus-gene-0.0&CDS=1-3072
OG0002982	YML062C	augustus_masked-scf7180000050357-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-0.88&CDS=1-1272
OG0002983	YML064C	augustus_masked-scf7180000050357-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-0.87&CDS=1-663
OG0002984	YML065W	augustus_masked-scf7180000050357-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-0.63&CDS=1-2670
OG0002985	YML066C	augustus_masked-scf7180000050357-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-0.86&CDS=1-900
OG0002986	YML067C	augustus_masked-scf7180000050357-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-0.85&CDS=1-1068
OG0002987	YML069W	augustus_masked-scf7180000050262-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000050262-processed-gene-0.24&CDS=1-1614
OG0002988	YML070W	augustus_masked-scf7180000050262-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000050262-processed-gene-0.23&CDS=1-1749
OG0002989	YML071C	augustus_masked-scf7180000050262-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scf7180000050262-processed-gene-0.30&CDS=1-1677
OG0002990	YML073C	augustus_masked-scf7180000050371-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-scf7180000050371-processed-gene-0.116&CDS=1-531
OG0002991	YML078W	augustus_masked-scf7180000050361-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-scf7180000050361-processed-gene-0.36&CDS=1-552
OG0002992	YML079W	augustus_masked-scf7180000050361-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-scf7180000050361-processed-gene-0.37&CDS=1-645
OG0002993	YML080W	augustus_masked-scf7180000050361-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000050361-processed-gene-0.38&CDS=1-1248
OG0002994	YML081C-A	snap_masked-scf7180000050361-processed-gene-0.64-mRNA-1_1&gene=snap_masked-scf7180000050361-processed-gene-0.64&CDS=1-180
OG0002995	YML081W	augustus_masked-scf7180000050361-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-scf7180000050361-processed-gene-0.39&CDS=1-3897
OG0002996	YML085C	augustus_masked-scf7180000049348-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.20&CDS=1-1338
OG0002997	YML086C	augustus_masked-scf7180000050093-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scf7180000050093-processed-gene-0.35&CDS=1-1569
OG0002998	YML088W	augustus_masked-scf7180000050093-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scf7180000050093-processed-gene-0.53&CDS=1-1896
OG0002999	YML091C	snap_masked-scf7180000050093-processed-gene-0.66-mRNA-1_1&gene=snap_masked-scf7180000050093-processed-gene-0.66&CDS=1-3792
OG0003000	YML092C	augustus_masked-scf7180000050093-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000050093-processed-gene-0.38&CDS=1-750
OG0003001	YML093W	augustus_masked-scf7180000050093-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-scf7180000050093-processed-gene-0.54&CDS=1-2673
OG0003002	YML094W	augustus_masked-scf7180000049348-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.53&CDS=1-453
OG0003003	YML095C	augustus_masked-scf7180000049348-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.23&CDS=1-609
OG0003004	YML096W	augustus_masked-scf7180000050093-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scf7180000050093-processed-gene-0.55&CDS=1-1551
OG0003005	YML098W	augustus_masked-scf7180000049348-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.54&CDS=1-555
OG0003006	YML099C	augustus_masked-scf7180000050093-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-scf7180000050093-processed-gene-0.39&CDS=1-4191
OG0003007	YML101C	augustus_masked-scf7180000049348-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.9&CDS=1-417
OG0003008	YML102W	augustus_masked-scf7180000049348-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.40&CDS=1-1551
OG0003009	YML104C	augustus_masked-scf7180000049348-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.11&CDS=1-3450
OG0003010	YML105C	augustus_masked-scf7180000049348-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.12&CDS=1-807
OG0003011	YML106W	augustus_masked-scf7180000049348-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.41&CDS=1-672
OG0003012	YML107C	augustus_masked-scf7180000049348-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.13&CDS=1-1047
OG0003013	YML108W	augustus_masked-scf7180000049348-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.42&CDS=1-342
OG0003014	YML109W	augustus_masked-scf7180000049348-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.43&CDS=1-3336
OG0003015	YML110C	augustus_masked-scf7180000049348-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.14&CDS=1-831
OG0003016	YML112W	augustus_masked-scf7180000049348-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.45&CDS=1-819
OG0003017	YML113W	augustus_masked-scf7180000049348-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.46&CDS=1-618
OG0003018	YML114C	augustus_masked-scf7180000049348-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.15&CDS=1-1716
OG0003019	YML115C	augustus_masked-scf7180000049348-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.16&CDS=1-1542
OG0003020	YML116W	augustus_masked-scf7180000049348-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.47&CDS=1-1578
OG0003021	YML117W	augustus_masked-scf7180000049348-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.48&CDS=1-3279
OG0003022	YML119W	augustus_masked-scf7180000049348-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.50&CDS=1-1422
OG0003023	YML120C	augustus_masked-scf7180000049348-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.18&CDS=1-1629
OG0003024	YML121W	augustus_masked-scf7180000049348-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.51&CDS=1-951
OG0003025	YML123C	augustus_masked-scf7180000049348-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.19&CDS=1-1833
OG0003026	YML126C	augustus_masked-scf7180000050093-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-scf7180000050093-processed-gene-0.36&CDS=1-1383
OG0003027	YML127W	augustus_masked-scf7180000049348-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.52&CDS=1-1791
OG0003028	YML128C	augustus_masked-scf7180000049348-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.22&CDS=1-1509
OG0003029	YML129C	snap_masked-scf7180000049348-processed-gene-0.77-mRNA-1_1&gene=snap_masked-scf7180000049348-processed-gene-0.77&CDS=1-195
OG0003030	YML130C	augustus_masked-scf7180000049348-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.24&CDS=1-3054
OG0003031	YML131W	augustus_masked-scf7180000050109-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000050109-processed-gene-0.14&CDS=1-1095
OG0003032	YMR001C	augustus_masked-scf7180000050354-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-scf7180000050354-processed-gene-0.133&CDS=1-2214
OG0003033	YMR002W	augustus_masked-scf7180000050354-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-scf7180000050354-processed-gene-0.94&CDS=1-525
OG0003034	YMR003W	snap_masked-scf7180000050354-processed-gene-0.170-mRNA-1_1&gene=snap_masked-scf7180000050354-processed-gene-0.170&CDS=1-759
OG0003035	YMR004W	augustus_masked-scf7180000050302-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-scf7180000050302-processed-gene-1.32&CDS=1-1587
OG0003036	YMR005W	augustus_masked-scf7180000050354-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-scf7180000050354-processed-gene-0.96&CDS=1-1158
OG0003037	YMR008C	augustus_masked-scf7180000050354-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-scf7180000050354-processed-gene-0.134&CDS=1-1992
OG0003038	YMR009W	augustus_masked-scf7180000050297-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000050297-processed-gene-0.38&CDS=1-477
OG0003039	YMR010W	augustus_masked-scf7180000050297-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-scf7180000050297-processed-gene-0.37&CDS=1-1146
OG0003040	YMR012W	augustus_masked-scf7180000049385-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.69&CDS=1-3864
OG0003041	YMR013C	augustus_masked-scf7180000049385-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.92&CDS=1-1521
OG0003042	YMR014W	augustus_masked-scf7180000049385-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.70&CDS=1-1431
OG0003043	YMR015C	augustus_masked-scf7180000049385-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.93&CDS=1-1560
OG0003044	YMR020W	augustus_masked-scf7180000049385-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.100&CDS=1-3666
OG0003045	YMR021C	augustus_masked-scf7180000049385-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.76&CDS=1-1173
OG0003046	YMR022W	augustus_masked-scf7180000049385-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.99&CDS=1-495
OG0003047	YMR023C	augustus_masked-scf7180000049385-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.75&CDS=1-1503
OG0003048	YMR024W	genemark-scf7180000049385-processed-gene-0.149-mRNA-1_1&gene=genemark-scf7180000049385-processed-gene-0.149&CDS=1-1086
OG0003049	YMR025W	snap_masked-scf7180000049385-processed-gene-0.47-mRNA-1_1&gene=snap_masked-scf7180000049385-processed-gene-0.47&CDS=1-825
OG0003050	YMR026C	augustus_masked-scf7180000049385-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.74&CDS=1-1191
OG0003051	YMR027W	augustus_masked-scf7180000049385-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.83&CDS=1-1407
OG0003052	YMR028W	augustus_masked-scf7180000049385-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.82&CDS=1-1113
OG0003053	YMR029C	augustus_masked-scf7180000049385-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.59&CDS=1-1602
OG0003054	YMR030W	augustus_masked-scf7180000050350-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000050350-processed-gene-0.0&CDS=1-2787
OG0003055	YMR031C	augustus_masked-scf7180000049385-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.57&CDS=1-2736
OG0003056	YMR032W	augustus_masked-scf7180000049385-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.80&CDS=1-2019
OG0003057	YMR034C	augustus_masked-scf7180000049385-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.56&CDS=1-1263
OG0003058	YMR035W	augustus_masked-scf7180000049385-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.79&CDS=1-501
OG0003059	YMR036C	augustus_masked-scf7180000049385-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scf7180000049385-processed-gene-0.55&CDS=1-900
OG0003060	YMR041C	maker-scf7180000049385-augustus-gene-0.155-mRNA-1_1&gene=maker-scf7180000049385-augustus-gene-0.155&CDS=1-1563
OG0003061	YMR042W	augustus_masked-scf7180000050220-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000050220-processed-gene-0.38&CDS=1-492
OG0003062	YMR043W	augustus_masked-scf7180000049776-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000049776-processed-gene-0.14&CDS=1-660
OG0003063	YMR044W	snap_masked-scf7180000050220-processed-gene-0.20-mRNA-1_1&gene=snap_masked-scf7180000050220-processed-gene-0.20&CDS=1-1380
OG0003064	YMR047C	augustus_masked-scf7180000050220-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000050220-processed-gene-0.40&CDS=1-2940
OG0003065	YMR048W	augustus_masked-scf7180000050220-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000050220-processed-gene-0.44&CDS=1-1035
