	Saccharomyces_cerevisiae	yHMPu5000026124_Ogataea_henricii
OG0002612	YMR229C	genemark-flattened_line_44-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.35&CDS=1-5193
OG0002613	YMR231W	genemark-flattened_line_22-processed-gene-1.88-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.88&CDS=1-2982
OG0002614	YMR233W	genemark-flattened_line_44-processed-gene-1.110-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.110&CDS=1-732
OG0002615	YMR235C	genemark-flattened_line_10-processed-gene-3.113-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.113&CDS=1-1188
OG0002616	YMR238W	genemark-flattened_line_10-processed-gene-3.88-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.88&CDS=1-1410
OG0002617	YMR239C	augustus_masked-flattened_line_24-processed-gene-1.247-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.247&CDS=1-1632
OG0002618	YMR240C	genemark-flattened_line_24-processed-gene-1.158-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.158&CDS=1-1437
OG0002619	YMR241W	augustus_masked-flattened_line_112-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.2&CDS=1-933
OG0002620	YMR244C-A	genemark-flattened_line_48-processed-gene-0.100-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.100&CDS=1-315
OG0002621	YMR247C	augustus_masked-flattened_line_32-processed-gene-1.193-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.193&CDS=1-4644
OG0002622	YMR250W	genemark-flattened_line_26-processed-gene-1.172-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.172&CDS=1-1755
OG0002623	YMR256C	snap_masked-flattened_line_34-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.22&CDS=1-177
OG0002624	YMR258C	genemark-flattened_line_60-processed-gene-0.71-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.71&CDS=1-1641
OG0002625	YMR259C	maker-flattened_line_60-augustus-gene-0.115-mRNA-1_1&gene=maker-flattened_line_60-augustus-gene-0.115&CDS=1-3456
OG0002626	YMR260C	genemark-flattened_line_60-processed-gene-0.91-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.91&CDS=1-450
OG0002627	YMR262W	genemark-flattened_line_24-processed-gene-0.100-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.100&CDS=1-1023
OG0002628	YMR263W	genemark-flattened_line_114-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_114-processed-gene-0.9&CDS=1-516
OG0002629	YMR265C	genemark-flattened_line_10-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.29&CDS=1-1095
OG0002630	YMR267W	genemark-flattened_line_321-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_321-processed-gene-0.4&CDS=1-867
OG0002631	YMR268C	genemark-flattened_line_62-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.86&CDS=1-2598
OG0002632	YMR269W	genemark-flattened_line_62-processed-gene-0.104-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.104&CDS=1-597
OG0002633	YMR272C	genemark-flattened_line_90-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.53&CDS=1-1128
OG0002634	YMR274C	genemark-flattened_line_2-processed-gene-4.1-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.1&CDS=1-876
OG0002635	YMR277W	genemark-flattened_line_2-processed-gene-3.97-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.97&CDS=1-2478
OG0002636	YMR280C	genemark-flattened_line_34-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.99&CDS=1-3240
OG0002637	YMR281W	genemark-flattened_line_34-processed-gene-1.43-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.43&CDS=1-960
OG0002638	YMR283C	genemark-flattened_line_34-processed-gene-0.122-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.122&CDS=1-1359
OG0002639	YMR284W	genemark-flattened_line_118-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_118-processed-gene-0.11&CDS=1-1797
OG0002640	YMR285C	genemark-flattened_line_26-processed-gene-1.128-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.128&CDS=1-1443
OG0002641	YMR286W	augustus_masked-flattened_line_128-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.17&CDS=1-288
OG0002642	YMR287C	genemark-flattened_line_36-processed-gene-0.109-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.109&CDS=1-3174
OG0002643	YMR288W	genemark-flattened_line_20-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.92&CDS=1-3378
OG0002644	YMR289W	genemark-flattened_line_4-processed-gene-1.139-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.139&CDS=1-834
OG0002645	YMR290C	genemark-flattened_line_14-processed-gene-1.59-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.59&CDS=1-1671
OG0002646	YMR292W	genemark-flattened_line_12-processed-gene-2.57-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.57&CDS=1-417
OG0002647	YMR293C	genemark-flattened_line_12-processed-gene-2.36-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.36&CDS=1-1533
OG0002648	YMR296C	genemark-flattened_line_2-processed-gene-3.98-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.98&CDS=1-1719
OG0002649	YMR297W	genemark-flattened_line_2-processed-gene-1.47-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.47&CDS=1-1644
OG0002650	YMR300C	genemark-flattened_line_293-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_293-processed-gene-0.0&CDS=1-1680
OG0002651	YMR301C	genemark-flattened_line_4-processed-gene-4.54-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.54&CDS=1-2142
OG0002652	YMR302C	genemark-flattened_line_30-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.95&CDS=1-2472
OG0002653	YMR304W	genemark-flattened_line_6-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.111&CDS=1-3750
OG0002654	YMR307W	maker-flattened_line_26-snap-gene-0.66-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-0.66&CDS=1-3438
OG0002655	YMR308C	genemark-flattened_line_26-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.14&CDS=1-3276
OG0002656	YMR309C	genemark-flattened_line_0-processed-gene-6.165-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.165&CDS=1-2481
OG0002657	YMR310C	genemark-flattened_line_12-processed-gene-3.98-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.98&CDS=1-1050
OG0002658	YMR311C	genemark-flattened_line_18-processed-gene-2.29-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.29&CDS=1-657
OG0002659	YMR312W	genemark-flattened_line_18-processed-gene-1.17-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.17&CDS=1-807
OG0002660	YMR313C	augustus_masked-flattened_line_18-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.81&CDS=1-1710
OG0002661	YMR314W	genemark-flattened_line_18-processed-gene-2.20-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.20&CDS=1-903
OG0002662	YMR315W	genemark-flattened_line_4-processed-gene-1.105-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.105&CDS=1-1041
OG0002663	YNL001W	augustus_masked-flattened_line_28-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.50&CDS=1-2244
OG0002664	YNL003C	genemark-flattened_line_36-processed-gene-1.60-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.60&CDS=1-825
OG0002665	YNL005C	genemark-flattened_line_6-processed-gene-4.65-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.65&CDS=1-1140
OG0002666	YNL006W	genemark-flattened_line_0-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.34&CDS=1-909
OG0002667	YNL007C	genemark-flattened_line_0-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.35&CDS=1-1020
OG0002668	YNL010W	genemark-flattened_line_12-processed-gene-3.119-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.119&CDS=1-726
OG0002669	YNL011C	genemark-flattened_line_12-processed-gene-3.154-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.154&CDS=1-1584
OG0002670	YNL014W	genemark-flattened_line_12-processed-gene-3.117-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.117&CDS=1-3138
OG0002671	YNL015W	genemark-flattened_line_14-processed-gene-1.82-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.82&CDS=1-234
OG0002672	YNL016W	genemark-flattened_line_32-processed-gene-0.87-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.87&CDS=1-1311
OG0002673	YNL021W	genemark-flattened_line_8-processed-gene-2.98-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.98&CDS=1-2241
OG0002674	YNL022C	genemark-flattened_line_8-processed-gene-2.73-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.73&CDS=1-1308
OG0002675	YNL023C	genemark-flattened_line_18-processed-gene-1.2-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.2&CDS=1-2913
OG0002676	YNL024C-A	augustus_masked-flattened_line_32-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.63&CDS=1-210
OG0002677	YNL025C	genemark-flattened_line_32-processed-gene-0.102-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.102&CDS=1-984
OG0002678	YNL026W	genemark-flattened_line_32-processed-gene-0.85-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.85&CDS=1-1488
OG0002679	YNL032W	genemark-flattened_line_32-processed-gene-0.122-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.122&CDS=1-831
OG0002680	YNL035C	genemark-flattened_line_8-processed-gene-2.71-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.71&CDS=1-1182
OG0002681	YNL036W	genemark-flattened_line_68-processed-gene-0.87-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.87&CDS=1-795
OG0002682	YNL037C	maker-flattened_line_26-snap-gene-0.65-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-0.65&CDS=1-2526
OG0002683	YNL039W	genemark-flattened_line_8-processed-gene-2.97-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.97&CDS=1-1965
OG0002684	YNL040W	genemark-flattened_line_2-processed-gene-5.111-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.111&CDS=1-1260
OG0002685	YNL041C	genemark-flattened_line_22-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.58&CDS=1-2406
OG0002686	YNL042W	genemark-flattened_line_22-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.81&CDS=1-834
OG0002687	YNL044W	maker-flattened_line_60-augustus-gene-0.112-mRNA-1_1&gene=maker-flattened_line_60-augustus-gene-0.112&CDS=1-531
OG0002688	YNL045W	genemark-flattened_line_0-processed-gene-4.75-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.75&CDS=1-1917
OG0002689	YNL048W	maker-flattened_line_36-augustus-gene-1.155-mRNA-1_1&gene=maker-flattened_line_36-augustus-gene-1.155&CDS=1-2613
OG0002690	YNL049C	genemark-flattened_line_36-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.96&CDS=1-2805
OG0002691	YNL051W	genemark-flattened_line_36-processed-gene-1.0-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.0&CDS=1-1191
OG0002692	YNL055C	genemark-flattened_line_30-processed-gene-0.83-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.83&CDS=1-852
OG0002693	YNL056W	genemark-flattened_line_30-processed-gene-0.84-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.84&CDS=1-915
OG0002694	YNL059C	genemark-flattened_line_128-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_128-processed-gene-0.16&CDS=1-2247
OG0002695	YNL061W	augustus_masked-flattened_line_128-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.19&CDS=1-1866
OG0002696	YNL062C	genemark-flattened_line_128-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_128-processed-gene-0.15&CDS=1-1197
OG0002697	YNL064C	genemark-flattened_line_18-processed-gene-2.23-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.23&CDS=1-1218
OG0002698	YNL066W	snap_masked-flattened_line_86-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.1&CDS=1-1263
OG0002699	YNL069C	augustus_masked-flattened_line_4-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.96&CDS=1-600
OG0002700	YNL071W	genemark-flattened_line_38-processed-gene-1.79-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.79&CDS=1-1413
OG0002701	YNL072W	genemark-flattened_line_38-processed-gene-1.99-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.99&CDS=1-957
OG0002702	YNL075W	genemark-flattened_line_0-processed-gene-6.163-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.163&CDS=1-1353
OG0002703	YNL080C	genemark-flattened_line_10-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.21&CDS=1-1161
OG0002704	YNL081C	maker-flattened_line_10-augustus-gene-0.126-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-0.126&CDS=1-363
OG0002705	YNL082W	augustus_masked-flattened_line_40-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-1.27&CDS=1-3630
OG0002706	YNL083W	genemark-flattened_line_22-processed-gene-1.109-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.109&CDS=1-1539
OG0002707	YNL084C	genemark-flattened_line_28-processed-gene-1.110-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.110&CDS=1-1149
OG0002708	YNL085W	snap_masked-flattened_line_14-processed-gene-0.137-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.137&CDS=1-2658
OG0002709	YNL088W	genemark-flattened_line_10-processed-gene-2.120-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.120&CDS=1-4347
OG0002710	YNL090W	genemark-flattened_line_12-processed-gene-2.24-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.24&CDS=1-585
OG0002711	YNL091W	genemark-flattened_line_12-processed-gene-2.23-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.23&CDS=1-3432
OG0002712	YNL092W	augustus_masked-flattened_line_12-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.72&CDS=1-1209
OG0002713	YNL094W	snap_masked-flattened_line_12-processed-gene-2.141-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.141&CDS=1-1578
OG0002714	YNL097C	genemark-flattened_line_50-processed-gene-0.65-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.65&CDS=1-1263
OG0002715	YNL099C	genemark-flattened_line_8-processed-gene-4.10-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.10&CDS=1-639
OG0002716	YNL101W	snap_masked-flattened_line_8-processed-gene-4.116-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.116&CDS=1-1911
OG0002717	YNL102W	genemark-flattened_line_8-processed-gene-4.4-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.4&CDS=1-4332
OG0002718	YNL107W	genemark-flattened_line_0-processed-gene-6.119-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.119&CDS=1-657
OG0002719	YNL108C	maker-flattened_line_82-augustus-gene-0.45-mRNA-1_1&gene=maker-flattened_line_82-augustus-gene-0.45&CDS=1-1296
OG0002720	YNL110C	genemark-flattened_line_38-processed-gene-1.77-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.77&CDS=1-843
OG0002721	YNL111C	genemark-flattened_line_38-processed-gene-1.116-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.116&CDS=1-363
OG0002722	YNL113W	genemark-flattened_line_4-processed-gene-3.25-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.25&CDS=1-438
OG0002723	YNL118C	genemark-flattened_line_58-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.96&CDS=1-2625
OG0002724	YNL122C	augustus_masked-flattened_line_8-processed-gene-3.144-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.144&CDS=1-750
OG0002725	YNL123W	snap_masked-flattened_line_8-processed-gene-3.17-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-3.17&CDS=1-3024
OG0002726	YNL124W	genemark-flattened_line_8-processed-gene-3.97-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.97&CDS=1-1713
OG0002727	YNL126W	genemark-flattened_line_8-processed-gene-3.101-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.101&CDS=1-5607
OG0002728	YNL128W	genemark-flattened_line_8-processed-gene-3.102-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.102&CDS=1-1245
OG0002729	YNL129W	genemark-flattened_line_8-processed-gene-3.99-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.99&CDS=1-726
OG0002730	YNL131W	genemark-flattened_line_8-processed-gene-3.77-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.77&CDS=1-486
OG0002731	YNL132W	genemark-flattened_line_8-processed-gene-3.75-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.75&CDS=1-3168
OG0002732	YNL135C	genemark-flattened_line_118-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_118-processed-gene-0.13&CDS=1-327
OG0002733	YNL137C	augustus_masked-flattened_line_128-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.18&CDS=1-2208
OG0002734	YNL138W	augustus_masked-flattened_line_44-processed-gene-1.162-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-1.162&CDS=1-1566
OG0002735	YNL138W-A	genemark-flattened_line_68-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.96&CDS=1-237
OG0002736	YNL139C	genemark-flattened_line_68-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.75&CDS=1-4953
OG0002737	YNL141W	genemark-flattened_line_56-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.46&CDS=1-1065
OG0002738	YNL142W	genemark-flattened_line_30-processed-gene-0.68-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.68&CDS=1-1407
OG0002739	YNL147W	maker-flattened_line_70-snap-gene-0.102-mRNA-1_1&gene=maker-flattened_line_70-snap-gene-0.102&CDS=1-363
OG0002740	YNL149C	genemark-flattened_line_70-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.18&CDS=1-381
OG0002741	YNL151C	genemark-flattened_line_70-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.19&CDS=1-675
OG0002742	YNL152W	genemark-flattened_line_70-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.45&CDS=1-1272
OG0002743	YNL153C	genemark-flattened_line_6-processed-gene-1.73-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.73&CDS=1-387
OG0002744	YNL155W	genemark-flattened_line_2-processed-gene-3.120-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.120&CDS=1-879
OG0002745	YNL161W	snap_masked-flattened_line_0-processed-gene-1.113-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.113&CDS=1-2055
OG0002746	YNL163C	maker-flattened_line_48-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_48-snap-gene-0.2&CDS=1-3534
OG0002747	YNL166C	genemark-flattened_line_44-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.37&CDS=1-741
OG0002748	YNL167C	genemark-flattened_line_54-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.16&CDS=1-1554
OG0002749	YNL168C	genemark-flattened_line_54-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.17&CDS=1-699
OG0002750	YNL169C	snap_masked-flattened_line_36-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.8&CDS=1-1740
OG0002751	YNL172W	genemark-flattened_line_36-processed-gene-0.87-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.87&CDS=1-5010
OG0002752	YNL175C	augustus_masked-flattened_line_0-processed-gene-6.189-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.189&CDS=1-1074
OG0002753	YNL177C	genemark-flattened_line_30-processed-gene-0.64-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.64&CDS=1-876
OG0002754	YNL178W	genemark-flattened_line_8-processed-gene-3.64-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.64&CDS=1-723
OG0002755	YNL181W	genemark-flattened_line_8-processed-gene-2.76-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.76&CDS=1-1383
OG0002756	YNL182C	genemark-flattened_line_8-processed-gene-2.104-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.104&CDS=1-1476
OG0002757	YNL183C	genemark-flattened_line_68-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.76&CDS=1-2466
OG0002758	YNL185C	genemark-flattened_line_68-processed-gene-0.77-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.77&CDS=1-447
OG0002759	YNL186W	genemark-flattened_line_68-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.97&CDS=1-2352
OG0002760	YNL189W	genemark-flattened_line_56-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.24&CDS=1-1629
OG0002761	YNL191W	genemark-flattened_line_56-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.61&CDS=1-1092
OG0002762	YNL193W	genemark-flattened_line_60-processed-gene-0.77-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.77&CDS=1-1560
OG0002763	YNL200C	genemark-flattened_line_8-processed-gene-4.21-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.21&CDS=1-708
OG0002764	YNL201C	genemark-flattened_line_8-processed-gene-4.48-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.48&CDS=1-2385
OG0002765	YNL202W	genemark-flattened_line_8-processed-gene-4.47-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.47&CDS=1-837
OG0002766	YNL206C	genemark-flattened_line_12-processed-gene-2.48-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.48&CDS=1-1212
OG0002767	YNL207W	genemark-flattened_line_12-processed-gene-2.52-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.52&CDS=1-1293
OG0002768	YNL209W	genemark-flattened_line_12-processed-gene-2.32-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.32&CDS=1-1839
OG0002769	YNL212W	genemark-flattened_line_10-processed-gene-2.99-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.99&CDS=1-2376
OG0002770	YNL218W	maker-flattened_line_68-snap-gene-0.55-mRNA-1_1&gene=maker-flattened_line_68-snap-gene-0.55&CDS=1-2562
OG0002771	YNL219C	maker-flattened_line_10-snap-gene-1.141-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-1.141&CDS=1-2514
OG0002772	YNL220W	genemark-flattened_line_14-processed-gene-1.81-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.81&CDS=1-1284
OG0002773	YNL221C	genemark-flattened_line_4-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.111&CDS=1-4539
OG0002774	YNL222W	genemark-flattened_line_12-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.69&CDS=1-675
OG0002775	YNL223W	genemark-flattened_line_94-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.14&CDS=1-1637
OG0002776	YNL224C	genemark-flattened_line_94-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.26&CDS=1-2031
OG0002777	YNL227C	snap_masked-flattened_line_42-processed-gene-0.133-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.133&CDS=1-1707
OG0002778	YNL229C	genemark-flattened_line_4-processed-gene-1.96-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.96&CDS=1-921
OG0002779	YNL231C	genemark-flattened_line_6-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.92&CDS=1-1152
OG0002780	YNL232W	augustus_masked-flattened_line_6-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.16&CDS=1-411
OG0002781	YNL233W	snap_masked-flattened_line_6-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.12&CDS=1-3537
OG0002782	YNL234W	genemark-flattened_line_6-processed-gene-0.90-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.90&CDS=1-1242
OG0002783	YNL236W	genemark-flattened_line_6-processed-gene-0.89-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.89&CDS=1-3504
OG0002784	YNL237W	maker-flattened_line_102-snap-gene-0.63-mRNA-1_1&gene=maker-flattened_line_102-snap-gene-0.63&CDS=1-3225
OG0002785	YNL238W	genemark-flattened_line_102-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_102-processed-gene-0.8&CDS=1-2595
OG0002786	YNL239W	genemark-flattened_line_102-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_102-processed-gene-0.7&CDS=1-1344
OG0002787	YNL240C	genemark-flattened_line_102-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_102-processed-gene-0.5&CDS=1-1665
OG0002788	YNL241C	genemark-flattened_line_102-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_102-processed-gene-0.6&CDS=1-1515
OG0002789	YNL243W	augustus_masked-flattened_line_229-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_229-processed-gene-0.4&CDS=1-2823
OG0002790	YNL244C	genemark-flattened_line_66-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.47&CDS=1-327
OG0002791	YNL245C	snap_masked-flattened_line_66-processed-gene-0.142-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.142&CDS=1-201
