	Nakaseomyces_bracarensis	Saccharomyces_cerevisiae
OG0003386	snap_masked-CABR0S37-processed-gene-6.97-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-6.97&CDS=1-738	YGR195W
OG0003387	snap_masked-CABR0S37-processed-gene-6.118-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-6.118&CDS=1-2511	YGR196C
OG0003388	augustus_masked-CABR0S37-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-6.34&CDS=1-1182	YPL193W
OG0003389	augustus_masked-CABR0S37-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-6.35&CDS=1-1830	YPL194W
OG0003390	snap_masked-CABR0S37-processed-gene-6.122-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-6.122&CDS=1-2715	YPL195W
OG0003391	snap_masked-CABR0S37-processed-gene-6.123-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-6.123&CDS=1-849	YPL196W
OG0003392	snap_masked-CABR0S37-processed-gene-6.100-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-6.100&CDS=1-753	YPL199C
OG0003393	augustus_masked-CABR0S37-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-6.15&CDS=1-1458	YPL201C
OG0003394	augustus_masked-CABR0S37-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-6.17&CDS=1-3162	YOR349W
OG0003395	snap_masked-CABR0S37-processed-gene-6.126-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-6.126&CDS=1-393	YOR351C
OG0003396	genemark-CABR0S37-processed-gene-6.61-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-6.61&CDS=1-900	YOR352W
OG0003397	snap_masked-CABR0S37-processed-gene-7.2-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.2&CDS=1-2667	YOR353C
OG0003398	snap_masked-CABR0S37-processed-gene-7.3-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.3&CDS=1-2115	YOR354C
OG0003399	snap_masked-CABR0S37-processed-gene-7.0-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.0&CDS=1-2529	YLR115W
OG0003400	snap_masked-CABR0S37-processed-gene-7.1-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.1&CDS=1-1446	YLR116W
OG0003401	snap_masked-CABR0S37-processed-gene-7.17-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.17&CDS=1-2067	YLR117C
OG0003402	augustus_masked-CABR0S37-processed-gene-7.44-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-7.44&CDS=1-2289	YDR181C
OG0003403	augustus_masked-CABR0S37-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-7.59&CDS=1-5184	YDR180W
OG0003404	genemark-CABR0S37-processed-gene-7.83-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-7.83&CDS=1-453	YDR179C
OG0003405	snap_masked-CABR0S37-processed-gene-7.19-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.19&CDS=1-501	YDR178W
OG0003406	augustus_masked-CABR0S37-processed-gene-7.46-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-7.46&CDS=1-2289	YMR032W
OG0003407	snap_masked-CABR0S37-processed-gene-7.7-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.7&CDS=1-1389	YMR033W
OG0003408	genemark-CABR0S37-processed-gene-7.103-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-7.103&CDS=1-1125	YMR034C
OG0003409	genemark-CABR0S37-processed-gene-7.86-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-7.86&CDS=1-516	YMR035W
OG0003410	genemark-CABR0S37-processed-gene-7.104-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-7.104&CDS=1-1623	YMR036C
OG0003411	snap_masked-CABR0S37-processed-gene-7.23-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.23&CDS=1-711	YMR038C
OG0003412	snap_masked-CABR0S37-processed-gene-7.24-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.24&CDS=1-840	YMR039C
OG0003413	snap_masked-CABR0S37-processed-gene-7.25-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.25&CDS=1-1005	YMR041C
OG0003414	snap_masked-CABR0S37-processed-gene-7.8-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.8&CDS=1-528	YKL069W
OG0003415	snap_masked-CABR0S37-processed-gene-7.26-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.26&CDS=1-873	YMR048W
OG0003416	genemark-CABR0S37-processed-gene-7.110-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-7.110&CDS=1-1398	YMR044W
OG0003417	snap_masked-CABR0S37-processed-gene-7.28-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.28&CDS=1-444	YMR042W
OG0003418	snap_masked-CABR0S37-processed-gene-7.32-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.32&CDS=1-2640	YKL073W
OG0003419	genemark-CABR0S37-processed-gene-7.115-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-7.115&CDS=1-939	YMR055C
OG0003420	genemark-CABR0S37-processed-gene-7.90-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-7.90&CDS=1-1887	YMR058W
OG0003421	genemark-CABR0S37-processed-gene-7.91-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-7.91&CDS=1-378	YMR059W
OG0003422	augustus_masked-CABR0S37-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-7.71&CDS=1-915	YMR060C
OG0003423	snap_masked-CABR0S37-processed-gene-7.12-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.12&CDS=1-1953	YMR061W
OG0003424	snap_masked-CABR0S37-processed-gene-7.34-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.34&CDS=1-1323	YMR062C
OG0003425	snap_masked-CABR0S37-processed-gene-7.35-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.35&CDS=1-2238	YKL078W
OG0003426	genemark-CABR0S37-processed-gene-7.93-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-7.93&CDS=1-750	YMR063W
OG0003427	snap_masked-CABR0S37-processed-gene-7.13-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.13&CDS=1-1341	YMR065W
OG0003428	snap_masked-CABR0S37-processed-gene-7.14-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.14&CDS=1-2598	YMR066W
OG0003429	augustus_masked-CABR0S37-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-7.74&CDS=1-1290	YMR067C
OG0003430	snap_masked-CABR0S37-processed-gene-7.15-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.15&CDS=1-1242	YMR068W
OG0003431	augustus_masked-CABR0S37-processed-gene-7.75-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-7.75&CDS=1-1350	YHR005C
OG0003432	snap_masked-CABR0S37-processed-gene-7.39-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.39&CDS=1-276	YHR005C-A
OG0003433	snap_masked-CABR0S37-processed-gene-7.16-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.16&CDS=1-510	YIR022W
OG0003434	snap_masked-CABR0S37-processed-gene-8.90-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.90&CDS=1-2451	YIR023W
OG0003435	augustus_masked-CABR0S37-processed-gene-8.6-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-8.6&CDS=1-630	YIR024C
OG0003436	snap_masked-CABR0S37-processed-gene-8.91-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.91&CDS=1-1224	YIR025W
OG0003437	genemark-CABR0S37-processed-gene-8.50-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-8.50&CDS=1-1071	YIR026C
OG0003438	snap_masked-CABR0S37-processed-gene-8.92-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.92&CDS=1-3117	YDR325W
OG0003439	snap_masked-CABR0S37-processed-gene-8.114-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.114&CDS=1-534	YDR328C
OG0003440	snap_masked-CABR0S37-processed-gene-8.115-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.115&CDS=1-1422	YDR329C
OG0003441	snap_masked-CABR0S37-processed-gene-8.95-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.95&CDS=1-1539	YDR330W
OG0003442	genemark-CABR0S37-processed-gene-8.53-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-8.53&CDS=1-1179	YDR331W
OG0003443	genemark-CABR0S37-processed-gene-8.54-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-8.54&CDS=1-2049	YDR332W
OG0003444	snap_masked-CABR0S37-processed-gene-8.116-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.116&CDS=1-2142	YDR333C
OG0003445	snap_masked-CABR0S37-processed-gene-8.98-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.98&CDS=1-1005	YHR085W
OG0003446	snap_masked-CABR0S37-processed-gene-8.99-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.99&CDS=1-4443	YDR334W
OG0003447	snap_masked-CABR0S37-processed-gene-8.117-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.117&CDS=1-972	YGR144W
OG0003448	snap_masked-CABR0S37-processed-gene-8.100-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.100&CDS=1-3666	YDR335W
OG0003449	snap_masked-CABR0S37-processed-gene-8.101-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.101&CDS=1-990	YDR336W
OG0003450	snap_masked-CABR0S37-processed-gene-8.102-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.102&CDS=1-867	YDR337W
OG0003451	snap_masked-CABR0S37-processed-gene-8.118-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.118&CDS=1-2094	YDR338C
OG0003452	snap_masked-CABR0S37-processed-gene-8.119-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.119&CDS=1-567	YDR339C
OG0003453	genemark-CABR0S37-processed-gene-8.78-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-8.78&CDS=1-1269	YJL046W
OG0003454	augustus_masked-CABR0S37-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-8.18&CDS=1-2355	YJL047C
OG0003455	augustus_masked-CABR0S37-processed-gene-8.36-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-8.36&CDS=1-1356	YJL049W
OG0003456	snap_masked-CABR0S37-processed-gene-8.122-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.122&CDS=1-3198	YJL050W
OG0003457	snap_masked-CABR0S37-processed-gene-8.123-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.123&CDS=1-2553	YJL051W
OG0003458	genemark-CABR0S37-processed-gene-8.82-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-8.82&CDS=1-1017	YJL053W
OG0003459	snap_masked-CABR0S37-processed-gene-8.124-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.124&CDS=1-1353	YJL054W
OG0003460	snap_masked-CABR0S37-processed-gene-8.125-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.125&CDS=1-681	YJL055W
OG0003461	snap_masked-CABR0S37-processed-gene-8.106-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.106&CDS=1-2142	YJL056C
OG0003462	genemark-CABR0S37-processed-gene-8.65-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-8.65&CDS=1-1716	YJL057C
OG0003463	genemark-CABR0S37-processed-gene-8.85-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-8.85&CDS=1-1242	YJL059W
OG0003464	snap_masked-CABR0S37-processed-gene-8.126-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.126&CDS=1-1284	YJL060W
OG0003465	snap_masked-CABR0S37-processed-gene-8.127-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.127&CDS=1-2127	YJL061W
OG0003466	snap_masked-CABR0S37-processed-gene-8.128-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.128&CDS=1-2535	YJL062W
OG0003467	snap_masked-CABR0S37-processed-gene-8.129-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.129&CDS=1-258	YJL062W-A
OG0003468	snap_masked-CABR0S37-processed-gene-8.108-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.108&CDS=1-732	YJL063C
OG0003469	snap_masked-CABR0S37-processed-gene-8.109-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.109&CDS=1-672	YJL065C
OG0003470	augustus_masked-CABR0S37-processed-gene-8.25-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-8.25&CDS=1-912	YJL066C
OG0003471	snap_masked-CABR0S37-processed-gene-8.111-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.111&CDS=1-885	YJL068C
OG0003472	genemark-CABR0S37-processed-gene-8.70-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-8.70&CDS=1-1827	YJL069C
OG0003473	snap_masked-CABR0S37-processed-gene-8.113-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.113&CDS=1-2568	YJL070C
OG0003474	snap_masked-CABR0S37-processed-gene-8.130-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-8.130&CDS=1-1737	YJL071W
OG0003475	genemark-CABR0S37-processed-gene-9.86-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-9.86&CDS=1-651	YJL072C
OG0003476	genemark-CABR0S37-processed-gene-9.88-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-9.88&CDS=1-1953	YJL073W
OG0003477	genemark-CABR0S37-processed-gene-9.87-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-9.87&CDS=1-3666	YJL074C
OG0003478	augustus_masked-CABR0S37-processed-gene-9.47-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-9.47&CDS=1-4968	YJL076W
OG0003479	genemark-CABR0S37-processed-gene-9.111-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-9.111&CDS=1-1395	YLR163C
OG0003480	snap_masked-CABR0S37-processed-gene-9.27-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.27&CDS=1-711	YLR165C
OG0003481	snap_masked-CABR0S37-processed-gene-9.28-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.28&CDS=1-2484	YLR166C
OG0003482	snap_masked-CABR0S37-processed-gene-9.3-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.3&CDS=1-594	YGL200C
OG0003483	snap_masked-CABR0S37-processed-gene-9.4-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.4&CDS=1-1698	YKL100C
OG0003484	snap_masked-CABR0S37-processed-gene-9.29-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.29&CDS=1-4467	YKL101W
OG0003485	genemark-CABR0S37-processed-gene-9.92-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-9.92&CDS=1-1530	YKL103C
OG0003486	genemark-CABR0S37-processed-gene-9.93-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-9.93&CDS=1-2169	YKL104C
OG0003487	snap_masked-CABR0S37-processed-gene-9.30-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.30&CDS=1-1329	YKL106W
OG0003488	snap_masked-CABR0S37-processed-gene-9.31-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.31&CDS=1-1164	YKL108W
OG0003489	snap_masked-CABR0S37-processed-gene-9.7-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.7&CDS=1-879	YKL110C
OG0003490	genemark-CABR0S37-processed-gene-9.95-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-9.95&CDS=1-612	YIR017C
OG0003491	augustus_masked-CABR0S37-processed-gene-9.75-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-9.75&CDS=1-1047	YIR014W
OG0003492	augustus_masked-CABR0S37-processed-gene-9.54-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-9.54&CDS=1-1137	YOL028C
OG0003493	genemark-CABR0S37-processed-gene-9.97-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-9.97&CDS=1-519	YMR009W
OG0003494	snap_masked-CABR0S37-processed-gene-9.13-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.13&CDS=1-1341	YMR010W
OG0003495	snap_masked-CABR0S37-processed-gene-9.14-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.14&CDS=1-1506	YHL021C
OG0003496	snap_masked-CABR0S37-processed-gene-9.15-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.15&CDS=1-990	YOR261C
OG0003497	snap_masked-CABR0S37-processed-gene-9.35-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.35&CDS=1-1593	YOR260W
OG0003498	snap_masked-CABR0S37-processed-gene-9.16-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.16&CDS=1-1329	YOR259C
OG0003499	snap_masked-CABR0S37-processed-gene-9.36-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.36&CDS=1-636	YOR258W
OG0003500	snap_masked-CABR0S37-processed-gene-9.37-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.37&CDS=1-483	YOR257W
OG0003501	augustus_masked-CABR0S37-processed-gene-9.79-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-9.79&CDS=1-744	YOR255W
OG0003502	snap_masked-CABR0S37-processed-gene-9.38-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.38&CDS=1-504	YOR253W
OG0003503	snap_masked-CABR0S37-processed-gene-9.39-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.39&CDS=1-576	YOR252W
OG0003504	snap_masked-CABR0S37-processed-gene-9.18-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.18&CDS=1-906	YOR251C
OG0003505	snap_masked-CABR0S37-processed-gene-9.19-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.19&CDS=1-1353	YOR250C
OG0003506	augustus_masked-CABR0S37-processed-gene-9.63-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-9.63&CDS=1-1974	YOR249C
OG0003507	snap_masked-CABR0S37-processed-gene-9.21-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.21&CDS=1-978	YOR246C
OG0003508	snap_masked-CABR0S37-processed-gene-9.22-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.22&CDS=1-3273	YPL160W
OG0003509	snap_masked-CABR0S37-processed-gene-9.23-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.23&CDS=1-1287	YOR245C
OG0003510	snap_masked-CABR0S37-processed-gene-9.24-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.24&CDS=1-2001	YOR243C
OG0003511	snap_masked-CABR0S37-processed-gene-9.25-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.25&CDS=1-1110	YOR242C
OG0003512	snap_masked-CABR0S37-processed-gene-9.42-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.42&CDS=1-1491	YOR241W
OG0003513	snap_masked-CABR0S37-processed-gene-9.43-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-9.43&CDS=1-1608	YOR239W
OG0003514	snap_masked-CABR0S37-processed-gene-10.6-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.6&CDS=1-657	YOR236W
OG0003515	snap_masked-CABR0S37-processed-gene-10.30-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.30&CDS=1-1431	YGL192W
OG0003516	genemark-CABR0S37-processed-gene-10.56-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-10.56&CDS=1-1353	YGL194C
OG0003517	snap_masked-CABR0S37-processed-gene-10.8-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.8&CDS=1-1809	YNL008C
OG0003518	snap_masked-CABR0S37-processed-gene-10.31-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.31&CDS=1-1776	YMR120C
OG0003519	snap_masked-CABR0S37-processed-gene-10.10-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.10&CDS=1-3513	YLR032W
OG0003520	genemark-CABR0S37-processed-gene-10.60-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-10.60&CDS=1-1467	YLR033W
OG0003521	genemark-CABR0S37-processed-gene-10.80-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-10.80&CDS=1-2118	YLR035C
OG0003522	genemark-CABR0S37-processed-gene-10.81-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-10.81&CDS=1-3573	YLR039C
OG0003523	snap_masked-CABR0S37-processed-gene-10.35-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.35&CDS=1-3201	YGR047C
OG0003524	snap_masked-CABR0S37-processed-gene-10.17-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.17&CDS=1-1110	YDL078C
OG0003525	snap_masked-CABR0S37-processed-gene-10.18-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.18&CDS=1-1113	YMR139W
OG0003526	snap_masked-CABR0S37-processed-gene-10.38-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.38&CDS=1-1305	YDL084W
OG0003527	snap_masked-CABR0S37-processed-gene-10.21-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.21&CDS=1-198	YDL085C-A
OG0003528	snap_masked-CABR0S37-processed-gene-10.39-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.39&CDS=1-1041	YMR146C
OG0003529	snap_masked-CABR0S37-processed-gene-10.40-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.40&CDS=1-819	YDL086W
OG0003530	genemark-CABR0S37-processed-gene-10.67-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-10.67&CDS=1-606	YPL034W
OG0003531	snap_masked-CABR0S37-processed-gene-10.41-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.41&CDS=1-951	YPL033C
OG0003532	snap_masked-CABR0S37-processed-gene-10.22-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.22&CDS=1-741	YDL087C
OG0003533	snap_masked-CABR0S37-processed-gene-10.23-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.23&CDS=1-1461	YDL088C
OG0003534	snap_masked-CABR0S37-processed-gene-10.42-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.42&CDS=1-1290	YDL089W
OG0003535	snap_masked-CABR0S37-processed-gene-10.24-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.24&CDS=1-1296	YDL090C
OG0003536	snap_masked-CABR0S37-processed-gene-10.25-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.25&CDS=1-1284	YDL091C
OG0003537	snap_masked-CABR0S37-processed-gene-10.43-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.43&CDS=1-396	YDL092W
OG0003538	snap_masked-CABR0S37-processed-gene-10.45-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.45&CDS=1-2514	YDL095W
OG0003539	snap_masked-CABR0S37-processed-gene-10.26-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.26&CDS=1-1287	YDL097C
OG0003540	snap_masked-CABR0S37-processed-gene-10.27-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.27&CDS=1-552	YDL098C
OG0003541	snap_masked-CABR0S37-processed-gene-10.46-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.46&CDS=1-1002	YDL099W
OG0003542	snap_masked-CABR0S37-processed-gene-10.28-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.28&CDS=1-1050	YDL100C
OG0003543	genemark-CABR0S37-processed-gene-10.75-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-10.75&CDS=1-1551	YDL101C
OG0003544	genemark-CABR0S37-processed-gene-11.2-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-11.2&CDS=1-3288	YDL102W
OG0003545	snap_masked-CABR0S37-processed-gene-11.43-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.43&CDS=1-1416	YDL103C
OG0003546	genemark-CABR0S37-processed-gene-11.3-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-11.3&CDS=1-981	YLR316C
OG0003547	snap_masked-CABR0S37-processed-gene-11.45-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.45&CDS=1-2220	YLR318W
OG0003548	snap_masked-CABR0S37-processed-gene-11.47-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.47&CDS=1-2265	YLR319C
OG0003549	snap_masked-CABR0S37-processed-gene-11.48-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.48&CDS=1-4173	YLR320W
OG0003550	snap_masked-CABR0S37-processed-gene-11.74-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.74&CDS=1-738	YLR323C
OG0003551	augustus_masked-CABR0S37-processed-gene-11.114-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-11.114&CDS=1-234	YLR325C
OG0003552	snap_masked-CABR0S37-processed-gene-11.51-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.51&CDS=1-543	YLR326W
OG0003553	snap_masked-CABR0S37-processed-gene-11.75-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.75&CDS=1-1485	YPL262W
OG0003554	snap_masked-CABR0S37-processed-gene-11.53-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.53&CDS=1-645	YLR356W
OG0003555	snap_masked-CABR0S37-processed-gene-11.56-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.56&CDS=1-1446	YLR359W
OG0003556	snap_masked-CABR0S37-processed-gene-11.76-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.76&CDS=1-1725	YLR361C
OG0003557	genemark-CABR0S37-processed-gene-11.15-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-11.15&CDS=1-2031	YLR362W
OG0003558	genemark-CABR0S37-processed-gene-11.33-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-11.33&CDS=1-729	YLR363C
OG0003559	snap_masked-CABR0S37-processed-gene-11.59-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.59&CDS=1-252	YLR363W-A
OG0003560	snap_masked-CABR0S37-processed-gene-11.60-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.60&CDS=1-324	YLR364W
OG0003561	snap_masked-CABR0S37-processed-gene-11.61-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.61&CDS=1-1842	YLR368W
OG0003562	snap_masked-CABR0S37-processed-gene-11.78-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.78&CDS=1-528	YLR370C
OG0003563	snap_masked-CABR0S37-processed-gene-11.63-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.63&CDS=1-4110	YLR371W
