	Ogataea_parapolymorpha	Saccharomyces_cerevisiae
OG0002592	augustus_masked-NC_027865.1-processed-gene-5.112-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-5.112&CDS=1-1461	YMR098C
OG0002593	augustus_masked-NC_027865.1-processed-gene-5.89-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-5.89&CDS=1-2448	YIR023W
OG0002594	augustus_masked-NC_027865.1-processed-gene-5.114-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-5.114&CDS=1-3216	YHR002W
OG0002595	augustus_masked-NC_027865.1-processed-gene-5.115-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-5.115&CDS=1-1134	YLR321C
OG0002596	maker-NC_027865.1-augustus-gene-5.11-mRNA-1_1&gene=maker-NC_027865.1-augustus-gene-5.11&CDS=1-627	YAL003W
OG0002597	augustus_masked-NC_027865.1-processed-gene-5.94-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-5.94&CDS=1-2331	YGR200C
OG0002598	augustus_masked-NC_027865.1-processed-gene-5.117-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-5.117&CDS=1-330	YJR048W
OG0002599	snap_masked-NC_027865.1-processed-gene-5.39-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-5.39&CDS=1-2004	YPR024W
OG0002600	snap_masked-NC_027865.1-processed-gene-5.68-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-5.68&CDS=1-3105	YIL026C
OG0002601	snap_masked-NC_027865.1-processed-gene-5.40-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-5.40&CDS=1-1197	YIL023C
OG0002602	snap_masked-NC_027865.1-processed-gene-5.42-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-5.42&CDS=1-1116	YIL094C
OG0002603	augustus_masked-NC_027865.1-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-5.120&CDS=1-1299	YNL022C
OG0002604	augustus_masked-NC_027865.1-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-5.98&CDS=1-2148	YNL021W
OG0002605	augustus_masked-NC_027865.1-processed-gene-5.122-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-5.122&CDS=1-1089	YNL035C
OG0002606	augustus_masked-NC_027865.1-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-5.99&CDS=1-711	YML014W
OG0002607	augustus_masked-NC_027865.1-processed-gene-5.100-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-5.100&CDS=1-1368	YJR003C
OG0002608	augustus_masked-NC_027865.1-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-5.101&CDS=1-600	YKL001C
OG0002609	augustus_masked-NC_027865.1-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.12&CDS=1-3264	YIL147C
OG0002610	augustus_masked-NC_027865.1-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.15&CDS=1-1524	YIL150C
OG0002611	augustus_masked-NC_027865.1-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.17&CDS=1-1683	YDR232W
OG0002612	augustus_masked-NC_027865.1-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.38&CDS=1-864	YKL110C
OG0002613	augustus_masked-NC_027865.1-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.19&CDS=1-5280	YGR218W
OG0002614	maker-NC_027865.1-augustus-gene-6.8-mRNA-1_1&gene=maker-NC_027865.1-augustus-gene-6.8&CDS=1-1308	YKR003W
OG0002615	augustus_masked-NC_027865.1-processed-gene-6.40-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.40&CDS=1-5163	YKR002W
OG0002616	augustus_masked-NC_027865.1-processed-gene-6.20-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.20&CDS=1-1152	YNL040W
OG0002617	augustus_masked-NC_027865.1-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.21&CDS=1-1068	YNR074C
OG0002618	augustus_masked-NC_027865.1-processed-gene-6.43-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.43&CDS=1-1650	YBR293W
OG0002619	augustus_masked-NC_027865.1-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.23&CDS=1-1332	YPL254W
OG0002620	augustus_masked-NC_027865.1-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.24&CDS=1-2769	YHR027C
OG0002621	augustus_masked-NC_027865.1-processed-gene-6.48-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.48&CDS=1-1353	YDL160C
OG0002622	augustus_masked-NC_027865.1-processed-gene-6.25-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.25&CDS=1-606	YKL196C
OG0002623	augustus_masked-NC_027865.1-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.26&CDS=1-738	YKL195W
OG0002624	augustus_masked-NC_027865.1-processed-gene-6.49-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.49&CDS=1-1836	YLR424W
OG0002625	augustus_masked-NC_027865.1-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.27&CDS=1-1986	YOR022C
OG0002626	augustus_masked-NC_027865.1-processed-gene-6.50-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.50&CDS=1-1395	YHR018C
OG0002627	augustus_masked-NC_027865.1-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.29&CDS=1-1047	YGL001C
OG0002628	augustus_masked-NC_027865.1-processed-gene-6.51-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.51&CDS=1-3669	YAL002W
OG0002629	augustus_masked-NC_027865.1-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.30&CDS=1-2244	YPR089W
OG0002630	augustus_masked-NC_027865.1-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.53&CDS=1-1986	YNL229C
OG0002631	snap_masked-NC_027865.1-processed-gene-6.103-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-6.103&CDS=1-633	YMR043W
OG0002632	augustus_masked-NC_027865.1-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.32&CDS=1-1095	YMR044W
OG0002633	augustus_masked-NC_027865.1-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.34&CDS=1-3036	YDR270W
OG0002634	augustus_masked-NC_027865.1-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.35&CDS=1-555	YPR051W
OG0002635	maker-NC_027865.1-snap-gene-7.155-mRNA-1_1&gene=maker-NC_027865.1-snap-gene-7.155&CDS=1-1008	YBR088C
OG0002636	augustus_masked-NC_027865.1-processed-gene-6.36-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.36&CDS=1-633	YKL041W
OG0002637	augustus_masked-NC_027865.1-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.63&CDS=1-1764	YBR204C
OG0002638	augustus_masked-NC_027865.1-processed-gene-7.56-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.56&CDS=1-1803	YJL106W
OG0002639	snap_masked-NC_027865.1-processed-gene-7.103-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-7.103&CDS=1-1335	YKR023W
OG0002640	augustus_masked-NC_027865.1-processed-gene-7.84-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.84&CDS=1-360	YJL104W
OG0002641	augustus_masked-NC_027865.1-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.65&CDS=1-1866	YKR029C
OG0002642	maker-NC_027865.1-snap-gene-7.157-mRNA-1_1&gene=maker-NC_027865.1-snap-gene-7.157&CDS=1-16755	YLR106C
OG0002643	augustus_masked-NC_027865.1-processed-gene-7.89-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.89&CDS=1-4854	YER014W
OG0002644	snap_masked-NC_027865.1-processed-gene-7.140-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-7.140&CDS=1-177	YMR256C
OG0002645	augustus_masked-NC_027865.1-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.71&CDS=1-945	YCR066W
OG0002646	augustus_masked-NC_027865.1-processed-gene-7.72-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.72&CDS=1-2730	YBR095C
OG0002647	augustus_masked-NC_027865.1-processed-gene-7.95-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.95&CDS=1-2028	YBR094W
OG0002648	augustus_masked-NC_027865.1-processed-gene-7.96-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.96&CDS=1-1248	YOR303W
OG0002649	augustus_masked-NC_027865.1-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.73&CDS=1-1167	YOR063W
OG0002650	augustus_masked-NC_027865.1-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.74&CDS=1-1806	YOR204W
OG0002651	augustus_masked-NC_027865.1-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.76&CDS=1-3039	YJL080C
OG0002652	maker-NC_027865.1-snap-gene-7.154-mRNA-1_1&gene=maker-NC_027865.1-snap-gene-7.154&CDS=1-2151	YFR016C
OG0002653	augustus_masked-NC_027865.1-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.78&CDS=1-1194	YOL022C
OG0002654	augustus_masked-NC_027865.1-processed-gene-7.97-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.97&CDS=1-1866	YDR052C
OG0002655	augustus_masked-NC_027865.1-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.80&CDS=1-648	YBR070C
OG0002656	augustus_masked-NC_027865.1-processed-gene-7.99-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.99&CDS=1-1014	YBR065C
OG0002657	augustus_masked-NC_027865.1-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.81&CDS=1-2826	YMR280C
OG0002658	augustus_masked-NC_027865.1-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.82&CDS=1-1005	YGR192C
OG0002659	augustus_masked-NC_027865.1-processed-gene-8.25-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.25&CDS=1-1302	YMR283C
OG0002660	genemark-NC_027865.1-processed-gene-8.240-mRNA-1_1&gene=genemark-NC_027865.1-processed-gene-8.240&CDS=1-498	YBR022W
OG0002661	augustus_masked-NC_027865.1-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.26&CDS=1-1146	YBR028C
OG0002662	snap_masked-NC_027865.1-processed-gene-8.124-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-8.124&CDS=1-888	YKL019W
OG0002663	genemark-NC_027865.1-processed-gene-8.245-mRNA-1_1&gene=genemark-NC_027865.1-processed-gene-8.245&CDS=1-1776	YKR035W-A
OG0002664	snap_masked-NC_027865.1-processed-gene-8.129-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-8.129&CDS=1-2727	YOR005C
OG0002665	augustus_masked-NC_027865.1-processed-gene-8.24-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.24&CDS=1-1575	YFR021W
OG0002666	augustus_masked-NC_027865.1-processed-gene-8.80-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.80&CDS=1-1191	YOL052C
OG0002667	augustus_masked-NC_027865.1-processed-gene-8.81-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.81&CDS=1-1206	YIL116W
OG0002668	snap_masked-NC_027865.1-processed-gene-8.132-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-8.132&CDS=1-633	YMR069W
OG0002669	snap_masked-NC_027865.1-processed-gene-8.133-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-8.133&CDS=1-1023	YGL159W
OG0002670	augustus_masked-NC_027865.1-processed-gene-8.82-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.82&CDS=1-882	YMR281W
OG0002671	augustus_masked-NC_027865.1-processed-gene-8.83-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.83&CDS=1-771	YKL207W
OG0002672	augustus_masked-NC_027865.1-processed-gene-8.34-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.34&CDS=1-954	YJR062C
OG0002673	augustus_masked-NC_027865.1-processed-gene-8.84-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.84&CDS=1-543	YJR060W
OG0002674	augustus_masked-NC_027865.1-processed-gene-8.85-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.85&CDS=1-1053	YJL167W
OG0002675	augustus_masked-NC_027865.1-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.35&CDS=1-876	YKL172W
OG0002676	augustus_masked-NC_027865.1-processed-gene-8.36-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.36&CDS=1-1809	YKL174C
OG0002677	augustus_masked-NC_027865.1-processed-gene-8.37-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.37&CDS=1-1782	YOL023W
OG0002678	augustus_masked-NC_027865.1-processed-gene-8.87-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.87&CDS=1-1098	YER046W
OG0002679	augustus_masked-NC_027865.1-processed-gene-8.38-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.38&CDS=1-2910	YGR163W
OG0002680	augustus_masked-NC_027865.1-processed-gene-8.88-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.88&CDS=1-1212	YBR233W
OG0002681	augustus_masked-NC_027865.1-processed-gene-8.39-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.39&CDS=1-789	YBR231C
OG0002682	augustus_masked-NC_027865.1-processed-gene-8.89-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.89&CDS=1-2886	YEL055C
OG0002683	augustus_masked-NC_027865.1-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.40&CDS=1-2859	YPL270W
OG0002684	augustus_masked-NC_027865.1-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.41&CDS=1-1833	YPL263C
OG0002685	snap_masked-NC_027865.1-processed-gene-8.197-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-8.197&CDS=1-957	YPL266W
OG0002686	augustus_masked-NC_027865.1-processed-gene-8.91-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.91&CDS=1-8295	YKL182W
OG0002687	augustus_masked-NC_027865.1-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.42&CDS=1-4182	YML059C
OG0002688	maker-NC_027865.1-snap-gene-8.6-mRNA-1_1&gene=maker-NC_027865.1-snap-gene-8.6&CDS=1-273	YLR438C-A
OG0002689	augustus_masked-NC_027865.1-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.43&CDS=1-2106	YLR277C
OG0002690	augustus_masked-NC_027865.1-processed-gene-8.44-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.44&CDS=1-1224	YLR085C
OG0002691	augustus_masked-NC_027865.1-processed-gene-8.94-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.94&CDS=1-2727	YDR089W
OG0002692	augustus_masked-NC_027865.1-processed-gene-8.95-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.95&CDS=1-1581	YML069W
OG0002693	snap_masked-NC_027865.1-processed-gene-8.150-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-8.150&CDS=1-1296	YDL084W
OG0002694	augustus_masked-NC_027865.1-processed-gene-8.96-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.96&CDS=1-1131	YLR130C
OG0002695	maker-NC_027865.1-snap-gene-8.7-mRNA-1_1&gene=maker-NC_027865.1-snap-gene-8.7&CDS=1-2667	YLR138W
OG0002696	augustus_masked-NC_027865.1-processed-gene-8.47-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.47&CDS=1-4083	YLR419W
OG0002697	snap_masked-NC_027865.1-processed-gene-8.207-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-8.207&CDS=1-1872	YLR127C
OG0002698	augustus_masked-NC_027865.1-processed-gene-8.48-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.48&CDS=1-774	YLR128W
OG0002699	maker-NC_027865.1-augustus-gene-8.14-mRNA-1_1&gene=maker-NC_027865.1-augustus-gene-8.14&CDS=1-3093	YLR129W
OG0002700	snap_masked-NC_027865.1-processed-gene-8.211-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-8.211&CDS=1-1227	YER077C
OG0002701	augustus_masked-NC_027865.1-processed-gene-8.101-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.101&CDS=1-1464	YER078C
OG0002702	augustus_masked-NC_027865.1-processed-gene-8.52-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.52&CDS=1-2352	YMR049C
OG0002703	augustus_masked-NC_027865.1-processed-gene-8.102-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.102&CDS=1-1710	YMR105C
OG0002704	maker-NC_027865.1-snap-gene-8.3-mRNA-1_1&gene=maker-NC_027865.1-snap-gene-8.3&CDS=1-2052	YGL044C
OG0002705	augustus_masked-NC_027865.1-processed-gene-8.103-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.103&CDS=1-3060	YPL125W
OG0002706	augustus_masked-NC_027865.1-processed-gene-8.56-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.56&CDS=1-2217	YDR407C
OG0002707	augustus_masked-NC_027865.1-processed-gene-8.104-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.104&CDS=1-2040	YER151C
OG0002708	augustus_masked-NC_027865.1-processed-gene-8.108-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.108&CDS=1-738	YGL123W
OG0002709	augustus_masked-NC_027865.1-processed-gene-8.60-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.60&CDS=1-4275	YIL075C
OG0002710	augustus_masked-NC_027865.1-processed-gene-8.109-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.109&CDS=1-1494	YER082C
OG0002711	augustus_masked-NC_027865.1-processed-gene-8.62-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.62&CDS=1-789	YER083C
OG0002712	snap_masked-NC_027865.1-processed-gene-8.221-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-8.221&CDS=1-1326	YKL216W
OG0002713	augustus_masked-NC_027865.1-processed-gene-8.63-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.63&CDS=1-1806	YDL106C
OG0002714	augustus_masked-NC_027865.1-processed-gene-8.64-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.64&CDS=1-1056	YDL105W
OG0002715	augustus_masked-NC_027865.1-processed-gene-8.111-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.111&CDS=1-1128	YDL104C
OG0002716	augustus_masked-NC_027865.1-processed-gene-8.65-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.65&CDS=1-1038	YMR166C
OG0002717	augustus_masked-NC_027865.1-processed-gene-8.66-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.66&CDS=1-1824	YNL168C
OG0002718	augustus_masked-NC_027865.1-processed-gene-8.67-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.67&CDS=1-1371	YDR190C
OG0002719	augustus_masked-NC_027865.1-processed-gene-8.114-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.114&CDS=1-3036	YDR189W
OG0002720	augustus_masked-NC_027865.1-processed-gene-8.68-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.68&CDS=1-864	YCL031C
OG0002721	augustus_masked-NC_027865.1-processed-gene-8.115-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.115&CDS=1-1152	YCL032W
OG0002722	augustus_masked-NC_027865.1-processed-gene-8.116-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.116&CDS=1-972	YDR400W
OG0002723	augustus_masked-NC_027866.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-0.76&CDS=1-8805	YKL203C
OG0002724	snap_masked-NC_027866.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NC_027866.1-processed-gene-0.34&CDS=1-948	YPL069C
OG0002725	augustus_masked-NC_027866.1-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-0.61&CDS=1-4404	YDR244W
OG0002726	augustus_masked-NC_027866.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-0.62&CDS=1-3609	YDR245W
OG0002727	augustus_masked-NC_027866.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-0.79&CDS=1-2991	YPL022W
OG0002728	augustus_masked-NC_027866.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-0.64&CDS=1-1905	YPL023C
OG0002729	augustus_masked-NC_027866.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-0.67&CDS=1-462	YDR246W
OG0002730	snap_masked-NC_027866.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NC_027866.1-processed-gene-0.22&CDS=1-1311	YOL061W
OG0002731	augustus_masked-NC_027866.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-0.81&CDS=1-4731	YOL060C
OG0002732	augustus_masked-NC_027866.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-0.83&CDS=1-1032	YMR146C
OG0002733	augustus_masked-NC_027866.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-0.84&CDS=1-3153	YFR028C
OG0002734	augustus_masked-NC_027866.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-0.69&CDS=1-4353	YMR247C
OG0002735	snap_masked-NC_027866.1-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NC_027866.1-processed-gene-0.46&CDS=1-1656	YBR060C
OG0002736	maker-NC_027866.1-augustus-gene-0.4-mRNA-1_1&gene=maker-NC_027866.1-augustus-gene-0.4&CDS=1-3387	YMR193W
OG0002737	maker-NC_027866.1-snap-gene-0.99-mRNA-1_1&gene=maker-NC_027866.1-snap-gene-0.99&CDS=1-1908	YPL199C
OG0002738	maker-NC_027866.1-snap-gene-1.5-mRNA-1_1&gene=maker-NC_027866.1-snap-gene-1.5&CDS=1-996	YPL225W
OG0002739	augustus_masked-NC_027866.1-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.75&CDS=1-1485	YFL022C
OG0002740	augustus_masked-NC_027866.1-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.76&CDS=1-957	YCR019W
OG0002741	augustus_masked-NC_027866.1-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.77&CDS=1-1818	YDR091C
OG0002742	augustus_masked-NC_027866.1-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.78&CDS=1-1671	YLL018C
OG0002743	augustus_masked-NC_027866.1-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.79&CDS=1-2271	YML035C
OG0002744	augustus_masked-NC_027866.1-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.95&CDS=1-1515	YDR459C
OG0002745	augustus_masked-NC_027866.1-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.96&CDS=1-426	YDR462W
OG0002746	augustus_masked-NC_027866.1-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.97&CDS=1-627	YJR073C
OG0002747	augustus_masked-NC_027866.1-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.82&CDS=1-2403	YOR278W
OG0002748	augustus_masked-NC_027866.1-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.100&CDS=1-3264	YMR218C
OG0002749	genemark-NC_027866.1-processed-gene-1.50-mRNA-1_1&gene=genemark-NC_027866.1-processed-gene-1.50&CDS=1-282	YKL160W
OG0002750	augustus_masked-NC_027866.1-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.84&CDS=1-1029	YHR052W
OG0002751	augustus_masked-NC_027866.1-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.102&CDS=1-1641	YJL163C
OG0002752	augustus_masked-NC_027866.1-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.103&CDS=1-717	YGR158C
OG0002753	augustus_masked-NC_027866.1-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.87&CDS=1-3426	YER168C
OG0002754	augustus_masked-NC_027866.1-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.104&CDS=1-504	YKL056C
OG0002755	augustus_masked-NC_027866.1-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.105&CDS=1-1857	YOL125W
OG0002756	maker-NC_027866.1-augustus-gene-1.2-mRNA-1_1&gene=maker-NC_027866.1-augustus-gene-1.2&CDS=1-1224	YLR340W
OG0002757	augustus_masked-NC_027866.1-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.107&CDS=1-2556	YLR336C
OG0002758	augustus_masked-NC_027866.1-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.89&CDS=1-1071	YGR028W
OG0002759	augustus_masked-NC_027866.1-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.108&CDS=1-1524	YMR221C
OG0002760	augustus_masked-NC_027866.1-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.109&CDS=1-1605	YDR479C
OG0002761	augustus_masked-NC_027866.1-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.113&CDS=1-1704	YOR027W
