	Saccharomyces_cerevisiae	Spathaspora_arborariae
OG0002535	YMR002W	genemark-KI547138.1-processed-gene-1.69-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-1.69&CDS=1-438
OG0002536	YMR004W	genemark-KI547154.1-processed-gene-0.244-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.244&CDS=1-1926
OG0002537	YMR005W	genemark-KI547155.1-processed-gene-0.187-mRNA-1_1&gene=genemark-KI547155.1-processed-gene-0.187&CDS=1-1122
OG0002538	YMR009W	genemark-KI547134.1-processed-gene-0.95-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-0.95&CDS=1-531
OG0002539	YMR010W	genemark-KI547134.1-processed-gene-5.68-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-5.68&CDS=1-987
OG0002540	YMR012W	genemark-KI547134.1-processed-gene-4.43-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-4.43&CDS=1-3897
OG0002541	YMR013C	genemark-KI547141.1-processed-gene-2.73-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-2.73&CDS=1-1683
OG0002542	YMR014W	genemark-KI547137.1-processed-gene-0.90-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-0.90&CDS=1-1383
OG0002543	YMR015C	genemark-KI547149.1-processed-gene-2.152-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-2.152&CDS=1-1575
OG0002544	YMR019W	genemark-KI547146.1-processed-gene-3.10-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-3.10&CDS=1-2805
OG0002545	YMR022W	genemark-KI547142.1-processed-gene-2.70-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-2.70&CDS=1-501
OG0002546	YMR023C	augustus_masked-KI547156.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-KI547156.1-processed-gene-0.73&CDS=1-1488
OG0002547	YMR024W	genemark-KI547134.1-processed-gene-2.76-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-2.76&CDS=1-1089
OG0002548	YMR026C	genemark-KI547141.1-processed-gene-5.149-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-5.149&CDS=1-1359
OG0002549	YMR027W	genemark-KI547145.1-processed-gene-1.85-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-1.85&CDS=1-1329
OG0002550	YMR028W	genemark-KI547145.1-processed-gene-1.84-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-1.84&CDS=1-1029
OG0002551	YMR033W	genemark-KI547147.1-processed-gene-0.83-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-0.83&CDS=1-1395
OG0002552	YMR035W	genemark-KI547157.1-processed-gene-0.99-mRNA-1_1&gene=genemark-KI547157.1-processed-gene-0.99&CDS=1-369
OG0002553	YMR036C	genemark-KI547147.1-processed-gene-1.54-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-1.54&CDS=1-1734
OG0002554	YMR038C	genemark-KI547134.1-processed-gene-3.48-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-3.48&CDS=1-747
OG0002555	YMR039C	genemark-KI547145.1-processed-gene-3.98-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-3.98&CDS=1-435
OG0002556	YMR041C	genemark-KI547145.1-processed-gene-3.97-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-3.97&CDS=1-1053
OG0002557	YMR043W	genemark-KI547159.1-processed-gene-0.59-mRNA-1_1&gene=genemark-KI547159.1-processed-gene-0.59&CDS=1-780
OG0002558	YMR044W	augustus_masked-KI547159.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-KI547159.1-processed-gene-0.26&CDS=1-2112
OG0002559	YMR048W	genemark-KI547136.1-processed-gene-0.62-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-0.62&CDS=1-801
OG0002560	YMR049C	genemark-KI547134.1-processed-gene-6.110-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-6.110&CDS=1-2418
OG0002561	YMR055C	augustus_masked-KI547136.1-processed-gene-7.75-mRNA-1_1&gene=augustus_masked-KI547136.1-processed-gene-7.75&CDS=1-921
OG0002562	YMR058W	maker-KI547138.1-snap-gene-0.75-mRNA-1_1&gene=maker-KI547138.1-snap-gene-0.75&CDS=1-3669
OG0002563	YMR059W	augustus_masked-KI547134.1-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-KI547134.1-processed-gene-6.19&CDS=1-327
OG0002564	YMR060C	snap_masked-KI547136.1-processed-gene-5.9-mRNA-1_1&gene=snap_masked-KI547136.1-processed-gene-5.9&CDS=1-1074
OG0002565	YMR061W	genemark-KI547136.1-processed-gene-5.70-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-5.70&CDS=1-2127
OG0002566	YMR062C	genemark-KI547154.1-processed-gene-0.239-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.239&CDS=1-1314
OG0002567	YMR063W	genemark-KI547138.1-processed-gene-1.84-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-1.84&CDS=1-810
OG0002568	YMR065W	genemark-KI547138.1-processed-gene-1.83-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-1.83&CDS=1-1383
OG0002569	YMR071C	augustus_masked-KI547135.1-processed-gene-10.119-mRNA-1_1&gene=augustus_masked-KI547135.1-processed-gene-10.119&CDS=1-3132
OG0002570	YMR074C	genemark-KI547148.1-processed-gene-1.38-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-1.38&CDS=1-417
OG0002571	YMR075W	genemark-KI547154.1-processed-gene-0.191-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.191&CDS=1-2019
OG0002572	YMR076C	genemark-KI547155.1-processed-gene-0.252-mRNA-1_1&gene=genemark-KI547155.1-processed-gene-0.252&CDS=1-3672
OG0002573	YMR078C	genemark-KI547137.1-processed-gene-0.107-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-0.107&CDS=1-2517
OG0002574	YMR079W	genemark-KI547143.1-processed-gene-1.43-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-1.43&CDS=1-903
OG0002575	YMR080C	genemark-KI547143.1-processed-gene-1.44-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-1.44&CDS=1-2985
OG0002576	YMR087W	genemark-KI547134.1-processed-gene-6.133-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-6.133&CDS=1-852
OG0002577	YMR088C	genemark-KI547139.1-processed-gene-2.96-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-2.96&CDS=1-1797
OG0002578	YMR091C	genemark-KI547156.1-processed-gene-0.196-mRNA-1_1&gene=genemark-KI547156.1-processed-gene-0.196&CDS=1-1302
OG0002579	YMR092C	genemark-KI547137.1-processed-gene-4.60-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-4.60&CDS=1-1836
OG0002580	YMR093W	genemark-KI547150.1-processed-gene-2.27-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-2.27&CDS=1-1512
OG0002581	YMR097C	augustus_masked-KI547137.1-processed-gene-4.143-mRNA-1_1&gene=augustus_masked-KI547137.1-processed-gene-4.143&CDS=1-1104
OG0002582	YMR098C	genemark-KI547137.1-processed-gene-4.57-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-4.57&CDS=1-1755
OG0002583	YMR099C	augustus_masked-KI547143.1-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-KI547143.1-processed-gene-3.47&CDS=1-906
OG0002584	YMR105C	genemark-KI547137.1-processed-gene-3.92-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-3.92&CDS=1-1680
OG0002585	YMR106C	genemark-KI547137.1-processed-gene-4.59-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-4.59&CDS=1-1938
OG0002586	YMR108W	augustus_masked-KI547141.1-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-KI547141.1-processed-gene-2.15&CDS=1-6612
OG0002587	YMR109W	genemark-KI547144.1-processed-gene-4.3-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-4.3&CDS=1-3870
OG0002588	YMR110C	genemark-KI547134.1-processed-gene-12.165-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-12.165&CDS=1-1743
OG0002589	YMR112C	genemark-KI547161.1-processed-gene-0.5-mRNA-1_1&gene=genemark-KI547161.1-processed-gene-0.5&CDS=1-558
OG0002590	YMR113W	snap_masked-KI547161.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-KI547161.1-processed-gene-0.30&CDS=1-1254
OG0002591	YMR115W	genemark-KI547137.1-processed-gene-5.37-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-5.37&CDS=1-1545
OG0002592	YMR116C	genemark-KI547161.1-processed-gene-0.4-mRNA-1_1&gene=genemark-KI547161.1-processed-gene-0.4&CDS=1-951
OG0002593	YMR120C	genemark-KI547137.1-processed-gene-6.68-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-6.68&CDS=1-1767
OG0002594	YMR123W	genemark-KI547137.1-processed-gene-4.64-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-4.64&CDS=1-330
OG0002595	YMR125W	genemark-KI547135.1-processed-gene-11.60-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-11.60&CDS=1-2772
OG0002596	YMR126C	genemark-KI547134.1-processed-gene-6.145-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-6.145&CDS=1-1536
OG0002597	YMR127C	augustus_masked-KI547156.1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-KI547156.1-processed-gene-0.58&CDS=1-972
OG0002598	YMR128W	genemark-KI547156.1-processed-gene-0.186-mRNA-1_1&gene=genemark-KI547156.1-processed-gene-0.186&CDS=1-3591
OG0002599	YMR129W	genemark-KI547156.1-processed-gene-0.188-mRNA-1_1&gene=genemark-KI547156.1-processed-gene-0.188&CDS=1-3663
OG0002600	YMR130W	augustus_masked-KI547156.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-KI547156.1-processed-gene-0.23&CDS=1-816
OG0002601	YMR131C	genemark-KI547135.1-processed-gene-1.66-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-1.66&CDS=1-1485
OG0002602	YMR132C	genemark-KI547138.1-processed-gene-5.134-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-5.134&CDS=1-699
OG0002603	YMR134W	genemark-KI547139.1-processed-gene-0.25-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-0.25&CDS=1-663
OG0002604	YMR135C	genemark-KI547139.1-processed-gene-0.43-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-0.43&CDS=1-1155
OG0002605	YMR137C	augustus_masked-KI547134.1-processed-gene-8.39-mRNA-1_1&gene=augustus_masked-KI547134.1-processed-gene-8.39&CDS=1-1995
OG0002606	YMR138W	genemark-KI547134.1-processed-gene-9.100-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-9.100&CDS=1-555
OG0002607	YMR139W	genemark-KI547136.1-processed-gene-2.136-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-2.136&CDS=1-1239
OG0002608	YMR140W	genemark-KI547139.1-processed-gene-6.18-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-6.18&CDS=1-1380
OG0002609	YMR145C	genemark-KI547141.1-processed-gene-4.57-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-4.57&CDS=1-1665
OG0002610	YMR146C	genemark-KI547134.1-processed-gene-9.124-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-9.124&CDS=1-1041
OG0002611	YMR149W	genemark-KI547134.1-processed-gene-7.113-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-7.113&CDS=1-816
OG0002612	YMR152W	genemark-KI547136.1-processed-gene-3.65-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-3.65&CDS=1-1074
OG0002613	YMR154C	genemark-KI547146.1-processed-gene-1.97-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-1.97&CDS=1-2187
OG0002614	YMR156C	genemark-KI547136.1-processed-gene-7.112-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-7.112&CDS=1-750
OG0002615	YMR158W	genemark-KI547136.1-processed-gene-7.113-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-7.113&CDS=1-465
OG0002616	YMR161W	genemark-KI547149.1-processed-gene-0.85-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-0.85&CDS=1-981
OG0002617	YMR162C	augustus_masked-KI547139.1-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-KI547139.1-processed-gene-3.85&CDS=1-5097
OG0002618	YMR165C	genemark-KI547140.1-processed-gene-5.22-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.22&CDS=1-2271
OG0002619	YMR166C	genemark-KI547145.1-processed-gene-2.77-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-2.77&CDS=1-1083
OG0002620	YMR167W	maker-KI547145.1-augustus-gene-2.2-mRNA-1_1&gene=maker-KI547145.1-augustus-gene-2.2&CDS=1-4611
OG0002621	YMR171C	genemark-KI547139.1-processed-gene-4.97-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-4.97&CDS=1-1650
OG0002622	YMR176W	genemark-KI547139.1-processed-gene-6.37-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-6.37&CDS=1-5712
OG0002623	YMR178W	genemark-KI547138.1-processed-gene-6.67-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-6.67&CDS=1-879
OG0002624	YMR185W	genemark-KI547151.1-processed-gene-1.171-mRNA-1_1&gene=genemark-KI547151.1-processed-gene-1.171&CDS=1-2700
OG0002625	YMR186W	genemark-KI547151.1-processed-gene-1.169-mRNA-1_1&gene=genemark-KI547151.1-processed-gene-1.169&CDS=1-2133
OG0002626	YMR188C	genemark-KI547145.1-processed-gene-3.113-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-3.113&CDS=1-729
OG0002627	YMR189W	genemark-KI547135.1-processed-gene-11.75-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-11.75&CDS=1-3063
OG0002628	YMR190C	genemark-KI547150.1-processed-gene-0.40-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-0.40&CDS=1-3543
OG0002629	YMR193W	genemark-KI547136.1-processed-gene-3.78-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-3.78&CDS=1-777
OG0002630	YMR194C-B	genemark-KI547136.1-processed-gene-3.59-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-3.59&CDS=1-2610
OG0002631	YMR196W	genemark-KI547141.1-processed-gene-3.73-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-3.73&CDS=1-3837
OG0002632	YMR200W	augustus_masked-KI547134.1-processed-gene-11.119-mRNA-1_1&gene=augustus_masked-KI547134.1-processed-gene-11.119&CDS=1-741
OG0002633	YMR201C	genemark-KI547151.1-processed-gene-1.170-mRNA-1_1&gene=genemark-KI547151.1-processed-gene-1.170&CDS=1-1152
OG0002634	YMR202W	genemark-KI547134.1-processed-gene-11.60-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-11.60&CDS=1-651
OG0002635	YMR203W	genemark-KI547151.1-processed-gene-1.174-mRNA-1_1&gene=genemark-KI547151.1-processed-gene-1.174&CDS=1-1143
OG0002636	YMR205C	genemark-KI547149.1-processed-gene-1.55-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-1.55&CDS=1-2847
OG0002637	YMR208W	genemark-KI547135.1-processed-gene-9.91-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-9.91&CDS=1-1317
OG0002638	YMR209C	genemark-KI547135.1-processed-gene-10.87-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-10.87&CDS=1-1203
OG0002639	YMR210W	maker-KI547155.1-snap-gene-0.83-mRNA-1_1&gene=maker-KI547155.1-snap-gene-0.83&CDS=1-1611
OG0002640	YMR211W	genemark-KI547140.1-processed-gene-2.61-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-2.61&CDS=1-1413
OG0002641	YMR212C	genemark-KI547135.1-processed-gene-10.70-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-10.70&CDS=1-2727
OG0002642	YMR213W	genemark-KI547135.1-processed-gene-10.89-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-10.89&CDS=1-1773
OG0002643	YMR214W	genemark-KI547138.1-processed-gene-2.95-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-2.95&CDS=1-1116
OG0002644	YMR216C	genemark-KI547134.1-processed-gene-0.80-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-0.80&CDS=1-2190
OG0002645	YMR217W	genemark-KI547135.1-processed-gene-9.87-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-9.87&CDS=1-1590
OG0002646	YMR220W	genemark-KI547139.1-processed-gene-4.89-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-4.89&CDS=1-1254
OG0002647	YMR221C	genemark-KI547137.1-processed-gene-7.197-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-7.197&CDS=1-1566
OG0002648	YMR223W	genemark-KI547150.1-processed-gene-1.113-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-1.113&CDS=1-1605
OG0002649	YMR224C	augustus_masked-KI547151.1-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-KI547151.1-processed-gene-1.63&CDS=1-1719
OG0002650	YMR225C	augustus_masked-KI547137.1-processed-gene-7.89-mRNA-1_1&gene=augustus_masked-KI547137.1-processed-gene-7.89&CDS=1-276
OG0002651	YMR227C	genemark-KI547136.1-processed-gene-5.78-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-5.78&CDS=1-1566
OG0002652	YMR228W	genemark-KI547136.1-processed-gene-5.50-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-5.50&CDS=1-1059
OG0002653	YMR229C	genemark-KI547136.1-processed-gene-5.73-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-5.73&CDS=1-4983
OG0002654	YMR231W	genemark-KI547139.1-processed-gene-1.57-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-1.57&CDS=1-3024
OG0002655	YMR235C	genemark-KI547141.1-processed-gene-1.48-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-1.48&CDS=1-1245
OG0002656	YMR236W	genemark-KI547146.1-processed-gene-3.60-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-3.60&CDS=1-615
OG0002657	YMR240C	augustus_masked-KI547142.1-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-KI547142.1-processed-gene-1.44&CDS=1-1506
OG0002658	YMR241W	genemark-KI547138.1-processed-gene-1.78-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-1.78&CDS=1-894
OG0002659	YMR244C-A	genemark-KI547142.1-processed-gene-1.140-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-1.140&CDS=1-336
OG0002660	YMR250W	genemark-KI547135.1-processed-gene-5.55-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-5.55&CDS=1-1698
OG0002661	YMR258C	genemark-KI547154.1-processed-gene-0.250-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.250&CDS=1-1782
OG0002662	YMR259C	snap_masked-KI547150.1-processed-gene-0.106-mRNA-1_1&gene=snap_masked-KI547150.1-processed-gene-0.106&CDS=1-3858
OG0002663	YMR260C	genemark-KI547150.1-processed-gene-0.50-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-0.50&CDS=1-456
OG0002664	YMR262W	genemark-KI547140.1-processed-gene-1.56-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-1.56&CDS=1-984
OG0002665	YMR263W	genemark-KI547157.1-processed-gene-0.87-mRNA-1_1&gene=genemark-KI547157.1-processed-gene-0.87&CDS=1-501
OG0002666	YMR264W	genemark-KI547157.1-processed-gene-0.88-mRNA-1_1&gene=genemark-KI547157.1-processed-gene-0.88&CDS=1-576
OG0002667	YMR272C	genemark-KI547139.1-processed-gene-2.49-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-2.49&CDS=1-1131
OG0002668	YMR276W	genemark-KI547150.1-processed-gene-0.47-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-0.47&CDS=1-1086
OG0002669	YMR277W	genemark-KI547140.1-processed-gene-1.54-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-1.54&CDS=1-2301
OG0002670	YMR278W	augustus_masked-KI547140.1-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-KI547140.1-processed-gene-1.99&CDS=1-1875
OG0002671	YMR281W	augustus_masked-KI547135.1-processed-gene-11.28-mRNA-1_1&gene=augustus_masked-KI547135.1-processed-gene-11.28&CDS=1-876
OG0002672	YMR283C	augustus_masked-KI547140.1-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-KI547140.1-processed-gene-0.101&CDS=1-1500
OG0002673	YMR284W	genemark-KI547135.1-processed-gene-5.61-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-5.61&CDS=1-2070
OG0002674	YMR285C	genemark-KI547138.1-processed-gene-6.17-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-6.17&CDS=1-1569
OG0002675	YMR286W	augustus_masked-KI547141.1-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-KI547141.1-processed-gene-2.18&CDS=1-282
OG0002676	YMR287C	genemark-KI547150.1-processed-gene-2.60-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-2.60&CDS=1-3135
OG0002677	YMR288W	genemark-KI547139.1-processed-gene-3.130-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-3.130&CDS=1-3231
OG0002678	YMR289W	genemark-KI547136.1-processed-gene-7.159-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-7.159&CDS=1-837
OG0002679	YMR290C	genemark-KI547146.1-processed-gene-1.112-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-1.112&CDS=1-1674
OG0002680	YMR292W	maker-KI547146.1-snap-gene-1.4-mRNA-1_1&gene=maker-KI547146.1-snap-gene-1.4&CDS=1-555
OG0002681	YMR293C	genemark-KI547146.1-processed-gene-1.131-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-1.131&CDS=1-1368
OG0002682	YMR294W	genemark-KI547146.1-processed-gene-1.128-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-1.128&CDS=1-1044
OG0002683	YMR295C	genemark-KI547144.1-processed-gene-1.64-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-1.64&CDS=1-570
OG0002684	YMR296C	genemark-KI547142.1-processed-gene-4.136-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-4.136&CDS=1-1701
OG0002685	YMR297W	augustus_masked-KI547149.1-processed-gene-2.238-mRNA-1_1&gene=augustus_masked-KI547149.1-processed-gene-2.238&CDS=1-1569
OG0002686	YMR300C	genemark-KI547134.1-processed-gene-2.105-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-2.105&CDS=1-1584
OG0002687	YMR301C	augustus_masked-KI547138.1-processed-gene-6.153-mRNA-1_1&gene=augustus_masked-KI547138.1-processed-gene-6.153&CDS=1-2115
OG0002688	YMR302C	snap_masked-KI547137.1-processed-gene-5.66-mRNA-1_1&gene=snap_masked-KI547137.1-processed-gene-5.66&CDS=1-2478
OG0002689	YMR304W	genemark-KI547150.1-processed-gene-1.118-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-1.118&CDS=1-3993
OG0002690	YMR305C	genemark-KI547150.1-processed-gene-1.103-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-1.103&CDS=1-1122
OG0002691	YMR308C	genemark-KI547135.1-processed-gene-10.83-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-10.83&CDS=1-3273
OG0002692	YMR309C	maker-KI547145.1-snap-gene-1.47-mRNA-1_1&gene=maker-KI547145.1-snap-gene-1.47&CDS=1-3657
OG0002693	YMR310C	genemark-KI547139.1-processed-gene-4.99-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-4.99&CDS=1-1131
OG0002694	YMR311C	genemark-KI547139.1-processed-gene-4.67-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-4.67&CDS=1-690
OG0002695	YMR312W	augustus_masked-KI547145.1-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-KI547145.1-processed-gene-2.19&CDS=1-807
OG0002696	YMR313C	genemark-KI547145.1-processed-gene-2.73-mRNA-1_1&gene=genemark-KI547145.1-processed-gene-2.73&CDS=1-1689
OG0002697	YMR314W	genemark-KI547151.1-processed-gene-0.45-mRNA-1_1&gene=genemark-KI547151.1-processed-gene-0.45&CDS=1-828
OG0002698	YMR315W	genemark-KI547138.1-processed-gene-6.16-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-6.16&CDS=1-1047
OG0002699	YNL001W	maker-KI547137.1-augustus-gene-4.1-mRNA-1_1&gene=maker-KI547137.1-augustus-gene-4.1&CDS=1-2301
OG0002700	YNL002C	genemark-KI547148.1-processed-gene-2.77-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-2.77&CDS=1-804
OG0002701	YNL003C	snap_masked-KI547154.1-processed-gene-0.65-mRNA-1_1&gene=snap_masked-KI547154.1-processed-gene-0.65&CDS=1-1791
OG0002702	YNL006W	genemark-KI547148.1-processed-gene-2.78-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-2.78&CDS=1-1020
OG0002703	YNL007C	genemark-KI547148.1-processed-gene-2.79-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-2.79&CDS=1-1053
OG0002704	YNL010W	genemark-KI547155.1-processed-gene-0.263-mRNA-1_1&gene=genemark-KI547155.1-processed-gene-0.263&CDS=1-723
OG0002705	YNL011C	genemark-KI547161.1-processed-gene-0.11-mRNA-1_1&gene=genemark-KI547161.1-processed-gene-0.11&CDS=1-1389
OG0002706	YNL014W	genemark-KI547143.1-processed-gene-3.116-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-3.116&CDS=1-3147
OG0002707	YNL015W	genemark-KI547139.1-processed-gene-3.116-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-3.116&CDS=1-384
OG0002708	YNL016W	genemark-KI547140.1-processed-gene-4.75-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-4.75&CDS=1-1476
OG0002709	YNL021W	genemark-KI547137.1-processed-gene-2.38-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-2.38&CDS=1-2712
OG0002710	YNL022C	genemark-KI547137.1-processed-gene-2.37-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-2.37&CDS=1-1443
OG0002711	YNL023C	augustus_masked-KI547137.1-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-KI547137.1-processed-gene-2.80&CDS=1-5559
OG0002712	YNL025C	genemark-KI547140.1-processed-gene-4.88-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-4.88&CDS=1-1005
OG0002713	YNL026W	augustus_masked-KI547140.1-processed-gene-4.123-mRNA-1_1&gene=augustus_masked-KI547140.1-processed-gene-4.123&CDS=1-1470
OG0002714	YNL032W	genemark-KI547148.1-processed-gene-1.49-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-1.49&CDS=1-858
OG0002715	YNL035C	genemark-KI547137.1-processed-gene-1.78-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-1.78&CDS=1-1034
OG0002716	YNL037C	genemark-KI547135.1-processed-gene-8.6-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-8.6&CDS=1-1095
OG0002717	YNL038W	genemark-KI547137.1-processed-gene-1.59-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-1.59&CDS=1-639
OG0002718	YNL039W	genemark-KI547137.1-processed-gene-1.58-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-1.58&CDS=1-1920
