	Saccharomyces_cerevisiae	yHMPu5000034986_Candida_oregonensis
OG0002494	YML103C	augustus_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.107&CDS=1-6117
OG0002495	YML104C	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-1.75-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-1.75&CDS=1-3222
OG0002496	YML105C	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-1.85&CDS=1-795
OG0002497	YML108W	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-7.111-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-7.111&CDS=1-375
OG0002498	YML110C	snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-2.36-mRNA-1_1&gene=snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-2.36&CDS=1-876
OG0002499	YML112W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-5.137-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-5.137&CDS=1-930
OG0002500	YML115C	augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-0.102&CDS=1-1242
OG0002501	YML121W	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-0.22&CDS=1-993
OG0002502	YML123C	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.80-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.80&CDS=1-1656
OG0002503	YML126C	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.100-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.100&CDS=1-1338
OG0002504	YML127W	augustus_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-3.159-mRNA-1_1&gene=augustus_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-3.159&CDS=1-2091
OG0002505	YML130C	augustus_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-3.30&CDS=1-1569
OG0002506	YMR001C	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-5.125-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-5.125&CDS=1-1995
OG0002507	YMR002W	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-5.127-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-5.127&CDS=1-414
OG0002508	YMR004W	maker-NODE_1_length_1660530_cov_44.6465_ID_1-augustus-gene-15.2-mRNA-1_1&gene=maker-NODE_1_length_1660530_cov_44.6465_ID_1-augustus-gene-15.2&CDS=1-2847
OG0002509	YMR005W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-0.30&CDS=1-1443
OG0002510	YMR009W	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-3.66-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-3.66&CDS=1-540
OG0002511	YMR010W	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-3.89-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-3.89&CDS=1-981
OG0002512	YMR012W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-7.21-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-7.21&CDS=1-3819
OG0002513	YMR013C	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-0.62&CDS=1-1752
OG0002514	YMR014W	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-7.28-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-7.28&CDS=1-1236
OG0002515	YMR015C	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-4.76-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-4.76&CDS=1-1575
OG0002516	YMR019W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-2.109-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-2.109&CDS=1-2439
OG0002517	YMR023C	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-2.71-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-2.71&CDS=1-1440
OG0002518	YMR024W	snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-1.28-mRNA-1_1&gene=snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-1.28&CDS=1-1086
OG0002519	YMR026C	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-3.50-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-3.50&CDS=1-1347
OG0002520	YMR027W	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-1.85&CDS=1-1359
OG0002521	YMR028W	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-1.83-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-1.83&CDS=1-1134
OG0002522	YMR029C	augustus_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.243-mRNA-1_1&gene=augustus_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.243&CDS=1-1818
OG0002523	YMR033W	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-6.96-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-6.96&CDS=1-1365
OG0002524	YMR034C	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-6.67-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-6.67&CDS=1-1284
OG0002525	YMR035W	augustus_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-0.34&CDS=1-525
OG0002526	YMR036C	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-6.98-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-6.98&CDS=1-1464
OG0002527	YMR038C	maker-NODE_2_length_1008149_cov_54.5014_ID_3-augustus-gene-4.150-mRNA-1_1&gene=maker-NODE_2_length_1008149_cov_54.5014_ID_3-augustus-gene-4.150&CDS=1-3327
OG0002528	YMR039C	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-6.89-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-6.89&CDS=1-318
OG0002529	YMR041C	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-6.90-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-6.90&CDS=1-999
OG0002530	YMR048W	snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-3.123-mRNA-1_1&gene=snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-3.123&CDS=1-837
OG0002531	YMR049C	snap_masked-NODE_16_length_131685_cov_45.3429_ID_31-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_16_length_131685_cov_45.3429_ID_31-processed-gene-0.84&CDS=1-2364
OG0002532	YMR055C	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-2.102-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-2.102&CDS=1-945
OG0002533	YMR059W	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-7.151-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-7.151&CDS=1-324
OG0002534	YMR060C	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-3.11-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-3.11&CDS=1-1008
OG0002535	YMR061W	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-3.33-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-3.33&CDS=1-2202
OG0002536	YMR062C	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-2.124-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-2.124&CDS=1-1302
OG0002537	YMR063W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-1.58-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-1.58&CDS=1-963
OG0002538	YMR065W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-1.57-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-1.57&CDS=1-1404
OG0002539	YMR068W	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-7.102-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-7.102&CDS=1-849
OG0002540	YMR071C	augustus_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-3.123&CDS=1-516
OG0002541	YMR075W	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-2.125-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-2.125&CDS=1-2136
OG0002542	YMR076C	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-0.9&CDS=1-3867
OG0002543	YMR077C	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-7.176-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-7.176&CDS=1-645
OG0002544	YMR078C	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.42-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.42&CDS=1-2283
OG0002545	YMR079W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.43-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.43&CDS=1-897
OG0002546	YMR080C	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.22-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.22&CDS=1-2775
OG0002547	YMR087W	augustus_masked-NODE_16_length_131685_cov_45.3429_ID_31-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_16_length_131685_cov_45.3429_ID_31-processed-gene-0.40&CDS=1-537
OG0002548	YMR090W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-13.26-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-13.26&CDS=1-645
OG0002549	YMR091C	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-0.9&CDS=1-1320
OG0002550	YMR093W	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-9.65-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-9.65&CDS=1-1494
OG0002551	YMR096W	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-4.97-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-4.97&CDS=1-876
OG0002552	YMR097C	snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-0.36&CDS=1-1098
OG0002553	YMR098C	augustus_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-0.61&CDS=1-1755
OG0002554	YMR099C	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-3.98-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-3.98&CDS=1-903
OG0002555	YMR100W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.40-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.40&CDS=1-2286
OG0002556	YMR106C	snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-0.9&CDS=1-1887
OG0002557	YMR108W	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-4.54-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-4.54&CDS=1-1890
OG0002558	YMR109W	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-1.64-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-1.64&CDS=1-3735
OG0002559	YMR116C	snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-1.64-mRNA-1_1&gene=snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-1.64&CDS=1-951
OG0002560	YMR117C	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-3.144-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-3.144&CDS=1-651
OG0002561	YMR120C	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-5.128-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-5.128&CDS=1-1767
OG0002562	YMR121C	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-5.129-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-5.129&CDS=1-612
OG0002563	YMR123W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-15.205-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-15.205&CDS=1-339
OG0002564	YMR125W	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-6.92-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-6.92&CDS=1-2853
OG0002565	YMR128W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-2.121-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-2.121&CDS=1-3837
OG0002566	YMR129W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-2.120-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-2.120&CDS=1-3846
OG0002567	YMR131C	snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-1.130-mRNA-1_1&gene=snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-1.130&CDS=1-1506
OG0002568	YMR132C	snap_masked-NODE_17_length_77706_cov_73.9179_ID_33-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_17_length_77706_cov_73.9179_ID_33-processed-gene-0.62&CDS=1-693
OG0002569	YMR134W	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-2.79-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-2.79&CDS=1-657
OG0002570	YMR135C	augustus_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-3.1&CDS=1-1089
OG0002571	YMR137C	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.52-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.52&CDS=1-1950
OG0002572	YMR138W	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.31-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.31&CDS=1-537
OG0002573	YMR139W	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-4.78-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-4.78&CDS=1-1224
OG0002574	YMR140W	snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-0.93-mRNA-1_1&gene=snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-0.93&CDS=1-1320
OG0002575	YMR145C	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-4.94-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-4.94&CDS=1-1641
OG0002576	YMR146C	augustus_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-4.121&CDS=1-1065
OG0002577	YMR149W	snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-2.51-mRNA-1_1&gene=snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-2.51&CDS=1-816
OG0002578	YMR153W	augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-9.94-mRNA-1_1&gene=augustus_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-9.94&CDS=1-1137
OG0002579	YMR154C	augustus_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-0.55&CDS=1-2178
OG0002580	YMR156C	snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-2.63-mRNA-1_1&gene=snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-2.63&CDS=1-777
OG0002581	YMR158W	snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-2.62-mRNA-1_1&gene=snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-2.62&CDS=1-468
OG0002582	YMR159C	snap_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-0.98-mRNA-1_1&gene=snap_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-0.98&CDS=1-483
OG0002583	YMR161W	snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-3.108-mRNA-1_1&gene=snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-3.108&CDS=1-936
OG0002584	YMR162C	augustus_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-0.51&CDS=1-4785
OG0002585	YMR165C	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-9.47-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-9.47&CDS=1-2610
OG0002586	YMR166C	genemark-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-1.27-mRNA-1_1&gene=genemark-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-1.27&CDS=1-1065
OG0002587	YMR167W	snap_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-1.127-mRNA-1_1&gene=snap_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-1.127&CDS=1-2085
OG0002588	YMR171C	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-2.67-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-2.67&CDS=1-1440
OG0002589	YMR176W	snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-3.85-mRNA-1_1&gene=snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-3.85&CDS=1-6087
OG0002590	YMR178W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-0.13&CDS=1-876
OG0002591	YMR185W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.69-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.69&CDS=1-2904
OG0002592	YMR186W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.95-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.95&CDS=1-2112
OG0002593	YMR189W	snap_masked-NODE_18_length_51940_cov_46.4736_ID_35-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_18_length_51940_cov_46.4736_ID_35-processed-gene-0.29&CDS=1-3138
OG0002594	YMR190C	snap_masked-NODE_18_length_51940_cov_46.4736_ID_35-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_18_length_51940_cov_46.4736_ID_35-processed-gene-0.18&CDS=1-4044
OG0002595	YMR194C-B	maker-NODE_4_length_977342_cov_52.321_ID_7-augustus-gene-7.126-mRNA-1_1&gene=maker-NODE_4_length_977342_cov_52.321_ID_7-augustus-gene-7.126&CDS=1-2253
OG0002596	YMR196W	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-1.93-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-1.93&CDS=1-3171
OG0002597	YMR197C	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-1.92-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-1.92&CDS=1-645
OG0002598	YMR200W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.78-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.78&CDS=1-720
OG0002599	YMR201C	maker-NODE_4_length_977342_cov_52.321_ID_7-snap-gene-5.104-mRNA-1_1&gene=maker-NODE_4_length_977342_cov_52.321_ID_7-snap-gene-5.104&CDS=1-1095
OG0002600	YMR202W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.81-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.81&CDS=1-648
OG0002601	YMR203W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.66-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.66&CDS=1-1146
OG0002602	YMR209C	snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.45&CDS=1-1338
OG0002603	YMR210W	snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.44&CDS=1-1350
OG0002604	YMR211W	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.92-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.92&CDS=1-1410
OG0002605	YMR212C	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-8.10-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-8.10&CDS=1-2490
OG0002606	YMR213W	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-9.35-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-9.35&CDS=1-4086
OG0002607	YMR214W	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.64-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.64&CDS=1-1053
OG0002608	YMR216C	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-8.244-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-8.244&CDS=1-2229
OG0002609	YMR217W	snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.46&CDS=1-1584
OG0002610	YMR220W	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-3.57-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-3.57&CDS=1-1272
OG0002611	YMR223W	augustus_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-5.34&CDS=1-1521
OG0002612	YMR224C	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-15.214-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-15.214&CDS=1-1857
OG0002613	YMR227C	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-1.94-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-1.94&CDS=1-1671
OG0002614	YMR228W	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-3.10-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-3.10&CDS=1-879
OG0002615	YMR229C	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-1.91-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-1.91&CDS=1-5019
OG0002616	YMR231W	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-8.7-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-8.7&CDS=1-2970
