	Metschnikowia_borealis	Saccharomyces_cerevisiae
OG0002757	snap_masked-bor_s777-processed-gene-0.148-mRNA-1_1&gene=snap_masked-bor_s777-processed-gene-0.148&CDS=1-3828	YML091C
OG0002758	augustus_masked-bor_s777-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.78&CDS=1-2808	YNL287W
OG0002759	augustus_masked-bor_s777-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.104&CDS=1-852	YPR079W
OG0002760	augustus_masked-bor_s777-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.79&CDS=1-2454	YPR089W
OG0002761	augustus_masked-bor_s777-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.105&CDS=1-306	YBR268W
OG0002762	augustus_masked-bor_s777-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.106&CDS=1-249	YMR194C-B
OG0002763	augustus_masked-bor_s777-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.108&CDS=1-2484	YIL130W
OG0002764	augustus_masked-bor_s777-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.83&CDS=1-1590	YNL240C
OG0002765	augustus_masked-bor_s777-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.84&CDS=1-1185	YJL131C
OG0002766	augustus_masked-bor_s777-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.109&CDS=1-1623	YKR051W
OG0002767	augustus_masked-bor_s777-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.111&CDS=1-1893	YOL060C
OG0002768	augustus_masked-bor_s777-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.114&CDS=1-795	YIL093C
OG0002769	augustus_masked-bor_s777-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.87&CDS=1-507	YDL120W
OG0002770	augustus_masked-bor_s777-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.88&CDS=1-1740	YLR337C
OG0002771	augustus_masked-bor_s777-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.117&CDS=1-1032	YBR246W
OG0002772	augustus_masked-bor_s777-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.118&CDS=1-3183	YDL215C
OG0002773	augustus_masked-bor_s777-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.90&CDS=1-1323	YOL062C
OG0002774	augustus_masked-bor_s777-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.119&CDS=1-1905	YGL110C
OG0002775	augustus_masked-bor_s777-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.120&CDS=1-3705	YMR218C
OG0002776	augustus_masked-bor_s777-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.92&CDS=1-255	YKL053C-A
OG0002777	augustus_masked-bor_s777-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.93&CDS=1-984	YJR107W
OG0002778	augustus_masked-bor_s777-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.123&CDS=1-1470	YDR376W
OG0002779	augustus_masked-bor_s777-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.124&CDS=1-2838	YLR386W
OG0002780	maker-bor_s777-augustus-gene-0.140-mRNA-1_1&gene=maker-bor_s777-augustus-gene-0.140&CDS=1-3645	YDL060W
OG0002781	maker-bor_s777-augustus-gene-0.137-mRNA-1_1&gene=maker-bor_s777-augustus-gene-0.137&CDS=1-270	YLR390W
OG0002782	augustus_masked-bor_s777-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.96&CDS=1-1917	YDL063C
OG0002783	augustus_masked-bor_s777-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.127&CDS=1-2331	YJL156C
OG0002784	augustus_masked-bor_s777-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.97&CDS=1-1362	YJL155C
OG0002785	augustus_masked-bor_s777-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.128&CDS=1-474	YDL064W
OG0002786	augustus_masked-bor_s777-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.98&CDS=1-870	YDL065C
OG0002787	augustus_masked-bor_s777-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.129&CDS=1-2295	YLR397C
OG0002788	augustus_masked-bor_s777-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.130&CDS=1-3636	YLR398C
OG0002789	augustus_masked-bor_s777-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.131&CDS=1-1689	YOR090C
OG0002790	augustus_masked-bor_s777-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.132&CDS=1-354	YHL015W
OG0002791	augustus_masked-bor_s777-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.133&CDS=1-843	YLR393W
OG0002792	augustus_masked-bor_s777-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.100&CDS=1-2232	YNL118C
OG0002793	augustus_masked-bor_s777-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-bor_s777-processed-gene-0.101&CDS=1-1239	YNL207W
OG0002794	augustus_masked-bor_s779-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.96&CDS=1-687	YNL213C
OG0002795	augustus_masked-bor_s779-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.79&CDS=1-1140	YNL212W
OG0002796	augustus_masked-bor_s779-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.97&CDS=1-237	YNL211C
OG0002797	augustus_masked-bor_s779-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.81&CDS=1-3531	YGL062W
OG0002798	augustus_masked-bor_s779-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.82&CDS=1-372	YGL127C
OG0002799	augustus_masked-bor_s779-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.84&CDS=1-2547	YIL140W
OG0002800	maker-bor_s779-augustus-gene-0.117-mRNA-1_1&gene=maker-bor_s779-augustus-gene-0.117&CDS=1-2808	YBR221C
OG0002801	augustus_masked-bor_s779-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.87&CDS=1-219	YNR032C-A
OG0002802	augustus_masked-bor_s779-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.104&CDS=1-1338	YOL140W
OG0002803	augustus_masked-bor_s779-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.105&CDS=1-1965	YNR039C
OG0002804	augustus_masked-bor_s779-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.108&CDS=1-3759	YMR109W
OG0002805	augustus_masked-bor_s779-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.109&CDS=1-1545	YCR072C
OG0002806	augustus_masked-bor_s779-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.113&CDS=1-2424	YCR077C
OG0002807	augustus_masked-bor_s779-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.114&CDS=1-2289	YNR033W
OG0002808	augustus_masked-bor_s779-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.115&CDS=1-5373	YDL058W
OG0002809	augustus_masked-bor_s779-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.90&CDS=1-687	YDL059C
OG0002810	augustus_masked-bor_s779-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-bor_s779-processed-gene-0.116&CDS=1-3984	YLR384C
OG0002811	genemark-bor_s782-processed-gene-0.15-mRNA-1_1&gene=genemark-bor_s782-processed-gene-0.15&CDS=1-1764	YPL132W
OG0002812	augustus_masked-bor_s782-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bor_s782-processed-gene-0.9&CDS=1-1350	YBR199W
OG0002813	augustus_masked-bor_s782-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s782-processed-gene-0.2&CDS=1-1995	YPL104W
OG0002814	augustus_masked-bor_s782-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-bor_s782-processed-gene-0.10&CDS=1-2130	YJL010C
OG0002815	augustus_masked-bor_s782-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s782-processed-gene-0.3&CDS=1-1425	YOR056C
OG0002816	augustus_masked-bor_s782-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s782-processed-gene-0.6&CDS=1-1767	YDR294C
OG0002817	augustus_masked-bor_s784-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bor_s784-processed-gene-0.22&CDS=1-2328	YDR517W
OG0002818	augustus_masked-bor_s784-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-bor_s784-processed-gene-0.23&CDS=1-1035	YCR019W
OG0002819	augustus_masked-bor_s784-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-bor_s784-processed-gene-0.25&CDS=1-1077	YML019W
OG0002820	augustus_masked-bor_s784-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bor_s784-processed-gene-0.26&CDS=1-1779	YML021C
OG0002821	genemark-bor_s784-processed-gene-0.16-mRNA-1_1&gene=genemark-bor_s784-processed-gene-0.16&CDS=1-3501	YDR440W
OG0002822	augustus_masked-bor_s784-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-bor_s784-processed-gene-0.36&CDS=1-2604	YML020W
OG0002823	augustus_masked-bor_s784-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-bor_s784-processed-gene-0.38&CDS=1-636	YML012W
OG0002824	augustus_masked-bor_s784-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-bor_s784-processed-gene-0.31&CDS=1-210	YML009C
OG0002825	augustus_masked-bor_s784-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bor_s784-processed-gene-0.39&CDS=1-3078	YDR430C
OG0002826	augustus_masked-bor_s785-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s785-processed-gene-0.4&CDS=1-1017	YLR377C
OG0002827	augustus_masked-bor_s785-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s785-processed-gene-0.5&CDS=1-1413	YDL054C
OG0002828	augustus_masked-bor_s785-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s785-processed-gene-0.6&CDS=1-1086	YDL055C
OG0002829	augustus_masked-bor_s787-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-bor_s787-processed-gene-0.30&CDS=1-1308	YGR110W
OG0002830	augustus_masked-bor_s787-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-bor_s787-processed-gene-0.36&CDS=1-1278	YPR066W
OG0002831	genemark-bor_s787-processed-gene-0.22-mRNA-1_1&gene=genemark-bor_s787-processed-gene-0.22&CDS=1-1467	YML032C
OG0002832	augustus_masked-bor_s787-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-bor_s787-processed-gene-0.38&CDS=1-264	YOR159C
OG0002833	augustus_masked-bor_s787-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-bor_s787-processed-gene-0.32&CDS=1-9699	YDR457W
OG0002834	augustus_masked-bor_s787-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bor_s787-processed-gene-0.39&CDS=1-720	YBR096W
OG0002835	augustus_masked-bor_s791-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s791-processed-gene-0.0&CDS=1-1200	YGL048C
OG0002836	augustus_masked-bor_s791-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s791-processed-gene-0.2&CDS=1-2343	YBR286W
OG0002837	augustus_masked-bor_s795-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s795-processed-gene-0.0&CDS=1-2340	YPL153C
OG0002838	snap_masked-bor_s795-processed-gene-0.10-mRNA-1_1&gene=snap_masked-bor_s795-processed-gene-0.10&CDS=1-1845	YPL155C
OG0002839	augustus_masked-bor_s795-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s795-processed-gene-0.4&CDS=1-948	YOR242C
OG0002840	genemark-bor_s795-processed-gene-0.14-mRNA-1_1&gene=genemark-bor_s795-processed-gene-0.14&CDS=1-2175	YOR243C
OG0002841	augustus_masked-bor_s796-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.0&CDS=1-969	YBR251W
OG0002842	augustus_masked-bor_s796-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.1&CDS=1-1599	YIR004W
OG0002843	augustus_masked-bor_s796-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.24&CDS=1-378	YEL044W
OG0002844	augustus_masked-bor_s796-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.3&CDS=1-3327	YFR030W
OG0002845	augustus_masked-bor_s796-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.6&CDS=1-435	YCR063W
OG0002846	augustus_masked-bor_s796-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.7&CDS=1-1098	YKL028W
OG0002847	augustus_masked-bor_s796-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.8&CDS=1-870	YBR291C
OG0002848	augustus_masked-bor_s796-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.28&CDS=1-1143	YBR290W
OG0002849	augustus_masked-bor_s796-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.29&CDS=1-1293	YOR368W
OG0002850	augustus_masked-bor_s796-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.30&CDS=1-1047	YLR447C
OG0002851	augustus_masked-bor_s796-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.12&CDS=1-1233	YML071C
OG0002852	augustus_masked-bor_s796-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.31&CDS=1-3609	YOR191W
OG0002853	augustus_masked-bor_s796-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.32&CDS=1-603	YLR292C
OG0002854	augustus_masked-bor_s796-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.14&CDS=1-1191	YIL116W
OG0002855	augustus_masked-bor_s796-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.15&CDS=1-753	YMR188C
OG0002856	augustus_masked-bor_s796-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bor_s796-processed-gene-0.16&CDS=1-2049	YJL093C
OG0002857	snap_masked-bor_s796-processed-gene-0.54-mRNA-1_1&gene=snap_masked-bor_s796-processed-gene-0.54&CDS=1-1371	YAL022C
OG0002858	genemark-bor_s796-processed-gene-0.95-mRNA-1_1&gene=genemark-bor_s796-processed-gene-0.95&CDS=1-1752	YKL191W
OG0002859	genemark-bor_s796-processed-gene-0.96-mRNA-1_1&gene=genemark-bor_s796-processed-gene-0.96&CDS=1-921	YLR426W
OG0002860	snap_masked-bor_s796-processed-gene-0.72-mRNA-1_1&gene=snap_masked-bor_s796-processed-gene-0.72&CDS=1-480	YML055W
OG0002861	snap_masked-bor_s796-processed-gene-0.73-mRNA-1_1&gene=snap_masked-bor_s796-processed-gene-0.73&CDS=1-1647	YLR427W
OG0002862	augustus_masked-bor_s80-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.29&CDS=1-1110	YGL169W
OG0002863	augustus_masked-bor_s80-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.30&CDS=1-1083	YNL191W
OG0002864	augustus_masked-bor_s80-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.31&CDS=1-510	YJL096W
OG0002865	augustus_masked-bor_s80-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.46&CDS=1-1836	YNR030W
OG0002866	augustus_masked-bor_s80-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.33&CDS=1-1170	YNR029C
OG0002867	augustus_masked-bor_s80-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.34&CDS=1-1416	YJL054W
OG0002868	augustus_masked-bor_s80-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.35&CDS=1-1353	YOR375C
OG0002869	augustus_masked-bor_s80-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.36&CDS=1-786	YEL019C
OG0002870	snap_masked-bor_s80-processed-gene-0.23-mRNA-1_1&gene=snap_masked-bor_s80-processed-gene-0.23&CDS=1-789	YGL221C
OG0002871	genemark-bor_s80-processed-gene-0.66-mRNA-1_1&gene=genemark-bor_s80-processed-gene-0.66&CDS=1-1455	YOL137W
OG0002872	augustus_masked-bor_s80-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.49&CDS=1-258	YGL220W
OG0002873	augustus_masked-bor_s80-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.50&CDS=1-4263	YDL240W
OG0002874	augustus_masked-bor_s80-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.51&CDS=1-660	YNL038W
OG0002875	augustus_masked-bor_s80-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.52&CDS=1-2031	YNL039W
OG0002876	genemark-bor_s80-processed-gene-0.69-mRNA-1_1&gene=genemark-bor_s80-processed-gene-0.69&CDS=1-1101	YNL035C
OG0002877	augustus_masked-bor_s80-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-bor_s80-processed-gene-0.41&CDS=1-2829	YNL021W
OG0002878	augustus_masked-bor_s801-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s801-processed-gene-0.1&CDS=1-684	YOL147C
OG0002879	augustus_masked-bor_s801-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s801-processed-gene-0.3&CDS=1-1494	YBL082C
OG0002880	augustus_masked-bor_s801-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s801-processed-gene-0.6&CDS=1-2616	YER109C
OG0002881	augustus_masked-bor_s802-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bor_s802-processed-gene-0.26&CDS=1-1611	YDR168W
OG0002882	augustus_masked-bor_s802-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-bor_s802-processed-gene-0.32&CDS=1-2490	YPL190C
OG0002883	augustus_masked-bor_s802-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-bor_s802-processed-gene-0.27&CDS=1-1035	YMR315W
OG0002884	augustus_masked-bor_s802-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bor_s802-processed-gene-0.33&CDS=1-1758	YDR498C
OG0002885	augustus_masked-bor_s802-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-bor_s802-processed-gene-0.34&CDS=1-816	YIL106W
OG0002886	augustus_masked-bor_s803-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s803-processed-gene-0.1&CDS=1-162	YNL070W
OG0002887	augustus_masked-bor_s805-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s805-processed-gene-0.0&CDS=1-504	YBR137W
OG0002888	augustus_masked-bor_s806-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bor_s806-processed-gene-0.14&CDS=1-1008	YOR130C
OG0002889	genemark-bor_s806-processed-gene-0.3-mRNA-1_1&gene=genemark-bor_s806-processed-gene-0.3&CDS=1-939	YDL237W
OG0002890	augustus_masked-bor_s806-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bor_s806-processed-gene-0.18&CDS=1-618	YLR312W-A
OG0002891	augustus_masked-bor_s806-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bor_s806-processed-gene-0.15&CDS=1-1665	YGL171W
OG0002892	augustus_masked-bor_s81-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s81-processed-gene-0.0&CDS=1-525	YLR370C
OG0002893	genemark-bor_s81-processed-gene-0.15-mRNA-1_1&gene=genemark-bor_s81-processed-gene-0.15&CDS=1-660	YDR410C
OG0002894	augustus_masked-bor_s813-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bor_s813-processed-gene-0.9&CDS=1-267	YJR135W-A
OG0002895	augustus_masked-bor_s822-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bor_s822-processed-gene-0.9&CDS=1-450	YEL038W
OG0002896	augustus_masked-bor_s822-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s822-processed-gene-0.2&CDS=1-1176	YGR012W
OG0002897	augustus_masked-bor_s822-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bor_s822-processed-gene-0.12&CDS=1-1356	YPL112C
OG0002898	augustus_masked-bor_s822-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bor_s822-processed-gene-0.13&CDS=1-1296	YDR531W
OG0002899	augustus_masked-bor_s822-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bor_s822-processed-gene-0.15&CDS=1-2490	YJL087C
OG0002900	augustus_masked-bor_s822-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bor_s822-processed-gene-0.16&CDS=1-2619	YFL047W
OG0002901	augustus_masked-bor_s822-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-bor_s822-processed-gene-0.7&CDS=1-825	YLR284C
OG0002902	genemark-bor_s822-processed-gene-0.27-mRNA-1_1&gene=genemark-bor_s822-processed-gene-0.27&CDS=1-2265	YHL023C
OG0002903	genemark-bor_s822-processed-gene-0.37-mRNA-1_1&gene=genemark-bor_s822-processed-gene-0.37&CDS=1-3798	YHR165C
OG0002904	snap_masked-bor_s823-processed-gene-0.35-mRNA-1_1&gene=snap_masked-bor_s823-processed-gene-0.35&CDS=1-1125	YFL039C
OG0002905	maker-bor_s823-augustus-gene-0.44-mRNA-1_1&gene=maker-bor_s823-augustus-gene-0.44&CDS=1-333	YOR327C
OG0002906	augustus_masked-bor_s823-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-bor_s823-processed-gene-0.59&CDS=1-507	YAL044C
OG0002907	augustus_masked-bor_s823-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-bor_s823-processed-gene-0.60&CDS=1-1944	YDL206W
OG0002908	augustus_masked-bor_s823-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-bor_s823-processed-gene-0.51&CDS=1-1731	YGL084C
OG0002909	augustus_masked-bor_s823-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-bor_s823-processed-gene-0.62&CDS=1-411	YGL087C
OG0002910	augustus_masked-bor_s823-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-bor_s823-processed-gene-0.53&CDS=1-2013	YGL086W
OG0002911	augustus_masked-bor_s823-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-bor_s823-processed-gene-0.54&CDS=1-3297	YMR131C
OG0002912	augustus_masked-bor_s823-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-bor_s823-processed-gene-0.64&CDS=1-966	YPL266W
OG0002913	augustus_masked-bor_s824-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bor_s824-processed-gene-0.9&CDS=1-1896	YML127W
OG0002914	augustus_masked-bor_s824-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-bor_s824-processed-gene-0.10&CDS=1-1719	YDL210W
OG0002915	augustus_masked-bor_s825-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bor_s825-processed-gene-0.8&CDS=1-735	YJL063C
OG0002916	augustus_masked-bor_s828-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-bor_s828-processed-gene-0.17&CDS=1-396	YGL191W
OG0002917	augustus_masked-bor_s828-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bor_s828-processed-gene-0.20&CDS=1-1557	YGL017W
OG0002918	augustus_masked-bor_s828-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bor_s828-processed-gene-0.16&CDS=1-1116	YGR005C
OG0002919	augustus_masked-bor_s828-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-bor_s828-processed-gene-0.21&CDS=1-234	YLR325C
OG0002920	augustus_masked-bor_s828-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bor_s828-processed-gene-0.22&CDS=1-1005	YGR006W
OG0002921	augustus_masked-bor_s83-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bor_s83-processed-gene-0.18&CDS=1-1506	YNL241C
OG0002922	augustus_masked-bor_s83-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bor_s83-processed-gene-0.19&CDS=1-2559	YNL238W
OG0002923	augustus_masked-bor_s83-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bor_s83-processed-gene-0.14&CDS=1-1356	YNL237W
OG0002924	augustus_masked-bor_s83-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bor_s83-processed-gene-0.15&CDS=1-933	YJR095W
OG0002925	augustus_masked-bor_s83-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bor_s83-processed-gene-0.16&CDS=1-1038	YJR100C
OG0002926	augustus_masked-bor_s833-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bor_s833-processed-gene-0.15&CDS=1-795	YOR145C
OG0002927	augustus_masked-bor_s833-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bor_s833-processed-gene-0.19&CDS=1-678	YHR013C
OG0002928	augustus_masked-bor_s833-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bor_s833-processed-gene-0.20&CDS=1-741	YDR472W
OG0002929	augustus_masked-bor_s833-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-bor_s833-processed-gene-0.17&CDS=1-1386	YOR023C
OG0002930	augustus_masked-bor_s834-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-bor_s834-processed-gene-0.36&CDS=1-3441	YDR270W
OG0002931	augustus_masked-bor_s834-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-bor_s834-processed-gene-0.56&CDS=1-2874	YOR160W
OG0002932	augustus_masked-bor_s834-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bor_s834-processed-gene-0.37&CDS=1-561	YDR454C
OG0002933	augustus_masked-bor_s834-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-bor_s834-processed-gene-0.38&CDS=1-2652	YBR160W
OG0002934	augustus_masked-bor_s834-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-bor_s834-processed-gene-0.40&CDS=1-1020	YBR159W
OG0002935	augustus_masked-bor_s834-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-bor_s834-processed-gene-0.41&CDS=1-1047	YNL007C
