	Lachancea_mirantina	Saccharomyces_cerevisiae
OG0003669	augustus_masked-LAMI0H-processed-gene-7.27-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-7.27&CDS=1-1086	YLR018C
OG0003670	maker-LAMI0H-augustus-gene-7.103-mRNA-1_1&gene=maker-LAMI0H-augustus-gene-7.103&CDS=1-1173	YLR017W
OG0003671	genemark-LAMI0H-processed-gene-7.131-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-7.131&CDS=1-5574	YJL005W
OG0003672	genemark-LAMI0H-processed-gene-7.147-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-7.147&CDS=1-573	YJL004C
OG0003673	genemark-LAMI0H-processed-gene-7.132-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-7.132&CDS=1-2097	YLL008W
OG0003674	augustus_masked-LAMI0H-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-7.45&CDS=1-1899	YLL007C
OG0003675	genemark-LAMI0H-processed-gene-7.133-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-7.133&CDS=1-1359	YLL006W
OG0003676	genemark-LAMI0H-processed-gene-7.149-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-7.149&CDS=1-2817	YLL005C
OG0003677	genemark-LAMI0H-processed-gene-7.134-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-7.134&CDS=1-354	YJL003W
OG0003678	genemark-LAMI0H-processed-gene-7.135-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-7.135&CDS=1-1911	YLL004W
OG0003679	genemark-LAMI0H-processed-gene-7.150-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-7.150&CDS=1-1389	YJL002C
OG0003680	augustus_masked-LAMI0H-processed-gene-7.33-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-7.33&CDS=1-2709	YLL003W
OG0003681	snap_masked-LAMI0H-processed-gene-7.83-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-7.83&CDS=1-645	YJL001W
OG0003682	augustus_masked-LAMI0H-processed-gene-8.57-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-8.57&CDS=1-3516	YLL001W
OG0003683	augustus_masked-LAMI0H-processed-gene-8.59-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-8.59&CDS=1-2631	YLR001C
OG0003684	augustus_masked-LAMI0H-processed-gene-8.58-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-8.58&CDS=1-3477	YJR001W
OG0003685	genemark-LAMI0H-processed-gene-8.106-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.106&CDS=1-1983	YLR002C
OG0003686	augustus_masked-LAMI0H-processed-gene-8.79-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-8.79&CDS=1-657	YEL072W
OG0003687	augustus_masked-LAMI0H-processed-gene-8.80-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-8.80&CDS=1-1521	YJR003C
OG0003688	snap_masked-LAMI0H-processed-gene-8.33-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-8.33&CDS=1-2706	YJR004C
OG0003689	maker-LAMI0H-augustus-gene-8.1-mRNA-1_1&gene=maker-LAMI0H-augustus-gene-8.1&CDS=1-2787	YNR055C
OG0003690	genemark-LAMI0H-processed-gene-8.107-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.107&CDS=1-1545	YLR004C
OG0003691	genemark-LAMI0H-processed-gene-8.108-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.108&CDS=1-816	YLR003C
OG0003692	augustus_masked-LAMI0H-processed-gene-8.83-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-8.83&CDS=1-2091	YJR005W
OG0003693	genemark-LAMI0H-processed-gene-8.130-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.130&CDS=1-1830	YLR006C
OG0003694	augustus_masked-LAMI0H-processed-gene-8.63-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-8.63&CDS=1-840	YLR007W
OG0003695	genemark-LAMI0H-processed-gene-8.131-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.131&CDS=1-471	YLR008C
OG0003696	genemark-LAMI0H-processed-gene-8.110-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.110&CDS=1-534	YLR009W
OG0003697	genemark-LAMI0H-processed-gene-8.112-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.112&CDS=1-438	YKR074W
OG0003698	genemark-LAMI0H-processed-gene-8.133-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.133&CDS=1-1353	YOR059C
OG0003699	genemark-LAMI0H-processed-gene-8.134-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.134&CDS=1-735	YOR060C
OG0003700	genemark-LAMI0H-processed-gene-8.113-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.113&CDS=1-1014	YOR061W
OG0003701	genemark-LAMI0H-processed-gene-8.114-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.114&CDS=1-1164	YOR063W
OG0003702	genemark-LAMI0H-processed-gene-8.136-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.136&CDS=1-558	YOR064C
OG0003703	snap_masked-LAMI0H-processed-gene-8.20-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-8.20&CDS=1-918	YOR065W
OG0003704	genemark-LAMI0H-processed-gene-8.116-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.116&CDS=1-1092	YKR076W
OG0003705	augustus_masked-LAMI0H-processed-gene-8.71-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-8.71&CDS=1-1383	YOR066W
OG0003706	genemark-LAMI0H-processed-gene-8.139-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.139&CDS=1-1668	YOR067C
OG0003707	genemark-LAMI0H-processed-gene-8.118-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.118&CDS=1-1896	YOR069W
OG0003708	genemark-LAMI0H-processed-gene-8.140-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.140&CDS=1-2439	YKR079C
OG0003709	genemark-LAMI0H-processed-gene-8.141-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.141&CDS=1-1701	YOR070C
OG0003710	genemark-LAMI0H-processed-gene-8.119-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.119&CDS=1-948	YKR080W
OG0003711	augustus_masked-LAMI0H-processed-gene-8.93-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-8.93&CDS=1-1014	YKR081C
OG0003712	snap_masked-LAMI0H-processed-gene-8.25-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-8.25&CDS=1-3474	YKR082W
OG0003713	genemark-LAMI0H-processed-gene-8.143-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.143&CDS=1-354	YKR083C
OG0003714	augustus_masked-LAMI0H-processed-gene-8.75-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-8.75&CDS=1-1809	YOR073W
OG0003715	genemark-LAMI0H-processed-gene-8.144-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.144&CDS=1-933	YOR074C
OG0003716	augustus_masked-LAMI0H-processed-gene-8.76-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-8.76&CDS=1-957	YOR075W
OG0003717	augustus_masked-LAMI0H-processed-gene-8.96-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-8.96&CDS=1-3042	YKR084C
OG0003718	genemark-LAMI0H-processed-gene-8.147-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.147&CDS=1-1044	YKR087C
OG0003719	snap_masked-LAMI0H-processed-gene-8.30-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-8.30&CDS=1-723	YOR077W
OG0003720	snap_masked-LAMI0H-processed-gene-8.54-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-8.54&CDS=1-921	YKR088C
OG0003721	augustus_masked-LAMI0H-processed-gene-8.99-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-8.99&CDS=1-2526	YOL015W
OG0003722	augustus_masked-LAMI0H-processed-gene-9.55-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-9.55&CDS=1-597	YLR251W
OG0003723	genemark-LAMI0H-processed-gene-9.2-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.2&CDS=1-1440	YLR253W
OG0003724	augustus_masked-LAMI0H-processed-gene-8.100-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-8.100&CDS=1-1005	YGL159W
OG0003725	genemark-LAMI0H-processed-gene-9.3-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.3&CDS=1-3672	YLR256W
OG0003726	genemark-LAMI0H-processed-gene-9.6-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.6&CDS=1-1575	YGL160W
OG0003727	genemark-LAMI0H-processed-gene-9.4-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.4&CDS=1-864	YLR257W
OG0003728	augustus_masked-LAMI0H-processed-gene-9.59-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-9.59&CDS=1-2277	YFR016C
OG0003729	genemark-LAMI0H-processed-gene-9.7-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.7&CDS=1-702	YJL055W
OG0003730	genemark-LAMI0H-processed-gene-9.8-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.8&CDS=1-2223	YJL056C
OG0003731	augustus_masked-LAMI0H-processed-gene-9.84-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-9.84&CDS=1-1251	YBR271W
OG0003732	genemark-LAMI0H-processed-gene-9.9-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.9&CDS=1-1728	YJL057C
OG0003733	snap_masked-LAMI0H-processed-gene-9.137-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-9.137&CDS=1-1182	YJL059W
OG0003734	genemark-LAMI0H-processed-gene-9.11-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.11&CDS=1-312	YBR268W
OG0003735	augustus_masked-LAMI0H-processed-gene-9.65-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-9.65&CDS=1-2085	YJL061W
OG0003736	genemark-LAMI0H-processed-gene-9.34-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.34&CDS=1-429	YBR269C
OG0003737	augustus_masked-LAMI0H-processed-gene-9.66-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-9.66&CDS=1-1332	YJL060W
OG0003738	genemark-LAMI0H-processed-gene-9.35-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.35&CDS=1-2433	YJL062W
OG0003739	maker-LAMI0H-augustus-gene-9.53-mRNA-1_1&gene=maker-LAMI0H-augustus-gene-9.53&CDS=1-2052	YBR267W
OG0003740	snap_masked-LAMI0H-processed-gene-9.142-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-9.142&CDS=1-261	YJL062W-A
OG0003741	genemark-LAMI0H-processed-gene-9.14-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.14&CDS=1-711	YJL063C
OG0003742	genemark-LAMI0H-processed-gene-9.38-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.38&CDS=1-2523	YBR276C
OG0003743	genemark-LAMI0H-processed-gene-9.16-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.16&CDS=1-423	YJL065C
OG0003744	augustus_masked-LAMI0H-processed-gene-9.70-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-9.70&CDS=1-918	YJL066C
OG0003745	augustus_masked-LAMI0H-processed-gene-9.71-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-9.71&CDS=1-2151	YJL068C
OG0003746	augustus_masked-LAMI0H-processed-gene-9.91-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-9.91&CDS=1-1755	YBR280C
OG0003747	genemark-LAMI0H-processed-gene-9.40-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.40&CDS=1-2613	YBR281C
OG0003748	genemark-LAMI0H-processed-gene-9.20-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.20&CDS=1-1707	YJL069C
OG0003749	genemark-LAMI0H-processed-gene-9.21-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.21&CDS=1-435	YBR282W
OG0003750	genemark-LAMI0H-processed-gene-9.41-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.41&CDS=1-1476	YBR283C
OG0003751	genemark-LAMI0H-processed-gene-9.22-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.22&CDS=1-1068	YBR261C
OG0003752	genemark-LAMI0H-processed-gene-9.23-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.23&CDS=1-2256	YBR260C
OG0003753	augustus_masked-LAMI0H-processed-gene-9.94-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-9.94&CDS=1-2325	YJL047C
OG0003754	snap_masked-LAMI0H-processed-gene-9.126-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-9.126&CDS=1-360	YBR258C
OG0003755	genemark-LAMI0H-processed-gene-9.44-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.44&CDS=1-819	YBR257W
OG0003756	genemark-LAMI0H-processed-gene-9.24-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.24&CDS=1-1083	YJL046W
OG0003757	genemark-LAMI0H-processed-gene-9.45-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.45&CDS=1-1893	YFR029W
OG0003758	genemark-LAMI0H-processed-gene-9.25-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.25&CDS=1-2397	YFR013W
OG0003759	genemark-LAMI0H-processed-gene-9.46-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.46&CDS=1-1320	YOL016C
OG0003760	genemark-LAMI0H-processed-gene-9.29-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.29&CDS=1-1338	YJL054W
OG0003761	genemark-LAMI0H-processed-gene-9.30-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-9.30&CDS=1-927	YJL053W
OG0003762	augustus_masked-LAMI0H-processed-gene-9.83-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-9.83&CDS=1-2244	YJL051W
OG0003763	genemark-LAMI0H-processed-gene-10.4-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.4&CDS=1-3246	YJL050W
OG0003764	augustus_masked-LAMI0H-processed-gene-10.118-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-10.118&CDS=1-1422	YBR272C
OG0003765	snap_masked-LAMI0H-processed-gene-10.60-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-10.60&CDS=1-1506	YJL049W
OG0003766	genemark-LAMI0H-processed-gene-10.8-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.8&CDS=1-1134	YBR273C
OG0003767	maker-LAMI0H-augustus-gene-10.169-mRNA-1_1&gene=maker-LAMI0H-augustus-gene-10.169&CDS=1-1545	YBR274W
OG0003768	snap_masked-LAMI0H-processed-gene-10.63-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-10.63&CDS=1-4710	YBR275C
OG0003769	genemark-LAMI0H-processed-gene-10.38-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.38&CDS=1-1641	YJL071W
OG0003770	genemark-LAMI0H-processed-gene-10.14-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.14&CDS=1-621	YJL072C
OG0003771	genemark-LAMI0H-processed-gene-10.15-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.15&CDS=1-1053	YDR088C
OG0003772	genemark-LAMI0H-processed-gene-10.16-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.16&CDS=1-1122	YDR087C
OG0003773	genemark-LAMI0H-processed-gene-10.17-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.17&CDS=1-315	YER159C
OG0003774	augustus_masked-LAMI0H-processed-gene-10.128-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-10.128&CDS=1-2100	YER158C
OG0003775	genemark-LAMI0H-processed-gene-10.20-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.20&CDS=1-594	YDR084C
OG0003776	genemark-LAMI0H-processed-gene-10.39-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.39&CDS=1-1149	YDR083W
OG0003777	augustus_masked-LAMI0H-processed-gene-10.149-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-10.149&CDS=1-1296	YDR082W
OG0003778	genemark-LAMI0H-processed-gene-10.22-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.22&CDS=1-2403	YDR081C
OG0003779	genemark-LAMI0H-processed-gene-10.41-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.41&CDS=1-2679	YDR080W
OG0003780	snap_masked-LAMI0H-processed-gene-10.77-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-10.77&CDS=1-216	YDR079C-A
OG0003781	augustus_masked-LAMI0H-processed-gene-10.151-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-10.151&CDS=1-2193	YER157W
OG0003782	augustus_masked-LAMI0H-processed-gene-10.152-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-10.152&CDS=1-339	YDR079W
OG0003783	genemark-LAMI0H-processed-gene-10.23-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.23&CDS=1-1002	YER156C
OG0003784	genemark-LAMI0H-processed-gene-10.24-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.24&CDS=1-5898	YER155C
OG0003785	snap_masked-LAMI0H-processed-gene-10.100-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-10.100&CDS=1-1149	YER154W
OG0003786	augustus_masked-LAMI0H-processed-gene-10.134-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-10.134&CDS=1-2241	YER152C
OG0003787	genemark-LAMI0H-processed-gene-10.27-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.27&CDS=1-744	YDR078C
OG0003788	genemark-LAMI0H-processed-gene-10.28-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.28&CDS=1-2313	YER151C
OG0003789	genemark-LAMI0H-processed-gene-10.44-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.44&CDS=1-756	YER150W
OG0003790	genemark-LAMI0H-processed-gene-10.45-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.45&CDS=1-1119	YDR076W
OG0003791	genemark-LAMI0H-processed-gene-10.46-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.46&CDS=1-921	YDR075W
OG0003792	augustus_masked-LAMI0H-processed-gene-10.137-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-10.137&CDS=1-1125	YER149C
OG0003793	genemark-LAMI0H-processed-gene-10.47-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.47&CDS=1-690	YER148W
OG0003794	augustus_masked-LAMI0H-processed-gene-10.138-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-10.138&CDS=1-1836	YER147C
OG0003795	genemark-LAMI0H-processed-gene-10.48-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.48&CDS=1-2757	YDR074W
OG0003796	genemark-LAMI0H-processed-gene-10.49-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.49&CDS=1-306	YDR073W
OG0003797	genemark-LAMI0H-processed-gene-10.31-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.31&CDS=1-1560	YDR072C
OG0003798	snap_masked-LAMI0H-processed-gene-10.107-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-10.107&CDS=1-249	YER146W
OG0003799	genemark-LAMI0H-processed-gene-10.32-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.32&CDS=1-585	YDR071C
OG0003800	augustus_masked-LAMI0H-processed-gene-10.141-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-10.141&CDS=1-294	YDR070C
OG0003801	genemark-LAMI0H-processed-gene-10.34-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.34&CDS=1-2724	YDR069C
OG0003802	genemark-LAMI0H-processed-gene-10.51-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.51&CDS=1-813	YDR068W
OG0003803	snap_masked-LAMI0H-processed-gene-10.90-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-10.90&CDS=1-639	YDR067C
OG0003804	genemark-LAMI0H-processed-gene-10.52-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.52&CDS=1-1206	YER143W
OG0003805	genemark-LAMI0H-processed-gene-10.35-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.35&CDS=1-825	YER142C
OG0003806	snap_masked-LAMI0H-processed-gene-10.110-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-10.110&CDS=1-2826	YER141W
OG0003807	genemark-LAMI0H-processed-gene-10.36-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.36&CDS=1-663	YER139C
OG0003808	genemark-LAMI0H-processed-gene-10.55-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.55&CDS=1-1068	YDR065W
OG0003809	genemark-LAMI0H-processed-gene-10.56-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-10.56&CDS=1-453	YDR064W
OG0003810	maker-LAMI0H-augustus-gene-10.172-mRNA-1_1&gene=maker-LAMI0H-augustus-gene-10.172&CDS=1-2091	YDR062W
OG0003811	genemark-LAMI0H-processed-gene-11.114-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.114&CDS=1-1560	YDR061W
OG0003812	genemark-LAMI0H-processed-gene-11.111-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.111&CDS=1-1554	YER136W
OG0003813	augustus_masked-LAMI0H-processed-gene-11.17-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-11.17&CDS=1-477	YER137C
OG0003814	genemark-LAMI0H-processed-gene-11.112-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.112&CDS=1-408	YBL025W
OG0003815	genemark-LAMI0H-processed-gene-11.113-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.113&CDS=1-2031	YBL024W
OG0003816	genemark-LAMI0H-processed-gene-11.117-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.117&CDS=1-2556	YBL023C
OG0003817	augustus_masked-LAMI0H-processed-gene-11.38-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-11.38&CDS=1-5364	YBL022C
OG0003818	genemark-LAMI0H-processed-gene-11.119-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.119&CDS=1-1677	YBL020W
OG0003819	genemark-LAMI0H-processed-gene-11.120-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.120&CDS=1-1476	YBL019W
OG0003820	augustus_masked-LAMI0H-processed-gene-11.39-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-11.39&CDS=1-357	YBL018C
OG0003821	genemark-LAMI0H-processed-gene-11.121-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.121&CDS=1-1107	YBL016W
OG0003822	maker-LAMI0H-augustus-gene-11.1-mRNA-1_1&gene=maker-LAMI0H-augustus-gene-11.1&CDS=1-2106	YBL015W
OG0003823	genemark-LAMI0H-processed-gene-11.147-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.147&CDS=1-675	YLL023C
OG0003824	genemark-LAMI0H-processed-gene-11.124-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.124&CDS=1-1473	YLR314C
OG0003825	genemark-LAMI0H-processed-gene-11.126-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.126&CDS=1-3669	YLL021W
OG0003826	genemark-LAMI0H-processed-gene-11.150-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.150&CDS=1-711	YLR312W-A
OG0003827	genemark-LAMI0H-processed-gene-11.127-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.127&CDS=1-1722	YGL171W
OG0003828	maker-LAMI0H-snap-gene-11.164-mRNA-1_1&gene=maker-LAMI0H-snap-gene-11.164&CDS=1-3087	YPR019W
OG0003829	snap_masked-LAMI0H-processed-gene-11.101-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-11.101&CDS=1-1809	YPR018W
OG0003830	snap_masked-LAMI0H-processed-gene-11.102-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-11.102&CDS=1-1515	YGL170C
OG0003831	genemark-LAMI0H-processed-gene-11.128-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.128&CDS=1-399	YPR017C
OG0003832	genemark-LAMI0H-processed-gene-11.129-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.129&CDS=1-735	YPR016C
OG0003833	genemark-LAMI0H-processed-gene-11.132-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.132&CDS=1-1125	YPR011C
OG0003834	snap_masked-LAMI0H-processed-gene-11.82-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-11.82&CDS=1-864	YGR021W
OG0003835	genemark-LAMI0H-processed-gene-11.135-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.135&CDS=1-354	YGR020C
OG0003836	augustus_masked-LAMI0H-processed-gene-11.49-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-11.49&CDS=1-1911	YLR330W
OG0003837	genemark-LAMI0H-processed-gene-11.155-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.155&CDS=1-1413	YGR019W
OG0003838	genemark-LAMI0H-processed-gene-11.156-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.156&CDS=1-876	YGR017W
OG0003839	genemark-LAMI0H-processed-gene-11.136-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.136&CDS=1-735	YGR152C
OG0003840	genemark-LAMI0H-processed-gene-11.158-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.158&CDS=1-1338	YGL038C
OG0003841	genemark-LAMI0H-processed-gene-11.159-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.159&CDS=1-639	YGL037C
OG0003842	maker-LAMI0H-augustus-gene-11.3-mRNA-1_1&gene=maker-LAMI0H-augustus-gene-11.3&CDS=1-6324	YGR145W
OG0003843	genemark-LAMI0H-processed-gene-11.161-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.161&CDS=1-1404	YGL035C
OG0003844	genemark-LAMI0H-processed-gene-11.140-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-11.140&CDS=1-654	YGL033W
OG0003845	genemark-LAMI0H-processed-gene-12.3-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-12.3&CDS=1-672	YGR147C
OG0003846	augustus_masked-LAMI0H-processed-gene-12.85-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-12.85&CDS=1-327	YGL030W
OG0003847	genemark-LAMI0H-processed-gene-12.5-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-12.5&CDS=1-1677	YLL018C
OG0003848	genemark-LAMI0H-processed-gene-12.2-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-12.2&CDS=1-4602	YLR310C
OG0003849	snap_masked-LAMI0H-processed-gene-12.47-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-12.47&CDS=1-2601	YLR309C
OG0003850	genemark-LAMI0H-processed-gene-12.22-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-12.22&CDS=1-966	YLR308W
