	Lachancea_fermentati	Saccharomyces_cerevisiae
OG0003661	snap_masked-LAFE0H-processed-gene-4.22-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-4.22&CDS=1-1731	YDR228C
OG0003662	augustus_masked-LAFE0H-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-4.87&CDS=1-4332	YDR227W
OG0003663	snap_masked-LAFE0H-processed-gene-4.43-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-4.43&CDS=1-684	YDR226W
OG0003664	augustus_masked-LAFE0H-processed-gene-4.68-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-4.68&CDS=1-1812	YLR219W
OG0003665	snap_masked-LAFE0H-processed-gene-4.25-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-4.25&CDS=1-879	YLR220W
OG0003666	snap_masked-LAFE0H-processed-gene-4.45-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-4.45&CDS=1-2955	YLR222C
OG0003667	snap_masked-LAFE0H-processed-gene-4.46-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-4.46&CDS=1-2811	YLR223C
OG0003668	snap_masked-LAFE0H-processed-gene-4.48-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-4.48&CDS=1-1986	YDR221W
OG0003669	augustus_masked-LAFE0H-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-4.71&CDS=1-1335	YDR219C
OG0003670	snap_masked-LAFE0H-processed-gene-4.27-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-4.27&CDS=1-1149	YLR226W
OG0003671	augustus_masked-LAFE0H-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-4.93&CDS=1-1440	YLR227C
OG0003672	augustus_masked-LAFE0H-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-4.73&CDS=1-3840	YDR217C
OG0003673	snap_masked-LAFE0H-processed-gene-4.50-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-4.50&CDS=1-3396	YDR216W
OG0003674	snap_masked-LAFE0H-processed-gene-5.46-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.46&CDS=1-1044	YDR214W
OG0003675	maker-LAFE0H-snap-gene-5.144-mRNA-1_1&gene=maker-LAFE0H-snap-gene-5.144&CDS=1-2193	YDR213W
OG0003676	augustus_masked-LAFE0H-processed-gene-5.3-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-5.3&CDS=1-1680	YDR212W
OG0003677	snap_masked-LAFE0H-processed-gene-5.49-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.49&CDS=1-573	YLR229C
OG0003678	snap_masked-LAFE0H-processed-gene-5.50-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.50&CDS=1-2178	YDR211W
OG0003679	snap_masked-LAFE0H-processed-gene-5.74-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.74&CDS=1-1995	YDR208W
OG0003680	snap_masked-LAFE0H-processed-gene-5.52-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.52&CDS=1-1287	YDR207C
OG0003681	snap_masked-LAFE0H-processed-gene-5.75-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.75&CDS=1-2268	YDR206W
OG0003682	augustus_masked-LAFE0H-processed-gene-5.8-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-5.8&CDS=1-1878	YLR234W
OG0003683	snap_masked-LAFE0H-processed-gene-5.76-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.76&CDS=1-2022	YDR205W
OG0003684	snap_masked-LAFE0H-processed-gene-5.77-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.77&CDS=1-1017	YDR204W
OG0003685	snap_masked-LAFE0H-processed-gene-5.55-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.55&CDS=1-1014	YDR202C
OG0003686	genemark-LAFE0H-processed-gene-5.126-mRNA-1_1&gene=genemark-LAFE0H-processed-gene-5.126&CDS=1-378	YDR201W
OG0003687	snap_masked-LAFE0H-processed-gene-5.56-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.56&CDS=1-1371	YDR200C
OG0003688	snap_masked-LAFE0H-processed-gene-5.78-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.78&CDS=1-972	YLR239C
OG0003689	genemark-LAFE0H-processed-gene-5.105-mRNA-1_1&gene=genemark-LAFE0H-processed-gene-5.105&CDS=1-1380	YDR198C
OG0003690	augustus_masked-LAFE0H-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-5.35&CDS=1-1116	YDR197W
OG0003691	snap_masked-LAFE0H-processed-gene-5.58-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.58&CDS=1-711	YDR196C
OG0003692	augustus_masked-LAFE0H-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-5.36&CDS=1-1392	YDR195W
OG0003693	snap_masked-LAFE0H-processed-gene-5.59-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.59&CDS=1-1971	YDR194C
OG0003694	snap_masked-LAFE0H-processed-gene-5.60-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.60&CDS=1-2601	YLR240W
OG0003695	snap_masked-LAFE0H-processed-gene-5.61-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.61&CDS=1-2334	YLR241W
OG0003696	snap_masked-LAFE0H-processed-gene-5.81-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.81&CDS=1-909	YLR242C
OG0003697	snap_masked-LAFE0H-processed-gene-5.63-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.63&CDS=1-813	YLR243W
OG0003698	snap_masked-LAFE0H-processed-gene-5.82-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.82&CDS=1-1188	YDR191W
OG0003699	snap_masked-LAFE0H-processed-gene-5.64-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.64&CDS=1-1377	YDR190C
OG0003700	augustus_masked-LAFE0H-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-5.39&CDS=1-4548	YDR188W
OG0003701	snap_masked-LAFE0H-processed-gene-5.86-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.86&CDS=1-441	YLR245C
OG0003702	snap_masked-LAFE0H-processed-gene-5.65-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.65&CDS=1-2070	YDR186C
OG0003703	snap_masked-LAFE0H-processed-gene-5.66-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.66&CDS=1-693	YLR168C
OG0003704	augustus_masked-LAFE0H-processed-gene-5.22-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-5.22&CDS=1-876	YDR184C
OG0003705	snap_masked-LAFE0H-processed-gene-5.87-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.87&CDS=1-651	YDR183W
OG0003706	snap_masked-LAFE0H-processed-gene-5.68-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.68&CDS=1-2484	YLR166C
OG0003707	genemark-LAFE0H-processed-gene-5.138-mRNA-1_1&gene=genemark-LAFE0H-processed-gene-5.138&CDS=1-1431	YDR182W
OG0003708	augustus_masked-LAFE0H-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-5.24&CDS=1-1134	YDR181C
OG0003709	snap_masked-LAFE0H-processed-gene-5.89-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.89&CDS=1-4407	YDR180W
OG0003710	augustus_masked-LAFE0H-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-5.25&CDS=1-702	YLR165C
OG0003711	snap_masked-LAFE0H-processed-gene-5.90-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.90&CDS=1-1260	YDR179W-A
OG0003712	augustus_masked-LAFE0H-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-5.26&CDS=1-495	YDR179C
OG0003713	snap_masked-LAFE0H-processed-gene-5.71-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.71&CDS=1-1374	YLR163C
OG0003714	snap_masked-LAFE0H-processed-gene-5.92-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.92&CDS=1-1947	YDR176W
OG0003715	snap_masked-LAFE0H-processed-gene-5.72-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.72&CDS=1-903	YDR175C
OG0003716	snap_masked-LAFE0H-processed-gene-5.93-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-5.93&CDS=1-759	YDR174W
OG0003717	maker-LAFE0H-snap-gene-6.48-mRNA-1_1&gene=maker-LAFE0H-snap-gene-6.48&CDS=1-3339	YDR172W
OG0003718	snap_masked-LAFE0H-processed-gene-6.89-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.89&CDS=1-5433	YDR170C
OG0003719	augustus_masked-LAFE0H-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-6.54&CDS=1-2526	YLR152C
OG0003720	snap_masked-LAFE0H-processed-gene-6.108-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.108&CDS=1-768	YLR150W
OG0003721	snap_masked-LAFE0H-processed-gene-6.93-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.93&CDS=1-1338	YDR169C
OG0003722	snap_masked-LAFE0H-processed-gene-6.94-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.94&CDS=1-2046	YLR149C
OG0003723	snap_masked-LAFE0H-processed-gene-6.109-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.109&CDS=1-1497	YDR168W
OG0003724	snap_masked-LAFE0H-processed-gene-6.110-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.110&CDS=1-594	YDR167W
OG0003725	snap_masked-LAFE0H-processed-gene-6.111-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.111&CDS=1-2706	YLR148W
OG0003726	snap_masked-LAFE0H-processed-gene-6.95-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.95&CDS=1-306	YLR147C
OG0003727	snap_masked-LAFE0H-processed-gene-6.96-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.96&CDS=1-2685	YDR166C
OG0003728	snap_masked-LAFE0H-processed-gene-6.113-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.113&CDS=1-1320	YDR165W
OG0003729	snap_masked-LAFE0H-processed-gene-6.97-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.97&CDS=1-891	YLR146C
OG0003730	snap_masked-LAFE0H-processed-gene-6.114-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.114&CDS=1-606	YLR145W
OG0003731	augustus_masked-LAFE0H-processed-gene-6.75-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-6.75&CDS=1-2133	YLR143W
OG0003732	snap_masked-LAFE0H-processed-gene-6.117-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.117&CDS=1-1389	YLR142W
OG0003733	augustus_masked-LAFE0H-processed-gene-6.77-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-6.77&CDS=1-1452	YLR141W
OG0003734	augustus_masked-LAFE0H-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-6.61&CDS=1-2103	YLR139C
OG0003735	snap_masked-LAFE0H-processed-gene-6.119-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.119&CDS=1-723	YDR163W
OG0003736	snap_masked-LAFE0H-processed-gene-6.101-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.101&CDS=1-546	YDR162C
OG0003737	snap_masked-LAFE0H-processed-gene-6.120-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.120&CDS=1-1146	YDR161W
OG0003738	augustus_masked-LAFE0H-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-6.81&CDS=1-6819	YLR138W
OG0003739	snap_masked-LAFE0H-processed-gene-6.124-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.124&CDS=1-960	YLR137W
OG0003740	snap_masked-LAFE0H-processed-gene-6.125-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.125&CDS=1-1095	YDR158W
OG0003741	snap_masked-LAFE0H-processed-gene-6.126-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.126&CDS=1-219	YDR156W
OG0003742	snap_masked-LAFE0H-processed-gene-6.127-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.127&CDS=1-765	YDR152W
OG0003743	snap_masked-LAFE0H-processed-gene-6.104-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-6.104&CDS=1-828	YDR151C
OG0003744	snap_masked-LAFE0H-processed-gene-7.33-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.33&CDS=1-1311	YDR148C
OG0003745	snap_masked-LAFE0H-processed-gene-7.36-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.36&CDS=1-1617	YLR133W
OG0003746	snap_masked-LAFE0H-processed-gene-7.34-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.34&CDS=1-864	YLR132C
OG0003747	snap_masked-LAFE0H-processed-gene-7.35-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.35&CDS=1-2259	YLR131C
OG0003748	snap_masked-LAFE0H-processed-gene-7.37-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.37&CDS=1-2814	YLR129W
OG0003749	snap_masked-LAFE0H-processed-gene-7.58-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.58&CDS=1-1518	YDR145W
OG0003750	maker-LAFE0H-augustus-gene-7.108-mRNA-1_1&gene=maker-LAFE0H-augustus-gene-7.108&CDS=1-759	YLR128W
OG0003751	snap_masked-LAFE0H-processed-gene-7.38-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.38&CDS=1-2400	YLR127C
OG0003752	snap_masked-LAFE0H-processed-gene-7.39-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.39&CDS=1-768	YLR126C
OG0003753	snap_masked-LAFE0H-processed-gene-7.40-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.40&CDS=1-1701	YLR120C
OG0003754	snap_masked-LAFE0H-processed-gene-7.41-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.41&CDS=1-1740	YDR143C
OG0003755	snap_masked-LAFE0H-processed-gene-7.42-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.42&CDS=1-1098	YDR142C
OG0003756	snap_masked-LAFE0H-processed-gene-7.61-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.61&CDS=1-624	YLR119W
OG0003757	snap_masked-LAFE0H-processed-gene-7.43-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.43&CDS=1-684	YLR118C
OG0003758	snap_masked-LAFE0H-processed-gene-7.44-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.44&CDS=1-5028	YDR141C
OG0003759	genemark-LAFE0H-processed-gene-7.98-mRNA-1_1&gene=genemark-LAFE0H-processed-gene-7.98&CDS=1-657	YDR140W
OG0003760	snap_masked-LAFE0H-processed-gene-7.45-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.45&CDS=1-2046	YLR117C
OG0003761	maker-LAFE0H-augustus-gene-7.109-mRNA-1_1&gene=maker-LAFE0H-augustus-gene-7.109&CDS=1-4011	YLR115W
OG0003762	augustus_masked-LAFE0H-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-7.28&CDS=1-2277	YDR138W
OG0003763	snap_masked-LAFE0H-processed-gene-7.47-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.47&CDS=1-1902	YLR114C
OG0003764	snap_masked-LAFE0H-processed-gene-7.66-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.66&CDS=1-1854	YDR137W
OG0003765	snap_masked-LAFE0H-processed-gene-7.67-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.67&CDS=1-1221	YLR113W
OG0003766	snap_masked-LAFE0H-processed-gene-7.49-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.49&CDS=1-354	YDR134C
OG0003767	snap_masked-LAFE0H-processed-gene-7.50-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.50&CDS=1-1422	YDR132C
OG0003768	snap_masked-LAFE0H-processed-gene-7.52-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.52&CDS=1-792	YDR130C
OG0003769	snap_masked-LAFE0H-processed-gene-7.68-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.68&CDS=1-1161	YLR107W
OG0003770	snap_masked-LAFE0H-processed-gene-7.53-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.53&CDS=1-14760	YLR106C
OG0003771	snap_masked-LAFE0H-processed-gene-7.54-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.54&CDS=1-1047	YLR105C
OG0003772	snap_masked-LAFE0H-processed-gene-7.69-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.69&CDS=1-384	YLR104W
OG0003773	augustus_masked-LAFE0H-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-7.20&CDS=1-1893	YLR103C
OG0003774	snap_masked-LAFE0H-processed-gene-7.56-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-7.56&CDS=1-738	YLR102C
OG0003775	maker-LAFE0H-snap-gene-7.106-mRNA-1_1&gene=maker-LAFE0H-snap-gene-7.106&CDS=1-2178	YDR129C
OG0003776	genemark-LAFE0H-processed-gene-8.100-mRNA-1_1&gene=genemark-LAFE0H-processed-gene-8.100&CDS=1-4359	YDR128W
OG0003777	snap_masked-LAFE0H-processed-gene-8.53-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.53&CDS=1-4746	YDR127W
OG0003778	snap_masked-LAFE0H-processed-gene-8.55-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.55&CDS=1-294	YLR099W-A
OG0003779	snap_masked-LAFE0H-processed-gene-8.49-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.49&CDS=1-1173	YDR125C
OG0003780	snap_masked-LAFE0H-processed-gene-8.50-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.50&CDS=1-1749	YLR098C
OG0003781	augustus_masked-LAFE0H-processed-gene-8.9-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-8.9&CDS=1-963	YDR124W
OG0003782	snap_masked-LAFE0H-processed-gene-8.57-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.57&CDS=1-1074	YLR097C
OG0003783	augustus_masked-LAFE0H-processed-gene-8.11-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-8.11&CDS=1-897	YDR123C
OG0003784	snap_masked-LAFE0H-processed-gene-8.80-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.80&CDS=1-3210	YDR122W
OG0003785	augustus_masked-LAFE0H-processed-gene-8.12-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-8.12&CDS=1-2130	YLR095C
OG0003786	augustus_masked-LAFE0H-processed-gene-8.13-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-8.13&CDS=1-1371	YLR094C
OG0003787	snap_masked-LAFE0H-processed-gene-8.81-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.81&CDS=1-597	YDR121W
OG0003788	snap_masked-LAFE0H-processed-gene-8.63-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.63&CDS=1-1611	YDR120C
OG0003789	snap_masked-LAFE0H-processed-gene-8.82-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.82&CDS=1-228	YDR119W-A
OG0003790	snap_masked-LAFE0H-processed-gene-8.84-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.84&CDS=1-2625	YLR092W
OG0003791	augustus_masked-LAFE0H-processed-gene-8.36-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-8.36&CDS=1-1875	YDR118W
OG0003792	augustus_masked-LAFE0H-processed-gene-8.16-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-8.16&CDS=1-1665	YDR117C
OG0003793	snap_masked-LAFE0H-processed-gene-8.65-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.65&CDS=1-852	YDR116C
OG0003794	snap_masked-LAFE0H-processed-gene-8.85-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.85&CDS=1-807	YLR091W
OG0003795	augustus_masked-LAFE0H-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-8.18&CDS=1-858	YDR113C
OG0003796	snap_masked-LAFE0H-processed-gene-8.86-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.86&CDS=1-1227	YLR090W
OG0003797	snap_masked-LAFE0H-processed-gene-8.67-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.67&CDS=1-1563	YLR089C
OG0003798	augustus_masked-LAFE0H-processed-gene-8.39-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-8.39&CDS=1-2625	YLR088W
OG0003799	augustus_masked-LAFE0H-processed-gene-8.20-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-8.20&CDS=1-8907	YLR087C
OG0003800	augustus_masked-LAFE0H-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-8.40&CDS=1-4197	YLR086W
OG0003801	snap_masked-LAFE0H-processed-gene-8.69-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.69&CDS=1-1254	YLR085C
OG0003802	snap_masked-LAFE0H-processed-gene-8.70-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.70&CDS=1-2172	YDR109C
OG0003803	augustus_masked-LAFE0H-processed-gene-8.24-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-8.24&CDS=1-3675	YLR084C
OG0003804	snap_masked-LAFE0H-processed-gene-8.90-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.90&CDS=1-2079	YDR108W
OG0003805	snap_masked-LAFE0H-processed-gene-8.74-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.74&CDS=1-327	YER180C-A
OG0003806	augustus_masked-LAFE0H-processed-gene-8.27-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-8.27&CDS=1-894	YER180C
OG0003807	augustus_masked-LAFE0H-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-8.42&CDS=1-888	YDR106W
OG0003808	snap_masked-LAFE0H-processed-gene-8.76-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.76&CDS=1-1428	YDR105C
OG0003809	maker-LAFE0H-snap-gene-8.150-mRNA-1_1&gene=maker-LAFE0H-snap-gene-8.150&CDS=1-999	YER179W
OG0003810	snap_masked-LAFE0H-processed-gene-8.93-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.93&CDS=1-1779	YDR101C
OG0003811	snap_masked-LAFE0H-processed-gene-8.77-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.77&CDS=1-1221	YER178W
OG0003812	augustus_masked-LAFE0H-processed-gene-8.30-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-8.30&CDS=1-2730	YDR103W
OG0003813	snap_masked-LAFE0H-processed-gene-8.94-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.94&CDS=1-3633	YDR104C
OG0003814	snap_masked-LAFE0H-processed-gene-8.95-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.95&CDS=1-417	YDR100W
OG0003815	snap_masked-LAFE0H-processed-gene-8.96-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.96&CDS=1-759	YER177W
OG0003816	snap_masked-LAFE0H-processed-gene-8.97-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.97&CDS=1-3387	YER176W
OG0003817	snap_masked-LAFE0H-processed-gene-8.79-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.79&CDS=1-861	YER175C
OG0003818	snap_masked-LAFE0H-processed-gene-9.87-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-9.87&CDS=1-708	YER174C
OG0003819	snap_masked-LAFE0H-processed-gene-9.89-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-9.89&CDS=1-1998	YER173W
OG0003820	maker-LAFE0H-snap-gene-9.43-mRNA-1_1&gene=maker-LAFE0H-snap-gene-9.43&CDS=1-2943	YER171W
OG0003821	augustus_masked-LAFE0H-processed-gene-9.50-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-9.50&CDS=1-3723	YDR097C
OG0003822	snap_masked-LAFE0H-processed-gene-9.117-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-9.117&CDS=1-2484	YER169W
OG0003823	snap_masked-LAFE0H-processed-gene-9.91-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-9.91&CDS=1-1437	YER168C
OG0003824	snap_masked-LAFE0H-processed-gene-9.118-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-9.118&CDS=1-2073	YER167W
OG0003825	snap_masked-LAFE0H-processed-gene-9.119-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-9.119&CDS=1-4677	YER166W
OG0003826	snap_masked-LAFE0H-processed-gene-9.120-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-9.120&CDS=1-453	YDR092W
OG0003827	snap_masked-LAFE0H-processed-gene-9.121-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-9.121&CDS=1-1761	YER165W
OG0003828	snap_masked-LAFE0H-processed-gene-9.122-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-9.122&CDS=1-4260	YER164W
OG0003829	snap_masked-LAFE0H-processed-gene-9.93-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-9.93&CDS=1-1824	YDR091C
OG0003830	snap_masked-LAFE0H-processed-gene-9.94-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-9.94&CDS=1-813	YDR090C
OG0003831	augustus_masked-LAFE0H-processed-gene-9.54-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-9.54&CDS=1-2421	YER162C
OG0003832	snap_masked-LAFE0H-processed-gene-9.96-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-9.96&CDS=1-921	YER161C
OG0003833	snap_masked-LAFE0H-processed-gene-9.123-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-9.123&CDS=1-2460	YDR089W
OG0003834	augustus_masked-LAFE0H-processed-gene-9.56-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-9.56&CDS=1-1782	YDR087C
OG0003835	maker-LAFE0H-augustus-gene-9.44-mRNA-1_1&gene=maker-LAFE0H-augustus-gene-9.44&CDS=1-525	YDR086C
OG0003836	snap_masked-LAFE0H-processed-gene-9.102-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-9.102&CDS=1-1959	YDR085C
OG0003837	snap_masked-LAFE0H-processed-gene-9.103-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-9.103&CDS=1-585	YDR084C
