	Candida_tenuis	Saccharomyces_cerevisiae
OG0002497	maker-scaffold_00021-snap-gene-24.160-mRNA-1_1&gene=maker-scaffold_00021-snap-gene-24.160&CDS=1-921	YGR282C
OG0002498	snap_masked-scaffold_00021-processed-gene-24.121-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-24.121&CDS=1-1074	YMR310C
OG0002499	snap_masked-scaffold_00021-processed-gene-24.122-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-24.122&CDS=1-1407	YOR198C
OG0002500	maker-scaffold_00021-augustus-gene-24.142-mRNA-1_1&gene=maker-scaffold_00021-augustus-gene-24.142&CDS=1-1986	YOR196C
OG0002501	snap_masked-scaffold_00021-processed-gene-24.94-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-24.94&CDS=1-2208	YPL116W
OG0002502	snap_masked-scaffold_00021-processed-gene-24.95-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-24.95&CDS=1-3477	YPL115C
OG0002503	snap_masked-scaffold_00021-processed-gene-24.97-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-24.97&CDS=1-2190	YER047C
OG0002504	augustus_masked-scaffold_00021-processed-gene-24.53-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-24.53&CDS=1-972	YPR176C
OG0002505	maker-scaffold_00021-augustus-gene-24.143-mRNA-1_1&gene=maker-scaffold_00021-augustus-gene-24.143&CDS=1-1473	YBL064C
OG0002506	augustus_masked-scaffold_00021-processed-gene-24.54-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-24.54&CDS=1-1047	YJR149W
OG0002507	snap_masked-scaffold_00021-processed-gene-24.128-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-24.128&CDS=1-1263	YNL108C
OG0002508	augustus_masked-scaffold_00021-processed-gene-24.57-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-24.57&CDS=1-3129	YNL321W
OG0002509	snap_masked-scaffold_00021-processed-gene-24.102-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-24.102&CDS=1-342	YGR074W
OG0002510	snap_masked-scaffold_00021-processed-gene-24.133-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-24.133&CDS=1-477	YDL004W
OG0002511	snap_masked-scaffold_00021-processed-gene-24.103-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-24.103&CDS=1-1611	YDL003W
OG0002512	snap_masked-scaffold_00021-processed-gene-24.104-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-24.104&CDS=1-705	YDR489W
OG0002513	augustus_masked-scaffold_00021-processed-gene-24.64-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-24.64&CDS=1-3753	YOL138C
OG0002514	augustus_masked-scaffold_00021-processed-gene-24.34-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-24.34&CDS=1-852	YNL320W
OG0002515	snap_masked-scaffold_00021-processed-gene-24.137-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-24.137&CDS=1-630	YOL139C
OG0002516	augustus_masked-scaffold_00021-processed-gene-24.35-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-24.35&CDS=1-1488	YDR299W
OG0002517	snap_masked-scaffold_00022-processed-gene-0.37-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-0.37&CDS=1-1629	YNL189W
OG0002518	augustus_masked-scaffold_00022-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-0.51&CDS=1-4338	YJR131W
OG0002519	augustus_masked-scaffold_00022-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-0.54&CDS=1-6156	YDR170C
OG0002520	snap_masked-scaffold_00022-processed-gene-0.23-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-0.23&CDS=1-1392	YDR169C
OG0002521	snap_masked-scaffold_00022-processed-gene-0.24-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-0.24&CDS=1-2397	YBR202W
OG0002522	snap_masked-scaffold_00022-processed-gene-0.26-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-0.26&CDS=1-522	YER063W
OG0002523	snap_masked-scaffold_00022-processed-gene-0.40-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-0.40&CDS=1-1722	YGR124W
OG0002524	snap_masked-scaffold_00022-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-0.28&CDS=1-834	YFR052W
OG0002525	maker-scaffold_00022-augustus-gene-0.10-mRNA-1_1&gene=maker-scaffold_00022-augustus-gene-0.10&CDS=1-2124	YPL065W
OG0002526	snap_masked-scaffold_00022-processed-gene-0.44-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-0.44&CDS=1-1002	YIL049W
OG0002527	snap_masked-scaffold_00022-processed-gene-1.40-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.40&CDS=1-1044	YDR173C
OG0002528	snap_masked-scaffold_00022-processed-gene-1.44-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.44&CDS=1-2028	YDR172W
OG0002529	snap_masked-scaffold_00022-processed-gene-1.41-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.41&CDS=1-1407	YCL034W
OG0002530	snap_masked-scaffold_00022-processed-gene-1.46-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.46&CDS=1-432	YIL004C
OG0002531	snap_masked-scaffold_00022-processed-gene-1.43-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.43&CDS=1-894	YIL003W
OG0002532	snap_masked-scaffold_00022-processed-gene-1.47-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.47&CDS=1-618	YER002W
OG0002533	snap_masked-scaffold_00022-processed-gene-1.48-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.48&CDS=1-726	YIR001C
OG0002534	snap_masked-scaffold_00022-processed-gene-1.73-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.73&CDS=1-1317	YER003C
OG0002535	snap_masked-scaffold_00022-processed-gene-1.50-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.50&CDS=1-486	YCR090C
OG0002536	augustus_masked-scaffold_00022-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-1.12&CDS=1-918	YER053C
OG0002537	augustus_masked-scaffold_00022-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-1.31&CDS=1-1038	YIL044C
OG0002538	snap_masked-scaffold_00022-processed-gene-1.53-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.53&CDS=1-471	YNL111C
OG0002539	augustus_masked-scaffold_00022-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-1.32&CDS=1-1617	YLR221C
OG0002540	snap_masked-scaffold_00022-processed-gene-1.54-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.54&CDS=1-3987	YLR425W
OG0002541	augustus_masked-scaffold_00022-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-1.33&CDS=1-8406	YLR430W
OG0002542	augustus_masked-scaffold_00022-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-1.34&CDS=1-2700	YML067C
OG0002543	snap_masked-scaffold_00022-processed-gene-1.59-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.59&CDS=1-966	YLR288C
OG0002544	maker-scaffold_00022-snap-gene-1.100-mRNA-1_1&gene=maker-scaffold_00022-snap-gene-1.100&CDS=1-3096	YLR289W
OG0002545	augustus_masked-scaffold_00022-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-1.36&CDS=1-1716	YER086W
OG0002546	augustus_masked-scaffold_00022-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-1.21&CDS=1-2736	YPL244C
OG0002547	maker-scaffold_00022-augustus-gene-1.96-mRNA-1_1&gene=maker-scaffold_00022-augustus-gene-1.96&CDS=1-2535	YNL330C
OG0002548	snap_masked-scaffold_00022-processed-gene-1.67-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.67&CDS=1-1056	YPL188W
OG0002549	snap_masked-scaffold_00022-processed-gene-1.68-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.68&CDS=1-2076	YBR112C
OG0002550	snap_masked-scaffold_00022-processed-gene-1.69-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.69&CDS=1-1833	YPL222W
OG0002551	snap_masked-scaffold_00022-processed-gene-1.71-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.71&CDS=1-1089	YGR005C
OG0002552	augustus_masked-scaffold_00022-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-1.39&CDS=1-1092	YLR325C
OG0002553	snap_masked-scaffold_00022-processed-gene-1.72-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.72&CDS=1-1620	YLR324W
OG0002554	maker-scaffold_00022-augustus-gene-2.102-mRNA-1_1&gene=maker-scaffold_00022-augustus-gene-2.102&CDS=1-2235	YKL027W
OG0002555	snap_masked-scaffold_00022-processed-gene-2.49-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.49&CDS=1-708	YGR147C
OG0002556	snap_masked-scaffold_00022-processed-gene-2.55-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.55&CDS=1-1119	YML048W
OG0002557	snap_masked-scaffold_00022-processed-gene-2.56-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.56&CDS=1-2301	YER091C
OG0002558	augustus_masked-scaffold_00022-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-2.9&CDS=1-5487	YER090W
OG0002559	snap_masked-scaffold_00022-processed-gene-2.77-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.77&CDS=1-1773	YDR294C
OG0002560	snap_masked-scaffold_00022-processed-gene-2.78-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.78&CDS=1-2112	YDR295C
OG0002561	snap_masked-scaffold_00022-processed-gene-2.80-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.80&CDS=1-1428	YOR056C
OG0002562	maker-scaffold_00022-snap-gene-2.114-mRNA-1_1&gene=maker-scaffold_00022-snap-gene-2.114&CDS=1-1407	YIR038C
OG0002563	augustus_masked-scaffold_00022-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-2.28&CDS=1-1395	YBR199W
OG0002564	snap_masked-scaffold_00022-processed-gene-2.61-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.61&CDS=1-2058	YPL104W
OG0002565	snap_masked-scaffold_00022-processed-gene-2.82-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.82&CDS=1-2118	YJL010C
OG0002566	maker-scaffold_00022-snap-gene-2.116-mRNA-1_1&gene=maker-scaffold_00022-snap-gene-2.116&CDS=1-1146	YJL031C
OG0002567	augustus_masked-scaffold_00022-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-2.13&CDS=1-585	YJL030W
OG0002568	snap_masked-scaffold_00022-processed-gene-2.84-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.84&CDS=1-1116	YJL006C
OG0002569	snap_masked-scaffold_00022-processed-gene-2.85-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.85&CDS=1-843	YNL055C
OG0002570	snap_masked-scaffold_00022-processed-gene-2.86-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.86&CDS=1-2355	YMR049C
OG0002571	snap_masked-scaffold_00022-processed-gene-2.63-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.63&CDS=1-618	YIR005W
OG0002572	snap_masked-scaffold_00022-processed-gene-2.87-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.87&CDS=1-753	YPR139C
OG0002573	snap_masked-scaffold_00022-processed-gene-2.89-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.89&CDS=1-2691	YFL025C
OG0002574	snap_masked-scaffold_00022-processed-gene-2.65-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.65&CDS=1-609	YKL142W
OG0002575	snap_masked-scaffold_00022-processed-gene-2.66-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.66&CDS=1-681	YBR171W
OG0002576	maker-scaffold_00022-snap-gene-2.115-mRNA-1_1&gene=maker-scaffold_00022-snap-gene-2.115&CDS=1-3786	YER008C
OG0002577	maker-scaffold_00022-augustus-gene-2.106-mRNA-1_1&gene=maker-scaffold_00022-augustus-gene-2.106&CDS=1-2370	YER005W
OG0002578	maker-scaffold_00022-augustus-gene-2.107-mRNA-1_1&gene=maker-scaffold_00022-augustus-gene-2.107&CDS=1-3048	YER006W
OG0002579	snap_masked-scaffold_00022-processed-gene-2.92-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.92&CDS=1-540	YER007C-A
OG0002580	snap_masked-scaffold_00022-processed-gene-2.93-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.93&CDS=1-3114	YIR002C
OG0002581	snap_masked-scaffold_00022-processed-gene-2.99-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.99&CDS=1-1677	YOR067C
OG0002582	snap_masked-scaffold_00022-processed-gene-2.75-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.75&CDS=1-1482	YOR046C
OG0002583	augustus_masked-scaffold_00022-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-2.46&CDS=1-2349	YDR347W
OG0002584	snap_masked-scaffold_00022-processed-gene-3.0-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.0&CDS=1-4278	YJR137C
OG0002585	snap_masked-scaffold_00022-processed-gene-3.1-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.1&CDS=1-777	YHR200W
OG0002586	snap_masked-scaffold_00022-processed-gene-3.25-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.25&CDS=1-756	YMR048W
OG0002587	snap_masked-scaffold_00022-processed-gene-3.6-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.6&CDS=1-1041	YJR141W
OG0002588	snap_masked-scaffold_00022-processed-gene-3.26-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.26&CDS=1-1170	YHR201C
OG0002589	snap_masked-scaffold_00022-processed-gene-3.27-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.27&CDS=1-2253	YJR143C
OG0002590	maker-scaffold_00022-augustus-gene-3.95-mRNA-1_1&gene=maker-scaffold_00022-augustus-gene-3.95&CDS=1-2763	YJR142W
OG0002591	snap_masked-scaffold_00022-processed-gene-3.29-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.29&CDS=1-6240	YDR090C
OG0002592	augustus_masked-scaffold_00022-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-3.57&CDS=1-3441	YPL262W
OG0002593	snap_masked-scaffold_00022-processed-gene-3.11-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.11&CDS=1-951	YER161C
OG0002594	snap_masked-scaffold_00022-processed-gene-3.32-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.32&CDS=1-1890	YDR323C
OG0002595	snap_masked-scaffold_00022-processed-gene-3.33-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.33&CDS=1-273	YDR322C-A
OG0002596	snap_masked-scaffold_00022-processed-gene-3.12-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.12&CDS=1-1047	YHR076W
OG0002597	snap_masked-scaffold_00022-processed-gene-3.34-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.34&CDS=1-3006	YHR077C
OG0002598	snap_masked-scaffold_00022-processed-gene-3.35-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.35&CDS=1-1050	YDR322W
OG0002599	snap_masked-scaffold_00022-processed-gene-3.14-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.14&CDS=1-453	YHR051W
OG0002600	snap_masked-scaffold_00022-processed-gene-3.15-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.15&CDS=1-1008	YCL044C
OG0002601	augustus_masked-scaffold_00022-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-3.83&CDS=1-831	YHR090C
OG0002602	augustus_masked-scaffold_00022-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-3.64&CDS=1-2388	YOR035C
OG0002603	snap_masked-scaffold_00022-processed-gene-3.40-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.40&CDS=1-2910	YHR098C
OG0002604	snap_masked-scaffold_00022-processed-gene-3.19-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.19&CDS=1-2163	YDR258C
OG0002605	snap_masked-scaffold_00022-processed-gene-3.41-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.41&CDS=1-4212	YIR006C
OG0002606	augustus_masked-scaffold_00022-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-3.87&CDS=1-2232	YML035C
OG0002607	snap_masked-scaffold_00022-processed-gene-3.46-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.46&CDS=1-1158	YLR113W
OG0002608	snap_masked-scaffold_00022-processed-gene-3.20-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.20&CDS=1-636	YMR077C
OG0002609	snap_masked-scaffold_00022-processed-gene-3.48-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.48&CDS=1-1017	YGL040C
OG0002610	augustus_masked-scaffold_00022-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-4.86&CDS=1-3135	YKL152C
OG0002611	snap_masked-scaffold_00022-processed-gene-4.19-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.19&CDS=1-1104	YPL096W
OG0002612	snap_masked-scaffold_00022-processed-gene-4.26-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.26&CDS=1-2412	YKL078W
OG0002613	snap_masked-scaffold_00022-processed-gene-4.20-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.20&CDS=1-1572	YPL097W
OG0002614	snap_masked-scaffold_00022-processed-gene-4.28-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.28&CDS=1-1098	YOL064C
OG0002615	snap_masked-scaffold_00022-processed-gene-4.21-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.21&CDS=1-972	YMR063W
OG0002616	augustus_masked-scaffold_00022-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-4.115&CDS=1-3030	YHR052W
OG0002617	snap_masked-scaffold_00022-processed-gene-4.55-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.55&CDS=1-639	YKL159C
OG0002618	snap_masked-scaffold_00022-processed-gene-4.31-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.31&CDS=1-1659	YOR002W
OG0002619	snap_masked-scaffold_00022-processed-gene-4.58-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.58&CDS=1-1164	YNL084C
OG0002620	snap_masked-scaffold_00022-processed-gene-4.59-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.59&CDS=1-1224	YML005W
OG0002621	snap_masked-scaffold_00022-processed-gene-4.34-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.34&CDS=1-1425	YNL016W
OG0002622	augustus_masked-scaffold_00022-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-4.98&CDS=1-3063	YDL122W
OG0002623	augustus_masked-scaffold_00022-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-4.122&CDS=1-1527	YIL097W
OG0002624	maker-scaffold_00022-augustus-gene-4.13-mRNA-1_1&gene=maker-scaffold_00022-augustus-gene-4.13&CDS=1-3966	YAL019W
OG0002625	snap_masked-scaffold_00022-processed-gene-4.37-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.37&CDS=1-1155	YPL146C
OG0002626	maker-scaffold_00022-augustus-gene-4.17-mRNA-1_1&gene=maker-scaffold_00022-augustus-gene-4.17&CDS=1-3819	YOR217W
OG0002627	snap_masked-scaffold_00022-processed-gene-4.65-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.65&CDS=1-1476	YOR216C
OG0002628	snap_masked-scaffold_00022-processed-gene-4.68-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.68&CDS=1-1443	YJL091C
OG0002629	snap_masked-scaffold_00022-processed-gene-4.40-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.40&CDS=1-1425	YAL009W
OG0002630	augustus_masked-scaffold_00022-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-4.105&CDS=1-579	YPR107C
OG0002631	snap_masked-scaffold_00022-processed-gene-4.70-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.70&CDS=1-2541	YPR105C
OG0002632	snap_masked-scaffold_00022-processed-gene-4.71-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.71&CDS=1-1524	YNL239W
OG0002633	snap_masked-scaffold_00022-processed-gene-4.72-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.72&CDS=1-1290	YOL041C
OG0002634	snap_masked-scaffold_00022-processed-gene-4.42-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.42&CDS=1-1431	YAL013W
OG0002635	snap_masked-scaffold_00022-processed-gene-4.43-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.43&CDS=1-1521	YLR330W
OG0002636	snap_masked-scaffold_00022-processed-gene-4.73-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.73&CDS=1-375	YGR020C
OG0002637	snap_masked-scaffold_00022-processed-gene-4.45-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.45&CDS=1-813	YGR021W
OG0002638	maker-scaffold_00022-snap-gene-4.7-mRNA-1_1&gene=maker-scaffold_00022-snap-gene-4.7&CDS=1-1140	YPR011C
OG0002639	augustus_masked-scaffold_00022-processed-gene-4.109-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-4.109&CDS=1-2214	YPL128C
OG0002640	augustus_masked-scaffold_00022-processed-gene-4.138-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-4.138&CDS=1-993	YBL038W
OG0002641	augustus_masked-scaffold_00022-processed-gene-4.139-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-4.139&CDS=1-2991	YPR047W
OG0002642	augustus_masked-scaffold_00022-processed-gene-4.110-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-4.110&CDS=1-1722	YKR008W
OG0002643	augustus_masked-scaffold_00022-processed-gene-4.140-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-4.140&CDS=1-1488	YMR023C
OG0002644	snap_masked-scaffold_00022-processed-gene-4.51-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.51&CDS=1-1020	YOR311C
OG0002645	snap_masked-scaffold_00022-processed-gene-4.82-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.82&CDS=1-615	YOR289W
OG0002646	augustus_masked-scaffold_00022-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-5.76&CDS=1-564	YDR377W
OG0002647	snap_masked-scaffold_00022-processed-gene-5.9-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-5.9&CDS=1-1488	YDR376W
OG0002648	augustus_masked-scaffold_00022-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-5.78&CDS=1-264	YKL053C-A
OG0002649	snap_masked-scaffold_00022-processed-gene-5.11-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-5.11&CDS=1-1851	YML042W
OG0002650	snap_masked-scaffold_00022-processed-gene-5.36-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-5.36&CDS=1-3600	YPR049C
OG0002651	augustus_masked-scaffold_00022-processed-gene-5.61-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-5.61&CDS=1-1089	YBR095C
OG0002652	snap_masked-scaffold_00022-processed-gene-5.14-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-5.14&CDS=1-777	YBR088C
OG0002653	augustus_masked-scaffold_00022-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-5.81&CDS=1-582	YPR051W
OG0002654	snap_masked-scaffold_00022-processed-gene-5.15-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-5.15&CDS=1-1080	YKL060C
OG0002655	snap_masked-scaffold_00022-processed-gene-5.38-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-5.38&CDS=1-318	YHR005C-A
OG0002656	augustus_masked-scaffold_00022-processed-gene-5.64-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-5.64&CDS=1-3789	YBR094W
OG0002657	snap_masked-scaffold_00022-processed-gene-5.19-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-5.19&CDS=1-1239	YMR027W
OG0002658	snap_masked-scaffold_00022-processed-gene-5.39-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-5.39&CDS=1-360	YKL058W
OG0002659	snap_masked-scaffold_00022-processed-gene-5.20-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-5.20&CDS=1-1011	YMR028W
OG0002660	augustus_masked-scaffold_00022-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-5.68&CDS=1-1377	YKL059C
OG0002661	snap_masked-scaffold_00022-processed-gene-5.23-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-5.23&CDS=1-2847	YIL075C
OG0002662	snap_masked-scaffold_00022-processed-gene-5.24-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-5.24&CDS=1-1125	YDR346C
OG0002663	augustus_masked-scaffold_00022-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-5.87&CDS=1-7551	YCR011C
OG0002664	snap_masked-scaffold_00022-processed-gene-5.26-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-5.26&CDS=1-1332	YDR375C
OG0002665	snap_masked-scaffold_00022-processed-gene-6.46-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-6.46&CDS=1-2322	YLR223C
OG0002666	augustus_masked-scaffold_00022-processed-gene-6.1-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-6.1&CDS=1-4341	YDR217C
OG0002667	augustus_masked-scaffold_00022-processed-gene-6.5-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-6.5&CDS=1-1446	YLR142W
OG0002668	snap_masked-scaffold_00022-processed-gene-6.49-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-6.49&CDS=1-2163	YLR139C
OG0002669	maker-scaffold_00022-snap-gene-6.107-mRNA-1_1&gene=maker-scaffold_00022-snap-gene-6.107&CDS=1-3174	YLR222C
