	Candida_albicans	Saccharomyces_cerevisiae
OG0001731	C3_05190C_A	YOR197W
OG0001732	C7_01870W_A	YNL073W
OG0001733	C3_00470W_A	YIL039W
OG0001734	C1_12350W_A	YOL021C
OG0001735	C5_01510W_A	YLR147C
OG0001736	C1_04110W_A	YPR139C
OG0001737	C4_02270C_A	YOR198C
OG0001738	C7_01820C_A	YPL234C
OG0001739	C1_06700W_A	YDL117W
OG0001740	C1_07680W_A	YGL237C
OG0001741	CR_09140C_A	YML128C
OG0001742	C5_00780C_A	YNL254C
OG0001743	C2_07960C_A	YGL111W
OG0001744	C4_00860C_A	YOR104W
OG0001745	C1_08580C_A	YDL128W
OG0001746	C5_05080W_A	YDL106C
OG0001747	C2_00540W_A	YDR338C
OG0001748	CR_02690W_A	YNL148C
OG0001749	C2_04310W_A	YPL028W
OG0001750	C4_06210C_A	YER006W
OG0001751	C1_14490C_A	YHR083W
OG0001752	C1_04390C_A	YPL043W
OG0001753	C2_08060W_A	YJL127C-B
OG0001754	C4_07200C_A	YDR182W
OG0001755	C3_02000W_A	YNL250W
OG0001756	C2_02760W_A	YKL073W
OG0001757	C4_00060W_A	YER163C
OG0001758	C2_05030C_A	YIL118W
OG0001759	C2_09920W_A	YNL213C
OG0001760	C1_00550W_A	YLR299W
OG0001761	C5_01300C_A	YDR374C
OG0001762	C1_13630W_A	YML054C
OG0001763	C2_00290W_A	YGL018C
OG0001764	C1_10160W_A	YJR077C
OG0001765	C5_04900C_A	YGR173W
OG0001766	C1_10460W_A	YGR149W
OG0001767	C3_02430W_B&Allele&of&C3_02430W_A	YKL135C
OG0001768	CR_00990W_A	YIR022W
OG0001769	CR_10760C_A	YJL003W
OG0001770	C3_04800C_A	YHR150W
OG0001771	C5_02550C_A	YLR222C
OG0001772	CR_08430W_A	YLR386W
OG0001773	C1_09090C_B&Allele&of&C1_09090C_A	YML099C
OG0001774	C4_02600C_A	YPR018W
OG0001775	C4_04820C_A	YDL202W
OG0001776	C3_06070C_A	YJL128C
OG0001777	C3_07040C_A	YBR111C
OG0001778	CR_05440W_A	YJR025C
OG0001779	C2_09290W_A	YGR105W
OG0001780	C1_11280W_A	YDL209C
OG0001781	C6_04170C_A	YDR166C
OG0001782	C4_02820W_B&Allele&of&C4_02820W_A	YDL154W
OG0001783	C2_10200W_A	YOR103C
OG0001784	C6_00750C_A	YCR012W
OG0001785	C2_05100C_A	YBR143C
OG0001786	C3_07460W_A	YMR277W
OG0001787	C4_02020W_A	YML042W
OG0001788	C2_05380W_A	YLR407W
OG0001789	C2_08930W_A	YFR052W
OG0001790	C1_05560W_A	YOL143C
OG0001791	C5_01620C_A	YPL002C
OG0001792	C3_02460C_A	YNL316C
OG0001793	C5_02010C_A	YFL023W
OG0001794	C1_08660C_A	YDL043C
OG0001795	C7_01420W_A	YDR152W
OG0001796	CR_04280C_A	YBL020W
OG0001797	CR_08570W_A	YLR398C
OG0001798	C4_02320C_A	YJR104C
OG0001799	C3_03750C_A	YLL004W
OG0001800	C2_02360C_B&Allele&of&C2_02360C_A	YLR137W
OG0001801	C2_02940W_A	YKR069W
OG0001802	C6_00720C_A	YER141W
OG0001803	C4_02790C_A	YDL153C
OG0001804	C1_00640C_A	YFL036W
OG0001805	C2_09400C_A	YNL280C
OG0001806	C1_05830W_A	YER175C
OG0001807	CR_04160C_A	YNL062C
OG0001808	C2_06210C_A	YOR184W
OG0001809	C7_00060C_A	YER170W
OG0001810	C4_03230C_A, C7_02600C_A	
OG0001811	C3_07410C_A	YDR037W
OG0001812	C2_07490W_A	YOR176W
OG0001813	CR_02250C_A	YOR112W
OG0001814	C7_01330C_A	YDR283C
OG0001815	C5_03940C_B&Allele&of&C5_03940C_A	YJR124C
OG0001816	C4_06950W_A	YLR165C
OG0001817	C7_03020C_A	YNL191W
OG0001818	C6_03950C_A	YBR231C
OG0001819	C3_04520C_A	YOR128C
OG0001820	CR_08590W_A	YLR397C
OG0001821	C4_04370C_A	YNL054W
OG0001822	C5_04170W_A	YDR470C
OG0001823	C7_03000C_A	YJL096W
OG0001824	CR_02300C_A	YPL070W
OG0001825	C1_03500W_A	YFL038C
OG0001826	C4_05230C_A	YHR197W
OG0001827	C1_11450C_A	YDR502C
OG0001828	C6_02470W_A	YPL210C
OG0001829	C3_03030C_A	YHR132C
OG0001830	CR_03400W_A	YPL040C
OG0001831	C2_01150W_A	YMR026C
OG0001832	C2_02920W_A	YOR052C
OG0001833	C3_07500W_A	YML115C
OG0001834	C7_00140C_A	YGL242C
OG0001835	C2_00520W_A	YMR238W
OG0001836	C2_10340W_A	YOR278W
OG0001837	CR_08290W_A	YGL181W
OG0001838	C3_05140C_A	YOL124C
OG0001839	C1_03180W_A	YLR239C
OG0001840	C1_09840C_A	YIR011C
OG0001841	C3_04790W_A	YML068W
OG0001842	CR_04010C_A	YPL173W
OG0001843	C2_01400C_A	YHR154W
OG0001844	C1_03810C_A	YNL230C
OG0001845	C1_03060C_A	YLR435W
OG0001846	C4_02640C_A	YLR105C
OG0001847	C1_11960C_A	YPR170W-B
OG0001848	C4_01720C_A	YKL054C
OG0001849	C1_09140C_A	YER118C
OG0001850	C1_06890C_A	YER056C-A
OG0001851	CR_01120C_A	YDR167W
OG0001852	C1_04540C_A	YPL045W
OG0001853	C1_04120C_A	YIR005W
OG0001854	C2_06610C_B&Allele&of&C2_06610C_A	YCL074W
OG0001855	CR_05260C_A	YDR017C
OG0001856	C4_00800W_A	YDL105W
OG0001857	C1_12260W_A	YKL119C
OG0001858	CR_07360W_A	YML061C
OG0001859	CR_06720W_A	YHR170W
OG0001860	C1_13640W_A	YGL166W
OG0001861	C7_03990C_A	YGL232W
OG0001862	C5_02400W_A	YLR118C
OG0001863	C2_00600C_A	YKL040C
OG0001864	C4_03670W_A	YLL005C
OG0001865	C4_02420C_A	YDR302W
OG0001866	C3_02410C_A	YOL054W
OG0001867	C6_01150W_A	YGL116W
OG0001868	C4_01650C_A	YKL059C
OG0001869	C1_06760C_B&Allele&of&C1_06760C_A	YNL182C
OG0001870	C1_00660C_A	YLR026C
OG0001871	C5_04520W_A	YPR040W
OG0001872	C7_01580W_A	YLR383W
OG0001873	C2_00480C_A	YHL018W
OG0001874	C3_07000W_A	YNL330C
OG0001875	C2_03270W_A	YKL152C
OG0001876	C2_02500W_B&Allele&of&C2_02500W_A	YMR227C
OG0001877	C3_04140C_A	YHR193C
OG0001878	CR_06480C_A	YML043C
OG0001879	C7_04030C_A	YPL125W
OG0001880	CR_09010C_A	YHR112C
OG0001881	CR_05050W_A	YPR035W
OG0001882	C6_01210W_A	YPR063C
OG0001883	C4_00680W_A	YAL022C
OG0001884	C7_03490W_A	YDL234C
OG0001885	C2_05650W_A	YJL154C
OG0001886	C4_04550C_A	YKR087C
OG0001887	C1_08500C_A	YGR254W
OG0001888	C4_05150W_A	YEL013W
OG0001889	C1_09960W_A	YDR079W
OG0001890	C2_02010C_A	YDR371W
OG0001891	C6_02690C_B&Allele&of&C6_02690C_A	YPL184C
OG0001892	C1_00890W_A	YAL048C
OG0001893	C7_02780W_B&Allele&of&C7_02780W_A	YGL097W
OG0001894	C4_04570W_A	YMR274C
OG0001895	C1_11540C_A	YBL047C
OG0001896	CR_01950W_A	YOR340C
OG0001897	C2_09900C_A	YNR017W
OG0001898	CR_07710W_A	YGL148W
OG0001899	C1_01910W_A	YER156C
OG0001900	C1_07510W_A	YBL036C
OG0001901	C2_10570W_A	YMR190C
OG0001902	C5_01600C_A	YFL002C
OG0001903	C2_04530W_A	YBR193C
OG0001904	CR_00580W_A	YDR002W
OG0001905	C7_02790C_A	YDL102W
OG0001906	C6_04540C_A	YEL056W
OG0001907	C7_00120W_A	YIL065C
OG0001908	C3_05040C_A	YDL149W
OG0001909	CR_08150W_A	YHL015W
OG0001910	C1_09970C_A	YDR081C
OG0001911	C7_00400W_A	YCL018W
OG0001912	C4_01120C_A	YJR107W
OG0001913	CR_06040W_A	YCR008W
OG0001914	C2_08120W_A	YDR005C
OG0001915	C1_14160W_A	YBR030W
OG0001916	C3_03280C_A	YOL012C
OG0001917	C1_06480C_A	YNL044W
OG0001918	CR_01590C_A	YER090W
OG0001919	C3_06860C_A	YJR096W
OG0001920	C5_03840W_B&Allele&of&C5_03840W_A	YOR143C
OG0001921	C2_08000C_A	YER036C
OG0001922	CR_01150C_A	YMR078C
OG0001923	C3_02260C_A	YKL139W
OG0001924	CR_09240C_A	YPL225W
OG0001925	C6_02030C_A	YKL151C
OG0001926	C1_00090W_A	YER046W
OG0001927	CR_09860W_A	YER047C
OG0001928	C5_03760C_A	YOR160W
OG0001929	C5_01810W_A	YHL009C
OG0001930	CR_10820W_A	YGR074W
OG0001931	C6_02360W_A	YPL211W
OG0001932	C1_10030W_A	YGL078C
OG0001933	C1_00920W_A	YOR296W
OG0001934	C2_03920C_B&Allele&of&C2_03920C_A	YLL031C
OG0001935	C1_00620W_A	YFL034C-B
OG0001936	C6_03820C_A	YMR178W
OG0001937	CR_09890C_A	YPR176C
OG0001938	C1_11440C_A	YCL061C
OG0001939	CM_00030W	Q0250
OG0001940	C1_06090C_A	YMR216C
OG0001941	C3_00510W_A	YKR004C
OG0001942	C6_02180W_A	YOL129W
OG0001943	C6_03470W_A	YLR380W
OG0001944	C2_03540W_A	YDR419W
OG0001945	C1_09570W_A	YKL162C
OG0001946	C1_11800C_A	YJR058C
OG0001947	CR_01620C_A	YER091C
OG0001948	C2_08550C_A	YMR287C
OG0001949	C7_02680W_A	YNL131W
OG0001950	C5_00140C_A	YHR140W
OG0001951	C7_00210C_A	YGR099W
OG0001952	C1_00230C_A	YJR053W
OG0001953	C3_06970W_A	YPL243W
OG0001954	C4_04720W_A	YKR080W
OG0001955	C1_09460W_A	YMR208W
OG0001956	C4_02710C_A	YER174C
OG0001957	C3_06630W_A	YGL113W
OG0001958	C7_03650W_A	YFR025C
OG0001959	C1_09060C_A	YAL008W
OG0001960	C3_04230W_A	YNR011C
OG0001961	C1_00170W_A	YNL104C
OG0001962	C4_00820W_A	YMR166C
OG0001963	C5_02610C_A	YDR217C
OG0001964	C7_01940C_A	YJL108C
OG0001965	C2_05940C_A	YLR396C
OG0001966	CR_03110W_A	YOL033W
OG0001967	C2_06150C_A	YHR200W
OG0001968	C4_06580W_A	YJR060W
OG0001969	C7_02530C_A	YBL086C
OG0001970	C5_05000C_A	YGL144C
OG0001971	C3_07270C_A	YLL039C
OG0001972	C1_13600W_A	YBL029W
OG0001973	C2_01070W_A	YNL248C
OG0001974	C1_08990C_A	YNL238W
OG0001975	C3_06520C_A	YGL247W
OG0001976	C7_01220W_A	YKR026C
OG0001977	C1_02440C_A	YFL044C
OG0001978	C1_00060W_A	YCR084C
OG0001979	C5_01470C_A	YEL064C
OG0001980	C6_02380W_A	YGL064C
OG0001981	CR_01500W_A	YBL051C
OG0001982	C5_05400W_A	YPL259C
OG0001983	CR_08550W_A	YJL155C
OG0001984	C5_04810W_A	YGR240C
OG0001985	C5_02670W_A	YLR226W
OG0001986	CR_01750C_A	YFL005W
OG0001987	C4_02130W_A	YKL087C
OG0001988	C1_12170C_A	YCR095C
OG0001989	C2_04140W_A	YLR330W
OG0001990	C7_00460W_A	YCL002C
OG0001991	C5_00850C_A	YDR031W
OG0001992	C4_06190C_A	YIR002C
OG0001993	CR_07260C_A	YGL183C
OG0001994	C1_04070C_A	YJL031C
OG0001995	C6_01930W_A	YDL198C
OG0001996	C5_04740C_A	YJR006W
OG0001997	CR_05700C_A	YNL263C
OG0001998	C2_06730W_A	YGR086C
OG0001999	C7_00370W_A	YCL016C
OG0002000	C3_04110C_A	YDL056W
OG0002001	C3_07660W_A	YER162C
OG0002002	C5_04530W_A	YJR101W
OG0002003	C1_13660W_A	YGL163C
OG0002004	C4_05630W_A	YIL021W
OG0002005	C2_02840C_A	YML002W
OG0002006	C4_01790W_A	YPR049C
OG0002007	C7_02180C_A	YOR115C
OG0002008	C1_12310C_A	YOL077C
OG0002009	C3_02240C_A	YER020W
OG0002010	C5_03530C_A	YOL008W
OG0002011	C3_05160C_A	YDL031W
OG0002012	C5_00320W_A	YDR115W
OG0002013	C2_02720W_A	YDR395W
OG0002014	C4_06110C_A	YGL026C
OG0002015	C7_01230C_A	YNL011C
OG0002016	C2_06950C_A	YNR020C
OG0002017	C3_00420W_A	YKR079C
OG0002018	C2_04360W_A	YPL150W
OG0002019	C6_02630C_A	YML097C
OG0002020	CR_07080W_A	YPR016C
OG0002021	C3_06610W_A	YNL166C
OG0002022	C3_07480W_A	YLL036C
OG0002023	C1_08690W_A	YOL071W
OG0002024	C2_04170C_A	YPR010C-A
OG0002025	C2_10660W_A	YKL185W
OG0002026	C1_06940C_A	YPR026W
OG0002027	C3_02500W_A	YKR065C
OG0002028	C2_02290C_A	YMR156C
OG0002029	C4_07240W_A	YDR100W
OG0002030	C1_13900C_A	YDR062W
OG0002031	CR_06750C_A	YGR253C
OG0002032	CM_00140C	Q0130
OG0002033	C6_03320W_A	YHR029C
OG0002034	C2_03800C_A	YKL179C
OG0002035	C1_00120C_A	YDR007W
OG0002036	C1_00750C_A	YNR006W
OG0002037	C1_08160W_A	YLR321C
OG0002038	C4_02480C_B&Allele&of&C4_02480C_A	YGR181W
OG0002039	C1_02230W_A	YDL225W
OG0002040	CR_10810C_A	YDR411C
OG0002041	C2_01190C_A	YPL162C
OG0002042	C1_11810W_A	YMR284W
OG0002043	C3_06220C_A	YKL120W
OG0002044	C5_05390C_A	YOL030W
OG0002045	C5_01340W_A	YOR025W
OG0002046	C1_09400C_A	YBR207W
OG0002047	C4_02250C_A	YGR282C
OG0002048	C7_02090C_A	YGR057C
OG0002049	C1_02240W_A	YLR347C
OG0002050	C1_01820C_A	YPR025C
OG0002051	C4_01750C_A	YKL060C
OG0002052	C1_08140W_A	YLR316C
OG0002053	C2_07730W_A	YOR087W
OG0002054	C5_00210C_A	YDL074C
OG0002055	C4_01980C_A	YGR167W
OG0002056	CR_01970C_A	YOR332W
OG0002057	C6_02900C_A	YJL046W
OG0002058	C1_13720W_A	YPL263C
OG0002059	C3_05700W_A	YBL061C
OG0002060	C1_12840W_A	YOL086W-A
OG0002061	C6_00310W_A	YLR207W
OG0002062	C4_03120C_A	YGR188C
OG0002063	C4_00360C_A	YMR034C
OG0002064	C2_04810W_A	YOR202W
OG0002065	C3_00720W_A	YGL008C
OG0002066	C2_00280C_A	YLR323C
OG0002067	C2_02960C_A	YBR271W
OG0002068	C1_04380W_A	YDL047W
OG0002069	C1_03360W_A	YER164W
OG0002070	C2_01820C_A	YGR013W
OG0002071	C2_07140W_A	YNL010W
OG0002072	C3_03330C_A	YLR117C
OG0002073	C1_00650C_A	YLR025W
OG0002074	C7_04270C_A	YOR075W
OG0002075	C2_03990W_A	YLR291C
OG0002076	C4_03550W_A	YGR258C
OG0002077	C3_06890W_A	YAL023C
OG0002078	C6_02310W_A	YGL066W
OG0002079	C3_06710W_A	YBR235W
OG0002080	CR_10610C_A	YDL008W
OG0002081	C1_01880C_A	YFR029W
OG0002082	C3_04370C_A	YJR041C
OG0002083	CR_03930C_A	YHR036W
OG0002084	C1_10760W_A	YCL008C
OG0002085	C7_03480W_A	YBL060W
OG0002086	C6_03940C_A	YBR233W
OG0002087	C1_03490W_A	YJR116W
OG0002088	CR_00360C_A	YGL009C
OG0002089	C2_06120C_A	YJR141W
OG0002090	CR_08130W_A	YLR393W
OG0002091	C7_04140C_A	YPL239W
OG0002092	C1_10670C_A	YOR341W
OG0002093	CM_00210W	Q0045
OG0002094	C1_10950C_A	YOR119C
OG0002095	C4_06150C_A	YGL033W
OG0002096	CR_06830C_A	YNL032W
OG0002097	C6_00650C_A	YDR064W
OG0002098	C3_05770C_A	YNL026W
OG0002099	C1_11630C_A	YCL027W
OG0002100	C2_05510C_A	YBR195C
OG0002101	C1_02640C_A	YGR082W
OG0002102	C4_03590C_B&Allele&of&C4_03590C_A	YHR073W
OG0002103	C1_11750W_A	YNL101W
OG0002104	C3_06510C_A	YKL209C
OG0002105	C6_03840C_A	YNR070W
OG0002106	C4_06060W_A	YLL040C
OG0002107	C2_03470C_A	YHR051W
OG0002108	C1_05400C_A	YOL114C
OG0002109	C2_05110W_A	YNL323W
OG0002110	C3_01630W_A	YDL185W
OG0002111	C2_01580W_A	YLR059C
OG0002112	C2_02770W_A	YKL074C
OG0002113	C1_01030W_A	YBR034C
OG0002114	CR_10700W_A	YOL094C
OG0002115	C1_08000W_A	YDL167C
OG0002116	C2_08940C_A	YPL065W
OG0002117	C6_03080C_A	YJR105W
OG0002118	C4_05370W_A	YLL013C
OG0002119	C3_00100W_A	YKL095W
OG0002120	C2_05840W_A	YIL103W
OG0002121	C4_04090C_A	YAL058W
OG0002122	CR_06850C_A	YNL024C-A
OG0002123	C2_07330W_A	YKL203C
OG0002124	C5_04580C_A	YJR102C
OG0002125	CR_09900C_A	YPR175W
OG0002126	C2_04380C_A	YOR241W
OG0002127	C3_04250W_A	YOR008C
OG0002128	C1_14470W_A	YFR005C
OG0002129	C4_05660C_B&Allele&of&C4_05660C_A	YBL097W
OG0002130	C4_03200C_A	YHR067W
OG0002131	C5_01690C_A	YJL111W
OG0002132	C2_00340C_A	YGL202W
OG0002133	C7_02340C_A	YDR165W
OG0002134	C6_02340W_A	YPL204W
OG0002135	CR_04480C_A	YNL239W
OG0002136	C6_01220C_A	YBR103W
OG0002137	C3_07360W_A	YDL174C
OG0002138	C1_05470W_A	YGR257C
OG0002139	C2_03030W_A	YOR005C
OG0002140	C3_05960W_A	YOR058C
OG0002141	CR_09600C_A	YLR200W
OG0002142	C4_06350C_A	YAR002W
OG0002143	C4_00460C_A	YOR191W
OG0002144	C2_01350C_A	YJL036W
OG0002145	C1_11550W_A	YHR089C
OG0002146	C4_05330C_A	YKL021C
OG0002147	C2_10060C_A	YGR277C
OG0002148	C4_02060C_A	YGR186W
OG0002149	C4_03430W_A	YBL049W
OG0002150	C1_12620W_A	YLL021W
OG0002151	C3_03690W_A	YDR352W
OG0002152	CR_03180W_A	YGR163W
OG0002153	CR_07320C_A	YLR439W
OG0002154	C4_03270W_A	YHR088W
OG0002155	C2_00390C_A	YGL184C
OG0002156	C2_08920W_A	YMR068W
OG0002157	C3_00350W_A	YOL102C
OG0002158	CR_02610C_A	YGR119C
OG0002159	C3_04460W_A	YBL104C
OG0002160	C4_06400C_A	YEL051W
OG0002161	C3_07490W_A	YMR278W
OG0002162	C6_04570W_A	YOR165W
OG0002163	C2_02300W_B&Allele&of&C2_02300W_A	YDL098C
OG0002164	C1_06650W_A	YPR131C
OG0002165	C1_13280C_A	YHR026W
OG0002166	C4_03440C_A	YNL186W
OG0002167	C2_07450C_A	YOL010W
OG0002168	C5_03350W_A	YPR191W
OG0002169	C1_13860C_A	YHR183W
OG0002170	C6_04530C_A	YPL183C
OG0002171	C7_01030C_A	YPL012W
OG0002172	C2_04510W_A	YBR192W
OG0002173	C4_00200C_A	YLR303W
OG0002174	C4_02980W_A	YGR185C
OG0002175	C4_01130C_A	YML041C
OG0002176	C1_13790C_A	YAL044W-A
OG0002177	C5_00030W_A	YDR116C
OG0002178	C5_05330C_A	YBR002C
OG0002179	C1_13580W_A	YBR080C
OG0002180	C4_03020W_A	YOR211C
OG0002181	C5_05250C_A	YJR113C
OG0002182	C3_01860C_A	YOR046C
OG0002183	C7_03250C_B&Allele&of&C7_03250C_A	YCL043C
OG0002184	C5_01870W_B&Allele&of&C5_01870W_A	YDL040C
OG0002185	C1_06810W_A	YDR256C
OG0002186	C1_04610W_A	YBL099W
OG0002187	C2_00820W_A	YMR023C
OG0002188	C3_06720W_A	YBR237W
OG0002189	C7_03840W_A	YNL288W
OG0002190	CR_10710C_A	YDR484W
OG0002191	C2_07680W_A	YDR237W
OG0002192	C4_06090C_A	YBL014C
OG0002193	C2_04580W_A	YJL167W
OG0002194	CR_07400C_A	YFL018C
OG0002195	CR_03520C_A	YMR092C
OG0002196	C3_06550C_A	YOR352W
OG0002197	C1_07000W_A	YJL102W
OG0002198	C3_03400C_A	YMR197C
OG0002199	C1_07270W_A	YER157W
OG0002200	C3_06200C_A	YEL019C
OG0002201	C1_04570C_A	YDR254W
OG0002202	C2_09060C_A	YGR124W
OG0002203	C7_01290W_A	YMR112C
OG0002204	C4_06890W_A	YPR201W
OG0002205	CR_04570C_A	YCR002C
OG0002206	C1_03400W_A	YGR068C
OG0002207	CR_04730W_A	YJR085C
OG0002208	C2_03010C_A	YJL026W
OG0002209	C6_04520W_A	YBL076C
OG0002210	C3_07290W_A	YHL029C
OG0002211	C3_01480C_A	YOR095C
OG0002212	C1_13920W_A	YDR068W
OG0002213	C3_05410W_A	YOL060C
OG0002214	C3_03410C_A	YMR196W
OG0002215	CR_07330W_A	YLR438C-A
OG0002216	CR_08470W_A	YNL080C
OG0002217	C4_02460W_A	YBL040C
OG0002218	C1_00610W_A	YNL169C
OG0002219	CR_04070W_A	YOR253W
OG0002220	C1_02620C_A	YJR139C
OG0002221	C1_04630C_A	YIL048W
OG0002222	C2_02540W_A	YMR229C
OG0002223	CR_03820C_A	YPL020C
OG0002224	C3_06910C_A	YAL016W
OG0002225	C5_00230C_A	YBR228W
OG0002226	C5_01960C_A	YOR356W
OG0002227	CR_01080W_A	YJL207C
OG0002228	C4_03940C_A	YBR218C
OG0002229	CR_03420C_A	YER068W
OG0002230	C2_02450C_A	YGR090W
OG0002231	C2_02420C_A	YLR401C
OG0002232	C1_10750C_A	YCL005W-A
OG0002233	C1_00900W_A	YOR294W
OG0002234	C7_00950W_A	YML025C
OG0002235	C4_04450C_A	YGL180W
OG0002236	C4_03680C_A	YDR314C
OG0002237	C1_00350C_A	YLR205C
OG0002238	C1_01900C_A	YDR117C
OG0002239	C2_05900W_A	YLR394W
OG0002240	CR_08540C_A	YJL156C
OG0002241	CR_09480W_A	YPR178W
OG0002242	CR_04000W_A	YOR259C
OG0002243	C1_08290C_A	YLR129W
OG0002244	C3_01810C_A	YOR099W
OG0002245	C1_12240C_B&Allele&of&C1_12240C_A	YNL040W
OG0002246	C4_04340C_A	YDL120W
OG0002247	CR_06610W_B&Allele&of&CR_06610W_A	YFL026W
OG0002248	C3_06500W_A	YKL210W
OG0002249	C3_05870C_A	YDL122W
OG0002250	CR_10430C_A	YOR148C
OG0002251	C1_06590C_A	YPR133C
OG0002252	C1_07840W_A	YFR047C
OG0002253	C4_00580W_A	YGR203W
OG0002254	C1_09830W_A	YPR189W
OG0002255	C4_05570C_A	YLR212C
OG0002256	C2_03340W_A	YDR137W
OG0002257	C4_06470W_B&Allele&of&C4_06470W_A	YMR295C
OG0002258	CR_01930C_A	YGR286C
OG0002259	C2_09500W_A	YML080W
OG0002260	C2_04770W_A	YAL011W
OG0002261	C6_03340C_A	YEL011W
OG0002262	C6_03290W_A	YPL181W
OG0002263	C1_05980W_A	YJL100W
OG0002264	C2_08380C_A	YJL090C
OG0002265	CR_05130C_A	YFR041C
OG0002266	C4_00300C_A	YPL016W
OG0002267	C4_01300W_A	YHR004C
OG0002268	C2_08010W_A	YFL007W
OG0002269	C1_13950C_A	YBR217W
OG0002270	C5_04340W_A	YOR288C
OG0002271	C2_02970C_A	YER073W
OG0002272	C7_04130C_A	YPL237W
OG0002273	C7_00340C_A	YGL241W
OG0002274	C4_02340W_A	YNL015W
OG0002275	CR_10270C_A	YDR214W
OG0002276	C1_10960W_A	YDR367W
OG0002277	C1_13030C_A	YNL247W
OG0002278	C7_00610C_A	YFR048W
OG0002279	CR_07380C_A	YBR265W
OG0002280	C2_06220C_A	YLR288C
OG0002281	C3_03480C_A	YLR089C
OG0002282	C5_02000C_A	YBL015W
OG0002283	C1_04480C_A	YLR425W
OG0002284	C2_10530C_A	YAR018C
OG0002285	CR_03950W_A	YHR038W
OG0002286	C3_01980C_A	YOR045W
OG0002287	CR_07920W_A	YLR352W
OG0002288	C1_05640C_A	YDR021W
OG0002289	C5_00500W_A	YMR080C
OG0002290	CR_10630W_A	YHR034C
OG0002291	CR_06680C_A	YER176W
OG0002292	CR_07910C_A	YJR035W
OG0002293	C1_13270W_A	YCL047C
OG0002294	CR_04510W_A	YGL253W
OG0002295	C6_02520W_A	YLL027W
OG0002296	C1_10480W_A	YIR004W
OG0002297	C2_09640W_A	YER003C
OG0002298	C6_03760C_A	YLR058C
OG0002299	C3_00160C_A	YKL047W
OG0002300	C5_00260W_A	YKL181W
OG0002301	C6_00190W_A	YNL206C
OG0002302	C1_09630W_A	YNL037C
OG0002303	C2_00510W_A	YMR130W
OG0002304	C6_03210C_A	YNR003C
OG0002305	C2_05190W_A	YOR074C
OG0002306	CR_02680W_A	YIL144W
OG0002307	CR_10360C_A	YHR109W
OG0002308	C2_03900C_A	YFL013C
OG0002309	C2_10810W_A	YBR065C
OG0002310	C1_07590C_B&Allele&of&C1_07590C_A	YBL037W
OG0002311	C1_01700W_B&Allele&of&C1_01700W_A	YOR141C
OG0002312	C2_03390C_A	YDR258C
OG0002313	C2_05170W_A	YBL095W
OG0002314	C3_00340W_A	YDR493W
OG0002315	CR_09320C_A	YBR106W
OG0002316	C2_10610W_A	YPL249C
OG0002317	C5_05360C_A	YIR007W
OG0002318	C3_07220C_A	YOR323C
OG0002319	CR_01710W_A	YMR269W
OG0002320	C5_03830C_B&Allele&of&C5_03830C_A	YMR236W
OG0002321	CR_10100C_A	YJL153C
OG0002322	C2_02380W_A	YML069W
OG0002323	C6_01870C_A	YHR048W
OG0002324	C3_07260C_A	YHL030W
OG0002325	CR_06170W_A	YGR026W
OG0002326	CR_03970C_A	YLR268W
OG0002327	C1_04420C_A	YKL024C
OG0002328	C2_05540C_A	YIL061C
OG0002329	CR_09490W_A	YPR179C
OG0002330	C2_00440W_A	YMR127C
OG0002331	CR_06520C_A	YLR262C
OG0002332	CR_01350C_A	YBL050W
OG0002333	C1_11880W_A	YPR100W
OG0002334	C4_05140C_A	YPR184W
OG0002335	C3_06590W_A	YNR050C
OG0002336	C6_04060W_A	YMR247C
OG0002337	C1_08390C_A	YPL247C
OG0002338	CR_07060C_A	YNL027W
OG0002339	CR_03550W_A	YNL119W
OG0002340	C2_09480W_A	YIL139C
OG0002341	C3_02150C_A	YML008C
OG0002342	C1_02660C_A	YJR144W
OG0002343	C5_01110W_A	YHL013C
OG0002344	C6_03300C_A	YGL095C
OG0002345	C5_02470W_B&Allele&of&C5_02470W_A	YJR092W
OG0002346	C6_02920C_A	YKR020W
OG0002347	C2_02700C_A	YMR289W
OG0002348	C3_00540C_A	YNL265C
OG0002349	C7_00990W_A	YLR340W
OG0002350	CR_05620C_A	YHR168W
OG0002351	C1_05610W_A	YBL080C
OG0002352	C3_04610W_A	YOR129C
OG0002353	C4_00160C_A	YLR438W
OG0002354	C1_04580C_A	YEL072W
OG0002355	C1_02310C_A	YJL184W
OG0002356	C1_08620W_A	YHR175W
OG0002357	C1_08800W_A	YOR154W
OG0002358	C1_11590W_A	YKR031C
OG0002359	CR_02000C_A	YDR232W
OG0002360	CR_06070W_A	YBR159W
OG0002361	CR_07890W_B&Allele&of&CR_07890W_A	YKL043W
OG0002362	C1_13300C_B&Allele&of&C1_13300C_A	YHR027C
OG0002363	C6_00620W_A	YPR062W
OG0002364	C1_13680C_A	YAL044C
OG0002365	CR_06420W_A	YML016C
OG0002366	C1_10660W_A	YER148W
OG0002367	CR_06780W_A	YIL084C
OG0002368	CR_00460C_A	YHR148W
OG0002369	C7_01040C_A	YIL001W
OG0002370	CR_02190C_A	YBL066C
OG0002371	C2_07310W_A	YJR064W
OG0002372	C2_01240C_B&Allele&of&C2_01240C_A	YPL008W
OG0002373	C5_04070C_A	YBR135W
OG0002374	C1_02430C_B&Allele&of&C1_02430C_A	YGR054W
OG0002375	CR_02540W_A	YGR157W
