	Lachancea_waltii	Saccharomyces_cerevisiae
OG0002919	snap_masked-AADM01000250.1-processed-gene-0.64-mRNA-1_1&gene=snap_masked-AADM01000250.1-processed-gene-0.64&CDS=1-588	YPR131C
OG0002920	snap_masked-AADM01000250.1-processed-gene-0.65-mRNA-1_1&gene=snap_masked-AADM01000250.1-processed-gene-0.65&CDS=1-1341	YGR117C
OG0002921	snap_masked-AADM01000250.1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-AADM01000250.1-processed-gene-0.66&CDS=1-1107	YPR133C
OG0002922	snap_masked-AADM01000250.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-AADM01000250.1-processed-gene-0.57&CDS=1-840	YPR134W
OG0002923	snap_masked-AADM01000250.1-processed-gene-0.67-mRNA-1_1&gene=snap_masked-AADM01000250.1-processed-gene-0.67&CDS=1-1668	YGR119C
OG0002924	snap_masked-AADM01000250.1-processed-gene-0.68-mRNA-1_1&gene=snap_masked-AADM01000250.1-processed-gene-0.68&CDS=1-750	YGR120C
OG0002925	snap_masked-AADM01000250.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-AADM01000250.1-processed-gene-0.58&CDS=1-2688	YPR135W
OG0002926	snap_masked-AADM01000250.1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-AADM01000250.1-processed-gene-0.59&CDS=1-1710	YPR137W
OG0002927	snap_masked-AADM01000250.1-processed-gene-0.69-mRNA-1_1&gene=snap_masked-AADM01000250.1-processed-gene-0.69&CDS=1-1362	YPR138C
OG0002928	snap_masked-AADM01000250.1-processed-gene-0.60-mRNA-1_1&gene=snap_masked-AADM01000250.1-processed-gene-0.60&CDS=1-1158	YGR122W
OG0002929	snap_masked-AADM01000250.1-processed-gene-0.70-mRNA-1_1&gene=snap_masked-AADM01000250.1-processed-gene-0.70&CDS=1-933	YPR139C
OG0002930	snap_masked-AADM01000250.1-processed-gene-0.61-mRNA-1_1&gene=snap_masked-AADM01000250.1-processed-gene-0.61&CDS=1-1194	YPR140W
OG0002931	augustus_masked-AADM01000251.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-AADM01000251.1-processed-gene-0.2&CDS=1-1737	YPR141C
OG0002932	snap_masked-AADM01000252.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-AADM01000252.1-processed-gene-0.0&CDS=1-732	YPR143W
OG0002933	snap_masked-AADM01000252.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-AADM01000252.1-processed-gene-0.3&CDS=1-1533	YGR123C
OG0002934	snap_masked-AADM01000252.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-AADM01000252.1-processed-gene-0.4&CDS=1-1599	YPR144C
OG0002935	snap_masked-AADM01000252.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000252.1-processed-gene-0.1&CDS=1-1719	YPR145W
OG0002936	snap_masked-AADM01000252.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-AADM01000252.1-processed-gene-0.2&CDS=1-3033	YGR125W
OG0002937	snap_masked-AADM01000253.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-AADM01000253.1-processed-gene-0.0&CDS=1-579	YGR126W
OG0002938	augustus_masked-AADM01000253.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-AADM01000253.1-processed-gene-0.4&CDS=1-909	YGR127W
OG0002939	snap_masked-AADM01000253.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000253.1-processed-gene-0.1&CDS=1-906	YPR147C
OG0002940	genemark-AADM01000253.1-processed-gene-0.9-mRNA-1_1&gene=genemark-AADM01000253.1-processed-gene-0.9&CDS=1-1245	YGR128C
OG0002941	snap_masked-AADM01000254.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.37&CDS=1-1128	YPR148C
OG0002942	augustus_masked-AADM01000254.1-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-AADM01000254.1-processed-gene-0.168&CDS=1-2361	YGR130C
OG0002943	snap_masked-AADM01000254.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.39&CDS=1-849	YGR132C
OG0002944	snap_masked-AADM01000254.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.40&CDS=1-666	YPR151C
OG0002945	snap_masked-AADM01000254.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.8&CDS=1-2325	YOR141C
OG0002946	snap_masked-AADM01000254.1-processed-gene-0.41-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.41&CDS=1-2559	YOR140W
OG0002947	augustus_masked-AADM01000254.1-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-AADM01000254.1-processed-gene-0.139&CDS=1-1812	YOR138C
OG0002948	augustus_masked-AADM01000254.1-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-AADM01000254.1-processed-gene-0.140&CDS=1-1704	YOR137C
OG0002949	snap_masked-AADM01000254.1-processed-gene-0.42-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.42&CDS=1-1104	YOR136W
OG0002950	snap_masked-AADM01000254.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.11&CDS=1-1800	YDR390C
OG0002951	snap_masked-AADM01000254.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.43&CDS=1-1761	YDR389W
OG0002952	snap_masked-AADM01000254.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.44&CDS=1-1383	YDR388W
OG0002953	snap_masked-AADM01000254.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.12&CDS=1-1611	YDR387C
OG0002954	snap_masked-AADM01000254.1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.47&CDS=1-1560	YOR132W
OG0002955	augustus_masked-AADM01000254.1-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-AADM01000254.1-processed-gene-0.143&CDS=1-681	YOR131C
OG0002956	augustus_masked-AADM01000254.1-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-AADM01000254.1-processed-gene-0.145&CDS=1-714	YDR383C
OG0002957	snap_masked-AADM01000254.1-processed-gene-0.48-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.48&CDS=1-330	YDR382W
OG0002958	snap_masked-AADM01000254.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.16&CDS=1-834	YOR130C
OG0002959	snap_masked-AADM01000254.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.17&CDS=1-312	YDR381C-A
OG0002960	maker-AADM01000254.1-augustus-gene-0.129-mRNA-1_1&gene=maker-AADM01000254.1-augustus-gene-0.129&CDS=1-684	YDR381W
OG0002961	augustus_masked-AADM01000254.1-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-AADM01000254.1-processed-gene-0.149&CDS=1-2661	YOR129C
OG0002962	snap_masked-AADM01000254.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.19&CDS=1-1725	YOR128C
OG0002963	snap_masked-AADM01000254.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.52&CDS=1-2832	YOR127W
OG0002964	snap_masked-AADM01000254.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.20&CDS=1-246	YDR378C
OG0002965	maker-AADM01000254.1-snap-gene-0.3-mRNA-1_1&gene=maker-AADM01000254.1-snap-gene-0.3&CDS=1-303	YDR377W
OG0002966	snap_masked-AADM01000254.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.54&CDS=1-1470	YDR376W
OG0002967	snap_masked-AADM01000254.1-processed-gene-0.55-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.55&CDS=1-225	YDR374W-A
OG0002968	snap_masked-AADM01000254.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.23&CDS=1-756	YDR374C
OG0002969	snap_masked-AADM01000254.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.24&CDS=1-690	YOR125C
OG0002970	snap_masked-AADM01000254.1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.56&CDS=1-570	YDR373W
OG0002971	snap_masked-AADM01000254.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.25&CDS=1-3699	YOR124C
OG0002972	snap_masked-AADM01000254.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.57&CDS=1-1548	YDR371W
OG0002973	augustus_masked-AADM01000254.1-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-AADM01000254.1-processed-gene-0.157&CDS=1-1269	YOR123C
OG0002974	maker-AADM01000254.1-snap-gene-0.1-mRNA-1_1&gene=maker-AADM01000254.1-snap-gene-0.1&CDS=1-378	YOR122C
OG0002975	augustus_masked-AADM01000254.1-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-AADM01000254.1-processed-gene-0.159&CDS=1-1167	YDR370C
OG0002976	snap_masked-AADM01000254.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.32&CDS=1-1428	YOR119C
OG0002977	snap_masked-AADM01000254.1-processed-gene-0.61-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.61&CDS=1-1662	YOR118W
OG0002978	snap_masked-AADM01000254.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.33&CDS=1-1932	YDR365C
OG0002979	snap_masked-AADM01000254.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.34&CDS=1-1392	YDR364C
OG0002980	maker-AADM01000254.1-augustus-gene-0.132-mRNA-1_1&gene=maker-AADM01000254.1-augustus-gene-0.132&CDS=1-1524	YOR117W
OG0002981	snap_masked-AADM01000254.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.35&CDS=1-4353	YOR116C
OG0002982	snap_masked-AADM01000254.1-processed-gene-0.64-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.64&CDS=1-1395	YDR363W
OG0002983	snap_masked-AADM01000254.1-processed-gene-0.65-mRNA-1_1&gene=snap_masked-AADM01000254.1-processed-gene-0.65&CDS=1-690	YHR113W
OG0002984	snap_masked-AADM01000255.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-AADM01000255.1-processed-gene-0.9&CDS=1-2025	YDR362C
OG0002985	snap_masked-AADM01000255.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-AADM01000255.1-processed-gene-0.14&CDS=1-1308	YHR111W
OG0002986	snap_masked-AADM01000255.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-AADM01000255.1-processed-gene-0.15&CDS=1-1746	YHR109W
OG0002987	snap_masked-AADM01000255.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000255.1-processed-gene-0.10&CDS=1-798	YDR361C
OG0002988	snap_masked-AADM01000255.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-AADM01000255.1-processed-gene-0.11&CDS=1-2823	YDR359C
OG0002989	snap_masked-AADM01000255.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-AADM01000255.1-processed-gene-0.16&CDS=1-1725	YHR108W
OG0002990	snap_masked-AADM01000255.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-AADM01000255.1-processed-gene-0.12&CDS=1-390	YDR357C
OG0002991	genemark-AADM01000255.1-processed-gene-0.8-mRNA-1_1&gene=genemark-AADM01000255.1-processed-gene-0.8&CDS=1-1977	YDR356W
OG0002992	snap_masked-AADM01000256.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.17&CDS=1-1092	YDR354W
OG0002993	snap_masked-AADM01000256.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.1&CDS=1-1155	YHR107C
OG0002994	snap_masked-AADM01000256.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.18&CDS=1-957	YDR353W
OG0002995	snap_masked-AADM01000256.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.19&CDS=1-477	YHR105W
OG0002996	snap_masked-AADM01000256.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.20&CDS=1-987	YHR104W
OG0002997	snap_masked-AADM01000256.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.21&CDS=1-882	YDR352W
OG0002998	snap_masked-AADM01000256.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.23&CDS=1-2595	YHR102W
OG0002999	augustus_masked-AADM01000256.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-AADM01000256.1-processed-gene-0.71&CDS=1-2847	YDR350C
OG0003000	snap_masked-AADM01000256.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.4&CDS=1-813	YOR036W
OG0003001	snap_masked-AADM01000256.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.24&CDS=1-993	YDR267C
OG0003002	snap_masked-AADM01000256.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.5&CDS=1-1047	YOR037W
OG0003003	snap_masked-AADM01000256.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.6&CDS=1-1116	YDR268W
OG0003004	snap_masked-AADM01000256.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.25&CDS=1-2547	YOR038C
OG0003005	snap_masked-AADM01000256.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.7&CDS=1-723	YOR039W
OG0003006	snap_masked-AADM01000256.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.8&CDS=1-2967	YDR270W
OG0003007	augustus_masked-AADM01000256.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-AADM01000256.1-processed-gene-0.77&CDS=1-852	YOR040W
OG0003008	snap_masked-AADM01000256.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.10&CDS=1-1392	YOR042W
OG0003009	snap_masked-AADM01000256.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.11&CDS=1-1326	YOR043W
OG0003010	genemark-AADM01000256.1-processed-gene-0.48-mRNA-1_1&gene=genemark-AADM01000256.1-processed-gene-0.48&CDS=1-648	YOR045W
OG0003011	genemark-AADM01000256.1-processed-gene-0.63-mRNA-1_1&gene=genemark-AADM01000256.1-processed-gene-0.63&CDS=1-2502	YOR046C
OG0003012	snap_masked-AADM01000256.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.30&CDS=1-2922	YOR048C
OG0003013	snap_masked-AADM01000256.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.31&CDS=1-1050	YOR049C
OG0003014	snap_masked-AADM01000256.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.13&CDS=1-2064	YKR067W
OG0003015	snap_masked-AADM01000256.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.32&CDS=1-606	YKR068C
OG0003016	snap_masked-AADM01000256.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.33&CDS=1-1245	YOR051C
OG0003017	snap_masked-AADM01000256.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.14&CDS=1-1791	YKR069W
OG0003018	snap_masked-AADM01000256.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.15&CDS=1-1086	YKR070W
OG0003019	snap_masked-AADM01000256.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.34&CDS=1-342	YOR052C
OG0003020	snap_masked-AADM01000256.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-AADM01000256.1-processed-gene-0.35&CDS=1-1035	YKR071C
OG0003021	augustus_masked-AADM01000257.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-AADM01000257.1-processed-gene-0.1&CDS=1-1848	YOR054C
OG0003022	augustus_masked-AADM01000258.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-AADM01000258.1-processed-gene-0.104&CDS=1-831	YOR056C
OG0003023	snap_masked-AADM01000258.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.1&CDS=1-1161	YOR057W
OG0003024	snap_masked-AADM01000258.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.23&CDS=1-2766	YOR058C
OG0003025	augustus_masked-AADM01000258.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-AADM01000258.1-processed-gene-0.85&CDS=1-441	YKR074W
OG0003026	maker-AADM01000258.1-augustus-gene-0.41-mRNA-1_1&gene=maker-AADM01000258.1-augustus-gene-0.41&CDS=1-2070	YOR059C
OG0003027	snap_masked-AADM01000258.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.3&CDS=1-1020	YOR061W
OG0003028	snap_masked-AADM01000258.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.4&CDS=1-1164	YOR063W
OG0003029	augustus_masked-AADM01000258.1-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-AADM01000258.1-processed-gene-0.108&CDS=1-579	YOR064C
OG0003030	snap_masked-AADM01000258.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.5&CDS=1-885	YOR065W
OG0003031	snap_masked-AADM01000258.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.7&CDS=1-1365	YOR066W
OG0003032	snap_masked-AADM01000258.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.27&CDS=1-1665	YOR067C
OG0003033	snap_masked-AADM01000258.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.8&CDS=1-1887	YOR069W
OG0003034	genemark-AADM01000258.1-processed-gene-0.72-mRNA-1_1&gene=genemark-AADM01000258.1-processed-gene-0.72&CDS=1-4245	YKR079C
OG0003035	snap_masked-AADM01000258.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.9&CDS=1-960	YKR080W
OG0003036	snap_masked-AADM01000258.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.30&CDS=1-1035	YKR081C
OG0003037	snap_masked-AADM01000258.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.10&CDS=1-3399	YKR082W
OG0003038	snap_masked-AADM01000258.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.31&CDS=1-357	YKR083C
OG0003039	snap_masked-AADM01000258.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.11&CDS=1-1830	YOR073W
OG0003040	snap_masked-AADM01000258.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.32&CDS=1-930	YOR074C
OG0003041	snap_masked-AADM01000258.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.12&CDS=1-981	YOR075W
OG0003042	maker-AADM01000258.1-augustus-gene-0.43-mRNA-1_1&gene=maker-AADM01000258.1-augustus-gene-0.43&CDS=1-2520	YKR084C
OG0003043	snap_masked-AADM01000258.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.35&CDS=1-600	YKR085C
OG0003044	snap_masked-AADM01000258.1-processed-gene-0.36-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.36&CDS=1-945	YKR087C
OG0003045	snap_masked-AADM01000258.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.15&CDS=1-732	YOR077W
OG0003046	snap_masked-AADM01000258.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.37&CDS=1-927	YKR088C
OG0003047	snap_masked-AADM01000258.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.18&CDS=1-678	YOR078W
OG0003048	snap_masked-AADM01000258.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.38&CDS=1-957	YOR079C
OG0003049	snap_masked-AADM01000258.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.19&CDS=1-2070	YOR080W
OG0003050	snap_masked-AADM01000258.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.39&CDS=1-2538	YKR089C
OG0003051	snap_masked-AADM01000258.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.20&CDS=1-1497	YER021W
OG0003052	snap_masked-AADM01000258.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.21&CDS=1-1911	YER022W
OG0003053	snap_masked-AADM01000258.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-AADM01000258.1-processed-gene-0.40&CDS=1-444	YJR118C
OG0003054	snap_masked-AADM01000259.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-AADM01000259.1-processed-gene-0.0&CDS=1-1731	YJR119C
OG0003055	snap_masked-AADM01000260.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-AADM01000260.1-processed-gene-0.0&CDS=1-843	YER023W
OG0003056	snap_masked-AADM01000260.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000260.1-processed-gene-0.1&CDS=1-1527	YJR121W
OG0003057	augustus_masked-AADM01000260.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-AADM01000260.1-processed-gene-0.6&CDS=1-1428	YJR122W
OG0003058	augustus_masked-AADM01000261.1-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-AADM01000261.1-processed-gene-0.146&CDS=1-630	YJR123W
OG0003059	snap_masked-AADM01000261.1-processed-gene-0.42-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.42&CDS=1-1308	YJR124C
OG0003060	snap_masked-AADM01000261.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.6&CDS=1-2646	YLR451W
OG0003061	snap_masked-AADM01000261.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.7&CDS=1-1554	YER025W
OG0003062	snap_masked-AADM01000261.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.43&CDS=1-2073	YLR452C
OG0003063	augustus_masked-AADM01000261.1-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-AADM01000261.1-processed-gene-0.181&CDS=1-3306	YPR161C
OG0003064	snap_masked-AADM01000261.1-processed-gene-0.46-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.46&CDS=1-1263	YPR163C
OG0003065	augustus_masked-AADM01000261.1-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-AADM01000261.1-processed-gene-0.149&CDS=1-11454	YLR454W
OG0003066	snap_masked-AADM01000261.1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.47&CDS=1-345	YPR166C
OG0003067	snap_masked-AADM01000261.1-processed-gene-0.48-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.48&CDS=1-783	YPR167C
OG0003068	augustus_masked-AADM01000261.1-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-AADM01000261.1-processed-gene-0.152&CDS=1-1563	YOL122C
OG0003069	augustus_masked-AADM01000261.1-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-AADM01000261.1-processed-gene-0.184&CDS=1-1791	YOL123W
OG0003070	genemark-AADM01000261.1-processed-gene-0.88-mRNA-1_1&gene=genemark-AADM01000261.1-processed-gene-0.88&CDS=1-1365	YOL124C
OG0003071	augustus_masked-AADM01000261.1-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-AADM01000261.1-processed-gene-0.185&CDS=1-1263	YNL304W
OG0003072	snap_masked-AADM01000261.1-processed-gene-0.51-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.51&CDS=1-1365	YOL125W
OG0003073	snap_masked-AADM01000261.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.16&CDS=1-1137	YOL126C
OG0003074	snap_masked-AADM01000261.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.17&CDS=1-936	YNL305C
OG0003075	maker-AADM01000261.1-augustus-gene-0.77-mRNA-1_1&gene=maker-AADM01000261.1-augustus-gene-0.77&CDS=1-1005	YOL127W
OG0003076	snap_masked-AADM01000261.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.18&CDS=1-1089	YNL307C
OG0003077	snap_masked-AADM01000261.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.54&CDS=1-528	YOL129W
OG0003078	snap_masked-AADM01000261.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.19&CDS=1-1704	YNL308C
OG0003079	snap_masked-AADM01000261.1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.56&CDS=1-942	YNL309W
OG0003080	snap_masked-AADM01000261.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.20&CDS=1-534	YNL310C
OG0003081	snap_masked-AADM01000261.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.21&CDS=1-2178	YNL311C
OG0003082	snap_masked-AADM01000261.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.57&CDS=1-1464	YOL132W
OG0003083	snap_masked-AADM01000261.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.58&CDS=1-837	YNL312W
OG0003084	snap_masked-AADM01000261.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.22&CDS=1-2712	YNL313C
OG0003085	snap_masked-AADM01000261.1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.59&CDS=1-900	YNL314W
OG0003086	snap_masked-AADM01000261.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.23&CDS=1-969	YNL315C
OG0003087	snap_masked-AADM01000261.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-AADM01000261.1-processed-gene-0.24&CDS=1-993	YNL316C
