	Eremothecium_cymbalariae	Saccharomyces_cerevisiae
OG0002837	genemark-NC_016454.1-processed-gene-1.36-mRNA-1_1&gene=genemark-NC_016454.1-processed-gene-1.36&CDS=1-3243	YLR032W
OG0002838	snap_masked-NC_016454.1-processed-gene-1.114-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.114&CDS=1-1029	YMR126C
OG0002839	maker-NC_016454.1-snap-gene-1.153-mRNA-1_1&gene=maker-NC_016454.1-snap-gene-1.153&CDS=1-2580	YMR125W
OG0002840	maker-NC_016454.1-snap-gene-1.154-mRNA-1_1&gene=maker-NC_016454.1-snap-gene-1.154&CDS=1-3081	YMR124W
OG0002841	snap_masked-NC_016454.1-processed-gene-1.116-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.116&CDS=1-1770	YMR120C
OG0002842	snap_masked-NC_016454.1-processed-gene-1.142-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.142&CDS=1-1932	YMR119W
OG0002843	snap_masked-NC_016454.1-processed-gene-1.117-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.117&CDS=1-1257	YLR027C
OG0002844	snap_masked-NC_016454.1-processed-gene-1.118-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.118&CDS=1-987	YLR026C
OG0002845	snap_masked-NC_016454.1-processed-gene-1.143-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.143&CDS=1-714	YLR025W
OG0002846	snap_masked-NC_016454.1-processed-gene-1.120-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.120&CDS=1-504	YKL141W
OG0002847	snap_masked-NC_016454.1-processed-gene-1.121-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.121&CDS=1-1332	YKL139W
OG0002848	snap_masked-NC_016454.1-processed-gene-1.145-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.145&CDS=1-252	YKL138C-A
OG0002849	snap_masked-NC_016454.1-processed-gene-1.122-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.122&CDS=1-627	YMR117C
OG0002850	snap_masked-NC_016454.1-processed-gene-1.146-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.146&CDS=1-399	YKL138C
OG0002851	augustus_masked-NC_016454.1-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-1.73&CDS=1-330	YKL137W
OG0002852	snap_masked-NC_016454.1-processed-gene-1.147-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-1.147&CDS=1-2100	YKL135C
OG0002853	maker-NC_016454.1-snap-gene-1.148-mRNA-1_1&gene=maker-NC_016454.1-snap-gene-1.148&CDS=1-954	YMR116C
OG0002854	maker-NC_016454.1-augustus-gene-2.102-mRNA-1_1&gene=maker-NC_016454.1-augustus-gene-2.102&CDS=1-3666	YKL134C
OG0002855	genemark-NC_016454.1-processed-gene-2.0-mRNA-1_1&gene=genemark-NC_016454.1-processed-gene-2.0&CDS=1-858	YMR114C
OG0002856	snap_masked-NC_016454.1-processed-gene-2.58-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.58&CDS=1-1281	YMR113W
OG0002857	snap_masked-NC_016454.1-processed-gene-2.55-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.55&CDS=1-1242	YMR111C
OG0002858	snap_masked-NC_016454.1-processed-gene-2.59-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.59&CDS=1-852	YKL130C
OG0002859	snap_masked-NC_016454.1-processed-gene-2.60-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.60&CDS=1-3759	YMR109W
OG0002860	augustus_masked-NC_016454.1-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-2.129&CDS=1-2037	YMR108W
OG0002861	snap_masked-NC_016454.1-processed-gene-2.80-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.80&CDS=1-1038	YKL128C
OG0002862	snap_masked-NC_016454.1-processed-gene-2.63-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.63&CDS=1-2847	YGL167C
OG0002863	snap_masked-NC_016454.1-processed-gene-2.81-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.81&CDS=1-1209	YGL169W
OG0002864	augustus_masked-NC_016454.1-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-2.115&CDS=1-2004	YGL166W
OG0002865	augustus_masked-NC_016454.1-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-2.132&CDS=1-3981	YGL163C
OG0002866	augustus_masked-NC_016454.1-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-2.134&CDS=1-576	YFR008W
OG0002867	snap_masked-NC_016454.1-processed-gene-2.67-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.67&CDS=1-1947	YPR007C
OG0002868	snap_masked-NC_016454.1-processed-gene-2.86-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.86&CDS=1-1692	YKR008W
OG0002869	snap_masked-NC_016454.1-processed-gene-2.87-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.87&CDS=1-417	YKR007W
OG0002870	snap_masked-NC_016454.1-processed-gene-2.68-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.68&CDS=1-741	YKR006C
OG0002871	augustus_masked-NC_016454.1-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-2.119&CDS=1-2094	YKR004C
OG0002872	snap_masked-NC_016454.1-processed-gene-2.88-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.88&CDS=1-1353	YKR003W
OG0002873	snap_masked-NC_016454.1-processed-gene-2.89-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.89&CDS=1-1914	YGR054W
OG0002874	augustus_masked-NC_016454.1-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-2.120&CDS=1-711	YGR053C
OG0002875	snap_masked-NC_016454.1-processed-gene-2.72-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.72&CDS=1-1197	YLR355C
OG0002876	snap_masked-NC_016454.1-processed-gene-2.73-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.73&CDS=1-1014	YLR354C
OG0002877	snap_masked-NC_016454.1-processed-gene-2.94-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.94&CDS=1-912	YGR042W
OG0002878	snap_masked-NC_016454.1-processed-gene-2.96-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.96&CDS=1-2463	YLR352W
OG0002879	snap_masked-NC_016454.1-processed-gene-2.74-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.74&CDS=1-879	YLR351C
OG0002880	snap_masked-NC_016454.1-processed-gene-2.98-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.98&CDS=1-597	YGR038W
OG0002881	augustus_masked-NC_016454.1-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-2.125&CDS=1-261	YGR037C
OG0002882	snap_masked-NC_016454.1-processed-gene-2.76-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.76&CDS=1-2583	YLR347C
OG0002883	snap_masked-NC_016454.1-processed-gene-2.77-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.77&CDS=1-714	YGR036C
OG0002884	snap_masked-NC_016454.1-processed-gene-2.99-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-2.99&CDS=1-1731	YLR345W
OG0002885	augustus_masked-NC_016454.1-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-2.128&CDS=1-777	YGR033C
OG0002886	snap_masked-NC_016454.1-processed-gene-3.8-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.8&CDS=1-630	YGR031W
OG0002887	snap_masked-NC_016454.1-processed-gene-3.10-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.10&CDS=1-936	YLR340W
OG0002888	snap_masked-NC_016454.1-processed-gene-3.6-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.6&CDS=1-231	YGR030C
OG0002889	snap_masked-NC_016454.1-processed-gene-3.31-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.31&CDS=1-894	YAR008W
OG0002890	snap_masked-NC_016454.1-processed-gene-3.11-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.11&CDS=1-3759	YGL006W
OG0002891	snap_masked-NC_016454.1-processed-gene-3.32-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.32&CDS=1-762	YGL005C
OG0002892	snap_masked-NC_016454.1-processed-gene-3.33-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.33&CDS=1-1254	YGL004C
OG0002893	snap_masked-NC_016454.1-processed-gene-3.12-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.12&CDS=1-1857	YAR007C
OG0002894	snap_masked-NC_016454.1-processed-gene-3.34-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.34&CDS=1-1653	YGL003C
OG0002895	snap_masked-NC_016454.1-processed-gene-3.35-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.35&CDS=1-1320	YAR003W
OG0002896	snap_masked-NC_016454.1-processed-gene-3.36-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.36&CDS=1-1716	YAR002W
OG0002897	snap_masked-NC_016454.1-processed-gene-3.38-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.38&CDS=1-3399	YAL001C
OG0002898	snap_masked-NC_016454.1-processed-gene-3.15-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.15&CDS=1-738	YGR001C
OG0002899	snap_masked-NC_016454.1-processed-gene-3.16-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.16&CDS=1-1050	YGL001C
OG0002900	snap_masked-NC_016454.1-processed-gene-3.39-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.39&CDS=1-3678	YAL002W
OG0002901	maker-NC_016454.1-snap-gene-3.0-mRNA-1_1&gene=maker-NC_016454.1-snap-gene-3.0&CDS=1-618	YAL003W
OG0002902	snap_masked-NC_016454.1-processed-gene-3.17-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.17&CDS=1-1149	YLR321C
OG0002903	snap_masked-NC_016454.1-processed-gene-3.42-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.42&CDS=1-639	YGL020C
OG0002904	snap_masked-NC_016454.1-processed-gene-3.18-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.18&CDS=1-2553	YDR069C
OG0002905	snap_masked-NC_016454.1-processed-gene-3.43-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.43&CDS=1-894	YDR068W
OG0002906	genemark-NC_016454.1-processed-gene-3.106-mRNA-1_1&gene=genemark-NC_016454.1-processed-gene-3.106&CDS=1-618	YDR067C
OG0002907	snap_masked-NC_016454.1-processed-gene-3.44-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.44&CDS=1-1215	YER143W
OG0002908	snap_masked-NC_016454.1-processed-gene-3.20-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.20&CDS=1-831	YER142C
OG0002909	snap_masked-NC_016454.1-processed-gene-3.45-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.45&CDS=1-1452	YER141W
OG0002910	snap_masked-NC_016454.1-processed-gene-3.46-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.46&CDS=1-3288	YBL022C
OG0002911	snap_masked-NC_016454.1-processed-gene-3.47-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.47&CDS=1-633	YBL021C
OG0002912	augustus_masked-NC_016454.1-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-3.69&CDS=1-2976	YBL020W
OG0002913	snap_masked-NC_016454.1-processed-gene-3.24-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.24&CDS=1-1569	YBL015W
OG0002914	snap_masked-NC_016454.1-processed-gene-3.25-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.25&CDS=1-909	YGR161C
OG0002915	snap_masked-NC_016454.1-processed-gene-3.27-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.27&CDS=1-1344	YGR159C
OG0002916	maker-NC_016454.1-augustus-gene-3.52-mRNA-1_1&gene=maker-NC_016454.1-augustus-gene-3.52&CDS=1-2511	YGL045W
OG0002917	snap_masked-NC_016454.1-processed-gene-3.50-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.50&CDS=1-2544	YGR157W
OG0002918	snap_masked-NC_016454.1-processed-gene-3.51-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-3.51&CDS=1-1590	YLR314C
OG0002919	maker-NC_016454.1-snap-gene-4.103-mRNA-1_1&gene=maker-NC_016454.1-snap-gene-4.103&CDS=1-852	YLL023C
OG0002920	snap_masked-NC_016454.1-processed-gene-4.3-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.3&CDS=1-381	YGL191W
OG0002921	snap_masked-NC_016454.1-processed-gene-4.4-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.4&CDS=1-1572	YGL190C
OG0002922	snap_masked-NC_016454.1-processed-gene-4.6-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.6&CDS=1-462	YGL187C
OG0002923	snap_masked-NC_016454.1-processed-gene-4.30-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.30&CDS=1-1689	YHL029C
OG0002924	maker-NC_016454.1-snap-gene-4.104-mRNA-1_1&gene=maker-NC_016454.1-snap-gene-4.104&CDS=1-1014	YHL028W
OG0002925	snap_masked-NC_016454.1-processed-gene-4.7-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.7&CDS=1-1467	YHL027W
OG0002926	augustus_masked-NC_016454.1-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-4.66&CDS=1-1899	YLL035W
OG0002927	snap_masked-NC_016454.1-processed-gene-4.35-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.35&CDS=1-2514	YLL034C
OG0002928	augustus_masked-NC_016454.1-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-4.87&CDS=1-2154	YLL032C
OG0002929	augustus_masked-NC_016454.1-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-4.67&CDS=1-957	YHL025W
OG0002930	snap_masked-NC_016454.1-processed-gene-4.9-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.9&CDS=1-624	YER163C
OG0002931	snap_masked-NC_016454.1-processed-gene-4.10-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.10&CDS=1-1338	YER136W
OG0002932	maker-NC_016454.1-snap-gene-4.105-mRNA-1_1&gene=maker-NC_016454.1-snap-gene-4.105&CDS=1-285	YBL026W
OG0002933	augustus_masked-NC_016454.1-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-4.88&CDS=1-426	YER137C
OG0002934	snap_masked-NC_016454.1-processed-gene-4.12-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.12&CDS=1-1272	YMR208W
OG0002935	snap_masked-NC_016454.1-processed-gene-4.38-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.38&CDS=1-981	YOR271C
OG0002936	snap_masked-NC_016454.1-processed-gene-4.13-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.13&CDS=1-1335	YOR272W
OG0002937	snap_masked-NC_016454.1-processed-gene-4.39-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.39&CDS=1-1701	YOR273C
OG0002938	augustus_masked-NC_016454.1-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-4.72&CDS=1-2499	YOR274W
OG0002939	snap_masked-NC_016454.1-processed-gene-4.40-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.40&CDS=1-1953	YOR275C
OG0002940	snap_masked-NC_016454.1-processed-gene-4.41-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.41&CDS=1-2199	YMR212C
OG0002941	augustus_masked-NC_016454.1-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-4.73&CDS=1-1974	YMR213W
OG0002942	snap_masked-NC_016454.1-processed-gene-4.18-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.18&CDS=1-1122	YMR214W
OG0002943	snap_masked-NC_016454.1-processed-gene-4.42-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.42&CDS=1-2085	YMR216C
OG0002944	snap_masked-NC_016454.1-processed-gene-4.20-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.20&CDS=1-1575	YMR217W
OG0002945	snap_masked-NC_016454.1-processed-gene-4.21-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.21&CDS=1-768	YOR278W
OG0002946	augustus_masked-NC_016454.1-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-4.95&CDS=1-3270	YMR218C
OG0002947	snap_masked-NC_016454.1-processed-gene-4.23-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.23&CDS=1-1341	YMR220W
OG0002948	augustus_masked-NC_016454.1-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-4.96&CDS=1-957	YOR279C
OG0002949	snap_masked-NC_016454.1-processed-gene-4.46-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.46&CDS=1-774	YOR280C
OG0002950	snap_masked-NC_016454.1-processed-gene-4.24-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.24&CDS=1-1398	YMR223W
OG0002951	snap_masked-NC_016454.1-processed-gene-4.47-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.47&CDS=1-855	YOR281C
OG0002952	snap_masked-NC_016454.1-processed-gene-4.48-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.48&CDS=1-2061	YMR224C
OG0002953	snap_masked-NC_016454.1-processed-gene-4.25-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.25&CDS=1-690	YOR283W
OG0002954	maker-NC_016454.1-snap-gene-4.106-mRNA-1_1&gene=maker-NC_016454.1-snap-gene-4.106&CDS=1-810	YOR286W
OG0002955	augustus_masked-NC_016454.1-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-4.100&CDS=1-2115	YOR288C
OG0002956	augustus_masked-NC_016454.1-processed-gene-4.83-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-4.83&CDS=1-678	YOR289W
OG0002957	snap_masked-NC_016454.1-processed-gene-4.53-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.53&CDS=1-2157	YMR227C
OG0002958	snap_masked-NC_016454.1-processed-gene-4.29-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.29&CDS=1-1011	YMR228W
OG0002959	snap_masked-NC_016454.1-processed-gene-5.91-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.91&CDS=1-5142	YMR229C
OG0002960	snap_masked-NC_016454.1-processed-gene-5.89-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.89&CDS=1-4353	YOR291W
OG0002961	snap_masked-NC_016454.1-processed-gene-5.117-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.117&CDS=1-963	YOR292C
OG0002962	genemark-NC_016454.1-processed-gene-5.4-mRNA-1_1&gene=genemark-NC_016454.1-processed-gene-5.4&CDS=1-1167	YGR058W
OG0002963	snap_masked-NC_016454.1-processed-gene-5.118-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.118&CDS=1-822	YLR363C
OG0002964	snap_masked-NC_016454.1-processed-gene-5.95-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.95&CDS=1-936	YGR060W
OG0002965	snap_masked-NC_016454.1-processed-gene-5.119-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.119&CDS=1-4044	YGR061C
OG0002966	snap_masked-NC_016454.1-processed-gene-5.96-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.96&CDS=1-264	YLR363W-A
OG0002967	maker-NC_016454.1-augustus-gene-5.143-mRNA-1_1&gene=maker-NC_016454.1-augustus-gene-5.143&CDS=1-1161	YGR062C
OG0002968	snap_masked-NC_016454.1-processed-gene-5.122-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.122&CDS=1-435	YBR282W
OG0002969	snap_masked-NC_016454.1-processed-gene-5.123-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.123&CDS=1-1710	YJL069C
OG0002970	maker-NC_016454.1-snap-gene-5.144-mRNA-1_1&gene=maker-NC_016454.1-snap-gene-5.144&CDS=1-2565	YBR281C
OG0002971	snap_masked-NC_016454.1-processed-gene-5.99-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.99&CDS=1-1809	YBR280C
OG0002972	snap_masked-NC_016454.1-processed-gene-5.124-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.124&CDS=1-903	YJL068C
OG0002973	snap_masked-NC_016454.1-processed-gene-5.125-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.125&CDS=1-1191	YBR279W
OG0002974	snap_masked-NC_016454.1-processed-gene-5.126-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.126&CDS=1-927	YJL066C
OG0002975	snap_masked-NC_016454.1-processed-gene-5.127-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.127&CDS=1-642	YJL065C
OG0002976	genemark-NC_016454.1-processed-gene-5.10-mRNA-1_1&gene=genemark-NC_016454.1-processed-gene-5.10&CDS=1-2388	YBR276C
OG0002977	snap_masked-NC_016454.1-processed-gene-5.129-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.129&CDS=1-726	YJL063C
OG0002978	augustus_masked-NC_016454.1-processed-gene-5.58-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-5.58&CDS=1-4755	YJL062W
OG0002979	snap_masked-NC_016454.1-processed-gene-5.106-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.106&CDS=1-2013	YJL061W
OG0002980	snap_masked-NC_016454.1-processed-gene-5.130-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.130&CDS=1-330	YBR269C
OG0002981	snap_masked-NC_016454.1-processed-gene-5.132-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.132&CDS=1-1629	YJL057C
OG0002982	snap_masked-NC_016454.1-processed-gene-5.133-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.133&CDS=1-1977	YJL056C
OG0002983	snap_masked-NC_016454.1-processed-gene-5.108-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.108&CDS=1-756	YJL055W
OG0002984	snap_masked-NC_016454.1-processed-gene-5.110-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.110&CDS=1-1425	YJL054W
OG0002985	snap_masked-NC_016454.1-processed-gene-5.111-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.111&CDS=1-927	YJL053W
OG0002986	snap_masked-NC_016454.1-processed-gene-5.135-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.135&CDS=1-1434	YBR272C
OG0002987	snap_masked-NC_016454.1-processed-gene-5.114-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.114&CDS=1-1296	YJL049W
OG0002988	snap_masked-NC_016454.1-processed-gene-5.136-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.136&CDS=1-1272	YBR273C
OG0002989	snap_masked-NC_016454.1-processed-gene-5.115-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.115&CDS=1-1548	YBR274W
OG0002990	snap_masked-NC_016454.1-processed-gene-5.137-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-5.137&CDS=1-5154	YBR275C
OG0002991	snap_masked-NC_016454.1-processed-gene-6.48-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.48&CDS=1-1641	YJL071W
OG0002992	snap_masked-NC_016454.1-processed-gene-6.46-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.46&CDS=1-636	YJL072C
OG0002993	snap_masked-NC_016454.1-processed-gene-6.64-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.64&CDS=1-1227	YAL018C
OG0002994	augustus_masked-NC_016454.1-processed-gene-6.92-mRNA-1_1&gene=augustus_masked-NC_016454.1-processed-gene-6.92&CDS=1-1560	YBR286W
OG0002995	snap_masked-NC_016454.1-processed-gene-6.65-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.65&CDS=1-1872	YJL073W
OG0002996	snap_masked-NC_016454.1-processed-gene-6.68-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.68&CDS=1-1227	YBR287W
OG0002997	snap_masked-NC_016454.1-processed-gene-6.52-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.52&CDS=1-3696	YJL074C
OG0002998	snap_masked-NC_016454.1-processed-gene-6.69-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.69&CDS=1-3684	YJL076W
OG0002999	snap_masked-NC_016454.1-processed-gene-6.70-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.70&CDS=1-873	YKR011C
OG0003000	snap_masked-NC_016454.1-processed-gene-6.55-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.55&CDS=1-3588	YJL080C
OG0003001	snap_masked-NC_016454.1-processed-gene-6.71-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.71&CDS=1-615	YKR014C
OG0003002	snap_masked-NC_016454.1-processed-gene-6.56-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.56&CDS=1-1560	YKR016W
OG0003003	snap_masked-NC_016454.1-processed-gene-6.57-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.57&CDS=1-1440	YJL081C
OG0003004	maker-NC_016454.1-augustus-gene-6.45-mRNA-1_1&gene=maker-NC_016454.1-augustus-gene-6.45&CDS=1-3888	YKR017C
OG0003005	snap_masked-NC_016454.1-processed-gene-6.74-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.74&CDS=1-2370	YJL083W
OG0003006	snap_masked-NC_016454.1-processed-gene-6.58-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.58&CDS=1-417	YKR020W
OG0003007	snap_masked-NC_016454.1-processed-gene-6.59-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.59&CDS=1-2916	YJL084C
OG0003008	snap_masked-NC_016454.1-processed-gene-6.75-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.75&CDS=1-1842	YJL085W
OG0003009	snap_masked-NC_016454.1-processed-gene-6.60-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-6.60&CDS=1-2472	YJL087C
