	Metschnikowia_proteae	Saccharomyces_cerevisiae
OG0002303	snap_masked-proT_s3-processed-gene-1.86-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-1.86&CDS=1-459	YLR170C
OG0002304	snap_masked-proT_s3-processed-gene-1.68-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-1.68&CDS=1-2160	YDR017C
OG0002305	maker-proT_s3-snap-gene-1.10-mRNA-1_1&gene=maker-proT_s3-snap-gene-1.10&CDS=1-1917	YOR374W
OG0002306	snap_masked-proT_s3-processed-gene-1.69-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-1.69&CDS=1-1455	YJL025W
OG0002307	snap_masked-proT_s3-processed-gene-1.72-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-1.72&CDS=1-906	YGR208W
OG0002308	snap_masked-proT_s3-processed-gene-1.91-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-1.91&CDS=1-810	YMR289W
OG0002309	snap_masked-proT_s3-processed-gene-1.92-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-1.92&CDS=1-861	YCL031C
OG0002310	genemark-proT_s3-processed-gene-1.117-mRNA-1_1&gene=genemark-proT_s3-processed-gene-1.117&CDS=1-963	YMR055C
OG0002311	snap_masked-proT_s3-processed-gene-1.94-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-1.94&CDS=1-1758	YKL074C
OG0002312	snap_masked-proT_s3-processed-gene-1.95-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-1.95&CDS=1-2691	YKL073W
OG0002313	maker-proT_s3-augustus-gene-1.56-mRNA-1_1&gene=maker-proT_s3-augustus-gene-1.56&CDS=1-3993	YGR048W
OG0002314	augustus_masked-proT_s3-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-1.27&CDS=1-273	YER074W-A
OG0002315	snap_masked-proT_s3-processed-gene-1.98-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-1.98&CDS=1-453	YDR397C
OG0002316	snap_masked-proT_s3-processed-gene-1.100-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-1.100&CDS=1-963	YGR031W
OG0002317	snap_masked-proT_s3-processed-gene-1.75-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-1.75&CDS=1-1167	YPR186C
OG0002318	snap_masked-proT_s3-processed-gene-1.102-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-1.102&CDS=1-4911	YNL139C
OG0002319	genemark-proT_s3-processed-gene-1.121-mRNA-1_1&gene=genemark-proT_s3-processed-gene-1.121&CDS=1-5952	YPR184W
OG0002320	maker-proT_s3-snap-gene-2.36-mRNA-1_1&gene=maker-proT_s3-snap-gene-2.36&CDS=1-2019	YGR194C
OG0002321	snap_masked-proT_s3-processed-gene-2.50-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-2.50&CDS=1-1125	YJR003C
OG0002322	snap_masked-proT_s3-processed-gene-2.51-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-2.51&CDS=1-1110	YIR034C
OG0002323	snap_masked-proT_s3-processed-gene-2.55-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-2.55&CDS=1-1191	YKL021C
OG0002324	genemark-proT_s3-processed-gene-2.93-mRNA-1_1&gene=genemark-proT_s3-processed-gene-2.93&CDS=1-2046	YKL022C
OG0002325	genemark-proT_s3-processed-gene-2.94-mRNA-1_1&gene=genemark-proT_s3-processed-gene-2.94&CDS=1-1287	YGR223C
OG0002326	snap_masked-proT_s3-processed-gene-2.56-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-2.56&CDS=1-1041	YGR222W
OG0002327	snap_masked-proT_s3-processed-gene-2.54-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-2.54&CDS=1-2295	YLL013C
OG0002328	maker-proT_s3-augustus-gene-2.46-mRNA-1_1&gene=maker-proT_s3-augustus-gene-2.46&CDS=1-2613	YER049W
OG0002329	snap_masked-proT_s3-processed-gene-2.57-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-2.57&CDS=1-1599	YER052C
OG0002330	snap_masked-proT_s3-processed-gene-2.79-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-2.79&CDS=1-975	YIL041W
OG0002331	augustus_masked-proT_s3-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-2.29&CDS=1-2925	YHR137W
OG0002332	snap_masked-proT_s3-processed-gene-2.58-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-2.58&CDS=1-3060	YLR450W
OG0002333	augustus_masked-proT_s3-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-2.31&CDS=1-2769	YML076C
OG0002334	genemark-proT_s3-processed-gene-2.101-mRNA-1_1&gene=genemark-proT_s3-processed-gene-2.101&CDS=1-1959	YJR131W
OG0002335	maker-proT_s3-augustus-gene-2.44-mRNA-1_1&gene=maker-proT_s3-augustus-gene-2.44&CDS=1-2274	YOR188W
OG0002336	snap_masked-proT_s3-processed-gene-2.86-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-2.86&CDS=1-1908	YLR299W
OG0002337	maker-proT_s3-snap-gene-2.39-mRNA-1_1&gene=maker-proT_s3-snap-gene-2.39&CDS=1-5304	YBR155W
OG0002338	maker-proT_s3-augustus-gene-2.45-mRNA-1_1&gene=maker-proT_s3-augustus-gene-2.45&CDS=1-5931	YOR187W
OG0002339	snap_masked-proT_s3-processed-gene-2.71-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-2.71&CDS=1-1809	YNL169C
OG0002340	snap_masked-proT_s3-processed-gene-2.72-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-2.72&CDS=1-855	YFL034C-B
OG0002341	augustus_masked-proT_s3-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-2.35&CDS=1-4710	YFL036W
OG0002342	genemark-proT_s3-processed-gene-3.104-mRNA-1_1&gene=genemark-proT_s3-processed-gene-3.104&CDS=1-4146	YKL101W
OG0002343	snap_masked-proT_s3-processed-gene-3.51-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.51&CDS=1-2973	YBL104C
OG0002344	maker-proT_s3-snap-gene-3.0-mRNA-1_1&gene=maker-proT_s3-snap-gene-3.0&CDS=1-2256	YBL105C
OG0002345	snap_masked-proT_s3-processed-gene-3.55-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.55&CDS=1-3219	YDR060W
OG0002346	snap_masked-proT_s3-processed-gene-3.53-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.53&CDS=1-1410	YDR403W
OG0002347	snap_masked-proT_s3-processed-gene-3.56-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.56&CDS=1-501	YGL231C
OG0002348	snap_masked-proT_s3-processed-gene-3.80-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.80&CDS=1-846	YGL232W
OG0002349	snap_masked-proT_s3-processed-gene-3.81-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.81&CDS=1-858	YMR314W
OG0002350	snap_masked-proT_s3-processed-gene-3.82-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.82&CDS=1-2574	YGL233W
OG0002351	snap_masked-proT_s3-processed-gene-3.61-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.61&CDS=1-840	YFR043C
OG0002352	snap_masked-proT_s3-processed-gene-3.84-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.84&CDS=1-642	YIR032C
OG0002353	snap_masked-proT_s3-processed-gene-3.62-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.62&CDS=1-2613	YBR179C
OG0002354	snap_masked-proT_s3-processed-gene-3.85-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.85&CDS=1-1554	YMR155W
OG0002355	snap_masked-proT_s3-processed-gene-3.63-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.63&CDS=1-372	YDL092W
OG0002356	snap_masked-proT_s3-processed-gene-3.87-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.87&CDS=1-1305	YDL090C
OG0002357	snap_masked-proT_s3-processed-gene-3.64-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.64&CDS=1-1440	YDL089W
OG0002358	snap_masked-proT_s3-processed-gene-3.65-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.65&CDS=1-867	YDL111C
OG0002359	snap_masked-proT_s3-processed-gene-3.91-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.91&CDS=1-4221	YDL112W
OG0002360	snap_masked-proT_s3-processed-gene-3.92-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.92&CDS=1-2070	YDL113C
OG0002361	snap_masked-proT_s3-processed-gene-3.67-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.67&CDS=1-2349	YDL116W
OG0002362	augustus_masked-proT_s3-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-3.42&CDS=1-1275	YDL097C
OG0002363	snap_masked-proT_s3-processed-gene-3.68-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.68&CDS=1-1374	YDR316W
OG0002364	maker-proT_s3-augustus-gene-3.103-mRNA-1_1&gene=maker-proT_s3-augustus-gene-3.103&CDS=1-1596	YGL143C
OG0002365	snap_masked-proT_s3-processed-gene-3.95-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.95&CDS=1-1629	YER014W
OG0002366	genemark-proT_s3-processed-gene-3.149-mRNA-1_1&gene=genemark-proT_s3-processed-gene-3.149&CDS=1-7536	YIL075C
OG0002367	snap_masked-proT_s3-processed-gene-3.99-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.99&CDS=1-1401	YER081W
OG0002368	snap_masked-proT_s3-processed-gene-3.72-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.72&CDS=1-717	YPL051W
OG0002369	snap_masked-proT_s3-processed-gene-3.75-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.75&CDS=1-555	YBR171W
OG0002370	snap_masked-proT_s3-processed-gene-3.76-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.76&CDS=1-4014	YER008C
OG0002371	snap_masked-proT_s3-processed-gene-4.61-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.61&CDS=1-2763	YJL187C
OG0002372	maker-proT_s3-snap-gene-4.112-mRNA-1_1&gene=maker-proT_s3-snap-gene-4.112&CDS=1-504	YGR029W
OG0002373	maker-proT_s3-snap-gene-4.111-mRNA-1_1&gene=maker-proT_s3-snap-gene-4.111&CDS=1-447	YGL103W
OG0002374	maker-proT_s3-snap-gene-4.110-mRNA-1_1&gene=maker-proT_s3-snap-gene-4.110&CDS=1-2265	YNL001W
OG0002375	maker-proT_s3-augustus-gene-4.57-mRNA-1_1&gene=maker-proT_s3-augustus-gene-4.57&CDS=1-957	YGL106W
OG0002376	snap_masked-proT_s3-processed-gene-4.65-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.65&CDS=1-3237	YOL034W
OG0002377	snap_masked-proT_s3-processed-gene-4.93-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.93&CDS=1-1566	YOL033W
OG0002378	snap_masked-proT_s3-processed-gene-4.68-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.68&CDS=1-420	YJR044C
OG0002379	snap_masked-proT_s3-processed-gene-4.94-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.94&CDS=1-801	YAL014C
OG0002380	snap_masked-proT_s3-processed-gene-4.69-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.69&CDS=1-669	YJL055W
OG0002381	snap_masked-proT_s3-processed-gene-4.96-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.96&CDS=1-798	YNL036W
OG0002382	snap_masked-proT_s3-processed-gene-4.71-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.71&CDS=1-678	YNL129W
OG0002383	snap_masked-proT_s3-processed-gene-4.98-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.98&CDS=1-954	YKR030W
OG0002384	augustus_masked-proT_s3-processed-gene-4.151-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-4.151&CDS=1-4737	YKR017C
OG0002385	snap_masked-proT_s3-processed-gene-4.73-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.73&CDS=1-363	YJL104W
OG0002386	snap_masked-proT_s3-processed-gene-4.103-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.103&CDS=1-549	YHR148W
OG0002387	snap_masked-proT_s3-processed-gene-4.76-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.76&CDS=1-663	YHR147C
OG0002388	snap_masked-proT_s3-processed-gene-4.77-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.77&CDS=1-843	YGR220C
OG0002389	snap_masked-proT_s3-processed-gene-4.104-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.104&CDS=1-1455	YBR003W
OG0002390	snap_masked-proT_s3-processed-gene-4.79-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.79&CDS=1-3237	YGR218W
OG0002391	snap_masked-proT_s3-processed-gene-4.80-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.80&CDS=1-603	YDR002W
OG0002392	snap_masked-proT_s3-processed-gene-4.81-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.81&CDS=1-3627	YGR233C
OG0002393	snap_masked-proT_s3-processed-gene-4.106-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.106&CDS=1-1896	YDL146W
OG0002394	snap_masked-proT_s3-processed-gene-4.107-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.107&CDS=1-1236	YIL042C
OG0002395	snap_masked-proT_s3-processed-gene-4.82-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.82&CDS=1-1602	YER051W
OG0002396	snap_masked-proT_s3-processed-gene-4.108-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.108&CDS=1-1248	YOL058W
OG0002397	snap_masked-proT_s3-processed-gene-5.0-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.0&CDS=1-2472	YGL027C
OG0002398	genemark-proT_s3-processed-gene-5.107-mRNA-1_1&gene=genemark-proT_s3-processed-gene-5.107&CDS=1-1095	YMR135C
OG0002399	genemark-proT_s3-processed-gene-5.111-mRNA-1_1&gene=genemark-proT_s3-processed-gene-5.111&CDS=1-660	YMR134W
OG0002400	snap_masked-proT_s3-processed-gene-5.3-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.3&CDS=1-615	YOR289W
OG0002401	snap_masked-proT_s3-processed-gene-5.7-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.7&CDS=1-561	YER042W
OG0002402	snap_masked-proT_s3-processed-gene-5.8-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.8&CDS=1-1074	YBR087W
OG0002403	maker-proT_s3-snap-gene-5.98-mRNA-1_1&gene=maker-proT_s3-snap-gene-5.98&CDS=1-657	YKL041W
OG0002404	maker-proT_s3-snap-gene-5.99-mRNA-1_1&gene=maker-proT_s3-snap-gene-5.99&CDS=1-1995	YPR047W
OG0002405	snap_masked-proT_s3-processed-gene-5.32-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.32&CDS=1-1779	YPR048W
OG0002406	augustus_masked-proT_s3-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-5.83&CDS=1-1437	YMR023C
OG0002407	snap_masked-proT_s3-processed-gene-5.12-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.12&CDS=1-909	YOR311C
OG0002408	snap_masked-proT_s3-processed-gene-5.13-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.13&CDS=1-642	YMR069W
OG0002409	genemark-proT_s3-processed-gene-5.144-mRNA-1_1&gene=genemark-proT_s3-processed-gene-5.144&CDS=1-6795	YPL085W
OG0002410	genemark-proT_s3-processed-gene-5.121-mRNA-1_1&gene=genemark-proT_s3-processed-gene-5.121&CDS=1-1395	YBR182C
OG0002411	snap_masked-proT_s3-processed-gene-5.38-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.38&CDS=1-1194	YJL203W
OG0002412	snap_masked-proT_s3-processed-gene-5.17-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.17&CDS=1-1383	YHR004C
OG0002413	snap_masked-proT_s3-processed-gene-5.20-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.20&CDS=1-1809	YBR123C
OG0002414	snap_masked-proT_s3-processed-gene-5.44-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.44&CDS=1-681	YOR232W
OG0002415	snap_masked-proT_s3-processed-gene-5.24-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.24&CDS=1-1122	YIL094C
OG0002416	snap_masked-proT_s3-processed-gene-5.45-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.45&CDS=1-1386	YNL022C
OG0002417	augustus_masked-proT_s3-processed-gene-5.95-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-5.95&CDS=1-2676	YNL021W
OG0002418	snap_masked-proT_s3-processed-gene-5.47-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.47&CDS=1-1203	YNL035C
OG0002419	snap_masked-proT_s3-processed-gene-5.26-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.26&CDS=1-1887	YNL039W
OG0002420	snap_masked-proT_s3-processed-gene-5.27-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.27&CDS=1-660	YNL038W
OG0002421	maker-proT_s3-snap-gene-6.43-mRNA-1_1&gene=maker-proT_s3-snap-gene-6.43&CDS=1-3849	YDL240W
OG0002422	snap_masked-proT_s3-processed-gene-6.1-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-6.1&CDS=1-258	YGL220W
OG0002423	snap_masked-proT_s3-processed-gene-6.3-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-6.3&CDS=1-1461	YOL137W
OG0002424	snap_masked-proT_s3-processed-gene-6.2-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-6.2&CDS=1-825	YGL221C
OG0002425	snap_masked-proT_s3-processed-gene-6.17-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-6.17&CDS=1-786	YEL019C
OG0002426	snap_masked-proT_s3-processed-gene-6.18-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-6.18&CDS=1-1353	YOR375C
OG0002427	snap_masked-proT_s3-processed-gene-6.19-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-6.19&CDS=1-1326	YJL054W
OG0002428	snap_masked-proT_s3-processed-gene-6.20-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-6.20&CDS=1-1314	YNR029C
OG0002429	snap_masked-proT_s3-processed-gene-6.5-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-6.5&CDS=1-1815	YNR030W
OG0002430	augustus_masked-proT_s3-processed-gene-6.55-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-6.55&CDS=1-4644	YJL095W
OG0002431	genemark-proT_s3-processed-gene-6.100-mRNA-1_1&gene=genemark-proT_s3-processed-gene-6.100&CDS=1-492	YJL096W
OG0002432	maker-proT_s3-augustus-gene-6.41-mRNA-1_1&gene=maker-proT_s3-augustus-gene-6.41&CDS=1-2184	YNL191W
OG0002433	snap_masked-proT_s3-processed-gene-6.24-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-6.24&CDS=1-3081	YGL241W
OG0002434	maker-proT_s3-augustus-gene-6.40-mRNA-1_1&gene=maker-proT_s3-augustus-gene-6.40&CDS=1-3606	YDR104C
OG0002435	snap_masked-proT_s3-processed-gene-6.26-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-6.26&CDS=1-1872	YDR103W
OG0002436	snap_masked-proT_s3-processed-gene-6.11-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-6.11&CDS=1-1449	YJL123C
OG0002437	genemark-proT_s3-processed-gene-6.107-mRNA-1_1&gene=genemark-proT_s3-processed-gene-6.107&CDS=1-1197	YJL126W
OG0002438	snap_masked-proT_s3-processed-gene-6.13-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-6.13&CDS=1-1209	YLR191W
OG0002439	snap_masked-proT_s3-processed-gene-6.32-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-6.32&CDS=1-1857	YLL002W
OG0002440	snap_masked-proT_s3-processed-gene-6.15-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-6.15&CDS=1-936	YGR017W
OG0002441	snap_masked-proT_s3-processed-gene-7.39-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-7.39&CDS=1-2919	YGR134W
OG0002442	genemark-proT_s3-processed-gene-7.70-mRNA-1_1&gene=genemark-proT_s3-processed-gene-7.70&CDS=1-4272	YDL195W
OG0002443	snap_masked-proT_s3-processed-gene-7.54-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-7.54&CDS=1-300	YGR215W
OG0002444	snap_masked-proT_s3-processed-gene-7.43-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-7.43&CDS=1-6258	YGR217W
OG0002445	snap_masked-proT_s3-processed-gene-7.55-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-7.55&CDS=1-1449	YGR211W
OG0002446	snap_masked-proT_s3-processed-gene-7.44-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-7.44&CDS=1-1950	YIL046W
OG0002447	snap_masked-proT_s3-processed-gene-7.57-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-7.57&CDS=1-2103	YOL141W
OG0002448	snap_masked-proT_s3-processed-gene-7.58-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-7.58&CDS=1-807	YOL142W
OG0002449	augustus_masked-proT_s3-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-7.28&CDS=1-789	YLR128W
OG0002450	snap_masked-proT_s3-processed-gene-7.47-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-7.47&CDS=1-1941	YLR127C
OG0002451	maker-proT_s3-snap-gene-7.2-mRNA-1_1&gene=maker-proT_s3-snap-gene-7.2&CDS=1-1536	YDR145W
OG0002452	maker-proT_s3-snap-gene-7.3-mRNA-1_1&gene=maker-proT_s3-snap-gene-7.3&CDS=1-4401	YLR419W
OG0002453	snap_masked-proT_s3-processed-gene-7.49-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-7.49&CDS=1-432	YMR002W
OG0002454	snap_masked-proT_s3-processed-gene-7.66-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-7.66&CDS=1-2220	YOL006C
OG0002455	snap_masked-proT_s3-processed-gene-7.51-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-7.51&CDS=1-885	YMR234W
OG0002456	snap_masked-proT_s3-processed-gene-7.52-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-7.52&CDS=1-2004	YMR001C
OG0002457	maker-proT_s3-snap-gene-7.5-mRNA-1_1&gene=maker-proT_s3-snap-gene-7.5&CDS=1-360	YOL005C
OG0002458	snap_masked-proT_s3-processed-gene-7.53-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-7.53&CDS=1-4287	YOL004W
OG0002459	genemark-proT_s3-processed-gene-8.121-mRNA-1_1&gene=genemark-proT_s3-processed-gene-8.121&CDS=1-3798	YOR296W
OG0002460	snap_masked-proT_s3-processed-gene-8.72-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-8.72&CDS=1-597	YOR294W
OG0002461	snap_masked-proT_s3-processed-gene-8.73-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-8.73&CDS=1-2022	YAL048C
OG0002462	genemark-proT_s3-processed-gene-8.120-mRNA-1_1&gene=genemark-proT_s3-processed-gene-8.120&CDS=1-357	YAL046C
OG0002463	snap_masked-proT_s3-processed-gene-8.74-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-8.74&CDS=1-2166	YOR361C
OG0002464	genemark-proT_s3-processed-gene-8.148-mRNA-1_1&gene=genemark-proT_s3-processed-gene-8.148&CDS=1-768	YOR362C
OG0002465	maker-proT_s3-snap-gene-8.54-mRNA-1_1&gene=maker-proT_s3-snap-gene-8.54&CDS=1-1290	YOL003C
OG0002466	snap_masked-proT_s3-processed-gene-8.78-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-8.78&CDS=1-1416	YIL097W
OG0002467	genemark-proT_s3-processed-gene-8.150-mRNA-1_1&gene=genemark-proT_s3-processed-gene-8.150&CDS=1-957	YIL096C
OG0002468	snap_masked-proT_s3-processed-gene-8.99-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-8.99&CDS=1-1947	YDL122W
OG0002469	maker-proT_s3-snap-gene-8.59-mRNA-1_1&gene=maker-proT_s3-snap-gene-8.59&CDS=1-1434	YNL016W
OG0002470	snap_masked-proT_s3-processed-gene-8.80-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-8.80&CDS=1-1308	YML005W
OG0002471	augustus_masked-proT_s3-processed-gene-8.12-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-8.12&CDS=1-1434	YNL026W
OG0002472	snap_masked-proT_s3-processed-gene-8.101-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-8.101&CDS=1-1023	YIL083C
OG0002473	maker-proT_s3-snap-gene-8.56-mRNA-1_1&gene=maker-proT_s3-snap-gene-8.56&CDS=1-180	YML081C-A
OG0002474	snap_masked-proT_s3-processed-gene-8.84-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-8.84&CDS=1-441	YML077W
OG0002475	snap_masked-proT_s3-processed-gene-8.85-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-8.85&CDS=1-1503	YOR378W
OG0002476	genemark-proT_s3-processed-gene-8.136-mRNA-1_1&gene=genemark-proT_s3-processed-gene-8.136&CDS=1-1080	YPL254W
OG0002477	augustus_masked-proT_s3-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-8.35&CDS=1-540	YPL252C
OG0002478	snap_masked-proT_s3-processed-gene-8.107-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-8.107&CDS=1-693	YMR197C
OG0002479	snap_masked-proT_s3-processed-gene-8.108-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-8.108&CDS=1-3165	YMR196W
OG0002480	snap_masked-proT_s3-processed-gene-8.111-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-8.111&CDS=1-5919	YJL005W
OG0002481	snap_masked-proT_s3-processed-gene-8.89-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-8.89&CDS=1-1107	YPR035W
OG0002482	snap_masked-proT_s3-processed-gene-8.113-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-8.113&CDS=1-1395	YIL090W
OG0002483	snap_masked-proT_s3-processed-gene-8.91-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-8.91&CDS=1-2169	YIL091C
OG0002484	augustus_masked-proT_s3-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-8.43&CDS=1-213	YNL024C-A
OG0002485	snap_masked-proT_s3-processed-gene-8.92-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-8.92&CDS=1-1053	YML095C
OG0002486	genemark-proT_s3-processed-gene-8.164-mRNA-1_1&gene=genemark-proT_s3-processed-gene-8.164&CDS=1-447	YML094W
