	Saccharomyces_cerevisiae	yHMPu5000034669_Blastobotrys_raffinofermentans
OG0002460	YLR438W	augustus_masked-flattened_line_4-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.91&CDS=1-1278
OG0002461	YLR439W	augustus_masked-flattened_line_14-processed-gene-4.175-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-4.175&CDS=1-861
OG0002462	YLR440C	snap_masked-flattened_line_14-processed-gene-4.76-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-4.76&CDS=1-2097
OG0002463	YLR441C	augustus_masked-flattened_line_36-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.119&CDS=1-771
OG0002464	YLR447C	augustus_masked-flattened_line_21-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-0.74&CDS=1-1038
OG0002465	YLR449W	augustus_masked-flattened_line_24-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.45&CDS=1-1215
OG0002466	YLR451W	augustus_masked-flattened_line_19-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.39&CDS=1-2511
OG0002467	YLR452C	snap_masked-flattened_line_19-processed-gene-1.135-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-1.135&CDS=1-1413
OG0002468	YLR454W	augustus_masked-flattened_line_8-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.59&CDS=1-9123
OG0002469	YLR455W	augustus_masked-flattened_line_8-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.67&CDS=1-1569
OG0002470	YLR459W	augustus_masked-flattened_line_0-processed-gene-21.111-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-21.111&CDS=1-1203
OG0002471	YML001W	augustus_masked-flattened_line_16-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.86&CDS=1-615
OG0002472	YML002W	snap_masked-flattened_line_34-processed-gene-0.229-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.229&CDS=1-3351
OG0002473	YML004C	augustus_masked-flattened_line_21-processed-gene-2.234-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-2.234&CDS=1-945
OG0002474	YML005W	snap_masked-flattened_line_32-processed-gene-1.5-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.5&CDS=1-1155
OG0002475	YML007W	augustus_masked-flattened_line_0-processed-gene-8.89-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.89&CDS=1-1473
OG0002476	YML008C	augustus_masked-flattened_line_8-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.82&CDS=1-1137
OG0002477	YML009C	snap_masked-flattened_line_16-processed-gene-1.42-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.42&CDS=1-258
OG0002478	YML010W	augustus_masked-flattened_line_16-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.130&CDS=1-2970
OG0002479	YML012W	augustus_masked-flattened_line_16-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.158&CDS=1-633
OG0002480	YML014W	augustus_masked-flattened_line_8-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.123&CDS=1-654
OG0002481	YML015C	augustus_masked-flattened_line_8-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.105&CDS=1-603
OG0002482	YML018C	augustus_masked-flattened_line_8-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.91&CDS=1-1020
OG0002483	YML019W	augustus_masked-flattened_line_40-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.83&CDS=1-963
OG0002484	YML020W	augustus_masked-flattened_line_16-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.89&CDS=1-2265
OG0002485	YML021C	augustus_masked-flattened_line_16-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.45&CDS=1-1203
OG0002486	YML022W	augustus_masked-flattened_line_16-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.41&CDS=1-546
OG0002487	YML025C	augustus_masked-flattened_line_21-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.100&CDS=1-825
OG0002488	YML030W	maker-flattened_line_44-augustus-gene-0.2-mRNA-1_1&gene=maker-flattened_line_44-augustus-gene-0.2&CDS=1-453
OG0002489	YML032C	augustus_masked-flattened_line_21-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-0.68&CDS=1-1242
OG0002490	YML035C	augustus_masked-flattened_line_24-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.29&CDS=1-2517
OG0002491	YML036W	augustus_masked-flattened_line_10-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.131&CDS=1-510
OG0002492	YML038C	augustus_masked-flattened_line_4-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.82&CDS=1-1200
OG0002493	YML041C	snap_masked-flattened_line_6-processed-gene-7.11-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-7.11&CDS=1-507
OG0002494	YML042W	augustus_masked-flattened_line_0-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.122&CDS=1-1842
OG0002495	YML043C	augustus_masked-flattened_line_0-processed-gene-18.154-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-18.154&CDS=1-1545
OG0002496	YML048W	augustus_masked-flattened_line_30-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.86&CDS=1-1212
OG0002497	YML049C	augustus_masked-flattened_line_30-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.77&CDS=1-3528
OG0002498	YML054C	augustus_masked-flattened_line_0-processed-gene-18.117-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-18.117&CDS=1-1488
OG0002499	YML056C	maker-flattened_line_2-augustus-gene-3.4-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-3.4&CDS=1-1560
OG0002500	YML059C	augustus_masked-flattened_line_14-processed-gene-4.174-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-4.174&CDS=1-4167
OG0002501	YML060W	augustus_masked-flattened_line_14-processed-gene-4.211-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-4.211&CDS=1-1197
OG0002502	YML061C	augustus_masked-flattened_line_14-processed-gene-4.176-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-4.176&CDS=1-2166
OG0002503	YML064C	augustus_masked-flattened_line_24-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-2.88&CDS=1-597
OG0002504	YML065W	augustus_masked-flattened_line_24-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-2.66&CDS=1-2247
OG0002505	YML067C	augustus_masked-flattened_line_0-processed-gene-24.48-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-24.48&CDS=1-768
OG0002506	YML069W	augustus_masked-flattened_line_0-processed-gene-25.104-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-25.104&CDS=1-1677
OG0002507	YML070W	augustus_masked-flattened_line_36-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.107&CDS=1-1785
OG0002508	YML071C	augustus_masked-flattened_line_21-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-0.91&CDS=1-1134
OG0002509	YML073C	augustus_masked-flattened_line_24-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.46&CDS=1-582
OG0002510	YML076C	maker-flattened_line_12-snap-gene-3.69-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-3.69&CDS=1-2679
OG0002511	YML077W	augustus_masked-flattened_line_40-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.67&CDS=1-501
OG0002512	YML080W	augustus_masked-flattened_line_40-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.94&CDS=1-1347
OG0002513	YML081C-A	snap_masked-flattened_line_40-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.16&CDS=1-192
OG0002514	YML085C	augustus_masked-flattened_line_4-processed-gene-7.37-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-7.37&CDS=1-1344
OG0002515	YML086C	augustus_masked-flattened_line_19-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.131&CDS=1-1527
OG0002516	YML088W	augustus_masked-flattened_line_6-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.14&CDS=1-2229
OG0002517	YML092C	maker-flattened_line_4-augustus-gene-3.64-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-3.64&CDS=1-750
OG0002518	YML093W	augustus_masked-flattened_line_16-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.18&CDS=1-2502
OG0002519	YML094W	augustus_masked-flattened_line_0-processed-gene-19.79-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-19.79&CDS=1-465
OG0002520	YML095C	augustus_masked-flattened_line_28-processed-gene-1.149-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.149&CDS=1-924
OG0002521	YML096W	augustus_masked-flattened_line_14-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.76&CDS=1-1554
OG0002522	YML097C	augustus_masked-flattened_line_14-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.104&CDS=1-1992
OG0002523	YML098W	augustus_masked-flattened_line_0-processed-gene-13.43-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-13.43&CDS=1-435
OG0002524	YML099C	augustus_masked-flattened_line_0-processed-gene-13.16-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-13.16&CDS=1-2457
OG0002525	YML101C	augustus_masked-flattened_line_50-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.7&CDS=1-564
OG0002526	YML102W	augustus_masked-flattened_line_2-processed-gene-8.111-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-8.111&CDS=1-2211
OG0002527	YML103C	augustus_masked-flattened_line_0-processed-gene-8.60-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.60&CDS=1-4833
OG0002528	YML104C	augustus_masked-flattened_line_38-processed-gene-0.217-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.217&CDS=1-3357
OG0002529	YML105C	augustus_masked-flattened_line_46-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.55&CDS=1-810
OG0002530	YML110C	augustus_masked-flattened_line_2-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.15&CDS=1-849
OG0002531	YML114C	maker-flattened_line_4-snap-gene-4.97-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-4.97&CDS=1-1398
OG0002532	YML121W	augustus_masked-flattened_line_0-processed-gene-13.1-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-13.1&CDS=1-966
OG0002533	YML126C	augustus_masked-flattened_line_4-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.143&CDS=1-1350
OG0002534	YML127W	augustus_masked-flattened_line_4-processed-gene-3.173-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.173&CDS=1-1545
OG0002535	YML128C	augustus_masked-flattened_line_16-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.156&CDS=1-1014
OG0002536	YML129C	augustus_masked-flattened_line_4-processed-gene-3.176-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.176&CDS=1-204
OG0002537	YML130C	augustus_masked-flattened_line_0-processed-gene-13.15-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-13.15&CDS=1-1638
OG0002538	YML131W	augustus_masked-flattened_line_44-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.146&CDS=1-1032
OG0002539	YMR001C	augustus_masked-flattened_line_2-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.93&CDS=1-2025
OG0002540	YMR002W	augustus_masked-flattened_line_2-processed-gene-4.104-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.104&CDS=1-438
OG0002541	YMR004W	augustus_masked-flattened_line_44-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.138&CDS=1-1320
OG0002542	YMR005W	augustus_masked-flattened_line_44-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.137&CDS=1-1065
OG0002543	YMR008C	augustus_masked-flattened_line_30-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.96&CDS=1-1860
OG0002544	YMR009W	augustus_masked-flattened_line_6-processed-gene-5.134-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-5.134&CDS=1-522
OG0002545	YMR010W	augustus_masked-flattened_line_24-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.38&CDS=1-912
OG0002546	YMR012W	augustus_masked-flattened_line_26-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.59&CDS=1-3609
OG0002547	YMR013C	snap_masked-flattened_line_0-processed-gene-25.121-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-25.121&CDS=1-1110
OG0002548	YMR015C	augustus_masked-flattened_line_19-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.23&CDS=1-1608
OG0002549	YMR019W	augustus_masked-flattened_line_2-processed-gene-9.117-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-9.117&CDS=1-2241
OG0002550	YMR022W	augustus_masked-flattened_line_0-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.103&CDS=1-501
OG0002551	YMR023C	genemark-flattened_line_0-processed-gene-12.0-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-12.0&CDS=1-1536
OG0002552	YMR024W	augustus_masked-flattened_line_0-processed-gene-25.99-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-25.99&CDS=1-1005
OG0002553	YMR026C	augustus_masked-flattened_line_10-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.128&CDS=1-1188
OG0002554	YMR027W	augustus_masked-flattened_line_16-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.71&CDS=1-1389
OG0002555	YMR028W	augustus_masked-flattened_line_16-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.25&CDS=1-1047
OG0002556	YMR029C	augustus_masked-flattened_line_14-processed-gene-4.185-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-4.185&CDS=1-1551
OG0002557	YMR032W	maker-flattened_line_16-snap-gene-0.157-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-0.157&CDS=1-2214
OG0002558	YMR033W	augustus_masked-flattened_line_14-processed-gene-4.210-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-4.210&CDS=1-1371
OG0002559	YMR035W	augustus_masked-flattened_line_14-processed-gene-4.209-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-4.209&CDS=1-498
OG0002560	YMR036C	augustus_masked-flattened_line_14-processed-gene-4.213-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-4.213&CDS=1-1128
OG0002561	YMR038C	augustus_masked-flattened_line_0-processed-gene-10.71-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-10.71&CDS=1-696
OG0002562	YMR039C	maker-flattened_line_2-augustus-gene-9.65-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-9.65&CDS=1-390
OG0002563	YMR041C	augustus_masked-flattened_line_0-processed-gene-10.89-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-10.89&CDS=1-1002
OG0002564	YMR042W	augustus_masked-flattened_line_8-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.68&CDS=1-828
OG0002565	YMR048W	augustus_masked-flattened_line_4-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.82&CDS=1-738
OG0002566	YMR049C	augustus_masked-flattened_line_24-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.10&CDS=1-2406
OG0002567	YMR055C	augustus_masked-flattened_line_6-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.3&CDS=1-951
OG0002568	YMR058W	augustus_masked-flattened_line_16-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.86&CDS=1-1845
OG0002569	YMR059W	augustus_masked-flattened_line_0-processed-gene-14.33-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-14.33&CDS=1-327
OG0002570	YMR060C	snap_masked-flattened_line_0-processed-gene-14.125-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-14.125&CDS=1-873
OG0002571	YMR061W	augustus_masked-flattened_line_0-processed-gene-14.32-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-14.32&CDS=1-2229
OG0002572	YMR062C	augustus_masked-flattened_line_0-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.26&CDS=1-1320
OG0002573	YMR063W	augustus_masked-flattened_line_8-processed-gene-5.168-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-5.168&CDS=1-1821
OG0002574	YMR066W	augustus_masked-flattened_line_10-processed-gene-3.148-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.148&CDS=1-1920
OG0002575	YMR067C	augustus_masked-flattened_line_16-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.33&CDS=1-1413
OG0002576	YMR069W	snap_masked-flattened_line_12-processed-gene-0.103-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.103&CDS=1-522
OG0002577	YMR071C	augustus_masked-flattened_line_6-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.84&CDS=1-456
OG0002578	YMR073C	augustus_masked-flattened_line_19-processed-gene-3.147-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-3.147&CDS=1-459
OG0002579	YMR074C	maker-flattened_line_10-augustus-gene-1.136-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-1.136&CDS=1-420
OG0002580	YMR075W	augustus_masked-flattened_line_0-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.10&CDS=1-2022
OG0002581	YMR076C	snap_masked-flattened_line_0-processed-gene-6.126-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.126&CDS=1-3924
OG0002582	YMR077C	augustus_masked-flattened_line_19-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.50&CDS=1-633
OG0002583	YMR078C	augustus_masked-flattened_line_26-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.97&CDS=1-2277
OG0002584	YMR079W	augustus_masked-flattened_line_16-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.119&CDS=1-1020
OG0002585	YMR080C	augustus_masked-flattened_line_26-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.150&CDS=1-3009
OG0002586	YMR083W	augustus_masked-flattened_line_6-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.24&CDS=1-1044
OG0002587	YMR087W	snap_masked-flattened_line_0-processed-gene-4.144-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.144&CDS=1-699
OG0002588	YMR090W	augustus_masked-flattened_line_0-processed-gene-11.128-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-11.128&CDS=1-642
OG0002589	YMR091C	augustus_masked-flattened_line_0-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.71&CDS=1-1473
OG0002590	YMR097C	augustus_masked-flattened_line_10-processed-gene-3.133-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.133&CDS=1-921
OG0002591	YMR099C	augustus_masked-flattened_line_6-processed-gene-3.157-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.157&CDS=1-855
OG0002592	YMR100W	genemark-flattened_line_10-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.106&CDS=1-2259
OG0002593	YMR108W	augustus_masked-flattened_line_0-processed-gene-21.121-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-21.121&CDS=1-2040
OG0002594	YMR112C	maker-flattened_line_0-augustus-gene-13.128-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-13.128&CDS=1-441
OG0002595	YMR113W	augustus_masked-flattened_line_0-processed-gene-12.86-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-12.86&CDS=1-1197
OG0002596	YMR114C	snap_masked-flattened_line_0-processed-gene-13.165-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-13.165&CDS=1-1095
OG0002597	YMR115W	augustus_masked-flattened_line_0-processed-gene-13.8-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-13.8&CDS=1-1293
OG0002598	YMR116C	maker-flattened_line_0-augustus-gene-13.127-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-13.127&CDS=1-957
OG0002599	YMR120C	maker-flattened_line_2-augustus-gene-5.114-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-5.114&CDS=1-1770
OG0002600	YMR121C	augustus_masked-flattened_line_2-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.25&CDS=1-609
OG0002601	YMR123W	augustus_masked-flattened_line_19-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.127&CDS=1-360
OG0002602	YMR125W	augustus_masked-flattened_line_10-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.124&CDS=1-2400
OG0002603	YMR126C	augustus_masked-flattened_line_8-processed-gene-3.134-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.134&CDS=1-969
OG0002604	YMR127C	augustus_masked-flattened_line_0-processed-gene-14.7-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-14.7&CDS=1-915
OG0002605	YMR128W	augustus_masked-flattened_line_0-processed-gene-14.31-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-14.31&CDS=1-3864
OG0002606	YMR129W	snap_masked-flattened_line_0-processed-gene-14.118-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-14.118&CDS=1-3684
OG0002607	YMR130W	augustus_masked-flattened_line_8-processed-gene-3.136-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.136&CDS=1-819
OG0002608	YMR131C	augustus_masked-flattened_line_44-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.140&CDS=1-1557
OG0002609	YMR132C	maker-flattened_line_19-snap-gene-2.98-mRNA-1_1&gene=maker-flattened_line_19-snap-gene-2.98&CDS=1-645
OG0002610	YMR137C	snap_masked-flattened_line_6-processed-gene-3.28-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.28&CDS=1-1560
OG0002611	YMR139W	augustus_masked-flattened_line_2-processed-gene-6.47-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.47&CDS=1-1140
OG0002612	YMR140W	maker-flattened_line_6-snap-gene-5.54-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-5.54&CDS=1-2154
OG0002613	YMR146C	augustus_masked-flattened_line_46-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.73&CDS=1-993
OG0002614	YMR149W	augustus_masked-flattened_line_6-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.88&CDS=1-819
OG0002615	YMR150C	snap_masked-flattened_line_6-processed-gene-1.117-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.117&CDS=1-480
OG0002616	YMR154C	augustus_masked-flattened_line_16-processed-gene-1.165-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.165&CDS=1-2415
OG0002617	YMR156C	augustus_masked-flattened_line_6-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-5.109&CDS=1-795
OG0002618	YMR158W	augustus_masked-flattened_line_6-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.103&CDS=1-468
OG0002619	YMR159C	augustus_masked-flattened_line_16-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.93&CDS=1-516
OG0002620	YMR161W	snap_masked-flattened_line_21-processed-gene-2.25-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-2.25&CDS=1-1032
OG0002621	YMR162C	augustus_masked-flattened_line_32-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.127&CDS=1-4803
OG0002622	YMR165C	augustus_masked-flattened_line_10-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-4.34&CDS=1-2226
OG0002623	YMR166C	augustus_masked-flattened_line_6-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.36&CDS=1-999
OG0002624	YMR167W	augustus_masked-flattened_line_6-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.16&CDS=1-2115
OG0002625	YMR171C	augustus_masked-flattened_line_21-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.57&CDS=1-1437
OG0002626	YMR185W	snap_masked-flattened_line_0-processed-gene-3.1-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.1&CDS=1-2658
OG0002627	YMR186W	augustus_masked-flattened_line_0-processed-gene-3.110-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.110&CDS=1-2115
OG0002628	YMR188C	augustus_masked-flattened_line_14-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.95&CDS=1-792
OG0002629	YMR189W	augustus_masked-flattened_line_40-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.106&CDS=1-2931
OG0002630	YMR190C	augustus_masked-flattened_line_6-processed-gene-3.126-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.126&CDS=1-3183
