	Saccharomyces_cerevisiae	yHAB134_Kazachstania_turicensis
OG0003312	YNL005C	augustus_masked-scf7180000049521-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000049521-processed-gene-0.5&CDS=1-1131
OG0003313	YNL006W	augustus_masked-scf7180000049521-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000049521-processed-gene-0.16&CDS=1-909
OG0003314	YNL007C	augustus_masked-scf7180000049521-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000049521-processed-gene-0.7&CDS=1-1086
OG0003315	YNL010W	augustus_masked-scf7180000049521-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000049521-processed-gene-0.17&CDS=1-714
OG0003316	YNL011C	augustus_masked-scf7180000049496-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scf7180000049496-processed-gene-0.21&CDS=1-2379
OG0003317	YNL016W	maker-scf7180000049435-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000049435-snap-gene-0.0&CDS=1-558
OG0003318	YNL021W	augustus_masked-scf7180000049496-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000049496-processed-gene-0.18&CDS=1-2097
OG0003319	YNL023C	maker-scf7180000049496-augustus-gene-0.22-mRNA-1_1&gene=maker-scf7180000049496-augustus-gene-0.22&CDS=1-4431
OG0003320	YNL024C-A	maker-scf7180000049496-augustus-gene-0.23-mRNA-1_1&gene=maker-scf7180000049496-augustus-gene-0.23&CDS=1-867
OG0003321	YNL025C	snap_masked-scf7180000049496-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000049496-processed-gene-0.3&CDS=1-1092
OG0003322	YNL026W	snap_masked-scf7180000049496-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000049496-processed-gene-0.9&CDS=1-1458
OG0003323	YNL027W	snap_masked-scf7180000049496-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scf7180000049496-processed-gene-0.10&CDS=1-2244
OG0003324	YNL035C	augustus_masked-scf7180000049520-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000049520-processed-gene-0.9&CDS=1-1167
OG0003325	YNL036W	augustus_masked-scf7180000049491-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.70&CDS=1-639
OG0003326	YNL037C	augustus_masked-scf7180000049491-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.51&CDS=1-1077
OG0003327	YNL039W	augustus_masked-scf7180000049520-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000049520-processed-gene-0.10&CDS=1-1971
OG0003328	YNL042W	augustus_masked-scf7180000049520-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scf7180000049520-processed-gene-0.46&CDS=1-1254
OG0003329	YNL044W	snap_masked-scf7180000049520-processed-gene-0.201-mRNA-1_1&gene=snap_masked-scf7180000049520-processed-gene-0.201&CDS=1-474
OG0003330	YNL045W	snap_masked-scf7180000049520-processed-gene-0.202-mRNA-1_1&gene=snap_masked-scf7180000049520-processed-gene-0.202&CDS=1-1947
OG0003331	YNL048W	augustus_masked-scf7180000049520-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scf7180000049520-processed-gene-0.48&CDS=1-1629
OG0003332	YNL050C	augustus_masked-scf7180000049539-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-scf7180000049539-processed-gene-0.99&CDS=1-651
OG0003333	YNL051W	augustus_masked-scf7180000049539-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-scf7180000049539-processed-gene-0.79&CDS=1-1164
OG0003334	YNL052W	augustus_masked-scf7180000049491-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.47&CDS=1-456
OG0003335	YNL055C	augustus_masked-scf7180000049523-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-scf7180000049523-processed-gene-0.63&CDS=1-843
OG0003336	YNL056W	augustus_masked-scf7180000049583-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.100&CDS=1-513
OG0003337	YNL058C	augustus_masked-scf7180000049583-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.131&CDS=1-1059
OG0003338	YNL059C	snap_masked-scf7180000049583-processed-gene-0.69-mRNA-1_1&gene=snap_masked-scf7180000049583-processed-gene-0.69&CDS=1-2265
OG0003339	YNL061W	augustus_masked-scf7180000049583-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.99&CDS=1-1938
OG0003340	YNL062C	augustus_masked-scf7180000049583-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.129&CDS=1-1389
OG0003341	YNL063W	augustus_masked-scf7180000049583-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.98&CDS=1-1002
OG0003342	YNL064C	augustus_masked-scf7180000049583-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.128&CDS=1-1233
OG0003343	YNL065W	augustus_masked-scf7180000049583-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.97&CDS=1-1728
OG0003344	YNL066W	augustus_masked-scf7180000049523-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-scf7180000049523-processed-gene-0.96&CDS=1-1182
OG0003345	YNL070W	snap_masked-scf7180000049583-processed-gene-0.31-mRNA-1_1&gene=snap_masked-scf7180000049583-processed-gene-0.31&CDS=1-180
OG0003346	YNL071W	augustus_masked-scf7180000049583-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.95&CDS=1-1467
OG0003347	YNL072W	maker-scf7180000049583-snap-gene-0.4-mRNA-1_1&gene=maker-scf7180000049583-snap-gene-0.4&CDS=1-2769
OG0003348	YNL075W	augustus_masked-scf7180000049583-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.93&CDS=1-861
OG0003349	YNL076W	augustus_masked-scf7180000049583-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.92&CDS=1-1893
OG0003350	YNL078W	augustus_masked-scf7180000049583-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.91&CDS=1-912
OG0003351	YNL080C	augustus_masked-scf7180000049583-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.121&CDS=1-1056
OG0003352	YNL081C	augustus_masked-scf7180000049583-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.120&CDS=1-363
OG0003353	YNL082W	maker-scf7180000049583-snap-gene-0.3-mRNA-1_1&gene=maker-scf7180000049583-snap-gene-0.3&CDS=1-2760
OG0003354	YNL083W	augustus_masked-scf7180000049583-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.89&CDS=1-1659
OG0003355	YNL084C	augustus_masked-scf7180000049583-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.118&CDS=1-1086
OG0003356	YNL085W	augustus_masked-scf7180000049586-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-2.52&CDS=1-2415
OG0003357	YNL088W	snap_masked-scf7180000049566-processed-gene-1.109-mRNA-1_1&gene=snap_masked-scf7180000049566-processed-gene-1.109&CDS=1-4215
OG0003358	YNL090W	genemark-scf7180000049566-processed-gene-1.63-mRNA-1_1&gene=genemark-scf7180000049566-processed-gene-1.63&CDS=1-579
OG0003359	YNL091W	snap_masked-scf7180000049566-processed-gene-1.112-mRNA-1_1&gene=snap_masked-scf7180000049566-processed-gene-1.112&CDS=1-729
OG0003360	YNL094W	maker-scf7180000049566-augustus-gene-1.3-mRNA-1_1&gene=maker-scf7180000049566-augustus-gene-1.3&CDS=1-1359
OG0003361	YNL097C	maker-scf7180000049566-augustus-gene-1.0-mRNA-1_1&gene=maker-scf7180000049566-augustus-gene-1.0&CDS=1-1038
OG0003362	YNL099C	augustus_masked-scf7180000049566-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-scf7180000049566-processed-gene-1.16&CDS=1-756
OG0003363	YNL101W	snap_masked-scf7180000049566-processed-gene-1.115-mRNA-1_1&gene=snap_masked-scf7180000049566-processed-gene-1.115&CDS=1-2364
OG0003364	YNL102W	maker-scf7180000049566-augustus-gene-1.4-mRNA-1_1&gene=maker-scf7180000049566-augustus-gene-1.4&CDS=1-4266
OG0003365	YNL103W	snap_masked-scf7180000049566-processed-gene-1.117-mRNA-1_1&gene=snap_masked-scf7180000049566-processed-gene-1.117&CDS=1-2061
OG0003366	YNL107W	augustus_masked-scf7180000049473-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scf7180000049473-processed-gene-0.45&CDS=1-630
OG0003367	YNL108C	augustus_masked-scf7180000049566-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-scf7180000049566-processed-gene-1.18&CDS=1-807
OG0003368	YNL110C	augustus_masked-scf7180000049566-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-scf7180000049566-processed-gene-1.19&CDS=1-660
OG0003369	YNL111C	augustus_masked-scf7180000049566-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-scf7180000049566-processed-gene-1.21&CDS=1-366
OG0003370	YNL112W	maker-scf7180000049566-augustus-gene-1.5-mRNA-1_1&gene=maker-scf7180000049566-augustus-gene-1.5&CDS=1-1656
OG0003371	YNL113W	augustus_masked-scf7180000049566-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-scf7180000049566-processed-gene-1.34&CDS=1-450
OG0003372	YNL115C	snap_masked-scf7180000049566-processed-gene-1.102-mRNA-1_1&gene=snap_masked-scf7180000049566-processed-gene-1.102&CDS=1-1770
OG0003373	YNL118C	augustus_masked-scf7180000049585-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-3.17&CDS=1-2868
OG0003374	YNL119W	augustus_masked-scf7180000049585-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-3.31&CDS=1-1410
OG0003375	YNL121C	augustus_masked-scf7180000049473-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000049473-processed-gene-0.25&CDS=1-1806
OG0003376	YNL122C	augustus_masked-scf7180000049585-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-3.18&CDS=1-276
OG0003377	YNL123W	maker-scf7180000049585-augustus-gene-3.4-mRNA-1_1&gene=maker-scf7180000049585-augustus-gene-3.4&CDS=1-2946
OG0003378	YNL124W	augustus_masked-scf7180000049585-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-3.33&CDS=1-1668
OG0003379	YNL125C	genemark-scf7180000049585-processed-gene-3.53-mRNA-1_1&gene=genemark-scf7180000049585-processed-gene-3.53&CDS=1-1755
OG0003380	YNL126W	snap_masked-scf7180000049585-processed-gene-3.114-mRNA-1_1&gene=snap_masked-scf7180000049585-processed-gene-3.114&CDS=1-2520
OG0003381	YNL127W	genemark-scf7180000049585-processed-gene-3.74-mRNA-1_1&gene=genemark-scf7180000049585-processed-gene-3.74&CDS=1-2844
OG0003382	YNL130C	augustus_masked-scf7180000049585-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-3.21&CDS=1-1182
OG0003383	YNL131W	augustus_masked-scf7180000049585-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-3.36&CDS=1-471
OG0003384	YNL132W	augustus_masked-scf7180000049585-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-3.37&CDS=1-3171
OG0003385	YNL133C	snap_masked-scf7180000049513-processed-gene-0.38-mRNA-1_1&gene=snap_masked-scf7180000049513-processed-gene-0.38&CDS=1-504
OG0003386	YNL135C	snap_masked-scf7180000049585-processed-gene-3.100-mRNA-1_1&gene=snap_masked-scf7180000049585-processed-gene-3.100&CDS=1-342
OG0003387	YNL136W	augustus_masked-scf7180000049585-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-3.38&CDS=1-1650
OG0003388	YNL137C	augustus_masked-scf7180000049585-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-3.23&CDS=1-1449
OG0003389	YNL138W	maker-scf7180000049585-augustus-gene-3.5-mRNA-1_1&gene=maker-scf7180000049585-augustus-gene-3.5&CDS=1-1572
OG0003390	YNL139C	maker-scf7180000049585-augustus-gene-4.33-mRNA-1_1&gene=maker-scf7180000049585-augustus-gene-4.33&CDS=1-4626
OG0003391	YNL141W	augustus_masked-scf7180000049446-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000049446-processed-gene-0.19&CDS=1-1041
OG0003392	YNL142W	augustus_masked-scf7180000049446-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000049446-processed-gene-0.23&CDS=1-1560
OG0003393	YNL147W	augustus_masked-scf7180000049513-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049513-processed-gene-0.2&CDS=1-357
OG0003394	YNL148C	augustus_masked-scf7180000049513-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000049513-processed-gene-0.11&CDS=1-738
OG0003395	YNL151C	augustus_masked-scf7180000049585-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-4.4&CDS=1-690
OG0003396	YNL153C	augustus_masked-scf7180000049446-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000049446-processed-gene-0.20&CDS=1-387
OG0003397	YNL155W	augustus_masked-scf7180000049328-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000049328-processed-gene-0.8&CDS=1-738
OG0003398	YNL156C	augustus_masked-scf7180000049470-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scf7180000049470-processed-gene-0.59&CDS=1-774
OG0003399	YNL159C	augustus_masked-scf7180000049470-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-scf7180000049470-processed-gene-0.60&CDS=1-1065
OG0003400	YNL161W	genemark-scf7180000049569-processed-gene-0.109-mRNA-1_1&gene=genemark-scf7180000049569-processed-gene-0.109&CDS=1-2307
OG0003401	YNL162W-A	augustus_masked-scf7180000049569-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.50&CDS=1-318
OG0003402	YNL163C	augustus_masked-scf7180000049569-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.17&CDS=1-3333
OG0003403	YNL164C	augustus_masked-scf7180000049569-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.18&CDS=1-1179
OG0003404	YNL165W	augustus_masked-scf7180000049569-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.51&CDS=1-1173
OG0003405	YNL166C	snap_masked-scf7180000049569-processed-gene-0.140-mRNA-1_1&gene=snap_masked-scf7180000049569-processed-gene-0.140&CDS=1-1497
OG0003406	YNL167C	snap_masked-scf7180000049569-processed-gene-0.141-mRNA-1_1&gene=snap_masked-scf7180000049569-processed-gene-0.141&CDS=1-1746
OG0003407	YNL168C	snap_masked-scf7180000049569-processed-gene-0.142-mRNA-1_1&gene=snap_masked-scf7180000049569-processed-gene-0.142&CDS=1-753
OG0003408	YNL172W	augustus_masked-scf7180000049569-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.52&CDS=1-5367
OG0003409	YNL175C	augustus_masked-scf7180000049569-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.22&CDS=1-1263
OG0003410	YNL177C	augustus_masked-scf7180000049569-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.24&CDS=1-963
OG0003411	YNL178W	augustus_masked-scf7180000049569-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.53&CDS=1-735
OG0003412	YNL180C	augustus_masked-scf7180000049569-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.25&CDS=1-1053
OG0003413	YNL181W	augustus_masked-scf7180000049569-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.54&CDS=1-1230
OG0003414	YNL182C	augustus_masked-scf7180000049569-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.26&CDS=1-1659
OG0003415	YNL183C	augustus_masked-scf7180000049569-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.27&CDS=1-2661
OG0003416	YNL185C	augustus_masked-scf7180000049569-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.28&CDS=1-447
OG0003417	YNL186W	augustus_masked-scf7180000049569-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.55&CDS=1-2586
OG0003418	YNL189W	augustus_masked-scf7180000049569-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.58&CDS=1-1617
OG0003419	YNL191W	augustus_masked-scf7180000049569-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.60&CDS=1-1050
OG0003420	YNL192W	augustus_masked-scf7180000049569-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.61&CDS=1-3480
OG0003421	YNL193W	maker-scf7180000049569-snap-gene-0.126-mRNA-1_1&gene=maker-scf7180000049569-snap-gene-0.126&CDS=1-1659
OG0003422	YNL195C	augustus_masked-scf7180000049569-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.30&CDS=1-582
OG0003423	YNL197C	augustus_masked-scf7180000049569-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-scf7180000049569-processed-gene-0.32&CDS=1-1830
OG0003424	YNL199C	augustus_masked-scf7180000049442-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000049442-processed-gene-0.8&CDS=1-1713
OG0003425	YNL200C	augustus_masked-scf7180000049442-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000049442-processed-gene-0.9&CDS=1-732
OG0003426	YNL201C	augustus_masked-scf7180000049442-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000049442-processed-gene-0.10&CDS=1-2502
OG0003427	YNL202W	augustus_masked-scf7180000049442-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000049442-processed-gene-0.12&CDS=1-879
OG0003428	YNL206C	augustus_masked-scf7180000049442-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000049442-processed-gene-0.11&CDS=1-1425
OG0003429	YNL207W	augustus_masked-scf7180000049442-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000049442-processed-gene-0.13&CDS=1-1233
OG0003430	YNL208W	augustus_masked-scf7180000049442-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000049442-processed-gene-0.14&CDS=1-576
OG0003431	YNL210W	augustus_masked-scf7180000049469-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000049469-processed-gene-0.12&CDS=1-891
OG0003432	YNL212W	augustus_masked-scf7180000049469-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000049469-processed-gene-0.13&CDS=1-2352
OG0003433	YNL213C	augustus_masked-scf7180000049469-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049469-processed-gene-0.1&CDS=1-666
OG0003434	YNL214W	snap_masked-scf7180000049469-processed-gene-0.70-mRNA-1_1&gene=snap_masked-scf7180000049469-processed-gene-0.70&CDS=1-636
OG0003435	YNL215W	augustus_masked-scf7180000049574-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-0.5&CDS=1-984
OG0003436	YNL216W	augustus_masked-scf7180000049469-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000049469-processed-gene-0.16&CDS=1-2439
OG0003437	YNL217W	snap_masked-scf7180000049469-processed-gene-0.73-mRNA-1_1&gene=snap_masked-scf7180000049469-processed-gene-0.73&CDS=1-945
OG0003438	YNL218W	augustus_masked-scf7180000049469-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000049469-processed-gene-0.18&CDS=1-1758
OG0003439	YNL219C	augustus_masked-scf7180000049469-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049469-processed-gene-0.2&CDS=1-1689
OG0003440	YNL220W	augustus_masked-scf7180000049486-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000049486-processed-gene-0.25&CDS=1-1296
OG0003441	YNL221C	augustus_masked-scf7180000049469-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000049469-processed-gene-0.3&CDS=1-2589
OG0003442	YNL222W	augustus_masked-scf7180000049469-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000049469-processed-gene-0.19&CDS=1-621
OG0003443	YNL223W	snap_masked-scf7180000049469-processed-gene-0.76-mRNA-1_1&gene=snap_masked-scf7180000049469-processed-gene-0.76&CDS=1-1380
OG0003444	YNL224C	snap_masked-scf7180000049469-processed-gene-0.59-mRNA-1_1&gene=snap_masked-scf7180000049469-processed-gene-0.59&CDS=1-2355
OG0003445	YNL225C	snap_masked-scf7180000049469-processed-gene-0.60-mRNA-1_1&gene=snap_masked-scf7180000049469-processed-gene-0.60&CDS=1-1440
OG0003446	YNL227C	maker-scf7180000049469-snap-gene-0.55-mRNA-1_1&gene=maker-scf7180000049469-snap-gene-0.55&CDS=1-1911
OG0003447	YNL229C	augustus_masked-scf7180000049469-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000049469-processed-gene-0.6&CDS=1-981
OG0003448	YNL230C	augustus_masked-scf7180000049469-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000049469-processed-gene-0.7&CDS=1-1467
OG0003449	YNL231C	augustus_masked-scf7180000049469-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000049469-processed-gene-0.8&CDS=1-1065
OG0003450	YNL232W	snap_masked-scf7180000049469-processed-gene-0.77-mRNA-1_1&gene=snap_masked-scf7180000049469-processed-gene-0.77&CDS=1-807
OG0003451	YNL233W	snap_masked-scf7180000049469-processed-gene-0.78-mRNA-1_1&gene=snap_masked-scf7180000049469-processed-gene-0.78&CDS=1-4191
OG0003452	YNL236W	genemark-scf7180000049469-processed-gene-0.49-mRNA-1_1&gene=genemark-scf7180000049469-processed-gene-0.49&CDS=1-2982
OG0003453	YNL237W	snap_masked-scf7180000049469-processed-gene-0.80-mRNA-1_1&gene=snap_masked-scf7180000049469-processed-gene-0.80&CDS=1-1371
OG0003454	YNL238W	genemark-scf7180000049469-processed-gene-0.51-mRNA-1_1&gene=genemark-scf7180000049469-processed-gene-0.51&CDS=1-2370
OG0003455	YNL239W	augustus_masked-scf7180000049469-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000049469-processed-gene-0.23&CDS=1-1437
OG0003456	YNL240C	augustus_masked-scf7180000049469-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000049469-processed-gene-0.9&CDS=1-1494
OG0003457	YNL242W	snap_masked-scf7180000049469-processed-gene-0.83-mRNA-1_1&gene=snap_masked-scf7180000049469-processed-gene-0.83&CDS=1-3120
OG0003458	YNL243W	augustus_masked-scf7180000049469-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000049469-processed-gene-0.25&CDS=1-2907
OG0003459	YNL244C	augustus_masked-scf7180000049469-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000049469-processed-gene-0.11&CDS=1-273
OG0003460	YNL245C	augustus_masked-scf7180000049492-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scf7180000049492-processed-gene-0.69&CDS=1-489
OG0003461	YNL246W	augustus_masked-scf7180000049492-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-scf7180000049492-processed-gene-0.96&CDS=1-795
OG0003462	YNL247W	augustus_masked-scf7180000049492-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-scf7180000049492-processed-gene-0.97&CDS=1-2265
OG0003463	YNL248C	augustus_masked-scf7180000049492-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-scf7180000049492-processed-gene-0.70&CDS=1-1227
OG0003464	YNL250W	augustus_masked-scf7180000049492-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-scf7180000049492-processed-gene-0.98&CDS=1-3840
OG0003465	YNL251C	snap_masked-scf7180000049492-processed-gene-0.12-mRNA-1_1&gene=snap_masked-scf7180000049492-processed-gene-0.12&CDS=1-1581
OG0003466	YNL252C	augustus_masked-scf7180000049492-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-scf7180000049492-processed-gene-0.72&CDS=1-777
OG0003467	YNL253W	augustus_masked-scf7180000049492-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-scf7180000049492-processed-gene-0.99&CDS=1-1332
OG0003468	YNL254C	augustus_masked-scf7180000049492-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-scf7180000049492-processed-gene-0.73&CDS=1-921
OG0003469	YNL255C	augustus_masked-scf7180000049492-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-scf7180000049492-processed-gene-0.74&CDS=1-459
OG0003470	YNL256W	augustus_masked-scf7180000049492-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-scf7180000049492-processed-gene-0.100&CDS=1-2430
OG0003471	YNL257C	augustus_masked-scf7180000049492-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-scf7180000049492-processed-gene-0.75&CDS=1-3852
OG0003472	YNL258C	augustus_masked-scf7180000049492-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-scf7180000049492-processed-gene-0.76&CDS=1-2343
OG0003473	YNL259C	augustus_masked-scf7180000049492-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-scf7180000049492-processed-gene-0.77&CDS=1-222
OG0003474	YNL260C	augustus_masked-scf7180000049492-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scf7180000049492-processed-gene-0.78&CDS=1-489
OG0003475	YNL261W	augustus_masked-scf7180000049588-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-2.30&CDS=1-1350
OG0003476	YNL262W	augustus_masked-scf7180000049492-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-scf7180000049492-processed-gene-0.101&CDS=1-6645
OG0003477	YNL263C	augustus_masked-scf7180000049492-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-scf7180000049492-processed-gene-0.79&CDS=1-999
OG0003478	YNL264C	maker-scf7180000049492-snap-gene-0.3-mRNA-1_1&gene=maker-scf7180000049492-snap-gene-0.3&CDS=1-972
OG0003479	YNL265C	genemark-scf7180000049499-processed-gene-0.140-mRNA-1_1&gene=genemark-scf7180000049499-processed-gene-0.140&CDS=1-969
OG0003480	YNL267W	augustus_masked-scf7180000049499-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-scf7180000049499-processed-gene-0.178&CDS=1-3207
OG0003481	YNL268W	augustus_masked-scf7180000049499-processed-gene-0.177-mRNA-1_1&gene=augustus_masked-scf7180000049499-processed-gene-0.177&CDS=1-1848
OG0003482	YNL271C	genemark-scf7180000049499-processed-gene-0.139-mRNA-1_1&gene=genemark-scf7180000049499-processed-gene-0.139&CDS=1-5841
