	Candida_carpophila	Saccharomyces_cerevisiae
OG0002180	-processed-gene-15.105-mRNA-1_1&gene=augustus_masked-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.105&CDS=1-1614	YDR481C
OG0002181	-processed-gene-15.64-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.64&CDS=1-402	YEL044W
OG0002182	-processed-gene-15.32-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.32&CDS=1-3303	YFR030W
OG0002183	-processed-gene-15.143-mRNA-1_1&gene=augustus_masked-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.143&CDS=1-6714	YFR031C
OG0002184	-processed-gene-15.33-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.33&CDS=1-2220	YEL036C
OG0002185	-processed-gene-15.71-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.71&CDS=1-723	YPL051W
OG0002186	-processed-gene-15.38-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.38&CDS=1-666	YIL007C
OG0002187	-processed-gene-15.252-mRNA-1_1&gene=snap_masked-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.252&CDS=1-297	YIL008W
OG0002188	-processed-gene-15.39-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.39&CDS=1-1299	YEL002C
OG0002189	-processed-gene-15.219-mRNA-1_1&gene=snap_masked-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.219&CDS=1-378	YEL003W
OG0002190	-processed-gene-15.74-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.74&CDS=1-534	YMR009W
OG0002191	-processed-gene-15.41-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.41&CDS=1-1461	YNL317W
OG0002192	-processed-gene-15.255-mRNA-1_1&gene=snap_masked-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.255&CDS=1-912	YOL136C
OG0002193	-processed-gene-15.76-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.76&CDS=1-2127	YOR017W
OG0002194	-processed-gene-15.78-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.78&CDS=1-1371	YPL063W
OG0002195	-processed-gene-15.79-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.79&CDS=1-798	YER026C
OG0002196	-processed-gene-15.81-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.81&CDS=1-561	YDL200C
OG0002197	-processed-gene-15.43-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.43&CDS=1-774	YPR167C
OG0002198	-processed-gene-15.263-mRNA-1_1&gene=snap_masked-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.263&CDS=1-2763	YOL090W
OG0002199	-processed-gene-15.46-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-15.46&CDS=1-894	YAR015W
OG0002200	-processed-gene-0.6-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.6&CDS=1-1626	YCL038C
OG0002201	-processed-gene-0.102-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.102&CDS=1-714	YOR064C
OG0002202	-processed-gene-0.37-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.37&CDS=1-1494	YMR093W
OG0002203	-processed-gene-0.38-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.38&CDS=1-1737	YMR092C
OG0002204	-processed-gene-0.10-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.10&CDS=1-1584	YKR016W
OG0002205	-snap-gene-0.144-mRNA-1_1&gene=maker-gi|1002316128|dbj|BCGK01000002.1|-snap-gene-0.144&CDS=1-3519	YEL011W
OG0002206	-processed-gene-0.106-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.106&CDS=1-1848	YMR106C
OG0002207	-processed-gene-0.136-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.136&CDS=1-1101	YMR097C
OG0002208	-processed-gene-0.107-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.107&CDS=1-846	YKL110C
OG0002209	-processed-gene-0.41-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.41&CDS=1-729	YKL099C
OG0002210	-processed-gene-0.15-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.15&CDS=1-1758	YMR098C
OG0002211	-processed-gene-0.16-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.16&CDS=1-1074	YKL108W
OG0002212	-processed-gene-0.138-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.138&CDS=1-1467	YKR023W
OG0002213	-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.62&CDS=1-4347	YJL106W
OG0002214	-processed-gene-0.21-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.21&CDS=1-1026	YBR034C
OG0002215	-processed-gene-0.115-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.115&CDS=1-390	YCL033C
OG0002216	-processed-gene-0.43-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.43&CDS=1-939	YDL015C
OG0002217	-processed-gene-0.22-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.22&CDS=1-453	YOR298C-A
OG0002218	-processed-gene-0.44-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.44&CDS=1-1269	YIL042C
OG0002219	-augustus-gene-0.91-mRNA-1_1&gene=maker-gi|1002316128|dbj|BCGK01000002.1|-augustus-gene-0.91&CDS=1-4617	YER051W
OG0002220	-processed-gene-0.45-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.45&CDS=1-1248	YOL058W
OG0002221	-processed-gene-0.46-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.46&CDS=1-3195	YMR288W
OG0002222	-processed-gene-0.26-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.26&CDS=1-873	YHR187W
OG0002223	-processed-gene-0.143-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.143&CDS=1-1794	YHR188C
OG0002224	-processed-gene-0.27-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.27&CDS=1-2595	YGR188C
OG0002225	-processed-gene-0.28-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-0.28&CDS=1-1146	YGL153W
OG0002226	-processed-gene-1.2-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.2&CDS=1-3225	YDL102W
OG0002227	-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.109&CDS=1-3048	YNL202W
OG0002228	-processed-gene-1.65-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.65&CDS=1-2067	YDL119C
OG0002229	-processed-gene-1.92-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.92&CDS=1-876	YGL154C
OG0002230	-snap-gene-1.144-mRNA-1_1&gene=maker-gi|1002316128|dbj|BCGK01000002.1|-snap-gene-1.144&CDS=1-1485	YMR234W
OG0002231	-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.116&CDS=1-4704	YNR064C
OG0002232	-processed-gene-1.38-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.38&CDS=1-2403	YFL047W
OG0002233	-processed-gene-1.40-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.40&CDS=1-7260	YHR165C
OG0002234	-processed-gene-1.77-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.77&CDS=1-1689	YMR296C
OG0002235	-processed-gene-1.41-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.41&CDS=1-1677	YHR166C
OG0002236	-augustus-gene-1.52-mRNA-1_1&gene=maker-gi|1002316128|dbj|BCGK01000002.1|-augustus-gene-1.52&CDS=1-3246	YPR181C
OG0002237	-processed-gene-1.45-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.45&CDS=1-1965	YPR179C
OG0002238	-processed-gene-1.103-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.103&CDS=1-1410	YPR178W
OG0002239	-processed-gene-1.89-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.89&CDS=1-1902	YPR175W
OG0002240	-processed-gene-1.90-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.90&CDS=1-981	YPR176C
OG0002241	-processed-gene-1.105-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.105&CDS=1-2127	YER047C
OG0002242	-processed-gene-2.40-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.40&CDS=1-1368	YER048C
OG0002243	-processed-gene-2.91-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.91&CDS=1-264	YER048W-A
OG0002244	-processed-gene-2.93-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.93&CDS=1-3690	YMR218C
OG0002245	-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.23&CDS=1-3990	YDR311W
OG0002246	-processed-gene-2.44-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.44&CDS=1-585	YIL157C
OG0002247	-processed-gene-2.97-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.97&CDS=1-1050	YKR087C
OG0002248	-processed-gene-2.47-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.47&CDS=1-765	YOR077W
OG0002249	-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.25&CDS=1-5055	YKR080W
OG0002250	-augustus-gene-2.145-mRNA-1_1&gene=maker-gi|1002316128|dbj|BCGK01000002.1|-augustus-gene-2.145&CDS=1-3372	YHR064C
OG0002251	-processed-gene-2.71-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.71&CDS=1-627	YOR111W
OG0002252	-processed-gene-2.49-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.49&CDS=1-909	YKL095W
OG0002253	-processed-gene-2.73-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.73&CDS=1-1401	YNL071W
OG0002254	-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.29&CDS=1-2058	YIL134W
OG0002255	-processed-gene-2.102-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.102&CDS=1-5373	YER155C
OG0002256	-processed-gene-2.79-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.79&CDS=1-1083	YER154W
OG0002257	-processed-gene-2.80-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.80&CDS=1-3435	YLR383W
OG0002258	-processed-gene-2.81-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.81&CDS=1-1368	YDL238C
OG0002259	-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.34&CDS=1-627	YLR390W-A
OG0002260	-processed-gene-2.56-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.56&CDS=1-1128	YDR202C
OG0002261	-processed-gene-2.57-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.57&CDS=1-3183	YLR389C
OG0002262	-processed-gene-2.58-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.58&CDS=1-1809	YGL095C
OG0002263	-processed-gene-2.86-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.86&CDS=1-1107	YPL181W
OG0002264	-processed-gene-2.139-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.139&CDS=1-4608	YOR093C
OG0002265	-processed-gene-2.60-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-2.60&CDS=1-2004	YGR150C
OG0002266	-processed-gene-3.92-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.92&CDS=1-2439	YLR382C
OG0002267	-processed-gene-3.45-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.45&CDS=1-1158	YGL213C
OG0002268	-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.4&CDS=1-2445	YJL061W
OG0002269	-processed-gene-3.46-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.46&CDS=1-1074	YNL286W
OG0002270	-processed-gene-3.42-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.42&CDS=1-375	YBR269C
OG0002271	-processed-gene-3.43-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.43&CDS=1-1206	YBR271W
OG0002272	-augustus-gene-3.139-mRNA-1_1&gene=maker-gi|1002316128|dbj|BCGK01000002.1|-augustus-gene-3.139&CDS=1-2499	YJL060W
OG0002273	-processed-gene-3.47-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.47&CDS=1-1098	YBR249C
OG0002274	-processed-gene-3.73-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.73&CDS=1-1704	YJL071W
OG0002275	-snap-gene-3.1-mRNA-1_1&gene=maker-gi|1002316128|dbj|BCGK01000002.1|-snap-gene-3.1&CDS=1-603	YJL072C
OG0002276	-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.32&CDS=1-5067	YBR248C
OG0002277	-processed-gene-3.105-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.105&CDS=1-1728	YJL062W
OG0002278	-processed-gene-3.83-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.83&CDS=1-1101	YBR267W
OG0002279	-processed-gene-3.59-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.59&CDS=1-1611	YOR001W
OG0002280	-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.19&CDS=1-1230	YOL001W
OG0002281	-processed-gene-3.61-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.61&CDS=1-864	YMR178W
OG0002282	-processed-gene-3.87-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.87&CDS=1-2859	YOR335C
OG0002283	-processed-gene-3.62-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.62&CDS=1-1842	YGL073W
OG0002284	-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.2&CDS=1-3453	YFL053W
OG0002285	-processed-gene-4.47-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.47&CDS=1-2661	YML099C
OG0002286	-processed-gene-4.51-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.51&CDS=1-1569	YML130C
OG0002287	-processed-gene-4.52-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.52&CDS=1-1611	YGL078C
OG0002288	-augustus-gene-4.100-mRNA-1_1&gene=maker-gi|1002316128|dbj|BCGK01000002.1|-augustus-gene-4.100&CDS=1-5292	YGL094C
OG0002289	-processed-gene-4.138-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.138&CDS=1-189	YPL183W-A
OG0002290	-processed-gene-4.55-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.55&CDS=1-2814	YNL287W
OG0002291	-processed-gene-4.77-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.77&CDS=1-2262	YJL212C
OG0002292	-processed-gene-4.56-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.56&CDS=1-1389	YCR054C
OG0002293	-processed-gene-4.78-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.78&CDS=1-1554	YCR053W
OG0002294	-processed-gene-4.57-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.57&CDS=1-1158	YGR046W
OG0002295	-processed-gene-4.58-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.58&CDS=1-444	YMR263W
OG0002296	-processed-gene-4.59-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.59&CDS=1-594	YMR264W
OG0002297	-processed-gene-4.79-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.79&CDS=1-1329	YML102W
OG0002298	-processed-gene-4.82-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.82&CDS=1-1467	YGR009C
OG0002299	-processed-gene-4.83-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.83&CDS=1-453	YDL208W
OG0002300	-processed-gene-4.84-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.84&CDS=1-2817	YDR238C
OG0002301	-processed-gene-4.123-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.123&CDS=1-2166	YMR075W
OG0002302	-processed-gene-4.63-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.63&CDS=1-1308	YMR062C
OG0002303	-processed-gene-4.87-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.87&CDS=1-861	YDL114W
OG0002304	-processed-gene-4.89-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.89&CDS=1-627	YOR115C
OG0002305	-processed-gene-4.70-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.70&CDS=1-3735	YMR076C
OG0002306	-processed-gene-4.93-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.93&CDS=1-1413	YDL207W
OG0002307	-processed-gene-4.71-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.71&CDS=1-858	YDR237W
OG0002308	-augustus-gene-4.102-mRNA-1_1&gene=maker-gi|1002316128|dbj|BCGK01000002.1|-augustus-gene-4.102&CDS=1-1320	YGR044C
OG0002309	-processed-gene-4.133-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.133&CDS=1-1335	YDR235W
OG0002310	-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.44&CDS=1-1692	YDR236C
OG0002311	-processed-gene-4.135-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.135&CDS=1-1158	YPL020C
OG0002312	-processed-gene-4.98-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.98&CDS=1-2628	YMR302C
OG0002313	-processed-gene-4.99-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.99&CDS=1-1047	YGR028W
OG0002314	-processed-gene-4.75-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-4.75&CDS=1-2619	YLR336C
OG0002315	-processed-gene-5.100-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.100&CDS=1-5073	YFL008W
OG0002316	-processed-gene-5.3-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.3&CDS=1-2466	YDR464W
OG0002317	-processed-gene-5.99-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.99&CDS=1-966	YLR354C
OG0002318	-processed-gene-5.104-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.104&CDS=1-573	YPL010W
OG0002319	-processed-gene-5.105-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.105&CDS=1-795	YPL011C
OG0002320	-processed-gene-5.9-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.9&CDS=1-1548	YBR163W
OG0002321	-processed-gene-5.128-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.128&CDS=1-369	YMR123W
OG0002322	-processed-gene-5.108-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.108&CDS=1-1824	YER068W
OG0002323	-processed-gene-5.129-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.129&CDS=1-2826	YPL040C
OG0002324	-processed-gene-5.130-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.130&CDS=1-1386	YNR001C
OG0002325	-processed-gene-5.109-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.109&CDS=1-972	YIR026C
OG0002326	-processed-gene-5.132-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.132&CDS=1-1275	YNL119W
OG0002327	-processed-gene-5.110-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.110&CDS=1-342	YHR116W
OG0002328	-processed-gene-5.111-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.111&CDS=1-2742	YER114C
OG0002329	-processed-gene-5.112-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.112&CDS=1-1974	YBL084C
OG0002330	-processed-gene-5.113-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.113&CDS=1-1887	YER113C
OG0002331	-snap-gene-5.53-mRNA-1_1&gene=maker-gi|1002316128|dbj|BCGK01000002.1|-snap-gene-5.53&CDS=1-1095	YBR039W
OG0002332	-processed-gene-5.114-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.114&CDS=1-2865	YCR017C
OG0002333	-processed-gene-5.18-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.18&CDS=1-267	YNL122C
OG0002334	-augustus-gene-5.51-mRNA-1_1&gene=maker-gi|1002316128|dbj|BCGK01000002.1|-augustus-gene-5.51&CDS=1-4212	YNL123W
OG0002335	-processed-gene-5.20-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.20&CDS=1-5745	YHR120W
OG0002336	-processed-gene-5.137-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.137&CDS=1-1881	YNL124W
OG0002337	-processed-gene-5.119-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.119&CDS=1-1653	YEL063C
OG0002338	-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.92&CDS=1-663	YNL136W
OG0002339	-processed-gene-5.120-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.120&CDS=1-1395	YNL137C
OG0002340	-processed-gene-5.24-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.24&CDS=1-864	YNL063W
OG0002341	-processed-gene-5.139-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.139&CDS=1-1359	YNL062C
OG0002342	-processed-gene-5.122-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.122&CDS=1-1842	YNL061W
OG0002343	-processed-gene-5.43-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.43&CDS=1-2331	YNL059C
OG0002344	-processed-gene-5.123-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.123&CDS=1-1581	YNL138W
OG0002345	-processed-gene-5.125-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.125&CDS=1-690	YNL129W
OG0002346	-processed-gene-5.143-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-5.143&CDS=1-3129	YNL132W
OG0002347	-processed-gene-6.1-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-6.1&CDS=1-288	YBL026W
OG0002348	-processed-gene-6.119-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-6.119&CDS=1-1665	YBL020W
OG0002349	-processed-gene-6.2-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-6.2&CDS=1-732	YBL021C
OG0002350	-processed-gene-6.3-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-6.3&CDS=1-1989	YBL024W
