	Metschnikowia_drakensbergensis	Saccharomyces_cerevisiae
OG0002268	augustus_masked-draA_s70-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-draA_s70-processed-gene-0.159&CDS=1-1071	YKR071C
OG0002269	augustus_masked-draA_s70-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-draA_s70-processed-gene-0.136&CDS=1-1908	YIL144W
OG0002270	augustus_masked-draA_s70-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-draA_s70-processed-gene-0.161&CDS=1-552	YKR085C
OG0002271	augustus_masked-draA_s70-processed-gene-0.162-mRNA-1_1&gene=augustus_masked-draA_s70-processed-gene-0.162&CDS=1-657	YJL097W
OG0002272	augustus_masked-draA_s70-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-draA_s70-processed-gene-0.163&CDS=1-1539	YNL152W
OG0002273	augustus_masked-draA_s70-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-draA_s70-processed-gene-0.137&CDS=1-642	YNL151C
OG0002274	augustus_masked-draA_s70-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-draA_s70-processed-gene-0.164&CDS=1-1512	YPR137W
OG0002275	augustus_masked-draA_s70-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-draA_s70-processed-gene-0.165&CDS=1-393	YNL149C
OG0002276	augustus_masked-draA_s70-processed-gene-0.166-mRNA-1_1&gene=augustus_masked-draA_s70-processed-gene-0.166&CDS=1-717	YNL148C
OG0002277	maker-draA_s70-augustus-gene-0.174-mRNA-1_1&gene=maker-draA_s70-augustus-gene-0.174&CDS=1-399	YNL147W
OG0002278	augustus_masked-draA_s70-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-draA_s70-processed-gene-0.139&CDS=1-648	YHR128W
OG0002279	augustus_masked-draA_s70-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-draA_s70-processed-gene-0.168&CDS=1-468	YPR187W
OG0002280	augustus_masked-draA_s70-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-draA_s70-processed-gene-0.169&CDS=1-1119	YPR191W
OG0002281	augustus_masked-draA_s70-processed-gene-0.170-mRNA-1_1&gene=augustus_masked-draA_s70-processed-gene-0.170&CDS=1-1278	YLR459W
OG0002282	genemark-draA_s70-processed-gene-0.85-mRNA-1_1&gene=genemark-draA_s70-processed-gene-0.85&CDS=1-315	YPR182W
OG0002283	augustus_masked-draA_s70-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-draA_s70-processed-gene-0.172&CDS=1-669	YJR123W
OG0002284	augustus_masked-draA_s71-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.23&CDS=1-936	YBR037C
OG0002285	augustus_masked-draA_s71-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.4&CDS=1-1728	YPL208W
OG0002286	augustus_masked-draA_s71-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.24&CDS=1-576	YBR106W
OG0002287	augustus_masked-draA_s71-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.5&CDS=1-498	YMR022W
OG0002288	augustus_masked-draA_s71-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.7&CDS=1-435	YPL225W
OG0002289	augustus_masked-draA_s71-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.8&CDS=1-891	YMR029C
OG0002290	snap_masked-draA_s71-processed-gene-0.45-mRNA-1_1&gene=snap_masked-draA_s71-processed-gene-0.45&CDS=1-4161	YPL226W
OG0002291	augustus_masked-draA_s71-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.11&CDS=1-2664	YML093W
OG0002292	augustus_masked-draA_s71-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.26&CDS=1-1659	YML086C
OG0002293	augustus_masked-draA_s71-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.27&CDS=1-1851	YGL095C
OG0002294	augustus_masked-draA_s71-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.29&CDS=1-1140	YDR202C
OG0002295	augustus_masked-draA_s71-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.15&CDS=1-645	YLR390W-A
OG0002296	augustus_masked-draA_s71-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.16&CDS=1-1446	YDL238C
OG0002297	snap_masked-draA_s71-processed-gene-0.52-mRNA-1_1&gene=snap_masked-draA_s71-processed-gene-0.52&CDS=1-2994	YLR187W
OG0002298	augustus_masked-draA_s71-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.32&CDS=1-267	YDR510W
OG0002299	augustus_masked-draA_s71-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.18&CDS=1-1818	YNL279W
OG0002300	augustus_masked-draA_s71-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.33&CDS=1-1977	YNL218W
OG0002301	augustus_masked-draA_s71-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.19&CDS=1-852	YML060W
OG0002302	augustus_masked-draA_s71-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.21&CDS=1-816	YLR186W
OG0002303	augustus_masked-draA_s71-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.22&CDS=1-1215	YPR025C
OG0002304	maker-draA_s71-augustus-gene-1.248-mRNA-1_1&gene=maker-draA_s71-augustus-gene-1.248&CDS=1-912	YER055C
OG0002305	augustus_masked-draA_s71-processed-gene-1.176-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.176&CDS=1-1386	YDL147W
OG0002306	augustus_masked-draA_s71-processed-gene-1.211-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.211&CDS=1-777	YBR088C
OG0002307	augustus_masked-draA_s71-processed-gene-1.212-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.212&CDS=1-1062	YBR095C
OG0002308	augustus_masked-draA_s71-processed-gene-1.213-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.213&CDS=1-609	YPR051W
OG0002309	augustus_masked-draA_s71-processed-gene-1.180-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.180&CDS=1-1071	YKL060C
OG0002310	augustus_masked-draA_s71-processed-gene-1.214-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.214&CDS=1-321	YBR091C
OG0002311	augustus_masked-draA_s71-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.181&CDS=1-2166	YBR094W
OG0002312	snap_masked-draA_s71-processed-gene-1.95-mRNA-1_1&gene=snap_masked-draA_s71-processed-gene-1.95&CDS=1-2241	YKL054C
OG0002313	snap_masked-draA_s71-processed-gene-1.97-mRNA-1_1&gene=snap_masked-draA_s71-processed-gene-1.97&CDS=1-1362	YMR027W
OG0002314	genemark-draA_s71-processed-gene-1.48-mRNA-1_1&gene=genemark-draA_s71-processed-gene-1.48&CDS=1-363	YKL058W
OG0002315	snap_masked-draA_s71-processed-gene-1.99-mRNA-1_1&gene=snap_masked-draA_s71-processed-gene-1.99&CDS=1-1125	YMR028W
OG0002316	augustus_masked-draA_s71-processed-gene-1.185-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.185&CDS=1-1329	YKL059C
OG0002317	augustus_masked-draA_s71-processed-gene-1.217-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.217&CDS=1-1038	YPR127W
OG0002318	snap_masked-draA_s71-processed-gene-1.109-mRNA-1_1&gene=snap_masked-draA_s71-processed-gene-1.109&CDS=1-642	YPR113W
OG0002319	genemark-draA_s71-processed-gene-1.55-mRNA-1_1&gene=genemark-draA_s71-processed-gene-1.55&CDS=1-2511	YOR249C
OG0002320	genemark-draA_s71-processed-gene-1.56-mRNA-1_1&gene=genemark-draA_s71-processed-gene-1.56&CDS=1-1746	YFR021W
OG0002321	augustus_masked-draA_s71-processed-gene-1.191-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.191&CDS=1-3063	YFR010W
OG0002322	augustus_masked-draA_s71-processed-gene-1.192-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.192&CDS=1-303	YPL098C
OG0002323	maker-draA_s71-augustus-gene-1.253-mRNA-1_1&gene=maker-draA_s71-augustus-gene-1.253&CDS=1-3561	YFR009W
OG0002324	augustus_masked-draA_s71-processed-gene-1.194-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.194&CDS=1-1257	YNL042W
OG0002325	augustus_masked-draA_s71-processed-gene-1.227-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.227&CDS=1-1461	YIL104C
OG0002326	augustus_masked-draA_s71-processed-gene-1.195-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.195&CDS=1-1446	YIL103W
OG0002327	snap_masked-draA_s71-processed-gene-1.151-mRNA-1_1&gene=snap_masked-draA_s71-processed-gene-1.151&CDS=1-2283	YNL041C
OG0002328	snap_masked-draA_s71-processed-gene-1.152-mRNA-1_1&gene=snap_masked-draA_s71-processed-gene-1.152&CDS=1-1233	YIL101C
OG0002329	augustus_masked-draA_s71-processed-gene-1.230-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.230&CDS=1-249	YLR395C
OG0002330	snap_masked-draA_s71-processed-gene-1.117-mRNA-1_1&gene=snap_masked-draA_s71-processed-gene-1.117&CDS=1-183	YDL067C
OG0002331	augustus_masked-draA_s71-processed-gene-1.231-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.231&CDS=1-2229	YLR396C
OG0002332	maker-draA_s71-snap-gene-1.258-mRNA-1_1&gene=maker-draA_s71-snap-gene-1.258&CDS=1-2850	YJR019C
OG0002333	snap_masked-draA_s71-processed-gene-1.118-mRNA-1_1&gene=snap_masked-draA_s71-processed-gene-1.118&CDS=1-828	YGR096W
OG0002334	augustus_masked-draA_s71-processed-gene-1.197-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.197&CDS=1-3627	YEL031W
OG0002335	augustus_masked-draA_s71-processed-gene-1.239-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.239&CDS=1-3141	YGR094W
OG0002336	augustus_masked-draA_s71-processed-gene-1.240-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.240&CDS=1-1641	YGR091W
OG0002337	augustus_masked-draA_s71-processed-gene-1.200-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.200&CDS=1-717	YGR095C
OG0002338	augustus_masked-draA_s71-processed-gene-1.204-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.204&CDS=1-3207	YJR035W
OG0002339	augustus_masked-draA_s71-processed-gene-1.206-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.206&CDS=1-1533	YKL043W
OG0002340	augustus_masked-draA_s71-processed-gene-1.244-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.244&CDS=1-336	YMR039C
OG0002341	augustus_masked-draA_s71-processed-gene-1.246-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.246&CDS=1-1044	YMR041C
OG0002342	augustus_masked-draA_s71-processed-gene-1.208-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-1.208&CDS=1-1281	YMR034C
OG0002343	snap_masked-draA_s74-processed-gene-0.96-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-0.96&CDS=1-1068	YPL236C
OG0002344	augustus_masked-draA_s74-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-0.6&CDS=1-825	YPL246C
OG0002345	augustus_masked-draA_s74-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-0.26&CDS=1-1149	YMR203W
OG0002346	snap_masked-draA_s74-processed-gene-0.78-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-0.78&CDS=1-1431	YPL235W
OG0002347	augustus_masked-draA_s74-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-0.27&CDS=1-480	YPL234C
OG0002348	snap_masked-draA_s74-processed-gene-0.80-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-0.80&CDS=1-729	YJR050W
OG0002349	augustus_masked-draA_s74-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-0.14&CDS=1-4512	YPL242C
OG0002350	maker-draA_s74-snap-gene-0.35-mRNA-1_1&gene=maker-draA_s74-snap-gene-0.35&CDS=1-2505	YLR429W
OG0002351	augustus_masked-draA_s74-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-0.29&CDS=1-2148	YNR008W
OG0002352	augustus_masked-draA_s74-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-0.30&CDS=1-828	YNR007C
OG0002353	augustus_masked-draA_s74-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-0.16&CDS=1-648	YMR202W
OG0002354	augustus_masked-draA_s74-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-0.19&CDS=1-717	YMR200W
OG0002355	augustus_masked-draA_s74-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-0.20&CDS=1-2253	YNR006W
OG0002356	augustus_masked-draA_s74-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-0.32&CDS=1-585	YLR435W
OG0002357	maker-draA_s74-augustus-gene-0.4-mRNA-1_1&gene=maker-draA_s74-augustus-gene-0.4&CDS=1-3066	YML064C
OG0002358	augustus_masked-draA_s74-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-0.24&CDS=1-1275	YLR449W
OG0002359	genemark-draA_s74-processed-gene-1.80-mRNA-1_1&gene=genemark-draA_s74-processed-gene-1.80&CDS=1-987	YDR393W
OG0002360	augustus_masked-draA_s74-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.4&CDS=1-1326	YJL026W
OG0002361	augustus_masked-draA_s74-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.5&CDS=1-930	YOR006C
OG0002362	snap_masked-draA_s74-processed-gene-1.45-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-1.45&CDS=1-3555	YML002W
OG0002363	snap_masked-draA_s74-processed-gene-1.46-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-1.46&CDS=1-969	YOR007C
OG0002364	augustus_masked-draA_s74-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.20&CDS=1-1617	YBL061C
OG0002365	augustus_masked-draA_s74-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.21&CDS=1-714	YER100W
OG0002366	augustus_masked-draA_s74-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.9&CDS=1-312	YDR031W
OG0002367	augustus_masked-draA_s74-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.24&CDS=1-636	YLR250W
OG0002368	augustus_masked-draA_s74-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.10&CDS=1-546	YOR163W
OG0002369	augustus_masked-draA_s74-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.25&CDS=1-918	YOR164C
OG0002370	maker-draA_s74-augustus-gene-1.37-mRNA-1_1&gene=maker-draA_s74-augustus-gene-1.37&CDS=1-273	YFR049W
OG0002371	augustus_masked-draA_s74-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.12&CDS=1-828	YFR050C
OG0002372	augustus_masked-draA_s74-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.13&CDS=1-1080	YGL248W
OG0002373	augustus_masked-draA_s74-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.26&CDS=1-1707	YFR051C
OG0002374	snap_masked-draA_s74-processed-gene-1.54-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-1.54&CDS=1-273	YDL157C
OG0002375	augustus_masked-draA_s74-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.29&CDS=1-1302	YMR140W
OG0002376	augustus_masked-draA_s74-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.34&CDS=1-1077	YDR297W
OG0002377	augustus_masked-draA_s74-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.15&CDS=1-567	YKR068C
OG0002378	augustus_masked-draA_s74-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.18&CDS=1-519	YOR052C
OG0002379	augustus_masked-draA_s74-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-1.35&CDS=1-1353	YOR051C
OG0002380	snap_masked-draA_s74-processed-gene-2.81-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-2.81&CDS=1-1620	YKR069W
OG0002381	augustus_masked-draA_s74-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-2.8&CDS=1-1107	YKR070W
OG0002382	augustus_masked-draA_s74-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-2.9&CDS=1-1653	YML123C
OG0002383	augustus_masked-draA_s74-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-2.30&CDS=1-1620	YJL111W
OG0002384	augustus_masked-draA_s74-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-2.11&CDS=1-456	YBR122C
OG0002385	augustus_masked-draA_s74-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-2.32&CDS=1-2454	YJL204C
OG0002386	augustus_masked-draA_s74-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-2.13&CDS=1-1587	YKR002W
OG0002387	maker-draA_s74-augustus-gene-2.3-mRNA-1_1&gene=maker-draA_s74-augustus-gene-2.3&CDS=1-4002	YNL267W
OG0002388	augustus_masked-draA_s74-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-2.34&CDS=1-1497	YHR024C
OG0002389	augustus_masked-draA_s74-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-2.35&CDS=1-1356	YDR465C
OG0002390	snap_masked-draA_s74-processed-gene-2.88-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-2.88&CDS=1-1572	YHR007C
OG0002391	maker-draA_s74-augustus-gene-2.0-mRNA-1_1&gene=maker-draA_s74-augustus-gene-2.0&CDS=1-2412	YHR025W
OG0002392	augustus_masked-draA_s74-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-2.17&CDS=1-363	YKL160W
OG0002393	snap_masked-draA_s74-processed-gene-2.115-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-2.115&CDS=1-1671	YPR088C
OG0002394	augustus_masked-draA_s74-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-2.37&CDS=1-1722	YKL100C
OG0002395	augustus_masked-draA_s74-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-2.19&CDS=1-924	YBL032W
OG0002396	augustus_masked-draA_s74-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-2.38&CDS=1-1338	YKL069W
OG0002397	augustus_masked-draA_s74-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-2.20&CDS=1-2211	YOL063C
OG0002398	augustus_masked-draA_s74-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-2.21&CDS=1-1557	YKL089W
OG0002399	augustus_masked-draA_s74-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-2.39&CDS=1-693	YKL009W
OG0002400	maker-draA_s74-augustus-gene-2.4-mRNA-1_1&gene=maker-draA_s74-augustus-gene-2.4&CDS=1-2280	YDR129C
OG0002401	snap_masked-draA_s74-processed-gene-2.97-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-2.97&CDS=1-3210	YLR148W
OG0002402	snap_masked-draA_s74-processed-gene-2.98-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-2.98&CDS=1-2439	YCL054W
OG0002403	augustus_masked-draA_s74-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-2.23&CDS=1-1041	YPR086W
OG0002404	maker-draA_s74-augustus-gene-2.2-mRNA-1_1&gene=maker-draA_s74-augustus-gene-2.2&CDS=1-372	YDR529C
OG0002405	snap_masked-draA_s74-processed-gene-2.122-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-2.122&CDS=1-576	YLR348C
OG0002406	snap_masked-draA_s74-processed-gene-2.102-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-2.102&CDS=1-3072	YNL243W
OG0002407	snap_masked-draA_s74-processed-gene-2.123-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-2.123&CDS=1-546	YCL001W
OG0002408	augustus_masked-draA_s74-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-2.28&CDS=1-765	YOR194C
OG0002409	snap_masked-draA_s74-processed-gene-3.68-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-3.68&CDS=1-2931	YPL115C
OG0002410	snap_masked-draA_s74-processed-gene-3.69-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-3.69&CDS=1-2172	YPL116W
OG0002411	augustus_masked-draA_s74-processed-gene-3.138-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.138&CDS=1-1116	YOR196C
OG0002412	augustus_masked-draA_s74-processed-gene-3.139-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.139&CDS=1-846	YPL117C
OG0002413	augustus_masked-draA_s74-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.135&CDS=1-1329	YOR198C
OG0002414	snap_masked-draA_s74-processed-gene-3.66-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-3.66&CDS=1-1104	YMR310C
OG0002415	maker-draA_s74-augustus-gene-3.193-mRNA-1_1&gene=maker-draA_s74-augustus-gene-3.193&CDS=1-921	YGR282C
OG0002416	genemark-draA_s74-processed-gene-3.39-mRNA-1_1&gene=genemark-draA_s74-processed-gene-3.39&CDS=1-1338	YGR189C
OG0002417	augustus_masked-draA_s74-processed-gene-3.140-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.140&CDS=1-3078	YPR026W
OG0002418	augustus_masked-draA_s74-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.141&CDS=1-1518	YMR171C
OG0002419	augustus_masked-draA_s74-processed-gene-3.170-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.170&CDS=1-2034	YCR088W
OG0002420	augustus_masked-draA_s74-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.143&CDS=1-2055	YOL057W
OG0002421	snap_masked-draA_s74-processed-gene-3.105-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-3.105&CDS=1-180	YPL271W
OG0002422	augustus_masked-draA_s74-processed-gene-3.172-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.172&CDS=1-3111	YEL055C
OG0002423	augustus_masked-draA_s74-processed-gene-3.173-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.173&CDS=1-1035	YJR105W
OG0002424	augustus_masked-draA_s74-processed-gene-3.146-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.146&CDS=1-873	YJR116W
OG0002425	augustus_masked-draA_s74-processed-gene-3.147-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.147&CDS=1-618	YFL038C
OG0002426	augustus_masked-draA_s74-processed-gene-3.148-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.148&CDS=1-1440	YER021W
OG0002427	genemark-draA_s74-processed-gene-3.18-mRNA-1_1&gene=genemark-draA_s74-processed-gene-3.18&CDS=1-1719	YER022W
OG0002428	augustus_masked-draA_s74-processed-gene-3.175-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.175&CDS=1-501	YJR118C
OG0002429	augustus_masked-draA_s74-processed-gene-3.151-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.151&CDS=1-780	YMR149W
OG0002430	augustus_masked-draA_s74-processed-gene-3.176-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.176&CDS=1-570	YMR150C
OG0002431	augustus_masked-draA_s74-processed-gene-3.152-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.152&CDS=1-1647	YOR037W
OG0002432	augustus_masked-draA_s74-processed-gene-3.153-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.153&CDS=1-3333	YKL033W
OG0002433	maker-draA_s74-augustus-gene-3.197-mRNA-1_1&gene=maker-draA_s74-augustus-gene-3.197&CDS=1-1185	YBR282W
OG0002434	maker-draA_s74-snap-gene-3.131-mRNA-1_1&gene=maker-draA_s74-snap-gene-3.131&CDS=1-1614	YDR517W
OG0002435	snap_masked-draA_s74-processed-gene-3.89-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-3.89&CDS=1-1035	YCR019W
OG0002436	augustus_masked-draA_s74-processed-gene-3.156-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.156&CDS=1-1203	YML018C
OG0002437	augustus_masked-draA_s74-processed-gene-3.157-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.157&CDS=1-2178	YML021C
OG0002438	snap_masked-draA_s74-processed-gene-3.116-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-3.116&CDS=1-3519	YDR440W
OG0002439	snap_masked-draA_s74-processed-gene-3.117-mRNA-1_1&gene=snap_masked-draA_s74-processed-gene-3.117&CDS=1-2520	YML020W
OG0002440	augustus_masked-draA_s74-processed-gene-3.183-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.183&CDS=1-636	YML012W
OG0002441	augustus_masked-draA_s74-processed-gene-3.161-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.161&CDS=1-210	YML009C
OG0002442	augustus_masked-draA_s74-processed-gene-3.184-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.184&CDS=1-3078	YDR430C
OG0002443	augustus_masked-draA_s74-processed-gene-3.163-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.163&CDS=1-3471	YNL329C
OG0002444	augustus_masked-draA_s74-processed-gene-3.186-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.186&CDS=1-429	YNL328C
OG0002445	augustus_masked-draA_s74-processed-gene-3.164-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.164&CDS=1-1512	YAL038W
OG0002446	augustus_masked-draA_s74-processed-gene-3.165-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.165&CDS=1-954	YML110C
OG0002447	augustus_masked-draA_s74-processed-gene-3.166-mRNA-1_1&gene=augustus_masked-draA_s74-processed-gene-3.166&CDS=1-1074	YLR291C
