	Cyberlindnera_jadinii	Saccharomyces_cerevisiae
OG0002659	genemark-scaffold_3-processed-gene-9.141-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.141&CDS=1-2013	YLR117C
OG0002660	genemark-scaffold_3-processed-gene-9.124-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.124&CDS=1-645	YDR140W
OG0002661	maker-scaffold_3-augustus-gene-9.156-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-9.156&CDS=1-5496	YDR141C
OG0002662	genemark-scaffold_3-processed-gene-9.145-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.145&CDS=1-1029	YDR142C
OG0002663	genemark-scaffold_3-processed-gene-9.126-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.126&CDS=1-2556	YLL032C
OG0002664	genemark-scaffold_3-processed-gene-9.127-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.127&CDS=1-2934	YLL031C
OG0002665	genemark-scaffold_3-processed-gene-9.147-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.147&CDS=1-2283	YLR115W
OG0002666	genemark-scaffold_3-processed-gene-10.179-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.179&CDS=1-1155	YIL042C
OG0002667	genemark-scaffold_3-processed-gene-10.184-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.184&CDS=1-453	YER050C
OG0002668	genemark-scaffold_3-processed-gene-10.180-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.180&CDS=1-1449	YER051W
OG0002669	genemark-scaffold_3-processed-gene-10.185-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.185&CDS=1-1113	YIL044C
OG0002670	genemark-scaffold_3-processed-gene-10.182-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.182&CDS=1-885	YEL009C
OG0002671	genemark-scaffold_3-processed-gene-10.224-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.224&CDS=1-2067	YHL023C
OG0002672	genemark-scaffold_3-processed-gene-10.188-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.188&CDS=1-333	YDR115W
OG0002673	genemark-scaffold_3-processed-gene-10.190-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.190&CDS=1-1605	YDR116C
OG0002674	genemark-scaffold_3-processed-gene-10.228-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.228&CDS=1-1725	YDR117C
OG0002675	genemark-scaffold_3-processed-gene-10.191-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.191&CDS=1-1896	YDR118W
OG0002676	genemark-scaffold_3-processed-gene-10.192-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.192&CDS=1-1089	YDR158W
OG0002677	augustus_masked-scaffold_3-processed-gene-10.100-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.100&CDS=1-807	YLR137W
OG0002678	genemark-scaffold_3-processed-gene-10.230-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.230&CDS=1-438	YDL125C
OG0002679	genemark-scaffold_3-processed-gene-10.232-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.232&CDS=1-591	YOR236W
OG0002680	genemark-scaffold_3-processed-gene-10.195-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.195&CDS=1-1272	YPL146C
OG0002681	genemark-scaffold_3-processed-gene-10.196-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.196&CDS=1-756	YOR238W
OG0002682	genemark-scaffold_3-processed-gene-10.233-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.233&CDS=1-2685	YPL147W
OG0002683	genemark-scaffold_3-processed-gene-10.234-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.234&CDS=1-4341	YIR006C
OG0002684	genemark-scaffold_3-processed-gene-10.197-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.197&CDS=1-1098	YOL107W
OG0002685	snap_masked-scaffold_3-processed-gene-10.64-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.64&CDS=1-2193	YBL105C
OG0002686	genemark-scaffold_3-processed-gene-10.198-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.198&CDS=1-612	YER063W
OG0002687	genemark-scaffold_3-processed-gene-10.200-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.200&CDS=1-1650	YER065C
OG0002688	genemark-scaffold_3-processed-gene-10.239-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.239&CDS=1-2538	YHR102W
OG0002689	genemark-scaffold_3-processed-gene-10.240-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.240&CDS=1-1704	YNL272C
OG0002690	genemark-scaffold_3-processed-gene-10.242-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.242&CDS=1-999	YHR040W
OG0002691	genemark-scaffold_3-processed-gene-10.207-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.207&CDS=1-753	YHR038W
OG0002692	genemark-scaffold_3-processed-gene-10.243-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.243&CDS=1-1890	YHR039C
OG0002693	augustus_masked-scaffold_3-processed-gene-10.150-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.150&CDS=1-1416	YDR052C
OG0002694	genemark-scaffold_3-processed-gene-10.208-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.208&CDS=1-1911	YOL023W
OG0002695	genemark-scaffold_3-processed-gene-10.245-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.245&CDS=1-1215	YOL022C
OG0002696	genemark-scaffold_3-processed-gene-10.246-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.246&CDS=1-339	YHR039C-A
OG0002697	augustus_masked-scaffold_3-processed-gene-10.154-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.154&CDS=1-333	YHR087W
OG0002698	genemark-scaffold_3-processed-gene-10.210-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.210&CDS=1-1935	YDR333C
OG0002699	genemark-scaffold_3-processed-gene-10.250-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.250&CDS=1-4563	YDR334W
OG0002700	genemark-scaffold_3-processed-gene-10.251-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.251&CDS=1-3987	YCR042C
OG0002701	augustus_masked-scaffold_3-processed-gene-10.120-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.120&CDS=1-2823	YGL077C
OG0002702	genemark-scaffold_3-processed-gene-10.252-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.252&CDS=1-1401	YCL027W
OG0002703	genemark-scaffold_3-processed-gene-10.216-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.216&CDS=1-1053	YCL059C
OG0002704	genemark-scaffold_3-processed-gene-10.217-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.217&CDS=1-2814	YNL267W
OG0002705	genemark-scaffold_3-processed-gene-10.253-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.253&CDS=1-3633	YCL061C
OG0002706	genemark-scaffold_3-processed-gene-10.256-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.256&CDS=1-2187	YDR499W
OG0002707	genemark-scaffold_3-processed-gene-10.219-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.219&CDS=1-738	YLR186W
OG0002708	genemark-scaffold_3-processed-gene-10.220-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.220&CDS=1-2196	YNL279W
OG0002709	augustus_masked-scaffold_3-processed-gene-10.126-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.126&CDS=1-306	YDR510W
OG0002710	genemark-scaffold_30-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_30-processed-gene-0.4&CDS=1-2793	YGL093W
OG0002711	genemark-scaffold_30-processed-gene-0.10-mRNA-1_1&gene=genemark-scaffold_30-processed-gene-0.10&CDS=1-774	YIL003W
OG0002712	genemark-scaffold_32-processed-gene-0.21-mRNA-1_1&gene=genemark-scaffold_32-processed-gene-0.21&CDS=1-648	YGL240W
OG0002713	genemark-scaffold_32-processed-gene-0.22-mRNA-1_1&gene=genemark-scaffold_32-processed-gene-0.22&CDS=1-888	YFR047C
OG0002714	augustus_masked-scaffold_32-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scaffold_32-processed-gene-0.10&CDS=1-2280	YMR300C
OG0002715	genemark-scaffold_36-processed-gene-0.12-mRNA-1_1&gene=genemark-scaffold_36-processed-gene-0.12&CDS=1-615	YIL010W
OG0002716	maker-scaffold_4-augustus-gene-0.87-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-0.87&CDS=1-3699	YGL156W
OG0002717	augustus_masked-scaffold_4-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.76&CDS=1-939	YGL155W
OG0002718	genemark-scaffold_4-processed-gene-0.102-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.102&CDS=1-462	YJR104C
OG0002719	genemark-scaffold_4-processed-gene-0.104-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.104&CDS=1-636	YBL040C
OG0002720	genemark-scaffold_4-processed-gene-0.105-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.105&CDS=1-2772	YJL084C
OG0002721	snap_masked-scaffold_4-processed-gene-0.36-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.36&CDS=1-1818	YJL085W
OG0002722	maker-scaffold_4-snap-gene-0.141-mRNA-1_1&gene=maker-scaffold_4-snap-gene-0.141&CDS=1-1110	YGL098W
OG0002723	genemark-scaffold_4-processed-gene-0.109-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.109&CDS=1-2208	YLL004W
OG0002724	genemark-scaffold_4-processed-gene-0.112-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.112&CDS=1-972	YPL118W
OG0002725	genemark-scaffold_4-processed-gene-0.132-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.132&CDS=1-678	YOR202W
OG0002726	genemark-scaffold_4-processed-gene-0.113-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.113&CDS=1-1194	YOR201C
OG0002727	snap_masked-scaffold_4-processed-gene-0.22-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.22&CDS=1-4668	YOR326W
OG0002728	augustus_masked-scaffold_4-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.83&CDS=1-2706	YOL137W
OG0002729	snap_masked-scaffold_4-processed-gene-0.44-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.44&CDS=1-261	YGL220W
OG0002730	genemark-scaffold_4-processed-gene-0.116-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.116&CDS=1-813	YGL221C
OG0002731	genemark-scaffold_4-processed-gene-0.119-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.119&CDS=1-894	YFR041C
OG0002732	genemark-scaffold_4-processed-gene-1.91-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.91&CDS=1-1992	YJL101C
OG0002733	genemark-scaffold_4-processed-gene-1.95-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.95&CDS=1-1350	YER043C
OG0002734	genemark-scaffold_4-processed-gene-1.92-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.92&CDS=1-1899	YBR223C
OG0002735	genemark-scaffold_4-processed-gene-1.111-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.111&CDS=1-579	YPL178W
OG0002736	genemark-scaffold_4-processed-gene-1.98-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.98&CDS=1-4170	YBR115C
OG0002737	genemark-scaffold_4-processed-gene-1.112-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.112&CDS=1-2415	YBR114W
OG0002738	augustus_masked-scaffold_4-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.24&CDS=1-372	YPR073C
OG0002739	genemark-scaffold_4-processed-gene-1.116-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.116&CDS=1-2043	YPR074C
OG0002740	genemark-scaffold_4-processed-gene-1.117-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.117&CDS=1-3708	YOL051W
OG0002741	genemark-scaffold_4-processed-gene-1.102-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.102&CDS=1-1950	YDL057W
OG0002742	genemark-scaffold_4-processed-gene-1.104-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.104&CDS=1-1020	YFR044C
OG0002743	genemark-scaffold_4-processed-gene-1.120-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.120&CDS=1-1461	YCR045C
OG0002744	augustus_masked-scaffold_4-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.30&CDS=1-753	YMR069W
OG0002745	genemark-scaffold_4-processed-gene-1.124-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.124&CDS=1-2187	YAL043C
OG0002746	genemark-scaffold_4-processed-gene-1.108-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.108&CDS=1-774	YPL121C
OG0002747	genemark-scaffold_4-processed-gene-1.128-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.128&CDS=1-3450	YOR207C
OG0002748	genemark-scaffold_4-processed-gene-1.109-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.109&CDS=1-1452	YPL122C
OG0002749	genemark-scaffold_4-processed-gene-1.129-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.129&CDS=1-861	YJR096W
OG0002750	genemark-scaffold_4-processed-gene-1.110-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.110&CDS=1-2568	YNL118C
OG0002751	genemark-scaffold_4-processed-gene-1.131-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.131&CDS=1-1359	YGL012W
OG0002752	genemark-scaffold_4-processed-gene-2.5-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.5&CDS=1-1161	YNL175C
OG0002753	maker-scaffold_4-augustus-gene-2.0-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-2.0&CDS=1-846	YBR047W
OG0002754	genemark-scaffold_4-processed-gene-2.9-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.9&CDS=1-759	YGR127W
OG0002755	snap_masked-scaffold_4-processed-gene-2.55-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.55&CDS=1-909	YPR147C
OG0002756	genemark-scaffold_4-processed-gene-2.14-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.14&CDS=1-867	YNL177C
OG0002757	genemark-scaffold_4-processed-gene-2.15-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.15&CDS=1-2808	YIL075C
OG0002758	genemark-scaffold_4-processed-gene-2.36-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.36&CDS=1-1413	YER081W
OG0002759	genemark-scaffold_4-processed-gene-2.16-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.16&CDS=1-669	YLL038C
OG0002760	augustus_masked-scaffold_4-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.118&CDS=1-5982	YHL030W
OG0002761	genemark-scaffold_4-processed-gene-2.20-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.20&CDS=1-1902	YBL097W
OG0002762	genemark-scaffold_4-processed-gene-2.40-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.40&CDS=1-2331	YGL009C
OG0002763	genemark-scaffold_4-processed-gene-2.22-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.22&CDS=1-1410	YMR068W
OG0002764	maker-scaffold_4-snap-gene-2.129-mRNA-1_1&gene=maker-scaffold_4-snap-gene-2.129&CDS=1-2892	YOR355W
OG0002765	genemark-scaffold_4-processed-gene-2.27-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.27&CDS=1-1950	YOR356W
OG0002766	genemark-scaffold_4-processed-gene-2.42-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.42&CDS=1-2298	YAL041W
OG0002767	genemark-scaffold_4-processed-gene-2.43-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.43&CDS=1-1008	YPR110C
OG0002768	genemark-scaffold_4-processed-gene-2.45-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.45&CDS=1-1233	YIL022W
OG0002769	genemark-scaffold_4-processed-gene-2.46-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.46&CDS=1-1710	YIL030C
OG0002770	genemark-scaffold_4-processed-gene-2.32-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.32&CDS=1-3510	YGR090W
OG0002771	genemark-scaffold_4-processed-gene-2.33-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.33&CDS=1-1209	YAL042W
OG0002772	genemark-scaffold_4-processed-gene-2.35-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.35&CDS=1-2832	YPR091C
OG0002773	maker-scaffold_4-snap-gene-3.2-mRNA-1_1&gene=maker-scaffold_4-snap-gene-3.2&CDS=1-7113	YBR136W
OG0002774	genemark-scaffold_4-processed-gene-3.16-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.16&CDS=1-1935	YBR133C
OG0002775	genemark-scaffold_4-processed-gene-3.19-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.19&CDS=1-762	YOR344C
OG0002776	genemark-scaffold_4-processed-gene-3.21-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.21&CDS=1-1626	YPR088C
OG0002777	genemark-scaffold_4-processed-gene-3.43-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.43&CDS=1-1269	YPR085C
OG0002778	genemark-scaffold_4-processed-gene-3.44-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.44&CDS=1-924	YLR348C
OG0002779	genemark-scaffold_4-processed-gene-3.48-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.48&CDS=1-738	YNL245C
OG0002780	genemark-scaffold_4-processed-gene-3.49-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.49&CDS=1-324	YNL244C
OG0002781	genemark-scaffold_4-processed-gene-3.25-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.25&CDS=1-3138	YNL243W
OG0002782	genemark-scaffold_4-processed-gene-3.51-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.51&CDS=1-843	YNL246W
OG0002783	augustus_masked-scaffold_4-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.89&CDS=1-1239	YNL248C
OG0002784	genemark-scaffold_4-processed-gene-3.27-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.27&CDS=1-501	YJR097W
OG0002785	genemark-scaffold_4-processed-gene-3.53-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.53&CDS=1-1812	YJR098C
OG0002786	genemark-scaffold_4-processed-gene-3.28-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.28&CDS=1-1590	YNL249C
OG0002787	genemark-scaffold_4-processed-gene-3.54-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.54&CDS=1-3894	YNL250W
OG0002788	genemark-scaffold_4-processed-gene-3.29-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.29&CDS=1-2265	YNL247W
OG0002789	augustus_masked-scaffold_4-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.71&CDS=1-2586	YNL252C
OG0002790	genemark-scaffold_4-processed-gene-3.33-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.33&CDS=1-1203	YNL254C
OG0002791	genemark-scaffold_4-processed-gene-3.56-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.56&CDS=1-2349	YNL256W
OG0002792	genemark-scaffold_4-processed-gene-3.35-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.35&CDS=1-2403	YGR255C
OG0002793	augustus_masked-scaffold_4-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.75&CDS=1-1215	YDR058C
OG0002794	genemark-scaffold_4-processed-gene-4.16-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.16&CDS=1-2445	YDR258C
OG0002795	genemark-scaffold_4-processed-gene-4.42-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.42&CDS=1-378	YDR529C
OG0002796	augustus_masked-scaffold_4-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.87&CDS=1-4032	YBR087W
OG0002797	genemark-scaffold_4-processed-gene-4.43-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.43&CDS=1-663	YBL038W
OG0002798	genemark-scaffold_4-processed-gene-4.24-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.24&CDS=1-1356	YPR047W
OG0002799	genemark-scaffold_4-processed-gene-4.44-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.44&CDS=1-1977	YDR520C
OG0002800	genemark-scaffold_4-processed-gene-4.25-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.25&CDS=1-2202	YBR098W
OG0002801	genemark-scaffold_4-processed-gene-4.46-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.46&CDS=1-849	YBR101C
OG0002802	genemark-scaffold_4-processed-gene-4.26-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.26&CDS=1-1137	YPR056W
OG0002803	genemark-scaffold_4-processed-gene-4.49-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.49&CDS=1-1560	YBR103W
OG0002804	genemark-scaffold_4-processed-gene-4.27-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.27&CDS=1-309	YHL018W
OG0002805	genemark-scaffold_4-processed-gene-4.50-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.50&CDS=1-714	YKL040C
OG0002806	genemark-scaffold_4-processed-gene-4.28-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.28&CDS=1-609	YKL119C
OG0002807	genemark-scaffold_4-processed-gene-4.33-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.33&CDS=1-453	YPR062W
OG0002808	genemark-scaffold_4-processed-gene-4.55-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.55&CDS=1-393	YPR063C
OG0002809	genemark-scaffold_4-processed-gene-4.56-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.56&CDS=1-3486	YPR049C
OG0002810	genemark-scaffold_4-processed-gene-4.34-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.34&CDS=1-519	YPR051W
OG0002811	genemark-scaffold_4-processed-gene-4.57-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.57&CDS=1-774	YBR088C
OG0002812	genemark-scaffold_4-processed-gene-4.35-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.35&CDS=1-1050	YBR095C
OG0002813	genemark-scaffold_4-processed-gene-4.58-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.58&CDS=1-2118	YBR094W
OG0002814	maker-scaffold_4-snap-gene-4.69-mRNA-1_1&gene=maker-scaffold_4-snap-gene-4.69&CDS=1-294	YBR091C
OG0002815	snap_masked-scaffold_4-processed-gene-4.170-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-4.170&CDS=1-2583	YDR524C
OG0002816	genemark-scaffold_4-processed-gene-4.38-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.38&CDS=1-240	YDR525W-A
OG0002817	genemark-scaffold_4-processed-gene-4.39-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.39&CDS=1-1269	YCL055W
OG0002818	genemark-scaffold_4-processed-gene-4.40-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.40&CDS=1-2466	YCL054W
OG0002819	genemark-scaffold_4-processed-gene-5.11-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.11&CDS=1-315	YER159C
OG0002820	genemark-scaffold_4-processed-gene-5.13-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.13&CDS=1-2160	YDR109C
OG0002821	genemark-scaffold_4-processed-gene-5.14-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.14&CDS=1-1401	YDR105C
OG0002822	genemark-scaffold_4-processed-gene-5.15-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.15&CDS=1-1914	YDR108W
OG0002823	genemark-scaffold_4-processed-gene-5.36-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.36&CDS=1-3615	YLR084C
OG0002824	genemark-scaffold_4-processed-gene-5.37-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.37&CDS=1-1551	YDR168W
OG0002825	genemark-scaffold_4-processed-gene-5.20-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.20&CDS=1-1956	YDR208W
OG0002826	genemark-scaffold_4-processed-gene-5.21-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.21&CDS=1-2499	YDR166C
OG0002827	genemark-scaffold_4-processed-gene-5.22-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.22&CDS=1-2799	YLR148W
OG0002828	genemark-scaffold_4-processed-gene-5.23-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.23&CDS=1-573	YDR167W
OG0002829	genemark-scaffold_4-processed-gene-5.42-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.42&CDS=1-2172	YGR150C
OG0002830	augustus_masked-scaffold_4-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.108&CDS=1-2556	YDR083W
OG0002831	genemark-scaffold_4-processed-gene-5.26-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.26&CDS=1-2286	YER157W
OG0002832	genemark-scaffold_4-processed-gene-5.43-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.43&CDS=1-768	YDR079C-A
OG0002833	genemark-scaffold_4-processed-gene-5.27-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.27&CDS=1-1938	YDR081C
OG0002834	genemark-scaffold_4-processed-gene-5.44-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.44&CDS=1-333	YDR079W
OG0002835	genemark-scaffold_4-processed-gene-5.28-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.28&CDS=1-1026	YER156C
OG0002836	genemark-scaffold_4-processed-gene-5.29-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.29&CDS=1-5301	YER155C
OG0002837	genemark-scaffold_4-processed-gene-5.45-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.45&CDS=1-1092	YER154W
OG0002838	genemark-scaffold_4-processed-gene-5.46-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.46&CDS=1-1674	YOR128C
OG0002839	genemark-scaffold_4-processed-gene-5.31-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.31&CDS=1-1386	YAR018C
OG0002840	genemark-scaffold_4-processed-gene-5.47-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.47&CDS=1-903	YAR015W
OG0002841	genemark-scaffold_4-processed-gene-5.48-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.48&CDS=1-789	YER150W
OG0002842	genemark-scaffold_4-processed-gene-6.2-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.2&CDS=1-1284	YER152C
OG0002843	genemark-scaffold_4-processed-gene-6.3-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.3&CDS=1-1035	YMR244W
