	Eremothecium_sinecaudum	Saccharomyces_cerevisiae
OG0002798	augustus_masked-CP014246.1-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-5.24&CDS=1-417	YKR007W
OG0002799	augustus_masked-CP014246.1-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-5.25&CDS=1-1656	YKR008W
OG0002800	augustus_masked-CP014246.1-processed-gene-5.46-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-5.46&CDS=1-1932	YPR007C
OG0002801	augustus_masked-CP014246.1-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-5.26&CDS=1-690	YFR008W
OG0002802	augustus_masked-CP014246.1-processed-gene-5.47-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-5.47&CDS=1-1902	YGR054W
OG0002803	augustus_masked-CP014246.1-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-5.27&CDS=1-657	YGR053C
OG0002804	augustus_masked-CP014246.1-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-5.28&CDS=1-1218	YLR355C
OG0002805	augustus_masked-CP014246.1-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-5.29&CDS=1-1017	YLR354C
OG0002806	snap_masked-CP014246.1-processed-gene-5.110-mRNA-1_1&gene=snap_masked-CP014246.1-processed-gene-5.110&CDS=1-621	YGR042W
OG0002807	augustus_masked-CP014246.1-processed-gene-5.50-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-5.50&CDS=1-2448	YLR352W
OG0002808	augustus_masked-CP014246.1-processed-gene-5.51-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-5.51&CDS=1-1092	YGR040W
OG0002809	augustus_masked-CP014246.1-processed-gene-5.30-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-5.30&CDS=1-873	YLR351C
OG0002810	augustus_masked-CP014246.1-processed-gene-5.52-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-5.52&CDS=1-597	YGR038W
OG0002811	maker-CP014246.1-augustus-gene-5.1-mRNA-1_1&gene=maker-CP014246.1-augustus-gene-5.1&CDS=1-267	YGR037C
OG0002812	augustus_masked-CP014246.1-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-5.32&CDS=1-2583	YLR347C
OG0002813	genemark-CP014246.1-processed-gene-5.150-mRNA-1_1&gene=genemark-CP014246.1-processed-gene-5.150&CDS=1-705	YGR036C
OG0002814	augustus_masked-CP014246.1-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-5.53&CDS=1-1701	YLR345W
OG0002815	augustus_masked-CP014246.1-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-5.34&CDS=1-615	YGR033C
OG0002816	augustus_masked-CP014246.1-processed-gene-6.105-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.105&CDS=1-900	YGR031W
OG0002817	augustus_masked-CP014246.1-processed-gene-6.107-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.107&CDS=1-939	YLR340W
OG0002818	snap_masked-CP014246.1-processed-gene-6.53-mRNA-1_1&gene=snap_masked-CP014246.1-processed-gene-6.53&CDS=1-456	YGR030C
OG0002819	augustus_masked-CP014246.1-processed-gene-6.108-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.108&CDS=1-1647	YAR002W
OG0002820	augustus_masked-CP014246.1-processed-gene-6.109-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.109&CDS=1-1302	YAR003W
OG0002821	augustus_masked-CP014246.1-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.110&CDS=1-1659	YGL003C
OG0002822	augustus_masked-CP014246.1-processed-gene-6.132-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.132&CDS=1-1866	YAR007C
OG0002823	augustus_masked-CP014246.1-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.111&CDS=1-1965	YGL004C
OG0002824	augustus_masked-CP014246.1-processed-gene-6.133-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.133&CDS=1-3735	YGL006W
OG0002825	augustus_masked-CP014246.1-processed-gene-6.112-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.112&CDS=1-906	YAR008W
OG0002826	genemark-CP014246.1-processed-gene-6.33-mRNA-1_1&gene=genemark-CP014246.1-processed-gene-6.33&CDS=1-3432	YAL001C
OG0002827	augustus_masked-CP014246.1-processed-gene-6.113-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.113&CDS=1-735	YGR001C
OG0002828	augustus_masked-CP014246.1-processed-gene-6.114-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.114&CDS=1-1044	YGL001C
OG0002829	snap_masked-CP014246.1-processed-gene-6.88-mRNA-1_1&gene=snap_masked-CP014246.1-processed-gene-6.88&CDS=1-3690	YAL002W
OG0002830	augustus_masked-CP014246.1-processed-gene-6.137-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.137&CDS=1-612	YAL003W
OG0002831	augustus_masked-CP014246.1-processed-gene-6.115-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.115&CDS=1-1137	YLR321C
OG0002832	augustus_masked-CP014246.1-processed-gene-6.139-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.139&CDS=1-624	YGL020C
OG0002833	augustus_masked-CP014246.1-processed-gene-6.116-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.116&CDS=1-2565	YDR069C
OG0002834	augustus_masked-CP014246.1-processed-gene-6.117-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.117&CDS=1-597	YDR067C
OG0002835	augustus_masked-CP014246.1-processed-gene-6.140-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.140&CDS=1-1206	YER143W
OG0002836	augustus_masked-CP014246.1-processed-gene-6.141-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.141&CDS=1-1296	YER141W
OG0002837	augustus_masked-CP014246.1-processed-gene-6.142-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.142&CDS=1-3216	YBL022C
OG0002838	augustus_masked-CP014246.1-processed-gene-6.143-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.143&CDS=1-498	YBL021C
OG0002839	augustus_masked-CP014246.1-processed-gene-6.118-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.118&CDS=1-3123	YBL020W
OG0002840	snap_masked-CP014246.1-processed-gene-6.96-mRNA-1_1&gene=snap_masked-CP014246.1-processed-gene-6.96&CDS=1-372	YBL018C
OG0002841	augustus_masked-CP014246.1-processed-gene-6.119-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.119&CDS=1-1062	YBL016W
OG0002842	augustus_masked-CP014246.1-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.120&CDS=1-1572	YBL015W
OG0002843	augustus_masked-CP014246.1-processed-gene-6.121-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.121&CDS=1-543	YER134C
OG0002844	snap_masked-CP014246.1-processed-gene-6.74-mRNA-1_1&gene=snap_masked-CP014246.1-processed-gene-6.74&CDS=1-717	YGR161C
OG0002845	augustus_masked-CP014246.1-processed-gene-6.124-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.124&CDS=1-1275	YGR159C
OG0002846	augustus_masked-CP014246.1-processed-gene-6.125-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.125&CDS=1-1614	YGL045W
OG0002847	augustus_masked-CP014246.1-processed-gene-6.126-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.126&CDS=1-711	YGR158C
OG0002848	augustus_masked-CP014246.1-processed-gene-6.146-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.146&CDS=1-2547	YGR157W
OG0002849	augustus_masked-CP014246.1-processed-gene-6.147-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.147&CDS=1-1548	YLR314C
OG0002850	augustus_masked-CP014246.1-processed-gene-6.128-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.128&CDS=1-846	YLL023C
OG0002851	augustus_masked-CP014246.1-processed-gene-6.130-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-6.130&CDS=1-384	YGL191W
OG0002852	augustus_masked-CP014246.1-processed-gene-7.4-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.4&CDS=1-1359	YGL190C
OG0002853	snap_masked-CP014246.1-processed-gene-7.57-mRNA-1_1&gene=snap_masked-CP014246.1-processed-gene-7.57&CDS=1-462	YGL187C
OG0002854	genemark-CP014246.1-processed-gene-7.115-mRNA-1_1&gene=genemark-CP014246.1-processed-gene-7.115&CDS=1-1671	YHL029C
OG0002855	maker-CP014246.1-snap-gene-7.51-mRNA-1_1&gene=maker-CP014246.1-snap-gene-7.51&CDS=1-1275	YHL028W
OG0002856	augustus_masked-CP014246.1-processed-gene-7.3-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.3&CDS=1-3276	YLL035W
OG0002857	augustus_masked-CP014246.1-processed-gene-7.39-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.39&CDS=1-2490	YLL034C
OG0002858	augustus_masked-CP014246.1-processed-gene-7.40-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.40&CDS=1-2145	YLL032C
OG0002859	augustus_masked-CP014246.1-processed-gene-7.7-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.7&CDS=1-945	YHL025W
OG0002860	augustus_masked-CP014246.1-processed-gene-7.8-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.8&CDS=1-669	YER163C
OG0002861	augustus_masked-CP014246.1-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.9&CDS=1-1338	YER136W
OG0002862	maker-CP014246.1-augustus-gene-7.0-mRNA-1_1&gene=maker-CP014246.1-augustus-gene-7.0&CDS=1-285	YBL026W
OG0002863	augustus_masked-CP014246.1-processed-gene-7.41-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.41&CDS=1-384	YER137C
OG0002864	augustus_masked-CP014246.1-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.11&CDS=1-402	YBL025W
OG0002865	augustus_masked-CP014246.1-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.12&CDS=1-2052	YBL024W
OG0002866	augustus_masked-CP014246.1-processed-gene-7.42-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.42&CDS=1-2664	YBL023C
OG0002867	augustus_masked-CP014246.1-processed-gene-7.43-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.43&CDS=1-1503	YER140W
OG0002868	augustus_masked-CP014246.1-processed-gene-7.14-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.14&CDS=1-636	YER139C
OG0002869	augustus_masked-CP014246.1-processed-gene-7.44-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.44&CDS=1-903	YDR065W
OG0002870	augustus_masked-CP014246.1-processed-gene-7.15-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.15&CDS=1-1527	YCL004W
OG0002871	augustus_masked-CP014246.1-processed-gene-7.16-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.16&CDS=1-558	YCL001W
OG0002872	augustus_masked-CP014246.1-processed-gene-7.17-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.17&CDS=1-1170	YNL001W
OG0002873	augustus_masked-CP014246.1-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.45&CDS=1-987	YCR002C
OG0002874	augustus_masked-CP014246.1-processed-gene-7.18-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.18&CDS=1-543	YCR003W
OG0002875	augustus_masked-CP014246.1-processed-gene-7.46-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.46&CDS=1-1455	YNR001C
OG0002876	augustus_masked-CP014246.1-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.20&CDS=1-1905	YLR257W
OG0002877	augustus_masked-CP014246.1-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.22&CDS=1-2124	YLR258W
OG0002878	augustus_masked-CP014246.1-processed-gene-7.23-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.23&CDS=1-1359	YOL016C
OG0002879	augustus_masked-CP014246.1-processed-gene-7.24-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.24&CDS=1-747	YIR017C
OG0002880	augustus_masked-CP014246.1-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.47&CDS=1-2514	YOL036W
OG0002881	augustus_masked-CP014246.1-processed-gene-7.48-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.48&CDS=1-753	YOL038W
OG0002882	augustus_masked-CP014246.1-processed-gene-7.25-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.25&CDS=1-489	YOL026C
OG0002883	genemark-CP014246.1-processed-gene-7.160-mRNA-1_1&gene=genemark-CP014246.1-processed-gene-7.160&CDS=1-495	YIR015W
OG0002884	augustus_masked-CP014246.1-processed-gene-7.27-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.27&CDS=1-2223	YIR007W
OG0002885	augustus_masked-CP014246.1-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.28&CDS=1-1308	YIR008C
OG0002886	augustus_masked-CP014246.1-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.29&CDS=1-597	YER012W
OG0002887	augustus_masked-CP014246.1-processed-gene-7.31-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.31&CDS=1-1587	YER014W
OG0002888	augustus_masked-CP014246.1-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.32&CDS=1-336	YIR009W
OG0002889	augustus_masked-CP014246.1-processed-gene-7.33-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.33&CDS=1-1026	YER016W
OG0002890	genemark-CP014246.1-processed-gene-7.144-mRNA-1_1&gene=genemark-CP014246.1-processed-gene-7.144&CDS=1-867	YPR065W
OG0002891	genemark-CP014246.1-processed-gene-7.145-mRNA-1_1&gene=genemark-CP014246.1-processed-gene-7.145&CDS=1-939	YBR251W
OG0002892	augustus_masked-CP014246.1-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.35&CDS=1-1107	YGR112W
OG0002893	augustus_masked-CP014246.1-processed-gene-7.36-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.36&CDS=1-972	YGR113W
OG0002894	augustus_masked-CP014246.1-processed-gene-7.37-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-7.37&CDS=1-891	YPR124W
OG0002895	augustus_masked-CP014246.1-processed-gene-8.117-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.117&CDS=1-3297	YGR094W
OG0002896	augustus_masked-CP014246.1-processed-gene-8.120-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.120&CDS=1-645	YGR095C
OG0002897	maker-CP014246.1-augustus-gene-8.113-mRNA-1_1&gene=maker-CP014246.1-augustus-gene-8.113&CDS=1-1413	YPR113W
OG0002898	augustus_masked-CP014246.1-processed-gene-8.121-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.121&CDS=1-1569	YPR144C
OG0002899	augustus_masked-CP014246.1-processed-gene-8.119-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.119&CDS=1-1719	YGR124W
OG0002900	genemark-CP014246.1-processed-gene-8.6-mRNA-1_1&gene=genemark-CP014246.1-processed-gene-8.6&CDS=1-732	YGR267C
OG0002901	genemark-CP014246.1-processed-gene-8.30-mRNA-1_1&gene=genemark-CP014246.1-processed-gene-8.30&CDS=1-531	YGR268C
OG0002902	snap_masked-CP014246.1-processed-gene-8.61-mRNA-1_1&gene=snap_masked-CP014246.1-processed-gene-8.61&CDS=1-414	YMR292W
OG0002903	augustus_masked-CP014246.1-processed-gene-8.123-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.123&CDS=1-3852	YGR270W
OG0002904	augustus_masked-CP014246.1-processed-gene-8.141-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.141&CDS=1-1389	YMR293C
OG0002905	snap_masked-CP014246.1-processed-gene-8.63-mRNA-1_1&gene=snap_masked-CP014246.1-processed-gene-8.63&CDS=1-1092	YMR294W
OG0002906	augustus_masked-CP014246.1-processed-gene-8.143-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.143&CDS=1-1674	YMR296C
OG0002907	augustus_masked-CP014246.1-processed-gene-8.126-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.126&CDS=1-1566	YMR297W
OG0002908	augustus_masked-CP014246.1-processed-gene-8.127-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.127&CDS=1-384	YMR298W
OG0002909	augustus_masked-CP014246.1-processed-gene-8.144-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.144&CDS=1-3027	YGR274C
OG0002910	snap_masked-CP014246.1-processed-gene-8.67-mRNA-1_1&gene=snap_masked-CP014246.1-processed-gene-8.67&CDS=1-519	YGR275W
OG0002911	augustus_masked-CP014246.1-processed-gene-8.145-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.145&CDS=1-2067	YGR276C
OG0002912	augustus_masked-CP014246.1-processed-gene-8.146-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.146&CDS=1-1053	YMR299C
OG0002913	augustus_masked-CP014246.1-processed-gene-8.147-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.147&CDS=1-1524	YMR300C
OG0002914	augustus_masked-CP014246.1-processed-gene-8.148-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.148&CDS=1-2085	YMR301C
OG0002915	augustus_masked-CP014246.1-processed-gene-8.149-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.149&CDS=1-699	YMR314W
OG0002916	augustus_masked-CP014246.1-processed-gene-8.129-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.129&CDS=1-1746	YMR313C
OG0002917	snap_masked-CP014246.1-processed-gene-8.97-mRNA-1_1&gene=snap_masked-CP014246.1-processed-gene-8.97&CDS=1-798	YMR312W
OG0002918	augustus_masked-CP014246.1-processed-gene-8.130-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.130&CDS=1-1290	YGR285C
OG0002919	augustus_masked-CP014246.1-processed-gene-8.131-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.131&CDS=1-918	YGR284C
OG0002920	augustus_masked-CP014246.1-processed-gene-8.132-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.132&CDS=1-579	YMR311C
OG0002921	augustus_masked-CP014246.1-processed-gene-8.133-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.133&CDS=1-4671	YMR309C
OG0002922	maker-CP014246.1-augustus-gene-8.115-mRNA-1_1&gene=maker-CP014246.1-augustus-gene-8.115&CDS=1-4137	YMR308C
OG0002923	augustus_masked-CP014246.1-processed-gene-8.156-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.156&CDS=1-1617	YGR278W
OG0002924	augustus_masked-CP014246.1-processed-gene-8.136-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.136&CDS=1-855	YGR277C
OG0002925	augustus_masked-CP014246.1-processed-gene-8.157-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.157&CDS=1-3531	YMR304W
OG0002926	augustus_masked-CP014246.1-processed-gene-8.137-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.137&CDS=1-2406	YMR302C
OG0002927	augustus_masked-CP014246.1-processed-gene-8.158-mRNA-1_1&gene=augustus_masked-CP014246.1-processed-gene-8.158&CDS=1-1083	YML131W
OG0002928	augustus_masked-CP014247.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.53&CDS=1-663	YER183C
OG0002929	augustus_masked-CP014247.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.70&CDS=1-732	YER182W
OG0002930	augustus_masked-CP014247.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.54&CDS=1-1473	YHR207C
OG0002931	augustus_masked-CP014247.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.71&CDS=1-1467	YHR206W
OG0002932	genemark-CP014247.1-processed-gene-0.117-mRNA-1_1&gene=genemark-CP014247.1-processed-gene-0.117&CDS=1-2145	YHR205W
OG0002933	augustus_masked-CP014247.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.73&CDS=1-2367	YHR204W
OG0002934	augustus_masked-CP014247.1-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.74&CDS=1-1758	YHR202W
OG0002935	augustus_masked-CP014247.1-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.75&CDS=1-960	YOR142W
OG0002936	augustus_masked-CP014247.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.56&CDS=1-2316	YOR141C
OG0002937	augustus_masked-CP014247.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.77&CDS=1-1110	YOR136W
OG0002938	augustus_masked-CP014247.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.57&CDS=1-1863	YDR390C
OG0002939	augustus_masked-CP014247.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.78&CDS=1-2256	YDR389W
OG0002940	augustus_masked-CP014247.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.79&CDS=1-1245	YDR388W
OG0002941	augustus_masked-CP014247.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.81&CDS=1-1557	YOR132W
OG0002942	augustus_masked-CP014247.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.82&CDS=1-1044	YBR034C
OG0002943	augustus_masked-CP014247.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.83&CDS=1-609	YDR013W
OG0002944	snap_masked-CP014247.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-CP014247.1-processed-gene-0.16&CDS=1-1740	YDR014W
OG0002945	augustus_masked-CP014247.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.84&CDS=1-669	YBR035C
OG0002946	genemark-CP014247.1-processed-gene-0.131-mRNA-1_1&gene=genemark-CP014247.1-processed-gene-0.131&CDS=1-330	YDR016C
OG0002947	maker-CP014247.1-snap-gene-0.1-mRNA-1_1&gene=maker-CP014247.1-snap-gene-0.1&CDS=1-2313	YDR017C
OG0002948	augustus_masked-CP014247.1-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.61&CDS=1-873	YBR039W
OG0002949	augustus_masked-CP014247.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.62&CDS=1-879	YBR040W
OG0002950	augustus_masked-CP014247.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.63&CDS=1-2013	YBR041W
OG0002951	augustus_masked-CP014247.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.87&CDS=1-1101	YBR042C
OG0002952	augustus_masked-CP014247.1-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.88&CDS=1-2019	YBR043C
OG0002953	augustus_masked-CP014247.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.89&CDS=1-378	YOR122C
OG0002954	augustus_masked-CP014247.1-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.90&CDS=1-1365	YOR123C
OG0002955	augustus_masked-CP014247.1-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.66&CDS=1-1344	YDR371W
OG0002956	augustus_masked-CP014247.1-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.91&CDS=1-993	YDR372C
OG0002957	augustus_masked-CP014247.1-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.92&CDS=1-3762	YOR124C
OG0002958	augustus_masked-CP014247.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-0.67&CDS=1-570	YDR373W
OG0002959	augustus_masked-CP014247.1-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-1.4&CDS=1-693	YOR125C
OG0002960	augustus_masked-CP014247.1-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-1.5&CDS=1-876	YDR374C
OG0002961	augustus_masked-CP014247.1-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-1.6&CDS=1-2013	YLR207W
OG0002962	augustus_masked-CP014247.1-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-1.1&CDS=1-258	YDL160C-A
OG0002963	augustus_masked-CP014247.1-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-1.2&CDS=1-2082	YDL164C
OG0002964	augustus_masked-CP014247.1-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-1.3&CDS=1-1287	YLR203C
OG0002965	augustus_masked-CP014247.1-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-1.30&CDS=1-573	YDL165W
OG0002966	augustus_masked-CP014247.1-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-1.8&CDS=1-630	YDL166C
OG0002967	maker-CP014247.1-snap-gene-1.167-mRNA-1_1&gene=maker-CP014247.1-snap-gene-1.167&CDS=1-1494	YDL167C
OG0002968	augustus_masked-CP014247.1-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-1.31&CDS=1-1143	YDL168W
OG0002969	augustus_masked-CP014247.1-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-1.10&CDS=1-735	YLR201C
OG0002970	augustus_masked-CP014247.1-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-1.32&CDS=1-327	YLR200W
OG0002971	augustus_masked-CP014247.1-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-1.11&CDS=1-780	YLR199C
OG0002972	augustus_masked-CP014247.1-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-CP014247.1-processed-gene-1.33&CDS=1-1632	YLR197W
