	Metschnikowia_kamakouana	Saccharomyces_cerevisiae
OG0002580	snap_masked-kam_s4-processed-gene-1.120-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-1.120&CDS=1-954	YKR030W
OG0002581	snap_masked-kam_s4-processed-gene-1.144-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-1.144&CDS=1-678	YNL129W
OG0002582	snap_masked-kam_s4-processed-gene-2.4-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.4&CDS=1-798	YNL036W
OG0002583	snap_masked-kam_s4-processed-gene-2.8-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.8&CDS=1-669	YJL055W
OG0002584	snap_masked-kam_s4-processed-gene-2.6-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.6&CDS=1-801	YAL014C
OG0002585	snap_masked-kam_s4-processed-gene-2.9-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.9&CDS=1-420	YJR044C
OG0002586	snap_masked-kam_s4-processed-gene-2.7-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.7&CDS=1-1575	YOL033W
OG0002587	snap_masked-kam_s4-processed-gene-2.35-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.35&CDS=1-3237	YOL034W
OG0002588	maker-kam_s4-augustus-gene-2.56-mRNA-1_1&gene=maker-kam_s4-augustus-gene-2.56&CDS=1-993	YGL106W
OG0002589	augustus_masked-kam_s4-processed-gene-2.137-mRNA-1_1&gene=augustus_masked-kam_s4-processed-gene-2.137&CDS=1-2265	YNL001W
OG0002590	augustus_masked-kam_s4-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-kam_s4-processed-gene-2.122&CDS=1-1161	YGR029W
OG0002591	snap_masked-kam_s4-processed-gene-2.20-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.20&CDS=1-2736	YJL187C
OG0002592	snap_masked-kam_s4-processed-gene-2.43-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.43&CDS=1-4095	YER008C
OG0002593	snap_masked-kam_s4-processed-gene-2.44-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.44&CDS=1-633	YBR171W
OG0002594	snap_masked-kam_s4-processed-gene-2.47-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.47&CDS=1-717	YPL051W
OG0002595	snap_masked-kam_s4-processed-gene-2.24-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.24&CDS=1-1398	YER081W
OG0002596	snap_masked-kam_s4-processed-gene-2.25-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.25&CDS=1-2913	YIL075C
OG0002597	snap_masked-kam_s4-processed-gene-2.28-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.28&CDS=1-1617	YER014W
OG0002598	snap_masked-kam_s4-processed-gene-2.49-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.49&CDS=1-348	YIR009W
OG0002599	snap_masked-kam_s4-processed-gene-2.50-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.50&CDS=1-1158	YGL143C
OG0002600	snap_masked-kam_s4-processed-gene-2.51-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.51&CDS=1-1380	YDR316W
OG0002601	snap_masked-kam_s4-processed-gene-2.30-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.30&CDS=1-1272	YDL097C
OG0002602	snap_masked-kam_s4-processed-gene-2.52-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.52&CDS=1-2352	YDL116W
OG0002603	snap_masked-kam_s4-processed-gene-2.31-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.31&CDS=1-2088	YDL113C
OG0002604	snap_masked-kam_s4-processed-gene-2.32-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.32&CDS=1-4227	YDL112W
OG0002605	snap_masked-kam_s4-processed-gene-2.54-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-2.54&CDS=1-867	YDL111C
OG0002606	snap_masked-kam_s4-processed-gene-3.44-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-3.44&CDS=1-372	YDL092W
OG0002607	snap_masked-kam_s4-processed-gene-3.45-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-3.45&CDS=1-2613	YBR179C
OG0002608	snap_masked-kam_s4-processed-gene-3.43-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-3.43&CDS=1-642	YIR032C
OG0002609	snap_masked-kam_s4-processed-gene-3.48-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-3.48&CDS=1-2583	YGL233W
OG0002610	snap_masked-kam_s4-processed-gene-3.49-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-3.49&CDS=1-861	YMR314W
OG0002611	snap_masked-kam_s4-processed-gene-3.50-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-3.50&CDS=1-846	YGL232W
OG0002612	snap_masked-kam_s4-processed-gene-3.65-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-3.65&CDS=1-504	YGL231C
OG0002613	snap_masked-kam_s4-processed-gene-3.53-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-3.53&CDS=1-1191	YPL138C
OG0002614	snap_masked-kam_s4-processed-gene-3.66-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-3.66&CDS=1-1422	YDR403W
OG0002615	snap_masked-kam_s4-processed-gene-3.54-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-3.54&CDS=1-3195	YDR060W
OG0002616	augustus_masked-kam_s4-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-kam_s4-processed-gene-3.23&CDS=1-5319	YBL104C
OG0002617	snap_masked-kam_s4-processed-gene-3.57-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-3.57&CDS=1-3807	YFL036W
OG0002618	snap_masked-kam_s4-processed-gene-3.70-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-3.70&CDS=1-855	YFL034C-B
OG0002619	genemark-kam_s4-processed-gene-3.114-mRNA-1_1&gene=genemark-kam_s4-processed-gene-3.114&CDS=1-1809	YNL169C
OG0002620	genemark-kam_s4-processed-gene-3.115-mRNA-1_1&gene=genemark-kam_s4-processed-gene-3.115&CDS=1-5925	YOR187W
OG0002621	snap_masked-kam_s4-processed-gene-3.76-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-3.76&CDS=1-1161	YBR155W
OG0002622	snap_masked-kam_s4-processed-gene-3.59-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-3.59&CDS=1-1908	YLR299W
OG0002623	snap_masked-kam_s4-processed-gene-3.78-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-3.78&CDS=1-3687	YOR188W
OG0002624	genemark-kam_s4-processed-gene-3.122-mRNA-1_1&gene=genemark-kam_s4-processed-gene-3.122&CDS=1-3843	YJR131W
OG0002625	snap_masked-kam_s4-processed-gene-4.99-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.99&CDS=1-2445	YML076C
OG0002626	maker-kam_s4-snap-gene-4.146-mRNA-1_1&gene=maker-kam_s4-snap-gene-4.146&CDS=1-1467	YLR212C
OG0002627	snap_masked-kam_s4-processed-gene-4.129-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.129&CDS=1-1599	YER052C
OG0002628	snap_masked-kam_s4-processed-gene-4.107-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.107&CDS=1-1839	YER049W
OG0002629	snap_masked-kam_s4-processed-gene-4.130-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.130&CDS=1-2295	YLL013C
OG0002630	snap_masked-kam_s4-processed-gene-4.131-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.131&CDS=1-1305	YGR223C
OG0002631	genemark-kam_s4-processed-gene-4.75-mRNA-1_1&gene=genemark-kam_s4-processed-gene-4.75&CDS=1-2049	YKL022C
OG0002632	snap_masked-kam_s4-processed-gene-4.133-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.133&CDS=1-1101	YIR034C
OG0002633	snap_masked-kam_s4-processed-gene-4.134-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.134&CDS=1-1419	YJR003C
OG0002634	snap_masked-kam_s4-processed-gene-4.135-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.135&CDS=1-1824	YGR194C
OG0002635	snap_masked-kam_s4-processed-gene-4.138-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.138&CDS=1-4488	YPR184W
OG0002636	snap_masked-kam_s4-processed-gene-4.115-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.115&CDS=1-4836	YNL139C
OG0002637	snap_masked-kam_s4-processed-gene-4.139-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.139&CDS=1-1188	YPR186C
OG0002638	snap_masked-kam_s4-processed-gene-4.119-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.119&CDS=1-453	YDR397C
OG0002639	snap_masked-kam_s4-processed-gene-4.140-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.140&CDS=1-282	YER074W-A
OG0002640	snap_masked-kam_s4-processed-gene-4.121-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.121&CDS=1-1065	YGR048W
OG0002641	snap_masked-kam_s4-processed-gene-4.122-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.122&CDS=1-2688	YKL073W
OG0002642	snap_masked-kam_s4-processed-gene-4.123-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.123&CDS=1-1767	YKL074C
OG0002643	augustus_masked-kam_s4-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-kam_s4-processed-gene-4.39&CDS=1-858	YMR055C
OG0002644	snap_masked-kam_s4-processed-gene-4.124-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.124&CDS=1-861	YCL031C
OG0002645	snap_masked-kam_s4-processed-gene-4.125-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.125&CDS=1-807	YMR289W
OG0002646	snap_masked-kam_s4-processed-gene-4.145-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.145&CDS=1-1434	YJL025W
OG0002647	snap_masked-kam_s4-processed-gene-5.147-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.147&CDS=1-2148	YDR017C
OG0002648	snap_masked-kam_s4-processed-gene-5.146-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.146&CDS=1-2862	YDL031W
OG0002649	snap_masked-kam_s4-processed-gene-5.148-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.148&CDS=1-1524	YOL123W
OG0002650	snap_masked-kam_s4-processed-gene-5.149-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.149&CDS=1-1314	YOL124C
OG0002651	snap_masked-kam_s4-processed-gene-5.150-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.150&CDS=1-990	YGR144W
OG0002652	genemark-kam_s4-processed-gene-5.7-mRNA-1_1&gene=genemark-kam_s4-processed-gene-5.7&CDS=1-2808	YLR277C
OG0002653	maker-kam_s4-augustus-gene-5.140-mRNA-1_1&gene=maker-kam_s4-augustus-gene-5.140&CDS=1-3078	YLR289W
OG0002654	snap_masked-kam_s4-processed-gene-5.186-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.186&CDS=1-1686	YER086W
OG0002655	snap_masked-kam_s4-processed-gene-5.187-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.187&CDS=1-1242	YGR058W
OG0002656	augustus_masked-kam_s4-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-kam_s4-processed-gene-5.78&CDS=1-1305	YLR363C
OG0002657	snap_masked-kam_s4-processed-gene-5.160-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.160&CDS=1-1092	YMR228W
OG0002658	snap_masked-kam_s4-processed-gene-5.192-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.192&CDS=1-2226	YMR061W
OG0002659	snap_masked-kam_s4-processed-gene-5.161-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.161&CDS=1-1029	YMR060C
OG0002660	snap_masked-kam_s4-processed-gene-5.162-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.162&CDS=1-1341	YKL077W
OG0002661	snap_masked-kam_s4-processed-gene-5.163-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.163&CDS=1-1452	YKL175W
OG0002662	snap_masked-kam_s4-processed-gene-5.166-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.166&CDS=1-660	YFL010C
OG0002663	snap_masked-kam_s4-processed-gene-5.197-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.197&CDS=1-1767	YLR060W
OG0002664	snap_masked-kam_s4-processed-gene-5.198-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.198&CDS=1-2853	YFL034W
OG0002665	snap_masked-kam_s4-processed-gene-5.168-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.168&CDS=1-3834	YJL197W
OG0002666	snap_masked-kam_s4-processed-gene-5.169-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.169&CDS=1-951	YLR063W
OG0002667	snap_masked-kam_s4-processed-gene-5.199-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.199&CDS=1-996	YPL015C
OG0002668	snap_masked-kam_s4-processed-gene-5.170-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.170&CDS=1-3036	YPL009C
OG0002669	snap_masked-kam_s4-processed-gene-5.200-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.200&CDS=1-945	YNL229C
OG0002670	snap_masked-kam_s4-processed-gene-5.172-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.172&CDS=1-861	YLR126C
OG0002671	genemark-kam_s4-processed-gene-5.27-mRNA-1_1&gene=genemark-kam_s4-processed-gene-5.27&CDS=1-999	YIL061C
OG0002672	snap_masked-kam_s4-processed-gene-5.174-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.174&CDS=1-1752	YNL308C
OG0002673	snap_masked-kam_s4-processed-gene-5.205-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.205&CDS=1-954	YDR044W
OG0002674	snap_masked-kam_s4-processed-gene-5.206-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.206&CDS=1-660	YFR007W
OG0002675	snap_masked-kam_s4-processed-gene-5.207-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.207&CDS=1-1119	YOR166C
OG0002676	snap_masked-kam_s4-processed-gene-5.208-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.208&CDS=1-1824	YFR048W
OG0002677	snap_masked-kam_s4-processed-gene-5.176-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.176&CDS=1-2148	YGL245W
OG0002678	snap_masked-kam_s4-processed-gene-5.180-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.180&CDS=1-717	YDL087C
OG0002679	snap_masked-kam_s4-processed-gene-5.210-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.210&CDS=1-1356	YJR117W
OG0002680	snap_masked-kam_s4-processed-gene-5.181-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.181&CDS=1-1995	YLL007C
OG0002681	augustus_masked-kam_s4-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-kam_s4-processed-gene-5.98&CDS=1-2736	YLL008W
OG0002682	snap_masked-kam_s44-processed-gene-0.1-mRNA-1_1&gene=snap_masked-kam_s44-processed-gene-0.1&CDS=1-867	YJR116W
OG0002683	snap_masked-kam_s44-processed-gene-0.3-mRNA-1_1&gene=snap_masked-kam_s44-processed-gene-0.3&CDS=1-1512	YER021W
OG0002684	snap_masked-kam_s45-processed-gene-0.19-mRNA-1_1&gene=snap_masked-kam_s45-processed-gene-0.19&CDS=1-1791	YKL062W
OG0002685	snap_masked-kam_s45-processed-gene-0.25-mRNA-1_1&gene=snap_masked-kam_s45-processed-gene-0.25&CDS=1-453	YBL059W
OG0002686	snap_masked-kam_s45-processed-gene-0.27-mRNA-1_1&gene=snap_masked-kam_s45-processed-gene-0.27&CDS=1-1356	YMR033W
OG0002687	snap_masked-kam_s47-processed-gene-0.58-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.58&CDS=1-3078	YDR430C
OG0002688	snap_masked-kam_s47-processed-gene-0.72-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.72&CDS=1-210	YML009C
OG0002689	snap_masked-kam_s47-processed-gene-0.59-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.59&CDS=1-636	YML012W
OG0002690	snap_masked-kam_s47-processed-gene-0.61-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.61&CDS=1-2592	YML020W
OG0002691	snap_masked-kam_s47-processed-gene-0.62-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.62&CDS=1-3495	YDR440W
OG0002692	snap_masked-kam_s47-processed-gene-0.76-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.76&CDS=1-1167	YML021C
OG0002693	snap_masked-kam_s47-processed-gene-0.77-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.77&CDS=1-1077	YML019W
OG0002694	snap_masked-kam_s47-processed-gene-0.78-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.78&CDS=1-1209	YML018C
OG0002695	snap_masked-kam_s47-processed-gene-0.79-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.79&CDS=1-1035	YCR019W
OG0002696	snap_masked-kam_s47-processed-gene-0.80-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.80&CDS=1-2211	YDR517W
OG0002697	snap_masked-kam_s47-processed-gene-0.66-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.66&CDS=1-495	YBR282W
OG0002698	snap_masked-kam_s47-processed-gene-0.67-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.67&CDS=1-720	YJL065C
OG0002699	snap_masked-kam_s47-processed-gene-0.82-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.82&CDS=1-3432	YKL033W
OG0002700	snap_masked-kam_s47-processed-gene-0.83-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.83&CDS=1-1635	YOR037W
OG0002701	snap_masked-kam_s47-processed-gene-0.69-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.69&CDS=1-558	YMR150C
OG0002702	snap_masked-kam_s47-processed-gene-0.84-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.84&CDS=1-780	YMR149W
OG0002703	snap_masked-kam_s47-processed-gene-0.70-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.70&CDS=1-501	YJR118C
OG0002704	snap_masked-kam_s47-processed-gene-0.86-mRNA-1_1&gene=snap_masked-kam_s47-processed-gene-0.86&CDS=1-1719	YER022W
OG0002705	snap_masked-kam_s52-processed-gene-0.14-mRNA-1_1&gene=snap_masked-kam_s52-processed-gene-0.14&CDS=1-828	YLR290C
OG0002706	snap_masked-kam_s52-processed-gene-0.17-mRNA-1_1&gene=snap_masked-kam_s52-processed-gene-0.17&CDS=1-2766	YGL167C
OG0002707	snap_masked-kam_s52-processed-gene-0.18-mRNA-1_1&gene=snap_masked-kam_s52-processed-gene-0.18&CDS=1-2883	YLL031C
OG0002708	genemark-kam_s52-processed-gene-0.31-mRNA-1_1&gene=genemark-kam_s52-processed-gene-0.31&CDS=1-2229	YHR205W
OG0002709	snap_masked-kam_s52-processed-gene-0.15-mRNA-1_1&gene=snap_masked-kam_s52-processed-gene-0.15&CDS=1-759	YMR193W
OG0002710	snap_masked-kam_s58-processed-gene-0.3-mRNA-1_1&gene=snap_masked-kam_s58-processed-gene-0.3&CDS=1-750	YMR234W
OG0002711	snap_masked-kam_s58-processed-gene-0.5-mRNA-1_1&gene=snap_masked-kam_s58-processed-gene-0.5&CDS=1-1725	YMR001C
OG0002712	genemark-kam_s58-processed-gene-0.27-mRNA-1_1&gene=genemark-kam_s58-processed-gene-0.27&CDS=1-360	YOL005C
OG0002713	snap_masked-kam_s58-processed-gene-0.6-mRNA-1_1&gene=snap_masked-kam_s58-processed-gene-0.6&CDS=1-4386	YOL004W
OG0002714	snap_masked-kam_s58-processed-gene-0.9-mRNA-1_1&gene=snap_masked-kam_s58-processed-gene-0.9&CDS=1-3819	YOR296W
OG0002715	snap_masked-kam_s58-processed-gene-0.11-mRNA-1_1&gene=snap_masked-kam_s58-processed-gene-0.11&CDS=1-600	YOR294W
OG0002716	snap_masked-kam_s58-processed-gene-0.12-mRNA-1_1&gene=snap_masked-kam_s58-processed-gene-0.12&CDS=1-1938	YAL048C
OG0002717	snap_masked-kam_s58-processed-gene-0.7-mRNA-1_1&gene=snap_masked-kam_s58-processed-gene-0.7&CDS=1-360	YAL046C
OG0002718	snap_masked-kam_s59-processed-gene-0.134-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.134&CDS=1-3843	YPL110C
OG0002719	snap_masked-kam_s59-processed-gene-0.135-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.135&CDS=1-945	YPL111W
OG0002720	snap_masked-kam_s59-processed-gene-0.104-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.104&CDS=1-2280	YML035C
OG0002721	snap_masked-kam_s59-processed-gene-0.106-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.106&CDS=1-4458	YIR006C
OG0002722	snap_masked-kam_s59-processed-gene-0.108-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.108&CDS=1-3090	YHR098C
OG0002723	augustus_masked-kam_s59-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-kam_s59-processed-gene-0.33&CDS=1-2106	YOR035C
OG0002724	snap_masked-kam_s59-processed-gene-0.109-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.109&CDS=1-711	YHR090C
OG0002725	snap_masked-kam_s59-processed-gene-0.142-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.142&CDS=1-294	YHR051W
OG0002726	snap_masked-kam_s59-processed-gene-0.113-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.113&CDS=1-1047	YDR322W
OG0002727	snap_masked-kam_s59-processed-gene-0.114-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.114&CDS=1-3201	YHR077C
OG0002728	snap_masked-kam_s59-processed-gene-0.143-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.143&CDS=1-1188	YHR076W
OG0002729	snap_masked-kam_s59-processed-gene-0.115-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.115&CDS=1-267	YDR322C-A
OG0002730	augustus_masked-kam_s59-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-kam_s59-processed-gene-0.11&CDS=1-1938	YDR323C
OG0002731	snap_masked-kam_s59-processed-gene-0.146-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.146&CDS=1-2112	YLR103C
OG0002732	snap_masked-kam_s59-processed-gene-0.147-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.147&CDS=1-1704	YLR149C
OG0002733	snap_masked-kam_s59-processed-gene-0.118-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.118&CDS=1-1470	YGL112C
OG0002734	snap_masked-kam_s59-processed-gene-0.148-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.148&CDS=1-2433	YGL113W
OG0002735	snap_masked-kam_s59-processed-gene-0.149-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.149&CDS=1-384	YLR104W
OG0002736	snap_masked-kam_s59-processed-gene-0.151-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.151&CDS=1-1239	YER019W
OG0002737	maker-kam_s59-augustus-gene-0.101-mRNA-1_1&gene=maker-kam_s59-augustus-gene-0.101&CDS=1-1179	YLR100W
OG0002738	snap_masked-kam_s59-processed-gene-0.152-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.152&CDS=1-4167	YDR128W
OG0002739	snap_masked-kam_s59-processed-gene-0.125-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.125&CDS=1-642	YDR167W
OG0002740	maker-kam_s59-augustus-gene-0.102-mRNA-1_1&gene=maker-kam_s59-augustus-gene-0.102&CDS=1-5280	YMR308C
OG0002741	augustus_masked-kam_s59-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-kam_s59-processed-gene-0.22&CDS=1-2553	YNL325C
OG0002742	genemark-kam_s59-processed-gene-0.74-mRNA-1_1&gene=genemark-kam_s59-processed-gene-0.74&CDS=1-696	YKL117W
OG0002743	snap_masked-kam_s59-processed-gene-0.129-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.129&CDS=1-1323	YHL004W
OG0002744	maker-kam_s59-augustus-gene-0.103-mRNA-1_1&gene=maker-kam_s59-augustus-gene-0.103&CDS=1-1557	YHL002W
OG0002745	snap_masked-kam_s59-processed-gene-0.157-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.157&CDS=1-798	YKL007W
OG0002746	snap_masked-kam_s59-processed-gene-0.158-mRNA-1_1&gene=snap_masked-kam_s59-processed-gene-0.158&CDS=1-4599	YKL010C
OG0002747	snap_masked-kam_s6-processed-gene-0.5-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-0.5&CDS=1-1674	YOR386W
OG0002748	snap_masked-kam_s6-processed-gene-0.6-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-0.6&CDS=1-1149	YLR403W
OG0002749	genemark-kam_s6-processed-gene-0.88-mRNA-1_1&gene=genemark-kam_s6-processed-gene-0.88&CDS=1-1629	YLR133W
OG0002750	maker-kam_s6-augustus-gene-0.0-mRNA-1_1&gene=maker-kam_s6-augustus-gene-0.0&CDS=1-3759	YDR142C
OG0002751	snap_masked-kam_s6-processed-gene-0.15-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-0.15&CDS=1-372	YFR033C
OG0002752	snap_masked-kam_s6-processed-gene-0.18-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-0.18&CDS=1-4899	YLL048C
OG0002753	snap_masked-kam_s6-processed-gene-0.35-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-0.35&CDS=1-1059	YMR166C
OG0002754	snap_masked-kam_s6-processed-gene-0.20-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-0.20&CDS=1-1248	YDL104C
OG0002755	snap_masked-kam_s6-processed-gene-0.36-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-0.36&CDS=1-1029	YDL105W
OG0002756	snap_masked-kam_s6-processed-gene-0.21-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-0.21&CDS=1-2109	YMR167W
OG0002757	augustus_masked-kam_s6-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-kam_s6-processed-gene-0.60&CDS=1-2820	YGR198W
OG0002758	snap_masked-kam_s6-processed-gene-0.23-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-0.23&CDS=1-609	YJR014W
OG0002759	maker-kam_s6-augustus-gene-0.2-mRNA-1_1&gene=maker-kam_s6-augustus-gene-0.2&CDS=1-2208	YGL141W
OG0002760	snap_masked-kam_s6-processed-gene-0.41-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-0.41&CDS=1-927	YDL236W
OG0002761	snap_masked-kam_s6-processed-gene-0.42-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-0.42&CDS=1-426	YBR167C
OG0002762	genemark-kam_s6-processed-gene-0.123-mRNA-1_1&gene=genemark-kam_s6-processed-gene-0.123&CDS=1-585	YLR009W
