	Metschnikowia_matae	Saccharomyces_cerevisiae
OG0002601	genemark-mat-_s574-processed-gene-0.12-mRNA-1_1&gene=genemark-mat-_s574-processed-gene-0.12&CDS=1-4131	YNR043W
OG0002602	snap_masked-mat-_s574-processed-gene-0.94-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.94&CDS=1-468	YER046W
OG0002603	snap_masked-mat-_s574-processed-gene-0.71-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.71&CDS=1-1665	YJL008C
OG0002604	snap_masked-mat-_s574-processed-gene-0.95-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.95&CDS=1-750	YDR007W
OG0002605	snap_masked-mat-_s574-processed-gene-0.96-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.96&CDS=1-2370	YJL029C
OG0002606	snap_masked-mat-_s574-processed-gene-0.97-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.97&CDS=1-2160	YGL045W
OG0002607	snap_masked-mat-_s574-processed-gene-0.98-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.98&CDS=1-1308	YGR159C
OG0002608	snap_masked-mat-_s574-processed-gene-0.99-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.99&CDS=1-1146	YDR058C
OG0002609	snap_masked-mat-_s574-processed-gene-0.100-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.100&CDS=1-1419	YGR255C
OG0002610	snap_masked-mat-_s574-processed-gene-0.101-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.101&CDS=1-663	YMR090W
OG0002611	snap_masked-mat-_s574-processed-gene-0.102-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.102&CDS=1-792	YNL246W
OG0002612	augustus_masked-mat-_s574-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-mat-_s574-processed-gene-0.168&CDS=1-1233	YNL248C
OG0002613	augustus_masked-mat-_s574-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-mat-_s574-processed-gene-0.141&CDS=1-489	YJR097W
OG0002614	snap_masked-mat-_s574-processed-gene-0.104-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.104&CDS=1-1989	YJR098C
OG0002615	augustus_masked-mat-_s574-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-mat-_s574-processed-gene-0.143&CDS=1-1314	YMR091C
OG0002616	snap_masked-mat-_s574-processed-gene-0.106-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.106&CDS=1-1353	YKL140W
OG0002617	snap_masked-mat-_s574-processed-gene-0.107-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.107&CDS=1-2679	YPR194C
OG0002618	snap_masked-mat-_s574-processed-gene-0.83-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.83&CDS=1-978	YJL208C
OG0002619	snap_masked-mat-_s574-processed-gene-0.84-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.84&CDS=1-6183	YKL182W
OG0002620	augustus_masked-mat-_s574-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-mat-_s574-processed-gene-0.148&CDS=1-1443	YGL012W
OG0002621	snap_masked-mat-_s574-processed-gene-0.109-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.109&CDS=1-741	YGL011C
OG0002622	genemark-mat-_s574-processed-gene-0.27-mRNA-1_1&gene=genemark-mat-_s574-processed-gene-0.27&CDS=1-1323	YGL194C
OG0002623	snap_masked-mat-_s58-processed-gene-0.3-mRNA-1_1&gene=snap_masked-mat-_s58-processed-gene-0.3&CDS=1-933	YNL025C
OG0002624	maker-mat-_s58-snap-gene-0.18-mRNA-1_1&gene=maker-mat-_s58-snap-gene-0.18&CDS=1-1977	YIR029W
OG0002625	snap_masked-mat-_s580-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mat-_s580-processed-gene-0.5&CDS=1-711	YDR054C
OG0002626	snap_masked-mat-_s580-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mat-_s580-processed-gene-0.6&CDS=1-1602	YDR052C
OG0002627	snap_masked-mat-_s580-processed-gene-0.7-mRNA-1_1&gene=snap_masked-mat-_s580-processed-gene-0.7&CDS=1-2307	YOL023W
OG0002628	genemark-mat-_s580-processed-gene-0.2-mRNA-1_1&gene=genemark-mat-_s580-processed-gene-0.2&CDS=1-1293	YOL022C
OG0002629	augustus_masked-mat-_s587-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-mat-_s587-processed-gene-0.13&CDS=1-1719	YHR166C
OG0002630	snap_masked-mat-_s587-processed-gene-0.4-mRNA-1_1&gene=snap_masked-mat-_s587-processed-gene-0.4&CDS=1-1692	YMR296C
OG0002631	snap_masked-mat-_s59-processed-gene-0.23-mRNA-1_1&gene=snap_masked-mat-_s59-processed-gene-0.23&CDS=1-345	YPR166C
OG0002632	snap_masked-mat-_s59-processed-gene-0.37-mRNA-1_1&gene=snap_masked-mat-_s59-processed-gene-0.37&CDS=1-807	YPL064C
OG0002633	snap_masked-mat-_s59-processed-gene-0.25-mRNA-1_1&gene=snap_masked-mat-_s59-processed-gene-0.25&CDS=1-2442	YPR029C
OG0002634	maker-mat-_s59-snap-gene-0.19-mRNA-1_1&gene=maker-mat-_s59-snap-gene-0.19&CDS=1-525	YPR028W
OG0002635	maker-mat-_s59-snap-gene-0.18-mRNA-1_1&gene=maker-mat-_s59-snap-gene-0.18&CDS=1-1323	YKL082C
OG0002636	snap_masked-mat-_s59-processed-gene-0.26-mRNA-1_1&gene=snap_masked-mat-_s59-processed-gene-0.26&CDS=1-1119	YKL080W
OG0002637	snap_masked-mat-_s59-processed-gene-0.28-mRNA-1_1&gene=snap_masked-mat-_s59-processed-gene-0.28&CDS=1-525	YDL200C
OG0002638	snap_masked-mat-_s59-processed-gene-0.30-mRNA-1_1&gene=snap_masked-mat-_s59-processed-gene-0.30&CDS=1-798	YER026C
OG0002639	snap_masked-mat-_s59-processed-gene-0.31-mRNA-1_1&gene=snap_masked-mat-_s59-processed-gene-0.31&CDS=1-1428	YPL063W
OG0002640	snap_masked-mat-_s59-processed-gene-0.33-mRNA-1_1&gene=snap_masked-mat-_s59-processed-gene-0.33&CDS=1-2328	YOR017W
OG0002641	snap_masked-mat-_s59-processed-gene-0.34-mRNA-1_1&gene=snap_masked-mat-_s59-processed-gene-0.34&CDS=1-882	YOL136C
OG0002642	snap_masked-mat-_s59-processed-gene-0.41-mRNA-1_1&gene=snap_masked-mat-_s59-processed-gene-0.41&CDS=1-1419	YNL317W
OG0002643	snap_masked-mat-_s591-processed-gene-0.38-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.38&CDS=1-2529	YDR089W
OG0002644	snap_masked-mat-_s591-processed-gene-0.58-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.58&CDS=1-516	YJR025C
OG0002645	snap_masked-mat-_s591-processed-gene-0.40-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.40&CDS=1-873	YOR223W
OG0002646	augustus_masked-mat-_s591-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-mat-_s591-processed-gene-0.3&CDS=1-852	YPL134C
OG0002647	snap_masked-mat-_s591-processed-gene-0.42-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.42&CDS=1-2211	YOR206W
OG0002648	snap_masked-mat-_s591-processed-gene-0.60-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.60&CDS=1-1581	YPL133C
OG0002649	augustus_masked-mat-_s591-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-mat-_s591-processed-gene-0.27&CDS=1-3477	YOR207C
OG0002650	snap_masked-mat-_s591-processed-gene-0.63-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.63&CDS=1-1521	YPL122C
OG0002651	snap_masked-mat-_s591-processed-gene-0.65-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.65&CDS=1-1575	YHR168W
OG0002652	snap_masked-mat-_s591-processed-gene-0.45-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.45&CDS=1-1302	YHR169W
OG0002653	maker-mat-_s591-snap-gene-0.79-mRNA-1_1&gene=maker-mat-_s591-snap-gene-0.79&CDS=1-2106	YGR246C
OG0002654	snap_masked-mat-_s591-processed-gene-0.47-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.47&CDS=1-2301	YGR245C
OG0002655	augustus_masked-mat-_s591-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-mat-_s591-processed-gene-0.31&CDS=1-903	YDR174W
OG0002656	snap_masked-mat-_s591-processed-gene-0.48-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.48&CDS=1-957	YOR221C
OG0002657	snap_masked-mat-_s591-processed-gene-0.50-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.50&CDS=1-546	YOR285W
OG0002658	snap_masked-mat-_s591-processed-gene-0.68-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.68&CDS=1-957	YOR287C
OG0002659	snap_masked-mat-_s591-processed-gene-0.51-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.51&CDS=1-1236	YGR244C
OG0002660	snap_masked-mat-_s591-processed-gene-0.52-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.52&CDS=1-756	YGR253C
OG0002661	maker-mat-_s591-augustus-gene-0.76-mRNA-1_1&gene=maker-mat-_s591-augustus-gene-0.76&CDS=1-4587	YHR171W
OG0002662	snap_masked-mat-_s591-processed-gene-0.71-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.71&CDS=1-1521	YHR170W
OG0002663	snap_masked-mat-_s591-processed-gene-0.53-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.53&CDS=1-1476	YGR252W
OG0002664	augustus_masked-mat-_s591-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-mat-_s591-processed-gene-0.35&CDS=1-1215	YJL006C
OG0002665	snap_masked-mat-_s591-processed-gene-0.73-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.73&CDS=1-846	YNL055C
OG0002666	snap_masked-mat-_s591-processed-gene-0.74-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.74&CDS=1-2457	YMR049C
OG0002667	augustus_masked-mat-_s591-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-mat-_s591-processed-gene-0.20&CDS=1-696	YIR005W
OG0002668	snap_masked-mat-_s591-processed-gene-1.54-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.54&CDS=1-876	YPR139C
OG0002669	augustus_masked-mat-_s591-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-mat-_s591-processed-gene-1.3&CDS=1-3030	YFL025C
OG0002670	snap_masked-mat-_s591-processed-gene-1.59-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.59&CDS=1-633	YKL142W
OG0002671	maker-mat-_s591-snap-gene-1.169-mRNA-1_1&gene=maker-mat-_s591-snap-gene-1.169&CDS=1-981	YFR032C
OG0002672	snap_masked-mat-_s591-processed-gene-1.85-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.85&CDS=1-180	YFR032C-A
OG0002673	snap_masked-mat-_s591-processed-gene-1.63-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.63&CDS=1-267	YJR135W-A
OG0002674	snap_masked-mat-_s591-processed-gene-1.90-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.90&CDS=1-1086	YDL055C
OG0002675	snap_masked-mat-_s591-processed-gene-1.91-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.91&CDS=1-1413	YDL054C
OG0002676	snap_masked-mat-_s591-processed-gene-1.71-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.71&CDS=1-1347	YER048C
OG0002677	snap_masked-mat-_s591-processed-gene-1.72-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.72&CDS=1-267	YER048W-A
OG0002678	snap_masked-mat-_s591-processed-gene-1.73-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.73&CDS=1-1029	YJL117W
OG0002679	snap_masked-mat-_s591-processed-gene-1.97-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.97&CDS=1-336	YBR120C
OG0002680	snap_masked-mat-_s591-processed-gene-1.74-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.74&CDS=1-720	YKR043C
OG0002681	augustus_masked-mat-_s591-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-mat-_s591-processed-gene-1.18&CDS=1-1422	YDR400W
OG0002682	snap_masked-mat-_s591-processed-gene-1.103-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.103&CDS=1-2742	YBR286W
OG0002683	snap_masked-mat-_s591-processed-gene-1.105-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.105&CDS=1-1200	YGL048C
OG0002684	augustus_masked-mat-_s591-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-mat-_s591-processed-gene-1.49&CDS=1-708	YNL213C
OG0002685	snap_masked-mat-_s591-processed-gene-1.81-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.81&CDS=1-1212	YNL212W
OG0002686	snap_masked-mat-_s591-processed-gene-1.110-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.110&CDS=1-237	YNL211C
OG0002687	augustus_masked-mat-_s592-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_s592-processed-gene-0.0&CDS=1-1104	YKL193C
OG0002688	snap_masked-mat-_s592-processed-gene-0.14-mRNA-1_1&gene=snap_masked-mat-_s592-processed-gene-0.14&CDS=1-957	YML110C
OG0002689	snap_masked-mat-_s594-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mat-_s594-processed-gene-0.5&CDS=1-1617	YBL061C
OG0002690	augustus_masked-mat-_s594-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-mat-_s594-processed-gene-0.4&CDS=1-2613	YGL216W
OG0002691	snap_masked-mat-_s595-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mat-_s595-processed-gene-0.5&CDS=1-432	YHR051W
OG0002692	snap_masked-mat-_s595-processed-gene-0.4-mRNA-1_1&gene=snap_masked-mat-_s595-processed-gene-0.4&CDS=1-1047	YDR322W
OG0002693	snap_masked-mat-_s596-processed-gene-0.10-mRNA-1_1&gene=snap_masked-mat-_s596-processed-gene-0.10&CDS=1-1536	YKL149C
OG0002694	snap_masked-mat-_s596-processed-gene-0.11-mRNA-1_1&gene=snap_masked-mat-_s596-processed-gene-0.11&CDS=1-882	YKL150W
OG0002695	snap_masked-mat-_s596-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mat-_s596-processed-gene-0.8&CDS=1-1035	YKL151C
OG0002696	snap_masked-mat-_s6-processed-gene-0.85-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.85&CDS=1-1131	YJR072C
OG0002697	maker-mat-_s6-augustus-gene-0.118-mRNA-1_1&gene=maker-mat-_s6-augustus-gene-0.118&CDS=1-768	YKL207W
OG0002698	snap_masked-mat-_s6-processed-gene-0.54-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.54&CDS=1-486	YDR231C
OG0002699	augustus_masked-mat-_s6-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mat-_s6-processed-gene-0.2&CDS=1-3180	YKL197C
OG0002700	snap_masked-mat-_s6-processed-gene-0.87-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.87&CDS=1-1050	YOL009C
OG0002701	snap_masked-mat-_s6-processed-gene-0.57-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.57&CDS=1-663	YDR013W
OG0002702	genemark-mat-_s6-processed-gene-0.158-mRNA-1_1&gene=genemark-mat-_s6-processed-gene-0.158&CDS=1-360	YMR112C
OG0002703	maker-mat-_s6-snap-gene-0.185-mRNA-1_1&gene=maker-mat-_s6-snap-gene-0.185&CDS=1-951	YMR116C
OG0002704	snap_masked-mat-_s6-processed-gene-0.59-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.59&CDS=1-921	YKR026C
OG0002705	snap_masked-mat-_s6-processed-gene-0.89-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.89&CDS=1-573	YNL011C
OG0002706	maker-mat-_s6-augustus-gene-0.120-mRNA-1_1&gene=maker-mat-_s6-augustus-gene-0.120&CDS=1-2784	YDR062W
OG0002707	snap_masked-mat-_s6-processed-gene-0.61-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.61&CDS=1-942	YDR068W
OG0002708	genemark-mat-_s6-processed-gene-0.134-mRNA-1_1&gene=genemark-mat-_s6-processed-gene-0.134&CDS=1-1833	YLR006C
OG0002709	snap_masked-mat-_s6-processed-gene-0.64-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.64&CDS=1-1194	YER143W
OG0002710	snap_masked-mat-_s6-processed-gene-0.92-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.92&CDS=1-1341	YER136W
OG0002711	snap_masked-mat-_s6-processed-gene-0.93-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.93&CDS=1-1419	YFR006W
OG0002712	snap_masked-mat-_s6-processed-gene-0.94-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.94&CDS=1-963	YHR083W
OG0002713	snap_masked-mat-_s6-processed-gene-0.95-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.95&CDS=1-690	YDR071C
OG0002714	snap_masked-mat-_s6-processed-gene-0.96-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.96&CDS=1-1167	YEL056W
OG0002715	maker-mat-_s6-augustus-gene-0.117-mRNA-1_1&gene=maker-mat-_s6-augustus-gene-0.117&CDS=1-2340	YPR004C
OG0002716	snap_masked-mat-_s6-processed-gene-0.98-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.98&CDS=1-2946	YKL015W
OG0002717	snap_masked-mat-_s6-processed-gene-0.101-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.101&CDS=1-2247	YKL017C
OG0002718	snap_masked-mat-_s6-processed-gene-0.103-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.103&CDS=1-4680	YKL014C
OG0002719	genemark-mat-_s6-processed-gene-0.172-mRNA-1_1&gene=genemark-mat-_s6-processed-gene-0.172&CDS=1-465	YPL059W
OG0002720	snap_masked-mat-_s6-processed-gene-0.77-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.77&CDS=1-1614	YJL069C
OG0002721	snap_masked-mat-_s6-processed-gene-0.79-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.79&CDS=1-258	YJL062W-A
OG0002722	snap_masked-mat-_s6-processed-gene-0.109-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.109&CDS=1-2178	YAL043C
OG0002723	augustus_masked-mat-_s6-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-mat-_s6-processed-gene-0.20&CDS=1-3315	YBR276C
OG0002724	snap_masked-mat-_s6-processed-gene-0.110-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.110&CDS=1-1032	YJR068W
OG0002725	snap_masked-mat-_s6-processed-gene-0.111-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.111&CDS=1-1041	YOR043W
OG0002726	maker-mat-_s6-snap-gene-0.187-mRNA-1_1&gene=maker-mat-_s6-snap-gene-0.187&CDS=1-1911	YMR004W
OG0002727	snap_masked-mat-_s6-processed-gene-0.83-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.83&CDS=1-864	YDR284C
OG0002728	snap_masked-mat-_s601-processed-gene-0.15-mRNA-1_1&gene=snap_masked-mat-_s601-processed-gene-0.15&CDS=1-1431	YDR388W
OG0002729	maker-mat-_s601-snap-gene-0.14-mRNA-1_1&gene=maker-mat-_s601-snap-gene-0.14&CDS=1-3828	YCR023C
OG0002730	augustus_masked-mat-_s601-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-mat-_s601-processed-gene-0.10&CDS=1-1443	YLR359W
OG0002731	snap_masked-mat-_s602-processed-gene-0.7-mRNA-1_1&gene=snap_masked-mat-_s602-processed-gene-0.7&CDS=1-2538	YMR165C
OG0002732	snap_masked-mat-_s602-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mat-_s602-processed-gene-0.0&CDS=1-1578	YGL077C
OG0002733	genemark-mat-_s602-processed-gene-0.21-mRNA-1_1&gene=genemark-mat-_s602-processed-gene-0.21&CDS=1-3537	YFR002W
OG0002734	snap_masked-mat-_s602-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mat-_s602-processed-gene-0.2&CDS=1-2271	YJL094C
OG0002735	snap_masked-mat-_s605-processed-gene-0.16-mRNA-1_1&gene=snap_masked-mat-_s605-processed-gene-0.16&CDS=1-744	YKL152C
OG0002736	snap_masked-mat-_s605-processed-gene-0.17-mRNA-1_1&gene=snap_masked-mat-_s605-processed-gene-0.17&CDS=1-2133	YJL041W
OG0002737	snap_masked-mat-_s605-processed-gene-0.20-mRNA-1_1&gene=snap_masked-mat-_s605-processed-gene-0.20&CDS=1-1020	YGL040C
OG0002738	genemark-mat-_s605-processed-gene-0.47-mRNA-1_1&gene=genemark-mat-_s605-processed-gene-0.47&CDS=1-756	YMR077C
OG0002739	augustus_masked-mat-_s605-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-mat-_s605-processed-gene-0.7&CDS=1-1107	YLR113W
OG0002740	snap_masked-mat-_s606-processed-gene-0.113-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.113&CDS=1-1128	YDR346C
OG0002741	snap_masked-mat-_s606-processed-gene-0.72-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.72&CDS=1-2451	YOR141C
OG0002742	maker-mat-_s606-augustus-gene-0.147-mRNA-1_1&gene=maker-mat-_s606-augustus-gene-0.147&CDS=1-1485	YOR142W
OG0002743	snap_masked-mat-_s606-processed-gene-0.114-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.114&CDS=1-801	YHR058C
OG0002744	snap_masked-mat-_s606-processed-gene-0.115-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.115&CDS=1-540	YDR305C
OG0002745	snap_masked-mat-_s606-processed-gene-0.76-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.76&CDS=1-2349	YBR080C
OG0002746	snap_masked-mat-_s606-processed-gene-0.77-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.77&CDS=1-1086	YBL029W
OG0002747	snap_masked-mat-_s606-processed-gene-0.80-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.80&CDS=1-918	YDR175C
OG0002748	snap_masked-mat-_s606-processed-gene-0.81-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.81&CDS=1-1875	YDR176W
OG0002749	snap_masked-mat-_s606-processed-gene-0.117-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.117&CDS=1-1413	YLR163C
OG0002750	snap_masked-mat-_s606-processed-gene-0.85-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.85&CDS=1-654	YDR183W
OG0002751	maker-mat-_s606-snap-gene-0.157-mRNA-1_1&gene=maker-mat-_s606-snap-gene-0.157&CDS=1-2604	YLR166C
OG0002752	snap_masked-mat-_s606-processed-gene-0.119-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.119&CDS=1-4488	YDR180W
OG0002753	snap_masked-mat-_s606-processed-gene-0.120-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.120&CDS=1-1074	YLR246W
OG0002754	snap_masked-mat-_s606-processed-gene-0.90-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.90&CDS=1-909	YLR239C
OG0002755	augustus_masked-mat-_s606-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-mat-_s606-processed-gene-0.18&CDS=1-1605	YDR204W
OG0002756	snap_masked-mat-_s606-processed-gene-0.124-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.124&CDS=1-324	YDR357C
OG0002757	maker-mat-_s606-snap-gene-0.160-mRNA-1_1&gene=maker-mat-_s606-snap-gene-0.160&CDS=1-1746	YHR108W
OG0002758	snap_masked-mat-_s606-processed-gene-0.127-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.127&CDS=1-6363	YDL171C
OG0002759	snap_masked-mat-_s606-processed-gene-0.95-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.95&CDS=1-1056	YCR035C
OG0002760	augustus_masked-mat-_s606-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-mat-_s606-processed-gene-0.21&CDS=1-8217	YCR032W
OG0002761	snap_masked-mat-_s606-processed-gene-0.129-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.129&CDS=1-396	YCR031C
OG0002762	maker-mat-_s606-snap-gene-0.161-mRNA-1_1&gene=maker-mat-_s606-snap-gene-0.161&CDS=1-555	YJL189W
OG0002763	maker-mat-_s606-augustus-gene-0.151-mRNA-1_1&gene=maker-mat-_s606-augustus-gene-0.151&CDS=1-528	YNL044W
OG0002764	snap_masked-mat-_s606-processed-gene-0.131-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.131&CDS=1-1857	YNL045W
OG0002765	snap_masked-mat-_s606-processed-gene-0.100-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.100&CDS=1-1638	YBR007C
OG0002766	snap_masked-mat-_s606-processed-gene-0.101-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.101&CDS=1-1548	YPR045C
OG0002767	snap_masked-mat-_s606-processed-gene-0.133-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.133&CDS=1-708	YJR099W
OG0002768	snap_masked-mat-_s606-processed-gene-0.103-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.103&CDS=1-1983	YDL167C
OG0002769	snap_masked-mat-_s606-processed-gene-0.104-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.104&CDS=1-714	YPR183W
OG0002770	snap_masked-mat-_s606-processed-gene-0.105-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.105&CDS=1-1752	YDR390C
OG0002771	snap_masked-mat-_s606-processed-gene-0.106-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.106&CDS=1-378	YOR122C
OG0002772	snap_masked-mat-_s606-processed-gene-0.140-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.140&CDS=1-2475	YDL126C
OG0002773	snap_masked-mat-_s606-processed-gene-0.108-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.108&CDS=1-441	YDL125C
OG0002774	snap_masked-mat-_s606-processed-gene-0.109-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.109&CDS=1-624	YBL102W
OG0002775	snap_masked-mat-_s606-processed-gene-0.142-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.142&CDS=1-1383	YHR111W
OG0002776	augustus_masked-mat-_s607-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-mat-_s607-processed-gene-0.17&CDS=1-807	YBR257W
OG0002777	snap_masked-mat-_s607-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mat-_s607-processed-gene-0.0&CDS=1-1227	YJL046W
OG0002778	snap_masked-mat-_s609-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mat-_s609-processed-gene-0.2&CDS=1-4296	YJR033C
