	Kuraishia_capsulata	Saccharomyces_cerevisiae
OG0003082	genemark-HG793130-processed-gene-8.123-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.123&CDS=1-1524	YDR061W
OG0003083	maker-HG793130-snap-gene-8.173-mRNA-1_1&gene=maker-HG793130-snap-gene-8.173&CDS=1-3381	YDR062W
OG0003084	genemark-HG793130-processed-gene-8.126-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.126&CDS=1-480	YPL059W
OG0003085	genemark-HG793130-processed-gene-8.127-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.127&CDS=1-1017	YDR392W
OG0003086	augustus_masked-HG793130-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-HG793130-processed-gene-8.32&CDS=1-3027	YOR144C
OG0003087	genemark-HG793130-processed-gene-8.151-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.151&CDS=1-1923	YNL045W
OG0003088	genemark-HG793130-processed-gene-8.152-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.152&CDS=1-642	YDR399W
OG0003089	genemark-HG793130-processed-gene-8.153-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.153&CDS=1-1977	YDR398W
OG0003090	genemark-HG793130-processed-gene-8.131-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.131&CDS=1-453	YDR397C
OG0003091	genemark-HG793130-processed-gene-8.154-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.154&CDS=1-3000	YDR395W
OG0003092	genemark-HG793130-processed-gene-8.155-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.155&CDS=1-636	YHR089C
OG0003093	genemark-HG793130-processed-gene-8.157-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.157&CDS=1-762	YOR145C
OG0003094	snap_masked-HG793130-processed-gene-8.95-mRNA-1_1&gene=snap_masked-HG793130-processed-gene-8.95&CDS=1-828	YOR148C
OG0003095	augustus_masked-HG793130-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-HG793130-processed-gene-8.19&CDS=1-3297	YIL030C
OG0003096	augustus_masked-HG793130-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-HG793130-processed-gene-8.43&CDS=1-2175	YIL031W
OG0003097	genemark-HG793130-processed-gene-8.139-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.139&CDS=1-1251	YIL022W
OG0003098	genemark-HG793130-processed-gene-8.163-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.163&CDS=1-1065	YBL054W
OG0003099	genemark-HG793130-processed-gene-8.142-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.142&CDS=1-1065	YBL055C
OG0003100	genemark-HG793130-processed-gene-8.165-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.165&CDS=1-612	YBL057C
OG0003101	genemark-HG793130-processed-gene-8.166-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.166&CDS=1-513	YDR404C
OG0003102	genemark-HG793130-processed-gene-8.146-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.146&CDS=1-522	YOR150W
OG0003103	genemark-HG793130-processed-gene-8.167-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.167&CDS=1-3729	YOR151C
OG0003104	genemark-HG793130-processed-gene-8.147-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.147&CDS=1-696	YDR405W
OG0003105	genemark-HG793130-processed-gene-8.169-mRNA-1_1&gene=genemark-HG793130-processed-gene-8.169&CDS=1-1278	YOR155C
OG0003106	genemark-HG793130-processed-gene-9.3-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.3&CDS=1-1149	YDR331W
OG0003107	genemark-HG793130-processed-gene-9.1-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.1&CDS=1-1443	YDR470C
OG0003108	snap_masked-HG793130-processed-gene-9.61-mRNA-1_1&gene=snap_masked-HG793130-processed-gene-9.61&CDS=1-222	YDR469W
OG0003109	maker-HG793130-augustus-gene-9.45-mRNA-1_1&gene=maker-HG793130-augustus-gene-9.45&CDS=1-1143	YDR346C
OG0003110	genemark-HG793130-processed-gene-9.5-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.5&CDS=1-1281	YHR009C
OG0003111	genemark-HG793130-processed-gene-9.6-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.6&CDS=1-636	YDR468C
OG0003112	augustus_masked-HG793130-processed-gene-9.117-mRNA-1_1&gene=augustus_masked-HG793130-processed-gene-9.117&CDS=1-2007	YLR207W
OG0003113	genemark-HG793130-processed-gene-9.30-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.30&CDS=1-903	YLR208W
OG0003114	genemark-HG793130-processed-gene-9.14-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.14&CDS=1-1983	YIL067C
OG0003115	genemark-HG793130-processed-gene-9.15-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.15&CDS=1-2517	YER075C
OG0003116	snap_masked-HG793130-processed-gene-9.90-mRNA-1_1&gene=snap_masked-HG793130-processed-gene-9.90&CDS=1-258	YER074W-A
OG0003117	genemark-HG793130-processed-gene-9.32-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.32&CDS=1-2577	YKL073W
OG0003118	snap_masked-HG793130-processed-gene-9.74-mRNA-1_1&gene=snap_masked-HG793130-processed-gene-9.74&CDS=1-1473	YKL074C
OG0003119	genemark-HG793130-processed-gene-9.33-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.33&CDS=1-984	YMR055C
OG0003120	genemark-HG793130-processed-gene-9.34-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.34&CDS=1-3747	YDL195W
OG0003121	genemark-HG793130-processed-gene-9.17-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.17&CDS=1-246	YLR218C
OG0003122	genemark-HG793130-processed-gene-9.35-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.35&CDS=1-2445	YLR045C
OG0003123	genemark-HG793130-processed-gene-9.18-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.18&CDS=1-1326	YDR388W
OG0003124	maker-HG793130-snap-gene-9.56-mRNA-1_1&gene=maker-HG793130-snap-gene-9.56&CDS=1-1578	YDR213W
OG0003125	genemark-HG793130-processed-gene-9.38-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.38&CDS=1-1662	YDR212W
OG0003126	genemark-HG793130-processed-gene-9.39-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.39&CDS=1-573	YLR229C
OG0003127	genemark-HG793130-processed-gene-9.41-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.41&CDS=1-2172	YDR211W
OG0003128	genemark-HG793130-processed-gene-9.20-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.20&CDS=1-3567	YGR090W
OG0003129	genemark-HG793130-processed-gene-9.43-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.43&CDS=1-963	YPR110C
OG0003130	genemark-HG793130-processed-gene-10.5-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.5&CDS=1-681	YBL095W
OG0003131	genemark-HG793130-processed-gene-10.6-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.6&CDS=1-1383	YBL098W
OG0003132	genemark-HG793130-processed-gene-10.7-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.7&CDS=1-1368	YER122C
OG0003133	genemark-HG793130-processed-gene-10.9-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.9&CDS=1-2016	YPR024W
OG0003134	genemark-HG793130-processed-gene-10.12-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.12&CDS=1-1434	YHR065C
OG0003135	genemark-HG793130-processed-gene-10.13-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.13&CDS=1-897	YOR158W
OG0003136	genemark-HG793130-processed-gene-10.37-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.37&CDS=1-903	YDL198C
OG0003137	genemark-HG793130-processed-gene-10.38-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.38&CDS=1-1725	YGR124W
OG0003138	genemark-HG793130-processed-gene-10.14-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.14&CDS=1-1440	YFR044C
OG0003139	genemark-HG793130-processed-gene-10.15-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.15&CDS=1-894	YGL224C
OG0003140	genemark-HG793130-processed-gene-10.41-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.41&CDS=1-648	YFR042W
OG0003141	genemark-HG793130-processed-gene-10.17-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.17&CDS=1-1041	YFR041C
OG0003142	genemark-HG793130-processed-gene-10.43-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.43&CDS=1-1230	YML032C
OG0003143	snap_masked-HG793130-processed-gene-10.77-mRNA-1_1&gene=snap_masked-HG793130-processed-gene-10.77&CDS=1-1818	YML031W
OG0003144	genemark-HG793130-processed-gene-10.44-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.44&CDS=1-1359	YDR329C
OG0003145	genemark-HG793130-processed-gene-10.45-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.45&CDS=1-468	YHR081W
OG0003146	genemark-HG793130-processed-gene-10.21-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.21&CDS=1-540	YDR328C
OG0003147	maker-HG793130-augustus-gene-10.58-mRNA-1_1&gene=maker-HG793130-augustus-gene-10.58&CDS=1-270	YHR079C-A
OG0003148	genemark-HG793130-processed-gene-10.46-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.46&CDS=1-1317	YJR125C
OG0003149	genemark-HG793130-processed-gene-10.24-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.24&CDS=1-1686	YKL103C
OG0003150	genemark-HG793130-processed-gene-10.47-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.47&CDS=1-963	YDR282C
OG0003151	genemark-HG793130-processed-gene-10.27-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.27&CDS=1-4023	YBL047C
OG0003152	genemark-HG793130-processed-gene-10.28-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.28&CDS=1-1935	YJL036W
OG0003153	genemark-HG793130-processed-gene-10.49-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.49&CDS=1-648	YJL035C
OG0003154	genemark-HG793130-processed-gene-10.50-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.50&CDS=1-1545	YOR149C
OG0003155	genemark-HG793130-processed-gene-10.55-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.55&CDS=1-390	YJL190C
OG0003156	genemark-HG793130-processed-gene-10.31-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.31&CDS=1-153	YJL189W
OG0003157	genemark-HG793130-processed-gene-10.57-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.57&CDS=1-2256	YPR181C
OG0003158	genemark-HG793130-processed-gene-10.33-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.33&CDS=1-705	YOL142W
OG0003159	augustus_masked-HG793130-processed-gene-11.57-mRNA-1_1&gene=augustus_masked-HG793130-processed-gene-11.57&CDS=1-2847	YNL325C
OG0003160	genemark-HG793130-processed-gene-11.115-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.115&CDS=1-2979	YOL141W
OG0003161	maker-HG793130-augustus-gene-11.172-mRNA-1_1&gene=maker-HG793130-augustus-gene-11.172&CDS=1-3588	YJR016C
OG0003162	genemark-HG793130-processed-gene-11.116-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.116&CDS=1-2460	YGL163C
OG0003163	genemark-HG793130-processed-gene-11.145-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.145&CDS=1-735	YPL002C
OG0003164	genemark-HG793130-processed-gene-11.120-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.120&CDS=1-531	YJR118C
OG0003165	genemark-HG793130-processed-gene-11.146-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.146&CDS=1-822	YER023W
OG0003166	genemark-HG793130-processed-gene-11.147-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.147&CDS=1-831	YHR058C
OG0003167	genemark-HG793130-processed-gene-11.121-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.121&CDS=1-459	YHR059W
OG0003168	genemark-HG793130-processed-gene-11.148-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.148&CDS=1-504	YDR305C
OG0003169	genemark-HG793130-processed-gene-11.123-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.123&CDS=1-1299	YPR066W
OG0003170	genemark-HG793130-processed-gene-11.124-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.124&CDS=1-1254	YLR203C
OG0003171	maker-HG793130-augustus-gene-11.171-mRNA-1_1&gene=maker-HG793130-augustus-gene-11.171&CDS=1-702	YLL060C
OG0003172	augustus_masked-HG793130-processed-gene-11.92-mRNA-1_1&gene=augustus_masked-HG793130-processed-gene-11.92&CDS=1-1161	YOR084W
OG0003173	genemark-HG793130-processed-gene-11.127-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.127&CDS=1-639	YDR067C
OG0003174	genemark-HG793130-processed-gene-11.154-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.154&CDS=1-1245	YER143W
OG0003175	genemark-HG793130-processed-gene-11.128-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.128&CDS=1-1023	YER142C
OG0003176	genemark-HG793130-processed-gene-11.155-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.155&CDS=1-237	YER146W
OG0003177	genemark-HG793130-processed-gene-11.129-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.129&CDS=1-672	YDR071C
OG0003178	genemark-HG793130-processed-gene-11.156-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.156&CDS=1-1194	YDR072C
OG0003179	augustus_masked-HG793130-processed-gene-11.71-mRNA-1_1&gene=augustus_masked-HG793130-processed-gene-11.71&CDS=1-4950	YKL014C
OG0003180	genemark-HG793130-processed-gene-11.159-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.159&CDS=1-1560	YOR310C
OG0003181	genemark-HG793130-processed-gene-11.161-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.161&CDS=1-1611	YOR308C
OG0003182	genemark-HG793130-processed-gene-11.162-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.162&CDS=1-912	YOR305W
OG0003183	genemark-HG793130-processed-gene-11.136-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.136&CDS=1-1395	YMR240C
OG0003184	genemark-HG793130-processed-gene-11.137-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.137&CDS=1-1332	YMR239C
OG0003185	genemark-HG793130-processed-gene-11.138-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.138&CDS=1-1707	YKR056W
OG0003186	snap_masked-HG793130-processed-gene-11.48-mRNA-1_1&gene=snap_masked-HG793130-processed-gene-11.48&CDS=1-4458	YBR097W
OG0003187	genemark-HG793130-processed-gene-11.164-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.164&CDS=1-1125	YPR054W
OG0003188	genemark-HG793130-processed-gene-11.165-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.165&CDS=1-816	YBR105C
OG0003189	genemark-HG793130-processed-gene-11.140-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.140&CDS=1-924	YPR058W
OG0003190	genemark-HG793130-processed-gene-11.166-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.166&CDS=1-777	YPR060C
OG0003191	augustus_masked-HG793130-processed-gene-11.106-mRNA-1_1&gene=augustus_masked-HG793130-processed-gene-11.106&CDS=1-813	YPR061C
OG0003192	genemark-HG793130-processed-gene-11.141-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.141&CDS=1-822	YLR192C
OG0003193	genemark-HG793130-processed-gene-11.143-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.143&CDS=1-1077	YDL237W
OG0003194	genemark-HG793130-processed-gene-11.169-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.169&CDS=1-336	YBL028C
OG0003195	genemark-HG793130-processed-gene-12.188-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.188&CDS=1-1824	YBR083W
OG0003196	genemark-HG793130-processed-gene-12.189-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.189&CDS=1-3165	YDR060W
OG0003197	genemark-HG793130-processed-gene-12.186-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.186&CDS=1-891	YOR130C
OG0003198	genemark-HG793130-processed-gene-12.187-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.187&CDS=1-288	YDR381C-A
OG0003199	genemark-HG793130-processed-gene-12.191-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.191&CDS=1-675	YDR381W
OG0003200	genemark-HG793130-processed-gene-12.193-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.193&CDS=1-1539	YIL090W
OG0003201	genemark-HG793130-processed-gene-12.194-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.194&CDS=1-798	YNL025C
OG0003202	genemark-HG793130-processed-gene-12.244-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.244&CDS=1-2982	YOR330C
OG0003203	genemark-HG793130-processed-gene-12.198-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.198&CDS=1-687	YOR332W
OG0003204	genemark-HG793130-processed-gene-12.199-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.199&CDS=1-1488	YOR334W
OG0003205	augustus_masked-HG793130-processed-gene-12.13-mRNA-1_1&gene=augustus_masked-HG793130-processed-gene-12.13&CDS=1-2997	YAL031C
OG0003206	augustus_masked-HG793130-processed-gene-12.14-mRNA-1_1&gene=augustus_masked-HG793130-processed-gene-12.14&CDS=1-1947	YMR179W
OG0003207	genemark-HG793130-processed-gene-12.246-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.246&CDS=1-2088	YGR145W
OG0003208	genemark-HG793130-processed-gene-12.202-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.202&CDS=1-4722	YKR031C
OG0003209	snap_masked-HG793130-processed-gene-12.108-mRNA-1_1&gene=snap_masked-HG793130-processed-gene-12.108&CDS=1-828	YMR274C
OG0003210	genemark-HG793130-processed-gene-12.251-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.251&CDS=1-1005	YPL069C
OG0003211	genemark-HG793130-processed-gene-12.252-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.252&CDS=1-1062	YOL064C
OG0003212	genemark-HG793130-processed-gene-12.207-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.207&CDS=1-1830	YBR200W
OG0003213	snap_masked-HG793130-processed-gene-12.158-mRNA-1_1&gene=snap_masked-HG793130-processed-gene-12.158&CDS=1-1260	YNL071W
OG0003214	genemark-HG793130-processed-gene-12.254-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.254&CDS=1-939	YNL072W
OG0003215	genemark-HG793130-processed-gene-12.255-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.255&CDS=1-2223	YNL021W
OG0003216	genemark-HG793130-processed-gene-12.210-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.210&CDS=1-1398	YNL022C
OG0003217	genemark-HG793130-processed-gene-12.256-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.256&CDS=1-1119	YIL094C
OG0003218	snap_masked-HG793130-processed-gene-12.162-mRNA-1_1&gene=snap_masked-HG793130-processed-gene-12.162&CDS=1-2799	YNL023C
OG0003219	genemark-HG793130-processed-gene-12.213-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.213&CDS=1-837	YNL024C
OG0003220	genemark-HG793130-processed-gene-12.258-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.258&CDS=1-789	YIL093C
OG0003221	genemark-HG793130-processed-gene-12.215-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.215&CDS=1-1299	YKR048C
OG0003222	maker-HG793130-augustus-gene-12.283-mRNA-1_1&gene=maker-HG793130-augustus-gene-12.283&CDS=1-3537	YOL060C
OG0003223	genemark-HG793130-processed-gene-12.259-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.259&CDS=1-1668	YGR009C
OG0003224	augustus_masked-HG793130-processed-gene-12.68-mRNA-1_1&gene=augustus_masked-HG793130-processed-gene-12.68&CDS=1-2157	YPR155C
OG0003225	genemark-HG793130-processed-gene-12.221-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.221&CDS=1-750	YPL041C
OG0003226	genemark-HG793130-processed-gene-12.261-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.261&CDS=1-1719	YDR244W
OG0003227	genemark-HG793130-processed-gene-12.222-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.222&CDS=1-1704	YDR243C
OG0003228	genemark-HG793130-processed-gene-12.262-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.262&CDS=1-1077	YDL209C
OG0003229	genemark-HG793130-processed-gene-12.265-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.265&CDS=1-1335	YDR375C
OG0003230	genemark-HG793130-processed-gene-12.225-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.225&CDS=1-3714	YOR124C
OG0003231	genemark-HG793130-processed-gene-12.226-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.226&CDS=1-1005	YDR372C
OG0003232	genemark-HG793130-processed-gene-12.227-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.227&CDS=1-1272	YOR123C
OG0003233	genemark-HG793130-processed-gene-12.228-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.228&CDS=1-378	YOR122C
OG0003234	genemark-HG793130-processed-gene-12.230-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.230&CDS=1-1710	YNL125C
OG0003235	genemark-HG793130-processed-gene-12.267-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.267&CDS=1-327	YDR382W
OG0003236	genemark-HG793130-processed-gene-12.270-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.270&CDS=1-3096	YPL125W
OG0003237	genemark-HG793130-processed-gene-12.271-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.271&CDS=1-1254	YOR209C
OG0003238	genemark-HG793130-processed-gene-12.272-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.272&CDS=1-2430	YPL126W
OG0003239	genemark-HG793130-processed-gene-12.232-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.232&CDS=1-1308	YOR210W
OG0003240	genemark-HG793130-processed-gene-12.273-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.273&CDS=1-1650	YPL133C
OG0003241	genemark-HG793130-processed-gene-12.233-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.233&CDS=1-819	YPL132W
OG0003242	genemark-HG793130-processed-gene-12.234-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.234&CDS=1-891	YPL131W
OG0003243	genemark-HG793130-processed-gene-12.237-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.237&CDS=1-957	YOR142W
OG0003244	genemark-HG793130-processed-gene-12.277-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.277&CDS=1-2244	YOR141C
OG0003245	genemark-HG793130-processed-gene-12.279-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.279&CDS=1-669	YKL119C
OG0003246	genemark-HG793131-processed-gene-0.5-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.5&CDS=1-1614	YGR246C
OG0003247	genemark-HG793131-processed-gene-0.27-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.27&CDS=1-2091	YGR266W
OG0003248	genemark-HG793131-processed-gene-0.6-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.6&CDS=1-747	YHR163W
OG0003249	genemark-HG793131-processed-gene-0.28-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.28&CDS=1-3018	YGR170W
OG0003250	genemark-HG793131-processed-gene-0.7-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.7&CDS=1-1362	YGR252W
OG0003251	maker-HG793131-augustus-gene-0.91-mRNA-1_1&gene=maker-HG793131-augustus-gene-0.91&CDS=1-750	YGR253C
OG0003252	genemark-HG793131-processed-gene-0.30-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.30&CDS=1-1287	YGR244C
OG0003253	genemark-HG793131-processed-gene-0.9-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.9&CDS=1-702	YKL055C
OG0003254	genemark-HG793131-processed-gene-0.33-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.33&CDS=1-1503	YPL214C
OG0003255	genemark-HG793131-processed-gene-0.36-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.36&CDS=1-1833	YFL053W
OG0003256	genemark-HG793131-processed-gene-0.12-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.12&CDS=1-1920	YLR452C
OG0003257	genemark-HG793131-processed-gene-0.37-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.37&CDS=1-1572	YER025W
OG0003258	genemark-HG793131-processed-gene-0.38-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.38&CDS=1-2841	YLR451W
OG0003259	genemark-HG793131-processed-gene-0.13-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.13&CDS=1-1383	YJR124C
OG0003260	genemark-HG793131-processed-gene-0.14-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.14&CDS=1-699	YJR123W
OG0003261	genemark-HG793131-processed-gene-0.41-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.41&CDS=1-561	YIL010W
OG0003262	genemark-HG793131-processed-gene-0.15-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.15&CDS=1-807	YPR192W
OG0003263	snap_masked-HG793131-processed-gene-0.59-mRNA-1_1&gene=snap_masked-HG793131-processed-gene-0.59&CDS=1-285	YBL026W
OG0003264	genemark-HG793131-processed-gene-0.18-mRNA-1_1&gene=genemark-HG793131-processed-gene-0.18&CDS=1-2151	YBL024W
OG0003265	augustus_masked-HG793131-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-1.5&CDS=1-1692	YBL020W
OG0003266	genemark-HG793131-processed-gene-1.95-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.95&CDS=1-795	YBL021C
OG0003267	genemark-HG793131-processed-gene-1.96-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.96&CDS=1-3372	YBL022C
OG0003268	genemark-HG793131-processed-gene-1.119-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.119&CDS=1-2292	YDL132W
OG0003269	genemark-HG793131-processed-gene-1.120-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.120&CDS=1-1089	YDL133W
OG0003270	augustus_masked-HG793131-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-1.7&CDS=1-4539	YDL185W
OG0003271	snap_masked-HG793131-processed-gene-1.75-mRNA-1_1&gene=snap_masked-HG793131-processed-gene-1.75&CDS=1-1053	YDL186W
OG0003272	genemark-HG793131-processed-gene-1.104-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.104&CDS=1-1062	YDL134C
OG0003273	genemark-HG793131-processed-gene-1.105-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.105&CDS=1-594	YDL135C
OG0003274	augustus_masked-HG793131-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-1.25&CDS=1-1179	YDL189W
OG0003275	genemark-HG793131-processed-gene-1.106-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.106&CDS=1-3129	YDL190C
OG0003276	genemark-HG793131-processed-gene-1.127-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.127&CDS=1-984	YDL193W
OG0003277	genemark-HG793131-processed-gene-1.107-mRNA-1_1&gene=genemark-HG793131-processed-gene-1.107&CDS=1-2073	YDL056W
