	Nakazawaea_peltata	Saccharomyces_cerevisiae
OG0002573	-processed-gene-9.101-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-9.101&CDS=1-1167	YOR368W
OG0002574	-processed-gene-9.102-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-9.102&CDS=1-615	YOR367W
OG0002575	-processed-gene-9.122-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-9.122&CDS=1-1035	YGR084C
OG0002576	-processed-gene-9.76-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-9.76&CDS=1-1539	YGR083C
OG0002577	-processed-gene-9.103-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-9.103&CDS=1-2109	YOR014W
OG0002578	-processed-gene-9.104-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-9.104&CDS=1-630	YLR251W
OG0002579	-processed-gene-9.77-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-9.77&CDS=1-918	YGR086C
OG0002580	-processed-gene-9.126-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-9.126&CDS=1-3438	YPR095C
OG0002581	-augustus-gene-9.7-mRNA-1_1&gene=maker-gi|1002316199|dbj|BCGQ01000002.1|-augustus-gene-9.7&CDS=1-2265	YDL103C
OG0002582	-processed-gene-9.88-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-9.88&CDS=1-1074	YMR161W
OG0002583	-processed-gene-9.107-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-9.107&CDS=1-3315	YDL102W
OG0002584	-processed-gene-10.2-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.2&CDS=1-849	YHR067W
OG0002585	-processed-gene-10.98-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.98&CDS=1-1398	YHR070W
OG0002586	-processed-gene-10.101-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.101&CDS=1-1278	YDR316W
OG0002587	-processed-gene-10.124-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.124&CDS=1-2067	YHR042W
OG0002588	-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.26&CDS=1-1074	YDR288W
OG0002589	-processed-gene-10.102-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.102&CDS=1-1950	YMR155W
OG0002590	-processed-gene-10.103-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.103&CDS=1-489	YJL011C
OG0002591	-processed-gene-10.127-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.127&CDS=1-1584	YJL014W
OG0002592	-processed-gene-10.77-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.77&CDS=1-3807	YDR293C
OG0002593	-processed-gene-10.129-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.129&CDS=1-1194	YPR041W
OG0002594	-processed-gene-10.130-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.130&CDS=1-1320	YPR036W
OG0002595	-processed-gene-10.35-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.35&CDS=1-1140	YBL074C
OG0002596	-processed-gene-10.138-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.138&CDS=1-1641	YNL189W
OG0002597	-processed-gene-10.112-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.112&CDS=1-483	YDL219W
OG0002598	-processed-gene-10.142-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.142&CDS=1-1926	YDL167C
OG0002599	-processed-gene-10.143-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.143&CDS=1-795	YOR130C
OG0002600	-processed-gene-10.117-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.117&CDS=1-969	YMR055C
OG0002601	-processed-gene-10.44-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.44&CDS=1-1521	YKL074C
OG0002602	-processed-gene-10.119-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.119&CDS=1-321	YDR381C-A
OG0002603	-processed-gene-10.146-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.146&CDS=1-711	YDR381W
OG0002604	-processed-gene-10.122-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.122&CDS=1-1623	YMR015C
OG0002605	-processed-gene-10.147-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.147&CDS=1-903	YHR029C
OG0002606	-processed-gene-10.123-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-10.123&CDS=1-1254	YPR118W
OG0002607	-processed-gene-11.1-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.1&CDS=1-5022	YGL206C
OG0002608	-processed-gene-11.89-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.89&CDS=1-1809	YGR194C
OG0002609	-processed-gene-11.23-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.23&CDS=1-450	YPL059W
OG0002610	-processed-gene-11.7-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.7&CDS=1-1341	YOL132W
OG0002611	-processed-gene-11.112-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.112&CDS=1-3282	YKL033W
OG0002612	-processed-gene-11.8-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.8&CDS=1-1461	YMR215W
OG0002613	-processed-gene-11.30-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.30&CDS=1-2448	YGL083W
OG0002614	-processed-gene-11.31-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.31&CDS=1-3006	YML099C
OG0002615	-processed-gene-11.97-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.97&CDS=1-2133	YPR155C
OG0002616	-processed-gene-11.33-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.33&CDS=1-1440	YCR024C
OG0002617	-processed-gene-11.35-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.35&CDS=1-2040	YHR020W
OG0002618	-processed-gene-11.13-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.13&CDS=1-1650	YHR019C
OG0002619	-processed-gene-11.14-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.14&CDS=1-1392	YHR018C
OG0002620	-processed-gene-11.101-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.101&CDS=1-1623	YJR053W
OG0002621	-processed-gene-11.16-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.16&CDS=1-1836	YEL042W
OG0002622	-processed-gene-11.104-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.104&CDS=1-4230	YMR304W
OG0002623	-processed-gene-11.36-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.36&CDS=1-1197	YGR277C
OG0002624	-processed-gene-11.105-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.105&CDS=1-1953	YGR278W
OG0002625	-processed-gene-11.37-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.37&CDS=1-1113	YGR279C
OG0002626	-processed-gene-11.106-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.106&CDS=1-1776	YBR098W
OG0002627	-processed-gene-11.38-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.38&CDS=1-864	YBR101C
OG0002628	-processed-gene-11.21-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.21&CDS=1-567	YJR060W
OG0002629	-processed-gene-11.39-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.39&CDS=1-1044	YJR062C
OG0002630	-processed-gene-11.41-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.41&CDS=1-645	YIR038C
OG0002631	-processed-gene-11.127-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.127&CDS=1-1737	YML046W
OG0002632	-processed-gene-11.22-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-11.22&CDS=1-1146	YEL037C
OG0002633	-processed-gene-12.56-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.56&CDS=1-693	YEL038W
OG0002634	-processed-gene-12.57-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.57&CDS=1-1680	YJR052W
OG0002635	-processed-gene-12.53-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.53&CDS=1-1155	YKL021C
OG0002636	-processed-gene-12.58-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.58&CDS=1-1113	YIR034C
OG0002637	-processed-gene-12.55-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.55&CDS=1-2262	YKL022C
OG0002638	-processed-gene-12.101-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.101&CDS=1-1254	YGR223C
OG0002639	-processed-gene-12.62-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.62&CDS=1-2847	YOR335C
OG0002640	-processed-gene-12.20-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.20&CDS=1-2400	YHR154W
OG0002641	-augustus-gene-12.5-mRNA-1_1&gene=maker-gi|1002316199|dbj|BCGQ01000002.1|-augustus-gene-12.5&CDS=1-1470	YHR183W
OG0002642	-augustus-gene-12.8-mRNA-1_1&gene=maker-gi|1002316199|dbj|BCGQ01000002.1|-augustus-gene-12.8&CDS=1-1893	YCL018W
OG0002643	-processed-gene-12.84-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.84&CDS=1-1413	YCL017C
OG0002644	-processed-gene-12.67-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.67&CDS=1-816	YNL003C
OG0002645	-processed-gene-12.86-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.86&CDS=1-564	YCR003W
OG0002646	-processed-gene-12.69-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.69&CDS=1-1068	YMR028W
OG0002647	-processed-gene-12.27-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.27&CDS=1-2562	YKL057C
OG0002648	-processed-gene-12.89-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.89&CDS=1-3054	YJL197W
OG0002649	-processed-gene-12.72-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.72&CDS=1-1095	YCR035C
OG0002650	-processed-gene-12.90-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.90&CDS=1-1014	YCR036W
OG0002651	-processed-gene-12.115-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.115&CDS=1-6120	YCR032W
OG0002652	-processed-gene-12.116-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.116&CDS=1-849	YPR082C
OG0002653	-processed-gene-12.91-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.91&CDS=1-366	YPR063C
OG0002654	-processed-gene-12.76-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.76&CDS=1-993	YPR056W
OG0002655	-processed-gene-12.92-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.92&CDS=1-1524	YGR046W
OG0002656	-processed-gene-12.78-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.78&CDS=1-4023	YCR033W
OG0002657	-processed-gene-12.93-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.93&CDS=1-1653	YBR103W
OG0002658	-processed-gene-12.94-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.94&CDS=1-2886	YDL149W
OG0002659	-processed-gene-12.36-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.36&CDS=1-351	YIL049W
OG0002660	-processed-gene-12.95-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.95&CDS=1-2490	YDL148C
OG0002661	-processed-gene-12.80-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-12.80&CDS=1-1287	YER061C
OG0002662	-processed-gene-13.105-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.105&CDS=1-1635	YER065C
OG0002663	-processed-gene-13.151-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.151&CDS=1-861	YEL009C
OG0002664	-processed-gene-13.110-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.110&CDS=1-1044	YIL044C
OG0002665	-augustus-gene-13.2-mRNA-1_1&gene=maker-gi|1002316199|dbj|BCGQ01000002.1|-augustus-gene-13.2&CDS=1-2379	YCR002C
OG0002666	-processed-gene-13.112-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.112&CDS=1-1080	YKL060C
OG0002667	-processed-gene-13.24-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.24&CDS=1-2136	YKL054C
OG0002668	-processed-gene-13.154-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.154&CDS=1-303	YBR091C
OG0002669	-processed-gene-13.156-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.156&CDS=1-1800	YMR239C
OG0002670	-processed-gene-13.66-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.66&CDS=1-1506	YMR240C
OG0002671	-processed-gene-13.118-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.118&CDS=1-786	YOR305W
OG0002672	-processed-gene-13.30-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.30&CDS=1-1584	YOR308C
OG0002673	-processed-gene-13.158-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.158&CDS=1-1242	YPR054W
OG0002674	-processed-gene-13.159-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.159&CDS=1-960	YBR105C
OG0002675	-processed-gene-13.160-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.160&CDS=1-771	YPR060C
OG0002676	-processed-gene-13.122-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.122&CDS=1-918	YMR241W
OG0002677	-processed-gene-13.70-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.70&CDS=1-747	YPR061C
OG0002678	-processed-gene-13.253-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.253&CDS=1-4305	YBR097W
OG0002679	-processed-gene-13.124-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.124&CDS=1-315	YJR085C
OG0002680	-processed-gene-13.79-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.79&CDS=1-687	YBR096W
OG0002681	-processed-gene-13.172-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.172&CDS=1-978	YLR372W
OG0002682	-processed-gene-13.125-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.125&CDS=1-531	YLR370C
OG0002683	-processed-gene-13.174-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.174&CDS=1-3666	YMR109W
OG0002684	-augustus-gene-13.0-mRNA-1_1&gene=maker-gi|1002316199|dbj|BCGQ01000002.1|-augustus-gene-13.0&CDS=1-2724	YMR224C
OG0002685	-processed-gene-13.128-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.128&CDS=1-1791	YBR132C
OG0002686	-processed-gene-13.129-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.129&CDS=1-303	YLR147C
OG0002687	-processed-gene-13.130-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.130&CDS=1-897	YLR172C
OG0002688	-processed-gene-13.177-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.177&CDS=1-888	YCL009C
OG0002689	-processed-gene-13.262-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.262&CDS=1-1449	YPL091W
OG0002690	-processed-gene-13.180-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.180&CDS=1-1506	YDR168W
OG0002691	-processed-gene-13.132-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.132&CDS=1-2982	YLR148W
OG0002692	-processed-gene-13.42-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.42&CDS=1-2520	YDR166C
OG0002693	-processed-gene-13.265-mRNA-1_1&gene=augustus_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.265&CDS=1-1914	YDR026C
OG0002694	-processed-gene-13.183-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.183&CDS=1-1050	YNL191W
OG0002695	-processed-gene-13.184-mRNA-1_1&gene=genemark-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.184&CDS=1-1911	YDR129C
OG0002696	-processed-gene-13.95-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.95&CDS=1-4062	YDR128W
OG0002697	-snap-gene-13.12-mRNA-1_1&gene=maker-gi|1002316199|dbj|BCGQ01000002.1|-snap-gene-13.12&CDS=1-1806	YLR149C
OG0002698	-processed-gene-13.52-mRNA-1_1&gene=snap_masked-gi|1002316199|dbj|BCGQ01000002.1|-processed-gene-13.52&CDS=1-1032	YLR100W
OG0002699	-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.109&CDS=1-2010	YJL209W
OG0002700	-processed-gene-0.51-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.51&CDS=1-684	YDR489W
OG0002701	-processed-gene-0.52-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.52&CDS=1-3147	YOL138C
OG0002702	-processed-gene-0.68-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.68&CDS=1-1455	YDL003W
OG0002703	-processed-gene-0.69-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.69&CDS=1-1071	YNL141W
OG0002704	-processed-gene-0.70-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.70&CDS=1-918	YHR134W
OG0002705	-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.98&CDS=1-2094	YOR022C
OG0002706	-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.118&CDS=1-606	YOR021C
OG0002707	-processed-gene-0.78-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.78&CDS=1-1296	YPR066W
OG0002708	-processed-gene-0.79-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.79&CDS=1-1335	YML032C
OG0002709	-processed-gene-0.80-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.80&CDS=1-1557	YOR023C
OG0002710	-processed-gene-0.82-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.82&CDS=1-420	YML030W
OG0002711	-processed-gene-0.83-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.83&CDS=1-561	YDR454C
OG0002712	-processed-gene-0.55-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.55&CDS=1-1938	YDR456W
OG0002713	-processed-gene-0.41-mRNA-1_1&gene=snap_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.41&CDS=1-1857	YML031W
OG0002714	-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.127&CDS=1-6825	YPL085W
OG0002715	-processed-gene-0.87-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.87&CDS=1-1242	YLR203C
OG0002716	-processed-gene-0.88-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.88&CDS=1-606	YPL051W
OG0002717	-processed-gene-0.91-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.91&CDS=1-507	YMR236W
OG0002718	-processed-gene-0.62-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.62&CDS=1-537	YDR305C
OG0002719	-processed-gene-0.92-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.92&CDS=1-486	YHR059W
OG0002720	-processed-gene-0.63-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.63&CDS=1-603	YHR058C
OG0002721	-processed-gene-0.94-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-0.94&CDS=1-1665	YGR055W
OG0002722	-processed-gene-1.66-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.66&CDS=1-1530	YOR070C
OG0002723	-processed-gene-1.63-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.63&CDS=1-948	YKR080W
OG0002724	-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.2&CDS=1-2361	YKR079C
OG0002725	-snap-gene-1.58-mRNA-1_1&gene=maker-gi|1002316200|dbj|BCGQ01000001.1|-snap-gene-1.58&CDS=1-1734	YKR084C
OG0002726	-processed-gene-1.69-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.69&CDS=1-993	YHR069C
OG0002727	-processed-gene-1.70-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.70&CDS=1-1908	YOR069W
OG0002728	-processed-gene-1.92-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.92&CDS=1-1050	YKR081C
OG0002729	-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.8&CDS=1-3246	YKR082W
OG0002730	-processed-gene-1.93-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.93&CDS=1-315	YKR083C
OG0002731	-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.9&CDS=1-1080	YOR073W
OG0002732	-processed-gene-1.94-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.94&CDS=1-903	YOR074C
OG0002733	-processed-gene-1.74-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.74&CDS=1-846	YFR052W
OG0002734	-processed-gene-1.78-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.78&CDS=1-1749	YGL073W
OG0002735	-processed-gene-1.79-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.79&CDS=1-1842	YDL057W
OG0002736	-processed-gene-1.100-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.100&CDS=1-2160	YML076C
OG0002737	-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.39&CDS=1-1029	YML071C
OG0002738	-processed-gene-1.81-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.81&CDS=1-1035	YLR447C
OG0002739	-processed-gene-1.82-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.82&CDS=1-699	YDR177W
OG0002740	-processed-gene-1.83-mRNA-1_1&gene=genemark-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.83&CDS=1-1026	YNR054C
OG0002741	-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-gi|1002316200|dbj|BCGQ01000001.1|-processed-gene-1.20&CDS=1-2994	YMR287C
