	Candida_apicola	Saccharomyces_cerevisiae
OG0002087	augustus_masked-LBNK01000007.1-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.60&CDS=1-678	YER010C
OG0002088	augustus_masked-LBNK01000007.1-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.84&CDS=1-1443	YIR004W
OG0002089	augustus_masked-LBNK01000007.1-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.64&CDS=1-1284	YGL172W
OG0002090	augustus_masked-LBNK01000007.1-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.65&CDS=1-1923	YPL249C
OG0002091	augustus_masked-LBNK01000007.1-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.66&CDS=1-696	YMR193W
OG0002092	snap_masked-LBNK01000007.1-processed-gene-3.120-mRNA-1_1&gene=snap_masked-LBNK01000007.1-processed-gene-3.120&CDS=1-837	YDR174W
OG0002093	snap_masked-LBNK01000007.1-processed-gene-3.121-mRNA-1_1&gene=snap_masked-LBNK01000007.1-processed-gene-3.121&CDS=1-3426	YMR012W
OG0002094	augustus_masked-LBNK01000007.1-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.88&CDS=1-6090	YBR136W
OG0002095	augustus_masked-LBNK01000007.1-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.70&CDS=1-1848	YAL043C
OG0002096	augustus_masked-LBNK01000007.1-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.89&CDS=1-4188	YOR116C
OG0002097	augustus_masked-LBNK01000007.1-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.71&CDS=1-2247	YNL161W
OG0002098	augustus_masked-LBNK01000007.1-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.90&CDS=1-585	YJR057W
OG0002099	augustus_masked-LBNK01000007.1-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.91&CDS=1-879	YKL094W
OG0002100	augustus_masked-LBNK01000007.1-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.92&CDS=1-1323	YDL114W
OG0002101	snap_masked-LBNK01000007.1-processed-gene-3.128-mRNA-1_1&gene=snap_masked-LBNK01000007.1-processed-gene-3.128&CDS=1-1812	YJL010C
OG0002102	augustus_masked-LBNK01000007.1-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.76&CDS=1-1572	YOL013C
OG0002103	snap_masked-LBNK01000007.1-processed-gene-3.150-mRNA-1_1&gene=snap_masked-LBNK01000007.1-processed-gene-3.150&CDS=1-1476	YPL007C
OG0002104	snap_masked-LBNK01000007.1-processed-gene-3.151-mRNA-1_1&gene=snap_masked-LBNK01000007.1-processed-gene-3.151&CDS=1-567	YKL142W
OG0002105	augustus_masked-LBNK01000007.1-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-3.98&CDS=1-1410	YFL037W
OG0002106	augustus_masked-LBNK01000007.1-processed-gene-4.0-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.0&CDS=1-813	YLR220W
OG0002107	augustus_masked-LBNK01000007.1-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.1&CDS=1-858	YDR287W
OG0002108	augustus_masked-LBNK01000007.1-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.2&CDS=1-2835	YCR017C
OG0002109	augustus_masked-LBNK01000007.1-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.6&CDS=1-357	YNL153C
OG0002110	augustus_masked-LBNK01000007.1-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.4&CDS=1-1641	YLL018C
OG0002111	augustus_masked-LBNK01000007.1-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.7&CDS=1-657	YMR038C
OG0002112	augustus_masked-LBNK01000007.1-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.5&CDS=1-1926	YLR309C
OG0002113	maker-LBNK01000007.1-augustus-gene-4.120-mRNA-1_1&gene=maker-LBNK01000007.1-augustus-gene-4.120&CDS=1-1380	YAR015W
OG0002114	augustus_masked-LBNK01000007.1-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.35&CDS=1-3186	YBL076C
OG0002115	augustus_masked-LBNK01000007.1-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.37&CDS=1-1308	YOR323C
OG0002116	snap_masked-LBNK01000007.1-processed-gene-4.132-mRNA-1_1&gene=snap_masked-LBNK01000007.1-processed-gene-4.132&CDS=1-252	YMR286W
OG0002117	augustus_masked-LBNK01000007.1-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.12&CDS=1-2853	YOR349W
OG0002118	augustus_masked-LBNK01000007.1-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.13&CDS=1-1398	YER168C
OG0002119	augustus_masked-LBNK01000007.1-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.41&CDS=1-891	YPR056W
OG0002120	augustus_masked-LBNK01000007.1-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.14&CDS=1-1989	YLR006C
OG0002121	augustus_masked-LBNK01000007.1-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.42&CDS=1-2370	YLR182W
OG0002122	augustus_masked-LBNK01000007.1-processed-gene-4.43-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.43&CDS=1-855	YOR158W
OG0002123	augustus_masked-LBNK01000007.1-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.44&CDS=1-1689	YDR386W
OG0002124	augustus_masked-LBNK01000007.1-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.15&CDS=1-1161	YPL020C
OG0002125	augustus_masked-LBNK01000007.1-processed-gene-4.45-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.45&CDS=1-2448	YMR302C
OG0002126	augustus_masked-LBNK01000007.1-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.16&CDS=1-903	YHR069C
OG0002127	genemark-LBNK01000007.1-processed-gene-4.108-mRNA-1_1&gene=genemark-LBNK01000007.1-processed-gene-4.108&CDS=1-900	YDR316W
OG0002128	augustus_masked-LBNK01000007.1-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.17&CDS=1-990	YDR432W
OG0002129	augustus_masked-LBNK01000007.1-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.18&CDS=1-1491	YKL103C
OG0002130	augustus_masked-LBNK01000007.1-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.19&CDS=1-669	YBL041W
OG0002131	augustus_masked-LBNK01000007.1-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.20&CDS=1-1032	YJR105W
OG0002132	augustus_masked-LBNK01000007.1-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.21&CDS=1-384	YJL011C
OG0002133	augustus_masked-LBNK01000007.1-processed-gene-4.48-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.48&CDS=1-1581	YER141W
OG0002134	augustus_masked-LBNK01000007.1-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.49&CDS=1-2085	YHR042W
OG0002135	genemark-LBNK01000007.1-processed-gene-4.81-mRNA-1_1&gene=genemark-LBNK01000007.1-processed-gene-4.81&CDS=1-984	YBR004C
OG0002136	augustus_masked-LBNK01000007.1-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.50&CDS=1-288	YBL026W
OG0002137	augustus_masked-LBNK01000007.1-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.51&CDS=1-1203	YNL248C
OG0002138	augustus_masked-LBNK01000007.1-processed-gene-4.52-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.52&CDS=1-546	YDL217C
OG0002139	augustus_masked-LBNK01000007.1-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.26&CDS=1-1068	YML128C
OG0002140	genemark-LBNK01000007.1-processed-gene-4.87-mRNA-1_1&gene=genemark-LBNK01000007.1-processed-gene-4.87&CDS=1-750	YML092C
OG0002141	augustus_masked-LBNK01000007.1-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.53&CDS=1-2634	YML093W
OG0002142	augustus_masked-LBNK01000007.1-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.28&CDS=1-1068	YJL125C
OG0002143	augustus_masked-LBNK01000007.1-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.55&CDS=1-1086	YNL191W
OG0002144	augustus_masked-LBNK01000007.1-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.29&CDS=1-708	YJL066C
OG0002145	augustus_masked-LBNK01000007.1-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.30&CDS=1-471	YLR050C
OG0002146	augustus_masked-LBNK01000007.1-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.31&CDS=1-3045	YNL329C
OG0002147	augustus_masked-LBNK01000007.1-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-4.32&CDS=1-534	YBR193C
OG0002148	augustus_masked-LBNK01000007.1-processed-gene-5.54-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.54&CDS=1-567	YLR051C
OG0002149	augustus_masked-LBNK01000007.1-processed-gene-5.52-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.52&CDS=1-783	YLL041C
OG0002150	augustus_masked-LBNK01000007.1-processed-gene-5.56-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.56&CDS=1-1422	YFR044C
OG0002151	genemark-LBNK01000007.1-processed-gene-5.108-mRNA-1_1&gene=genemark-LBNK01000007.1-processed-gene-5.108&CDS=1-990	YBR215W
OG0002152	augustus_masked-LBNK01000007.1-processed-gene-5.57-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.57&CDS=1-573	YOR285W
OG0002153	augustus_masked-LBNK01000007.1-processed-gene-5.80-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.80&CDS=1-489	YOR287C
OG0002154	augustus_masked-LBNK01000007.1-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.81&CDS=1-285	YMR225C
OG0002155	snap_masked-LBNK01000007.1-processed-gene-5.8-mRNA-1_1&gene=snap_masked-LBNK01000007.1-processed-gene-5.8&CDS=1-279	YBR217W
OG0002156	genemark-LBNK01000007.1-processed-gene-5.135-mRNA-1_1&gene=genemark-LBNK01000007.1-processed-gene-5.135&CDS=1-1854	YOR288C
OG0002157	genemark-LBNK01000007.1-processed-gene-5.136-mRNA-1_1&gene=genemark-LBNK01000007.1-processed-gene-5.136&CDS=1-1269	YGL059W
OG0002158	augustus_masked-LBNK01000007.1-processed-gene-5.61-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.61&CDS=1-1014	YDL144C
OG0002159	augustus_masked-LBNK01000007.1-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.86&CDS=1-2916	YBR038W
OG0002160	augustus_masked-LBNK01000007.1-processed-gene-5.62-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.62&CDS=1-927	YBR037C
OG0002161	augustus_masked-LBNK01000007.1-processed-gene-5.63-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.63&CDS=1-816	YOR340C
OG0002162	augustus_masked-LBNK01000007.1-processed-gene-5.89-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.89&CDS=1-435	YOR369C
OG0002163	augustus_masked-LBNK01000007.1-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.92&CDS=1-678	YOR332W
OG0002164	augustus_masked-LBNK01000007.1-processed-gene-5.64-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.64&CDS=1-1797	YOR329C
OG0002165	augustus_masked-LBNK01000007.1-processed-gene-5.93-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.93&CDS=1-1575	YNL189W
OG0002166	augustus_masked-LBNK01000007.1-processed-gene-5.94-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.94&CDS=1-1335	YMR210W
OG0002167	augustus_masked-LBNK01000007.1-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.66&CDS=1-1416	YMR223W
OG0002168	augustus_masked-LBNK01000007.1-processed-gene-5.67-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.67&CDS=1-1731	YGR054W
OG0002169	augustus_masked-LBNK01000007.1-processed-gene-5.96-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.96&CDS=1-1968	YBR121C
OG0002170	augustus_masked-LBNK01000007.1-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.68&CDS=1-3978	YNL250W
OG0002171	augustus_masked-LBNK01000007.1-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.97&CDS=1-1686	YDR109C
OG0002172	snap_masked-LBNK01000007.1-processed-gene-5.20-mRNA-1_1&gene=snap_masked-LBNK01000007.1-processed-gene-5.20&CDS=1-2334	YPL184C
OG0002173	snap_masked-LBNK01000007.1-processed-gene-5.22-mRNA-1_1&gene=snap_masked-LBNK01000007.1-processed-gene-5.22&CDS=1-1722	YPR155C
OG0002174	augustus_masked-LBNK01000007.1-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.74&CDS=1-1368	YKL027W
OG0002175	augustus_masked-LBNK01000007.1-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.99&CDS=1-978	YHR002W
OG0002176	snap_masked-LBNK01000007.1-processed-gene-5.25-mRNA-1_1&gene=snap_masked-LBNK01000007.1-processed-gene-5.25&CDS=1-3513	YCR030C
OG0002177	augustus_masked-LBNK01000007.1-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.101&CDS=1-957	YAL025C
OG0002178	augustus_masked-LBNK01000007.1-processed-gene-5.77-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-5.77&CDS=1-1212	YLR355C
OG0002179	maker-LBNK01000007.1-augustus-gene-6.145-mRNA-1_1&gene=maker-LBNK01000007.1-augustus-gene-6.145&CDS=1-888	YLR306W
OG0002180	augustus_masked-LBNK01000007.1-processed-gene-6.4-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.4&CDS=1-2661	YLR001C
OG0002181	augustus_masked-LBNK01000007.1-processed-gene-6.5-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.5&CDS=1-708	YGR167W
OG0002182	augustus_masked-LBNK01000007.1-processed-gene-6.0-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.0&CDS=1-819	YDR289C
OG0002183	augustus_masked-LBNK01000007.1-processed-gene-6.6-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.6&CDS=1-2187	YDR331W
OG0002184	augustus_masked-LBNK01000007.1-processed-gene-6.2-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.2&CDS=1-2508	YLR067C
OG0002185	augustus_masked-LBNK01000007.1-processed-gene-6.8-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.8&CDS=1-4569	YDR141C
OG0002186	augustus_masked-LBNK01000007.1-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.39&CDS=1-657	YDR140W
OG0002187	augustus_masked-LBNK01000007.1-processed-gene-6.9-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.9&CDS=1-1317	YDL007W
OG0002188	maker-LBNK01000007.1-snap-gene-6.219-mRNA-1_1&gene=maker-LBNK01000007.1-snap-gene-6.219&CDS=1-942	YDL006W
OG0002189	augustus_masked-LBNK01000007.1-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.14&CDS=1-492	YDL004W
OG0002190	maker-LBNK01000007.1-snap-gene-6.220-mRNA-1_1&gene=maker-LBNK01000007.1-snap-gene-6.220&CDS=1-1530	YLR345W
OG0002191	augustus_masked-LBNK01000007.1-processed-gene-6.44-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.44&CDS=1-543	YDR121W
OG0002192	augustus_masked-LBNK01000007.1-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.45&CDS=1-765	YPL246C
OG0002193	augustus_masked-LBNK01000007.1-processed-gene-6.46-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.46&CDS=1-1359	YPL063W
OG0002194	augustus_masked-LBNK01000007.1-processed-gene-6.16-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.16&CDS=1-2733	YER047C
OG0002195	augustus_masked-LBNK01000007.1-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.19&CDS=1-1599	YER049W
OG0002196	augustus_masked-LBNK01000007.1-processed-gene-6.20-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.20&CDS=1-3561	YDR097C
OG0002197	augustus_masked-LBNK01000007.1-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.21&CDS=1-960	YPR148C
OG0002198	augustus_masked-LBNK01000007.1-processed-gene-6.47-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.47&CDS=1-480	YIR037W
OG0002199	augustus_masked-LBNK01000007.1-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.22&CDS=1-2250	YER171W
OG0002200	augustus_masked-LBNK01000007.1-processed-gene-6.49-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.49&CDS=1-1554	YMR013C
OG0002201	genemark-LBNK01000007.1-processed-gene-6.121-mRNA-1_1&gene=genemark-LBNK01000007.1-processed-gene-6.121&CDS=1-1806	YJL101C
OG0002202	genemark-LBNK01000007.1-processed-gene-6.122-mRNA-1_1&gene=genemark-LBNK01000007.1-processed-gene-6.122&CDS=1-1293	YHR206W
OG0002203	augustus_masked-LBNK01000007.1-processed-gene-6.51-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.51&CDS=1-3978	YKL010C
OG0002204	augustus_masked-LBNK01000007.1-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.23&CDS=1-1125	YGL255W
OG0002205	augustus_masked-LBNK01000007.1-processed-gene-6.25-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.25&CDS=1-1137	YNL207W
OG0002206	augustus_masked-LBNK01000007.1-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.53&CDS=1-630	YHR128W
OG0002207	augustus_masked-LBNK01000007.1-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.27&CDS=1-693	YKL009W
OG0002208	augustus_masked-LBNK01000007.1-processed-gene-6.28-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.28&CDS=1-1641	YLR117C
OG0002209	augustus_masked-LBNK01000007.1-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.54&CDS=1-1194	YLR116W
OG0002210	augustus_masked-LBNK01000007.1-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.30&CDS=1-2385	YGL233W
OG0002211	augustus_masked-LBNK01000007.1-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.31&CDS=1-1176	YGR257C
OG0002212	augustus_masked-LBNK01000007.1-processed-gene-6.56-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.56&CDS=1-780	YBR088C
OG0002213	augustus_masked-LBNK01000007.1-processed-gene-6.57-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.57&CDS=1-3243	YGL201C
OG0002214	augustus_masked-LBNK01000007.1-processed-gene-6.59-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.59&CDS=1-1401	YML096W
OG0002215	augustus_masked-LBNK01000007.1-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.32&CDS=1-2040	YML097C
OG0002216	augustus_masked-LBNK01000007.1-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.64&CDS=1-5502	YDR283C
OG0002217	augustus_masked-LBNK01000007.1-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.65&CDS=1-276	YDR286C
OG0002218	augustus_masked-LBNK01000007.1-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.66&CDS=1-1890	YMR224C
OG0002219	augustus_masked-LBNK01000007.1-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.35&CDS=1-768	YDR284C
OG0002220	augustus_masked-LBNK01000007.1-processed-gene-6.68-mRNA-1_1&gene=augustus_masked-LBNK01000007.1-processed-gene-6.68&CDS=1-3840	YJL095W
OG0002221	maker-LBNK01000008.1-augustus-gene-0.44-mRNA-1_1&gene=maker-LBNK01000008.1-augustus-gene-0.44&CDS=1-3018	YBR079C
OG0002222	snap_masked-LBNK01000008.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-LBNK01000008.1-processed-gene-0.15&CDS=1-918	YOL107W
OG0002223	genemark-LBNK01000008.1-processed-gene-0.48-mRNA-1_1&gene=genemark-LBNK01000008.1-processed-gene-0.48&CDS=1-624	YER183C
OG0002224	augustus_masked-LBNK01000008.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-0.100&CDS=1-243	YOR159C
OG0002225	augustus_masked-LBNK01000008.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-0.87&CDS=1-723	YNL010W
OG0002226	maker-LBNK01000008.1-snap-gene-0.39-mRNA-1_1&gene=maker-LBNK01000008.1-snap-gene-0.39&CDS=1-1272	YHR005C
OG0002227	genemark-LBNK01000008.1-processed-gene-0.66-mRNA-1_1&gene=genemark-LBNK01000008.1-processed-gene-0.66&CDS=1-1032	YHR134W
OG0002228	augustus_masked-LBNK01000008.1-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-0.90&CDS=1-798	YFR050C
OG0002229	augustus_masked-LBNK01000008.1-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-0.108&CDS=1-648	YDR472W
OG0002230	augustus_masked-LBNK01000008.1-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-0.110&CDS=1-525	YJL072C
OG0002231	augustus_masked-LBNK01000008.1-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-0.112&CDS=1-3042	YBL008W
OG0002232	augustus_masked-LBNK01000008.1-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-0.95&CDS=1-768	YLR285W
OG0002233	snap_masked-LBNK01000008.1-processed-gene-0.36-mRNA-1_1&gene=snap_masked-LBNK01000008.1-processed-gene-0.36&CDS=1-3564	YNL242W
OG0002234	augustus_masked-LBNK01000008.1-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-0.116&CDS=1-3381	YPL012W
OG0002235	snap_masked-LBNK01000008.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-LBNK01000008.1-processed-gene-0.10&CDS=1-714	YDR473C
OG0002236	snap_masked-LBNK01000008.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-LBNK01000008.1-processed-gene-0.11&CDS=1-285	YIL008W
OG0002237	augustus_masked-LBNK01000008.1-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-0.97&CDS=1-1089	YPL152W
OG0002238	maker-LBNK01000008.1-augustus-gene-1.45-mRNA-1_1&gene=maker-LBNK01000008.1-augustus-gene-1.45&CDS=1-2061	YOR244W
OG0002239	augustus_masked-LBNK01000008.1-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-1.4&CDS=1-879	YNR007C
OG0002240	augustus_masked-LBNK01000008.1-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-1.5&CDS=1-2916	YPL009C
OG0002241	snap_masked-LBNK01000008.1-processed-gene-1.103-mRNA-1_1&gene=snap_masked-LBNK01000008.1-processed-gene-1.103&CDS=1-207	YFL017W-A
OG0002242	augustus_masked-LBNK01000008.1-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-1.1&CDS=1-2505	YNL238W
OG0002243	augustus_masked-LBNK01000008.1-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-1.7&CDS=1-369	YBR278W
OG0002244	augustus_masked-LBNK01000008.1-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-1.8&CDS=1-651	YEL024W
OG0002245	augustus_masked-LBNK01000008.1-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-1.9&CDS=1-264	YNR032C-A
OG0002246	augustus_masked-LBNK01000008.1-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-1.26&CDS=1-1998	YJL093C
OG0002247	augustus_masked-LBNK01000008.1-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-LBNK01000008.1-processed-gene-1.27&CDS=1-3084	YOR140W
OG0002248	genemark-LBNK01000008.1-processed-gene-1.59-mRNA-1_1&gene=genemark-LBNK01000008.1-processed-gene-1.59&CDS=1-723	YGR172C
OG0002249	snap_masked-LBNK01000008.1-processed-gene-1.112-mRNA-1_1&gene=snap_masked-LBNK01000008.1-processed-gene-1.112&CDS=1-11103	YKR054C
