	Clavispora_lusitaniae	Saccharomyces_cerevisiae
OG0002953	genemark-NW_003101578.1-processed-gene-9.63-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-9.63&CDS=1-1422	YIL090W
OG0002954	genemark-NW_003101578.1-processed-gene-9.47-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-9.47&CDS=1-2079	YIL091C
OG0002955	augustus_masked-NW_003101578.1-processed-gene-9.99-mRNA-1_1&gene=augustus_masked-NW_003101578.1-processed-gene-9.99&CDS=1-213	YNL024C-A
OG0002956	genemark-NW_003101578.1-processed-gene-9.48-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-9.48&CDS=1-1092	YML095C
OG0002957	genemark-NW_003101578.1-processed-gene-9.64-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-9.64&CDS=1-435	YML094W
OG0002958	augustus_masked-NW_003101578.1-processed-gene-9.101-mRNA-1_1&gene=augustus_masked-NW_003101578.1-processed-gene-9.101&CDS=1-2118	YML127W
OG0002959	genemark-NW_003101578.1-processed-gene-9.52-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-9.52&CDS=1-2037	YJL090C
OG0002960	genemark-NW_003101578.1-processed-gene-9.54-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-9.54&CDS=1-708	YPL199C
OG0002961	genemark-NW_003101578.1-processed-gene-9.70-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-9.70&CDS=1-642	YML001W
OG0002962	genemark-NW_003101578.1-processed-gene-9.55-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-9.55&CDS=1-960	YJR096W
OG0002963	genemark-NW_003101578.1-processed-gene-9.57-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-9.57&CDS=1-1305	YBR279W
OG0002964	genemark-NW_003101578.1-processed-gene-9.72-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-9.72&CDS=1-1344	YHR190W
OG0002965	genemark-NW_003101578.1-processed-gene-9.73-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-9.73&CDS=1-990	YML121W
OG0002966	genemark-NW_003101578.1-processed-gene-10.0-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.0&CDS=1-1743	YAL067C
OG0002967	genemark-NW_003101578.1-processed-gene-10.4-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.4&CDS=1-582	YPL178W
OG0002968	genemark-NW_003101578.1-processed-gene-10.3-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.3&CDS=1-2526	YGL083W
OG0002969	genemark-NW_003101578.1-processed-gene-10.5-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.5&CDS=1-1887	YKL148C
OG0002970	genemark-NW_003101578.1-processed-gene-10.23-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.23&CDS=1-951	YEL051W
OG0002971	genemark-NW_003101578.1-processed-gene-10.24-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.24&CDS=1-387	YNR046W
OG0002972	genemark-NW_003101578.1-processed-gene-10.7-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.7&CDS=1-705	YEL001C
OG0002973	genemark-NW_003101578.1-processed-gene-10.9-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.9&CDS=1-1512	YCR098C
OG0002974	maker-NW_003101578.1-augustus-gene-10.83-mRNA-1_1&gene=maker-NW_003101578.1-augustus-gene-10.83&CDS=1-3333	YBR011C
OG0002975	genemark-NW_003101578.1-processed-gene-10.13-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.13&CDS=1-975	YBR149W
OG0002976	genemark-NW_003101578.1-processed-gene-10.30-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.30&CDS=1-1764	YBR248C
OG0002977	genemark-NW_003101578.1-processed-gene-10.32-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.32&CDS=1-2214	YOR001W
OG0002978	genemark-NW_003101578.1-processed-gene-10.15-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.15&CDS=1-1185	YBR267W
OG0002979	augustus_masked-NW_003101578.1-processed-gene-10.74-mRNA-1_1&gene=augustus_masked-NW_003101578.1-processed-gene-10.74&CDS=1-1164	YJL062W
OG0002980	genemark-NW_003101578.1-processed-gene-10.34-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.34&CDS=1-1482	YGL097W
OG0002981	maker-NW_003101578.1-snap-gene-10.88-mRNA-1_1&gene=maker-NW_003101578.1-snap-gene-10.88&CDS=1-585	YJL072C
OG0002982	genemark-NW_003101578.1-processed-gene-10.17-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.17&CDS=1-1722	YJL071W
OG0002983	genemark-NW_003101578.1-processed-gene-10.18-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.18&CDS=1-1188	YOL002C
OG0002984	genemark-NW_003101578.1-processed-gene-10.19-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.19&CDS=1-1248	YJL059W
OG0002985	genemark-NW_003101578.1-processed-gene-10.22-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.22&CDS=1-915	YDR280W
OG0002986	genemark-NW_003101578.1-processed-gene-11.1-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.1&CDS=1-1005	YOL093W
OG0002987	genemark-NW_003101578.1-processed-gene-11.3-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.3&CDS=1-930	YOL092W
OG0002988	snap_masked-NW_003101578.1-processed-gene-11.118-mRNA-1_1&gene=snap_masked-NW_003101578.1-processed-gene-11.118&CDS=1-261	YPL047W
OG0002989	genemark-NW_003101578.1-processed-gene-11.4-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.4&CDS=1-1353	YPL083C
OG0002990	genemark-NW_003101578.1-processed-gene-11.5-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.5&CDS=1-1407	YOL072W
OG0002991	genemark-NW_003101578.1-processed-gene-11.32-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.32&CDS=1-2094	YLR047C
OG0002992	genemark-NW_003101578.1-processed-gene-11.34-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.34&CDS=1-516	YMR071C
OG0002993	genemark-NW_003101578.1-processed-gene-11.7-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.7&CDS=1-1224	YGR210C
OG0002994	genemark-NW_003101578.1-processed-gene-11.8-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.8&CDS=1-960	YJL145W
OG0002995	genemark-NW_003101578.1-processed-gene-11.10-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.10&CDS=1-2883	YKL165C
OG0002996	genemark-NW_003101578.1-processed-gene-11.11-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.11&CDS=1-1503	YKL211C
OG0002997	genemark-NW_003101578.1-processed-gene-11.36-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.36&CDS=1-2187	YKL213C
OG0002998	genemark-NW_003101578.1-processed-gene-11.13-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.13&CDS=1-1824	YKL212W
OG0002999	genemark-NW_003101578.1-processed-gene-11.16-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.16&CDS=1-918	YJR077C
OG0003000	genemark-NW_003101578.1-processed-gene-11.18-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.18&CDS=1-666	YJL148W
OG0003001	genemark-NW_003101578.1-processed-gene-11.20-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.20&CDS=1-687	YER010C
OG0003002	genemark-NW_003101578.1-processed-gene-11.41-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.41&CDS=1-1248	YHR177W
OG0003003	genemark-NW_003101578.1-processed-gene-11.24-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.24&CDS=1-1713	YBR203W
OG0003004	genemark-NW_003101578.1-processed-gene-11.25-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.25&CDS=1-807	YKR062W
OG0003005	genemark-NW_003101578.1-processed-gene-11.26-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-11.26&CDS=1-372	YER009W
OG0003006	genemark-NW_003101578.1-processed-gene-12.48-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.48&CDS=1-1977	YML096W
OG0003007	augustus_masked-NW_003101578.1-processed-gene-12.6-mRNA-1_1&gene=augustus_masked-NW_003101578.1-processed-gene-12.6&CDS=1-744	YOR079C
OG0003008	genemark-NW_003101578.1-processed-gene-12.76-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.76&CDS=1-2517	YOR081C
OG0003009	genemark-NW_003101578.1-processed-gene-12.52-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.52&CDS=1-2580	YKR079C
OG0003010	genemark-NW_003101578.1-processed-gene-12.53-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.53&CDS=1-642	YIL009C-A
OG0003011	genemark-NW_003101578.1-processed-gene-12.77-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.77&CDS=1-1083	YEL050C
OG0003012	genemark-NW_003101578.1-processed-gene-12.55-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.55&CDS=1-588	YDR298C
OG0003013	genemark-NW_003101578.1-processed-gene-12.56-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.56&CDS=1-1458	YIL039W
OG0003014	snap_masked-NW_003101578.1-processed-gene-12.130-mRNA-1_1&gene=snap_masked-NW_003101578.1-processed-gene-12.130&CDS=1-774	YIL010W
OG0003015	genemark-NW_003101578.1-processed-gene-12.81-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.81&CDS=1-399	YOL012C
OG0003016	genemark-NW_003101578.1-processed-gene-12.82-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.82&CDS=1-1854	YEL062W
OG0003017	genemark-NW_003101578.1-processed-gene-12.62-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.62&CDS=1-1692	YLR259C
OG0003018	snap_masked-NW_003101578.1-processed-gene-12.115-mRNA-1_1&gene=snap_masked-NW_003101578.1-processed-gene-12.115&CDS=1-2850	YML043C
OG0003019	genemark-NW_003101578.1-processed-gene-12.83-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.83&CDS=1-1566	YOL013C
OG0003020	genemark-NW_003101578.1-processed-gene-12.84-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.84&CDS=1-2559	YEL061C
OG0003021	genemark-NW_003101578.1-processed-gene-12.85-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.85&CDS=1-336	YMR074C
OG0003022	genemark-NW_003101578.1-processed-gene-12.64-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.64&CDS=1-603	YLR262C
OG0003023	genemark-NW_003101578.1-processed-gene-12.68-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.68&CDS=1-423	YBR269C
OG0003024	genemark-NW_003101578.1-processed-gene-12.69-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.69&CDS=1-1209	YBR271W
OG0003025	genemark-NW_003101578.1-processed-gene-12.88-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.88&CDS=1-1308	YJL060W
OG0003026	genemark-NW_003101578.1-processed-gene-12.72-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.72&CDS=1-750	YJR113C
OG0003027	genemark-NW_003101578.1-processed-gene-12.74-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.74&CDS=1-1302	YBL045C
OG0003028	genemark-NW_003101578.1-processed-gene-12.90-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.90&CDS=1-1263	YHR005C
OG0003029	snap_masked-NW_003101578.1-processed-gene-12.145-mRNA-1_1&gene=snap_masked-NW_003101578.1-processed-gene-12.145&CDS=1-204	YDR016C
OG0003030	genemark-NW_003101578.1-processed-gene-13.36-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.36&CDS=1-906	YKL095W
OG0003031	maker-NW_003101578.1-snap-gene-13.75-mRNA-1_1&gene=maker-NW_003101578.1-snap-gene-13.75&CDS=1-4692	YIL068C
OG0003032	genemark-NW_003101578.1-processed-gene-13.39-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.39&CDS=1-1803	YKL047W
OG0003033	genemark-NW_003101578.1-processed-gene-13.59-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.59&CDS=1-342	YER072W
OG0003034	snap_masked-NW_003101578.1-processed-gene-13.102-mRNA-1_1&gene=snap_masked-NW_003101578.1-processed-gene-13.102&CDS=1-4146	YOR291W
OG0003035	genemark-NW_003101578.1-processed-gene-13.41-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.41&CDS=1-1596	YMR227C
OG0003036	genemark-NW_003101578.1-processed-gene-13.43-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.43&CDS=1-684	YKL033W-A
OG0003037	genemark-NW_003101578.1-processed-gene-13.44-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.44&CDS=1-1695	YHL010C
OG0003038	genemark-NW_003101578.1-processed-gene-13.45-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.45&CDS=1-5031	YMR229C
OG0003039	genemark-NW_003101578.1-processed-gene-13.61-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.61&CDS=1-2748	YML104C
OG0003040	genemark-NW_003101578.1-processed-gene-13.62-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.62&CDS=1-840	YMR269W
OG0003041	snap_masked-NW_003101578.1-processed-gene-13.87-mRNA-1_1&gene=snap_masked-NW_003101578.1-processed-gene-13.87&CDS=1-2562	YMR268C
OG0003042	genemark-NW_003101578.1-processed-gene-13.47-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.47&CDS=1-3264	YPL160W
OG0003043	genemark-NW_003101578.1-processed-gene-13.50-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.50&CDS=1-786	YML105C
OG0003044	genemark-NW_003101578.1-processed-gene-13.65-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.65&CDS=1-1134	YMR272C
OG0003045	genemark-NW_003101578.1-processed-gene-13.67-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.67&CDS=1-813	YMR274C
OG0003046	genemark-NW_003101578.1-processed-gene-13.52-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.52&CDS=1-2019	YDR234W
OG0003047	genemark-NW_003101578.1-processed-gene-13.70-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.70&CDS=1-999	YCR016W
OG0003048	genemark-NW_003101578.1-processed-gene-13.55-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.55&CDS=1-747	YCR015C
OG0003049	genemark-NW_003101578.1-processed-gene-13.56-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.56&CDS=1-1857	YOR205C
OG0003050	genemark-NW_003101578.1-processed-gene-13.58-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.58&CDS=1-1410	YOR046C
OG0003051	genemark-NW_003101578.1-processed-gene-14.54-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-14.54&CDS=1-987	YDR347W
OG0003052	augustus_masked-NW_003101578.1-processed-gene-14.117-mRNA-1_1&gene=augustus_masked-NW_003101578.1-processed-gene-14.117&CDS=1-198	YOR045W
OG0003053	augustus_masked-NW_003101578.1-processed-gene-14.102-mRNA-1_1&gene=augustus_masked-NW_003101578.1-processed-gene-14.102&CDS=1-1005	YMR235C
OG0003054	genemark-NW_003101578.1-processed-gene-14.80-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-14.80&CDS=1-498	YLR221C
OG0003055	snap_masked-NW_003101578.1-processed-gene-14.13-mRNA-1_1&gene=snap_masked-NW_003101578.1-processed-gene-14.13&CDS=1-4299	YLR425W
OG0003056	maker-NW_003101578.1-augustus-gene-14.1-mRNA-1_1&gene=maker-NW_003101578.1-augustus-gene-14.1&CDS=1-1458	YKL190W
OG0003057	genemark-NW_003101578.1-processed-gene-14.82-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-14.82&CDS=1-5910	YLR430W
OG0003058	genemark-NW_003101578.1-processed-gene-14.84-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-14.84&CDS=1-4797	YML067C
OG0003059	genemark-NW_003101578.1-processed-gene-14.66-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-14.66&CDS=1-2097	YKL188C
OG0003060	augustus_masked-NW_003101578.1-processed-gene-14.109-mRNA-1_1&gene=augustus_masked-NW_003101578.1-processed-gene-14.109&CDS=1-912	YHR189W
OG0003061	genemark-NW_003101578.1-processed-gene-14.70-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-14.70&CDS=1-1539	YNR012W
OG0003062	genemark-NW_003101578.1-processed-gene-14.71-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-14.71&CDS=1-1536	YLR089C
OG0003063	augustus_masked-NW_003101578.1-processed-gene-14.128-mRNA-1_1&gene=augustus_masked-NW_003101578.1-processed-gene-14.128&CDS=1-1785	YLR088W
OG0003064	genemark-NW_003101578.1-processed-gene-14.73-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-14.73&CDS=1-840	YDR116C
OG0003065	genemark-NW_003101578.1-processed-gene-14.92-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-14.92&CDS=1-1701	YDR117C
OG0003066	genemark-NW_003101578.1-processed-gene-14.75-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-14.75&CDS=1-1506	YDR434W
OG0003067	genemark-NW_003101578.1-processed-gene-14.93-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-14.93&CDS=1-1533	YBR127C
OG0003068	genemark-NW_003101578.1-processed-gene-14.95-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-14.95&CDS=1-1221	YPR084W
OG0003069	genemark-NW_003101578.1-processed-gene-15.51-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.51&CDS=1-1548	YPR083W
OG0003070	genemark-NW_003101578.1-processed-gene-15.54-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.54&CDS=1-1434	YBR126C
OG0003071	augustus_masked-NW_003101578.1-processed-gene-15.91-mRNA-1_1&gene=augustus_masked-NW_003101578.1-processed-gene-15.91&CDS=1-8994	YNL262W
OG0003072	genemark-NW_003101578.1-processed-gene-15.68-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.68&CDS=1-1179	YHR156C
OG0003073	genemark-NW_003101578.1-processed-gene-15.56-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.56&CDS=1-468	YNL260C
OG0003074	genemark-NW_003101578.1-processed-gene-15.73-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.73&CDS=1-999	YLR017W
OG0003075	genemark-NW_003101578.1-processed-gene-15.74-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.74&CDS=1-1359	YOR245C
OG0003076	genemark-NW_003101578.1-processed-gene-15.58-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.58&CDS=1-2232	YLL004W
OG0003077	genemark-NW_003101578.1-processed-gene-15.60-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.60&CDS=1-2355	YLR207W
OG0003078	genemark-NW_003101578.1-processed-gene-15.77-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.77&CDS=1-4467	YHR164C
OG0003079	genemark-NW_003101578.1-processed-gene-15.61-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.61&CDS=1-1557	YOR310C
OG0003080	genemark-NW_003101578.1-processed-gene-15.79-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.79&CDS=1-750	YJR024C
OG0003081	genemark-NW_003101578.1-processed-gene-15.80-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.80&CDS=1-978	YPR176C
OG0003082	genemark-NW_003101578.1-processed-gene-15.81-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.81&CDS=1-2010	YPR175W
OG0003083	augustus_masked-NW_003101578.1-processed-gene-15.101-mRNA-1_1&gene=augustus_masked-NW_003101578.1-processed-gene-15.101&CDS=1-3366	YPR122W
OG0003084	genemark-NW_003101578.1-processed-gene-15.64-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.64&CDS=1-1428	YPR178W
OG0003085	genemark-NW_003101578.1-processed-gene-15.65-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.65&CDS=1-1932	YPR179C
OG0003086	genemark-NW_003101578.1-processed-gene-15.87-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.87&CDS=1-3105	YPR181C
OG0003087	augustus_masked-NW_003101578.1-processed-gene-15.105-mRNA-1_1&gene=augustus_masked-NW_003101578.1-processed-gene-15.105&CDS=1-600	YGL018C
OG0003088	genemark-NW_003101578.1-processed-gene-15.88-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.88&CDS=1-843	YGL019W
OG0003089	genemark-NW_003101578.1-processed-gene-15.67-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.67&CDS=1-615	YGL020C
OG0003090	genemark-NW_003101578.1-processed-gene-16.64-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.64&CDS=1-4053	YGL202W
OG0003091	genemark-NW_003101578.1-processed-gene-16.62-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.62&CDS=1-1197	YGL184C
OG0003092	genemark-NW_003101578.1-processed-gene-16.63-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.63&CDS=1-1821	YAR007C
OG0003093	genemark-NW_003101578.1-processed-gene-16.66-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.66&CDS=1-3054	YGL016W
OG0003094	genemark-NW_003101578.1-processed-gene-16.67-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.67&CDS=1-2106	YLL029W
OG0003095	genemark-NW_003101578.1-processed-gene-16.68-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.68&CDS=1-798	YLL027W
OG0003096	genemark-NW_003101578.1-processed-gene-16.71-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.71&CDS=1-813	YIL106W
OG0003097	genemark-NW_003101578.1-processed-gene-16.88-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.88&CDS=1-1428	YMR285C
OG0003098	snap_masked-NW_003101578.1-processed-gene-16.15-mRNA-1_1&gene=snap_masked-NW_003101578.1-processed-gene-16.15&CDS=1-3216	YLR383W
OG0003099	genemark-NW_003101578.1-processed-gene-16.73-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.73&CDS=1-1059	YER154W
OG0003100	snap_masked-NW_003101578.1-processed-gene-16.36-mRNA-1_1&gene=snap_masked-NW_003101578.1-processed-gene-16.36&CDS=1-5310	YER155C
OG0003101	augustus_masked-NW_003101578.1-processed-gene-16.118-mRNA-1_1&gene=augustus_masked-NW_003101578.1-processed-gene-16.118&CDS=1-3222	YNL085W
OG0003102	augustus_masked-NW_003101578.1-processed-gene-16.119-mRNA-1_1&gene=augustus_masked-NW_003101578.1-processed-gene-16.119&CDS=1-987	YDR315C
OG0003103	genemark-NW_003101578.1-processed-gene-16.91-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.91&CDS=1-2037	YHR042W
OG0003104	genemark-NW_003101578.1-processed-gene-16.93-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.93&CDS=1-2529	YHR073W
OG0003105	genemark-NW_003101578.1-processed-gene-16.97-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.97&CDS=1-1371	YHR070W
OG0003106	genemark-NW_003101578.1-processed-gene-16.78-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.78&CDS=1-1065	YHR069C
OG0003107	genemark-NW_003101578.1-processed-gene-16.79-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.79&CDS=1-3552	YAR042W
OG0003108	genemark-NW_003101578.1-processed-gene-16.80-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.80&CDS=1-1560	YPR169W
OG0003109	genemark-NW_003101578.1-processed-gene-16.81-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.81&CDS=1-3798	YJR110W
OG0003110	genemark-NW_003101578.1-processed-gene-16.82-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.82&CDS=1-1005	YJR111C
OG0003111	genemark-NW_003101578.1-processed-gene-16.83-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.83&CDS=1-534	YBR137W
OG0003112	genemark-NW_003101578.1-processed-gene-16.102-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.102&CDS=1-1896	YJR002W
OG0003113	genemark-NW_003101578.1-processed-gene-16.84-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.84&CDS=1-747	YGL136C
OG0003114	genemark-NW_003101578.1-processed-gene-16.103-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.103&CDS=1-1212	YJL171C
OG0003115	snap_masked-NW_003101578.1-processed-gene-16.31-mRNA-1_1&gene=snap_masked-NW_003101578.1-processed-gene-16.31&CDS=1-4866	YGR098C
OG0003116	genemark-NW_003101578.1-processed-gene-17.43-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-17.43&CDS=1-2262	YMR100W
OG0003117	genemark-NW_003101578.1-processed-gene-17.45-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-17.45&CDS=1-2352	YMR078C
OG0003118	genemark-NW_003101578.1-processed-gene-17.46-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-17.46&CDS=1-894	YMR079W
OG0003119	snap_masked-NW_003101578.1-processed-gene-17.20-mRNA-1_1&gene=snap_masked-NW_003101578.1-processed-gene-17.20&CDS=1-3489	YKL092C
OG0003120	genemark-NW_003101578.1-processed-gene-17.47-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-17.47&CDS=1-2847	YMR080C
OG0003121	genemark-NW_003101578.1-processed-gene-17.49-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-17.49&CDS=1-450	YDR092W
OG0003122	genemark-NW_003101578.1-processed-gene-17.50-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-17.50&CDS=1-906	YBR085W
OG0003123	genemark-NW_003101578.1-processed-gene-17.66-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-17.66&CDS=1-1302	YOL052C
OG0003124	genemark-NW_003101578.1-processed-gene-17.67-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-17.67&CDS=1-492	YBR022W
OG0003125	maker-NW_003101578.1-snap-gene-17.41-mRNA-1_1&gene=maker-NW_003101578.1-snap-gene-17.41&CDS=1-2004	YNL292W
OG0003126	genemark-NW_003101578.1-processed-gene-17.71-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-17.71&CDS=1-783	YAL039C
OG0003127	genemark-NW_003101578.1-processed-gene-17.72-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-17.72&CDS=1-861	YHL013C
OG0003128	genemark-NW_003101578.1-processed-gene-17.56-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-17.56&CDS=1-1521	YOR355W
