	Saccharomyces_cerevisiae	yHMPu5000035018_Candida_canberraensis
OG0002825	YNL026W	genemark-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-4.130-mRNA-1_1&gene=genemark-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-4.130&CDS=1-1470
OG0002826	YNL032W	snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-0.11&CDS=1-840
OG0002827	YNL035C	snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-3.83-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-3.83&CDS=1-1191
OG0002828	YNL036W	snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-1.67-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-1.67&CDS=1-807
OG0002829	YNL037C	snap_masked-NODE_29_length_101844_cov_13.0296_ID_57-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NODE_29_length_101844_cov_13.0296_ID_57-processed-gene-0.70&CDS=1-1086
OG0002830	YNL038W	snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-3.99-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-3.99&CDS=1-651
OG0002831	YNL039W	genemark-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-3.63-mRNA-1_1&gene=genemark-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-3.63&CDS=1-1872
OG0002832	YNL040W	genemark-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-4.142-mRNA-1_1&gene=genemark-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-4.142&CDS=1-1323
OG0002833	YNL041C	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.134-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.134&CDS=1-2349
OG0002834	YNL042W	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.172-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.172&CDS=1-1611
OG0002835	YNL044W	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-0.87&CDS=1-528
OG0002836	YNL045W	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-0.88-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-0.88&CDS=1-1902
OG0002837	YNL048W	snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-6.31-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-6.31&CDS=1-1797
OG0002838	YNL050C	maker-NODE_1_length_1418990_cov_15.6188_ID_1-snap-gene-13.85-mRNA-1_1&gene=maker-NODE_1_length_1418990_cov_15.6188_ID_1-snap-gene-13.85&CDS=1-663
OG0002839	YNL051W	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.67-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.67&CDS=1-1128
OG0002840	YNL054W	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.55-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.55&CDS=1-3156
OG0002841	YNL055C	snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-3.42-mRNA-1_1&gene=snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-3.42&CDS=1-843
OG0002842	YNL056W	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-2.9-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-2.9&CDS=1-762
OG0002843	YNL059C	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.117-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.117&CDS=1-2316
OG0002844	YNL061W	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.98-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.98&CDS=1-1830
OG0002845	YNL062C	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.115-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.115&CDS=1-1398
OG0002846	YNL063W	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.97-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.97&CDS=1-912
OG0002847	YNL064C	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.100-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.100&CDS=1-1221
OG0002848	YNL070W	snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-3.91-mRNA-1_1&gene=snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-3.91&CDS=1-195
OG0002849	YNL071W	maker-NODE_10_length_566260_cov_17.1707_ID_19-augustus-gene-3.71-mRNA-1_1&gene=maker-NODE_10_length_566260_cov_17.1707_ID_19-augustus-gene-3.71&CDS=1-3642
OG0002850	YNL073W	augustus_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-3.40&CDS=1-1683
OG0002851	YNL075W	snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-0.32&CDS=1-849
OG0002852	YNL080C	snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-2.42-mRNA-1_1&gene=snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-2.42&CDS=1-966
OG0002853	YNL081C	snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-2.41-mRNA-1_1&gene=snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-2.41&CDS=1-366
OG0002854	YNL082W	genemark-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-1.96-mRNA-1_1&gene=genemark-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-1.96&CDS=1-4938
OG0002855	YNL083W	snap_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-1.61-mRNA-1_1&gene=snap_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-1.61&CDS=1-1680
OG0002856	YNL084C	snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-1.44-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-1.44&CDS=1-1152
OG0002857	YNL085W	augustus_masked-NODE_18_length_338643_cov_13.2849_ID_35-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-NODE_18_length_338643_cov_13.2849_ID_35-processed-gene-2.57&CDS=1-2415
OG0002858	YNL088W	augustus_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-0.36&CDS=1-4353
OG0002859	YNL090W	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-3.107-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-3.107&CDS=1-555
OG0002860	YNL091W	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-3.108-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-3.108&CDS=1-3324
OG0002861	YNL092W	augustus_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-1.118&CDS=1-3498
OG0002862	YNL094W	snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-0.68&CDS=1-1845
OG0002863	YNL097C	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-1.85&CDS=1-1242
OG0002864	YNL099C	genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-1.23-mRNA-1_1&gene=genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-1.23&CDS=1-612
OG0002865	YNL102W	snap_masked-NODE_16_length_462514_cov_13.0784_ID_31-processed-gene-3.60-mRNA-1_1&gene=snap_masked-NODE_16_length_462514_cov_13.0784_ID_31-processed-gene-3.60&CDS=1-4302
OG0002866	YNL107W	snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-3.75-mRNA-1_1&gene=snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-3.75&CDS=1-759
OG0002867	YNL110C	snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-3.94-mRNA-1_1&gene=snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-3.94&CDS=1-723
OG0002868	YNL113W	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-1.17-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-1.17&CDS=1-390
OG0002869	YNL115C	snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-0.18&CDS=1-1665
OG0002870	YNL118C	snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-1.40&CDS=1-2523
OG0002871	YNL119W	snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-4.82-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-4.82&CDS=1-1353
OG0002872	YNL122C	genemark-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-2.1-mRNA-1_1&gene=genemark-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-2.1&CDS=1-741
OG0002873	YNL123W	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-2.107-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-2.107&CDS=1-2898
OG0002874	YNL124W	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.95-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.95&CDS=1-1887
OG0002875	YNL125C	genemark-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-5.26-mRNA-1_1&gene=genemark-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-5.26&CDS=1-1758
OG0002876	YNL127W	snap_masked-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.32&CDS=1-2877
OG0002877	YNL128W	snap_masked-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.34&CDS=1-966
OG0002878	YNL129W	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.101-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.101&CDS=1-705
OG0002879	YNL131W	snap_masked-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.31&CDS=1-426
OG0002880	YNL132W	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.121-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.121&CDS=1-3144
OG0002881	YNL135C	snap_masked-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_27_length_149167_cov_27.5857_ID_53-processed-gene-0.7&CDS=1-336
OG0002882	YNL137C	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.96-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.96&CDS=1-1380
OG0002883	YNL138W	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.99-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.99&CDS=1-1575
OG0002884	YNL138W-A	augustus_masked-NODE_24_length_232095_cov_14.0762_ID_47-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_24_length_232095_cov_14.0762_ID_47-processed-gene-0.40&CDS=1-264
OG0002885	YNL139C	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-9.70-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-9.70&CDS=1-5016
OG0002886	YNL142W	snap_masked-NODE_22_length_273261_cov_24.3239_ID_43-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_22_length_273261_cov_24.3239_ID_43-processed-gene-0.43&CDS=1-1527
OG0002887	YNL147W	genemark-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-5.21-mRNA-1_1&gene=genemark-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-5.21&CDS=1-363
OG0002888	YNL149C	snap_masked-NODE_21_length_279017_cov_21.0683_ID_41-processed-gene-1.135-mRNA-1_1&gene=snap_masked-NODE_21_length_279017_cov_21.0683_ID_41-processed-gene-1.135&CDS=1-372
OG0002889	YNL151C	snap_masked-NODE_21_length_279017_cov_21.0683_ID_41-processed-gene-1.165-mRNA-1_1&gene=snap_masked-NODE_21_length_279017_cov_21.0683_ID_41-processed-gene-1.165&CDS=1-669
OG0002890	YNL152W	snap_masked-NODE_21_length_279017_cov_21.0683_ID_41-processed-gene-1.139-mRNA-1_1&gene=snap_masked-NODE_21_length_279017_cov_21.0683_ID_41-processed-gene-1.139&CDS=1-1716
OG0002891	YNL153C	snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-4.119-mRNA-1_1&gene=snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-4.119&CDS=1-390
OG0002892	YNL155W	genemark-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-3.124-mRNA-1_1&gene=genemark-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-3.124&CDS=1-882
OG0002893	YNL161W	maker-NODE_4_length_881975_cov_16.5187_ID_7-snap-gene-7.66-mRNA-1_1&gene=maker-NODE_4_length_881975_cov_16.5187_ID_7-snap-gene-7.66&CDS=1-2724
OG0002894	YNL163C	snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-5.130-mRNA-1_1&gene=snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-5.130&CDS=1-3051
OG0002895	YNL164C	snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-5.131-mRNA-1_1&gene=snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-5.131&CDS=1-1308
OG0002896	YNL167C	snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-1.28-mRNA-1_1&gene=snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-1.28&CDS=1-1905
OG0002897	YNL168C	snap_masked-NODE_25_length_210459_cov_14.7801_ID_49-processed-gene-1.90-mRNA-1_1&gene=snap_masked-NODE_25_length_210459_cov_14.7801_ID_49-processed-gene-1.90&CDS=1-693
OG0002898	YNL169C	snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-2.61-mRNA-1_1&gene=snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-2.61&CDS=1-1791
OG0002899	YNL172W	snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-2.60-mRNA-1_1&gene=snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-2.60&CDS=1-4617
OG0002900	YNL173C	maker-NODE_13_length_496732_cov_18.5747_ID_25-augustus-gene-2.96-mRNA-1_1&gene=maker-NODE_13_length_496732_cov_18.5747_ID_25-augustus-gene-2.96&CDS=1-1602
OG0002901	YNL175C	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-4.40-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-4.40&CDS=1-1263
OG0002902	YNL177C	maker-NODE_18_length_338643_cov_13.2849_ID_35-snap-gene-1.46-mRNA-1_1&gene=maker-NODE_18_length_338643_cov_13.2849_ID_35-snap-gene-1.46&CDS=1-1086
OG0002903	YNL178W	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-7.29-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-7.29&CDS=1-711
OG0002904	YNL181W	snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-0.11&CDS=1-1335
OG0002905	YNL182C	snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-0.28&CDS=1-1452
OG0002906	YNL183C	snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-0.12&CDS=1-2475
OG0002907	YNL185C	snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-0.29&CDS=1-429
OG0002908	YNL186W	snap_masked-NODE_18_length_338643_cov_13.2849_ID_35-processed-gene-1.20-mRNA-1_1&gene=snap_masked-NODE_18_length_338643_cov_13.2849_ID_35-processed-gene-1.20&CDS=1-1884
OG0002909	YNL189W	genemark-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-0.60-mRNA-1_1&gene=genemark-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-0.60&CDS=1-1623
OG0002910	YNL191W	snap_masked-NODE_18_length_338643_cov_13.2849_ID_35-processed-gene-2.133-mRNA-1_1&gene=snap_masked-NODE_18_length_338643_cov_13.2849_ID_35-processed-gene-2.133&CDS=1-1050
OG0002911	YNL193W	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-0.87&CDS=1-1653
OG0002912	YNL200C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-3.19-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-3.19&CDS=1-741
OG0002913	YNL201C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-3.22-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-3.22&CDS=1-2634
OG0002914	YNL206C	snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-0.22&CDS=1-1464
OG0002915	YNL207W	snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-1.39&CDS=1-1275
OG0002916	YNL208W	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-7.66-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-7.66&CDS=1-582
OG0002917	YNL211C	snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-0.27&CDS=1-225
OG0002918	YNL213C	genemark-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-1.78-mRNA-1_1&gene=genemark-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-1.78&CDS=1-624
OG0002919	YNL216W	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-1.82-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-1.82&CDS=1-1950
OG0002920	YNL217W	snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-4.93-mRNA-1_1&gene=snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-4.93&CDS=1-1167
OG0002921	YNL218W	genemark-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-3.104-mRNA-1_1&gene=genemark-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-3.104&CDS=1-2148
OG0002922	YNL219C	genemark-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-1.70-mRNA-1_1&gene=genemark-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-1.70&CDS=1-3594
OG0002923	YNL220W	snap_masked-NODE_29_length_101844_cov_13.0296_ID_57-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NODE_29_length_101844_cov_13.0296_ID_57-processed-gene-0.69&CDS=1-1284
OG0002924	YNL221C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-1.52-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-1.52&CDS=1-2358
OG0002925	YNL222W	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-1.53-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-1.53&CDS=1-654
OG0002926	YNL223W	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-1.54-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-1.54&CDS=1-1464
OG0002927	YNL224C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-1.31-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-1.31&CDS=1-2421
OG0002928	YNL227C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-2.104-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-2.104&CDS=1-1689
OG0002929	YNL229C	snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-3.110-mRNA-1_1&gene=snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-3.110&CDS=1-936
OG0002930	YNL231C	snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-3.38-mRNA-1_1&gene=snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-3.38&CDS=1-1056
OG0002931	YNL232W	snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-3.25-mRNA-1_1&gene=snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-3.25&CDS=1-822
OG0002932	YNL233W	snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-3.24-mRNA-1_1&gene=snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-3.24&CDS=1-3744
OG0002933	YNL234W	genemark-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-3.120-mRNA-1_1&gene=genemark-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-3.120&CDS=1-1287
OG0002934	YNL236W	snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-4.11-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-4.11&CDS=1-2973
OG0002935	YNL238W	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.60-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.60&CDS=1-2697
OG0002936	YNL239W	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.129-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.129&CDS=1-1542
OG0002937	YNL240C	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.79-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.79&CDS=1-1611
OG0002938	YNL241C	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.61-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.61&CDS=1-1494
OG0002939	YNL242W	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-8.74-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-8.74&CDS=1-5664
OG0002940	YNL243W	augustus_masked-NODE_22_length_273261_cov_24.3239_ID_43-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-NODE_22_length_273261_cov_24.3239_ID_43-processed-gene-1.124&CDS=1-4827
OG0002941	YNL244C	augustus_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-3.63&CDS=1-327
OG0002942	YNL245C	snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-3.36-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-3.36&CDS=1-753
OG0002943	YNL246W	snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-2.97-mRNA-1_1&gene=snap_masked-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-2.97&CDS=1-813
OG0002944	YNL247W	snap_masked-NODE_24_length_232095_cov_14.0762_ID_47-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_24_length_232095_cov_14.0762_ID_47-processed-gene-0.35&CDS=1-2262
OG0002945	YNL248C	snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-0.94&CDS=1-1245
OG0002946	YNL249C	maker-NODE_5_length_764123_cov_13.2646_ID_9-snap-gene-0.74-mRNA-1_1&gene=maker-NODE_5_length_764123_cov_13.2646_ID_9-snap-gene-0.74&CDS=1-1713
OG0002947	YNL250W	snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-2.45-mRNA-1_1&gene=snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-2.45&CDS=1-3912
OG0002948	YNL251C	genemark-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-2.36-mRNA-1_1&gene=genemark-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-2.36&CDS=1-1929
