	Saccharomyces_cerevisiae	yHMPu5000035297_Priceomyces_castillae
OG0002343	YLR306W	genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-2.45-mRNA-1_1&gene=genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-2.45&CDS=1-570
OG0002344	YLR308W	genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-2.53-mRNA-1_1&gene=genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-2.53&CDS=1-849
OG0002345	YLR309C	genemark-NODE_13_length_330562_cov_9.24065_ID_5779-processed-gene-2.194-mRNA-1_1&gene=genemark-NODE_13_length_330562_cov_9.24065_ID_5779-processed-gene-2.194&CDS=1-3585
OG0002346	YLR312W-A	genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-0.80&CDS=1-708
OG0002347	YLR314C	genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-1.12-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-1.12&CDS=1-1320
OG0002348	YLR316C	genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-2.82-mRNA-1_1&gene=genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-2.82&CDS=1-1005
OG0002349	YLR318W	augustus_masked-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-2.18&CDS=1-2646
OG0002350	YLR321C	genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-2.81-mRNA-1_1&gene=genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-2.81&CDS=1-1062
OG0002351	YLR324W	genemark-NODE_13_length_330562_cov_9.24065_ID_5779-processed-gene-0.108-mRNA-1_1&gene=genemark-NODE_13_length_330562_cov_9.24065_ID_5779-processed-gene-0.108&CDS=1-1536
OG0002352	YLR328W	genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-2.54-mRNA-1_1&gene=genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-2.54&CDS=1-1158
OG0002353	YLR330W	genemark-NODE_20_length_193470_cov_12.0149_ID_10779-processed-gene-0.165-mRNA-1_1&gene=genemark-NODE_20_length_193470_cov_12.0149_ID_10779-processed-gene-0.165&CDS=1-1632
OG0002354	YLR336C	genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-1.123-mRNA-1_1&gene=genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-1.123&CDS=1-2778
OG0002355	YLR337C	snap_masked-NODE_21_length_185578_cov_10.2295_ID_4326-processed-gene-0.253-mRNA-1_1&gene=snap_masked-NODE_21_length_185578_cov_10.2295_ID_4326-processed-gene-0.253&CDS=1-1908
OG0002356	YLR340W	genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-2.145-mRNA-1_1&gene=genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-2.145&CDS=1-921
OG0002357	YLR345W	maker-NODE_16_length_303169_cov_10.538_ID_8213-augustus-gene-0.6-mRNA-1_1&gene=maker-NODE_16_length_303169_cov_10.538_ID_8213-augustus-gene-0.6&CDS=1-2217
OG0002358	YLR347C	genemark-NODE_16_length_303169_cov_10.538_ID_8213-processed-gene-0.126-mRNA-1_1&gene=genemark-NODE_16_length_303169_cov_10.538_ID_8213-processed-gene-0.126&CDS=1-2598
OG0002359	YLR348C	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-1.70-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-1.70&CDS=1-876
OG0002360	YLR351C	augustus_masked-NODE_16_length_303169_cov_10.538_ID_8213-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NODE_16_length_303169_cov_10.538_ID_8213-processed-gene-1.25&CDS=1-909
OG0002361	YLR352W	augustus_masked-NODE_22_length_151621_cov_9.48086_ID_10966-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_22_length_151621_cov_9.48086_ID_10966-processed-gene-0.36&CDS=1-1821
OG0002362	YLR354C	genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-2.0-mRNA-1_1&gene=genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-2.0&CDS=1-966
OG0002363	YLR355C	genemark-NODE_10_length_362407_cov_10.6213_ID_7761-processed-gene-2.145-mRNA-1_1&gene=genemark-NODE_10_length_362407_cov_10.6213_ID_7761-processed-gene-2.145&CDS=1-1197
OG0002364	YLR359W	genemark-NODE_38_length_81238_cov_9.31503_ID_7687-processed-gene-0.58-mRNA-1_1&gene=genemark-NODE_38_length_81238_cov_9.31503_ID_7687-processed-gene-0.58&CDS=1-1446
OG0002365	YLR362W	maker-NODE_14_length_325865_cov_11.9042_ID_3204-augustus-gene-2.4-mRNA-1_1&gene=maker-NODE_14_length_325865_cov_11.9042_ID_3204-augustus-gene-2.4&CDS=1-4338
OG0002366	YLR363C	augustus_masked-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-1.65&CDS=1-1092
OG0002367	YLR364W	genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-0.94-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-0.94&CDS=1-333
OG0002368	YLR367W	genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-1.53-mRNA-1_1&gene=genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-1.53&CDS=1-390
OG0002369	YLR370C	genemark-NODE_19_length_201965_cov_9.04237_ID_4400-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_19_length_201965_cov_9.04237_ID_4400-processed-gene-0.37&CDS=1-528
OG0002370	YLR372W	genemark-NODE_19_length_201965_cov_9.04237_ID_4400-processed-gene-0.55-mRNA-1_1&gene=genemark-NODE_19_length_201965_cov_9.04237_ID_4400-processed-gene-0.55&CDS=1-969
OG0002371	YLR376C	augustus_masked-NODE_34_length_91077_cov_10.4631_ID_4292-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_34_length_91077_cov_10.4631_ID_4292-processed-gene-0.97&CDS=1-666
OG0002372	YLR377C	genemark-NODE_43_length_47879_cov_11.916_ID_5267-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_43_length_47879_cov_11.916_ID_5267-processed-gene-0.45&CDS=1-1020
OG0002373	YLR378C	genemark-NODE_48_length_35041_cov_19.1063_ID_6554-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_48_length_35041_cov_19.1063_ID_6554-processed-gene-0.13&CDS=1-1437
OG0002374	YLR382C	maker-NODE_31_length_104974_cov_9.44122_ID_4509-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_31_length_104974_cov_9.44122_ID_4509-augustus-gene-0.4&CDS=1-5205
OG0002375	YLR383W	genemark-NODE_29_length_108436_cov_9.38215_ID_7047-processed-gene-0.125-mRNA-1_1&gene=genemark-NODE_29_length_108436_cov_9.38215_ID_7047-processed-gene-0.125&CDS=1-3351
OG0002376	YLR384C	genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-0.89-mRNA-1_1&gene=genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-0.89&CDS=1-3993
OG0002377	YLR386W	genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-7.25-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-7.25&CDS=1-2766
OG0002378	YLR390W	genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-7.53-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-7.53&CDS=1-270
OG0002379	YLR390W-A	genemark-NODE_29_length_108436_cov_9.38215_ID_7047-processed-gene-0.123-mRNA-1_1&gene=genemark-NODE_29_length_108436_cov_9.38215_ID_7047-processed-gene-0.123&CDS=1-633
OG0002380	YLR393W	genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-7.15-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-7.15&CDS=1-864
OG0002381	YLR395C	augustus_masked-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-3.51&CDS=1-261
OG0002382	YLR396C	augustus_masked-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-3.52&CDS=1-2085
OG0002383	YLR397C	genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-7.19-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-7.19&CDS=1-2355
OG0002384	YLR398C	genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-7.18-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-7.18&CDS=1-3720
OG0002385	YLR399C	genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-4.235-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-4.235&CDS=1-1878
OG0002386	YLR401C	genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-1.9-mRNA-1_1&gene=genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-1.9&CDS=1-1866
OG0002387	YLR403W	genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-3.51-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-3.51&CDS=1-1272
OG0002388	YLR405W	genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-4.234-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-4.234&CDS=1-1083
OG0002389	YLR407W	genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-1.34-mRNA-1_1&gene=genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-1.34&CDS=1-864
OG0002390	YLR409C	genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-1.36-mRNA-1_1&gene=genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-1.36&CDS=1-5961
OG0002391	YLR410W	genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-4.196-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-4.196&CDS=1-3384
OG0002392	YLR411W	genemark-NODE_9_length_371814_cov_10.5524_ID_6037-processed-gene-0.111-mRNA-1_1&gene=genemark-NODE_9_length_371814_cov_10.5524_ID_6037-processed-gene-0.111&CDS=1-654
OG0002393	YLR412W	genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-4.237-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-4.237&CDS=1-759
OG0002394	YLR417W	genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-0.108-mRNA-1_1&gene=genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-0.108&CDS=1-1896
OG0002395	YLR418C	genemark-NODE_39_length_72485_cov_9.55926_ID_4256-processed-gene-0.72-mRNA-1_1&gene=genemark-NODE_39_length_72485_cov_9.55926_ID_4256-processed-gene-0.72&CDS=1-1140
OG0002396	YLR419W	augustus_masked-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-2.37&CDS=1-5985
OG0002397	YLR420W	genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-2.186-mRNA-1_1&gene=genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-2.186&CDS=1-1092
OG0002398	YLR421C	genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-1.43-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-1.43&CDS=1-825
OG0002399	YLR422W	genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-0.90-mRNA-1_1&gene=genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-0.90&CDS=1-5568
OG0002400	YLR424W	snap_masked-NODE_39_length_72485_cov_9.55926_ID_4256-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_39_length_72485_cov_9.55926_ID_4256-processed-gene-0.14&CDS=1-2298
OG0002401	YLR427W	augustus_masked-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.77&CDS=1-2286
OG0002402	YLR430W	genemark-NODE_40_length_64572_cov_9.57306_ID_6688-processed-gene-0.74-mRNA-1_1&gene=genemark-NODE_40_length_64572_cov_9.57306_ID_6688-processed-gene-0.74&CDS=1-5769
OG0002403	YLR433C	genemark-NODE_44_length_45677_cov_9.73802_ID_5421-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_44_length_45677_cov_9.73802_ID_5421-processed-gene-0.12&CDS=1-1668
OG0002404	YLR435W	genemark-NODE_44_length_45677_cov_9.73802_ID_5421-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_44_length_45677_cov_9.73802_ID_5421-processed-gene-0.21&CDS=1-615
OG0002405	YLR438C-A	augustus_masked-NODE_22_length_151621_cov_9.48086_ID_10966-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_22_length_151621_cov_9.48086_ID_10966-processed-gene-0.38&CDS=1-261
OG0002406	YLR438W	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.129-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.129&CDS=1-1305
OG0002407	YLR439W	genemark-NODE_22_length_151621_cov_9.48086_ID_10966-processed-gene-0.76-mRNA-1_1&gene=genemark-NODE_22_length_151621_cov_9.48086_ID_10966-processed-gene-0.76&CDS=1-903
OG0002408	YLR440C	augustus_masked-NODE_22_length_151621_cov_9.48086_ID_10966-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_22_length_151621_cov_9.48086_ID_10966-processed-gene-0.9&CDS=1-2472
OG0002409	YLR443W	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.112-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.112&CDS=1-1626
OG0002410	YLR447C	augustus_masked-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.74&CDS=1-2181
OG0002411	YLR449W	genemark-NODE_42_length_49079_cov_9.6444_ID_8662-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_42_length_49079_cov_9.6444_ID_8662-processed-gene-0.2&CDS=1-1260
OG0002412	YLR450W	genemark-NODE_42_length_49079_cov_9.6444_ID_8662-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_42_length_49079_cov_9.6444_ID_8662-processed-gene-0.3&CDS=1-3132
OG0002413	YLR451W	genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-1.76-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-1.76&CDS=1-2949
OG0002414	YLR452C	snap_masked-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-1.154-mRNA-1_1&gene=snap_masked-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-1.154&CDS=1-2157
OG0002415	YLR455W	genemark-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-2.86-mRNA-1_1&gene=genemark-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-2.86&CDS=1-1188
OG0002416	YLR459W	genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-1.100-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-1.100&CDS=1-1290
OG0002417	YML001W	genemark-NODE_31_length_104974_cov_9.44122_ID_4509-processed-gene-0.76-mRNA-1_1&gene=genemark-NODE_31_length_104974_cov_9.44122_ID_4509-processed-gene-0.76&CDS=1-642
OG0002418	YML004C	genemark-NODE_32_length_96676_cov_9.40922_ID_3887-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_32_length_96676_cov_9.40922_ID_3887-processed-gene-0.5&CDS=1-969
OG0002419	YML005W	genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-6.141-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-6.141&CDS=1-1239
OG0002420	YML007W	genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-3.2-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-3.2&CDS=1-1395
OG0002421	YML008C	genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-3.6-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-3.6&CDS=1-1128
OG0002422	YML009C	snap_masked-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.37&CDS=1-213
OG0002423	YML010W	genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-0.102-mRNA-1_1&gene=genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-0.102&CDS=1-2856
OG0002424	YML012W	genemark-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.188-mRNA-1_1&gene=genemark-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.188&CDS=1-642
OG0002425	YML013W	genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-2.127-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-2.127&CDS=1-1800
OG0002426	YML014W	augustus_masked-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-0.133&CDS=1-1836
OG0002427	YML015C	genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-0.95-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-0.95&CDS=1-723
OG0002428	YML017W	augustus_masked-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-3.61&CDS=1-2703
OG0002429	YML022W	genemark-NODE_28_length_126297_cov_10.052_ID_6990-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_28_length_126297_cov_10.052_ID_6990-processed-gene-0.20&CDS=1-558
OG0002430	YML025C	genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-2.148-mRNA-1_1&gene=genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-2.148&CDS=1-738
OG0002431	YML030W	genemark-NODE_46_length_41125_cov_9.77224_ID_5765-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_46_length_41125_cov_9.77224_ID_5765-processed-gene-0.35&CDS=1-510
OG0002432	YML031W	genemark-NODE_19_length_201965_cov_9.04237_ID_4400-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_19_length_201965_cov_9.04237_ID_4400-processed-gene-0.59&CDS=1-1929
OG0002433	YML034W	maker-NODE_6_length_471149_cov_11.2545_ID_7078-augustus-gene-3.1-mRNA-1_1&gene=maker-NODE_6_length_471149_cov_11.2545_ID_7078-augustus-gene-3.1&CDS=1-2391
OG0002434	YML035C	genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.208-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.208&CDS=1-2268
OG0002435	YML036W	genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-1.59-mRNA-1_1&gene=genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-1.59&CDS=1-591
OG0002436	YML038C	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-3.73-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-3.73&CDS=1-1089
OG0002437	YML042W	snap_masked-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-2.137-mRNA-1_1&gene=snap_masked-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-2.137&CDS=1-1836
OG0002438	YML043C	snap_masked-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-0.48&CDS=1-1410
OG0002439	YML046W	genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.261-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.261&CDS=1-2199
OG0002440	YML048W	genemark-NODE_13_length_330562_cov_9.24065_ID_5779-processed-gene-1.108-mRNA-1_1&gene=genemark-NODE_13_length_330562_cov_9.24065_ID_5779-processed-gene-1.108&CDS=1-1131
OG0002441	YML049C	genemark-NODE_37_length_82542_cov_9.14391_ID_4479-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_37_length_82542_cov_9.14391_ID_4479-processed-gene-0.3&CDS=1-3654
OG0002442	YML052W	genemark-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-1.38-mRNA-1_1&gene=genemark-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-1.38&CDS=1-825
OG0002443	YML056C	genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.236-mRNA-1_1&gene=genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.236&CDS=1-1563
OG0002444	YML059C	snap_masked-NODE_22_length_151621_cov_9.48086_ID_10966-processed-gene-0.140-mRNA-1_1&gene=snap_masked-NODE_22_length_151621_cov_9.48086_ID_10966-processed-gene-0.140&CDS=1-6105
OG0002445	YML060W	genemark-NODE_57_length_11824_cov_8.82386_ID_7313-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_57_length_11824_cov_8.82386_ID_7313-processed-gene-0.19&CDS=1-1059
OG0002446	YML064C	augustus_masked-NODE_44_length_45677_cov_9.73802_ID_5421-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_44_length_45677_cov_9.73802_ID_5421-processed-gene-0.43&CDS=1-2883
OG0002447	YML066C	augustus_masked-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.65&CDS=1-873
OG0002448	YML067C	augustus_masked-NODE_40_length_64572_cov_9.57306_ID_6688-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_40_length_64572_cov_9.57306_ID_6688-processed-gene-0.38&CDS=1-3621
OG0002449	YML069W	genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-1.40-mRNA-1_1&gene=genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-1.40&CDS=1-1647
OG0002450	YML071C	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.102-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.102&CDS=1-1290
OG0002451	YML076C	maker-NODE_42_length_49079_cov_9.6444_ID_8662-augustus-gene-0.19-mRNA-1_1&gene=maker-NODE_42_length_49079_cov_9.6444_ID_8662-augustus-gene-0.19&CDS=1-2910
OG0002452	YML077W	genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-4.225-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-4.225&CDS=1-450
OG0002453	YML080W	maker-NODE_8_length_376714_cov_9.89329_ID_6769-snap-gene-2.277-mRNA-1_1&gene=maker-NODE_8_length_376714_cov_9.89329_ID_6769-snap-gene-2.277&CDS=1-4626
OG0002454	YML081C-A	genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-4.227-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-4.227&CDS=1-186
OG0002455	YML085C	maker-NODE_21_length_185578_cov_10.2295_ID_4326-augustus-gene-0.12-mRNA-1_1&gene=maker-NODE_21_length_185578_cov_10.2295_ID_4326-augustus-gene-0.12&CDS=1-1344
OG0002456	YML086C	genemark-NODE_21_length_185578_cov_10.2295_ID_4326-processed-gene-0.137-mRNA-1_1&gene=genemark-NODE_21_length_185578_cov_10.2295_ID_4326-processed-gene-0.137&CDS=1-1665
OG0002457	YML088W	snap_masked-NODE_21_length_185578_cov_10.2295_ID_4326-processed-gene-0.271-mRNA-1_1&gene=snap_masked-NODE_21_length_185578_cov_10.2295_ID_4326-processed-gene-0.271&CDS=1-2271
OG0002458	YML091C	snap_masked-NODE_21_length_185578_cov_10.2295_ID_4326-processed-gene-0.270-mRNA-1_1&gene=snap_masked-NODE_21_length_185578_cov_10.2295_ID_4326-processed-gene-0.270&CDS=1-3849
OG0002459	YML093W	genemark-NODE_21_length_185578_cov_10.2295_ID_4326-processed-gene-0.184-mRNA-1_1&gene=genemark-NODE_21_length_185578_cov_10.2295_ID_4326-processed-gene-0.184&CDS=1-2577
OG0002460	YML094W	genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-2.83-mRNA-1_1&gene=genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-2.83&CDS=1-459
OG0002461	YML095C	genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-2.78-mRNA-1_1&gene=genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-2.78&CDS=1-1020
OG0002462	YML096W	genemark-NODE_21_length_185578_cov_10.2295_ID_4326-processed-gene-0.116-mRNA-1_1&gene=genemark-NODE_21_length_185578_cov_10.2295_ID_4326-processed-gene-0.116&CDS=1-2016
OG0002463	YML097C	genemark-NODE_13_length_330562_cov_9.24065_ID_5779-processed-gene-0.115-mRNA-1_1&gene=genemark-NODE_13_length_330562_cov_9.24065_ID_5779-processed-gene-0.115&CDS=1-2304
OG0002464	YML098W	genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-2.191-mRNA-1_1&gene=genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-2.191&CDS=1-459
OG0002465	YML099C	genemark-NODE_29_length_108436_cov_9.38215_ID_7047-processed-gene-0.100-mRNA-1_1&gene=genemark-NODE_29_length_108436_cov_9.38215_ID_7047-processed-gene-0.100&CDS=1-2742
OG0002466	YML103C	genemark-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-1.23-mRNA-1_1&gene=genemark-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-1.23&CDS=1-4773
OG0002467	YML104C	genemark-NODE_10_length_362407_cov_10.6213_ID_7761-processed-gene-2.102-mRNA-1_1&gene=genemark-NODE_10_length_362407_cov_10.6213_ID_7761-processed-gene-2.102&CDS=1-3459
