	Candida_arabinofermentans	Saccharomyces_cerevisiae
OG0002994	augustus_masked-scaffold_6-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.80&CDS=1-1092	YDL055C
OG0002995	augustus_masked-scaffold_6-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.63&CDS=1-1278	YBR078W
OG0002996	augustus_masked-scaffold_6-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.84&CDS=1-2928	YBR079C
OG0002997	augustus_masked-scaffold_6-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.85&CDS=1-1893	YMR061W
OG0002998	augustus_masked-scaffold_6-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.65&CDS=1-960	YMR060C
OG0002999	augustus_masked-scaffold_6-processed-gene-6.86-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.86&CDS=1-351	YMR059W
OG0003000	genemark-scaffold_6-processed-gene-6.17-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.17&CDS=1-1020	YMR126C
OG0003001	augustus_masked-scaffold_6-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.67&CDS=1-1053	YOR344C
OG0003002	augustus_masked-scaffold_6-processed-gene-6.68-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.68&CDS=1-1812	YNL254C
OG0003003	augustus_masked-scaffold_6-processed-gene-6.89-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.89&CDS=1-2364	YNL256W
OG0003004	augustus_masked-scaffold_6-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.69&CDS=1-1386	YGR255C
OG0003005	augustus_masked-scaffold_6-processed-gene-6.70-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.70&CDS=1-1140	YDL168W
OG0003006	maker-scaffold_7-snap-gene-0.0-mRNA-1_1&gene=maker-scaffold_7-snap-gene-0.0&CDS=1-8262	YCR093W
OG0003007	augustus_masked-scaffold_7-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.81&CDS=1-702	YDR177W
OG0003008	maker-scaffold_7-snap-gene-0.2-mRNA-1_1&gene=maker-scaffold_7-snap-gene-0.2&CDS=1-1422	YNR051C
OG0003009	augustus_masked-scaffold_7-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.98&CDS=1-1707	YNR052C
OG0003010	maker-scaffold_7-augustus-gene-0.74-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-0.74&CDS=1-1614	YNR053C
OG0003011	genemark-scaffold_7-processed-gene-0.42-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.42&CDS=1-609	YML011C
OG0003012	augustus_masked-scaffold_7-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.102&CDS=1-642	YML012W
OG0003013	augustus_masked-scaffold_7-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.103&CDS=1-2994	YML010W
OG0003014	augustus_masked-scaffold_7-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.104&CDS=1-228	YML009C
OG0003015	maker-scaffold_7-snap-gene-0.1-mRNA-1_1&gene=maker-scaffold_7-snap-gene-0.1&CDS=1-5058	YDR443C
OG0003016	augustus_masked-scaffold_7-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.87&CDS=1-897	YMR269W
OG0003017	augustus_masked-scaffold_7-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.88&CDS=1-2775	YMR268C
OG0003018	maker-scaffold_7-augustus-gene-0.75-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-0.75&CDS=1-4878	YML103C
OG0003019	augustus_masked-scaffold_7-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.89&CDS=1-2250	YBL011W
OG0003020	augustus_masked-scaffold_7-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.90&CDS=1-2289	YGL022W
OG0003021	genemark-scaffold_7-processed-gene-0.71-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.71&CDS=1-156	YJL205C
OG0003022	augustus_masked-scaffold_7-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.93&CDS=1-1953	YHL032C
OG0003023	augustus_masked-scaffold_7-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.95&CDS=1-2199	YPR021C
OG0003024	augustus_masked-scaffold_7-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.0&CDS=1-1128	YML060W
OG0003025	augustus_masked-scaffold_7-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.3&CDS=1-1821	YER036C
OG0003026	augustus_masked-scaffold_7-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.4&CDS=1-615	YDL120W
OG0003027	augustus_masked-scaffold_7-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.8&CDS=1-2238	YML102W
OG0003028	augustus_masked-scaffold_7-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.9&CDS=1-552	YMR264W
OG0003029	augustus_masked-scaffold_7-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.24&CDS=1-519	YMR263W
OG0003030	augustus_masked-scaffold_7-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.10&CDS=1-1101	YHR063C
OG0003031	augustus_masked-scaffold_7-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.13&CDS=1-2124	YJR110W
OG0003032	augustus_masked-scaffold_7-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.25&CDS=1-798	YJR111C
OG0003033	augustus_masked-scaffold_7-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.26&CDS=1-1035	YNL274C
OG0003034	augustus_masked-scaffold_7-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.14&CDS=1-1164	YIL063C
OG0003035	augustus_masked-scaffold_7-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.27&CDS=1-714	YIL064W
OG0003036	augustus_masked-scaffold_7-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.29&CDS=1-1398	YLR231C
OG0003037	augustus_masked-scaffold_7-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.17&CDS=1-1140	YLR113W
OG0003038	genemark-scaffold_7-processed-gene-1.70-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.70&CDS=1-429	YLL050C
OG0003039	genemark-scaffold_7-processed-gene-1.71-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.71&CDS=1-1302	YDL033C
OG0003040	augustus_masked-scaffold_7-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.18&CDS=1-1191	YJR093C
OG0003041	augustus_masked-scaffold_7-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.34&CDS=1-4578	YJR092W
OG0003042	augustus_masked-scaffold_7-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.19&CDS=1-1119	YPR035W
OG0003043	genemark-scaffold_7-processed-gene-1.59-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.59&CDS=1-2550	YPR036W
OG0003044	augustus_masked-scaffold_7-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.0&CDS=1-1149	YPR041W
OG0003045	augustus_masked-scaffold_7-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.2&CDS=1-2244	YJR090C
OG0003046	maker-scaffold_7-snap-gene-2.86-mRNA-1_1&gene=maker-scaffold_7-snap-gene-2.86&CDS=1-468	YOL127W
OG0003047	augustus_masked-scaffold_7-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.20&CDS=1-726	YNL306W
OG0003048	augustus_masked-scaffold_7-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.6&CDS=1-1092	YNL307C
OG0003049	maker-scaffold_7-snap-gene-2.87-mRNA-1_1&gene=maker-scaffold_7-snap-gene-2.87&CDS=1-1728	YOL129W
OG0003050	genemark-scaffold_7-processed-gene-2.123-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.123&CDS=1-1536	YDL013W
OG0003051	genemark-scaffold_7-processed-gene-2.124-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.124&CDS=1-981	YDL014W
OG0003052	augustus_masked-scaffold_7-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.24&CDS=1-1086	YOL093W
OG0003053	augustus_masked-scaffold_7-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.25&CDS=1-1395	YOL072W
OG0003054	augustus_masked-scaffold_7-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.10&CDS=1-1320	YDR198C
OG0003055	augustus_masked-scaffold_7-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.29&CDS=1-1191	YLR242C
OG0003056	genemark-scaffold_7-processed-gene-2.112-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.112&CDS=1-720	YMR073C
OG0003057	maker-scaffold_7-augustus-gene-2.95-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-2.95&CDS=1-423	YMR074C
OG0003058	augustus_masked-scaffold_7-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.37&CDS=1-840	YOR079C
OG0003059	augustus_masked-scaffold_7-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.17&CDS=1-2229	YBR086C
OG0003060	augustus_masked-scaffold_7-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.39&CDS=1-1878	YBL035C
OG0003061	augustus_masked-scaffold_7-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.40&CDS=1-756	YDL051W
OG0003062	augustus_masked-scaffold_7-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.83&CDS=1-1713	YMR013C
OG0003063	augustus_masked-scaffold_7-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.84&CDS=1-3606	YBL037W
OG0003064	genemark-scaffold_7-processed-gene-3.24-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.24&CDS=1-1536	YBR286W
OG0003065	genemark-scaffold_7-processed-gene-3.25-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.25&CDS=1-783	YER126C
OG0003066	augustus_masked-scaffold_7-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.87&CDS=1-1089	YER127W
OG0003067	augustus_masked-scaffold_7-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.100&CDS=1-2559	YFL047W
OG0003068	augustus_masked-scaffold_7-processed-gene-3.101-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.101&CDS=1-2220	YGL178W
OG0003069	augustus_masked-scaffold_7-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.88&CDS=1-3567	YBL007C
OG0003070	augustus_masked-scaffold_7-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.89&CDS=1-2484	YJL057C
OG0003071	genemark-scaffold_7-processed-gene-3.33-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.33&CDS=1-2388	YGL234W
OG0003072	augustus_masked-scaffold_7-processed-gene-3.105-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.105&CDS=1-4701	YMR190C
OG0003073	augustus_masked-scaffold_7-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.107&CDS=1-906	YDR237W
OG0003074	augustus_masked-scaffold_7-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.94&CDS=1-1572	YBL015W
OG0003075	augustus_masked-scaffold_7-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.95&CDS=1-747	YDR226W
OG0003076	augustus_masked-scaffold_7-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.96&CDS=1-5328	YJL053W
OG0003077	maker-scaffold_7-snap-gene-3.82-mRNA-1_1&gene=maker-scaffold_7-snap-gene-3.82&CDS=1-3447	YBR080C
OG0003078	augustus_masked-scaffold_7-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.98&CDS=1-759	YBR261C
OG0003079	augustus_masked-scaffold_7-processed-gene-4.1-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.1&CDS=1-795	YOL147C
OG0003080	augustus_masked-scaffold_7-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.4&CDS=1-624	YOL114C
OG0003081	snap_masked-scaffold_7-processed-gene-4.91-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.91&CDS=1-279	YDR510W
OG0003082	maker-scaffold_7-snap-gene-4.73-mRNA-1_1&gene=maker-scaffold_7-snap-gene-4.73&CDS=1-2007	YNL081C
OG0003083	augustus_masked-scaffold_7-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.11&CDS=1-870	YDL052C
OG0003084	genemark-scaffold_7-processed-gene-4.177-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.177&CDS=1-510	YDR512C
OG0003085	genemark-scaffold_7-processed-gene-4.178-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.178&CDS=1-3105	YJL157C
OG0003086	augustus_masked-scaffold_7-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.41&CDS=1-1584	YNL083W
OG0003087	augustus_masked-scaffold_7-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.13&CDS=1-1578	YIL142W
OG0003088	maker-scaffold_7-augustus-gene-4.245-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-4.245&CDS=1-2166	YLR319C
OG0003089	snap_masked-scaffold_7-processed-gene-4.134-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.134&CDS=1-2508	YLR318W
OG0003090	genemark-scaffold_7-processed-gene-4.182-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.182&CDS=1-1002	YLR316C
OG0003091	augustus_masked-scaffold_7-processed-gene-4.46-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.46&CDS=1-831	YIL003W
OG0003092	augustus_masked-scaffold_7-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.47&CDS=1-1047	YKL011C
OG0003093	augustus_masked-scaffold_7-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.18&CDS=1-1338	YMR010W
OG0003094	augustus_masked-scaffold_7-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.50&CDS=1-1839	YFL053W
OG0003095	augustus_masked-scaffold_7-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.51&CDS=1-435	YDR397C
OG0003096	augustus_masked-scaffold_7-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.23&CDS=1-1590	YHR009C
OG0003097	augustus_masked-scaffold_7-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.24&CDS=1-1143	YDR346C
OG0003098	maker-scaffold_7-snap-gene-4.79-mRNA-1_1&gene=maker-scaffold_7-snap-gene-4.79&CDS=1-3495	YLR077W
OG0003099	augustus_masked-scaffold_7-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.26&CDS=1-1650	YMR297W
OG0003100	augustus_masked-scaffold_7-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.56&CDS=1-3606	YJR035W
OG0003101	augustus_masked-scaffold_7-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.57&CDS=1-324	YJR034W
OG0003102	augustus_masked-scaffold_7-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.28&CDS=1-4614	YJR033C
OG0003103	augustus_masked-scaffold_7-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.58&CDS=1-2478	YGR132C
OG0003104	maker-scaffold_7-augustus-gene-4.248-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-4.248&CDS=1-753	YGR135W
OG0003105	genemark-scaffold_7-processed-gene-4.196-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.196&CDS=1-1473	YPL203W
OG0003106	augustus_masked-scaffold_7-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.60&CDS=1-525	YGL068W
OG0003107	augustus_masked-scaffold_7-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.30&CDS=1-333	YGL070C
OG0003108	maker-scaffold_7-snap-gene-4.82-mRNA-1_1&gene=maker-scaffold_7-snap-gene-4.82&CDS=1-4416	YDL031W
OG0003109	genemark-scaffold_7-processed-gene-4.233-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.233&CDS=1-1524	YOL123W
OG0003110	augustus_masked-scaffold_7-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.31&CDS=1-1329	YOL124C
OG0003111	augustus_masked-scaffold_7-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.32&CDS=1-609	YGR078C
OG0003112	augustus_masked-scaffold_7-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.65&CDS=1-885	YOL073C
OG0003113	augustus_masked-scaffold_7-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.33&CDS=1-2157	YGR077C
OG0003114	augustus_masked-scaffold_7-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.66&CDS=1-2859	YGL201C
OG0003115	augustus_masked-scaffold_7-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.34&CDS=1-1764	YNL308C
OG0003116	augustus_masked-scaffold_7-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.67&CDS=1-936	YGL224C
OG0003117	maker-scaffold_7-snap-gene-4.84-mRNA-1_1&gene=maker-scaffold_7-snap-gene-4.84&CDS=1-7722	YFR019W
OG0003118	augustus_masked-scaffold_7-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.37&CDS=1-387	YDR115W
OG0003119	augustus_masked-scaffold_7-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.70&CDS=1-891	YLR137W
OG0003120	augustus_masked-scaffold_8-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.24&CDS=1-1788	YGR186W
OG0003121	augustus_masked-scaffold_8-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.2&CDS=1-357	YLL014W
OG0003122	augustus_masked-scaffold_8-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.3&CDS=1-1116	YGR187C
OG0003123	maker-scaffold_8-snap-gene-0.46-mRNA-1_1&gene=maker-scaffold_8-snap-gene-0.46&CDS=1-2736	YGL078C
OG0003124	augustus_masked-scaffold_8-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.7&CDS=1-819	YPL196W
OG0003125	augustus_masked-scaffold_8-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.31&CDS=1-1830	YOR205C
OG0003126	augustus_masked-scaffold_8-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.9&CDS=1-2103	YJL012C
OG0003127	augustus_masked-scaffold_8-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.11&CDS=1-1350	YLL006W
OG0003128	augustus_masked-scaffold_8-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.32&CDS=1-1707	YHR187W
OG0003129	augustus_masked-scaffold_8-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.12&CDS=1-3315	YGR258C
OG0003130	augustus_masked-scaffold_8-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.33&CDS=1-429	YGR203W
OG0003131	augustus_masked-scaffold_8-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.34&CDS=1-1443	YGR202C
OG0003132	augustus_masked-scaffold_8-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.13&CDS=1-2577	YGR261C
OG0003133	augustus_masked-scaffold_8-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.14&CDS=1-309	YGR181W
OG0003134	augustus_masked-scaffold_8-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.17&CDS=1-1329	YML126C
OG0003135	augustus_masked-scaffold_8-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.36&CDS=1-756	YMR200W
OG0003136	augustus_masked-scaffold_8-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.20&CDS=1-3300	YMR288W
OG0003137	augustus_masked-scaffold_8-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.21&CDS=1-1248	YOR212W
OG0003138	augustus_masked-scaffold_8-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.37&CDS=1-816	YPL129W
OG0003139	maker-scaffold_8-snap-gene-0.42-mRNA-1_1&gene=maker-scaffold_8-snap-gene-0.42&CDS=1-3894	YDR060W
OG0003140	augustus_masked-scaffold_8-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.43&CDS=1-2376	YBR083W
OG0003141	augustus_masked-scaffold_8-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.44&CDS=1-327	YBL028C
OG0003142	augustus_masked-scaffold_8-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.45&CDS=1-8016	YPR184W
OG0003143	maker-scaffold_8-augustus-gene-1.85-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-1.85&CDS=1-765	YDR381W
OG0003144	augustus_masked-scaffold_8-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.69&CDS=1-309	YDR381C-A
OG0003145	augustus_masked-scaffold_8-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.70&CDS=1-942	YOR130C
OG0003146	augustus_masked-scaffold_8-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.73&CDS=1-2847	YML093W
OG0003147	augustus_masked-scaffold_8-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.52&CDS=1-1128	YHR112C
OG0003148	augustus_masked-scaffold_8-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.53&CDS=1-2223	YDR362C
OG0003149	augustus_masked-scaffold_8-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.74&CDS=1-1344	YHR111W
OG0003150	augustus_masked-scaffold_8-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.75&CDS=1-927	YER016W
OG0003151	augustus_masked-scaffold_8-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.54&CDS=1-1317	YOR123C
OG0003152	augustus_masked-scaffold_8-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.55&CDS=1-378	YOR122C
OG0003153	maker-scaffold_8-augustus-gene-1.87-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-1.87&CDS=1-1443	YDR372C
OG0003154	augustus_masked-scaffold_8-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.78&CDS=1-3960	YOR124C
OG0003155	genemark-scaffold_8-processed-gene-1.14-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.14&CDS=1-1425	YDR375C
OG0003156	augustus_masked-scaffold_8-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.80&CDS=1-834	YDR367W
OG0003157	augustus_masked-scaffold_8-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.58&CDS=1-1590	YOR119C
OG0003158	augustus_masked-scaffold_8-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.81&CDS=1-1923	YOR118W
OG0003159	augustus_masked-scaffold_8-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.59&CDS=1-2004	YDR365C
OG0003160	augustus_masked-scaffold_8-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.62&CDS=1-2697	YGR188C
OG0003161	augustus_masked-scaffold_8-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.82&CDS=1-1860	YHR188C
OG0003162	augustus_masked-scaffold_8-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.64&CDS=1-3999	YOL075C
OG0003163	augustus_masked-scaffold_8-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.83&CDS=1-1539	YOL031C
OG0003164	snap_masked-scaffold_8-processed-gene-1.141-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.141&CDS=1-2016	YNR006W
OG0003165	snap_masked-scaffold_8-processed-gene-2.56-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.56&CDS=1-4212	YMR155W
OG0003166	augustus_masked-scaffold_8-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.96&CDS=1-2739	YBR055C
OG0003167	augustus_masked-scaffold_8-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.83&CDS=1-1551	YMR131C
OG0003168	snap_masked-scaffold_8-processed-gene-2.59-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.59&CDS=1-1347	YFL037W
OG0003169	augustus_masked-scaffold_8-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.101&CDS=1-702	YNL200C
