	Coccidioides_immitis	Saccharomyces_cerevisiae
OG0001741	XP_001244179.1	YER009W
OG0001742	XP_001244182.1	YMR071C
OG0001743	XP_001244185.1	YLR295C
OG0001744	XP_001244186.1	YPR086W
OG0001745	XP_001244194.1	YML126C
OG0001746	XP_001244199.1	YMR105C
OG0001747	XP_001244200.2	YLR059C
OG0001748	XP_001244211.1	YPL072W
OG0001749	XP_001244213.1	YKL060C
OG0001750	XP_001244219.1	YJR139C
OG0001751	XP_001244221.1	YPR049C
OG0001752	XP_001244232.2	YPR061C
OG0001753	XP_001244240.2	YBL080C
OG0001754	XP_001244242.1	YPL111W
OG0001755	XP_001244245.2	YMR277W
OG0001756	XP_001244246.1	YPL154C
OG0001757	XP_001244247.1	YDR394W
OG0001758	XP_001244249.2	YPL016W
OG0001759	XP_001244251.2	YCR071C
OG0001760	XP_001244255.1	YDL100C
OG0001761	XP_001244268.1	YDR045C
OG0001762	XP_001244269.1	YGL242C
OG0001763	XP_001244277.1	YMR212C
OG0001764	XP_001244284.1	YHL027W
OG0001765	XP_001244305.1	YER016W
OG0001766	XP_001244310.1	YIL062C
OG0001767	XP_001244321.1	YMR012W
OG0001768	XP_001244327.1	YLR116W
OG0001769	XP_001244329.1	YHR169W
OG0001770	XP_001244335.1	YGL245W
OG0001771	XP_001244342.2	YDL065C
OG0001772	XP_001244346.2	YER157W
OG0001773	XP_001244347.1	YJL095W
OG0001774	XP_001244349.1	YGL232W
OG0001775	XP_001244353.1	YJL115W
OG0001776	XP_001244354.2	YMR061W
OG0001777	XP_001244357.1	YBR081C
OG0001778	XP_001244359.2	YDL230W
OG0001779	XP_001244360.1	YJL010C
OG0001780	XP_001244370.2	YIL108W
OG0001781	XP_001244376.1	YDR080W
OG0001782	XP_001244377.1	YDR282C
OG0001783	XP_001244380.1	YLR167W
OG0001784	XP_001244388.1	YGL011C
OG0001785	XP_001244390.1	YNL126W
OG0001786	XP_001244397.1	YPR029C
OG0001787	XP_001244411.1	YIL133C
OG0001788	XP_001244413.2	YJR090C
OG0001789	XP_001244415.2	YPR168W
OG0001790	XP_001244416.1	YNL020C
OG0001791	XP_001244437.1	YPL082C
OG0001792	XP_001244441.1	YDR319C
OG0001793	XP_001244449.2	YPR079W
OG0001794	XP_001244454.2	YGL243W
OG0001795	XP_001244460.1	YBL086C
OG0001796	XP_001244461.1	YJR110W
OG0001797	XP_001244462.1	YNL178W
OG0001798	XP_001244463.1	YLR060W
OG0001799	XP_001244464.1	YAL016W
OG0001800	XP_001244472.1	YAL036C
OG0001801	XP_001244478.2	YDR179W-A
OG0001802	XP_001244479.1	YDR400W
OG0001803	XP_001244481.2	YOR369C
OG0001804	XP_001244482.1	YIL112W
OG0001805	XP_001244483.1	YIL049W
OG0001806	XP_001244486.1	YPL244C
OG0001807	XP_001244489.1	YNL308C
OG0001808	XP_001244490.1	YBR085W
OG0001809	XP_001244492.2	YDR169C
OG0001810	XP_001244503.1	YGR271C-A
OG0001811	XP_001244510.1	YBL049W
OG0001812	XP_001244511.1	YNR008W
OG0001813	XP_001244512.1	YKL004W
OG0001814	XP_001244527.2	YLR025W
OG0001815	XP_001244543.2	YOL023W
OG0001816	XP_001244545.2	YHL004W
OG0001817	XP_001244554.2	YKL082C
OG0001818	XP_001244556.2	YKL192C
OG0001819	XP_001244557.1	YDR372C
OG0001820	XP_001244566.1	YOR006C
OG0001821	XP_001244567.2	YJL127C
OG0001822	XP_001244568.2	YJL111W
OG0001823	XP_001244569.1	YOR197W
OG0001824	XP_001244573.1	YMR308C
OG0001825	XP_001244575.2	YJL200C
OG0001826	XP_001244576.1	YPL260W
OG0001827	XP_001244577.1	YDL081C
OG0001828	XP_001244580.1	YDR333C
OG0001829	XP_001244581.2	YOR090C
OG0001830	XP_001244582.2	YGR062C
OG0001831	XP_001244583.1	YNL048W
OG0001832	XP_001244584.1	YNL027W
OG0001833	XP_001244588.2	YJL046W
OG0001834	XP_001244589.1	YGL148W
OG0001835	XP_001244592.2	YBR070C
OG0001836	XP_001244593.1	YPR165W
OG0001837	XP_001244596.1	YNL206C
OG0001838	XP_001244597.2	YNL154C
OG0001839	XP_001244607.2	YGR104C
OG0001840	XP_001244615.2	YBL013W
OG0001841	XP_001244619.1	YGR002C
OG0001842	XP_001244621.1	YER091C
OG0001843	XP_001244623.1	YDL190C
OG0001844	XP_001244624.1	YMR161W
OG0001845	XP_001244626.1	YCL047C
OG0001846	XP_001244631.2	YDR006C
OG0001847	XP_001244636.1	YIL093C
OG0001848	XP_001244640.1	YCL009C
OG0001849	XP_001244643.2	YJL088W
OG0001850	XP_001244648.2	YGL151W
OG0001851	XP_001244649.1	YHR025W
OG0001852	XP_001244653.1	YPL164C
OG0001853	XP_001244654.2	YOR375C
OG0001854	XP_001244657.2	YER070W
OG0001855	XP_001244659.1	YFR007W
OG0001856	XP_001244663.1	YLR253W
OG0001857	XP_001244665.1	YDR529C
OG0001858	XP_001244671.2	YER142C
OG0001859	XP_001244677.1	YBR222C
OG0001860	XP_001244679.1	YDL064W
OG0001861	XP_001244680.2	YGR124W
OG0001862	XP_001244681.1	YNL055C
OG0001863	XP_001244685.1	YBL091C
OG0001864	XP_001244691.2	YML032C
OG0001865	XP_001244696.2	YNL032W
OG0001866	XP_001244697.2	YBL055C
OG0001867	XP_001244710.1	YIR026C
OG0001868	XP_001244713.2	YOR036W
OG0001869	XP_001244714.1	YKL087C
OG0001870	XP_001244715.2	YNR043W
OG0001871	XP_001244716.2	YLR384C
OG0001872	XP_001244717.1	YJL050W
OG0001873	XP_001244718.1	YIR011C
OG0001874	XP_001244730.1	YDR254W
OG0001875	XP_001244732.2	YOR275C
OG0001876	XP_001244739.2	YNL110C
OG0001877	XP_001244754.1	YLR359W
OG0001878	XP_001244757.1	YML095C
OG0001879	XP_001244758.1	YPL043W
OG0001880	XP_001244760.1	YOL057W
OG0001881	XP_001244761.1	YGL083W
OG0001882	XP_001244762.2	YJR148W
OG0001883	XP_001244764.1	YGL019W
OG0001884	XP_001244770.2	YLR321C
OG0001885	XP_001244771.2	YOR043W
OG0001886	XP_001244772.1	YLR208W
OG0001887	XP_001244777.1	YFR009W
OG0001888	XP_001244779.1	YLL028W
OG0001889	XP_001244784.2	YGR233C
OG0001890	XP_001244785.2	YGR147C
OG0001891	XP_001244786.1	YGR220C
OG0001892	XP_001244787.2	YIL157C
OG0001893	XP_001244790.2	YKL088W
OG0001894	XP_001244791.1	YPL059W
OG0001895	XP_001244793.1	YGR007W
OG0001896	XP_001244801.1	YOR323C
OG0001897	XP_001244808.1	YKL059C
OG0001898	XP_001244809.2	YLR071C
OG0001899	XP_001244810.2	YPR175W
OG0001900	XP_001244813.2	YBL020W
OG0001901	XP_001244814.2	YGL078C
OG0001902	XP_001244827.2	YHR144C
OG0001903	XP_001244831.2	YDR244W
OG0001904	XP_001244833.2	YGR012W
OG0001905	XP_001244852.1	YFL017W-A
OG0001906	XP_001244853.1	YCR042C
OG0001907	XP_001244864.1	YEL020C
OG0001908	XP_001244866.2	YDR404C
OG0001909	XP_001244867.1	YGL010W
OG0001910	XP_001244868.1	YBL099W
OG0001911	XP_001244869.2	YKR080W
OG0001912	XP_001244871.2	YKL207W
OG0001913	XP_001244872.1	YDR262W
OG0001914	XP_001244878.2	YPR144C
OG0001915	XP_001244879.1	YPL078C
OG0001916	XP_001244882.2	YCR068W
OG0001917	XP_001244885.1	YLR011W
OG0001918	XP_001244892.1	YCL001W
OG0001919	XP_001244895.1	YDR256C
OG0001920	XP_001244898.1	YBR164C
OG0001921	XP_001244899.2	YOR141C
OG0001922	XP_001244900.1	YBR279W
OG0001923	XP_001244902.2	YER093C
OG0001924	XP_001244904.1	YOR150W
OG0001925	XP_001244907.1	YCR031C
OG0001926	XP_001244908.1	YBR166C
OG0001927	XP_001244913.2	YPR067W
OG0001928	XP_001244916.2	YLR231C
OG0001929	XP_001244918.2	YGL231C
OG0001930	XP_001244920.1	YJL020C
OG0001931	XP_001244923.1	YPL118W
OG0001932	XP_001244924.2	YKL203C
OG0001933	XP_001244935.1	YJL104W
OG0001934	XP_001244947.1	YDR221W
OG0001935	XP_001244952.2	YBR249C
OG0001936	XP_001244988.1	YMR140W
OG0001937	XP_001244992.1	YJR132W
OG0001938	XP_001244993.1	YLR398C
OG0001939	XP_001244995.1	YJR045C
OG0001940	XP_001245010.1	YHR112C
OG0001941	XP_001245018.1	YMR221C
OG0001942	XP_001245024.1	YKL035W
OG0001943	XP_001245032.1	YOR027W
OG0001944	XP_001245033.2	YNR003C
OG0001945	XP_001245034.2	YHR090C
OG0001946	XP_001245035.1	YGL194C
OG0001947	XP_001245038.1	YGL037C
OG0001948	XP_001245040.1	YNL222W
OG0001949	XP_001245044.1	YGR195W
OG0001950	XP_001245046.2	YLR313C
OG0001951	XP_001245052.2	YDR162C
OG0001952	XP_001245053.2	YJR125C
OG0001953	XP_001245055.1	YML056C
OG0001954	XP_001245059.1	YFL022C
OG0001955	XP_001245073.1	YLR248W
OG0001956	XP_001245079.2	YLR451W
OG0001957	XP_001245085.1	YPL063W
OG0001958	XP_001245086.1	YFR004W
OG0001959	XP_001245087.1	YNL330C
OG0001960	XP_001245089.1	YIL039W
OG0001961	XP_001245094.1	YJL041W
OG0001962	XP_001245105.1	YML036W
OG0001963	XP_001245113.1	YGL216W
OG0001964	XP_001245115.2	YER042W
OG0001965	XP_001245121.1	YEL040W
OG0001966	XP_001245122.1	YDR481C
OG0001967	XP_001245132.2	YHR165C
OG0001968	XP_001245135.1	YGL187C
OG0001969	XP_001245145.2	YNL001W
OG0001970	XP_001245153.2	YPL125W
OG0001971	XP_001245160.2	YJL123C
OG0001972	XP_001245174.2	YFL034W
OG0001973	XP_001245178.1	YJR085C
OG0001974	XP_001245179.1	YOR103C
OG0001975	XP_001245180.1	YKR086W
OG0001976	XP_001245183.1	YEL003W
OG0001977	XP_001245187.1	YGL202W
OG0001978	XP_001245190.1	YOL016C
OG0001979	XP_001245193.1	YPR110C
OG0001980	XP_001245194.2	YPR066W
OG0001981	XP_001245195.2	YGR099W
OG0001982	XP_001245196.1	YLR396C
OG0001983	XP_001245197.1	YGR009C
OG0001984	XP_001245217.1	YML069W
OG0001985	XP_001245219.1	YLR084C
OG0001986	XP_001245232.1	YML060W
OG0001987	XP_001245243.2	YPR127W
OG0001988	XP_001245252.1	YDR064W
OG0001989	XP_001245254.2	YDR469W
OG0001990	XP_001245257.1	YPR031W
OG0001991	XP_001245262.2	YDL104C
OG0001992	XP_001245264.1	YPR021C
OG0001993	XP_001245271.2	YGR098C
OG0001994	XP_001245272.1	YJL068C
OG0001995	XP_001245273.1	YKL205W
OG0001996	XP_001245274.1	YGR194C
OG0001997	XP_001245278.2	YJR112W
OG0001998	XP_001245288.1	YMR186W
OG0001999	XP_001245293.2	YKL125W
OG0002000	XP_001245295.1	YLR196W
OG0002001	XP_001245300.1	YNR035C
OG0002002	XP_001245301.1	YLR129W
OG0002003	XP_001245302.1	YHR134W
OG0002004	XP_001245310.1	YPR107C
OG0002005	XP_001245315.2	YDR032C
OG0002006	XP_001245318.2	YBR170C
OG0002007	XP_001245324.1	YNL115C
OG0002008	XP_001245325.2	YHR075C
OG0002009	XP_001245326.2	YBR198C
OG0002010	XP_001245328.1	YIL034C
OG0002011	XP_001245329.1	YIR002C
OG0002012	XP_001245332.1	YCR053W
OG0002013	XP_001245336.2	YGR278W
OG0002014	XP_001245344.1	YMR055C
OG0002015	XP_001245346.1	YOR129C
OG0002016	XP_001245349.1	YDR408C
OG0002017	XP_001245350.2	YNR027W
OG0002018	XP_001245351.2	YBR252W
OG0002019	XP_001245356.1	YCR075C
OG0002020	XP_001245358.1	YDL004W
OG0002021	XP_001245359.1	YFR032C-A
OG0002022	XP_001245371.1	YPR181C
OG0002023	XP_001245372.1	YKL045W
OG0002024	XP_001245374.1	YER170W
OG0002025	XP_001245375.1	YGL085W
OG0002026	XP_001245376.1	YPR128C
OG0002027	XP_001245381.1	YOL006C
OG0002028	XP_001245382.1	YBR039W
OG0002029	XP_001245383.2	YOR288C
OG0002030	XP_001245384.1	YNL132W
OG0002031	XP_001245405.2	YAL002W
OG0002032	XP_001245430.2	YOR360C
OG0002033	XP_001245434.1	YPR131C
OG0002034	XP_001245437.2	YPR187W
OG0002035	XP_001245440.1	YAL042W
OG0002036	XP_001245441.2	YPL169C
OG0002037	XP_001245442.2	YJL029C
OG0002038	XP_001245443.1	YLR340W
OG0002039	XP_001245444.1	YDR165W
OG0002040	XP_001245445.1	YDR047W
OG0002041	XP_001245446.1	YNL064C
OG0002042	XP_001245454.1	YOR359W
OG0002043	XP_001245455.1	YGR047C
OG0002044	XP_001245464.2	YPL218W
OG0002045	XP_001245465.2	YER133W
OG0002046	XP_001245471.1	YER019C-A
OG0002047	XP_001245472.1	YPR112C
OG0002048	XP_001245473.1	YDR424C
OG0002049	XP_001245474.2	YHR104W
OG0002050	XP_001245476.2	YKL193C
OG0002051	XP_001245477.1	YLR019W
OG0002052	XP_001245485.2	YDR255C
OG0002053	XP_001245491.2	YKL150W
OG0002054	XP_001245500.1	YEL062W
OG0002055	XP_001245501.1	YDR176W
OG0002056	XP_001245506.2	YPR201W
OG0002057	XP_001245514.1	YIL098C
OG0002058	XP_001245517.1	YKL040C
OG0002059	XP_001245521.1	YLR029C
OG0002060	XP_001245530.1	YDL045W-A
OG0002061	XP_001245533.1	YKR092C
OG0002062	XP_001245534.1	YER008C
OG0002063	XP_001245535.1	YLR422W
OG0002064	XP_001245544.1	YJR113C
OG0002065	XP_001245547.2	YLR144C
OG0002066	XP_001245549.1	YML093W
OG0002067	XP_001245550.1	YBR282W
OG0002068	XP_001245551.1	YGL141W
OG0002069	XP_001245552.1	YER165W
OG0002070	XP_001245553.1	YGL161C
OG0002071	XP_001245556.1	YDR484W
OG0002072	XP_001245559.2	YFL027C
OG0002073	XP_001245561.1	YAL035W
OG0002074	XP_001245568.2	YMR015C
OG0002075	XP_001245571.1	YPL243W
OG0002076	XP_001245572.2	YLR067C
OG0002077	XP_001245575.1	YAL009W
OG0002078	XP_001245576.2	YGR110W
OG0002079	XP_001245577.2	YMR262W
OG0002080	XP_001245591.2	YKR051W
OG0002081	XP_001245592.1	YLR087C
OG0002082	XP_001245602.1	YJL100W
OG0002083	XP_001245603.2	YKR034W
OG0002084	XP_001245604.2	YMR155W
OG0002085	XP_001245605.1	YDR105C
OG0002086	XP_001245606.2	YNL082W
OG0002087	XP_001245611.2	YIL042C
OG0002088	XP_001245620.1	YPL217C
OG0002089	XP_001245622.1	YIL065C
OG0002090	XP_001245634.1	YGL026C
OG0002091	XP_001245636.1	YBR127C
OG0002092	XP_001245647.1	YOL097C
OG0002093	XP_001245652.1	YJL106W
OG0002094	XP_001245662.1	YOR163W
OG0002095	XP_001245663.1	YIL021W
OG0002096	XP_001245664.2	YGL017W
OG0002097	XP_001245674.1	YOR232W
OG0002098	XP_001245675.1	YPR047W
OG0002099	XP_001245676.1	YLR348C
OG0002100	XP_001245725.1	YER082C
OG0002101	XP_001245726.2	YDL060W
OG0002102	XP_001245730.1	YBL050W
OG0002103	XP_001245733.1	YDR376W
OG0002104	XP_001245734.1	YHR151C
OG0002105	XP_001245735.1	YPL094C
OG0002106	XP_001245755.2	YML042W
OG0002107	XP_001245758.1	YDL076C
OG0002108	XP_001245760.2	YJL059W
OG0002109	XP_001245765.2	YOL140W
OG0002110	XP_001245767.1	YBR269C
OG0002111	XP_001245771.1	YIL103W
OG0002112	XP_001245775.1	YDR298C
OG0002113	XP_001245776.1	YIL106W
OG0002114	XP_001245777.1	YNL213C
OG0002115	XP_001245779.1	YPL133C
OG0002116	XP_001245788.1	YPL132W
OG0002117	XP_001245789.2	YBR087W
OG0002118	XP_001245790.1	YBL038W
OG0002119	XP_001245791.1	YOR217W
OG0002120	XP_001245793.2	YLR314C
OG0002121	XP_001245797.2	YMR166C
OG0002122	XP_001245799.1	YKL195W
OG0002123	XP_001245804.2	YOR143C
OG0002124	XP_001245805.2	YHR077C
OG0002125	XP_001245817.1	YPR004C
OG0002126	XP_001245819.2	YMR078C
OG0002127	XP_001245820.2	YFR037C
OG0002128	XP_001245822.1	YDR332W
OG0002129	XP_001245823.1	YFL025C
OG0002130	XP_001245830.1	YIL046W
OG0002131	XP_001245835.1	YOR119C
OG0002132	XP_001245836.1	YJL074C
OG0002133	XP_001245838.1	YIL043C
OG0002134	XP_001245839.2	YDR341C
OG0002135	XP_001245918.2	YLR276C
OG0002136	XP_001245923.2	YPR140W
OG0002137	XP_001245924.1	YKL138C
OG0002138	XP_001245941.2	YOL078W
OG0002139	XP_001245942.1	YPL203W
OG0002140	XP_001245943.2	YGR181W
OG0002141	XP_001245947.2	YLR106C
OG0002142	XP_001245949.1	YER023W
OG0002143	XP_001245953.2	YDL001W
OG0002144	XP_001245959.1	YOR079C
OG0002145	XP_001245962.1	YPL001W
OG0002146	XP_001245965.2	YNL128W
OG0002147	XP_001245968.1	YJL085W
OG0002148	XP_001245984.1	YOR063W
OG0002149	XP_001245986.2	YBR112C
OG0002150	XP_001245989.1	YPL012W
OG0002151	XP_001245990.2	YJL124C
OG0002152	XP_001245993.1	YML092C
OG0002153	XP_001246005.2	YDL077C
OG0002154	XP_001246017.2	YDR170C
OG0002155	XP_001246018.1	YNL071W
OG0002156	XP_001246023.1	YLR078C
OG0002157	XP_001246025.1	YKL085W
OG0002158	XP_001246026.2	YBR213W
OG0002159	XP_001246027.1	YKL181W
OG0002160	XP_001246031.2	YLR182W
OG0002161	XP_001246037.2	YNL313C
OG0002162	XP_001246042.2	YJL197W
OG0002163	XP_001246043.1	YDL113C
OG0002164	XP_001246045.1	YMR259C
OG0002165	XP_001246046.1	YNR017W
OG0002166	XP_001246048.2	YKL116C
OG0002167	XP_001246051.1	YJR016C
OG0002168	XP_001246055.1	YER159C
OG0002169	XP_001246057.1	YJR103W
OG0002170	XP_001246061.2	YPR141C
OG0002171	XP_001246064.1	YPR139C
OG0002172	XP_001246071.1	YMR278W
OG0002173	XP_001246073.2	YGL110C
OG0002174	XP_001246074.1	YHL015W
OG0002175	XP_001246077.2	YLR086W
OG0002176	XP_001246081.2	YMR265C
OG0002177	XP_001246091.1	YJL143W
OG0002178	XP_001246092.1	YIL070C
OG0002179	XP_001246093.2	YIR008C
OG0002180	XP_001246101.2	YDR536W
OG0002181	XP_001246105.2	YOR210W
OG0002182	XP_001246106.1	YPL126W
OG0002183	XP_001246110.2	YFL018C
OG0002184	XP_001246138.1	YLR216C
OG0002185	XP_001246139.1	YDL219W
OG0002186	XP_001246140.1	YIL038C
OG0002187	XP_001246145.1	YDL200C
OG0002188	XP_001246149.1	YLR336C
OG0002189	XP_001246150.1	YMR130W
OG0002190	XP_001246152.1	YCL061C
OG0002191	XP_001246153.1	YGL244W
OG0002192	XP_001246154.2	YOR125C
OG0002193	XP_001246157.1	YNL192W
OG0002194	XP_001246164.1	YMR093W
OG0002195	XP_001246165.2	YNL152W
OG0002196	XP_001246168.2	YNL177C
OG0002197	XP_001246170.1	YMR268C
OG0002198	XP_001246176.1	YKL128C
OG0002199	XP_001246182.1	YDR477W
OG0002200	XP_001246183.1	YLR193C
OG0002201	XP_001246184.1	YMR289W
OG0002202	XP_001246191.2	YDR189W
OG0002203	XP_001246193.2	YLR289W
OG0002204	XP_001246194.2	YJL030W
OG0002205	XP_001246195.2	YOR116C
OG0002206	XP_001246200.1	YLR355C
OG0002207	XP_001246201.2	YKL218C
OG0002208	XP_001246204.1	YDL067C
OG0002209	XP_001246205.1	YLR306W
OG0002210	XP_001246211.2	YMR063W
OG0002211	XP_001246212.1	YLR026C
OG0002212	XP_001246276.1	YBL023C
OG0002213	XP_001246292.2	YPL042C
OG0002214	XP_001246297.2	YGR170W
OG0002215	XP_001246304.2	YDL056W
OG0002216	XP_001246313.1	YJL101C
OG0002217	XP_001246320.1	YMR035W
OG0002218	XP_001246321.1	YDR104C
OG0002219	XP_001246325.2	YLR285W
OG0002220	XP_001246327.2	YKL110C
OG0002221	XP_001246337.1	YPR003C
OG0002222	XP_001246338.1	YJR007W
OG0002223	XP_001246339.1	YOR087W
OG0002224	XP_001246340.2	YDR323C
OG0002225	XP_001246341.2	YEL031W
OG0002226	XP_001246342.1	YOR168W
OG0002227	XP_001246345.1	YIR034C
OG0002228	XP_001246348.2	YDR388W
OG0002229	XP_001246354.1	YCL017C
OG0002230	XP_001246355.1	YJR078W
OG0002231	XP_001246356.1	YCL008C
OG0002232	XP_001246357.1	YFL026W
OG0002233	XP_001246359.1	YGR262C
OG0002234	XP_001246364.1	YML067C
OG0002235	XP_001246366.2	YDR479C
OG0002236	XP_001246368.1	YER002W
OG0002237	XP_001246369.1	YIL023C
OG0002238	XP_001246370.1	YPL050C
OG0002239	XP_001246390.1	YOR032C
OG0002240	XP_001246405.2	YKL069W
OG0002241	XP_001246407.1	YOR046C
OG0002242	XP_001246408.1	YHR114W
OG0002243	XP_001246410.1	YOL030W
OG0002244	XP_001246414.2	YJL153C
OG0002245	XP_001246418.2	YKR090W
OG0002246	XP_001246419.2	YPL206C
OG0002247	XP_001246426.2	YEL020W-A
OG0002248	XP_001246427.1	YDL168W
OG0002249	XP_001246430.2	YDR302W
OG0002250	XP_001246434.2	YKL017C
OG0002251	XP_001246447.2	YIL129C
OG0002252	XP_001246449.1	YHR042W
OG0002253	XP_001246452.1	YDL045C
OG0002254	XP_001246453.1	YNL312W
OG0002255	XP_001246454.1	YDL031W
OG0002256	XP_001246461.1	YJL033W
OG0002257	XP_001246463.1	YDR338C
OG0002258	XP_001246465.1	YPL117C
OG0002259	XP_001246469.1	YBR097W
OG0002260	XP_001246473.1	YHR040W
OG0002261	XP_001246480.2	YPL020C
OG0002262	XP_001246484.1	YDR016C
OG0002263	XP_001246485.1	YPR182W
OG0002264	XP_001246488.2	YCR090C
OG0002265	XP_001246492.2	YOR022C
OG0002266	XP_001246494.1	YHR026W
OG0002267	XP_001246495.2	YLR262C
OG0002268	XP_001246498.1	YJR137C
OG0002269	XP_001246500.2	YFL036W
OG0002270	XP_001246511.1	YKL058W
OG0002271	XP_001246521.1	YKL210W
OG0002272	XP_001246523.2	YNL083W
OG0002273	XP_001246524.2	YNL025C
OG0002274	XP_001246533.1	YGL241W
OG0002275	XP_001246538.2	YEL036C
OG0002276	XP_001246539.2	YGL105W
OG0002277	XP_001246544.1	YGL091C
OG0002278	XP_001246545.1	YGR157W
OG0002279	XP_001246550.2	YHR020W
OG0002280	XP_001246551.1	YDR212W
OG0002281	XP_001246553.1	YMR229C
OG0002282	XP_001246558.1	YIL026C
OG0002283	XP_001246561.2	YBR220C
OG0002284	XP_001246566.1	YIL083C
OG0002285	XP_001246568.1	YML123C
OG0002286	XP_001246572.2	YDR531W
OG0002287	XP_001246575.2	YPL076W
OG0002288	XP_001246593.1	YBR187W
OG0002289	XP_001246606.1	YBR189W
OG0002290	XP_001246608.1	YBR192W
OG0002291	XP_001246613.1	YDR086C
OG0002292	XP_001246615.1	YOR357C
OG0002293	XP_001246621.1	YDR158W
OG0002294	XP_001246627.1	YDR088C
OG0002295	XP_001246628.2	YPL167C
OG0002296	XP_001246633.1	YGL191W
OG0002297	XP_001246634.2	YBL019W
OG0002298	XP_001246638.2	YNL243W
OG0002299	XP_001246639.1	YPR091C
OG0002300	XP_001246640.2	YCR081W
OG0002301	XP_001246642.1	YAR015W
OG0002302	XP_001246644.1	YNL244C
OG0002303	XP_001246648.2	YBR260C
OG0002304	XP_001246653.1	YLR003C
OG0002305	XP_001246655.2	YGR112W
OG0002306	XP_001246658.1	YMR002W
OG0002307	XP_001246660.1	YHR063C
OG0002308	XP_001246663.2	YDR204W
OG0002309	XP_001246665.1	YNL272C
OG0002310	XP_001246666.1	YJL203W
OG0002311	XP_001246667.2	YDL095W
OG0002312	XP_001246669.1	YLR246W
OG0002313	XP_001246672.2	YER048W-A
OG0002314	XP_001246683.1	YJR010W
OG0002315	XP_001246685.1	YPR167C
OG0002316	XP_001246686.1	YGR208W
OG0002317	XP_001246687.1	YOR196C
OG0002318	XP_001246697.2	YKR069W
OG0002319	XP_001246698.1	YDL147W
OG0002320	XP_001246709.1	YNL245C
OG0002321	XP_001246711.1	YLR239C
OG0002322	XP_001246712.2	YMR068W
OG0002323	XP_001246713.1	YBR003W
OG0002324	XP_001246714.1	YER021W
OG0002325	XP_001246716.2	YDR145W
OG0002326	XP_001246721.1	YGR054W
OG0002327	XP_001246725.1	YFR027W
OG0002328	XP_001246726.1	YLR186W
OG0002329	XP_001246733.2	YKL113C
OG0002330	XP_001246742.1	YPL127C
OG0002331	XP_001246743.1	YDR208W
OG0002332	XP_001246745.1	YNL172W
OG0002333	XP_001246748.2	YBR215W
OG0002334	XP_001246749.2	YDR527W
OG0002335	XP_001246751.1	YBR180W
OG0002336	XP_001246752.2	YDR402C
OG0002337	XP_001246753.1	YDR403W
OG0002338	XP_001246769.1	YGR116W
OG0002339	XP_001246770.1	YDL159W
OG0002340	XP_001246772.1	YMR110C
OG0002341	XP_001246775.2	YOR304W
OG0002342	XP_001246776.1	YOR201C
OG0002343	XP_001246779.1	YDR175C
OG0002344	XP_001246780.1	YGL047W
OG0002345	XP_001246785.2	YLR298C
OG0002346	XP_001246786.1	YAL053W
OG0002347	XP_001246788.2	YMR290C
OG0002348	XP_001246792.2	YDL090C
OG0002349	XP_001246797.1	YLL039C
OG0002350	XP_001246798.2	YHL010C
OG0002351	XP_001246808.1	YFR048W
OG0002352	XP_001246818.2	YGR252W
OG0002353	XP_001246819.1	YOR301W
OG0002354	XP_001246821.1	YDR270W
OG0002355	XP_001246827.2	YLR361C
OG0002356	XP_001246831.2	YAL021C
OG0002357	XP_001246837.1	YBR122C
OG0002358	XP_001246838.2	YOR069W
OG0002359	XP_001246839.1	YJR024C
OG0002360	XP_001246842.1	YAL058W
OG0002361	XP_001246846.2	YNR030W
OG0002362	XP_001246850.1	YPR033C
OG0002363	XP_001246851.2	YGR255C
OG0002364	XP_001246852.1	YJL036W
OG0002365	XP_001246854.1	YNL238W
OG0002366	XP_001246856.1	YDR353W
OG0002367	XP_001246860.1	YKR088C
OG0002368	XP_001246863.1	YDR084C
OG0002369	XP_001246871.1	YDR100W
OG0002370	XP_001246876.2	YMR226C
OG0002371	XP_001246878.1	YOR101W
OG0002372	XP_001246879.2	YMR178W
OG0002373	XP_001246880.2	YDR063W
OG0002374	XP_001246891.1	YBR257W
OG0002375	XP_001246893.2	YAR008W
OG0002376	XP_001246894.1	YPL101W
OG0002377	XP_001246895.1	YOR224C
OG0002378	XP_001246896.1	YJR142W
OG0002379	XP_001246897.1	YOL032W
OG0002380	XP_001246898.2	YLR126C
OG0002381	XP_001246903.1	YKR024C
OG0002382	XP_001246904.1	YIL145C
OG0002383	XP_001246908.1	YER005W
OG0002384	XP_001246909.2	YPL213W
OG0002385	XP_001246927.2	YDR393W
OG0002386	XP_001246928.1	YEL024W
OG0002387	XP_001246931.2	YBR035C
OG0002388	XP_001246933.2	YJR138W
OG0002389	XP_001246939.2	YEL026W
OG0002390	XP_001246942.1	YGL201C
OG0002391	XP_001246943.2	YMR220W
OG0002392	XP_001246945.1	YBR173C
OG0002393	XP_001246946.1	YNR036C
OG0002394	XP_001246947.1	YOR099W
OG0002395	XP_001246948.1	YCR077C
OG0002396	XP_001246950.1	YBR019C
OG0002397	XP_001246951.1	YNL181W
OG0002398	XP_001246953.2	YDR164C
OG0002399	XP_001246954.1	YPL029W
OG0002400	XP_001246972.2	YER013W
OG0002401	XP_001246974.1	YKL014C
OG0002402	XP_001246975.1	YDR365C
OG0002403	XP_001246976.1	YNR012W
OG0002404	XP_001246978.1	YDR180W
OG0002405	XP_001246979.2	YJR063W
OG0002406	XP_001246980.1	YJR070C
