	Metschnikowia_hibisci	Saccharomyces_cerevisiae
OG0002881	augustus_masked-hib_s93-processed-gene-15.71-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.71&CDS=1-2109	YDR496C
OG0002882	augustus_masked-hib_s93-processed-gene-15.72-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.72&CDS=1-4239	YGL156W
OG0002883	augustus_masked-hib_s93-processed-gene-15.73-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.73&CDS=1-2175	YDR211W
OG0002884	augustus_masked-hib_s93-processed-gene-15.74-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.74&CDS=1-1476	YGR175C
OG0002885	augustus_masked-hib_s93-processed-gene-15.75-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.75&CDS=1-1236	YDL128W
OG0002886	augustus_masked-hib_s93-processed-gene-15.94-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.94&CDS=1-1662	YDR212W
OG0002887	augustus_masked-hib_s93-processed-gene-15.77-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.77&CDS=1-1302	YER061C
OG0002888	augustus_masked-hib_s93-processed-gene-15.78-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.78&CDS=1-2532	YDL149W
OG0002889	augustus_masked-hib_s93-processed-gene-15.79-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.79&CDS=1-2364	YDL148C
OG0002890	augustus_masked-hib_s93-processed-gene-15.97-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.97&CDS=1-678	YGR232W
OG0002891	augustus_masked-hib_s93-processed-gene-15.80-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.80&CDS=1-825	YDL193W
OG0002892	genemark-hib_s93-processed-gene-15.53-mRNA-1_1&gene=genemark-hib_s93-processed-gene-15.53&CDS=1-3099	YDL190C
OG0002893	augustus_masked-hib_s93-processed-gene-15.83-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.83&CDS=1-594	YDL135C
OG0002894	augustus_masked-hib_s93-processed-gene-15.84-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.84&CDS=1-1713	YHR151C
OG0002895	augustus_masked-hib_s93-processed-gene-15.85-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-15.85&CDS=1-906	YGR231C
OG0002896	augustus_masked-hib_s93-processed-gene-16.6-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.6&CDS=1-1527	YCL009C
OG0002897	augustus_masked-hib_s93-processed-gene-16.7-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.7&CDS=1-1689	YBR200W
OG0002898	augustus_masked-hib_s93-processed-gene-16.12-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.12&CDS=1-1101	YLR105C
OG0002899	augustus_masked-hib_s93-processed-gene-16.13-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.13&CDS=1-504	YER159C
OG0002900	augustus_masked-hib_s93-processed-gene-16.14-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.14&CDS=1-2244	YDR109C
OG0002901	augustus_masked-hib_s93-processed-gene-16.36-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.36&CDS=1-1884	YKR056W
OG0002902	augustus_masked-hib_s93-processed-gene-16.16-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.16&CDS=1-1272	YBR162C
OG0002903	augustus_masked-hib_s93-processed-gene-16.21-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.21&CDS=1-1851	YDL185W
OG0002904	augustus_masked-hib_s93-processed-gene-16.39-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.39&CDS=1-1011	YDL183C
OG0002905	augustus_masked-hib_s93-processed-gene-16.22-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.22&CDS=1-1149	YDL133W
OG0002906	maker-hib_s93-augustus-gene-16.2-mRNA-1_1&gene=maker-hib_s93-augustus-gene-16.2&CDS=1-5010	YDL145C
OG0002907	augustus_masked-hib_s93-processed-gene-16.27-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.27&CDS=1-1584	YGR123C
OG0002908	augustus_masked-hib_s93-processed-gene-16.28-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.28&CDS=1-204	YLR218C
OG0002909	augustus_masked-hib_s93-processed-gene-16.29-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.29&CDS=1-1410	YDL139C
OG0002910	augustus_masked-hib_s93-processed-gene-16.30-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.30&CDS=1-1680	YBR170C
OG0002911	augustus_masked-hib_s93-processed-gene-16.31-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.31&CDS=1-2082	YPL106C
OG0002912	maker-hib_s93-snap-gene-16.140-mRNA-1_1&gene=maker-hib_s93-snap-gene-16.140&CDS=1-2091	YMR216C
OG0002913	augustus_masked-hib_s93-processed-gene-16.45-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.45&CDS=1-1647	YPL086C
OG0002914	augustus_masked-hib_s93-processed-gene-16.33-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.33&CDS=1-867	YBR185C
OG0002915	augustus_masked-hib_s93-processed-gene-16.46-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-16.46&CDS=1-1152	YPL054W
OG0002916	augustus_masked-hib_s93-processed-gene-17.104-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.104&CDS=1-1767	YMR013C
OG0002917	augustus_masked-hib_s93-processed-gene-17.105-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.105&CDS=1-3225	YPL195W
OG0002918	augustus_masked-hib_s93-processed-gene-17.106-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.106&CDS=1-2130	YIL108W
OG0002919	augustus_masked-hib_s93-processed-gene-17.107-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.107&CDS=1-5781	YJL074C
OG0002920	augustus_masked-hib_s93-processed-gene-17.128-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.128&CDS=1-1374	YDR023W
OG0002921	augustus_masked-hib_s93-processed-gene-17.130-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.130&CDS=1-1485	YGL160W
OG0002922	genemark-hib_s93-processed-gene-17.11-mRNA-1_1&gene=genemark-hib_s93-processed-gene-17.11&CDS=1-510	YJL024C
OG0002923	augustus_masked-hib_s93-processed-gene-17.131-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.131&CDS=1-435	YGR174C
OG0002924	augustus_masked-hib_s93-processed-gene-17.113-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.113&CDS=1-1743	YDR213W
OG0002925	augustus_masked-hib_s93-processed-gene-17.114-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.114&CDS=1-573	YLR229C
OG0002926	augustus_masked-hib_s93-processed-gene-17.117-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.117&CDS=1-450	YBL092W
OG0002927	augustus_masked-hib_s93-processed-gene-17.135-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.135&CDS=1-828	YML052W
OG0002928	augustus_masked-hib_s93-processed-gene-17.136-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.136&CDS=1-1683	YCR068W
OG0002929	augustus_masked-hib_s93-processed-gene-17.119-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.119&CDS=1-1239	YCR066W
OG0002930	augustus_masked-hib_s93-processed-gene-17.120-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.120&CDS=1-1470	YHL008C
OG0002931	augustus_masked-hib_s93-processed-gene-17.121-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.121&CDS=1-1845	YLR276C
OG0002932	snap_masked-hib_s93-processed-gene-17.72-mRNA-1_1&gene=snap_masked-hib_s93-processed-gene-17.72&CDS=1-414	YNL281W
OG0002933	augustus_masked-hib_s93-processed-gene-17.139-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.139&CDS=1-2295	YDR485C
OG0002934	augustus_masked-hib_s93-processed-gene-17.123-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.123&CDS=1-945	YOL096C
OG0002935	augustus_masked-hib_s93-processed-gene-17.141-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.141&CDS=1-1560	YNL138W
OG0002936	augustus_masked-hib_s93-processed-gene-17.124-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.124&CDS=1-2319	YNL059C
OG0002937	augustus_masked-hib_s93-processed-gene-17.142-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.142&CDS=1-1788	YNL061W
OG0002938	augustus_masked-hib_s93-processed-gene-17.125-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.125&CDS=1-1455	YNL062C
OG0002939	augustus_masked-hib_s93-processed-gene-17.143-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.143&CDS=1-858	YNL063W
OG0002940	augustus_masked-hib_s93-processed-gene-17.144-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-17.144&CDS=1-1407	YNL137C
OG0002941	snap_masked-hib_s93-processed-gene-17.97-mRNA-1_1&gene=snap_masked-hib_s93-processed-gene-17.97&CDS=1-1644	YEL063C
OG0002942	augustus_masked-hib_s93-processed-gene-18.168-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.168&CDS=1-1926	YNL124W
OG0002943	maker-hib_s93-augustus-gene-18.250-mRNA-1_1&gene=maker-hib_s93-augustus-gene-18.250&CDS=1-5811	YHR120W
OG0002944	augustus_masked-hib_s93-processed-gene-18.172-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.172&CDS=1-2925	YNL123W
OG0002945	snap_masked-hib_s93-processed-gene-18.126-mRNA-1_1&gene=snap_masked-hib_s93-processed-gene-18.126&CDS=1-270	YNL122C
OG0002946	augustus_masked-hib_s93-processed-gene-18.208-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.208&CDS=1-2886	YCR017C
OG0002947	maker-hib_s93-snap-gene-18.80-mRNA-1_1&gene=maker-hib_s93-snap-gene-18.80&CDS=1-1071	YBR039W
OG0002948	augustus_masked-hib_s93-processed-gene-18.213-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.213&CDS=1-339	YHR116W
OG0002949	augustus_masked-hib_s93-processed-gene-18.176-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.176&CDS=1-1269	YNL119W
OG0002950	augustus_masked-hib_s93-processed-gene-18.215-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.215&CDS=1-1008	YIR026C
OG0002951	augustus_masked-hib_s93-processed-gene-18.178-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.178&CDS=1-1845	YER068W
OG0002952	snap_masked-hib_s93-processed-gene-18.139-mRNA-1_1&gene=snap_masked-hib_s93-processed-gene-18.139&CDS=1-2874	YPL040C
OG0002953	genemark-hib_s93-processed-gene-18.53-mRNA-1_1&gene=genemark-hib_s93-processed-gene-18.53&CDS=1-1386	YNR001C
OG0002954	augustus_masked-hib_s93-processed-gene-18.220-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.220&CDS=1-1590	YBR163W
OG0002955	augustus_masked-hib_s93-processed-gene-18.183-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.183&CDS=1-3930	YOR048C
OG0002956	augustus_masked-hib_s93-processed-gene-18.224-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.224&CDS=1-5622	YJL039C
OG0002957	augustus_masked-hib_s93-processed-gene-18.226-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.226&CDS=1-1656	YKR097W
OG0002958	genemark-hib_s93-processed-gene-18.20-mRNA-1_1&gene=genemark-hib_s93-processed-gene-18.20&CDS=1-1221	YIL153W
OG0002959	augustus_masked-hib_s93-processed-gene-18.228-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.228&CDS=1-4734	YMR247C
OG0002960	augustus_masked-hib_s93-processed-gene-18.231-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.231&CDS=1-2793	YFL024C
OG0002961	maker-hib_s93-augustus-gene-18.248-mRNA-1_1&gene=maker-hib_s93-augustus-gene-18.248&CDS=1-1113	YKL120W
OG0002962	augustus_masked-hib_s93-processed-gene-18.192-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.192&CDS=1-1200	YKR048C
OG0002963	augustus_masked-hib_s93-processed-gene-18.233-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.233&CDS=1-849	YHR071W
OG0002964	augustus_masked-hib_s93-processed-gene-18.234-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.234&CDS=1-2172	YKL025C
OG0002965	augustus_masked-hib_s93-processed-gene-18.195-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.195&CDS=1-825	YKL024C
OG0002966	snap_masked-hib_s93-processed-gene-18.157-mRNA-1_1&gene=snap_masked-hib_s93-processed-gene-18.157&CDS=1-798	YGR024C
OG0002967	augustus_masked-hib_s93-processed-gene-18.196-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.196&CDS=1-3501	YPR010C
OG0002968	augustus_masked-hib_s93-processed-gene-18.197-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.197&CDS=1-12480	YKR054C
OG0002969	augustus_masked-hib_s93-processed-gene-18.240-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.240&CDS=1-1053	YGR104C
OG0002970	genemark-hib_s93-processed-gene-18.75-mRNA-1_1&gene=genemark-hib_s93-processed-gene-18.75&CDS=1-228	YGR105W
OG0002971	augustus_masked-hib_s93-processed-gene-18.242-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.242&CDS=1-1320	YNL280C
OG0002972	maker-hib_s93-augustus-gene-18.249-mRNA-1_1&gene=maker-hib_s93-augustus-gene-18.249&CDS=1-2175	YOR063W
OG0002973	augustus_masked-hib_s93-processed-gene-18.244-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.244&CDS=1-1494	YMR093W
OG0002974	augustus_masked-hib_s93-processed-gene-18.202-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.202&CDS=1-1860	YMR313C
OG0002975	augustus_masked-hib_s93-processed-gene-18.245-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.245&CDS=1-810	YMR312W
OG0002976	augustus_masked-hib_s94-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-0.84&CDS=1-1194	YPL123C
OG0002977	augustus_masked-hib_s94-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-0.85&CDS=1-1341	YER043C
OG0002978	augustus_masked-hib_s94-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-0.89&CDS=1-1443	YFR044C
OG0002979	augustus_masked-hib_s94-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-0.90&CDS=1-1062	YOR288C
OG0002980	augustus_masked-hib_s94-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-0.91&CDS=1-1059	YJR100C
OG0002981	augustus_masked-hib_s94-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-0.92&CDS=1-933	YJR095W
OG0002982	augustus_masked-hib_s94-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-0.93&CDS=1-1344	YNL237W
OG0002983	augustus_masked-hib_s94-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-0.77&CDS=1-2535	YNL238W
OG0002984	augustus_masked-hib_s94-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-0.78&CDS=1-1506	YNL241C
OG0002985	snap_masked-hib_s94-processed-gene-0.62-mRNA-1_1&gene=snap_masked-hib_s94-processed-gene-0.62&CDS=1-1248	YNL051W
OG0002986	augustus_masked-hib_s94-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-0.82&CDS=1-972	YBL033C
OG0002987	augustus_masked-hib_s94-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-0.101&CDS=1-1098	YLR113W
OG0002988	augustus_masked-hib_s94-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-0.83&CDS=1-684	YMR077C
OG0002989	augustus_masked-hib_s94-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-0.103&CDS=1-1020	YGL040C
OG0002990	augustus_masked-hib_s94-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-1.80&CDS=1-2379	YJL041W
OG0002991	augustus_masked-hib_s94-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-1.81&CDS=1-744	YKL152C
OG0002992	augustus_masked-hib_s94-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-1.83&CDS=1-1878	YHL032C
OG0002993	augustus_masked-hib_s94-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-1.97&CDS=1-1437	YDL103C
OG0002994	maker-hib_s94-augustus-gene-1.75-mRNA-1_1&gene=maker-hib_s94-augustus-gene-1.75&CDS=1-4695	YJR092W
OG0002995	augustus_masked-hib_s94-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-1.85&CDS=1-783	YJR093C
OG0002996	augustus_masked-hib_s94-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-1.99&CDS=1-1191	YPR041W
OG0002997	augustus_masked-hib_s94-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-1.100&CDS=1-1332	YJR084W
OG0002998	augustus_masked-hib_s94-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-1.87&CDS=1-2433	YJR090C
OG0002999	snap_masked-hib_s94-processed-gene-1.50-mRNA-1_1&gene=snap_masked-hib_s94-processed-gene-1.50&CDS=1-561	YJR102C
OG0003000	augustus_masked-hib_s94-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-1.90&CDS=1-1725	YBL039C
OG0003001	snap_masked-hib_s94-processed-gene-1.67-mRNA-1_1&gene=snap_masked-hib_s94-processed-gene-1.67&CDS=1-918	YJR088C
OG0003002	augustus_masked-hib_s94-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-1.103&CDS=1-747	YJR101W
OG0003003	augustus_masked-hib_s94-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-1.104&CDS=1-5115	YPL110C
OG0003004	augustus_masked-hib_s94-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-1.105&CDS=1-945	YPL111W
OG0003005	augustus_masked-hib_s94-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-1.93&CDS=1-8778	YML035C
OG0003006	augustus_masked-hib_s94-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-1.108&CDS=1-1980	YOR035C
OG0003007	augustus_masked-hib_s94-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-1.95&CDS=1-711	YHR090C
OG0003008	augustus_masked-hib_s94-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.100&CDS=1-1251	YHR051W
OG0003009	augustus_masked-hib_s94-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.98&CDS=1-1035	YDR322W
OG0003010	augustus_masked-hib_s94-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.99&CDS=1-3012	YHR077C
OG0003011	augustus_masked-hib_s94-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.120&CDS=1-1164	YHR076W
OG0003012	augustus_masked-hib_s94-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.101&CDS=1-270	YDR322C-A
OG0003013	augustus_masked-hib_s94-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.102&CDS=1-1947	YDR323C
OG0003014	augustus_masked-hib_s94-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.122&CDS=1-2076	YLR103C
OG0003015	snap_masked-hib_s94-processed-gene-2.32-mRNA-1_1&gene=snap_masked-hib_s94-processed-gene-2.32&CDS=1-1557	YLR149C
OG0003016	augustus_masked-hib_s94-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.104&CDS=1-1464	YGL112C
OG0003017	augustus_masked-hib_s94-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.124&CDS=1-2295	YGL113W
OG0003018	augustus_masked-hib_s94-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.125&CDS=1-372	YLR104W
OG0003019	augustus_masked-hib_s94-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.126&CDS=1-1248	YER019W
OG0003020	augustus_masked-hib_s94-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.127&CDS=1-642	YDR167W
OG0003021	augustus_masked-hib_s94-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.109&CDS=1-4170	YDR128W
OG0003022	augustus_masked-hib_s94-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.128&CDS=1-1023	YLR100W
OG0003023	snap_masked-hib_s94-processed-gene-2.19-mRNA-1_1&gene=snap_masked-hib_s94-processed-gene-2.19&CDS=1-4848	YKL010C
OG0003024	augustus_masked-hib_s94-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.112&CDS=1-798	YKL007W
OG0003025	maker-hib_s94-augustus-gene-2.139-mRNA-1_1&gene=maker-hib_s94-augustus-gene-2.139&CDS=1-1599	YHL002W
OG0003026	augustus_masked-hib_s94-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.132&CDS=1-1278	YHL004W
OG0003027	augustus_masked-hib_s94-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.133&CDS=1-651	YKL117W
OG0003028	augustus_masked-hib_s94-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.134&CDS=1-2682	YNL325C
OG0003029	augustus_masked-hib_s94-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.135&CDS=1-1062	YLR321C
OG0003030	augustus_masked-hib_s94-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.116&CDS=1-1953	YLR318W
OG0003031	maker-hib_s94-augustus-gene-2.140-mRNA-1_1&gene=maker-hib_s94-augustus-gene-2.140&CDS=1-5343	YMR308C
OG0003032	snap_masked-hib_s94-processed-gene-2.49-mRNA-1_1&gene=snap_masked-hib_s94-processed-gene-2.49&CDS=1-1101	YAL036C
OG0003033	augustus_masked-hib_s94-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.117&CDS=1-3009	YAL035W
OG0003034	augustus_masked-hib_s94-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.1&CDS=1-435	YDL235C
OG0003035	maker-hib_s94-augustus-gene-3.0-mRNA-1_1&gene=maker-hib_s94-augustus-gene-3.0&CDS=1-3072	YNL220W
OG0003036	augustus_masked-hib_s94-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.5&CDS=1-1077	YNL037C
OG0003037	augustus_masked-hib_s94-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.2&CDS=1-402	YIL098C
OG0003038	augustus_masked-hib_s94-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.28&CDS=1-4872	YOR341W
OG0003039	augustus_masked-hib_s94-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.29&CDS=1-1479	YBR243C
OG0003040	augustus_masked-hib_s94-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.8&CDS=1-993	YGL100W
OG0003041	augustus_masked-hib_s94-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.30&CDS=1-1308	YGL111W
OG0003042	augustus_masked-hib_s94-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.10&CDS=1-1635	YHR064C
OG0003043	augustus_masked-hib_s94-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.11&CDS=1-1788	YOR070C
OG0003044	augustus_masked-hib_s94-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.12&CDS=1-2607	YKR080W
OG0003045	augustus_masked-hib_s94-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.32&CDS=1-714	YOR077W
OG0003046	augustus_masked-hib_s94-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.33&CDS=1-1035	YKR087C
OG0003047	augustus_masked-hib_s94-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.35&CDS=1-537	YIL157C
OG0003048	genemark-hib_s94-processed-gene-3.59-mRNA-1_1&gene=genemark-hib_s94-processed-gene-3.59&CDS=1-477	YAL059W
OG0003049	augustus_masked-hib_s94-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.16&CDS=1-1779	YAL058W
OG0003050	augustus_masked-hib_s94-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.18&CDS=1-1551	YKL217W
OG0003051	snap_masked-hib_s94-processed-gene-3.109-mRNA-1_1&gene=snap_masked-hib_s94-processed-gene-3.109&CDS=1-297	YDR379C-A
OG0003052	augustus_masked-hib_s94-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.21&CDS=1-3492	YFR031C
OG0003053	augustus_masked-hib_s94-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.38&CDS=1-1383	YLR324W
OG0003054	augustus_masked-hib_s94-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.22&CDS=1-1128	YGR006W
OG0003055	augustus_masked-hib_s94-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.23&CDS=1-234	YLR325C
OG0003056	augustus_masked-hib_s94-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.39&CDS=1-1086	YGR005C
OG0003057	augustus_masked-hib_s94-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.24&CDS=1-1458	YGL017W
OG0003058	augustus_masked-hib_s94-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.26&CDS=1-396	YGL191W
OG0003059	augustus_masked-hib_s94-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.41&CDS=1-1449	YGL190C
