	Ambrosiozyma_monospora	Saccharomyces_cerevisiae
OG0003163	-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-1.43&CDS=1-3723	YEL031W
OG0003164	-processed-gene-1.85-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-1.85&CDS=1-669	YBR217W
OG0003165	-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-1.47&CDS=1-1566	YOR046C
OG0003166	-augustus-gene-1.8-mRNA-1_1&gene=maker-gi|1002318559|dbj|BCIP01000002.1|-augustus-gene-1.8&CDS=1-546	YDL004W
OG0003167	-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-1.51&CDS=1-2172	YOR361C
OG0003168	-snap-gene-1.5-mRNA-1_1&gene=maker-gi|1002318559|dbj|BCIP01000002.1|-snap-gene-1.5&CDS=1-3354	YGL186C
OG0003169	-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-1.66&CDS=1-2517	YPL184C
OG0003170	-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-1.53&CDS=1-1050	YOL149W
OG0003171	-snap-gene-1.6-mRNA-1_1&gene=maker-gi|1002318559|dbj|BCIP01000002.1|-snap-gene-1.6&CDS=1-2619	YOL148C
OG0003172	-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-2.81&CDS=1-366	YLR104W
OG0003173	-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-2.97&CDS=1-2067	YLR105C
OG0003174	-processed-gene-2.62-mRNA-1_1&gene=snap_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-2.62&CDS=1-576	YOL008W
OG0003175	-processed-gene-2.5-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-2.5&CDS=1-1944	YOR175C
OG0003176	-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-2.99&CDS=1-1245	YOL058W
OG0003177	-processed-gene-2.9-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-2.9&CDS=1-1497	YBR006W
OG0003178	-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-2.88&CDS=1-4770	YOR093C
OG0003179	-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-2.107&CDS=1-1305	YBR125C
OG0003180	-processed-gene-2.31-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-2.31&CDS=1-1362	YBR126C
OG0003181	-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-2.90&CDS=1-726	YAL049C
OG0003182	-processed-gene-2.14-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-2.14&CDS=1-1056	YOR043W
OG0003183	-processed-gene-2.17-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-2.17&CDS=1-3183	YJR036C
OG0003184	-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-2.95&CDS=1-2343	YCR065W
OG0003185	-snap-gene-2.117-mRNA-1_1&gene=maker-gi|1002318559|dbj|BCIP01000002.1|-snap-gene-2.117&CDS=1-1935	YHR128W
OG0003186	-processed-gene-2.38-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-2.38&CDS=1-3429	YJR042W
OG0003187	-processed-gene-3.32-mRNA-1_1&gene=snap_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-3.32&CDS=1-3909	YJR041C
OG0003188	-processed-gene-3.67-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-3.67&CDS=1-1194	YBR155W
OG0003189	-processed-gene-3.66-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-3.66&CDS=1-2943	YOL021C
OG0003190	-processed-gene-3.68-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-3.68&CDS=1-2250	YFR009W
OG0003191	-processed-gene-3.85-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-3.85&CDS=1-1758	YNL227C
OG0003192	-processed-gene-3.69-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-3.69&CDS=1-1596	YFR051C
OG0003193	-processed-gene-3.70-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-3.70&CDS=1-1461	YPL262W
OG0003194	-processed-gene-3.71-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-3.71&CDS=1-3498	YBL022C
OG0003195	-processed-gene-3.73-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-3.73&CDS=1-2421	YDL122W
OG0003196	-processed-gene-3.77-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-3.77&CDS=1-720	YER010C
OG0003197	-processed-gene-3.78-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-3.78&CDS=1-1428	YIR004W
OG0003198	-processed-gene-3.91-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-3.91&CDS=1-963	YBR251W
OG0003199	-processed-gene-3.80-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-3.80&CDS=1-813	YJL097W
OG0003200	-processed-gene-3.81-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-3.81&CDS=1-546	YJL096W
OG0003201	-augustus-gene-3.2-mRNA-1_1&gene=maker-gi|1002318559|dbj|BCIP01000002.1|-augustus-gene-3.2&CDS=1-9336	YJL033W
OG0003202	-processed-gene-3.93-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-3.93&CDS=1-2787	YGL167C
OG0003203	-snap-gene-3.1-mRNA-1_1&gene=maker-gi|1002318559|dbj|BCIP01000002.1|-snap-gene-3.1&CDS=1-2634	YPL155C
OG0003204	-processed-gene-4.79-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.79&CDS=1-306	YDR045C
OG0003205	-processed-gene-4.78-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.78&CDS=1-3426	YIR023W
OG0003206	-processed-gene-4.42-mRNA-1_1&gene=snap_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.42&CDS=1-453	YKL192C
OG0003207	-processed-gene-4.81-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.81&CDS=1-567	YNR036C
OG0003208	-processed-gene-4.98-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.98&CDS=1-2199	YNR038W
OG0003209	-processed-gene-4.99-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.99&CDS=1-1431	YGR149W
OG0003210	-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.25&CDS=1-990	YBR201W
OG0003211	-processed-gene-4.85-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.85&CDS=1-972	YPL069C
OG0003212	-processed-gene-4.86-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.86&CDS=1-438	YHR051W
OG0003213	-processed-gene-4.89-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.89&CDS=1-330	YKL138C
OG0003214	-processed-gene-4.91-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.91&CDS=1-2322	YGL114W
OG0003215	-snap-gene-4.2-mRNA-1_1&gene=maker-gi|1002318559|dbj|BCIP01000002.1|-snap-gene-4.2&CDS=1-2589	YPL270W
OG0003216	-processed-gene-4.92-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.92&CDS=1-3339	YEL055C
OG0003217	-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.30&CDS=1-1008	YBR231C
OG0003218	-processed-gene-4.93-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.93&CDS=1-1554	YBR233W
OG0003219	-processed-gene-4.94-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.94&CDS=1-1707	YLR259C
OG0003220	-processed-gene-4.97-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.97&CDS=1-1860	YOR370C
OG0003221	-processed-gene-4.115-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-4.115&CDS=1-432	YOR369C
OG0003222	-processed-gene-5.1-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.1&CDS=1-2133	YOR368W
OG0003223	-processed-gene-5.106-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.106&CDS=1-1281	YNL286W
OG0003224	-processed-gene-5.109-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.109&CDS=1-2169	YIL067C
OG0003225	-processed-gene-5.88-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.88&CDS=1-1089	YBR249C
OG0003226	-processed-gene-5.89-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.89&CDS=1-1236	YPL204W
OG0003227	-processed-gene-5.90-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.90&CDS=1-1527	YGL067W
OG0003228	-processed-gene-5.91-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.91&CDS=1-1185	YBR025C
OG0003229	-processed-gene-5.93-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.93&CDS=1-957	YPL215W
OG0003230	-processed-gene-5.8-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.8&CDS=1-687	YPL213W
OG0003231	-snap-gene-5.79-mRNA-1_1&gene=maker-gi|1002318559|dbj|BCIP01000002.1|-snap-gene-5.79&CDS=1-4737	YGL131C
OG0003232	-processed-gene-5.95-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.95&CDS=1-1590	YGL130W
OG0003233	-processed-gene-5.58-mRNA-1_1&gene=snap_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.58&CDS=1-1389	YGL129C
OG0003234	-processed-gene-5.113-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.113&CDS=1-630	YLR268W
OG0003235	-processed-gene-5.26-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.26&CDS=1-1911	YGR119C
OG0003236	-processed-gene-5.96-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.96&CDS=1-669	YDR140W
OG0003237	-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.27&CDS=1-5517	YDR141C
OG0003238	-processed-gene-5.116-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.116&CDS=1-687	YLR118C
OG0003239	-snap-gene-5.81-mRNA-1_1&gene=maker-gi|1002318559|dbj|BCIP01000002.1|-snap-gene-5.81&CDS=1-4065	YBL047C
OG0003240	-processed-gene-5.118-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.118&CDS=1-1617	YDR330W
OG0003241	-processed-gene-5.99-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.99&CDS=1-450	YLR170C
OG0003242	-processed-gene-5.100-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-5.100&CDS=1-705	YPL078C
OG0003243	-processed-gene-6.37-mRNA-1_1&gene=snap_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.37&CDS=1-3165	YFR034C
OG0003244	-processed-gene-6.73-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.73&CDS=1-2748	YLR115W
OG0003245	-processed-gene-6.77-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.77&CDS=1-1683	YBR248C
OG0003246	-processed-gene-6.92-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.92&CDS=1-1632	YGL097W
OG0003247	-processed-gene-6.78-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.78&CDS=1-1422	YBR247C
OG0003248	-processed-gene-6.93-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.93&CDS=1-3009	YPL268W
OG0003249	-processed-gene-6.82-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.82&CDS=1-1167	YBR192W
OG0003250	-processed-gene-6.95-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.95&CDS=1-879	YBR193C
OG0003251	-processed-gene-6.83-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.83&CDS=1-393	YLR099W-A
OG0003252	-processed-gene-6.97-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.97&CDS=1-1797	YDR120C
OG0003253	-processed-gene-6.84-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.84&CDS=1-3177	YKR086W
OG0003254	-processed-gene-6.99-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.99&CDS=1-948	YIL145C
OG0003255	-processed-gene-6.100-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.100&CDS=1-927	YKR080W
OG0003256	-processed-gene-6.104-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.104&CDS=1-498	YER093C-A
OG0003257	-processed-gene-6.105-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.105&CDS=1-702	YGL037C
OG0003258	-processed-gene-6.108-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.108&CDS=1-3276	YMR308C
OG0003259	-processed-gene-6.91-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-6.91&CDS=1-867	YGR280C
OG0003260	-processed-gene-7.16-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-7.16&CDS=1-1485	YHR070W
OG0003261	-processed-gene-7.31-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-7.31&CDS=1-1686	YIL099W
OG0003262	-processed-gene-7.61-mRNA-1_1&gene=snap_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-7.61&CDS=1-2415	YJL132W
OG0003263	-processed-gene-7.17-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-7.17&CDS=1-1614	YKR051W
OG0003264	-processed-gene-7.20-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-7.20&CDS=1-900	YLR172C
OG0003265	-processed-gene-7.36-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-7.36&CDS=1-915	YCL009C
OG0003266	-snap-gene-7.9-mRNA-1_1&gene=maker-gi|1002318559|dbj|BCIP01000002.1|-snap-gene-7.9&CDS=1-4086	YHR023W
OG0003267	-processed-gene-7.27-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-7.27&CDS=1-2202	YGL124C
OG0003268	-processed-gene-7.99-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-7.99&CDS=1-1035	YOL002C
OG0003269	-processed-gene-7.28-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-7.28&CDS=1-1491	YGL181W
OG0003270	-processed-gene-7.90-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-7.90&CDS=1-2631	YGL180W
OG0003271	-processed-gene-8.14-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-8.14&CDS=1-1122	YGL148W
OG0003272	-processed-gene-8.16-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-8.16&CDS=1-2952	YBR084W
OG0003273	-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-8.17&CDS=1-1128	YEL050C
OG0003274	-processed-gene-8.4-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-8.4&CDS=1-615	YDR298C
OG0003275	-processed-gene-8.5-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-8.5&CDS=1-2358	YEL053C
OG0003276	-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-8.22&CDS=1-2352	YPR181C
OG0003277	-processed-gene-8.23-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-8.23&CDS=1-1611	YML007W
OG0003278	-processed-gene-8.61-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-8.61&CDS=1-576	YKL154W
OG0003279	-processed-gene-9.8-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.8&CDS=1-1341	YDR316W
OG0003280	-processed-gene-9.32-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.32&CDS=1-1155	YGR279C
OG0003281	-processed-gene-9.34-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.34&CDS=1-843	YBR185C
OG0003282	-processed-gene-9.13-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.13&CDS=1-768	YDL086W
OG0003283	-processed-gene-9.38-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.38&CDS=1-1338	YIL023C
OG0003284	-snap-gene-9.4-mRNA-1_1&gene=maker-gi|1002318559|dbj|BCIP01000002.1|-snap-gene-9.4&CDS=1-2673	YNL020C
OG0003285	-processed-gene-9.40-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.40&CDS=1-1200	YNL035C
OG0003286	-processed-gene-9.17-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.17&CDS=1-2352	YNL039W
OG0003287	-processed-gene-9.41-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.41&CDS=1-1290	YGR286C
OG0003288	-processed-gene-9.118-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.118&CDS=1-1119	YIL094C
OG0003289	-processed-gene-9.42-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.42&CDS=1-1497	YNL022C
OG0003290	-processed-gene-9.119-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.119&CDS=1-2265	YNL021W
OG0003291	-processed-gene-9.120-mRNA-1_1&gene=augustus_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.120&CDS=1-1302	YLR423C
OG0003292	-processed-gene-9.43-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.43&CDS=1-1392	YKL194C
OG0003293	-augustus-gene-9.2-mRNA-1_1&gene=maker-gi|1002318559|dbj|BCIP01000002.1|-augustus-gene-9.2&CDS=1-450	YML030W
OG0003294	-processed-gene-9.45-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.45&CDS=1-441	YPR082C
OG0003295	-processed-gene-9.23-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.23&CDS=1-1062	YGR101W
OG0003296	-processed-gene-9.47-mRNA-1_1&gene=genemark-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.47&CDS=1-966	YFR025C
OG0003297	-processed-gene-9.104-mRNA-1_1&gene=snap_masked-gi|1002318559|dbj|BCIP01000002.1|-processed-gene-9.104&CDS=1-5055	YCR033W
OG0003298	-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.61&CDS=1-1461	YMR010W
OG0003299	-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.44&CDS=1-1311	YKL011C
OG0003300	-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.45&CDS=1-864	YIL003W
OG0003301	-processed-gene-0.32-mRNA-1_1&gene=snap_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.32&CDS=1-1698	YDR036C
OG0003302	-processed-gene-0.82-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.82&CDS=1-2070	YGR276C
OG0003303	-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.51&CDS=1-1758	YDL017W
OG0003304	-snap-gene-0.4-mRNA-1_1&gene=maker-gi|1002318560|dbj|BCIP01000001.1|-snap-gene-0.4&CDS=1-1506	YGL030W
OG0003305	-snap-gene-0.1-mRNA-1_1&gene=maker-gi|1002318560|dbj|BCIP01000001.1|-snap-gene-0.1&CDS=1-1743	YGL028C
OG0003306	-processed-gene-0.86-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.86&CDS=1-1329	YBR029C
OG0003307	-processed-gene-0.102-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.102&CDS=1-1110	YGR173W
OG0003308	-processed-gene-0.104-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.104&CDS=1-1191	YGL164C
OG0003309	-processed-gene-0.105-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.105&CDS=1-1293	YFL001W
OG0003310	-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.55&CDS=1-2013	YPL104W
OG0003311	-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-0.56&CDS=1-2418	YFL024C
OG0003312	-processed-gene-1.9-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.9&CDS=1-1569	YLR107W
OG0003313	-snap-gene-1.6-mRNA-1_1&gene=maker-gi|1002318560|dbj|BCIP01000001.1|-snap-gene-1.6&CDS=1-3096	YLR103C
OG0003314	-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.56&CDS=1-273	YDL045W-A
OG0003315	-processed-gene-1.36-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.36&CDS=1-1347	YPR085C
OG0003316	-processed-gene-1.121-mRNA-1_1&gene=snap_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.121&CDS=1-825	YLR348C
OG0003317	-processed-gene-1.16-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.16&CDS=1-768	YCR097W
OG0003318	-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.77&CDS=1-3120	YNL243W
OG0003319	-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.58&CDS=1-327	YNL244C
OG0003320	-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.59&CDS=1-807	YNL245C
OG0003321	-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.61&CDS=1-1155	YGR012W
OG0003322	-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.79&CDS=1-1851	YFL002C
OG0003323	-processed-gene-1.41-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.41&CDS=1-579	YDL177C
OG0003324	-processed-gene-1.23-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.23&CDS=1-1248	YPR066W
OG0003325	-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.66&CDS=1-1272	YLR203C
OG0003326	-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.84&CDS=1-1104	YDR313C
OG0003327	-snap-gene-1.4-mRNA-1_1&gene=maker-gi|1002318560|dbj|BCIP01000001.1|-snap-gene-1.4&CDS=1-2013	YJR052W
OG0003328	-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.69&CDS=1-1128	YEL037C
OG0003329	-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.88&CDS=1-774	YEL038W
OG0003330	-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.71&CDS=1-3828	YKR099W
OG0003331	-processed-gene-1.49-mRNA-1_1&gene=genemark-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.49&CDS=1-216	YIL156W-B
OG0003332	-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.72&CDS=1-1338	YKL139W
OG0003333	-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-gi|1002318560|dbj|BCIP01000001.1|-processed-gene-1.73&CDS=1-1587	YHR064C
