	Metschnikowia_hawaiiensis	Saccharomyces_cerevisiae
OG0002541	snap_masked-haw-_s425-processed-gene-0.45-mRNA-1_1&gene=snap_masked-haw-_s425-processed-gene-0.45&CDS=1-4662	YKL014C
OG0002542	snap_masked-haw-_s425-processed-gene-0.46-mRNA-1_1&gene=snap_masked-haw-_s425-processed-gene-0.46&CDS=1-471	YPL059W
OG0002543	genemark-haw-_s426-processed-gene-0.23-mRNA-1_1&gene=genemark-haw-_s426-processed-gene-0.23&CDS=1-816	YMR312W
OG0002544	snap_masked-haw-_s426-processed-gene-0.20-mRNA-1_1&gene=snap_masked-haw-_s426-processed-gene-0.20&CDS=1-1902	YMR313C
OG0002545	snap_masked-haw-_s426-processed-gene-0.13-mRNA-1_1&gene=snap_masked-haw-_s426-processed-gene-0.13&CDS=1-1494	YMR093W
OG0002546	snap_masked-haw-_s426-processed-gene-0.22-mRNA-1_1&gene=snap_masked-haw-_s426-processed-gene-0.22&CDS=1-1164	YOR063W
OG0002547	snap_masked-haw-_s43-processed-gene-0.29-mRNA-1_1&gene=snap_masked-haw-_s43-processed-gene-0.29&CDS=1-858	YLL027W
OG0002548	augustus_masked-haw-_s43-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-haw-_s43-processed-gene-0.65&CDS=1-816	YIL106W
OG0002549	snap_masked-haw-_s43-processed-gene-0.46-mRNA-1_1&gene=snap_masked-haw-_s43-processed-gene-0.46&CDS=1-1035	YMR315W
OG0002550	snap_masked-haw-_s43-processed-gene-0.47-mRNA-1_1&gene=snap_masked-haw-_s43-processed-gene-0.47&CDS=1-1641	YDR168W
OG0002551	snap_masked-haw-_s43-processed-gene-0.49-mRNA-1_1&gene=snap_masked-haw-_s43-processed-gene-0.49&CDS=1-2502	YML097C
OG0002552	snap_masked-haw-_s43-processed-gene-0.50-mRNA-1_1&gene=snap_masked-haw-_s43-processed-gene-0.50&CDS=1-4728	YCR042C
OG0002553	snap_masked-haw-_s43-processed-gene-0.35-mRNA-1_1&gene=snap_masked-haw-_s43-processed-gene-0.35&CDS=1-3240	YBL076C
OG0002554	snap_masked-haw-_s43-processed-gene-0.53-mRNA-1_1&gene=snap_masked-haw-_s43-processed-gene-0.53&CDS=1-3042	YPL183C
OG0002555	snap_masked-haw-_s43-processed-gene-0.39-mRNA-1_1&gene=snap_masked-haw-_s43-processed-gene-0.39&CDS=1-690	YNL168C
OG0002556	snap_masked-haw-_s43-processed-gene-0.57-mRNA-1_1&gene=snap_masked-haw-_s43-processed-gene-0.57&CDS=1-1059	YHR144C
OG0002557	snap_masked-haw-_s43-processed-gene-0.40-mRNA-1_1&gene=snap_masked-haw-_s43-processed-gene-0.40&CDS=1-3876	YPL006W
OG0002558	snap_masked-haw-_s43-processed-gene-0.59-mRNA-1_1&gene=snap_masked-haw-_s43-processed-gene-0.59&CDS=1-219	YHR143W-A
OG0002559	snap_masked-haw-_s432-processed-gene-0.13-mRNA-1_1&gene=snap_masked-haw-_s432-processed-gene-0.13&CDS=1-1509	YLR197W
OG0002560	snap_masked-haw-_s432-processed-gene-0.10-mRNA-1_1&gene=snap_masked-haw-_s432-processed-gene-0.10&CDS=1-1047	YGR112W
OG0002561	snap_masked-haw-_s432-processed-gene-0.17-mRNA-1_1&gene=snap_masked-haw-_s432-processed-gene-0.17&CDS=1-1278	YKL216W
OG0002562	snap_masked-haw-_s432-processed-gene-0.12-mRNA-1_1&gene=snap_masked-haw-_s432-processed-gene-0.12&CDS=1-1455	YER082C
OG0002563	maker-haw-_s440-augustus-gene-0.14-mRNA-1_1&gene=maker-haw-_s440-augustus-gene-0.14&CDS=1-2046	YLR186W
OG0002564	augustus_masked-haw-_s442-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-haw-_s442-processed-gene-0.83&CDS=1-798	YDR403W
OG0002565	snap_masked-haw-_s442-processed-gene-0.58-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.58&CDS=1-1191	YPL138C
OG0002566	augustus_masked-haw-_s442-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-haw-_s442-processed-gene-0.84&CDS=1-501	YGL231C
OG0002567	augustus_masked-haw-_s442-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-haw-_s442-processed-gene-0.101&CDS=1-846	YGL232W
OG0002568	augustus_masked-haw-_s442-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-haw-_s442-processed-gene-0.102&CDS=1-864	YMR314W
OG0002569	snap_masked-haw-_s442-processed-gene-0.63-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.63&CDS=1-2580	YGL233W
OG0002570	genemark-haw-_s442-processed-gene-0.27-mRNA-1_1&gene=genemark-haw-_s442-processed-gene-0.27&CDS=1-642	YIR032C
OG0002571	snap_masked-haw-_s442-processed-gene-0.48-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.48&CDS=1-2613	YBR179C
OG0002572	snap_masked-haw-_s442-processed-gene-0.49-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.49&CDS=1-372	YDL092W
OG0002573	snap_masked-haw-_s442-processed-gene-0.66-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.66&CDS=1-1239	YDL091C
OG0002574	snap_masked-haw-_s442-processed-gene-0.67-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.67&CDS=1-1299	YDL090C
OG0002575	snap_masked-haw-_s442-processed-gene-0.50-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.50&CDS=1-867	YDL111C
OG0002576	snap_masked-haw-_s442-processed-gene-0.71-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.71&CDS=1-4221	YDL112W
OG0002577	snap_masked-haw-_s442-processed-gene-0.72-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.72&CDS=1-2091	YDL113C
OG0002578	snap_masked-haw-_s442-processed-gene-0.52-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.52&CDS=1-2352	YDL116W
OG0002579	snap_masked-haw-_s442-processed-gene-0.73-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.73&CDS=1-1272	YDL097C
OG0002580	snap_masked-haw-_s442-processed-gene-0.53-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.53&CDS=1-1380	YDR316W
OG0002581	snap_masked-haw-_s442-processed-gene-0.54-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.54&CDS=1-1158	YGL143C
OG0002582	snap_masked-haw-_s442-processed-gene-0.55-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.55&CDS=1-348	YIR009W
OG0002583	snap_masked-haw-_s442-processed-gene-0.74-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.74&CDS=1-1623	YER014W
OG0002584	snap_masked-haw-_s442-processed-gene-0.77-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.77&CDS=1-2913	YIL075C
OG0002585	snap_masked-haw-_s442-processed-gene-0.78-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.78&CDS=1-1398	YER081W
OG0002586	snap_masked-haw-_s442-processed-gene-0.57-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-0.57&CDS=1-717	YPL051W
OG0002587	snap_masked-haw-_s442-processed-gene-1.8-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.8&CDS=1-624	YBR171W
OG0002588	snap_masked-haw-_s442-processed-gene-1.12-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.12&CDS=1-2733	YJL187C
OG0002589	maker-haw-_s442-snap-gene-1.148-mRNA-1_1&gene=maker-haw-_s442-snap-gene-1.148&CDS=1-513	YGR029W
OG0002590	maker-haw-_s442-snap-gene-1.146-mRNA-1_1&gene=maker-haw-_s442-snap-gene-1.146&CDS=1-2274	YNL001W
OG0002591	maker-haw-_s442-augustus-gene-1.6-mRNA-1_1&gene=maker-haw-_s442-augustus-gene-1.6&CDS=1-426	YGL106W
OG0002592	snap_masked-haw-_s442-processed-gene-1.18-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.18&CDS=1-3237	YOL034W
OG0002593	snap_masked-haw-_s442-processed-gene-1.55-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.55&CDS=1-1617	YOL033W
OG0002594	snap_masked-haw-_s442-processed-gene-1.21-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.21&CDS=1-447	YJR044C
OG0002595	snap_masked-haw-_s442-processed-gene-1.56-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.56&CDS=1-801	YAL014C
OG0002596	snap_masked-haw-_s442-processed-gene-1.22-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.22&CDS=1-669	YJL055W
OG0002597	augustus_masked-haw-_s442-processed-gene-1.196-mRNA-1_1&gene=augustus_masked-haw-_s442-processed-gene-1.196&CDS=1-861	YNL036W
OG0002598	augustus_masked-haw-_s442-processed-gene-1.168-mRNA-1_1&gene=augustus_masked-haw-_s442-processed-gene-1.168&CDS=1-699	YNL129W
OG0002599	snap_masked-haw-_s442-processed-gene-1.60-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.60&CDS=1-954	YKR030W
OG0002600	snap_masked-haw-_s442-processed-gene-1.62-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.62&CDS=1-1848	YKR017C
OG0002601	snap_masked-haw-_s442-processed-gene-1.26-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.26&CDS=1-363	YJL104W
OG0002602	snap_masked-haw-_s442-processed-gene-1.65-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.65&CDS=1-549	YHR148W
OG0002603	snap_masked-haw-_s442-processed-gene-1.29-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.29&CDS=1-663	YHR147C
OG0002604	snap_masked-haw-_s442-processed-gene-1.30-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.30&CDS=1-840	YGR220C
OG0002605	snap_masked-haw-_s442-processed-gene-1.66-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.66&CDS=1-1455	YBR003W
OG0002606	snap_masked-haw-_s442-processed-gene-1.32-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.32&CDS=1-3237	YGR218W
OG0002607	snap_masked-haw-_s442-processed-gene-1.34-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.34&CDS=1-3621	YGR233C
OG0002608	snap_masked-haw-_s442-processed-gene-1.68-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.68&CDS=1-1902	YDL146W
OG0002609	snap_masked-haw-_s442-processed-gene-1.69-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.69&CDS=1-1236	YIL042C
OG0002610	snap_masked-haw-_s442-processed-gene-1.35-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.35&CDS=1-1551	YER051W
OG0002611	snap_masked-haw-_s442-processed-gene-1.70-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.70&CDS=1-1248	YOL058W
OG0002612	snap_masked-haw-_s442-processed-gene-1.37-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.37&CDS=1-726	YNL056W
OG0002613	snap_masked-haw-_s442-processed-gene-1.38-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.38&CDS=1-2487	YGL027C
OG0002614	snap_masked-haw-_s442-processed-gene-1.39-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.39&CDS=1-1104	YMR135C
OG0002615	snap_masked-haw-_s442-processed-gene-1.72-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.72&CDS=1-660	YMR134W
OG0002616	snap_masked-haw-_s442-processed-gene-1.41-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.41&CDS=1-618	YOR289W
OG0002617	snap_masked-haw-_s442-processed-gene-1.44-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.44&CDS=1-561	YER042W
OG0002618	snap_masked-haw-_s442-processed-gene-1.45-mRNA-1_1&gene=snap_masked-haw-_s442-processed-gene-1.45&CDS=1-1074	YBR087W
OG0002619	maker-haw-_s442-snap-gene-1.147-mRNA-1_1&gene=maker-haw-_s442-snap-gene-1.147&CDS=1-657	YKL041W
OG0002620	maker-haw-_s442-snap-gene-1.151-mRNA-1_1&gene=maker-haw-_s442-snap-gene-1.151&CDS=1-2010	YPR047W
OG0002621	snap_masked-haw-_s443-processed-gene-0.3-mRNA-1_1&gene=snap_masked-haw-_s443-processed-gene-0.3&CDS=1-3813	YBR235W
OG0002622	augustus_masked-haw-_s443-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-haw-_s443-processed-gene-0.42&CDS=1-921	YGR026W
OG0002623	genemark-haw-_s443-processed-gene-0.19-mRNA-1_1&gene=genemark-haw-_s443-processed-gene-0.19&CDS=1-312	YBR233W-A
OG0002624	snap_masked-haw-_s443-processed-gene-0.5-mRNA-1_1&gene=snap_masked-haw-_s443-processed-gene-0.5&CDS=1-1443	YLR359W
OG0002625	augustus_masked-haw-_s45-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-haw-_s45-processed-gene-0.21&CDS=1-3216	YJL050W
OG0002626	snap_masked-haw-_s45-processed-gene-0.51-mRNA-1_1&gene=snap_masked-haw-_s45-processed-gene-0.51&CDS=1-1674	YMR297W
OG0002627	augustus_masked-haw-_s45-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-haw-_s45-processed-gene-0.13&CDS=1-3300	YNL236W
OG0002628	snap_masked-haw-_s45-processed-gene-0.39-mRNA-1_1&gene=snap_masked-haw-_s45-processed-gene-0.39&CDS=1-618	YER094C
OG0002629	augustus_masked-haw-_s45-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-haw-_s45-processed-gene-0.27&CDS=1-300	YBL059C-A
OG0002630	snap_masked-haw-_s45-processed-gene-0.43-mRNA-1_1&gene=snap_masked-haw-_s45-processed-gene-0.43&CDS=1-1191	YER178W
OG0002631	snap_masked-haw-_s451-processed-gene-0.96-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.96&CDS=1-1035	YJR105W
OG0002632	snap_masked-haw-_s451-processed-gene-0.97-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.97&CDS=1-3168	YEL055C
OG0002633	snap_masked-haw-_s451-processed-gene-0.99-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.99&CDS=1-1950	YCR088W
OG0002634	snap_masked-haw-_s451-processed-gene-0.122-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.122&CDS=1-1422	YMR171C
OG0002635	snap_masked-haw-_s451-processed-gene-0.123-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.123&CDS=1-3075	YPR026W
OG0002636	maker-haw-_s451-snap-gene-0.144-mRNA-1_1&gene=maker-haw-_s451-snap-gene-0.144&CDS=1-918	YGR282C
OG0002637	snap_masked-haw-_s451-processed-gene-0.125-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.125&CDS=1-1329	YOR198C
OG0002638	maker-haw-_s451-augustus-gene-0.1-mRNA-1_1&gene=maker-haw-_s451-augustus-gene-0.1&CDS=1-1989	YOR196C
OG0002639	genemark-haw-_s451-processed-gene-0.53-mRNA-1_1&gene=genemark-haw-_s451-processed-gene-0.53&CDS=1-2163	YPL116W
OG0002640	maker-haw-_s451-augustus-gene-0.5-mRNA-1_1&gene=maker-haw-_s451-augustus-gene-0.5&CDS=1-1755	YOR194C
OG0002641	snap_masked-haw-_s451-processed-gene-0.128-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.128&CDS=1-3072	YNL243W
OG0002642	maker-haw-_s451-snap-gene-0.145-mRNA-1_1&gene=maker-haw-_s451-snap-gene-0.145&CDS=1-372	YDR529C
OG0002643	snap_masked-haw-_s451-processed-gene-0.130-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.130&CDS=1-240	YPR086W
OG0002644	augustus_masked-haw-_s451-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-haw-_s451-processed-gene-0.33&CDS=1-2436	YCL054W
OG0002645	snap_masked-haw-_s451-processed-gene-0.103-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.103&CDS=1-1950	YDR129C
OG0002646	genemark-haw-_s451-processed-gene-0.55-mRNA-1_1&gene=genemark-haw-_s451-processed-gene-0.55&CDS=1-693	YKL009W
OG0002647	augustus_masked-haw-_s451-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-haw-_s451-processed-gene-0.34&CDS=1-1557	YKL089W
OG0002648	snap_masked-haw-_s451-processed-gene-0.133-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.133&CDS=1-909	YBL032W
OG0002649	snap_masked-haw-_s451-processed-gene-0.106-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.106&CDS=1-1650	YKL100C
OG0002650	snap_masked-haw-_s451-processed-gene-0.108-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.108&CDS=1-1665	YPR088C
OG0002651	snap_masked-haw-_s451-processed-gene-0.135-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.135&CDS=1-363	YKL160W
OG0002652	snap_masked-haw-_s451-processed-gene-0.136-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.136&CDS=1-1380	YJL044C
OG0002653	maker-haw-_s451-augustus-gene-0.7-mRNA-1_1&gene=maker-haw-_s451-augustus-gene-0.7&CDS=1-2451	YHR025W
OG0002654	snap_masked-haw-_s451-processed-gene-0.139-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.139&CDS=1-1575	YHR007C
OG0002655	snap_masked-haw-_s451-processed-gene-0.110-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.110&CDS=1-1320	YDR465C
OG0002656	augustus_masked-haw-_s451-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-haw-_s451-processed-gene-0.19&CDS=1-1485	YHR024C
OG0002657	snap_masked-haw-_s451-processed-gene-0.141-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.141&CDS=1-2514	YKR002W
OG0002658	snap_masked-haw-_s451-processed-gene-0.114-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.114&CDS=1-2478	YJL204C
OG0002659	snap_masked-haw-_s451-processed-gene-0.142-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.142&CDS=1-456	YBR122C
OG0002660	snap_masked-haw-_s451-processed-gene-0.116-mRNA-1_1&gene=snap_masked-haw-_s451-processed-gene-0.116&CDS=1-1620	YJL111W
OG0002661	augustus_masked-haw-_s452-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-haw-_s452-processed-gene-0.2&CDS=1-1095	YDR297W
OG0002662	genemark-haw-_s452-processed-gene-0.7-mRNA-1_1&gene=genemark-haw-_s452-processed-gene-0.7&CDS=1-567	YKR068C
OG0002663	snap_masked-haw-_s453-processed-gene-0.8-mRNA-1_1&gene=snap_masked-haw-_s453-processed-gene-0.8&CDS=1-618	YKL007W
OG0002664	genemark-haw-_s453-processed-gene-0.22-mRNA-1_1&gene=genemark-haw-_s453-processed-gene-0.22&CDS=1-1146	YHL002W
OG0002665	genemark-haw-_s453-processed-gene-0.23-mRNA-1_1&gene=genemark-haw-_s453-processed-gene-0.23&CDS=1-750	YHL004W
OG0002666	snap_masked-haw-_s453-processed-gene-0.13-mRNA-1_1&gene=snap_masked-haw-_s453-processed-gene-0.13&CDS=1-744	YKL117W
OG0002667	snap_masked-haw-_s453-processed-gene-0.14-mRNA-1_1&gene=snap_masked-haw-_s453-processed-gene-0.14&CDS=1-2340	YNL325C
OG0002668	augustus_masked-haw-_s453-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-haw-_s453-processed-gene-0.5&CDS=1-4602	YMR308C
OG0002669	snap_masked-haw-_s455-processed-gene-0.8-mRNA-1_1&gene=snap_masked-haw-_s455-processed-gene-0.8&CDS=1-192	YLR262C-A
OG0002670	snap_masked-haw-_s456-processed-gene-0.126-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.126&CDS=1-1272	YNL119W
OG0002671	maker-haw-_s456-augustus-gene-0.1-mRNA-1_1&gene=maker-haw-_s456-augustus-gene-0.1&CDS=1-786	YHR116W
OG0002672	snap_masked-haw-_s456-processed-gene-0.102-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.102&CDS=1-2676	YER114C
OG0002673	snap_masked-haw-_s456-processed-gene-0.103-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.103&CDS=1-2088	YBL084C
OG0002674	augustus_masked-haw-_s456-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-haw-_s456-processed-gene-0.12&CDS=1-1950	YER113C
OG0002675	maker-haw-_s456-snap-gene-0.147-mRNA-1_1&gene=maker-haw-_s456-snap-gene-0.147&CDS=1-1059	YBR039W
OG0002676	genemark-haw-_s456-processed-gene-0.58-mRNA-1_1&gene=genemark-haw-_s456-processed-gene-0.58&CDS=1-3087	YCR017C
OG0002677	snap_masked-haw-_s456-processed-gene-0.129-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.129&CDS=1-2928	YNL123W
OG0002678	maker-haw-_s456-augustus-gene-0.2-mRNA-1_1&gene=maker-haw-_s456-augustus-gene-0.2&CDS=1-5625	YHR120W
OG0002679	augustus_masked-haw-_s456-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-haw-_s456-processed-gene-0.38&CDS=1-2037	YNL124W
OG0002680	snap_masked-haw-_s456-processed-gene-0.111-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.111&CDS=1-1644	YEL063C
OG0002681	snap_masked-haw-_s456-processed-gene-0.132-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.132&CDS=1-792	YNL136W
OG0002682	snap_masked-haw-_s456-processed-gene-0.113-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.113&CDS=1-1407	YNL137C
OG0002683	snap_masked-haw-_s456-processed-gene-0.114-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.114&CDS=1-873	YNL063W
OG0002684	snap_masked-haw-_s456-processed-gene-0.133-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.133&CDS=1-1512	YNL062C
OG0002685	snap_masked-haw-_s456-processed-gene-0.115-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.115&CDS=1-1788	YNL061W
OG0002686	augustus_masked-haw-_s456-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-haw-_s456-processed-gene-0.41&CDS=1-2322	YNL059C
OG0002687	snap_masked-haw-_s456-processed-gene-0.116-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.116&CDS=1-1602	YNL138W
OG0002688	snap_masked-haw-_s456-processed-gene-0.135-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.135&CDS=1-942	YOL096C
OG0002689	snap_masked-haw-_s456-processed-gene-0.118-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.118&CDS=1-2355	YDR485C
OG0002690	augustus_masked-haw-_s456-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-haw-_s456-processed-gene-0.43&CDS=1-435	YNL281W
OG0002691	snap_masked-haw-_s456-processed-gene-0.137-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.137&CDS=1-1875	YLR276C
OG0002692	snap_masked-haw-_s456-processed-gene-0.138-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.138&CDS=1-1479	YHL008C
OG0002693	snap_masked-haw-_s456-processed-gene-0.139-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.139&CDS=1-1356	YCR066W
OG0002694	snap_masked-haw-_s456-processed-gene-0.121-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.121&CDS=1-825	YML052W
OG0002695	augustus_masked-haw-_s456-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-haw-_s456-processed-gene-0.48&CDS=1-396	YBL092W
OG0002696	snap_masked-haw-_s456-processed-gene-0.123-mRNA-1_1&gene=snap_masked-haw-_s456-processed-gene-0.123&CDS=1-7692	YLR454W
OG0002697	augustus_masked-haw-_s460-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-haw-_s460-processed-gene-0.11&CDS=1-579	YDL165W
OG0002698	snap_masked-haw-_s460-processed-gene-0.9-mRNA-1_1&gene=snap_masked-haw-_s460-processed-gene-0.9&CDS=1-1044	YHR012W
OG0002699	snap_masked-haw-_s460-processed-gene-0.10-mRNA-1_1&gene=snap_masked-haw-_s460-processed-gene-0.10&CDS=1-1584	YOR161C
OG0002700	snap_masked-haw-_s463-processed-gene-0.39-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-0.39&CDS=1-2157	YGL045W
OG0002701	snap_masked-haw-_s463-processed-gene-0.41-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-0.41&CDS=1-741	YDR007W
OG0002702	snap_masked-haw-_s463-processed-gene-0.52-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-0.52&CDS=1-1665	YJL008C
OG0002703	snap_masked-haw-_s463-processed-gene-0.43-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-0.43&CDS=1-468	YER046W
OG0002704	snap_masked-haw-_s463-processed-gene-0.54-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-0.54&CDS=1-927	YDL142C
OG0002705	maker-haw-_s463-augustus-gene-0.3-mRNA-1_1&gene=maker-haw-_s463-augustus-gene-0.3&CDS=1-3144	YNR043W
OG0002706	maker-haw-_s463-snap-gene-0.0-mRNA-1_1&gene=maker-haw-_s463-snap-gene-0.0&CDS=1-837	YJL003W
OG0002707	snap_masked-haw-_s463-processed-gene-0.58-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-0.58&CDS=1-1062	YCR086W
OG0002708	augustus_masked-haw-_s463-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-haw-_s463-processed-gene-0.78&CDS=1-1431	YDR289C
OG0002709	snap_masked-haw-_s463-processed-gene-0.46-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-0.46&CDS=1-1929	YDR484W
OG0002710	snap_masked-haw-_s463-processed-gene-0.61-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-0.61&CDS=1-972	YOL094C
OG0002711	maker-haw-_s463-augustus-gene-0.4-mRNA-1_1&gene=maker-haw-_s463-augustus-gene-0.4&CDS=1-5754	YDL140C
OG0002712	augustus_masked-haw-_s463-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-haw-_s463-processed-gene-0.96&CDS=1-3024	YNL321W
OG0002713	snap_masked-haw-_s463-processed-gene-0.48-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-0.48&CDS=1-342	YGR074W
OG0002714	snap_masked-haw-_s463-processed-gene-0.66-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-0.66&CDS=1-471	YGR076C
OG0002715	snap_masked-haw-_s463-processed-gene-0.67-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-0.67&CDS=1-471	YDL004W
OG0002716	snap_masked-haw-_s463-processed-gene-0.49-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-0.49&CDS=1-1539	YDL003W
OG0002717	snap_masked-haw-_s463-processed-gene-0.50-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-0.50&CDS=1-696	YDR489W
OG0002718	snap_masked-haw-_s463-processed-gene-1.85-mRNA-1_1&gene=snap_masked-haw-_s463-processed-gene-1.85&CDS=1-3558	YOL138C
