	Metschnikowia_santaceciliae	Saccharomyces_cerevisiae
OG0002615	genemark-sce_s525-processed-gene-0.20-mRNA-1_1&gene=genemark-sce_s525-processed-gene-0.20&CDS=1-2220	YBR102C
OG0002616	genemark-sce_s525-processed-gene-0.8-mRNA-1_1&gene=genemark-sce_s525-processed-gene-0.8&CDS=1-2559	YBR103W
OG0002617	augustus_masked-sce_s526-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sce_s526-processed-gene-0.3&CDS=1-8601	YMR308C
OG0002618	genemark-sce_s526-processed-gene-0.23-mRNA-1_1&gene=genemark-sce_s526-processed-gene-0.23&CDS=1-600	YKL117W
OG0002619	genemark-sce_s526-processed-gene-0.24-mRNA-1_1&gene=genemark-sce_s526-processed-gene-0.24&CDS=1-1323	YHL004W
OG0002620	genemark-sce_s526-processed-gene-0.25-mRNA-1_1&gene=genemark-sce_s526-processed-gene-0.25&CDS=1-1110	YHL002W
OG0002621	snap_masked-sce_s526-processed-gene-0.60-mRNA-1_1&gene=snap_masked-sce_s526-processed-gene-0.60&CDS=1-798	YKL007W
OG0002622	snap_masked-sce_s526-processed-gene-0.61-mRNA-1_1&gene=snap_masked-sce_s526-processed-gene-0.61&CDS=1-4608	YKL010C
OG0002623	genemark-sce_s526-processed-gene-0.37-mRNA-1_1&gene=genemark-sce_s526-processed-gene-0.37&CDS=1-1485	YBR243C
OG0002624	genemark-sce_s526-processed-gene-0.28-mRNA-1_1&gene=genemark-sce_s526-processed-gene-0.28&CDS=1-1017	YGL100W
OG0002625	genemark-sce_s526-processed-gene-0.38-mRNA-1_1&gene=genemark-sce_s526-processed-gene-0.38&CDS=1-1284	YGL111W
OG0002626	genemark-sce_s526-processed-gene-0.29-mRNA-1_1&gene=genemark-sce_s526-processed-gene-0.29&CDS=1-1635	YHR064C
OG0002627	genemark-sce_s526-processed-gene-0.30-mRNA-1_1&gene=genemark-sce_s526-processed-gene-0.30&CDS=1-1809	YOR070C
OG0002628	genemark-sce_s526-processed-gene-0.31-mRNA-1_1&gene=genemark-sce_s526-processed-gene-0.31&CDS=1-948	YKR080W
OG0002629	genemark-sce_s529-processed-gene-0.9-mRNA-1_1&gene=genemark-sce_s529-processed-gene-0.9&CDS=1-1035	YJR105W
OG0002630	genemark-sce_s53-processed-gene-0.19-mRNA-1_1&gene=genemark-sce_s53-processed-gene-0.19&CDS=1-1857	YKR099W
OG0002631	genemark-sce_s53-processed-gene-0.27-mRNA-1_1&gene=genemark-sce_s53-processed-gene-0.27&CDS=1-711	YOR077W
OG0002632	genemark-sce_s53-processed-gene-0.28-mRNA-1_1&gene=genemark-sce_s53-processed-gene-0.28&CDS=1-1011	YKR087C
OG0002633	genemark-sce_s53-processed-gene-0.30-mRNA-1_1&gene=genemark-sce_s53-processed-gene-0.30&CDS=1-537	YIL157C
OG0002634	snap_masked-sce_s53-processed-gene-0.38-mRNA-1_1&gene=snap_masked-sce_s53-processed-gene-0.38&CDS=1-471	YAL059W
OG0002635	augustus_masked-sce_s53-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-sce_s53-processed-gene-0.5&CDS=1-1788	YAL058W
OG0002636	augustus_masked-sce_s53-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sce_s53-processed-gene-0.7&CDS=1-1539	YKL217W
OG0002637	augustus_masked-sce_s53-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sce_s53-processed-gene-0.8&CDS=1-234	YDR379C-A
OG0002638	genemark-sce_s534-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s534-processed-gene-0.2&CDS=1-2592	YNL238W
OG0002639	genemark-sce_s534-processed-gene-0.3-mRNA-1_1&gene=genemark-sce_s534-processed-gene-0.3&CDS=1-1506	YNL241C
OG0002640	snap_masked-sce_s536-processed-gene-0.3-mRNA-1_1&gene=snap_masked-sce_s536-processed-gene-0.3&CDS=1-219	YHR143W-A
OG0002641	genemark-sce_s537-processed-gene-0.7-mRNA-1_1&gene=genemark-sce_s537-processed-gene-0.7&CDS=1-882	YPR061C
OG0002642	genemark-sce_s537-processed-gene-0.8-mRNA-1_1&gene=genemark-sce_s537-processed-gene-0.8&CDS=1-777	YPR060C
OG0002643	genemark-sce_s541-processed-gene-0.28-mRNA-1_1&gene=genemark-sce_s541-processed-gene-0.28&CDS=1-1230	YLR097C
OG0002644	genemark-sce_s541-processed-gene-0.29-mRNA-1_1&gene=genemark-sce_s541-processed-gene-0.29&CDS=1-2493	YMR309C
OG0002645	genemark-sce_s541-processed-gene-0.30-mRNA-1_1&gene=genemark-sce_s541-processed-gene-0.30&CDS=1-1101	YGL211W
OG0002646	snap_masked-sce_s541-processed-gene-0.4-mRNA-1_1&gene=snap_masked-sce_s541-processed-gene-0.4&CDS=1-3048	YPR122W
OG0002647	genemark-sce_s541-processed-gene-0.33-mRNA-1_1&gene=genemark-sce_s541-processed-gene-0.33&CDS=1-1428	YPR178W
OG0002648	genemark-sce_s541-processed-gene-0.34-mRNA-1_1&gene=genemark-sce_s541-processed-gene-0.34&CDS=1-1926	YPR179C
OG0002649	snap_masked-sce_s541-processed-gene-0.19-mRNA-1_1&gene=snap_masked-sce_s541-processed-gene-0.19&CDS=1-1005	YPR180W
OG0002650	genemark-sce_s541-processed-gene-0.47-mRNA-1_1&gene=genemark-sce_s541-processed-gene-0.47&CDS=1-2241	YPR181C
OG0002651	genemark-sce_s541-processed-gene-0.35-mRNA-1_1&gene=genemark-sce_s541-processed-gene-0.35&CDS=1-720	YGL018C
OG0002652	genemark-sce_s541-processed-gene-0.48-mRNA-1_1&gene=genemark-sce_s541-processed-gene-0.48&CDS=1-855	YGL019W
OG0002653	genemark-sce_s541-processed-gene-0.36-mRNA-1_1&gene=genemark-sce_s541-processed-gene-0.36&CDS=1-636	YGL020C
OG0002654	genemark-sce_s541-processed-gene-0.49-mRNA-1_1&gene=genemark-sce_s541-processed-gene-0.49&CDS=1-3045	YBL008W
OG0002655	genemark-sce_s541-processed-gene-0.38-mRNA-1_1&gene=genemark-sce_s541-processed-gene-0.38&CDS=1-1152	YOL018C
OG0002656	genemark-sce_s541-processed-gene-0.53-mRNA-1_1&gene=genemark-sce_s541-processed-gene-0.53&CDS=1-6732	YFR019W
OG0002657	genemark-sce_s541-processed-gene-0.39-mRNA-1_1&gene=genemark-sce_s541-processed-gene-0.39&CDS=1-1002	YDR372C
OG0002658	genemark-sce_s541-processed-gene-0.54-mRNA-1_1&gene=genemark-sce_s541-processed-gene-0.54&CDS=1-1017	YDR371W
OG0002659	genemark-sce_s541-processed-gene-0.40-mRNA-1_1&gene=genemark-sce_s541-processed-gene-0.40&CDS=1-2316	YBR058C
OG0002660	genemark-sce_s542-processed-gene-0.11-mRNA-1_1&gene=genemark-sce_s542-processed-gene-0.11&CDS=1-597	YDL166C
OG0002661	augustus_masked-sce_s542-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sce_s542-processed-gene-0.1&CDS=1-993	YDL165W
OG0002662	genemark-sce_s542-processed-gene-0.15-mRNA-1_1&gene=genemark-sce_s542-processed-gene-0.15&CDS=1-930	YHR012W
OG0002663	genemark-sce_s542-processed-gene-0.16-mRNA-1_1&gene=genemark-sce_s542-processed-gene-0.16&CDS=1-1548	YOR161C
OG0002664	genemark-sce_s546-processed-gene-0.3-mRNA-1_1&gene=genemark-sce_s546-processed-gene-0.3&CDS=1-1089	YGL159W
OG0002665	genemark-sce_s546-processed-gene-0.4-mRNA-1_1&gene=genemark-sce_s546-processed-gene-0.4&CDS=1-1737	YDR481C
OG0002666	genemark-sce_s551-processed-gene-0.24-mRNA-1_1&gene=genemark-sce_s551-processed-gene-0.24&CDS=1-642	YML001W
OG0002667	genemark-sce_s551-processed-gene-0.17-mRNA-1_1&gene=genemark-sce_s551-processed-gene-0.17&CDS=1-954	YJR096W
OG0002668	genemark-sce_s551-processed-gene-0.19-mRNA-1_1&gene=genemark-sce_s551-processed-gene-0.19&CDS=1-1269	YBR279W
OG0002669	genemark-sce_s551-processed-gene-0.26-mRNA-1_1&gene=genemark-sce_s551-processed-gene-0.26&CDS=1-1335	YHR190W
OG0002670	genemark-sce_s551-processed-gene-0.27-mRNA-1_1&gene=genemark-sce_s551-processed-gene-0.27&CDS=1-978	YML121W
OG0002671	genemark-sce_s551-processed-gene-0.20-mRNA-1_1&gene=genemark-sce_s551-processed-gene-0.20&CDS=1-1746	YAL067C
OG0002672	genemark-sce_s551-processed-gene-0.28-mRNA-1_1&gene=genemark-sce_s551-processed-gene-0.28&CDS=1-594	YPL178W
OG0002673	genemark-sce_s551-processed-gene-0.23-mRNA-1_1&gene=genemark-sce_s551-processed-gene-0.23&CDS=1-2514	YGL083W
OG0002674	genemark-sce_s551-processed-gene-0.29-mRNA-1_1&gene=genemark-sce_s551-processed-gene-0.29&CDS=1-1887	YKL148C
OG0002675	genemark-sce_s553-processed-gene-0.0-mRNA-1_1&gene=genemark-sce_s553-processed-gene-0.0&CDS=1-495	YOL143C
OG0002676	genemark-sce_s555-processed-gene-0.4-mRNA-1_1&gene=genemark-sce_s555-processed-gene-0.4&CDS=1-1833	YMR036C
OG0002677	genemark-sce_s555-processed-gene-0.6-mRNA-1_1&gene=genemark-sce_s555-processed-gene-0.6&CDS=1-1323	YGL194C
OG0002678	genemark-sce_s555-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s555-processed-gene-0.2&CDS=1-741	YGL011C
OG0002679	genemark-sce_s555-processed-gene-0.7-mRNA-1_1&gene=genemark-sce_s555-processed-gene-0.7&CDS=1-1428	YGL012W
OG0002680	genemark-sce_s56-processed-gene-0.1-mRNA-1_1&gene=genemark-sce_s56-processed-gene-0.1&CDS=1-4998	YML103C
OG0002681	genemark-sce_s56-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s56-processed-gene-0.2&CDS=1-1278	YMR208W
OG0002682	genemark-sce_s56-processed-gene-0.13-mRNA-1_1&gene=genemark-sce_s56-processed-gene-0.13&CDS=1-984	YOR271C
OG0002683	genemark-sce_s56-processed-gene-0.14-mRNA-1_1&gene=genemark-sce_s56-processed-gene-0.14&CDS=1-1587	YMR217W
OG0002684	snap_masked-sce_s56-processed-gene-0.25-mRNA-1_1&gene=snap_masked-sce_s56-processed-gene-0.25&CDS=1-1395	YOR272W
OG0002685	augustus_masked-sce_s56-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-sce_s56-processed-gene-0.51&CDS=1-1383	YMR209C
OG0002686	genemark-sce_s56-processed-gene-0.6-mRNA-1_1&gene=genemark-sce_s56-processed-gene-0.6&CDS=1-855	YKL019W
OG0002687	genemark-sce_s560-processed-gene-0.19-mRNA-1_1&gene=genemark-sce_s560-processed-gene-0.19&CDS=1-1119	YDR005C
OG0002688	snap_masked-sce_s560-processed-gene-0.8-mRNA-1_1&gene=snap_masked-sce_s560-processed-gene-0.8&CDS=1-1224	YDR004W
OG0002689	genemark-sce_s560-processed-gene-0.21-mRNA-1_1&gene=genemark-sce_s560-processed-gene-0.21&CDS=1-852	YBR011C
OG0002690	genemark-sce_s560-processed-gene-0.22-mRNA-1_1&gene=genemark-sce_s560-processed-gene-0.22&CDS=1-810	YCR098C
OG0002691	genemark-sce_s560-processed-gene-0.24-mRNA-1_1&gene=genemark-sce_s560-processed-gene-0.24&CDS=1-720	YEL001C
OG0002692	genemark-sce_s560-processed-gene-0.17-mRNA-1_1&gene=genemark-sce_s560-processed-gene-0.17&CDS=1-387	YNR046W
OG0002693	genemark-sce_s560-processed-gene-0.18-mRNA-1_1&gene=genemark-sce_s560-processed-gene-0.18&CDS=1-927	YEL051W
OG0002694	genemark-sce_s561-processed-gene-0.7-mRNA-1_1&gene=genemark-sce_s561-processed-gene-0.7&CDS=1-507	YOL149W
OG0002695	genemark-sce_s561-processed-gene-0.10-mRNA-1_1&gene=genemark-sce_s561-processed-gene-0.10&CDS=1-3090	YOL148C
OG0002696	augustus_masked-sce_s562-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sce_s562-processed-gene-0.0&CDS=1-2241	YGL022W
OG0002697	genemark-sce_s563-processed-gene-0.13-mRNA-1_1&gene=genemark-sce_s563-processed-gene-0.13&CDS=1-828	YFR052W
OG0002698	genemark-sce_s563-processed-gene-0.14-mRNA-1_1&gene=genemark-sce_s563-processed-gene-0.14&CDS=1-813	YPL065W
OG0002699	genemark-sce_s566-processed-gene-0.14-mRNA-1_1&gene=genemark-sce_s566-processed-gene-0.14&CDS=1-2496	YHR154W
OG0002700	snap_masked-sce_s567-processed-gene-0.10-mRNA-1_1&gene=snap_masked-sce_s567-processed-gene-0.10&CDS=1-903	YJR142W
OG0002701	genemark-sce_s567-processed-gene-0.20-mRNA-1_1&gene=genemark-sce_s567-processed-gene-0.20&CDS=1-828	YLR290C
OG0002702	genemark-sce_s567-processed-gene-0.29-mRNA-1_1&gene=genemark-sce_s567-processed-gene-0.29&CDS=1-2766	YGL167C
OG0002703	genemark-sce_s568-processed-gene-0.21-mRNA-1_1&gene=genemark-sce_s568-processed-gene-0.21&CDS=1-2034	YBL035C
OG0002704	snap_masked-sce_s568-processed-gene-0.43-mRNA-1_1&gene=snap_masked-sce_s568-processed-gene-0.43&CDS=1-1998	YDR332W
OG0002705	genemark-sce_s568-processed-gene-0.23-mRNA-1_1&gene=genemark-sce_s568-processed-gene-0.23&CDS=1-1134	YDR331W
OG0002706	genemark-sce_s568-processed-gene-0.34-mRNA-1_1&gene=genemark-sce_s568-processed-gene-0.34&CDS=1-1536	YHR084W
OG0002707	maker-sce_s568-augustus-gene-0.0-mRNA-1_1&gene=maker-sce_s568-augustus-gene-0.0&CDS=1-1911	YKL125W
OG0002708	genemark-sce_s568-processed-gene-0.36-mRNA-1_1&gene=genemark-sce_s568-processed-gene-0.36&CDS=1-2199	YHR197W
OG0002709	genemark-sce_s568-processed-gene-0.27-mRNA-1_1&gene=genemark-sce_s568-processed-gene-0.27&CDS=1-3984	YLR384C
OG0002710	genemark-sce_s568-processed-gene-0.38-mRNA-1_1&gene=genemark-sce_s568-processed-gene-0.38&CDS=1-678	YDL059C
OG0002711	genemark-sce_s568-processed-gene-0.28-mRNA-1_1&gene=genemark-sce_s568-processed-gene-0.28&CDS=1-5373	YDL058W
OG0002712	genemark-sce_s568-processed-gene-0.29-mRNA-1_1&gene=genemark-sce_s568-processed-gene-0.29&CDS=1-2289	YNR033W
OG0002713	genemark-sce_s568-processed-gene-0.30-mRNA-1_1&gene=genemark-sce_s568-processed-gene-0.30&CDS=1-2415	YCR077C
OG0002714	genemark-sce_s569-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s569-processed-gene-0.2&CDS=1-1650	YDR168W
OG0002715	genemark-sce_s57-processed-gene-0.12-mRNA-1_1&gene=genemark-sce_s57-processed-gene-0.12&CDS=1-3531	YDR440W
OG0002716	genemark-sce_s57-processed-gene-0.13-mRNA-1_1&gene=genemark-sce_s57-processed-gene-0.13&CDS=1-2604	YML020W
OG0002717	augustus_masked-sce_s571-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sce_s571-processed-gene-0.9&CDS=1-1188	YHR076W
OG0002718	augustus_masked-sce_s571-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-sce_s571-processed-gene-0.11&CDS=1-3198	YHR077C
OG0002719	augustus_masked-sce_s573-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sce_s573-processed-gene-0.8&CDS=1-2379	YNL085W
OG0002720	genemark-sce_s573-processed-gene-0.6-mRNA-1_1&gene=genemark-sce_s573-processed-gene-0.6&CDS=1-2037	YHR042W
OG0002721	genemark-sce_s579-processed-gene-0.18-mRNA-1_1&gene=genemark-sce_s579-processed-gene-0.18&CDS=1-2103	YLR427W
OG0002722	augustus_masked-sce_s579-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-sce_s579-processed-gene-0.38&CDS=1-672	YLR426W
OG0002723	genemark-sce_s579-processed-gene-0.24-mRNA-1_1&gene=genemark-sce_s579-processed-gene-0.24&CDS=1-1761	YKL191W
OG0002724	augustus_masked-sce_s579-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-sce_s579-processed-gene-0.41&CDS=1-1371	YAL022C
OG0002725	augustus_masked-sce_s579-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-sce_s579-processed-gene-0.42&CDS=1-2073	YJL093C
OG0002726	genemark-sce_s579-processed-gene-0.27-mRNA-1_1&gene=genemark-sce_s579-processed-gene-0.27&CDS=1-741	YMR188C
OG0002727	genemark-sce_s579-processed-gene-0.28-mRNA-1_1&gene=genemark-sce_s579-processed-gene-0.28&CDS=1-1191	YIL116W
OG0002728	genemark-sce_s579-processed-gene-0.19-mRNA-1_1&gene=genemark-sce_s579-processed-gene-0.19&CDS=1-603	YLR292C
OG0002729	genemark-sce_s579-processed-gene-0.20-mRNA-1_1&gene=genemark-sce_s579-processed-gene-0.20&CDS=1-3582	YOR191W
OG0002730	genemark-sce_s579-processed-gene-0.30-mRNA-1_1&gene=genemark-sce_s579-processed-gene-0.30&CDS=1-1233	YML071C
OG0002731	genemark-sce_s579-processed-gene-0.21-mRNA-1_1&gene=genemark-sce_s579-processed-gene-0.21&CDS=1-1047	YLR447C
OG0002732	augustus_masked-sce_s582-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-sce_s582-processed-gene-0.32&CDS=1-2355	YLR222C
OG0002733	genemark-sce_s582-processed-gene-0.76-mRNA-1_1&gene=genemark-sce_s582-processed-gene-0.76&CDS=1-696	YDR152W
OG0002734	genemark-sce_s582-processed-gene-0.64-mRNA-1_1&gene=genemark-sce_s582-processed-gene-0.64&CDS=1-513	YDR162C
OG0002735	snap_masked-sce_s582-processed-gene-0.8-mRNA-1_1&gene=snap_masked-sce_s582-processed-gene-0.8&CDS=1-1704	YLR141W
OG0002736	genemark-sce_s582-processed-gene-0.78-mRNA-1_1&gene=genemark-sce_s582-processed-gene-0.78&CDS=1-564	YLR109W
OG0002737	genemark-sce_s582-processed-gene-0.80-mRNA-1_1&gene=genemark-sce_s582-processed-gene-0.80&CDS=1-2232	YDR164C
OG0002738	snap_masked-sce_s582-processed-gene-0.25-mRNA-1_1&gene=snap_masked-sce_s582-processed-gene-0.25&CDS=1-1644	YDR349C
OG0002739	genemark-sce_s582-processed-gene-0.70-mRNA-1_1&gene=genemark-sce_s582-processed-gene-0.70&CDS=1-3483	YIL147C
OG0002740	augustus_masked-sce_s582-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-sce_s582-processed-gene-0.42&CDS=1-2538	YHR028C
OG0002741	genemark-sce_s582-processed-gene-0.72-mRNA-1_1&gene=genemark-sce_s582-processed-gene-0.72&CDS=1-504	YKL056C
OG0002742	genemark-sce_s582-processed-gene-0.82-mRNA-1_1&gene=genemark-sce_s582-processed-gene-0.82&CDS=1-1392	YOL125W
OG0002743	genemark-sce_s582-processed-gene-0.83-mRNA-1_1&gene=genemark-sce_s582-processed-gene-0.83&CDS=1-1482	YDR221W
OG0002744	genemark-sce_s582-processed-gene-0.84-mRNA-1_1&gene=genemark-sce_s582-processed-gene-0.84&CDS=1-732	YKL055C
OG0002745	augustus_masked-sce_s586-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-sce_s586-processed-gene-0.32&CDS=1-3108	YLR240W
OG0002746	augustus_masked-sce_s586-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-sce_s586-processed-gene-0.45&CDS=1-717	YDR196C
OG0002747	augustus_masked-sce_s586-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-sce_s586-processed-gene-0.33&CDS=1-1032	YHR063C
OG0002748	genemark-sce_s586-processed-gene-0.16-mRNA-1_1&gene=genemark-sce_s586-processed-gene-0.16&CDS=1-1329	YDR198C
OG0002749	genemark-sce_s586-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s586-processed-gene-0.2&CDS=1-1863	YLR234W
OG0002750	genemark-sce_s586-processed-gene-0.4-mRNA-1_1&gene=genemark-sce_s586-processed-gene-0.4&CDS=1-888	YLR242C
OG0002751	genemark-sce_s586-processed-gene-0.18-mRNA-1_1&gene=genemark-sce_s586-processed-gene-0.18&CDS=1-327	YDR382W
OG0002752	snap_masked-sce_s586-processed-gene-0.70-mRNA-1_1&gene=snap_masked-sce_s586-processed-gene-0.70&CDS=1-420	YOL040C
OG0002753	genemark-sce_s586-processed-gene-0.10-mRNA-1_1&gene=genemark-sce_s586-processed-gene-0.10&CDS=1-969	YOR130C
OG0002754	genemark-sce_s586-processed-gene-0.19-mRNA-1_1&gene=genemark-sce_s586-processed-gene-0.19&CDS=1-939	YDL237W
OG0002755	genemark-sce_s586-processed-gene-0.22-mRNA-1_1&gene=genemark-sce_s586-processed-gene-0.22&CDS=1-618	YLR312W-A
OG0002756	genemark-sce_s586-processed-gene-0.11-mRNA-1_1&gene=genemark-sce_s586-processed-gene-0.11&CDS=1-1668	YGL171W
OG0002757	genemark-sce_s586-processed-gene-0.23-mRNA-1_1&gene=genemark-sce_s586-processed-gene-0.23&CDS=1-372	YPR020W
OG0002758	genemark-sce_s586-processed-gene-0.24-mRNA-1_1&gene=genemark-sce_s586-processed-gene-0.24&CDS=1-1416	YDR105C
OG0002759	genemark-sce_s586-processed-gene-0.12-mRNA-1_1&gene=genemark-sce_s586-processed-gene-0.12&CDS=1-1254	YPL101W
OG0002760	genemark-sce_s586-processed-gene-0.13-mRNA-1_1&gene=genemark-sce_s586-processed-gene-0.13&CDS=1-2730	YPR019W
OG0002761	genemark-sce_s586-processed-gene-0.26-mRNA-1_1&gene=genemark-sce_s586-processed-gene-0.26&CDS=1-1920	YDR108W
OG0002762	augustus_masked-sce_s586-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-sce_s586-processed-gene-0.44&CDS=1-4002	YLR084C
OG0002763	genemark-sce_s588-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s588-processed-gene-0.2&CDS=1-972	YGR080W
OG0002764	augustus_masked-sce_s590-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-sce_s590-processed-gene-0.86&CDS=1-252	YLR038C
OG0002765	genemark-sce_s590-processed-gene-0.61-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.61&CDS=1-699	YMR132C
OG0002766	snap_masked-sce_s590-processed-gene-0.3-mRNA-1_1&gene=snap_masked-sce_s590-processed-gene-0.3&CDS=1-6786	YCR093W
OG0002767	genemark-sce_s590-processed-gene-0.46-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.46&CDS=1-660	YDR177W
OG0002768	augustus_masked-sce_s590-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-sce_s590-processed-gene-0.90&CDS=1-1269	YNR051C
OG0002769	augustus_masked-sce_s590-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-sce_s590-processed-gene-0.91&CDS=1-516	YBL090W
OG0002770	genemark-sce_s590-processed-gene-0.62-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.62&CDS=1-2580	YIL143C
OG0002771	genemark-sce_s590-processed-gene-0.63-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.63&CDS=1-1092	YKR092C
OG0002772	genemark-sce_s590-processed-gene-0.64-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.64&CDS=1-1122	YOR084W
OG0002773	augustus_masked-sce_s590-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-sce_s590-processed-gene-0.93&CDS=1-924	YIL145C
OG0002774	genemark-sce_s590-processed-gene-0.66-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.66&CDS=1-1926	YGR119C
OG0002775	genemark-sce_s590-processed-gene-0.51-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.51&CDS=1-1227	YPR065W
OG0002776	genemark-sce_s590-processed-gene-0.69-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.69&CDS=1-1059	YKR071C
OG0002777	genemark-sce_s590-processed-gene-0.52-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.52&CDS=1-1911	YIL144W
OG0002778	genemark-sce_s590-processed-gene-0.72-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.72&CDS=1-552	YKR085C
OG0002779	genemark-sce_s590-processed-gene-0.74-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.74&CDS=1-1572	YNL152W
OG0002780	genemark-sce_s590-processed-gene-0.53-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.53&CDS=1-645	YNL151C
OG0002781	genemark-sce_s590-processed-gene-0.75-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.75&CDS=1-1548	YPR137W
OG0002782	genemark-sce_s590-processed-gene-0.76-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.76&CDS=1-393	YNL149C
OG0002783	genemark-sce_s590-processed-gene-0.77-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.77&CDS=1-717	YNL148C
OG0002784	genemark-sce_s590-processed-gene-0.54-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.54&CDS=1-438	YNL147W
OG0002785	genemark-sce_s590-processed-gene-0.55-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.55&CDS=1-648	YHR128W
OG0002786	genemark-sce_s590-processed-gene-0.79-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.79&CDS=1-468	YPR187W
OG0002787	genemark-sce_s590-processed-gene-0.80-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.80&CDS=1-1119	YPR191W
OG0002788	genemark-sce_s590-processed-gene-0.81-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.81&CDS=1-1278	YLR459W
OG0002789	genemark-sce_s590-processed-gene-0.57-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.57&CDS=1-360	YPR182W
OG0002790	genemark-sce_s590-processed-gene-0.84-mRNA-1_1&gene=genemark-sce_s590-processed-gene-0.84&CDS=1-669	YJR123W
OG0002791	genemark-sce_s591-processed-gene-0.0-mRNA-1_1&gene=genemark-sce_s591-processed-gene-0.0&CDS=1-375	YKL086W
OG0002792	genemark-sce_s593-processed-gene-0.1-mRNA-1_1&gene=genemark-sce_s593-processed-gene-0.1&CDS=1-1869	YPR141C
OG0002793	genemark-sce_s596-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s596-processed-gene-0.2&CDS=1-1737	YPL243W
OG0002794	genemark-sce_s596-processed-gene-0.3-mRNA-1_1&gene=genemark-sce_s596-processed-gene-0.3&CDS=1-381	YNL111C
OG0002795	genemark-sce_s596-processed-gene-0.4-mRNA-1_1&gene=genemark-sce_s596-processed-gene-0.4&CDS=1-2268	YJL094C
OG0002796	genemark-sce_s596-processed-gene-0.5-mRNA-1_1&gene=genemark-sce_s596-processed-gene-0.5&CDS=1-3021	YFR002W
OG0002797	genemark-sce_s596-processed-gene-0.6-mRNA-1_1&gene=genemark-sce_s596-processed-gene-0.6&CDS=1-1578	YGL077C
OG0002798	genemark-sce_s596-processed-gene-0.1-mRNA-1_1&gene=genemark-sce_s596-processed-gene-0.1&CDS=1-2520	YMR165C
OG0002799	genemark-sce_s597-processed-gene-0.2-mRNA-1_1&gene=genemark-sce_s597-processed-gene-0.2&CDS=1-933	YLR026C
OG0002800	genemark-sce_s597-processed-gene-0.3-mRNA-1_1&gene=genemark-sce_s597-processed-gene-0.3&CDS=1-696	YLR025W
OG0002801	genemark-sce_s598-processed-gene-0.16-mRNA-1_1&gene=genemark-sce_s598-processed-gene-0.16&CDS=1-2922	YPR104C
OG0002802	snap_masked-sce_s598-processed-gene-0.4-mRNA-1_1&gene=snap_masked-sce_s598-processed-gene-0.4&CDS=1-4707	YJR138W
OG0002803	snap_masked-sce_s598-processed-gene-0.8-mRNA-1_1&gene=snap_masked-sce_s598-processed-gene-0.8&CDS=1-1071	YJR139C
