	Candida_versatilis	Saccharomyces_cerevisiae
OG0002115	-processed-gene-17.98-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-17.98&CDS=1-1272	YJR125C
OG0002116	-processed-gene-17.100-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-17.100&CDS=1-1089	YGL169W
OG0002117	-processed-gene-17.101-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-17.101&CDS=1-2631	YGL167C
OG0002118	-processed-gene-17.134-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-17.134&CDS=1-3495	YPR010C
OG0002119	-processed-gene-17.168-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-17.168&CDS=1-1623	YGR024C
OG0002120	-processed-gene-17.136-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-17.136&CDS=1-861	YFR047C
OG0002121	-processed-gene-17.137-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-17.137&CDS=1-1728	YLL013C
OG0002122	-processed-gene-18.63-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.63&CDS=1-1020	YGR223C
OG0002123	-processed-gene-18.60-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.60&CDS=1-1569	YMR300C
OG0002124	-processed-gene-18.64-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.64&CDS=1-1164	YNL227C
OG0002125	-processed-gene-18.121-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.121&CDS=1-2817	YER008C
OG0002126	-processed-gene-18.61-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.61&CDS=1-1695	YER005W
OG0002127	-processed-gene-18.62-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.62&CDS=1-2148	YIR002C
OG0002128	-processed-gene-18.66-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.66&CDS=1-2217	YNL298W
OG0002129	-processed-gene-18.67-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.67&CDS=1-519	YNL306W
OG0002130	-processed-gene-18.124-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.124&CDS=1-2088	YCL004W
OG0002131	-processed-gene-18.98-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.98&CDS=1-537	YJL140W
OG0002132	-processed-gene-18.100-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.100&CDS=1-2448	YHR098C
OG0002133	-processed-gene-18.44-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.44&CDS=1-4497	YIR006C
OG0002134	-processed-gene-18.73-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.73&CDS=1-690	YNL200C
OG0002135	-processed-gene-18.74-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.74&CDS=1-351	YPR166C
OG0002136	-processed-gene-18.17-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.17&CDS=1-465	YLR167W
OG0002137	-processed-gene-18.77-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.77&CDS=1-351	YJL104W
OG0002138	-processed-gene-18.78-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.78&CDS=1-576	YOR294W
OG0002139	-processed-gene-18.79-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.79&CDS=1-10587	YHR099W
OG0002140	-processed-gene-18.107-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.107&CDS=1-1362	YLL019C
OG0002141	-augustus-gene-18.0-mRNA-1_1&gene=maker-gi|1002316101|dbj|BCJV01000001.1|-augustus-gene-18.0&CDS=1-1788	YGL048C
OG0002142	-processed-gene-18.109-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.109&CDS=1-876	YJL031C
OG0002143	-processed-gene-18.143-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.143&CDS=1-573	YJL030W
OG0002144	-processed-gene-18.111-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.111&CDS=1-1989	YJL034W
OG0002145	-processed-gene-18.112-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.112&CDS=1-1314	YJL036W
OG0002146	-processed-gene-18.91-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.91&CDS=1-1458	YMR100W
OG0002147	-processed-gene-18.92-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.92&CDS=1-1056	YHR025W
OG0002148	-processed-gene-18.93-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.93&CDS=1-840	YGR062C
OG0002149	-processed-gene-18.115-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-18.115&CDS=1-4893	YHR023W
OG0002150	-snap-gene-19.64-mRNA-1_1&gene=maker-gi|1002316101|dbj|BCJV01000001.1|-snap-gene-19.64&CDS=1-2418	YOR002W
OG0002151	-processed-gene-19.72-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.72&CDS=1-948	YOL064C
OG0002152	-processed-gene-19.65-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.65&CDS=1-1701	YBR200W
OG0002153	-processed-gene-19.66-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.66&CDS=1-1293	YPL070W
OG0002154	-processed-gene-19.67-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.67&CDS=1-681	YJR099W
OG0002155	-processed-gene-19.74-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.74&CDS=1-1191	YPR045C
OG0002156	-processed-gene-19.108-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.108&CDS=1-966	YNL290W
OG0002157	-processed-gene-19.76-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.76&CDS=1-1422	YNL291C
OG0002158	-processed-gene-19.109-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.109&CDS=1-906	YNL292W
OG0002159	-processed-gene-19.156-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.156&CDS=1-2208	YBR179C
OG0002160	-processed-gene-19.110-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.110&CDS=1-450	YGL058W
OG0002161	-processed-gene-19.111-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.111&CDS=1-1020	YMR079W
OG0002162	-processed-gene-19.80-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.80&CDS=1-2046	YKL104C
OG0002163	-processed-gene-19.112-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.112&CDS=1-1230	YOR272W
OG0002164	-processed-gene-19.82-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.82&CDS=1-768	YML105C
OG0002165	-processed-gene-19.162-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.162&CDS=1-483	YGR271C-A
OG0002166	-processed-gene-19.115-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.115&CDS=1-978	YOR123C
OG0002167	-processed-gene-19.84-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.84&CDS=1-606	YFL005W
OG0002168	-processed-gene-19.85-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.85&CDS=1-1737	YLR060W
OG0002169	-processed-gene-19.117-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.117&CDS=1-1032	YPL244C
OG0002170	-processed-gene-19.86-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.86&CDS=1-1308	YNL330C
OG0002171	-processed-gene-19.118-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.118&CDS=1-981	YPL188W
OG0002172	-processed-gene-19.119-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.119&CDS=1-2700	YFL034W
OG0002173	-processed-gene-19.166-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.166&CDS=1-1362	YGR037C
OG0002174	-processed-gene-19.89-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.89&CDS=1-966	YNL326C
OG0002175	-processed-gene-19.168-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.168&CDS=1-789	YLR050C
OG0002176	-processed-gene-19.92-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.92&CDS=1-2880	YNL329C
OG0002177	-processed-gene-19.93-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.93&CDS=1-510	YBR193C
OG0002178	-processed-gene-19.120-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.120&CDS=1-552	YLR051C
OG0002179	-processed-gene-19.121-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.121&CDS=1-1815	YGR216C
OG0002180	-processed-gene-19.95-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.95&CDS=1-765	YLL041C
OG0002181	-processed-gene-19.123-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.123&CDS=1-1425	YFR044C
OG0002182	-processed-gene-19.98-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.98&CDS=1-1029	YBR215W
OG0002183	-processed-gene-19.201-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.201&CDS=1-681	YOR287C
OG0002184	-processed-gene-19.176-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.176&CDS=1-336	YBR217W
OG0002185	-processed-gene-19.56-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.56&CDS=1-8031	YDR170C
OG0002186	-processed-gene-19.177-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.177&CDS=1-564	YGL224C
OG0002187	-processed-gene-19.102-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.102&CDS=1-993	YPL101W
OG0002188	-processed-gene-19.104-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.104&CDS=1-936	YBR037C
OG0002189	-processed-gene-19.105-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.105&CDS=1-825	YOR340C
OG0002190	-processed-gene-19.134-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.134&CDS=1-441	YOR369C
OG0002191	-processed-gene-19.136-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-19.136&CDS=1-1983	YKR039W
OG0002192	-processed-gene-20.0-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.0&CDS=1-1779	YOR329C
OG0002193	-processed-gene-20.58-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.58&CDS=1-1680	YNL189W
OG0002194	-processed-gene-20.85-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.85&CDS=1-1707	YJR002W
OG0002195	-processed-gene-20.62-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.62&CDS=1-1065	YGR193C
OG0002196	-processed-gene-20.63-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.63&CDS=1-1866	YLR002C
OG0002197	-processed-gene-20.64-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.64&CDS=1-957	YDR245W
OG0002198	-processed-gene-20.88-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.88&CDS=1-450	YJR118C
OG0002199	-processed-gene-20.65-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.65&CDS=1-3678	YPL016W
OG0002200	-processed-gene-20.89-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.89&CDS=1-2631	YPL022W
OG0002201	-processed-gene-20.66-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.66&CDS=1-1665	YPL023C
OG0002202	-processed-gene-20.67-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.67&CDS=1-954	YER023W
OG0002203	-processed-gene-20.68-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.68&CDS=1-2181	YHR119W
OG0002204	-processed-gene-20.69-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.69&CDS=1-405	YDR246W
OG0002205	-processed-gene-20.92-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.92&CDS=1-2721	YGL241W
OG0002206	-processed-gene-20.71-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.71&CDS=1-1056	YHR068W
OG0002207	-processed-gene-20.94-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.94&CDS=1-1557	YER086W
OG0002208	-processed-gene-20.73-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.73&CDS=1-1305	YOR323C
OG0002209	-processed-gene-20.97-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.97&CDS=1-942	YOR026W
OG0002210	-processed-gene-20.74-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.74&CDS=1-957	YPR110C
OG0002211	-processed-gene-20.101-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.101&CDS=1-1515	YGR009C
OG0002212	-processed-gene-20.77-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.77&CDS=1-1770	YLR143W
OG0002213	-processed-gene-20.78-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.78&CDS=1-495	YOL143C
OG0002214	-snap-gene-20.55-mRNA-1_1&gene=maker-gi|1002316101|dbj|BCJV01000001.1|-snap-gene-20.55&CDS=1-1971	YDR256C
OG0002215	-processed-gene-20.106-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.106&CDS=1-1014	YJL052W
OG0002216	-processed-gene-20.81-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.81&CDS=1-1683	YBR293W
OG0002217	-processed-gene-20.108-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.108&CDS=1-990	YKL193C
OG0002218	-processed-gene-20.109-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.109&CDS=1-354	YKL192C
OG0002219	-processed-gene-20.112-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.112&CDS=1-933	YDR464W
OG0002220	-processed-gene-20.113-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.113&CDS=1-738	YBR101C
OG0002221	-processed-gene-20.82-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.82&CDS=1-963	YLR354C
OG0002222	-processed-gene-20.83-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-20.83&CDS=1-1038	YLR420W
OG0002223	-processed-gene-21.60-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.60&CDS=1-1077	YGL004C
OG0002224	-processed-gene-21.66-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.66&CDS=1-1503	YBR127C
OG0002225	-processed-gene-21.62-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.62&CDS=1-855	YAL039C
OG0002226	-processed-gene-21.7-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.7&CDS=1-1851	YBR276C
OG0002227	-processed-gene-21.68-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.68&CDS=1-1623	YGL037C
OG0002228	-processed-gene-21.93-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.93&CDS=1-1104	YPL172C
OG0002229	-processed-gene-21.37-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.37&CDS=1-2730	YDR270W
OG0002230	-processed-gene-21.97-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.97&CDS=1-1743	YMR165C
OG0002231	-processed-gene-21.69-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.69&CDS=1-1779	YKL125W
OG0002232	-processed-gene-21.72-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.72&CDS=1-1323	YMR140W
OG0002233	-processed-gene-21.73-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.73&CDS=1-516	YMR009W
OG0002234	-processed-gene-21.74-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.74&CDS=1-315	YDL130W
OG0002235	-processed-gene-21.171-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.171&CDS=1-588	YMR156C
OG0002236	-processed-gene-21.104-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.104&CDS=1-504	YKL056C
OG0002237	-processed-gene-21.105-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.105&CDS=1-1851	YNL209W
OG0002238	-processed-gene-21.176-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.176&CDS=1-513	YOL146W
OG0002239	-processed-gene-21.177-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.177&CDS=1-1617	YPR125W
OG0002240	-processed-gene-21.23-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.23&CDS=1-3162	YGR090W
OG0002241	-processed-gene-21.80-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.80&CDS=1-1530	YNL115C
OG0002242	-processed-gene-21.181-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.181&CDS=1-1662	YHL013C
OG0002243	-processed-gene-21.113-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.113&CDS=1-996	YJL056C
OG0002244	-processed-gene-21.152-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.152&CDS=1-1134	YEL037C
OG0002245	-processed-gene-21.154-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.154&CDS=1-3150	YER110C
OG0002246	-processed-gene-21.118-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.118&CDS=1-297	YDR377W
OG0002247	-processed-gene-21.86-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.86&CDS=1-2190	YJL087C
OG0002248	-processed-gene-21.119-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.119&CDS=1-942	YJL088W
OG0002249	-processed-gene-21.90-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.90&CDS=1-1281	YPR173C
OG0002250	-processed-gene-21.121-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.121&CDS=1-1446	YJL071W
OG0002251	-processed-gene-21.91-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.91&CDS=1-555	YJL072C
OG0002252	-processed-gene-21.35-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.35&CDS=1-1242	YPR162C
OG0002253	-processed-gene-22.60-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.60&CDS=1-1551	YER025W
OG0002254	-processed-gene-22.56-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.56&CDS=1-1293	YJR124C
OG0002255	-processed-gene-22.61-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.61&CDS=1-600	YBR257W
OG0002256	-processed-gene-22.126-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.126&CDS=1-558	YJL046W
OG0002257	-processed-gene-22.62-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.62&CDS=1-858	YBR271W
OG0002258	-snap-gene-22.117-mRNA-1_1&gene=maker-gi|1002316101|dbj|BCJV01000001.1|-snap-gene-22.117&CDS=1-2508	YJR123W
OG0002259	-processed-gene-22.92-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.92&CDS=1-1749	YGL125W
OG0002260	-processed-gene-22.67-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.67&CDS=1-1470	YBR204C
OG0002261	-processed-gene-22.68-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.68&CDS=1-525	YPR037C
OG0002262	-processed-gene-22.69-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.69&CDS=1-3105	YPL217C
OG0002263	-processed-gene-22.94-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.94&CDS=1-567	YPL218W
OG0002264	-processed-gene-22.70-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.70&CDS=1-2574	YGL137W
OG0002265	-processed-gene-22.95-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.95&CDS=1-1797	YER036C
OG0002266	-processed-gene-22.164-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.164&CDS=1-5823	YGL211W
OG0002267	-processed-gene-22.101-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.101&CDS=1-636	YMR068W
OG0002268	-snap-gene-22.118-mRNA-1_1&gene=maker-gi|1002316101|dbj|BCJV01000001.1|-snap-gene-22.118&CDS=1-903	YGL136C
OG0002269	-processed-gene-22.105-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.105&CDS=1-1125	YDL033C
OG0002270	-processed-gene-22.107-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.107&CDS=1-3729	YOR291W
OG0002271	-processed-gene-22.108-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.108&CDS=1-1149	YKR072C
OG0002272	-processed-gene-22.109-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.109&CDS=1-1122	YGR007W
OG0002273	-processed-gene-22.77-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.77&CDS=1-1146	YMR091C
OG0002274	-processed-gene-22.110-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.110&CDS=1-1326	YNR039C
OG0002275	-processed-gene-22.79-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.79&CDS=1-1059	YDR354W
OG0002276	-processed-gene-22.80-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.80&CDS=1-336	YOR327C
OG0002277	-processed-gene-22.112-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.112&CDS=1-474	YDL004W
OG0002278	-processed-gene-22.82-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.82&CDS=1-1701	YLR259C
OG0002279	-processed-gene-22.84-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.84&CDS=1-951	YGR284C
OG0002280	-processed-gene-22.113-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.113&CDS=1-3054	YLR389C
OG0002281	-processed-gene-22.115-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.115&CDS=1-1512	YOR090C
OG0002282	-processed-gene-22.88-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.88&CDS=1-1017	YOR091W
OG0002283	-processed-gene-22.116-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.116&CDS=1-576	YKL117W
