	Metschnikowia_matae_maris	Saccharomyces_cerevisiae
OG0002352	snap_masked-mar-_s454-processed-gene-1.174-mRNA-1_1&gene=snap_masked-mar-_s454-processed-gene-1.174&CDS=1-2061	YHR020W
OG0002353	snap_masked-mar-_s454-processed-gene-1.140-mRNA-1_1&gene=snap_masked-mar-_s454-processed-gene-1.140&CDS=1-1653	YHR019C
OG0002354	snap_masked-mar-_s454-processed-gene-1.141-mRNA-1_1&gene=snap_masked-mar-_s454-processed-gene-1.141&CDS=1-1389	YHR018C
OG0002355	snap_masked-mar-_s454-processed-gene-1.143-mRNA-1_1&gene=snap_masked-mar-_s454-processed-gene-1.143&CDS=1-2046	YGR145W
OG0002356	snap_masked-mar-_s454-processed-gene-1.175-mRNA-1_1&gene=snap_masked-mar-_s454-processed-gene-1.175&CDS=1-687	YGL037C
OG0002357	snap_masked-mar-_s454-processed-gene-1.177-mRNA-1_1&gene=snap_masked-mar-_s454-processed-gene-1.177&CDS=1-1851	YOR204W
OG0002358	snap_masked-mar-_s454-processed-gene-1.180-mRNA-1_1&gene=snap_masked-mar-_s454-processed-gene-1.180&CDS=1-1671	YEL042W
OG0002359	snap_masked-mar-_s456-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mar-_s456-processed-gene-0.0&CDS=1-621	YDL166C
OG0002360	snap_masked-mar-_s47-processed-gene-0.66-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-0.66&CDS=1-1191	YFL039C
OG0002361	maker-mar-_s47-augustus-gene-0.84-mRNA-1_1&gene=maker-mar-_s47-augustus-gene-0.84&CDS=1-366	YOR327C
OG0002362	snap_masked-mar-_s47-processed-gene-0.68-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-0.68&CDS=1-507	YAL044C
OG0002363	snap_masked-mar-_s47-processed-gene-0.69-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-0.69&CDS=1-1947	YDL206W
OG0002364	snap_masked-mar-_s47-processed-gene-0.45-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-0.45&CDS=1-1731	YGL084C
OG0002365	augustus_masked-mar-_s47-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-mar-_s47-processed-gene-0.113&CDS=1-414	YGL087C
OG0002366	snap_masked-mar-_s47-processed-gene-0.72-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-0.72&CDS=1-2604	YBR055C
OG0002367	snap_masked-mar-_s47-processed-gene-0.48-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-0.48&CDS=1-1491	YMR131C
OG0002368	snap_masked-mar-_s47-processed-gene-0.49-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-0.49&CDS=1-1866	YPL263C
OG0002369	snap_masked-mar-_s47-processed-gene-0.73-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-0.73&CDS=1-966	YPL266W
OG0002370	snap_masked-mar-_s47-processed-gene-0.53-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-0.53&CDS=1-1596	YEL058W
OG0002371	augustus_masked-mar-_s47-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-mar-_s47-processed-gene-0.118&CDS=1-696	YGL085W
OG0002372	snap_masked-mar-_s47-processed-gene-0.57-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-0.57&CDS=1-1362	YBR130C
OG0002373	snap_masked-mar-_s47-processed-gene-0.58-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-0.58&CDS=1-1143	YFL030W
OG0002374	snap_masked-mar-_s47-processed-gene-0.60-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-0.60&CDS=1-4245	YNL088W
OG0002375	snap_masked-mar-_s47-processed-gene-0.79-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-0.79&CDS=1-1068	YOR042W
OG0002376	snap_masked-mar-_s47-processed-gene-0.82-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-0.82&CDS=1-1146	YDR502C
OG0002377	snap_masked-mar-_s47-processed-gene-1.156-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.156&CDS=1-3159	YCL061C
OG0002378	snap_masked-mar-_s47-processed-gene-1.161-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.161&CDS=1-1122	YCL059C
OG0002379	snap_masked-mar-_s47-processed-gene-1.158-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.158&CDS=1-1248	YIR012W
OG0002380	snap_masked-mar-_s47-processed-gene-1.159-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.159&CDS=1-1413	YIR008C
OG0002381	snap_masked-mar-_s47-processed-gene-1.162-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.162&CDS=1-2745	YIR007W
OG0002382	snap_masked-mar-_s47-processed-gene-1.188-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.188&CDS=1-585	YER012W
OG0002383	snap_masked-mar-_s47-processed-gene-1.189-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.189&CDS=1-699	YBR256C
OG0002384	snap_masked-mar-_s47-processed-gene-1.192-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.192&CDS=1-1245	YIL160C
OG0002385	snap_masked-mar-_s47-processed-gene-1.195-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.195&CDS=1-2784	YNL313C
OG0002386	augustus_masked-mar-_s47-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-mar-_s47-processed-gene-1.12&CDS=1-333	YDR045C
OG0002387	augustus_masked-mar-_s47-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-mar-_s47-processed-gene-1.44&CDS=1-1740	YBR065C
OG0002388	snap_masked-mar-_s47-processed-gene-1.201-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.201&CDS=1-4080	YMR259C
OG0002389	snap_masked-mar-_s47-processed-gene-1.203-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.203&CDS=1-1815	YDR049W
OG0002390	maker-mar-_s47-augustus-gene-1.1-mRNA-1_1&gene=maker-mar-_s47-augustus-gene-1.1&CDS=1-1110	YDR047W
OG0002391	snap_masked-mar-_s47-processed-gene-1.168-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.168&CDS=1-294	YHR087W
OG0002392	snap_masked-mar-_s47-processed-gene-1.169-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.169&CDS=1-2055	YDR333C
OG0002393	snap_masked-mar-_s47-processed-gene-1.170-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.170&CDS=1-1842	YHR039C
OG0002394	snap_masked-mar-_s47-processed-gene-1.205-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.205&CDS=1-333	YHR039C-A
OG0002395	snap_masked-mar-_s47-processed-gene-1.206-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.206&CDS=1-4602	YDR334W
OG0002396	snap_masked-mar-_s47-processed-gene-1.171-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.171&CDS=1-1593	YHR086W
OG0002397	augustus_masked-mar-_s47-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-mar-_s47-processed-gene-1.19&CDS=1-927	YOR174W
OG0002398	augustus_masked-mar-_s47-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-mar-_s47-processed-gene-1.54&CDS=1-1149	YOR176W
OG0002399	snap_masked-mar-_s47-processed-gene-1.210-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.210&CDS=1-1779	YOR175C
OG0002400	snap_masked-mar-_s47-processed-gene-1.211-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.211&CDS=1-3489	YLR272C
OG0002401	snap_masked-mar-_s47-processed-gene-1.212-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.212&CDS=1-1617	YMR005W
OG0002402	snap_masked-mar-_s47-processed-gene-1.172-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.172&CDS=1-1101	YOL010W
OG0002403	augustus_masked-mar-_s47-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-mar-_s47-processed-gene-1.58&CDS=1-8652	YKL203C
OG0002404	snap_masked-mar-_s47-processed-gene-1.215-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.215&CDS=1-1647	YJR064W
OG0002405	snap_masked-mar-_s47-processed-gene-1.173-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.173&CDS=1-951	YJR070C
OG0002406	augustus_masked-mar-_s47-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-mar-_s47-processed-gene-1.60&CDS=1-369	YJR063W
OG0002407	augustus_masked-mar-_s47-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-mar-_s47-processed-gene-1.22&CDS=1-915	YOR004W
OG0002408	augustus_masked-mar-_s47-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-mar-_s47-processed-gene-1.61&CDS=1-5292	YNL023C
OG0002409	snap_masked-mar-_s47-processed-gene-1.175-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.175&CDS=1-3792	YMR076C
OG0002410	snap_masked-mar-_s47-processed-gene-1.218-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.218&CDS=1-1461	YDL207W
OG0002411	snap_masked-mar-_s47-processed-gene-1.176-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.176&CDS=1-858	YDR237W
OG0002412	snap_masked-mar-_s47-processed-gene-1.177-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.177&CDS=1-663	YGR042W
OG0002413	snap_masked-mar-_s47-processed-gene-1.178-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.178&CDS=1-1107	YOL001W
OG0002414	snap_masked-mar-_s47-processed-gene-1.179-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.179&CDS=1-861	YMR178W
OG0002415	augustus_masked-mar-_s47-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-mar-_s47-processed-gene-1.64&CDS=1-2889	YOR335C
OG0002416	augustus_masked-mar-_s47-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-mar-_s47-processed-gene-1.27&CDS=1-2919	YGL073W
OG0002417	snap_masked-mar-_s47-processed-gene-1.222-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.222&CDS=1-1020	YHR052W
OG0002418	snap_masked-mar-_s47-processed-gene-1.224-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.224&CDS=1-1335	YMR065W
OG0002419	snap_masked-mar-_s47-processed-gene-1.225-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.225&CDS=1-966	YMR063W
OG0002420	maker-mar-_s47-snap-gene-1.150-mRNA-1_1&gene=maker-mar-_s47-snap-gene-1.150&CDS=1-5214	YKL078W
OG0002421	snap_masked-mar-_s47-processed-gene-1.226-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.226&CDS=1-1572	YPL097W
OG0002422	snap_masked-mar-_s47-processed-gene-1.227-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.227&CDS=1-1113	YPL096W
OG0002423	maker-mar-_s471-snap-gene-0.21-mRNA-1_1&gene=maker-mar-_s471-snap-gene-0.21&CDS=1-471	YPL059W
OG0002424	snap_masked-mar-_s471-processed-gene-0.17-mRNA-1_1&gene=snap_masked-mar-_s471-processed-gene-0.17&CDS=1-2967	YKL205W
OG0002425	snap_masked-mar-_s473-processed-gene-0.35-mRNA-1_1&gene=snap_masked-mar-_s473-processed-gene-0.35&CDS=1-3399	YDR217C
OG0002426	snap_masked-mar-_s473-processed-gene-0.47-mRNA-1_1&gene=snap_masked-mar-_s473-processed-gene-0.47&CDS=1-1440	YLR142W
OG0002427	snap_masked-mar-_s473-processed-gene-0.38-mRNA-1_1&gene=snap_masked-mar-_s473-processed-gene-0.38&CDS=1-2355	YLR222C
OG0002428	augustus_masked-mar-_s473-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-mar-_s473-processed-gene-0.12&CDS=1-702	YDR152W
OG0002429	snap_masked-mar-_s475-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mar-_s475-processed-gene-0.2&CDS=1-1476	YER090W
OG0002430	snap_masked-mar-_s477-processed-gene-0.21-mRNA-1_1&gene=snap_masked-mar-_s477-processed-gene-0.21&CDS=1-381	YNL111C
OG0002431	snap_masked-mar-_s477-processed-gene-0.26-mRNA-1_1&gene=snap_masked-mar-_s477-processed-gene-0.26&CDS=1-1107	YNL326C
OG0002432	snap_masked-mar-_s477-processed-gene-0.28-mRNA-1_1&gene=snap_masked-mar-_s477-processed-gene-0.28&CDS=1-1470	YNL330C
OG0002433	maker-mar-_s477-snap-gene-0.52-mRNA-1_1&gene=maker-mar-_s477-snap-gene-0.52&CDS=1-1422	YPL188W
OG0002434	snap_masked-mar-_s477-processed-gene-0.31-mRNA-1_1&gene=snap_masked-mar-_s477-processed-gene-0.31&CDS=1-2253	YBR112C
OG0002435	snap_masked-mar-_s477-processed-gene-0.44-mRNA-1_1&gene=snap_masked-mar-_s477-processed-gene-0.44&CDS=1-768	YBR111C
OG0002436	snap_masked-mar-_s477-processed-gene-0.32-mRNA-1_1&gene=snap_masked-mar-_s477-processed-gene-0.32&CDS=1-288	YBR111W-A
OG0002437	snap_masked-mar-_s477-processed-gene-0.45-mRNA-1_1&gene=snap_masked-mar-_s477-processed-gene-0.45&CDS=1-2118	YBR212W
OG0002438	augustus_masked-mar-_s477-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-mar-_s477-processed-gene-0.12&CDS=1-408	YGL054C
OG0002439	augustus_masked-mar-_s477-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-mar-_s477-processed-gene-0.19&CDS=1-429	YOR369C
OG0002440	snap_masked-mar-_s477-processed-gene-0.49-mRNA-1_1&gene=snap_masked-mar-_s477-processed-gene-0.49&CDS=1-1863	YOR370C
OG0002441	augustus_masked-mar-_s48-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-mar-_s48-processed-gene-0.32&CDS=1-711	YHR090C
OG0002442	augustus_masked-mar-_s48-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-mar-_s48-processed-gene-0.26&CDS=1-2121	YOR035C
OG0002443	snap_masked-mar-_s48-processed-gene-0.12-mRNA-1_1&gene=snap_masked-mar-_s48-processed-gene-0.12&CDS=1-3087	YHR098C
OG0002444	snap_masked-mar-_s484-processed-gene-0.18-mRNA-1_1&gene=snap_masked-mar-_s484-processed-gene-0.18&CDS=1-1575	YIL090W
OG0002445	augustus_masked-mar-_s484-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-mar-_s484-processed-gene-0.8&CDS=1-2145	YIL091C
OG0002446	augustus_masked-mar-_s484-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-mar-_s484-processed-gene-0.12&CDS=1-213	YNL024C-A
OG0002447	snap_masked-mar-_s484-processed-gene-0.15-mRNA-1_1&gene=snap_masked-mar-_s484-processed-gene-0.15&CDS=1-1086	YML095C
OG0002448	genemark-mar-_s484-processed-gene-0.7-mRNA-1_1&gene=genemark-mar-_s484-processed-gene-0.7&CDS=1-447	YML094W
OG0002449	snap_masked-mar-_s489-processed-gene-0.14-mRNA-1_1&gene=snap_masked-mar-_s489-processed-gene-0.14&CDS=1-1389	YIL096C
OG0002450	snap_masked-mar-_s489-processed-gene-0.21-mRNA-1_1&gene=snap_masked-mar-_s489-processed-gene-0.21&CDS=1-1365	YIL097W
OG0002451	maker-mar-_s49-snap-gene-0.25-mRNA-1_1&gene=maker-mar-_s49-snap-gene-0.25&CDS=1-426	YOL127W
OG0002452	snap_masked-mar-_s49-processed-gene-0.22-mRNA-1_1&gene=snap_masked-mar-_s49-processed-gene-0.22&CDS=1-891	YKR088C
OG0002453	snap_masked-mar-_s49-processed-gene-0.18-mRNA-1_1&gene=snap_masked-mar-_s49-processed-gene-0.18&CDS=1-870	YJL068C
OG0002454	augustus_masked-mar-_s49-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-mar-_s49-processed-gene-0.9&CDS=1-1221	YLR287C
OG0002455	maker-mar-_s49-snap-gene-0.26-mRNA-1_1&gene=maker-mar-_s49-snap-gene-0.26&CDS=1-1587	YOR181W
OG0002456	snap_masked-mar-_s494-processed-gene-0.12-mRNA-1_1&gene=snap_masked-mar-_s494-processed-gene-0.12&CDS=1-609	YLR390W-A
OG0002457	augustus_masked-mar-_s494-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-mar-_s494-processed-gene-0.8&CDS=1-1635	YDL238C
OG0002458	snap_masked-mar-_s498-processed-gene-0.24-mRNA-1_1&gene=snap_masked-mar-_s498-processed-gene-0.24&CDS=1-1707	YLR433C
OG0002459	augustus_masked-mar-_s498-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-mar-_s498-processed-gene-0.43&CDS=1-1356	YKL184W
OG0002460	snap_masked-mar-_s498-processed-gene-0.26-mRNA-1_1&gene=snap_masked-mar-_s498-processed-gene-0.26&CDS=1-2325	YNR006W
OG0002461	augustus_masked-mar-_s498-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-mar-_s498-processed-gene-0.45&CDS=1-732	YMR200W
OG0002462	snap_masked-mar-_s498-processed-gene-0.33-mRNA-1_1&gene=snap_masked-mar-_s498-processed-gene-0.33&CDS=1-648	YMR202W
OG0002463	snap_masked-mar-_s500-processed-gene-0.26-mRNA-1_1&gene=snap_masked-mar-_s500-processed-gene-0.26&CDS=1-636	YOR111W
OG0002464	snap_masked-mar-_s500-processed-gene-0.27-mRNA-1_1&gene=snap_masked-mar-_s500-processed-gene-0.27&CDS=1-846	YNL110C
OG0002465	snap_masked-mar-_s501-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mar-_s501-processed-gene-0.8&CDS=1-2964	YMR280C
OG0002466	snap_masked-mar-_s501-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mar-_s501-processed-gene-0.2&CDS=1-2547	YAL021C
OG0002467	snap_masked-mar-_s501-processed-gene-0.11-mRNA-1_1&gene=snap_masked-mar-_s501-processed-gene-0.11&CDS=1-1062	YLR420W
OG0002468	augustus_masked-mar-_s501-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-mar-_s501-processed-gene-0.36&CDS=1-429	YPR082C
OG0002469	snap_masked-mar-_s501-processed-gene-0.14-mRNA-1_1&gene=snap_masked-mar-_s501-processed-gene-0.14&CDS=1-627	YLR178C
OG0002470	snap_masked-mar-_s501-processed-gene-0.15-mRNA-1_1&gene=snap_masked-mar-_s501-processed-gene-0.15&CDS=1-1149	YOR358W
OG0002471	augustus_masked-mar-_s502-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-mar-_s502-processed-gene-0.10&CDS=1-2127	YML127W
OG0002472	snap_masked-mar-_s503-processed-gene-0.11-mRNA-1_1&gene=snap_masked-mar-_s503-processed-gene-0.11&CDS=1-1875	YPR141C
OG0002473	snap_masked-mar-_s503-processed-gene-0.18-mRNA-1_1&gene=snap_masked-mar-_s503-processed-gene-0.18&CDS=1-1200	YPR140W
OG0002474	snap_masked-mar-_s503-processed-gene-0.15-mRNA-1_1&gene=snap_masked-mar-_s503-processed-gene-0.15&CDS=1-1731	YGR103W
OG0002475	snap_masked-mar-_s510-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mar-_s510-processed-gene-0.2&CDS=1-1086	YPR128C
OG0002476	snap_masked-mar-_s513-processed-gene-0.3-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-0.3&CDS=1-711	YML025C
OG0002477	augustus_masked-mar-_s513-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-mar-_s513-processed-gene-0.37&CDS=1-2865	YBR114W
OG0002478	snap_masked-mar-_s513-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-0.6&CDS=1-4173	YBR115C
OG0002479	snap_masked-mar-_s513-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-0.8&CDS=1-1740	YOR360C
OG0002480	snap_masked-mar-_s513-processed-gene-0.20-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-0.20&CDS=1-597	YKL196C
OG0002481	snap_masked-mar-_s513-processed-gene-0.21-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-0.21&CDS=1-798	YKL195W
OG0002482	snap_masked-mar-_s513-processed-gene-0.23-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-0.23&CDS=1-2253	YLR424W
OG0002483	augustus_masked-mar-_s513-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-mar-_s513-processed-gene-0.44&CDS=1-1068	YLR418C
OG0002484	augustus_masked-mar-_s513-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-mar-_s513-processed-gene-0.58&CDS=1-1440	YKL194C
OG0002485	snap_masked-mar-_s513-processed-gene-0.27-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-0.27&CDS=1-1635	YHR194W
OG0002486	augustus_masked-mar-_s513-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-mar-_s513-processed-gene-0.64&CDS=1-1350	YFL037W
OG0002487	maker-mar-_s513-augustus-gene-0.65-mRNA-1_1&gene=maker-mar-_s513-augustus-gene-0.65&CDS=1-1665	YLR025W
OG0002488	augustus_masked-mar-_s513-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-mar-_s513-processed-gene-0.53&CDS=1-408	YDR462W
OG0002489	augustus_masked-mar-_s513-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-mar-_s513-processed-gene-1.151&CDS=1-408	YJR082C
OG0002490	snap_masked-mar-_s513-processed-gene-1.72-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.72&CDS=1-1317	YGR254W
OG0002491	augustus_masked-mar-_s513-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-mar-_s513-processed-gene-1.152&CDS=1-1365	YLR231C
OG0002492	snap_masked-mar-_s513-processed-gene-1.117-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.117&CDS=1-1218	YOL016C
OG0002493	snap_masked-mar-_s513-processed-gene-1.82-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.82&CDS=1-2178	YJL168C
OG0002494	snap_masked-mar-_s513-processed-gene-1.84-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.84&CDS=1-990	YNL097C
OG0002495	snap_masked-mar-_s513-processed-gene-1.119-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.119&CDS=1-507	YOR103C
OG0002496	snap_masked-mar-_s513-processed-gene-1.86-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.86&CDS=1-594	YNL099C
OG0002497	snap_masked-mar-_s513-processed-gene-1.88-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.88&CDS=1-483	YIR037W
OG0002498	snap_masked-mar-_s513-processed-gene-1.90-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.90&CDS=1-1197	YLR355C
OG0002499	snap_masked-mar-_s513-processed-gene-1.120-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.120&CDS=1-987	YGR053C
OG0002500	maker-mar-_s513-snap-gene-1.143-mRNA-1_1&gene=maker-mar-_s513-snap-gene-1.143&CDS=1-1935	YBR287W
OG0002501	snap_masked-mar-_s513-processed-gene-1.124-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.124&CDS=1-744	YJL115W
OG0002502	maker-mar-_s513-snap-gene-1.144-mRNA-1_1&gene=maker-mar-_s513-snap-gene-1.144&CDS=1-3609	YER093C
OG0002503	snap_masked-mar-_s513-processed-gene-1.126-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.126&CDS=1-855	YNL075W
OG0002504	snap_masked-mar-_s513-processed-gene-1.127-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.127&CDS=1-2967	YKR050W
OG0002505	snap_masked-mar-_s513-processed-gene-1.96-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.96&CDS=1-6648	YJL130C
OG0002506	maker-mar-_s513-snap-gene-1.145-mRNA-1_1&gene=maker-mar-_s513-snap-gene-1.145&CDS=1-2367	YJL127C
OG0002507	maker-mar-_s513-snap-gene-1.142-mRNA-1_1&gene=maker-mar-_s513-snap-gene-1.142&CDS=1-981	YIL084C
OG0002508	augustus_masked-mar-_s513-processed-gene-1.172-mRNA-1_1&gene=augustus_masked-mar-_s513-processed-gene-1.172&CDS=1-426	YIL087C
OG0002509	augustus_masked-mar-_s513-processed-gene-1.204-mRNA-1_1&gene=augustus_masked-mar-_s513-processed-gene-1.204&CDS=1-834	YNL032W
OG0002510	snap_masked-mar-_s513-processed-gene-1.133-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.133&CDS=1-1077	YFL026W
OG0002511	snap_masked-mar-_s513-processed-gene-1.100-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.100&CDS=1-1143	YER027C
OG0002512	snap_masked-mar-_s513-processed-gene-1.134-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.134&CDS=1-1464	YOL069W
OG0002513	snap_masked-mar-_s513-processed-gene-1.135-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.135&CDS=1-729	YOR125C
OG0002514	snap_masked-mar-_s513-processed-gene-1.136-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.136&CDS=1-927	YDR374C
OG0002515	snap_masked-mar-_s513-processed-gene-1.106-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.106&CDS=1-1401	YOR025W
OG0002516	snap_masked-mar-_s513-processed-gene-1.107-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.107&CDS=1-1632	YDR479C
OG0002517	snap_masked-mar-_s513-processed-gene-1.138-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.138&CDS=1-2535	YCL045C
OG0002518	snap_masked-mar-_s513-processed-gene-1.109-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.109&CDS=1-237	YDR525W-A
OG0002519	snap_masked-mar-_s513-processed-gene-1.140-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.140&CDS=1-1341	YDR527W
OG0002520	augustus_masked-mar-_s513-processed-gene-1.213-mRNA-1_1&gene=augustus_masked-mar-_s513-processed-gene-1.213&CDS=1-540	YML036W
OG0002521	snap_masked-mar-_s513-processed-gene-1.141-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.141&CDS=1-1005	YDR460W
OG0002522	snap_masked-mar-_s513-processed-gene-1.114-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.114&CDS=1-2862	YDR524C
OG0002523	snap_masked-mar-_s513-processed-gene-1.115-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.115&CDS=1-1614	YER168C
OG0002524	snap_masked-mar-_s514-processed-gene-0.15-mRNA-1_1&gene=snap_masked-mar-_s514-processed-gene-0.15&CDS=1-426	YPR100W
OG0002525	snap_masked-mar-_s514-processed-gene-0.17-mRNA-1_1&gene=snap_masked-mar-_s514-processed-gene-0.17&CDS=1-1629	YGR055W
OG0002526	snap_masked-mar-_s514-processed-gene-0.18-mRNA-1_1&gene=snap_masked-mar-_s514-processed-gene-0.18&CDS=1-3690	YJL080C
OG0002527	snap_masked-mar-_s514-processed-gene-0.14-mRNA-1_1&gene=snap_masked-mar-_s514-processed-gene-0.14&CDS=1-711	YDR054C
OG0002528	snap_masked-mar-_s515-processed-gene-0.27-mRNA-1_1&gene=snap_masked-mar-_s515-processed-gene-0.27&CDS=1-4149	YBL047C
