	Saccharomyces_cerevisiae	yHMPu5000035684_Kloeckera_hatyaiensis
OG0002545	YNL277W	augustus_masked-flattened_line_152-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.10&CDS=1-1536
OG0002546	YNL280C	augustus_masked-flattened_line_18-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.51&CDS=1-1350
OG0002547	YNL281W	augustus_masked-flattened_line_18-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.71&CDS=1-441
OG0002548	YNL284C	augustus_masked-flattened_line_54-processed-gene-0.171-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.171&CDS=1-954
OG0002549	YNL287W	augustus_masked-flattened_line_88-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.90&CDS=1-2355
OG0002550	YNL288W	augustus_masked-flattened_line_88-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.89&CDS=1-1149
OG0002551	YNL290W	augustus_masked-flattened_line_54-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.167&CDS=1-1023
OG0002552	YNL292W	augustus_masked-flattened_line_22-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.40&CDS=1-1254
OG0002553	YNL304W	genemark-flattened_line_54-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.16&CDS=1-1461
OG0002554	YNL305C	augustus_masked-flattened_line_54-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.131&CDS=1-912
OG0002555	YNL307C	augustus_masked-flattened_line_54-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.163&CDS=1-1218
OG0002556	YNL308C	augustus_masked-flattened_line_54-processed-gene-0.162-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.162&CDS=1-1590
OG0002557	YNL310C	augustus_masked-flattened_line_54-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.161&CDS=1-420
OG0002558	YNL312W	augustus_masked-flattened_line_54-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.125&CDS=1-864
OG0002559	YNL313C	augustus_masked-flattened_line_54-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.160&CDS=1-2391
OG0002560	YNL315C	genemark-flattened_line_88-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.27&CDS=1-969
OG0002561	YNL316C	genemark-flattened_line_88-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.26&CDS=1-1008
OG0002562	YNL320W	augustus_masked-flattened_line_88-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.96&CDS=1-921
OG0002563	YNL321W	augustus_masked-flattened_line_88-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.93&CDS=1-2403
OG0002564	YNL322C	augustus_masked-flattened_line_88-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.78&CDS=1-960
OG0002565	YNL323W	augustus_masked-flattened_line_88-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.95&CDS=1-1338
OG0002566	YNL325C	augustus_masked-flattened_line_56-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.5&CDS=1-3906
OG0002567	YNL326C	genemark-flattened_line_88-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.19&CDS=1-771
OG0002568	YNR001C	augustus_masked-flattened_line_182-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_182-processed-gene-0.19&CDS=1-1401
OG0002569	YNR003C	augustus_masked-flattened_line_40-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.75&CDS=1-987
OG0002570	YNR006W	augustus_masked-flattened_line_18-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.44&CDS=1-1782
OG0002571	YNR007C	augustus_masked-flattened_line_18-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.63&CDS=1-891
OG0002572	YNR008W	augustus_masked-flattened_line_18-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.45&CDS=1-1962
OG0002573	YNR012W	augustus_masked-flattened_line_76-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.76&CDS=1-933
OG0002574	YNR013C	augustus_masked-flattened_line_76-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.61&CDS=1-2604
OG0002575	YNR015W	augustus_masked-flattened_line_76-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.75&CDS=1-1179
OG0002576	YNR016C	augustus_masked-flattened_line_76-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.60&CDS=1-6660
OG0002577	YNR018W	augustus_masked-flattened_line_238-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_238-processed-gene-0.8&CDS=1-666
OG0002578	YNR020C	augustus_masked-flattened_line_2-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.67&CDS=1-687
OG0002579	YNR023W	augustus_masked-flattened_line_2-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.66&CDS=1-1293
OG0002580	YNR029C	augustus_masked-flattened_line_38-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.101&CDS=1-1353
OG0002581	YNR030W	augustus_masked-flattened_line_86-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.42&CDS=1-2061
OG0002582	YNR032W	maker-flattened_line_86-snap-gene-0.34-mRNA-1_1&gene=maker-flattened_line_86-snap-gene-0.34&CDS=1-1500
OG0002583	YNR033W	augustus_masked-flattened_line_86-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.44&CDS=1-2442
OG0002584	YNR035C	augustus_masked-flattened_line_86-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.40&CDS=1-1002
OG0002585	YNR036C	snap_masked-flattened_line_86-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.3&CDS=1-684
OG0002586	YNR037C	augustus_masked-flattened_line_92-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.61&CDS=1-276
OG0002587	YNR038W	augustus_masked-flattened_line_44-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.74&CDS=1-1932
OG0002588	YNR043W	augustus_masked-flattened_line_230-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_230-processed-gene-0.4&CDS=1-1203
OG0002589	YNR046W	augustus_masked-flattened_line_86-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.47&CDS=1-420
OG0002590	YNR049C	snap_masked-flattened_line_86-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.28&CDS=1-690
OG0002591	YNR050C	augustus_masked-flattened_line_86-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.66&CDS=1-1341
OG0002592	YNR052C	augustus_masked-flattened_line_86-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.52&CDS=1-1257
OG0002593	YNR053C	maker-flattened_line_86-augustus-gene-0.104-mRNA-1_1&gene=maker-flattened_line_86-augustus-gene-0.104&CDS=1-1452
OG0002594	YNR054C	augustus_masked-flattened_line_86-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.69&CDS=1-900
OG0002595	YNR055C	maker-flattened_line_8-augustus-gene-0.82-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-0.82&CDS=1-5100
OG0002596	YNR067C	augustus_masked-flattened_line_30-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.56&CDS=1-3246
OG0002597	YOL001W	augustus_masked-flattened_line_66-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.58&CDS=1-1410
OG0002598	YOL002C	genemark-flattened_line_66-processed-gene-0.120-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.120&CDS=1-933
OG0002599	YOL003C	genemark-flattened_line_66-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.119&CDS=1-1206
OG0002600	YOL004W	augustus_masked-flattened_line_66-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.54&CDS=1-4404
OG0002601	YOL005C	augustus_masked-flattened_line_66-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.75&CDS=1-357
OG0002602	YOL006C	augustus_masked-flattened_line_66-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.74&CDS=1-2244
OG0002603	YOL008W	augustus_masked-flattened_line_66-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.50&CDS=1-630
OG0002604	YOL009C	augustus_masked-flattened_line_66-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.72&CDS=1-906
OG0002605	YOL010W	augustus_masked-flattened_line_66-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.49&CDS=1-1251
OG0002606	YOL012C	augustus_masked-flattened_line_4-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.109&CDS=1-402
OG0002607	YOL013C	augustus_masked-flattened_line_4-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.130&CDS=1-2142
OG0002608	YOL016C	augustus_masked-flattened_line_24-processed-gene-0.179-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.179&CDS=1-1323
OG0002609	YOL018C	augustus_masked-flattened_line_16-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.21&CDS=1-930
OG0002610	YOL019W	augustus_masked-flattened_line_16-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.58&CDS=1-1986
OG0002611	YOL021C	augustus_masked-flattened_line_24-processed-gene-0.228-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.228&CDS=1-3150
OG0002612	YOL022C	augustus_masked-flattened_line_24-processed-gene-0.227-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.227&CDS=1-1332
OG0002613	YOL023W	augustus_masked-flattened_line_24-processed-gene-0.187-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.187&CDS=1-2106
OG0002614	YOL031C	augustus_masked-flattened_line_26-processed-gene-0.233-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.233&CDS=1-1293
OG0002615	YOL032W	augustus_masked-flattened_line_26-processed-gene-0.192-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.192&CDS=1-729
OG0002616	YOL033W	augustus_masked-flattened_line_26-processed-gene-0.191-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.191&CDS=1-1698
OG0002617	YOL034W	augustus_masked-flattened_line_26-processed-gene-0.190-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.190&CDS=1-3369
OG0002618	YOL038W	augustus_masked-flattened_line_130-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.51&CDS=1-741
OG0002619	YOL039W	augustus_masked-flattened_line_58-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.65&CDS=1-318
OG0002620	YOL040C	augustus_masked-flattened_line_26-processed-gene-0.193-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.193&CDS=1-429
OG0002621	YOL041C	augustus_masked-flattened_line_148-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_148-processed-gene-0.48&CDS=1-1317
OG0002622	YOL048C	augustus_masked-flattened_line_148-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_148-processed-gene-0.46&CDS=1-741
OG0002623	YOL049W	augustus_masked-flattened_line_148-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_148-processed-gene-0.37&CDS=1-1512
OG0002624	YOL051W	augustus_masked-flattened_line_148-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_148-processed-gene-0.36&CDS=1-2301
OG0002625	YOL054W	snap_masked-flattened_line_2-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.29&CDS=1-789
OG0002626	YOL058W	augustus_masked-flattened_line_48-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.81&CDS=1-1263
OG0002627	YOL060C	augustus_masked-flattened_line_154-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_154-processed-gene-0.37&CDS=1-2025
OG0002628	YOL061W	augustus_masked-flattened_line_104-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.5&CDS=1-1155
OG0002629	YOL064C	genemark-flattened_line_4-processed-gene-1.60-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.60&CDS=1-1104
OG0002630	YOL066C	augustus_masked-flattened_line_88-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.83&CDS=1-1707
OG0002631	YOL067C	genemark-flattened_line_88-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.13&CDS=1-483
OG0002632	YOL069W	augustus_masked-flattened_line_44-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.76&CDS=1-1308
OG0002633	YOL070C	augustus_masked-flattened_line_48-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.83&CDS=1-1302
OG0002634	YOL071W	augustus_masked-flattened_line_48-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.59&CDS=1-495
OG0002635	YOL072W	augustus_masked-flattened_line_54-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.157&CDS=1-1392
OG0002636	YOL076W	augustus_masked-flattened_line_154-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_154-processed-gene-0.30&CDS=1-2328
OG0002637	YOL077C	augustus_masked-flattened_line_104-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.2&CDS=1-903
OG0002638	YOL078W	augustus_masked-flattened_line_116-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.54&CDS=1-3558
OG0002639	YOL080C	augustus_masked-flattened_line_32-processed-gene-0.217-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.217&CDS=1-723
OG0002640	YOL088C	augustus_masked-flattened_line_54-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.150&CDS=1-948
OG0002641	YOL090W	augustus_masked-flattened_line_54-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.148&CDS=1-2991
OG0002642	YOL093W	augustus_masked-flattened_line_88-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.104&CDS=1-1008
OG0002643	YOL094C	augustus_masked-flattened_line_54-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.143&CDS=1-975
OG0002644	YOL096C	augustus_masked-flattened_line_18-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.52&CDS=1-975
OG0002645	YOL097C	augustus_masked-flattened_line_18-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.69&CDS=1-1275
OG0002646	YOL098C	augustus_masked-flattened_line_32-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.184&CDS=1-3093
OG0002647	YOL102C	augustus_masked-flattened_line_76-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.64&CDS=1-666
OG0002648	YOL111C	augustus_masked-flattened_line_54-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.168&CDS=1-615
OG0002649	YOL114C	augustus_masked-flattened_line_54-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.165&CDS=1-624
OG0002650	YOL116W	augustus_masked-flattened_line_54-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.136&CDS=1-1479
OG0002651	YOL119C	augustus_masked-flattened_line_54-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.135&CDS=1-1446
OG0002652	YOL123W	genemark-flattened_line_54-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.17&CDS=1-1344
OG0002653	YOL124C	augustus_masked-flattened_line_160-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_160-processed-gene-0.35&CDS=1-1341
OG0002654	YOL125W	augustus_masked-flattened_line_54-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.132&CDS=1-1320
OG0002655	YOL127W	maker-flattened_line_54-snap-gene-0.116-mRNA-1_1&gene=maker-flattened_line_54-snap-gene-0.116&CDS=1-1176
OG0002656	YOL129W	augustus_masked-flattened_line_54-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.129&CDS=1-603
OG0002657	YOL132W	genemark-flattened_line_54-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.8&CDS=1-1410
OG0002658	YOL133W	genemark-flattened_line_88-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.7&CDS=1-324
OG0002659	YOL135C	augustus_masked-flattened_line_88-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.97&CDS=1-669
OG0002660	YOL136C	augustus_masked-flattened_line_88-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.92&CDS=1-2025
OG0002661	YOL138C	augustus_masked-flattened_line_88-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.79&CDS=1-3891
OG0002662	YOL139C	maker-flattened_line_88-snap-gene-0.72-mRNA-1_1&gene=maker-flattened_line_88-snap-gene-0.72&CDS=1-1386
OG0002663	YOL140W	augustus_masked-flattened_line_88-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.94&CDS=1-1284
OG0002664	YOL142W	augustus_masked-flattened_line_180-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_180-processed-gene-0.9&CDS=1-768
OG0002665	YOL145C	augustus_masked-flattened_line_254-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_254-processed-gene-0.3&CDS=1-2661
OG0002666	YOL146W	augustus_masked-flattened_line_216-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_216-processed-gene-0.11&CDS=1-564
OG0002667	YOL148C	augustus_masked-flattened_line_166-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_166-processed-gene-0.19&CDS=1-1134
OG0002668	YOL149W	augustus_masked-flattened_line_126-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_126-processed-gene-0.39&CDS=1-552
OG0002669	YOR001W	genemark-flattened_line_66-processed-gene-0.121-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.121&CDS=1-2238
OG0002670	YOR002W	augustus_masked-flattened_line_66-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.77&CDS=1-1749
OG0002671	YOR004W	augustus_masked-flattened_line_66-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.79&CDS=1-951
OG0002672	YOR006C	augustus_masked-flattened_line_66-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.56&CDS=1-879
OG0002673	YOR007C	augustus_masked-flattened_line_66-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.55&CDS=1-879
OG0002674	YOR008C	augustus_masked-flattened_line_32-processed-gene-0.206-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.206&CDS=1-1479
OG0002675	YOR014W	augustus_masked-flattened_line_26-processed-gene-0.231-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.231&CDS=1-2403
OG0002676	YOR016C	augustus_masked-flattened_line_32-processed-gene-0.202-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.202&CDS=1-645
OG0002677	YOR021C	augustus_masked-flattened_line_12-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.124&CDS=1-645
OG0002678	YOR022C	augustus_masked-flattened_line_8-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.87&CDS=1-1911
OG0002679	YOR023C	augustus_masked-flattened_line_8-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.115&CDS=1-1596
OG0002680	YOR027W	augustus_masked-flattened_line_12-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.119&CDS=1-1695
OG0002681	YOR032C	augustus_masked-flattened_line_30-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.27&CDS=1-1779
OG0002682	YOR036W	genemark-flattened_line_28-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.6&CDS=1-807
OG0002683	YOR037W	augustus_masked-flattened_line_28-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.172&CDS=1-1068
OG0002684	YOR038C	augustus_masked-flattened_line_28-processed-gene-0.216-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.216&CDS=1-3237
OG0002685	YOR043W	augustus_masked-flattened_line_28-processed-gene-0.218-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.218&CDS=1-1572
OG0002686	YOR046C	augustus_masked-flattened_line_28-processed-gene-0.176-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.176&CDS=1-1380
OG0002687	YOR048C	augustus_masked-flattened_line_28-processed-gene-0.223-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.223&CDS=1-2955
OG0002688	YOR051C	augustus_masked-flattened_line_28-processed-gene-0.224-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.224&CDS=1-1332
OG0002689	YOR052C	augustus_masked-flattened_line_28-processed-gene-0.225-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.225&CDS=1-342
OG0002690	YOR056C	augustus_masked-flattened_line_28-processed-gene-0.228-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.228&CDS=1-1536
OG0002691	YOR057W	augustus_masked-flattened_line_28-processed-gene-0.180-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.180&CDS=1-657
OG0002692	YOR058C	augustus_masked-flattened_line_28-processed-gene-0.229-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.229&CDS=1-2913
OG0002693	YOR059C	genemark-flattened_line_28-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.61&CDS=1-1476
OG0002694	YOR061W	augustus_masked-flattened_line_28-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.182&CDS=1-1032
OG0002695	YOR063W	augustus_masked-flattened_line_28-processed-gene-0.183-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.183&CDS=1-1161
OG0002696	YOR065W	augustus_masked-flattened_line_28-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.184&CDS=1-858
OG0002697	YOR066W	augustus_masked-flattened_line_28-processed-gene-0.190-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.190&CDS=1-2196
OG0002698	YOR067C	augustus_masked-flattened_line_28-processed-gene-0.237-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.237&CDS=1-1689
OG0002699	YOR069W	augustus_masked-flattened_line_28-processed-gene-0.234-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.234&CDS=1-2124
OG0002700	YOR070C	augustus_masked-flattened_line_28-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.185&CDS=1-1626
OG0002701	YOR074C	augustus_masked-flattened_line_28-processed-gene-0.187-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.187&CDS=1-903
OG0002702	YOR075W	augustus_masked-flattened_line_38-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.119&CDS=1-1083
OG0002703	YOR077W	snap_masked-flattened_line_48-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.22&CDS=1-699
OG0002704	YOR079C	augustus_masked-flattened_line_48-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.103&CDS=1-954
OG0002705	YOR085W	augustus_masked-flattened_line_0-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.41&CDS=1-1047
OG0002706	YOR087W	augustus_masked-flattened_line_146-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.42&CDS=1-1914
OG0002707	YOR090C	augustus_masked-flattened_line_146-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.41&CDS=1-1368
OG0002708	YOR091W	augustus_masked-flattened_line_146-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.48&CDS=1-1008
OG0002709	YOR093C	augustus_masked-flattened_line_122-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.12&CDS=1-5118
OG0002710	YOR095C	augustus_masked-flattened_line_122-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.11&CDS=1-864
OG0002711	YOR099W	augustus_masked-flattened_line_122-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.20&CDS=1-1233
OG0002712	YOR103C	augustus_masked-flattened_line_122-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.9&CDS=1-342
OG0002713	YOR104W	augustus_masked-flattened_line_122-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.16&CDS=1-543
OG0002714	YOR111W	augustus_masked-flattened_line_42-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.36&CDS=1-681
