	Lachancea_lanzarotensis	Saccharomyces_cerevisiae
OG0002797	snap_masked-LN736366.1-processed-gene-6.102-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-6.102&CDS=1-642	YOR185C
OG0002798	snap_masked-LN736366.1-processed-gene-6.104-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-6.104&CDS=1-588	YLR292C
OG0002799	snap_masked-LN736366.1-processed-gene-6.105-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-6.105&CDS=1-1146	YLR291C
OG0002800	snap_masked-LN736366.1-processed-gene-6.106-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-6.106&CDS=1-816	YLR290C
OG0002801	snap_masked-LN736366.1-processed-gene-6.128-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-6.128&CDS=1-1920	YLR289W
OG0002802	genemark-LN736366.1-processed-gene-6.181-mRNA-1_1&gene=genemark-LN736366.1-processed-gene-6.181&CDS=1-1290	YLR288C
OG0002803	snap_masked-LN736366.1-processed-gene-6.129-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-6.129&CDS=1-1182	YOR184W
OG0002804	augustus_masked-LN736366.1-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-LN736366.1-processed-gene-6.37&CDS=1-1059	YLR287C
OG0002805	snap_masked-LN736366.1-processed-gene-6.130-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-6.130&CDS=1-315	YOR020C
OG0002806	snap_masked-LN736366.1-processed-gene-6.131-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-6.131&CDS=1-2031	YOR181W
OG0002807	snap_masked-LN736366.1-processed-gene-6.132-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-6.132&CDS=1-2316	YJL051W
OG0002808	snap_masked-LN736366.1-processed-gene-6.133-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-6.133&CDS=1-936	YJL053W
OG0002809	snap_masked-LN736366.1-processed-gene-6.134-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-6.134&CDS=1-1392	YJL054W
OG0002810	snap_masked-LN736366.1-processed-gene-6.137-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-6.137&CDS=1-717	YJL055W
OG0002811	snap_masked-LN736367.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.52&CDS=1-2064	YBR019C
OG0002812	snap_masked-LN736367.1-processed-gene-0.53-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.53&CDS=1-1098	YBR018C
OG0002813	snap_masked-LN736367.1-processed-gene-0.64-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.64&CDS=1-966	YPL266W
OG0002814	snap_masked-LN736367.1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.66&CDS=1-2547	YPL268W
OG0002815	snap_masked-LN736367.1-processed-gene-0.67-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.67&CDS=1-1758	YPL269W
OG0002816	snap_masked-LN736367.1-processed-gene-0.69-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.69&CDS=1-186	YPL271W
OG0002817	snap_masked-LN736367.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.43&CDS=1-3078	YEL055C
OG0002818	snap_masked-LN736367.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.44&CDS=1-495	YPL272C
OG0002819	snap_masked-LN736367.1-processed-gene-0.70-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.70&CDS=1-1260	YEL056W
OG0002820	snap_masked-LN736367.1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.71&CDS=1-1917	YPL263C
OG0002821	snap_masked-LN736367.1-processed-gene-0.72-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.72&CDS=1-1638	YEL058W
OG0002822	snap_masked-LN736367.1-processed-gene-0.46-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.46&CDS=1-267	YEL059C-A
OG0002823	snap_masked-LN736367.1-processed-gene-0.47-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.47&CDS=1-1482	YPL262W
OG0002824	snap_masked-LN736367.1-processed-gene-1.86-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.86&CDS=1-1671	YEL060C
OG0002825	snap_masked-LN736367.1-processed-gene-1.88-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.88&CDS=1-843	YOR004W
OG0002826	snap_masked-LN736367.1-processed-gene-1.91-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.91&CDS=1-2871	YEL061C
OG0002827	snap_masked-LN736367.1-processed-gene-1.116-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.116&CDS=1-2058	YEL062W
OG0002828	snap_masked-LN736367.1-processed-gene-1.118-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.118&CDS=1-2841	YOR005C
OG0002829	snap_masked-LN736367.1-processed-gene-1.119-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.119&CDS=1-981	YOR006C
OG0002830	augustus_masked-LN736367.1-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-1.5&CDS=1-3300	YML002W
OG0002831	snap_masked-LN736367.1-processed-gene-1.120-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.120&CDS=1-1014	YOR007C
OG0002832	snap_masked-LN736367.1-processed-gene-1.121-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.121&CDS=1-1608	YOR002W
OG0002833	snap_masked-LN736367.1-processed-gene-1.93-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.93&CDS=1-624	YML001W
OG0002834	snap_masked-LN736367.1-processed-gene-1.94-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.94&CDS=1-942	YOL001W
OG0002835	snap_masked-LN736367.1-processed-gene-1.95-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.95&CDS=1-2199	YOR001W
OG0002836	snap_masked-LN736367.1-processed-gene-1.97-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.97&CDS=1-588	YOL003C
OG0002837	snap_masked-LN736367.1-processed-gene-1.124-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.124&CDS=1-4266	YOL004W
OG0002838	snap_masked-LN736367.1-processed-gene-1.98-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.98&CDS=1-366	YOL005C
OG0002839	snap_masked-LN736367.1-processed-gene-1.125-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.125&CDS=1-2091	YMR001C
OG0002840	snap_masked-LN736367.1-processed-gene-1.99-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.99&CDS=1-2307	YOL006C
OG0002841	snap_masked-LN736367.1-processed-gene-1.100-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.100&CDS=1-759	YOL007C
OG0002842	snap_masked-LN736367.1-processed-gene-1.101-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.101&CDS=1-471	YMR002W
OG0002843	snap_masked-LN736367.1-processed-gene-1.102-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.102&CDS=1-804	YMR003W
OG0002844	snap_masked-LN736367.1-processed-gene-1.126-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.126&CDS=1-615	YOL008W
OG0002845	snap_masked-LN736367.1-processed-gene-1.103-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.103&CDS=1-846	YOL009C
OG0002846	snap_masked-LN736367.1-processed-gene-1.104-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.104&CDS=1-1590	YMR004W
OG0002847	snap_masked-LN736367.1-processed-gene-1.127-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.127&CDS=1-1092	YOL010W
OG0002848	snap_masked-LN736367.1-processed-gene-1.105-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.105&CDS=1-1215	YMR005W
OG0002849	snap_masked-LN736367.1-processed-gene-1.129-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.129&CDS=1-1941	YMR008C
OG0002850	snap_masked-LN736367.1-processed-gene-1.106-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.106&CDS=1-1710	YBR296C
OG0002851	snap_masked-LN736367.1-processed-gene-1.107-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.107&CDS=1-402	YOL012C
OG0002852	augustus_masked-LN736367.1-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-1.17&CDS=1-1542	YOL013C
OG0002853	augustus_masked-LN736367.1-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-1.34&CDS=1-1458	YML043C
OG0002854	snap_masked-LN736367.1-processed-gene-1.132-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.132&CDS=1-1704	YLR259C
OG0002855	snap_masked-LN736367.1-processed-gene-1.111-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.111&CDS=1-1662	YOR171C
OG0002856	snap_masked-LN736367.1-processed-gene-1.133-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.133&CDS=1-642	YLR262C
OG0002857	snap_masked-LN736367.1-processed-gene-1.134-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.134&CDS=1-192	YLR262C-A
OG0002858	snap_masked-LN736367.1-processed-gene-1.135-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.135&CDS=1-2421	YOR168W
OG0002859	snap_masked-LN736367.1-processed-gene-1.112-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.112&CDS=1-2286	YLR263W
OG0002860	snap_masked-LN736367.1-processed-gene-1.115-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-1.115&CDS=1-1359	YOR166C
OG0002861	snap_masked-LN736367.1-processed-gene-2.54-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.54&CDS=1-2406	YOR165W
OG0002862	snap_masked-LN736367.1-processed-gene-2.51-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.51&CDS=1-909	YOR164C
OG0002863	augustus_masked-LN736367.1-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-2.10&CDS=1-702	YOL088C
OG0002864	snap_masked-LN736367.1-processed-gene-2.82-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.82&CDS=1-912	YBR151W
OG0002865	snap_masked-LN736367.1-processed-gene-2.83-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.83&CDS=1-966	YBR149W
OG0002866	snap_masked-LN736367.1-processed-gene-2.84-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.84&CDS=1-2868	YOL090W
OG0002867	snap_masked-LN736367.1-processed-gene-2.86-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.86&CDS=1-927	YOL092W
OG0002868	snap_masked-LN736367.1-processed-gene-2.87-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.87&CDS=1-999	YOL093W
OG0002869	maker-LN736367.1-augustus-gene-2.101-mRNA-1_1&gene=maker-LN736367.1-augustus-gene-2.101&CDS=1-2676	YOL094C
OG0002870	snap_masked-LN736367.1-processed-gene-2.62-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.62&CDS=1-2136	YOL095C
OG0002871	augustus_masked-LN736367.1-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-2.39&CDS=1-2046	YDR485C
OG0002872	augustus_masked-LN736367.1-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-2.15&CDS=1-933	YOL096C
OG0002873	snap_masked-LN736367.1-processed-gene-2.89-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.89&CDS=1-687	YDR486C
OG0002874	snap_masked-LN736367.1-processed-gene-2.64-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.64&CDS=1-1266	YOL097C
OG0002875	snap_masked-LN736367.1-processed-gene-2.90-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.90&CDS=1-636	YDR487C
OG0002876	augustus_masked-LN736367.1-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-2.42&CDS=1-1746	YDR488C
OG0002877	snap_masked-LN736367.1-processed-gene-2.65-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.65&CDS=1-882	YDR489W
OG0002878	snap_masked-LN736367.1-processed-gene-2.69-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.69&CDS=1-1677	YML054C
OG0002879	snap_masked-LN736367.1-processed-gene-2.70-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.70&CDS=1-1338	YBL045C
OG0002880	augustus_masked-LN736367.1-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-2.44&CDS=1-1236	YBL046W
OG0002881	snap_masked-LN736367.1-processed-gene-2.71-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.71&CDS=1-816	YJR113C
OG0002882	maker-LN736367.1-snap-gene-2.5-mRNA-1_1&gene=maker-LN736367.1-snap-gene-2.5&CDS=1-372	YJR112W-A
OG0002883	snap_masked-LN736367.1-processed-gene-2.72-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.72&CDS=1-3924	YBL047C
OG0002884	augustus_masked-LN736367.1-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-2.46&CDS=1-606	YJR112W
OG0002885	snap_masked-LN736367.1-processed-gene-2.73-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.73&CDS=1-3402	YIL048W
OG0002886	snap_masked-LN736367.1-processed-gene-2.96-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.96&CDS=1-2583	YIL047C
OG0002887	maker-LN736367.1-snap-gene-2.2-mRNA-1_1&gene=maker-LN736367.1-snap-gene-2.2&CDS=1-891	YER055C
OG0002888	snap_masked-LN736367.1-processed-gene-2.75-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.75&CDS=1-1845	YIL046W
OG0002889	snap_masked-LN736367.1-processed-gene-2.77-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.77&CDS=1-921	YER053C
OG0002890	snap_masked-LN736367.1-processed-gene-2.97-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.97&CDS=1-789	YIL044C
OG0002891	snap_masked-LN736367.1-processed-gene-2.79-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.79&CDS=1-1566	YER052C
OG0002892	maker-LN736367.1-augustus-gene-2.106-mRNA-1_1&gene=maker-LN736367.1-augustus-gene-2.106&CDS=1-2211	YER051W
OG0002893	snap_masked-LN736367.1-processed-gene-2.80-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.80&CDS=1-516	YER050C
OG0002894	snap_masked-LN736367.1-processed-gene-2.100-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.100&CDS=1-1251	YIL042C
OG0002895	snap_masked-LN736367.1-processed-gene-2.81-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.81&CDS=1-969	YIL041W
OG0002896	maker-LN736367.1-augustus-gene-3.37-mRNA-1_1&gene=maker-LN736367.1-augustus-gene-3.37&CDS=1-2181	YER049W
OG0002897	snap_masked-LN736367.1-processed-gene-3.89-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.89&CDS=1-1200	YER048C
OG0002898	augustus_masked-LN736367.1-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-3.1&CDS=1-1437	YIL039W
OG0002899	snap_masked-LN736367.1-processed-gene-3.114-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.114&CDS=1-2355	YIL038C
OG0002900	snap_masked-LN736367.1-processed-gene-3.116-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.116&CDS=1-735	YER046W
OG0002901	snap_masked-LN736367.1-processed-gene-3.95-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.95&CDS=1-1218	YIL036W
OG0002902	maker-LN736367.1-augustus-gene-3.38-mRNA-1_1&gene=maker-LN736367.1-augustus-gene-3.38&CDS=1-1932	YIL035C
OG0002903	snap_masked-LN736367.1-processed-gene-3.119-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.119&CDS=1-1398	YIL033C
OG0002904	snap_masked-LN736367.1-processed-gene-3.120-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.120&CDS=1-2409	YFR038W
OG0002905	snap_masked-LN736367.1-processed-gene-3.99-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.99&CDS=1-1734	YFR037C
OG0002906	genemark-LN736367.1-processed-gene-3.51-mRNA-1_1&gene=genemark-LN736367.1-processed-gene-3.51&CDS=1-705	YGR057C
OG0002907	snap_masked-LN736367.1-processed-gene-3.121-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.121&CDS=1-1446	YLR359W
OG0002908	snap_masked-LN736367.1-processed-gene-3.122-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.122&CDS=1-2622	YLR357W
OG0002909	snap_masked-LN736367.1-processed-gene-3.123-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.123&CDS=1-1641	YGR055W
OG0002910	snap_masked-LN736367.1-processed-gene-3.102-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.102&CDS=1-1269	YFL026W
OG0002911	snap_masked-LN736367.1-processed-gene-3.124-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.124&CDS=1-3039	YFL025C
OG0002912	snap_masked-LN736367.1-processed-gene-3.125-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.125&CDS=1-2361	YFL024C
OG0002913	snap_masked-LN736367.1-processed-gene-3.104-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.104&CDS=1-2223	YFL023W
OG0002914	snap_masked-LN736367.1-processed-gene-3.106-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.106&CDS=1-2040	YLR054C
OG0002915	snap_masked-LN736367.1-processed-gene-3.127-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.127&CDS=1-1497	YFL022C
OG0002916	snap_masked-LN736367.1-processed-gene-3.128-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.128&CDS=1-684	YLR052W
OG0002917	snap_masked-LN736367.1-processed-gene-3.108-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.108&CDS=1-684	YLR051C
OG0002918	snap_masked-LN736367.1-processed-gene-3.129-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.129&CDS=1-1494	YFL018C
OG0002919	snap_masked-LN736367.1-processed-gene-3.110-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.110&CDS=1-228	YFL017W-A
OG0002920	maker-LN736367.1-augustus-gene-3.39-mRNA-1_1&gene=maker-LN736367.1-augustus-gene-3.39&CDS=1-957	YFL017C
OG0002921	snap_masked-LN736367.1-processed-gene-3.132-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.132&CDS=1-1479	YFL016C
OG0002922	snap_masked-LN736367.1-processed-gene-3.112-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.112&CDS=1-315	YFL014W
OG0002923	snap_masked-LN736367.1-processed-gene-3.133-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.133&CDS=1-1977	YFL013C
OG0002924	snap_masked-LN736367.1-processed-gene-3.134-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-3.134&CDS=1-666	YFL010C
OG0002925	snap_masked-LN736367.1-processed-gene-4.83-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.83&CDS=1-2133	YFL009W
OG0002926	snap_masked-LN736367.1-processed-gene-4.85-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.85&CDS=1-3684	YFL008W
OG0002927	snap_masked-LN736367.1-processed-gene-4.86-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.86&CDS=1-6450	YFL007W
OG0002928	snap_masked-LN736367.1-processed-gene-4.87-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.87&CDS=1-639	YFL005W
OG0002929	snap_masked-LN736367.1-processed-gene-4.89-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.89&CDS=1-2502	YFL004W
OG0002930	snap_masked-LN736367.1-processed-gene-4.91-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.91&CDS=1-555	YML078W
OG0002931	maker-LN736367.1-augustus-gene-4.39-mRNA-1_1&gene=maker-LN736367.1-augustus-gene-4.39&CDS=1-516	YML077W
OG0002932	augustus_masked-LN736367.1-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-4.20&CDS=1-2673	YML076C
OG0002933	snap_masked-LN736367.1-processed-gene-4.106-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.106&CDS=1-3162	YML075C
OG0002934	snap_masked-LN736367.1-processed-gene-4.108-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.108&CDS=1-912	YBR037C
OG0002935	snap_masked-LN736367.1-processed-gene-4.95-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.95&CDS=1-3243	YBR023C
OG0002936	snap_masked-LN736367.1-processed-gene-4.113-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.113&CDS=1-1554	YFR006W
OG0002937	snap_masked-LN736367.1-processed-gene-4.96-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.96&CDS=1-1362	YFR005C
OG0002938	snap_masked-LN736367.1-processed-gene-4.114-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.114&CDS=1-936	YFR004W
OG0002939	snap_masked-LN736367.1-processed-gene-4.97-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.97&CDS=1-486	YFR003C
OG0002940	snap_masked-LN736367.1-processed-gene-4.115-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.115&CDS=1-2541	YFR002W
OG0002941	snap_masked-LN736367.1-processed-gene-4.116-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.116&CDS=1-618	YFR001W
OG0002942	augustus_masked-LN736367.1-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-4.30&CDS=1-1218	YPL001W
OG0002943	snap_masked-LN736367.1-processed-gene-4.98-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.98&CDS=1-702	YPL002C
OG0002944	snap_masked-LN736367.1-processed-gene-4.118-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.118&CDS=1-1314	YFL001W
OG0002945	snap_masked-LN736367.1-processed-gene-4.99-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.99&CDS=1-1794	YFL002C
OG0002946	augustus_masked-LN736367.1-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-4.32&CDS=1-1296	YPL003W
OG0002947	augustus_masked-LN736367.1-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-4.33&CDS=1-1794	YPL005W
OG0002948	augustus_masked-LN736367.1-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-4.34&CDS=1-3528	YPL006W
OG0002949	snap_masked-LN736367.1-processed-gene-4.101-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.101&CDS=1-1716	YPL007C
OG0002950	snap_masked-LN736367.1-processed-gene-4.122-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.122&CDS=1-2472	YPL008W
OG0002951	augustus_masked-LN736367.1-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-4.17&CDS=1-2046	YPL014W
OG0002952	snap_masked-LN736367.1-processed-gene-4.124-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.124&CDS=1-357	YPL013C
OG0002953	snap_masked-LN736367.1-processed-gene-4.103-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-4.103&CDS=1-3663	YPL012W
OG0002954	snap_masked-LN736367.1-processed-gene-5.2-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.2&CDS=1-1053	YPL011C
OG0002955	snap_masked-LN736367.1-processed-gene-5.0-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.0&CDS=1-570	YPL010W
OG0002956	snap_masked-LN736367.1-processed-gene-5.3-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.3&CDS=1-3207	YPL009C
OG0002957	snap_masked-LN736367.1-processed-gene-5.1-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.1&CDS=1-1131	YPL015C
OG0002958	snap_masked-LN736367.1-processed-gene-5.4-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.4&CDS=1-1605	YPL020C
OG0002959	snap_masked-LN736367.1-processed-gene-5.20-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.20&CDS=1-657	YML079W
OG0002960	maker-LN736367.1-augustus-gene-5.100-mRNA-1_1&gene=maker-LN736367.1-augustus-gene-5.100&CDS=1-4884	YML080W
OG0002961	snap_masked-LN736367.1-processed-gene-5.24-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.24&CDS=1-948	YJR129C
OG0002962	snap_masked-LN736367.1-processed-gene-5.25-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.25&CDS=1-1050	YIR029W
OG0002963	augustus_masked-LN736367.1-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-5.110&CDS=1-1578	YMR110C
OG0002964	snap_masked-LN736367.1-processed-gene-5.27-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.27&CDS=1-3744	YMR109W
OG0002965	snap_masked-LN736367.1-processed-gene-5.28-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.28&CDS=1-2058	YMR108W
OG0002966	snap_masked-LN736367.1-processed-gene-5.29-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.29&CDS=1-321	YMR107W
OG0002967	maker-LN736367.1-snap-gene-5.103-mRNA-1_1&gene=maker-LN736367.1-snap-gene-5.103&CDS=1-957	YMR116C
OG0002968	snap_masked-LN736367.1-processed-gene-5.5-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.5&CDS=1-2139	YKL135C
OG0002969	snap_masked-LN736367.1-processed-gene-5.31-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.31&CDS=1-330	YKL137W
OG0002970	snap_masked-LN736367.1-processed-gene-5.6-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.6&CDS=1-393	YKL138C
OG0002971	snap_masked-LN736367.1-processed-gene-5.32-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.32&CDS=1-603	YMR117C
OG0002972	snap_masked-LN736367.1-processed-gene-5.7-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.7&CDS=1-213	YKL138C-A
OG0002973	snap_masked-LN736367.1-processed-gene-5.35-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.35&CDS=1-504	YKL141W
OG0002974	snap_masked-LN736367.1-processed-gene-5.8-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-5.8&CDS=1-684	YLR025W
