	Saccharomyces_cerevisiae	yHMPu5000035296_Priceomyces_carsonii
OG0002587	YMR137C	genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-3.10-mRNA-1_1&gene=genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-3.10&CDS=1-2001
OG0002588	YMR138W	genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-3.13-mRNA-1_1&gene=genemark-NODE_11_length_402718_cov_22.2702_ID_1863-processed-gene-3.13&CDS=1-549
OG0002589	YMR139W	snap_masked-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-1.138-mRNA-1_1&gene=snap_masked-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-1.138&CDS=1-1212
OG0002590	YMR140W	genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-6.109-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-6.109&CDS=1-1392
OG0002591	YMR145C	genemark-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-3.26-mRNA-1_1&gene=genemark-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-3.26&CDS=1-1665
OG0002592	YMR146C	genemark-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-3.33-mRNA-1_1&gene=genemark-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-3.33&CDS=1-1044
OG0002593	YMR149W	genemark-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-1.66-mRNA-1_1&gene=genemark-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-1.66&CDS=1-834
OG0002594	YMR150C	genemark-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-1.44-mRNA-1_1&gene=genemark-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-1.44&CDS=1-570
OG0002595	YMR152W	snap_masked-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-2.161-mRNA-1_1&gene=snap_masked-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-2.161&CDS=1-1104
OG0002596	YMR153W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-4.114-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-4.114&CDS=1-1113
OG0002597	YMR156C	augustus_masked-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-2.29&CDS=1-795
OG0002598	YMR157C	augustus_masked-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-2.6&CDS=1-834
OG0002599	YMR158W	genemark-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-2.78-mRNA-1_1&gene=genemark-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-2.78&CDS=1-468
OG0002600	YMR161W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-3.76-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-3.76&CDS=1-957
OG0002601	YMR162C	maker-NODE_1_length_1816623_cov_20.064_ID_2006-augustus-gene-2.4-mRNA-1_1&gene=maker-NODE_1_length_1816623_cov_20.064_ID_2006-augustus-gene-2.4&CDS=1-6024
OG0002602	YMR165C	genemark-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-0.63-mRNA-1_1&gene=genemark-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-0.63&CDS=1-2409
OG0002603	YMR166C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-3.74-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-3.74&CDS=1-1077
OG0002604	YMR167W	augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-3.136-mRNA-1_1&gene=augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-3.136&CDS=1-5427
OG0002605	YMR176W	augustus_masked-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-1.33&CDS=1-5574
OG0002606	YMR178W	augustus_masked-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.242-mRNA-1_1&gene=augustus_masked-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.242&CDS=1-894
OG0002607	YMR182C	genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-6.67-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-6.67&CDS=1-1233
OG0002608	YMR185W	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-1.119-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-1.119&CDS=1-3003
OG0002609	YMR189W	augustus_masked-NODE_24_length_149289_cov_19.7292_ID_2418-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_24_length_149289_cov_19.7292_ID_2418-processed-gene-0.71&CDS=1-4452
OG0002610	YMR190C	augustus_masked-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.5&CDS=1-3474
OG0002611	YMR194C-B	snap_masked-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-2.121-mRNA-1_1&gene=snap_masked-NODE_9_length_413561_cov_20.5268_ID_1951-processed-gene-2.121&CDS=1-252
OG0002612	YMR196W	genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-2.30-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-2.30&CDS=1-3129
OG0002613	YMR200W	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-0.102-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-0.102&CDS=1-726
OG0002614	YMR201C	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-1.120-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-1.120&CDS=1-1110
OG0002615	YMR203W	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-1.116-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-1.116&CDS=1-1182
OG0002616	YMR208W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-1.70-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-1.70&CDS=1-1299
OG0002617	YMR209C	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-1.77-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-1.77&CDS=1-1299
OG0002618	YMR210W	augustus_masked-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-NODE_18_length_302002_cov_23.6261_ID_1893-processed-gene-1.10&CDS=1-1659
OG0002619	YMR211W	genemark-NODE_24_length_149289_cov_19.7292_ID_2418-processed-gene-0.201-mRNA-1_1&gene=genemark-NODE_24_length_149289_cov_19.7292_ID_2418-processed-gene-0.201&CDS=1-1497
OG0002620	YMR212C	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-1.79-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-1.79&CDS=1-2628
OG0002621	YMR213W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-1.105-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-1.105&CDS=1-1980
OG0002622	YMR214W	genemark-NODE_24_length_149289_cov_19.7292_ID_2418-processed-gene-0.162-mRNA-1_1&gene=genemark-NODE_24_length_149289_cov_19.7292_ID_2418-processed-gene-0.162&CDS=1-1062
OG0002623	YMR216C	genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-1.110-mRNA-1_1&gene=genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-1.110&CDS=1-1983
OG0002624	YMR217W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-1.76-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-1.76&CDS=1-1590
OG0002625	YMR220W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-5.54-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-5.54&CDS=1-1368
OG0002626	YMR223W	genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-3.150-mRNA-1_1&gene=genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-3.150&CDS=1-1572
OG0002627	YMR224C	augustus_masked-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.281-mRNA-1_1&gene=augustus_masked-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.281&CDS=1-2004
OG0002628	YMR225C	augustus_masked-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.28&CDS=1-294
OG0002629	YMR226C	augustus_masked-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.90&CDS=1-1611
OG0002630	YMR227C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-17.125-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-17.125&CDS=1-1602
OG0002631	YMR228W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-17.88-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-17.88&CDS=1-1080
OG0002632	YMR229C	augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-17.175-mRNA-1_1&gene=augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-17.175&CDS=1-5133
OG0002633	YMR231W	genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-1.24-mRNA-1_1&gene=genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-1.24&CDS=1-2988
OG0002634	YMR234W	genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-2.242-mRNA-1_1&gene=genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-2.242&CDS=1-894
OG0002635	YMR235C	genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-3.14-mRNA-1_1&gene=genemark-NODE_3_length_707165_cov_22.0283_ID_1313-processed-gene-3.14&CDS=1-1233
OG0002636	YMR236W	augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-12.171-mRNA-1_1&gene=augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-12.171&CDS=1-531
OG0002637	YMR239C	genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-1.27-mRNA-1_1&gene=genemark-NODE_15_length_360542_cov_26.2381_ID_2597-processed-gene-1.27&CDS=1-1581
OG0002638	YMR240C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-15.92-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-15.92&CDS=1-1452
OG0002639	YMR241W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-14.128-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-14.128&CDS=1-915
OG0002640	YMR243C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-17.93-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-17.93&CDS=1-1188
OG0002641	YMR244C-A	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-15.61-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-15.61&CDS=1-312
OG0002642	YMR244W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-7.47-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-7.47&CDS=1-870
OG0002643	YMR250W	augustus_masked-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.52-mRNA-1_1&gene=augustus_masked-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.52&CDS=1-2487
OG0002644	YMR256C	snap_masked-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.193-mRNA-1_1&gene=snap_masked-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.193&CDS=1-177
OG0002645	YMR258C	snap_masked-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.192-mRNA-1_1&gene=snap_masked-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.192&CDS=1-1782
OG0002646	YMR259C	snap_masked-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.113-mRNA-1_1&gene=snap_masked-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.113&CDS=1-4296
OG0002647	YMR260C	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.50-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.50&CDS=1-459
OG0002648	YMR262W	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.46-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.46&CDS=1-1005
OG0002649	YMR264W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-2.115-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-2.115&CDS=1-579
OG0002650	YMR267W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-1.68-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-1.68&CDS=1-954
OG0002651	YMR268C	snap_masked-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.60-mRNA-1_1&gene=snap_masked-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.60&CDS=1-2904
OG0002652	YMR269W	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.35-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.35&CDS=1-750
OG0002653	YMR272C	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.38-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.38&CDS=1-1122
OG0002654	YMR276W	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.47-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-4.47&CDS=1-1056
OG0002655	YMR277W	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.26-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.26&CDS=1-2349
OG0002656	YMR278W	augustus_masked-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-2.125&CDS=1-4461
OG0002657	YMR281W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-3.66-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-3.66&CDS=1-921
OG0002658	YMR283C	genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-4.132-mRNA-1_1&gene=genemark-NODE_7_length_610485_cov_21.9312_ID_4191-processed-gene-4.132&CDS=1-1545
OG0002659	YMR284W	genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.150-mRNA-1_1&gene=genemark-NODE_6_length_672321_cov_21.8377_ID_1603-processed-gene-5.150&CDS=1-2190
OG0002660	YMR285C	genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-0.74-mRNA-1_1&gene=genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-0.74&CDS=1-1455
OG0002661	YMR286W	augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-1.105&CDS=1-288
OG0002662	YMR287C	augustus_masked-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-3.41&CDS=1-4380
OG0002663	YMR288W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-3.58-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-3.58&CDS=1-3246
OG0002664	YMR289W	augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-17.183-mRNA-1_1&gene=augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-17.183&CDS=1-861
OG0002665	YMR290C	maker-NODE_1_length_1816623_cov_20.064_ID_2006-augustus-gene-2.3-mRNA-1_1&gene=maker-NODE_1_length_1816623_cov_20.064_ID_2006-augustus-gene-2.3&CDS=1-3225
OG0002666	YMR292W	augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-2.120&CDS=1-417
OG0002667	YMR293C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-2.17-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-2.17&CDS=1-1377
OG0002668	YMR294W	snap_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-2.71-mRNA-1_1&gene=snap_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-2.71&CDS=1-1179
OG0002669	YMR295C	genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-1.149-mRNA-1_1&gene=genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-1.149&CDS=1-558
OG0002670	YMR296C	genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-2.233-mRNA-1_1&gene=genemark-NODE_14_length_379892_cov_20.1739_ID_2446-processed-gene-2.233&CDS=1-1743
OG0002671	YMR300C	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.297-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-5.297&CDS=1-1593
OG0002672	YMR301C	augustus_masked-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.62&CDS=1-2070
OG0002673	YMR302C	genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-0.97-mRNA-1_1&gene=genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-0.97&CDS=1-2607
OG0002674	YMR304W	genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-3.146-mRNA-1_1&gene=genemark-NODE_10_length_407211_cov_23.1954_ID_2838-processed-gene-3.146&CDS=1-3852
OG0002675	YMR308C	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.64-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.64&CDS=1-3273
OG0002676	YMR309C	genemark-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.210-mRNA-1_1&gene=genemark-NODE_22_length_170781_cov_22.2696_ID_2250-processed-gene-0.210&CDS=1-2496
OG0002677	YMR310C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-6.132-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-6.132&CDS=1-1137
OG0002678	YMR311C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-5.26-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-5.26&CDS=1-603
OG0002679	YMR312W	maker-NODE_1_length_1816623_cov_20.064_ID_2006-snap-gene-3.0-mRNA-1_1&gene=maker-NODE_1_length_1816623_cov_20.064_ID_2006-snap-gene-3.0&CDS=1-918
OG0002680	YMR313C	maker-NODE_1_length_1816623_cov_20.064_ID_2006-snap-gene-3.2-mRNA-1_1&gene=maker-NODE_1_length_1816623_cov_20.064_ID_2006-snap-gene-3.2&CDS=1-1881
OG0002681	YMR314W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-6.122-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-6.122&CDS=1-852
OG0002682	YMR315W	genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-0.75&CDS=1-1050
OG0002683	YNL001W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.94-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.94&CDS=1-1155
OG0002684	YNL002C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-10.139-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-10.139&CDS=1-816
OG0002685	YNL006W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-11.13-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-11.13&CDS=1-969
OG0002686	YNL007C	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-11.14-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-11.14&CDS=1-1068
OG0002687	YNL010W	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-3.111-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-3.111&CDS=1-741
OG0002688	YNL011C	genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.75-mRNA-1_1&gene=genemark-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-2.75&CDS=1-1479
OG0002689	YNL014W	augustus_masked-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-4.113-mRNA-1_1&gene=augustus_masked-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-4.113&CDS=1-5454
OG0002690	YNL016W	genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-3.103-mRNA-1_1&gene=genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-3.103&CDS=1-1299
OG0002691	YNL021W	genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.30-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.30&CDS=1-2400
OG0002692	YNL023C	genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.29-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.29&CDS=1-2808
OG0002693	YNL025C	genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-3.77-mRNA-1_1&gene=genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-3.77&CDS=1-1056
OG0002694	YNL026W	genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-3.75-mRNA-1_1&gene=genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-3.75&CDS=1-1455
OG0002695	YNL027W	genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-3.74-mRNA-1_1&gene=genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-3.74&CDS=1-1725
OG0002696	YNL032W	genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-2.78-mRNA-1_1&gene=genemark-NODE_8_length_443067_cov_22.9177_ID_3374-processed-gene-2.78&CDS=1-840
OG0002697	YNL035C	genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.90-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.90&CDS=1-1119
OG0002698	YNL036W	genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.55-mRNA-1_1&gene=genemark-NODE_2_length_754996_cov_19.8997_ID_1384-processed-gene-5.55&CDS=1-780
OG0002699	YNL037C	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.60-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.60&CDS=1-1080
OG0002700	YNL038W	genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.35-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.35&CDS=1-615
OG0002701	YNL039W	genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.34-mRNA-1_1&gene=genemark-NODE_12_length_394886_cov_22.9142_ID_2055-processed-gene-2.34&CDS=1-1794
OG0002702	YNL040W	genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-11.55-mRNA-1_1&gene=genemark-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-11.55&CDS=1-1362
OG0002703	YNL041C	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.36-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.36&CDS=1-2346
OG0002704	YNL042W	genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.79-mRNA-1_1&gene=genemark-NODE_4_length_685946_cov_20.3066_ID_2302-processed-gene-5.79&CDS=1-1419
OG0002705	YNL045W	augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-8.130-mRNA-1_1&gene=augustus_masked-NODE_1_length_1816623_cov_20.064_ID_2006-processed-gene-8.130&CDS=1-2334
OG0002706	YNL049C	genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.111-mRNA-1_1&gene=genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.111&CDS=1-2712
OG0002707	YNL051W	genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.158-mRNA-1_1&gene=genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.158&CDS=1-1227
OG0002708	YNL054W	genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.162-mRNA-1_1&gene=genemark-NODE_19_length_288652_cov_20.3611_ID_1693-processed-gene-1.162&CDS=1-2889
OG0002709	YNL056W	genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-2.169-mRNA-1_1&gene=genemark-NODE_5_length_684771_cov_21.8715_ID_1549-processed-gene-2.169&CDS=1-789
OG0002710	YNL059C	augustus_masked-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NODE_13_length_391765_cov_19.519_ID_1425-processed-gene-1.50&CDS=1-2319
