	Nakaseomyces_delphensis	Saccharomyces_cerevisiae
OG0003234	augustus_masked-NADE0S15-processed-gene-6.114-mRNA-1_1&gene=augustus_masked-NADE0S15-processed-gene-6.114&CDS=1-2391	YNL256W
OG0003235	snap_masked-NADE0S15-processed-gene-6.35-mRNA-1_1&gene=snap_masked-NADE0S15-processed-gene-6.35&CDS=1-2274	YNL258C
OG0003236	snap_masked-NADE0S15-processed-gene-6.36-mRNA-1_1&gene=snap_masked-NADE0S15-processed-gene-6.36&CDS=1-219	YNL259C
OG0003237	snap_masked-NADE0S15-processed-gene-6.37-mRNA-1_1&gene=snap_masked-NADE0S15-processed-gene-6.37&CDS=1-486	YNL260C
OG0003238	snap_masked-NADE0S15-processed-gene-6.59-mRNA-1_1&gene=snap_masked-NADE0S15-processed-gene-6.59&CDS=1-1410	YNL261W
OG0003239	snap_masked-NADE0S15-processed-gene-6.60-mRNA-1_1&gene=snap_masked-NADE0S15-processed-gene-6.60&CDS=1-6639	YNL262W
OG0003240	snap_masked-NADE0S15-processed-gene-6.38-mRNA-1_1&gene=snap_masked-NADE0S15-processed-gene-6.38&CDS=1-927	YNL263C
OG0003241	snap_masked-NADE0S15-processed-gene-6.39-mRNA-1_1&gene=snap_masked-NADE0S15-processed-gene-6.39&CDS=1-1038	YNL264C
OG0003242	snap_masked-NADE0S15-processed-gene-6.61-mRNA-1_1&gene=snap_masked-NADE0S15-processed-gene-6.61&CDS=1-990	YGR048W
OG0003243	snap_masked-NADE0S15-processed-gene-6.40-mRNA-1_1&gene=snap_masked-NADE0S15-processed-gene-6.40&CDS=1-858	YNL265C
OG0003244	snap_masked-NADE0S15-processed-gene-6.62-mRNA-1_1&gene=snap_masked-NADE0S15-processed-gene-6.62&CDS=1-3123	YNL267W
OG0003245	augustus_masked-NADE0S16-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NADE0S16-processed-gene-0.53&CDS=1-1392	YGR141W
OG0003246	snap_masked-NADE0S16-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.92&CDS=1-2730	YGR140W
OG0003247	snap_masked-NADE0S16-processed-gene-0.93-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.93&CDS=1-768	YGR135W
OG0003248	snap_masked-NADE0S16-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.94&CDS=1-3306	YGR134W
OG0003249	snap_masked-NADE0S16-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.95&CDS=1-468	YGR133W
OG0003250	snap_masked-NADE0S16-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.78&CDS=1-852	YGR132C
OG0003251	augustus_masked-NADE0S16-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NADE0S16-processed-gene-0.40&CDS=1-2235	YGR130C
OG0003252	snap_masked-NADE0S16-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.96&CDS=1-606	YGR129W
OG0003253	snap_masked-NADE0S16-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.81&CDS=1-1959	YGR128C
OG0003254	snap_masked-NADE0S16-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.97&CDS=1-960	YGR127W
OG0003255	snap_masked-NADE0S16-processed-gene-0.98-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.98&CDS=1-636	YGR126W
OG0003256	snap_masked-NADE0S16-processed-gene-0.99-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.99&CDS=1-3207	YGR125W
OG0003257	snap_masked-NADE0S16-processed-gene-0.82-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.82&CDS=1-1629	YPR144C
OG0003258	augustus_masked-NADE0S16-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NADE0S16-processed-gene-0.65&CDS=1-981	YJL088W
OG0003259	snap_masked-NADE0S16-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.84&CDS=1-630	YMR184W
OG0003260	snap_masked-NADE0S16-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.85&CDS=1-2973	YMR185W
OG0003261	snap_masked-NADE0S16-processed-gene-0.103-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.103&CDS=1-1383	YMR187C
OG0003262	snap_masked-NADE0S16-processed-gene-0.104-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.104&CDS=1-732	YMR188C
OG0003263	snap_masked-NADE0S16-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.87&CDS=1-3105	YMR189W
OG0003264	augustus_masked-NADE0S16-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NADE0S16-processed-gene-0.69&CDS=1-465	YML094W
OG0003265	augustus_masked-NADE0S16-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NADE0S16-processed-gene-0.48&CDS=1-678	YML095C
OG0003266	snap_masked-NADE0S16-processed-gene-0.89-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.89&CDS=1-1137	YKL172W
OG0003267	snap_masked-NADE0S16-processed-gene-0.90-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.90&CDS=1-1044	YJL167W
OG0003268	snap_masked-NADE0S16-processed-gene-0.106-mRNA-1_1&gene=snap_masked-NADE0S16-processed-gene-0.106&CDS=1-4233	YCR042C
OG0003269	genemark-NADE0S17-processed-gene-0.73-mRNA-1_1&gene=genemark-NADE0S17-processed-gene-0.73&CDS=1-1239	YAL060W
OG0003270	snap_masked-NADE0S17-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-0.39&CDS=1-564	YAL059W
OG0003271	augustus_masked-NADE0S17-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-0.4&CDS=1-1152	YAL058W
OG0003272	snap_masked-NADE0S17-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-0.42&CDS=1-2334	YAL053W
OG0003273	snap_masked-NADE0S17-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-0.43&CDS=1-2985	YAL051W
OG0003274	augustus_masked-NADE0S17-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-0.19&CDS=1-1953	YAL048C
OG0003275	augustus_masked-NADE0S17-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-0.20&CDS=1-2436	YAL047C
OG0003276	augustus_masked-NADE0S17-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-0.21&CDS=1-309	YAL046C
OG0003277	snap_masked-NADE0S17-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-0.44&CDS=1-369	YAL044W-A
OG0003278	snap_masked-NADE0S17-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-0.58&CDS=1-519	YAL044C
OG0003279	snap_masked-NADE0S17-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-0.59&CDS=1-2415	YAL043C
OG0003280	snap_masked-NADE0S17-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-0.60&CDS=1-2949	YAL035W
OG0003281	snap_masked-NADE0S17-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-0.45&CDS=1-1107	YAL036C
OG0003282	augustus_masked-NADE0S17-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-0.26&CDS=1-543	YLR281C
OG0003283	snap_masked-NADE0S17-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-0.46&CDS=1-879	YLR283W
OG0003284	snap_masked-NADE0S17-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-0.63&CDS=1-855	YLR284C
OG0003285	snap_masked-NADE0S17-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-0.47&CDS=1-744	YLR412W
OG0003286	maker-NADE0S17-snap-gene-0.35-mRNA-1_1&gene=maker-NADE0S17-snap-gene-0.35&CDS=1-2646	YHR178W
OG0003287	snap_masked-NADE0S17-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-0.66&CDS=1-1290	YHR176W
OG0003288	snap_masked-NADE0S17-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-0.69&CDS=1-2394	YHR172W
OG0003289	snap_masked-NADE0S17-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-0.49&CDS=1-780	YGR253C
OG0003290	snap_masked-NADE0S17-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-0.70&CDS=1-1860	YHR171W
OG0003291	snap_masked-NADE0S17-processed-gene-1.1-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.1&CDS=1-1545	YHR170W
OG0003292	maker-NADE0S17-snap-gene-1.39-mRNA-1_1&gene=maker-NADE0S17-snap-gene-1.39&CDS=1-3420	YHR169W
OG0003293	augustus_masked-NADE0S17-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-1.59&CDS=1-786	YHR167W
OG0003294	snap_masked-NADE0S17-processed-gene-1.2-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.2&CDS=1-1857	YHR166C
OG0003295	snap_masked-NADE0S17-processed-gene-1.3-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.3&CDS=1-7185	YHR165C
OG0003296	augustus_masked-NADE0S17-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-1.44&CDS=1-4479	YHR164C
OG0003297	maker-NADE0S17-augustus-gene-1.77-mRNA-1_1&gene=maker-NADE0S17-augustus-gene-1.77&CDS=1-1077	YHR163W
OG0003298	snap_masked-NADE0S17-processed-gene-1.22-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.22&CDS=1-1356	YBR177C
OG0003299	augustus_masked-NADE0S17-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-1.62&CDS=1-1386	YHR159W
OG0003300	augustus_masked-NADE0S17-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-1.64&CDS=1-768	YPL213W
OG0003301	snap_masked-NADE0S17-processed-gene-1.9-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.9&CDS=1-1617	YPL214C
OG0003302	snap_masked-NADE0S17-processed-gene-1.26-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.26&CDS=1-951	YPL215W
OG0003303	snap_masked-NADE0S17-processed-gene-1.10-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.10&CDS=1-3495	YPL217C
OG0003304	snap_masked-NADE0S17-processed-gene-1.27-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.27&CDS=1-567	YPL218W
OG0003305	snap_masked-NADE0S17-processed-gene-1.28-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.28&CDS=1-1428	YPL219W
OG0003306	snap_masked-NADE0S17-processed-gene-1.30-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.30&CDS=1-1983	YPL222W
OG0003307	snap_masked-NADE0S17-processed-gene-1.31-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.31&CDS=1-1668	YPL228W
OG0003308	snap_masked-NADE0S17-processed-gene-1.32-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.32&CDS=1-291	YMR181C
OG0003309	snap_masked-NADE0S17-processed-gene-1.34-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.34&CDS=1-5637	YPL231W
OG0003310	snap_masked-NADE0S17-processed-gene-1.35-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.35&CDS=1-1149	YNL035C
OG0003311	snap_masked-NADE0S17-processed-gene-1.36-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.36&CDS=1-2073	YNL021W
OG0003312	snap_masked-NADE0S17-processed-gene-1.16-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.16&CDS=1-1542	YCR072C
OG0003313	snap_masked-NADE0S17-processed-gene-1.17-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.17&CDS=1-384	YCR071C
OG0003314	snap_masked-NADE0S17-processed-gene-1.37-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.37&CDS=1-939	YCR069W
OG0003315	snap_masked-NADE0S17-processed-gene-1.38-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-1.38&CDS=1-1488	YCR068W
OG0003316	snap_masked-NADE0S17-processed-gene-2.44-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.44&CDS=1-666	YMR222C
OG0003317	snap_masked-NADE0S17-processed-gene-2.41-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.41&CDS=1-1395	YMR223W
OG0003318	snap_masked-NADE0S17-processed-gene-2.45-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.45&CDS=1-2007	YMR224C
OG0003319	augustus_masked-NADE0S17-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-2.94&CDS=1-1065	YMR226C
OG0003320	snap_masked-NADE0S17-processed-gene-2.48-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.48&CDS=1-1710	YMR227C
OG0003321	snap_masked-NADE0S17-processed-gene-2.42-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.42&CDS=1-1023	YMR228W
OG0003322	snap_masked-NADE0S17-processed-gene-2.43-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.43&CDS=1-4362	YOR291W
OG0003323	augustus_masked-NADE0S17-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-2.111&CDS=1-1146	YJL178C
OG0003324	snap_masked-NADE0S17-processed-gene-2.70-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.70&CDS=1-2811	YJL176C
OG0003325	augustus_masked-NADE0S17-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-2.113&CDS=1-1725	YLR098C
OG0003326	snap_masked-NADE0S17-processed-gene-2.50-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.50&CDS=1-201	YLR099W-A
OG0003327	maker-NADE0S17-augustus-gene-2.86-mRNA-1_1&gene=maker-NADE0S17-augustus-gene-2.86&CDS=1-5724	YDR127W
OG0003328	augustus_masked-NADE0S17-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-2.115&CDS=1-837	YLR102C
OG0003329	snap_masked-NADE0S17-processed-gene-2.74-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.74&CDS=1-1947	YLR103C
OG0003330	snap_masked-NADE0S17-processed-gene-2.53-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.53&CDS=1-360	YLR104W
OG0003331	snap_masked-NADE0S17-processed-gene-2.75-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.75&CDS=1-1095	YLR105C
OG0003332	snap_masked-NADE0S17-processed-gene-2.76-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.76&CDS=1-14637	YLR106C
OG0003333	snap_masked-NADE0S17-processed-gene-2.54-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.54&CDS=1-1194	YLR107W
OG0003334	augustus_masked-NADE0S17-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-2.101&CDS=1-525	YLR109W
OG0003335	augustus_masked-NADE0S17-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-2.121&CDS=1-438	YDR134C
OG0003336	snap_masked-NADE0S17-processed-gene-2.55-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.55&CDS=1-1332	YLR113W
OG0003337	snap_masked-NADE0S17-processed-gene-2.80-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.80&CDS=1-2091	YLR114C
OG0003338	snap_masked-NADE0S17-processed-gene-2.56-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.56&CDS=1-2616	YAL031C
OG0003339	snap_masked-NADE0S17-processed-gene-2.57-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.57&CDS=1-1212	YAL032C
OG0003340	snap_masked-NADE0S17-processed-gene-2.81-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.81&CDS=1-546	YAL033W
OG0003341	snap_masked-NADE0S17-processed-gene-2.59-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.59&CDS=1-1104	YCR044C
OG0003342	snap_masked-NADE0S17-processed-gene-2.83-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.83&CDS=1-750	YAL034W-A
OG0003343	snap_masked-NADE0S17-processed-gene-2.60-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.60&CDS=1-1236	YAL042W
OG0003344	snap_masked-NADE0S17-processed-gene-2.61-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-2.61&CDS=1-2580	YAL041W
OG0003345	augustus_masked-NADE0S17-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-2.125&CDS=1-1824	YAL040C
OG0003346	augustus_masked-NADE0S17-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-2.126&CDS=1-807	YAL039C
OG0003347	snap_masked-NADE0S17-processed-gene-3.1-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.1&CDS=1-330	YLR275W
OG0003348	snap_masked-NADE0S17-processed-gene-3.2-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.2&CDS=1-2337	YLR274W
OG0003349	snap_masked-NADE0S17-processed-gene-3.3-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.3&CDS=1-2688	YPR160W
OG0003350	augustus_masked-NADE0S17-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-3.86&CDS=1-1812	YPR155C
OG0003351	augustus_masked-NADE0S17-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-3.87&CDS=1-1398	YIL136W
OG0003352	augustus_masked-NADE0S17-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-3.107&CDS=1-1893	YIL135C
OG0003353	snap_masked-NADE0S17-processed-gene-3.7-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.7&CDS=1-864	YIL134W
OG0003354	snap_masked-NADE0S17-processed-gene-3.25-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.25&CDS=1-666	YIL132C
OG0003355	snap_masked-NADE0S17-processed-gene-3.27-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.27&CDS=1-7041	YIL129C
OG0003356	augustus_masked-NADE0S17-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-3.90&CDS=1-3060	YIL128W
OG0003357	snap_masked-NADE0S17-processed-gene-3.28-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.28&CDS=1-591	YIL127C
OG0003358	snap_masked-NADE0S17-processed-gene-3.12-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.12&CDS=1-3006	YIL125W
OG0003359	snap_masked-NADE0S17-processed-gene-3.13-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.13&CDS=1-879	YIL124W
OG0003360	augustus_masked-NADE0S17-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-3.96&CDS=1-1659	YIL122W
OG0003361	snap_masked-NADE0S17-processed-gene-3.16-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.16&CDS=1-1749	YIL121W
OG0003362	augustus_masked-NADE0S17-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-3.112&CDS=1-2358	YIL119C
OG0003363	augustus_masked-NADE0S17-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-3.98&CDS=1-681	YIL118W
OG0003364	snap_masked-NADE0S17-processed-gene-3.17-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.17&CDS=1-1959	YLR234W
OG0003365	snap_masked-NADE0S17-processed-gene-3.32-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.32&CDS=1-1008	YLR239C
OG0003366	snap_masked-NADE0S17-processed-gene-3.33-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.33&CDS=1-1335	YDR195W
OG0003367	snap_masked-NADE0S17-processed-gene-3.20-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.20&CDS=1-2691	YLR240W
OG0003368	snap_masked-NADE0S17-processed-gene-3.21-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.21&CDS=1-2382	YLR241W
OG0003369	snap_masked-NADE0S17-processed-gene-3.34-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.34&CDS=1-255	YLR242C
OG0003370	snap_masked-NADE0S17-processed-gene-3.22-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.22&CDS=1-813	YLR243W
OG0003371	snap_masked-NADE0S17-processed-gene-3.35-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.35&CDS=1-1647	YDR188W
OG0003372	snap_masked-NADE0S17-processed-gene-3.36-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.36&CDS=1-1134	YLR244C
OG0003373	snap_masked-NADE0S17-processed-gene-3.37-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.37&CDS=1-447	YLR245C
OG0003374	snap_masked-NADE0S17-processed-gene-3.23-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.23&CDS=1-993	YGL091C
OG0003375	snap_masked-NADE0S17-processed-gene-3.38-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-3.38&CDS=1-3819	YGL092W
OG0003376	augustus_masked-NADE0S17-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-3.120&CDS=1-2226	YGL093W
OG0003377	snap_masked-NADE0S17-processed-gene-4.0-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.0&CDS=1-3270	YGL094C
OG0003378	snap_masked-NADE0S17-processed-gene-4.1-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.1&CDS=1-1764	YGL095C
OG0003379	snap_masked-NADE0S17-processed-gene-4.2-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.2&CDS=1-2013	YDR444W
OG0003380	augustus_masked-NADE0S17-processed-gene-4.52-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-4.52&CDS=1-1512	YBR138C
OG0003381	snap_masked-NADE0S17-processed-gene-4.30-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.30&CDS=1-1959	YLR401C
OG0003382	augustus_masked-NADE0S17-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-4.55&CDS=1-822	YLR404W
OG0003383	snap_masked-NADE0S17-processed-gene-4.7-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.7&CDS=1-1032	YLR405W
OG0003384	snap_masked-NADE0S17-processed-gene-4.8-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.8&CDS=1-777	YLR407W
OG0003385	snap_masked-NADE0S17-processed-gene-4.31-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.31&CDS=1-318	YLR408C
OG0003386	snap_masked-NADE0S17-processed-gene-4.32-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.32&CDS=1-2808	YLR409C
OG0003387	maker-NADE0S17-augustus-gene-4.87-mRNA-1_1&gene=maker-NADE0S17-augustus-gene-4.87&CDS=1-4299	YLR410W
OG0003388	snap_masked-NADE0S17-processed-gene-4.33-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.33&CDS=1-1608	YLR286C
OG0003389	snap_masked-NADE0S17-processed-gene-4.34-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.34&CDS=1-1032	YLR287C
OG0003390	snap_masked-NADE0S17-processed-gene-4.35-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.35&CDS=1-1302	YLR288C
OG0003391	snap_masked-NADE0S17-processed-gene-4.11-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.11&CDS=1-1110	YMR152W
OG0003392	snap_masked-NADE0S17-processed-gene-4.13-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.13&CDS=1-1575	YMR155W
OG0003393	snap_masked-NADE0S17-processed-gene-4.36-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.36&CDS=1-693	YMR156C
OG0003394	snap_masked-NADE0S17-processed-gene-4.37-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.37&CDS=1-690	YMR157C
OG0003395	snap_masked-NADE0S17-processed-gene-4.14-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.14&CDS=1-468	YMR158W
OG0003396	snap_masked-NADE0S17-processed-gene-4.15-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.15&CDS=1-1596	YBL099W
OG0003397	snap_masked-NADE0S17-processed-gene-4.16-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.16&CDS=1-2310	YBL097W
OG0003398	snap_masked-NADE0S17-processed-gene-4.17-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.17&CDS=1-717	YBL095W
OG0003399	augustus_masked-NADE0S17-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-4.80&CDS=1-2631	YMR160W
OG0003400	snap_masked-NADE0S17-processed-gene-4.18-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.18&CDS=1-360	YMR159C
OG0003401	snap_masked-NADE0S17-processed-gene-4.19-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.19&CDS=1-3123	YBL101C
OG0003402	augustus_masked-NADE0S17-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-4.81&CDS=1-642	YBL102W
OG0003403	snap_masked-NADE0S17-processed-gene-4.21-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.21&CDS=1-1242	YBL103C
OG0003404	snap_masked-NADE0S17-processed-gene-4.22-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.22&CDS=1-2970	YBL104C
OG0003405	snap_masked-NADE0S17-processed-gene-4.23-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.23&CDS=1-2283	YBL105C
OG0003406	augustus_masked-NADE0S17-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-NADE0S17-processed-gene-4.70&CDS=1-1365	YKL090W
OG0003407	snap_masked-NADE0S17-processed-gene-4.27-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.27&CDS=1-1602	YKL089W
OG0003408	snap_masked-NADE0S17-processed-gene-4.42-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.42&CDS=1-4398	YKL010C
OG0003409	snap_masked-NADE0S17-processed-gene-4.28-mRNA-1_1&gene=snap_masked-NADE0S17-processed-gene-4.28&CDS=1-708	YKL009W
