	Alloascoidea_hylecoeti	Saccharomyces_cerevisiae
OG0002305	-processed-gene-7.33-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-7.33&CDS=1-1782	YDR037W
OG0002306	-processed-gene-7.38-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-7.38&CDS=1-1176	YJR032W
OG0002307	-processed-gene-7.51-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-7.51&CDS=1-9618	YLL040C
OG0002308	-augustus-gene-7.109-mRNA-1_1&gene=maker-gi|1002318374|dbj|BCKZ01000009.1|-augustus-gene-7.109&CDS=1-2133	YGL026C
OG0002309	-processed-gene-7.42-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-7.42&CDS=1-2493	YGL027C
OG0002310	-processed-gene-7.81-mRNA-1_1&gene=snap_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-7.81&CDS=1-186	YJL127C-B
OG0002311	-processed-gene-7.46-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-7.46&CDS=1-1077	YOR228C
OG0002312	-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-7.61&CDS=1-1569	YHR137W
OG0002313	-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-7.62&CDS=1-1365	YLR212C
OG0002314	-processed-gene-8.25-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.25&CDS=1-4347	YBR255W
OG0002315	-processed-gene-8.3-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.3&CDS=1-2175	YMR301C
OG0002316	-augustus-gene-8.118-mRNA-1_1&gene=maker-gi|1002318374|dbj|BCKZ01000009.1|-augustus-gene-8.118&CDS=1-3036	YEL020C
OG0002317	-processed-gene-8.29-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.29&CDS=1-261	YEL020W-A
OG0002318	-processed-gene-8.7-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.7&CDS=1-795	YEL021W
OG0002319	-augustus-gene-8.113-mRNA-1_1&gene=maker-gi|1002318374|dbj|BCKZ01000009.1|-augustus-gene-8.113&CDS=1-2214	YHL024W
OG0002320	-augustus-gene-8.119-mRNA-1_1&gene=maker-gi|1002318374|dbj|BCKZ01000009.1|-augustus-gene-8.119&CDS=1-1731	YOR027W
OG0002321	-processed-gene-8.11-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.11&CDS=1-813	YPL162C
OG0002322	-processed-gene-8.12-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.12&CDS=1-1392	YOL052C
OG0002323	-processed-gene-8.85-mRNA-1_1&gene=genemark-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.85&CDS=1-1134	YMR097C
OG0002324	-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.35&CDS=1-1758	YMR221C
OG0002325	-processed-gene-8.14-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.14&CDS=1-1476	YDR036C
OG0002326	-processed-gene-8.39-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.39&CDS=1-1425	YPL235W
OG0002327	-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.17&CDS=1-1107	YPL236C
OG0002328	-augustus-gene-8.121-mRNA-1_1&gene=maker-gi|1002318374|dbj|BCKZ01000009.1|-augustus-gene-8.121&CDS=1-927	YPL246C
OG0002329	-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.41&CDS=1-732	YPL233W
OG0002330	-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.18&CDS=1-939	YNL181W
OG0002331	-processed-gene-8.21-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.21&CDS=1-2967	YOL021C
OG0002332	-processed-gene-8.44-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.44&CDS=1-2265	YFR009W
OG0002333	-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.22&CDS=1-1110	YDR035W
OG0002334	-processed-gene-8.45-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.45&CDS=1-1239	YBR057C
OG0002335	-processed-gene-8.46-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-8.46&CDS=1-2325	YBR058C
OG0002336	-augustus-gene-0.79-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-augustus-gene-0.79&CDS=1-8475	YPR117W
OG0002337	-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-0.33&CDS=1-1035	YDR435C
OG0002338	-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-0.50&CDS=1-1950	YMR307W
OG0002339	-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-0.39&CDS=1-1377	YGR255C
OG0002340	-augustus-gene-0.78-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-augustus-gene-0.78&CDS=1-1518	YGR155W
OG0002341	-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-1.40&CDS=1-3447	YPR022C
OG0002342	-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-1.56&CDS=1-4713	YGL173C
OG0002343	-augustus-gene-1.93-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-augustus-gene-1.93&CDS=1-363	YLL018C-A
OG0002344	-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-1.58&CDS=1-1155	YGL172W
OG0002345	-processed-gene-2.78-mRNA-1_1&gene=snap_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-2.78&CDS=1-1122	YKR034W
OG0002346	-snap-gene-2.72-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-snap-gene-2.72&CDS=1-2433	YLL034C
OG0002347	-augustus-gene-2.68-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-augustus-gene-2.68&CDS=1-966	YDL065C
OG0002348	-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-2.22&CDS=1-2928	YGL216W
OG0002349	-augustus-gene-2.70-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-augustus-gene-2.70&CDS=1-876	YLR439W
OG0002350	-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-2.12&CDS=1-273	YLR438C-A
OG0002351	-augustus-gene-2.71-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-augustus-gene-2.71&CDS=1-4326	YML059C
OG0002352	-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-2.13&CDS=1-2955	YGL201C
OG0002353	-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-2.15&CDS=1-2043	YGL236C
OG0002354	-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-2.29&CDS=1-1308	YLR438W
OG0002355	-processed-gene-2.114-mRNA-1_1&gene=snap_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-2.114&CDS=1-204	YDR086C
OG0002356	-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-3.44&CDS=1-1701	YMR296C
OG0002357	-augustus-gene-3.1-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-augustus-gene-3.1&CDS=1-894	YMR314W
OG0002358	-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-3.50&CDS=1-408	YJR044C
OG0002359	-processed-gene-3.53-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-3.53&CDS=1-930	YGR284C
OG0002360	-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-3.54&CDS=1-642	YIR032C
OG0002361	-processed-gene-3.103-mRNA-1_1&gene=genemark-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-3.103&CDS=1-1905	YBR103W
OG0002362	-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-3.72&CDS=1-3126	YNL243W
OG0002363	-snap-gene-4.35-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-snap-gene-4.35&CDS=1-3168	YJL197W
OG0002364	-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-4.66&CDS=1-3759	YLR222C
OG0002365	-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-4.72&CDS=1-948	YKL128C
OG0002366	-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-4.86&CDS=1-1470	YJR122W
OG0002367	-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-4.77&CDS=1-1566	YKR063C
OG0002368	-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-5.37&CDS=1-591	YLR390W-A
OG0002369	-processed-gene-5.42-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-5.42&CDS=1-4824	YMR247C
OG0002370	-augustus-gene-5.64-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-augustus-gene-5.64&CDS=1-1203	YGR257C
OG0002371	-processed-gene-5.45-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-5.45&CDS=1-4188	YHR186C
OG0002372	-processed-gene-5.46-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-5.46&CDS=1-2124	YHR074W
OG0002373	-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-5.60&CDS=1-1224	YHR075C
OG0002374	-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-6.10&CDS=1-1692	YOR128C
OG0002375	-processed-gene-6.9-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-6.9&CDS=1-2652	YOR002W
OG0002376	-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-6.12&CDS=1-1572	YNL240C
OG0002377	-augustus-gene-6.2-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-augustus-gene-6.2&CDS=1-1590	YKL089W
OG0002378	-processed-gene-6.18-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-6.18&CDS=1-933	YMR241W
OG0002379	-augustus-gene-6.4-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-augustus-gene-6.4&CDS=1-1164	YDL029W
OG0002380	-processed-gene-6.28-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-6.28&CDS=1-444	YJL124C
OG0002381	-augustus-gene-6.6-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-augustus-gene-6.6&CDS=1-1131	YDL022W
OG0002382	-processed-gene-6.25-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-6.25&CDS=1-3495	YIL126W
OG0002383	-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-6.30&CDS=1-966	YJR095W
OG0002384	-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-6.32&CDS=1-1536	YNL311C
OG0002385	-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-6.35&CDS=1-1890	YNL045W
OG0002386	-processed-gene-7.53-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-7.53&CDS=1-1179	YOR007C
OG0002387	-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-7.59&CDS=1-1866	YOR334W
OG0002388	-processed-gene-7.77-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-7.77&CDS=1-3861	YDL195W
OG0002389	-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-7.65&CDS=1-555	YEL012W
OG0002390	-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-7.68&CDS=1-369	YKL003C
OG0002391	-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-7.69&CDS=1-1197	YHL004W
OG0002392	-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-7.82&CDS=1-2124	YHL010C
OG0002393	-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-8.32&CDS=1-999	YOR077W
OG0002394	-processed-gene-8.6-mRNA-1_1&gene=genemark-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-8.6&CDS=1-2352	YKL155C
OG0002395	-processed-gene-8.37-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-8.37&CDS=1-2154	YKL146W
OG0002396	-processed-gene-8.39-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-8.39&CDS=1-1320	YKL145W
OG0002397	-snap-gene-8.69-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-snap-gene-8.69&CDS=1-597	YKL144C
OG0002398	-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-8.40&CDS=1-1932	YKL148C
OG0002399	-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-8.42&CDS=1-1797	YIL155C
OG0002400	-processed-gene-8.54-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-8.54&CDS=1-1053	YLR151C
OG0002401	-processed-gene-8.44-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-8.44&CDS=1-642	YIL157C
OG0002402	-processed-gene-8.55-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-8.55&CDS=1-999	YOR079C
OG0002403	-processed-gene-8.46-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-8.46&CDS=1-2505	YOR080W
OG0002404	-processed-gene-8.47-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-8.47&CDS=1-219	YIL156W-B
OG0002405	-processed-gene-8.48-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-8.48&CDS=1-3162	YBR074W
OG0002406	-processed-gene-8.61-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-8.61&CDS=1-1713	YKL140W
OG0002407	-processed-gene-9.149-mRNA-1_1&gene=snap_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-9.149&CDS=1-705	YBR119W
OG0002408	-processed-gene-9.153-mRNA-1_1&gene=snap_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-9.153&CDS=1-366	YPR084W
OG0002409	-processed-gene-9.38-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-9.38&CDS=1-351	YLR099W-A
OG0002410	-processed-gene-9.12-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-9.12&CDS=1-1641	YDR120C
OG0002411	-processed-gene-9.14-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-9.14&CDS=1-1023	YPR004C
OG0002412	-processed-gene-9.199-mRNA-1_1&gene=snap_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-9.199&CDS=1-1032	YLR097C
OG0002413	-processed-gene-9.201-mRNA-1_1&gene=snap_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-9.201&CDS=1-1221	YIL110W
OG0002414	-processed-gene-9.50-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-9.50&CDS=1-4569	YIL112W
OG0002415	-processed-gene-9.51-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-9.51&CDS=1-1029	YIL113W
OG0002416	-processed-gene-9.21-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-9.21&CDS=1-1197	YJR068W
OG0002417	-snap-gene-9.138-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-snap-gene-9.138&CDS=1-2598	YDL154W
OG0002418	-augustus-gene-9.136-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-augustus-gene-9.136&CDS=1-423	YBR254C
OG0002419	-processed-gene-9.55-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-9.55&CDS=1-912	YIR011C
OG0002420	-processed-gene-9.173-mRNA-1_1&gene=snap_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-9.173&CDS=1-2865	YFR016C
OG0002421	-processed-gene-9.33-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-9.33&CDS=1-3369	YPL022W
OG0002422	-snap-gene-9.145-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-snap-gene-9.145&CDS=1-2763	YDL206W
OG0002423	-augustus-gene-9.133-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-augustus-gene-9.133&CDS=1-594	YDR246W
OG0002424	-processed-gene-9.35-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-9.35&CDS=1-885	YPL041C
OG0002425	-augustus-gene-0.117-mRNA-1_1&gene=maker-gi|1002318376|dbj|BCKZ01000007.1|-augustus-gene-0.117&CDS=1-3489	YBR281C
OG0002426	-augustus-gene-0.119-mRNA-1_1&gene=maker-gi|1002318376|dbj|BCKZ01000007.1|-augustus-gene-0.119&CDS=1-1080	YAL034W-A
OG0002427	-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-0.37&CDS=1-951	YOR340C
OG0002428	-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-0.54&CDS=1-1113	YLR216C
OG0002429	-processed-gene-0.103-mRNA-1_1&gene=snap_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-0.103&CDS=1-1458	YDL139C
OG0002430	-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-0.65&CDS=1-513	YMR039C
OG0002431	-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-0.66&CDS=1-234	YHR001W-A
OG0002432	-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-1.56&CDS=1-2652	YKR009C
OG0002433	-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-1.45&CDS=1-1689	YEL060C
OG0002434	-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-1.61&CDS=1-2703	YJL132W
OG0002435	-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-1.63&CDS=1-1743	YOR067C
OG0002436	-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-1.64&CDS=1-1083	YKR071C
OG0002437	-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-2.80&CDS=1-756	YNL129W
OG0002438	-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-2.81&CDS=1-3735	YHR119W
OG0002439	-processed-gene-2.38-mRNA-1_1&gene=genemark-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-2.38&CDS=1-534	YLR221C
OG0002440	-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-2.68&CDS=1-1287	YDR083W
OG0002441	-processed-gene-2.21-mRNA-1_1&gene=snap_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-2.21&CDS=1-225	YDR079C-A
OG0002442	-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-2.87&CDS=1-942	YJR100C
OG0002443	-augustus-gene-3.138-mRNA-1_1&gene=maker-gi|1002318376|dbj|BCKZ01000007.1|-augustus-gene-3.138&CDS=1-240	YFL017W-A
OG0002444	-augustus-gene-3.141-mRNA-1_1&gene=maker-gi|1002318376|dbj|BCKZ01000007.1|-augustus-gene-3.141&CDS=1-588	YPL010W
OG0002445	-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-3.60&CDS=1-591	YPL011C
OG0002446	-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-3.76&CDS=1-3627	YPL012W
OG0002447	-augustus-gene-3.140-mRNA-1_1&gene=maker-gi|1002318376|dbj|BCKZ01000007.1|-augustus-gene-3.140&CDS=1-360	YPL013C
OG0002448	-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-3.80&CDS=1-2904	YDL031W
OG0002449	-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-3.63&CDS=1-339	YDR357C
OG0002450	-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-3.65&CDS=1-1713	YOL122C
OG0002451	-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-3.82&CDS=1-1479	YGR260W
OG0002452	-augustus-gene-3.143-mRNA-1_1&gene=maker-gi|1002318376|dbj|BCKZ01000007.1|-augustus-gene-3.143&CDS=1-960	YNL315C
OG0002453	-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-3.85&CDS=1-765	YOL073C
OG0002454	-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-3.69&CDS=1-1677	YNL308C
OG0002455	-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-3.70&CDS=1-2724	YNL313C
OG0002456	-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-3.71&CDS=1-3012	YPL115C
OG0002457	-processed-gene-3.135-mRNA-1_1&gene=snap_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-3.135&CDS=1-1269	YOR196C
OG0002458	-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-4.39&CDS=1-1374	YPL051W
OG0002459	-augustus-gene-4.105-mRNA-1_1&gene=maker-gi|1002318376|dbj|BCKZ01000007.1|-augustus-gene-4.105&CDS=1-2019	YBR203W
OG0002460	-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-4.58&CDS=1-3279	YBL063W
OG0002461	-processed-gene-4.43-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-4.43&CDS=1-879	YBL064C
OG0002462	-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-4.61&CDS=1-1047	YER095W
OG0002463	-processed-gene-4.79-mRNA-1_1&gene=genemark-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-4.79&CDS=1-612	YBL057C
OG0002464	-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-4.63&CDS=1-1071	YBL058W
OG0002465	-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-4.50&CDS=1-3210	YOL087C
OG0002466	-processed-gene-5.0-mRNA-1_1&gene=snap_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-5.0&CDS=1-216	YGL127C
OG0002467	-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-5.97&CDS=1-1551	YBR222C
OG0002468	-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-5.101&CDS=1-747	YKL063C
OG0002469	-processed-gene-5.118-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-5.118&CDS=1-693	YMR038C
