	Saccharomyces_cerevisiae	yHMPu5000034883_Peterozyma_xylosa
OG0003212	YOR048C	snap_masked-flattened_line_8-processed-gene-4.131-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.131&CDS=1-3069
OG0003213	YOR049C	snap_masked-flattened_line_2-processed-gene-7.15-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-7.15&CDS=1-1275
OG0003214	YOR051C	snap_masked-flattened_line_32-processed-gene-1.133-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.133&CDS=1-1398
OG0003215	YOR052C	snap_masked-flattened_line_32-processed-gene-1.112-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.112&CDS=1-546
OG0003216	YOR056C	snap_masked-flattened_line_10-processed-gene-3.78-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.78&CDS=1-1389
OG0003217	YOR057W	snap_masked-flattened_line_10-processed-gene-3.56-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.56&CDS=1-1026
OG0003218	YOR058C	snap_masked-flattened_line_10-processed-gene-3.79-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.79&CDS=1-2760
OG0003219	YOR059C	genemark-flattened_line_12-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.99&CDS=1-1467
OG0003220	YOR063W	genemark-flattened_line_16-processed-gene-2.74-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.74&CDS=1-1161
OG0003221	YOR065W	snap_masked-flattened_line_2-processed-gene-5.95-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-5.95&CDS=1-906
OG0003222	YOR067C	snap_masked-flattened_line_14-processed-gene-1.97-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.97&CDS=1-1695
OG0003223	YOR069W	snap_masked-flattened_line_10-processed-gene-2.54-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.54&CDS=1-2043
OG0003224	YOR070C	snap_masked-flattened_line_16-processed-gene-4.49-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-4.49&CDS=1-1644
OG0003225	YOR073W	augustus_masked-flattened_line_20-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-3.130&CDS=1-1722
OG0003226	YOR074C	snap_masked-flattened_line_50-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.77&CDS=1-900
OG0003227	YOR075W	snap_masked-flattened_line_10-processed-gene-2.77-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.77&CDS=1-990
OG0003228	YOR077W	snap_masked-flattened_line_32-processed-gene-1.106-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.106&CDS=1-984
OG0003229	YOR079C	snap_masked-flattened_line_14-processed-gene-2.70-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.70&CDS=1-924
OG0003230	YOR080W	augustus_masked-flattened_line_32-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.15&CDS=1-2403
OG0003231	YOR084W	snap_masked-flattened_line_10-processed-gene-3.75-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.75&CDS=1-1095
OG0003232	YOR087W	snap_masked-flattened_line_34-processed-gene-1.105-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.105&CDS=1-1968
OG0003233	YOR090C	snap_masked-flattened_line_18-processed-gene-4.124-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-4.124&CDS=1-1659
OG0003234	YOR091W	snap_masked-flattened_line_18-processed-gene-4.92-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-4.92&CDS=1-1116
OG0003235	YOR093C	snap_masked-flattened_line_42-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.59&CDS=1-4491
OG0003236	YOR095C	snap_masked-flattened_line_18-processed-gene-4.131-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-4.131&CDS=1-714
OG0003237	YOR096W	snap_masked-flattened_line_18-processed-gene-4.96-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-4.96&CDS=1-567
OG0003238	YOR099W	snap_masked-flattened_line_16-processed-gene-4.80-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-4.80&CDS=1-1242
OG0003239	YOR100C	snap_masked-flattened_line_24-processed-gene-3.92-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-3.92&CDS=1-855
OG0003240	YOR103C	snap_masked-flattened_line_0-processed-gene-4.42-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.42&CDS=1-438
OG0003241	YOR104W	snap_masked-flattened_line_0-processed-gene-6.24-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.24&CDS=1-489
OG0003242	YOR107W	snap_masked-flattened_line_36-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.6&CDS=1-981
OG0003243	YOR111W	genemark-flattened_line_8-processed-gene-1.0-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.0&CDS=1-657
OG0003244	YOR112W	snap_masked-flattened_line_36-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.7&CDS=1-2259
OG0003245	YOR113W	snap_masked-flattened_line_36-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.8&CDS=1-2604
OG0003246	YOR115C	snap_masked-flattened_line_0-processed-gene-6.25-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.25&CDS=1-801
OG0003247	YOR116C	snap_masked-flattened_line_12-processed-gene-3.98-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-3.98&CDS=1-4362
OG0003248	YOR117W	maker-flattened_line_4-augustus-gene-7.131-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-7.131&CDS=1-3021
OG0003249	YOR118W	snap_masked-flattened_line_16-processed-gene-2.148-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.148&CDS=1-1761
OG0003250	YOR119C	snap_masked-flattened_line_2-processed-gene-8.65-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-8.65&CDS=1-1485
OG0003251	YOR122C	maker-flattened_line_12-snap-gene-2.2-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-2.2&CDS=1-378
OG0003252	YOR123C	snap_masked-flattened_line_12-processed-gene-2.157-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.157&CDS=1-1188
OG0003253	YOR124C	augustus_masked-flattened_line_52-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.76&CDS=1-4929
OG0003254	YOR125C	genemark-flattened_line_32-processed-gene-2.101-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-2.101&CDS=1-732
OG0003255	YOR126C	snap_masked-flattened_line_8-processed-gene-5.76-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-5.76&CDS=1-765
OG0003256	YOR128C	snap_masked-flattened_line_52-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.7&CDS=1-1701
OG0003257	YOR130C	snap_masked-flattened_line_16-processed-gene-4.64-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-4.64&CDS=1-975
OG0003258	YOR131C	maker-flattened_line_8-snap-gene-4.139-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-4.139&CDS=1-690
OG0003259	YOR132W	snap_masked-flattened_line_8-processed-gene-4.105-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.105&CDS=1-1728
OG0003260	YOR136W	snap_masked-flattened_line_4-processed-gene-8.120-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-8.120&CDS=1-1095
OG0003261	YOR141C	snap_masked-flattened_line_20-processed-gene-4.75-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-4.75&CDS=1-2466
OG0003262	YOR142W	genemark-flattened_line_20-processed-gene-3.32-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-3.32&CDS=1-972
OG0003263	YOR143C	snap_masked-flattened_line_20-processed-gene-4.77-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-4.77&CDS=1-984
OG0003264	YOR145C	genemark-flattened_line_2-processed-gene-6.64-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.64&CDS=1-777
OG0003265	YOR149C	genemark-flattened_line_20-processed-gene-4.31-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-4.31&CDS=1-1692
OG0003266	YOR150W	snap_masked-flattened_line_16-processed-gene-3.119-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-3.119&CDS=1-510
OG0003267	YOR151C	snap_masked-flattened_line_16-processed-gene-3.118-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-3.118&CDS=1-3729
OG0003268	YOR154W	snap_masked-flattened_line_12-processed-gene-1.86-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.86&CDS=1-2529
OG0003269	YOR157C	maker-flattened_line_4-snap-gene-8.216-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-8.216&CDS=1-780
OG0003270	YOR158W	snap_masked-flattened_line_16-processed-gene-4.9-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-4.9&CDS=1-927
OG0003271	YOR159C	snap_masked-flattened_line_16-processed-gene-4.13-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-4.13&CDS=1-273
OG0003272	YOR160W	snap_masked-flattened_line_16-processed-gene-4.11-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-4.11&CDS=1-2886
OG0003273	YOR163W	snap_masked-flattened_line_40-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.25&CDS=1-606
OG0003274	YOR164C	snap_masked-flattened_line_40-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.6&CDS=1-942
OG0003275	YOR165W	snap_masked-flattened_line_40-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.24&CDS=1-2361
OG0003276	YOR166C	snap_masked-flattened_line_40-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.30&CDS=1-1482
OG0003277	YOR168W	snap_masked-flattened_line_40-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.23&CDS=1-2397
OG0003278	YOR174W	genemark-flattened_line_40-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.53&CDS=1-831
OG0003279	YOR175C	snap_masked-flattened_line_40-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.36&CDS=1-1842
OG0003280	YOR176W	augustus_masked-flattened_line_40-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.89&CDS=1-1149
OG0003281	YOR181W	snap_masked-flattened_line_48-processed-gene-0.140-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.140&CDS=1-2340
OG0003282	YOR184W	snap_masked-flattened_line_28-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.80&CDS=1-1182
OG0003283	YOR187W	snap_masked-flattened_line_28-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.51&CDS=1-1296
OG0003284	YOR188W	snap_masked-flattened_line_28-processed-gene-1.124-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.124&CDS=1-3618
OG0003285	YOR191W	snap_masked-flattened_line_28-processed-gene-0.61-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.61&CDS=1-3969
OG0003286	YOR194C	maker-flattened_line_10-snap-gene-0.77-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-0.77&CDS=1-813
OG0003287	YOR196C	snap_masked-flattened_line_0-processed-gene-2.21-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.21&CDS=1-1185
OG0003288	YOR197W	snap_masked-flattened_line_10-processed-gene-4.23-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-4.23&CDS=1-1131
OG0003289	YOR198C	snap_masked-flattened_line_12-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.89&CDS=1-1386
OG0003290	YOR201C	snap_masked-flattened_line_36-processed-gene-1.99-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.99&CDS=1-1449
OG0003291	YOR202W	snap_masked-flattened_line_36-processed-gene-1.72-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.72&CDS=1-675
OG0003292	YOR204W	snap_masked-flattened_line_6-processed-gene-7.181-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-7.181&CDS=1-1956
OG0003293	YOR205C	genemark-flattened_line_28-processed-gene-2.139-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-2.139&CDS=1-1899
OG0003294	YOR206W	snap_masked-flattened_line_28-processed-gene-2.64-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-2.64&CDS=1-2205
OG0003295	YOR207C	snap_masked-flattened_line_4-processed-gene-6.64-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-6.64&CDS=1-3474
OG0003296	YOR209C	snap_masked-flattened_line_22-processed-gene-3.54-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-3.54&CDS=1-1263
OG0003297	YOR210W	snap_masked-flattened_line_22-processed-gene-2.143-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-2.143&CDS=1-213
OG0003298	YOR211C	snap_masked-flattened_line_28-processed-gene-2.37-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-2.37&CDS=1-2628
OG0003299	YOR212W	augustus_masked-flattened_line_4-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.45&CDS=1-1263
OG0003300	YOR215C	maker-flattened_line_12-snap-gene-5.2-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-5.2&CDS=1-558
OG0003301	YOR216C	snap_masked-flattened_line_12-processed-gene-5.75-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-5.75&CDS=1-1434
OG0003302	YOR217W	maker-flattened_line_12-augustus-gene-5.138-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-5.138&CDS=1-2805
OG0003303	YOR223W	snap_masked-flattened_line_34-processed-gene-1.147-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.147&CDS=1-789
OG0003304	YOR224C	snap_masked-flattened_line_22-processed-gene-4.78-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-4.78&CDS=1-447
OG0003305	YOR228C	snap_masked-flattened_line_28-processed-gene-2.38-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-2.38&CDS=1-921
OG0003306	YOR232W	snap_masked-flattened_line_12-processed-gene-5.73-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-5.73&CDS=1-681
OG0003307	YOR238W	snap_masked-flattened_line_4-processed-gene-7.15-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-7.15&CDS=1-696
OG0003308	YOR239W	snap_masked-flattened_line_0-processed-gene-8.83-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.83&CDS=1-966
OG0003309	YOR241W	maker-flattened_line_0-snap-gene-8.48-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-8.48&CDS=1-1449
OG0003310	YOR242C	genemark-flattened_line_16-processed-gene-2.90-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.90&CDS=1-1452
OG0003311	YOR243C	snap_masked-flattened_line_16-processed-gene-2.139-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.139&CDS=1-2187
OG0003312	YOR245C	snap_masked-flattened_line_2-processed-gene-3.102-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.102&CDS=1-1296
OG0003313	YOR246C	snap_masked-flattened_line_34-processed-gene-1.101-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.101&CDS=1-990
OG0003314	YOR250C	snap_masked-flattened_line_12-processed-gene-0.91-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.91&CDS=1-1467
OG0003315	YOR251C	snap_masked-flattened_line_14-processed-gene-3.42-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-3.42&CDS=1-870
OG0003316	YOR252W	snap_masked-flattened_line_0-processed-gene-11.108-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.108&CDS=1-534
OG0003317	YOR254C	snap_masked-flattened_line_6-processed-gene-2.104-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.104&CDS=1-1932
OG0003318	YOR257W	maker-flattened_line_8-snap-gene-3.93-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-3.93&CDS=1-456
OG0003319	YOR258W	snap_masked-flattened_line_34-processed-gene-1.100-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.100&CDS=1-645
OG0003320	YOR259C	snap_masked-flattened_line_34-processed-gene-1.102-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.102&CDS=1-1272
OG0003321	YOR260W	snap_masked-flattened_line_34-processed-gene-1.143-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.143&CDS=1-1371
OG0003322	YOR261C	snap_masked-flattened_line_24-processed-gene-2.93-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.93&CDS=1-1089
OG0003323	YOR262W	snap_masked-flattened_line_14-processed-gene-5.150-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-5.150&CDS=1-1116
OG0003324	YOR265W	snap_masked-flattened_line_24-processed-gene-2.70-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.70&CDS=1-330
OG0003325	YOR269W	snap_masked-flattened_line_22-processed-gene-4.86-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-4.86&CDS=1-1491
OG0003326	YOR271C	snap_masked-flattened_line_24-processed-gene-2.83-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.83&CDS=1-981
OG0003327	YOR272W	snap_masked-flattened_line_0-processed-gene-10.91-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.91&CDS=1-1380
OG0003328	YOR273C	snap_masked-flattened_line_24-processed-gene-3.125-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-3.125&CDS=1-2007
OG0003329	YOR274W	genemark-flattened_line_0-processed-gene-11.22-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.22&CDS=1-1338
OG0003330	YOR275C	snap_masked-flattened_line_0-processed-gene-11.110-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.110&CDS=1-2643
OG0003331	YOR276W	maker-flattened_line_0-snap-gene-11.0-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-11.0&CDS=1-462
OG0003332	YOR278W	snap_masked-flattened_line_54-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.50&CDS=1-807
OG0003333	YOR281C	snap_masked-flattened_line_4-processed-gene-2.139-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.139&CDS=1-768
OG0003334	YOR283W	maker-flattened_line_0-snap-gene-1.58-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-1.58&CDS=1-1293
OG0003335	YOR286W	snap_masked-flattened_line_30-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.87&CDS=1-600
OG0003336	YOR287C	snap_masked-flattened_line_30-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.60&CDS=1-927
OG0003337	YOR288C	maker-flattened_line_30-augustus-gene-0.98-mRNA-1_1&gene=maker-flattened_line_30-augustus-gene-0.98&CDS=1-1188
OG0003338	YOR289W	snap_masked-flattened_line_2-processed-gene-4.8-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.8&CDS=1-615
OG0003339	YOR291W	snap_masked-flattened_line_4-processed-gene-8.95-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-8.95&CDS=1-4287
OG0003340	YOR292C	genemark-flattened_line_4-processed-gene-8.201-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-8.201&CDS=1-867
OG0003341	YOR294W	snap_masked-flattened_line_0-processed-gene-7.76-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.76&CDS=1-600
OG0003342	YOR296W	augustus_masked-flattened_line_0-processed-gene-11.139-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-11.139&CDS=1-7242
OG0003343	YOR298C-A	snap_masked-flattened_line_30-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.90&CDS=1-456
OG0003344	YOR301W	snap_masked-flattened_line_10-processed-gene-2.62-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.62&CDS=1-1458
OG0003345	YOR303W	snap_masked-flattened_line_26-processed-gene-2.12-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-2.12&CDS=1-1290
OG0003346	YOR305W	augustus_masked-flattened_line_26-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.138&CDS=1-696
OG0003347	YOR307C	snap_masked-flattened_line_26-processed-gene-0.111-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.111&CDS=1-1413
OG0003348	YOR308C	snap_masked-flattened_line_18-processed-gene-1.93-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.93&CDS=1-1629
OG0003349	YOR310C	snap_masked-flattened_line_4-processed-gene-6.65-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-6.65&CDS=1-1524
OG0003350	YOR311C	snap_masked-flattened_line_4-processed-gene-8.102-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-8.102&CDS=1-852
OG0003351	YOR313C	snap_masked-flattened_line_4-processed-gene-8.133-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-8.133&CDS=1-927
OG0003352	YOR315W	augustus_masked-flattened_line_4-processed-gene-8.20-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-8.20&CDS=1-1575
OG0003353	YOR317W	genemark-flattened_line_6-processed-gene-6.83-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-6.83&CDS=1-2100
OG0003354	YOR319W	snap_masked-flattened_line_12-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.68&CDS=1-876
OG0003355	YOR320C	maker-flattened_line_0-snap-gene-9.165-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-9.165&CDS=1-1230
OG0003356	YOR322C	snap_masked-flattened_line_30-processed-gene-1.136-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.136&CDS=1-2142
OG0003357	YOR323C	snap_masked-flattened_line_40-processed-gene-1.114-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.114&CDS=1-1341
OG0003358	YOR327C	snap_masked-flattened_line_40-processed-gene-1.107-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.107&CDS=1-321
OG0003359	YOR329C	snap_masked-flattened_line_6-processed-gene-3.115-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.115&CDS=1-2322
OG0003360	YOR330C	snap_masked-flattened_line_16-processed-gene-2.134-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.134&CDS=1-3345
OG0003361	YOR332W	snap_masked-flattened_line_6-processed-gene-3.138-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.138&CDS=1-687
OG0003362	YOR334W	snap_masked-flattened_line_6-processed-gene-3.137-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.137&CDS=1-1707
OG0003363	YOR335C	snap_masked-flattened_line_8-processed-gene-2.124-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.124&CDS=1-2877
OG0003364	YOR336W	snap_masked-flattened_line_34-processed-gene-0.81-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.81&CDS=1-4482
OG0003365	YOR339C	augustus_masked-flattened_line_16-processed-gene-4.252-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-4.252&CDS=1-492
OG0003366	YOR340C	snap_masked-flattened_line_16-processed-gene-4.74-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-4.74&CDS=1-888
OG0003367	YOR341W	snap_masked-flattened_line_20-processed-gene-4.139-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-4.139&CDS=1-4932
OG0003368	YOR344C	snap_masked-flattened_line_46-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.18&CDS=1-897
OG0003369	YOR346W	snap_masked-flattened_line_0-processed-gene-5.82-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.82&CDS=1-3546
OG0003370	YOR349W	snap_masked-flattened_line_24-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.85&CDS=1-3357
OG0003371	YOR352W	snap_masked-flattened_line_60-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.3&CDS=1-1095
OG0003372	YOR353C	snap_masked-flattened_line_40-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.33&CDS=1-2418
OG0003373	YOR355W	maker-flattened_line_46-snap-gene-0.119-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.119&CDS=1-3201
OG0003374	YOR356W	maker-flattened_line_46-snap-gene-0.115-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.115&CDS=1-4143
OG0003375	YOR357C	snap_masked-flattened_line_6-processed-gene-2.81-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.81&CDS=1-483
OG0003376	YOR358W	snap_masked-flattened_line_6-processed-gene-2.103-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.103&CDS=1-864
OG0003377	YOR359W	snap_masked-flattened_line_10-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.62&CDS=1-1878
OG0003378	YOR360C	snap_masked-flattened_line_10-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.64&CDS=1-1647
OG0003379	YOR361C	snap_masked-flattened_line_6-processed-gene-3.135-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.135&CDS=1-2196
OG0003380	YOR362C	genemark-flattened_line_6-processed-gene-3.89-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.89&CDS=1-756
OG0003381	YOR367W	snap_masked-flattened_line_6-processed-gene-5.27-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-5.27&CDS=1-669
OG0003382	YOR368W	snap_masked-flattened_line_6-processed-gene-5.26-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-5.26&CDS=1-1785
OG0003383	YOR369C	snap_masked-flattened_line_6-processed-gene-5.9-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-5.9&CDS=1-435
OG0003384	YOR370C	snap_masked-flattened_line_6-processed-gene-5.8-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-5.8&CDS=1-1848
OG0003385	YOR373W	snap_masked-flattened_line_22-processed-gene-1.38-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.38&CDS=1-3339
