	Metschnikowia_mauinuiana	Saccharomyces_cerevisiae
OG0002249	genemark-mau_s3-processed-gene-1.17-mRNA-1_1&gene=genemark-mau_s3-processed-gene-1.17&CDS=1-963	YMR055C
OG0002250	snap_masked-mau_s3-processed-gene-1.145-mRNA-1_1&gene=snap_masked-mau_s3-processed-gene-1.145&CDS=1-1779	YKL074C
OG0002251	genemark-mau_s3-processed-gene-1.38-mRNA-1_1&gene=genemark-mau_s3-processed-gene-1.38&CDS=1-2694	YKL073W
OG0002252	augustus_masked-mau_s3-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-1.65&CDS=1-282	YER074W-A
OG0002253	augustus_masked-mau_s3-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-1.86&CDS=1-453	YDR397C
OG0002254	augustus_masked-mau_s3-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-1.66&CDS=1-1188	YPR186C
OG0002255	augustus_masked-mau_s3-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-1.90&CDS=1-4863	YNL139C
OG0002256	augustus_masked-mau_s3-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.91&CDS=1-4488	YPR184W
OG0002257	maker-mau_s3-snap-gene-2.44-mRNA-1_1&gene=maker-mau_s3-snap-gene-2.44&CDS=1-2061	YGR194C
OG0002258	augustus_masked-mau_s3-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.95&CDS=1-1419	YJR003C
OG0002259	augustus_masked-mau_s3-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.96&CDS=1-1101	YIR034C
OG0002260	augustus_masked-mau_s3-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.113&CDS=1-1194	YKL021C
OG0002261	augustus_masked-mau_s3-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.97&CDS=1-2049	YKL022C
OG0002262	augustus_masked-mau_s3-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.98&CDS=1-1305	YGR223C
OG0002263	augustus_masked-mau_s3-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.99&CDS=1-2292	YLL013C
OG0002264	augustus_masked-mau_s3-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.120&CDS=1-1836	YER049W
OG0002265	augustus_masked-mau_s3-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.100&CDS=1-1599	YER052C
OG0002266	maker-mau_s3-augustus-gene-2.2-mRNA-1_1&gene=maker-mau_s3-augustus-gene-2.2&CDS=1-1464	YLR212C
OG0002267	augustus_masked-mau_s3-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.124&CDS=1-2451	YML076C
OG0002268	augustus_masked-mau_s3-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.103&CDS=1-3693	YJR131W
OG0002269	maker-mau_s3-snap-gene-2.47-mRNA-1_1&gene=maker-mau_s3-snap-gene-2.47&CDS=1-3621	YOR188W
OG0002270	augustus_masked-mau_s3-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.126&CDS=1-1908	YLR299W
OG0002271	maker-mau_s3-snap-gene-2.48-mRNA-1_1&gene=maker-mau_s3-snap-gene-2.48&CDS=1-5349	YBR155W
OG0002272	augustus_masked-mau_s3-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.109&CDS=1-1275	YOR187W
OG0002273	augustus_masked-mau_s3-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.110&CDS=1-4647	YNL172W
OG0002274	augustus_masked-mau_s3-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.111&CDS=1-1809	YNL169C
OG0002275	augustus_masked-mau_s3-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.112&CDS=1-855	YFL034C-B
OG0002276	genemark-mau_s3-processed-gene-3.46-mRNA-1_1&gene=genemark-mau_s3-processed-gene-3.46&CDS=1-3915	YFL036W
OG0002277	augustus_masked-mau_s3-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.109&CDS=1-3198	YDR060W
OG0002278	augustus_masked-mau_s3-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.93&CDS=1-1422	YDR403W
OG0002279	augustus_masked-mau_s3-processed-gene-3.110-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.110&CDS=1-1191	YPL138C
OG0002280	augustus_masked-mau_s3-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.94&CDS=1-501	YGL231C
OG0002281	augustus_masked-mau_s3-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.113&CDS=1-873	YGL232W
OG0002282	augustus_masked-mau_s3-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.114&CDS=1-864	YMR314W
OG0002283	augustus_masked-mau_s3-processed-gene-3.115-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.115&CDS=1-2580	YGL233W
OG0002284	augustus_masked-mau_s3-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.117&CDS=1-642	YIR032C
OG0002285	augustus_masked-mau_s3-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.98&CDS=1-2613	YBR179C
OG0002286	genemark-mau_s3-processed-gene-3.77-mRNA-1_1&gene=genemark-mau_s3-processed-gene-3.77&CDS=1-1554	YMR155W
OG0002287	augustus_masked-mau_s3-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.99&CDS=1-372	YDL092W
OG0002288	augustus_masked-mau_s3-processed-gene-3.101-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.101&CDS=1-867	YDL111C
OG0002289	augustus_masked-mau_s3-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.122&CDS=1-4224	YDL112W
OG0002290	augustus_masked-mau_s3-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.123&CDS=1-2091	YDL113C
OG0002291	augustus_masked-mau_s3-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.103&CDS=1-2352	YDL116W
OG0002292	augustus_masked-mau_s3-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.124&CDS=1-1272	YDL097C
OG0002293	augustus_masked-mau_s3-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.104&CDS=1-1380	YDR316W
OG0002294	augustus_masked-mau_s3-processed-gene-3.105-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.105&CDS=1-1158	YGL143C
OG0002295	augustus_masked-mau_s3-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.106&CDS=1-348	YIR009W
OG0002296	augustus_masked-mau_s3-processed-gene-3.126-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.126&CDS=1-1623	YER014W
OG0002297	augustus_masked-mau_s3-processed-gene-3.129-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.129&CDS=1-2913	YIL075C
OG0002298	augustus_masked-mau_s3-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-3.130&CDS=1-1398	YER081W
OG0002299	augustus_masked-mau_s3-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-4.54&CDS=1-717	YPL051W
OG0002300	augustus_masked-mau_s3-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-4.59&CDS=1-624	YBR171W
OG0002301	genemark-mau_s3-processed-gene-4.110-mRNA-1_1&gene=genemark-mau_s3-processed-gene-4.110&CDS=1-4089	YER008C
OG0002302	augustus_masked-mau_s3-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-4.80&CDS=1-2733	YJL187C
OG0002303	genemark-mau_s3-processed-gene-4.133-mRNA-1_1&gene=genemark-mau_s3-processed-gene-4.133&CDS=1-513	YGR029W
OG0002304	maker-mau_s3-snap-gene-4.99-mRNA-1_1&gene=maker-mau_s3-snap-gene-4.99&CDS=1-2289	YNL001W
OG0002305	maker-mau_s3-augustus-gene-4.53-mRNA-1_1&gene=maker-mau_s3-augustus-gene-4.53&CDS=1-426	YGL106W
OG0002306	augustus_masked-mau_s3-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-4.66&CDS=1-3237	YOL034W
OG0002307	augustus_masked-mau_s3-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-4.88&CDS=1-1581	YOL033W
OG0002308	augustus_masked-mau_s3-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-4.69&CDS=1-447	YJR044C
OG0002309	genemark-mau_s3-processed-gene-4.141-mRNA-1_1&gene=genemark-mau_s3-processed-gene-4.141&CDS=1-801	YAL014C
OG0002310	augustus_masked-mau_s3-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-4.70&CDS=1-669	YJL055W
OG0002311	augustus_masked-mau_s3-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-4.90&CDS=1-909	YNL036W
OG0002312	augustus_masked-mau_s3-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-4.72&CDS=1-699	YNL129W
OG0002313	augustus_masked-mau_s3-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-4.92&CDS=1-954	YKR030W
OG0002314	genemark-mau_s3-processed-gene-4.148-mRNA-1_1&gene=genemark-mau_s3-processed-gene-4.148&CDS=1-1848	YKR017C
OG0002315	augustus_masked-mau_s3-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-4.74&CDS=1-363	YJL104W
OG0002316	augustus_masked-mau_s3-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-4.96&CDS=1-549	YHR148W
OG0002317	augustus_masked-mau_s3-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-4.77&CDS=1-663	YHR147C
OG0002318	augustus_masked-mau_s3-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-4.78&CDS=1-840	YGR220C
OG0002319	augustus_masked-mau_s3-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-4.97&CDS=1-1455	YBR003W
OG0002320	augustus_masked-mau_s3-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.87&CDS=1-3237	YGR218W
OG0002321	augustus_masked-mau_s3-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.88&CDS=1-606	YDR002W
OG0002322	augustus_masked-mau_s3-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.110&CDS=1-1236	YIL042C
OG0002323	augustus_masked-mau_s3-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.91&CDS=1-1551	YER051W
OG0002324	augustus_masked-mau_s3-processed-gene-5.111-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.111&CDS=1-1248	YOL058W
OG0002325	augustus_masked-mau_s3-processed-gene-5.93-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.93&CDS=1-726	YNL056W
OG0002326	augustus_masked-mau_s3-processed-gene-5.94-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.94&CDS=1-2487	YGL027C
OG0002327	augustus_masked-mau_s3-processed-gene-5.95-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.95&CDS=1-1104	YMR135C
OG0002328	augustus_masked-mau_s3-processed-gene-5.113-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.113&CDS=1-660	YMR134W
OG0002329	augustus_masked-mau_s3-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.97&CDS=1-618	YOR289W
OG0002330	augustus_masked-mau_s3-processed-gene-5.100-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.100&CDS=1-1074	YBR087W
OG0002331	maker-mau_s3-augustus-gene-5.1-mRNA-1_1&gene=maker-mau_s3-augustus-gene-5.1&CDS=1-657	YKL041W
OG0002332	maker-mau_s3-snap-gene-5.44-mRNA-1_1&gene=maker-mau_s3-snap-gene-5.44&CDS=1-2031	YPR047W
OG0002333	augustus_masked-mau_s3-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.119&CDS=1-1794	YPR048W
OG0002334	augustus_masked-mau_s3-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.120&CDS=1-1419	YMR023C
OG0002335	augustus_masked-mau_s3-processed-gene-5.104-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.104&CDS=1-888	YOR311C
OG0002336	augustus_masked-mau_s3-processed-gene-5.124-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.124&CDS=1-6882	YPL085W
OG0002337	augustus_masked-mau_s3-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.106&CDS=1-1440	YBR182C
OG0002338	augustus_masked-mau_s3-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.109&CDS=1-1248	YHR004C
OG0002339	augustus_masked-mau_s3-processed-gene-6.4-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.4&CDS=1-1866	YBR123C
OG0002340	augustus_masked-mau_s3-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.29&CDS=1-690	YOR232W
OG0002341	maker-mau_s3-augustus-gene-6.165-mRNA-1_1&gene=maker-mau_s3-augustus-gene-6.165&CDS=1-2952	YIL094C
OG0002342	augustus_masked-mau_s3-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.30&CDS=1-1425	YNL022C
OG0002343	augustus_masked-mau_s3-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.31&CDS=1-2730	YNL021W
OG0002344	genemark-mau_s3-processed-gene-6.80-mRNA-1_1&gene=genemark-mau_s3-processed-gene-6.80&CDS=1-1128	YNL035C
OG0002345	augustus_masked-mau_s3-processed-gene-6.9-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.9&CDS=1-2034	YNL039W
OG0002346	augustus_masked-mau_s3-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.10&CDS=1-660	YNL038W
OG0002347	augustus_masked-mau_s3-processed-gene-6.11-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.11&CDS=1-4287	YDL240W
OG0002348	augustus_masked-mau_s3-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.12&CDS=1-258	YGL220W
OG0002349	augustus_masked-mau_s3-processed-gene-6.33-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.33&CDS=1-1527	YOL137W
OG0002350	augustus_masked-mau_s3-processed-gene-6.13-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.13&CDS=1-822	YGL221C
OG0002351	augustus_masked-mau_s3-processed-gene-6.36-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.36&CDS=1-1413	YJL054W
OG0002352	augustus_masked-mau_s3-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.37&CDS=1-1161	YNR029C
OG0002353	augustus_masked-mau_s3-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.14&CDS=1-1833	YNR030W
OG0002354	snap_masked-mau_s3-processed-gene-6.152-mRNA-1_1&gene=snap_masked-mau_s3-processed-gene-6.152&CDS=1-2991	YLL003W
OG0002355	augustus_masked-mau_s3-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.39&CDS=1-510	YJL096W
OG0002356	augustus_masked-mau_s3-processed-gene-6.40-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.40&CDS=1-1080	YNL191W
OG0002357	snap_masked-mau_s3-processed-gene-6.156-mRNA-1_1&gene=snap_masked-mau_s3-processed-gene-6.156&CDS=1-1221	YGL169W
OG0002358	augustus_masked-mau_s3-processed-gene-6.42-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.42&CDS=1-3036	YGL241W
OG0002359	augustus_masked-mau_s3-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.21&CDS=1-3720	YDR104C
OG0002360	augustus_masked-mau_s3-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.22&CDS=1-1482	YJL123C
OG0002361	augustus_masked-mau_s3-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.45&CDS=1-969	YJL126W
OG0002362	augustus_masked-mau_s3-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-6.24&CDS=1-1260	YLR191W
OG0002363	snap_masked-mau_s3-processed-gene-6.164-mRNA-1_1&gene=snap_masked-mau_s3-processed-gene-6.164&CDS=1-1365	YLL002W
OG0002364	augustus_masked-mau_s31-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-mau_s31-processed-gene-0.17&CDS=1-657	YNL107W
OG0002365	augustus_masked-mau_s31-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mau_s31-processed-gene-0.1&CDS=1-366	YNL070W
OG0002366	augustus_masked-mau_s31-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mau_s31-processed-gene-0.2&CDS=1-891	YIL134W
OG0002367	augustus_masked-mau_s31-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-mau_s31-processed-gene-0.3&CDS=1-1071	YNL072W
OG0002368	augustus_masked-mau_s31-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-mau_s31-processed-gene-0.4&CDS=1-1464	YNL071W
OG0002369	augustus_masked-mau_s31-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-mau_s31-processed-gene-0.7&CDS=1-636	YOR111W
OG0002370	augustus_masked-mau_s31-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-mau_s31-processed-gene-0.8&CDS=1-801	YNL110C
OG0002371	augustus_masked-mau_s31-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-mau_s31-processed-gene-0.24&CDS=1-1251	YGR193C
OG0002372	augustus_masked-mau_s31-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-mau_s31-processed-gene-0.28&CDS=1-1185	YOR057W
OG0002373	augustus_masked-mau_s31-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-mau_s31-processed-gene-0.29&CDS=1-858	YPR143W
OG0002374	augustus_masked-mau_s31-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-mau_s31-processed-gene-0.13&CDS=1-1887	YPR141C
OG0002375	augustus_masked-mau_s31-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-mau_s31-processed-gene-0.31&CDS=1-1221	YPR140W
OG0002376	augustus_masked-mau_s32-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-mau_s32-processed-gene-0.20&CDS=1-1251	YML005W
OG0002377	augustus_masked-mau_s34-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-mau_s34-processed-gene-0.15&CDS=1-306	YDR031W
OG0002378	augustus_masked-mau_s34-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-mau_s34-processed-gene-0.20&CDS=1-636	YLR250W
OG0002379	augustus_masked-mau_s34-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-mau_s34-processed-gene-0.16&CDS=1-540	YOR163W
OG0002380	augustus_masked-mau_s34-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-mau_s34-processed-gene-0.21&CDS=1-915	YOR164C
OG0002381	genemark-mau_s37-processed-gene-0.14-mRNA-1_1&gene=genemark-mau_s37-processed-gene-0.14&CDS=1-3354	YGR274C
OG0002382	augustus_masked-mau_s37-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-mau_s37-processed-gene-0.23&CDS=1-894	YBR176W
OG0002383	genemark-mau_s37-processed-gene-0.10-mRNA-1_1&gene=genemark-mau_s37-processed-gene-0.10&CDS=1-975	YML004C
OG0002384	augustus_masked-mau_s37-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-mau_s37-processed-gene-0.20&CDS=1-1431	YCR079W
OG0002385	augustus_masked-mau_s37-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-mau_s37-processed-gene-0.24&CDS=1-273	YNR037C
OG0002386	augustus_masked-mau_s37-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-mau_s37-processed-gene-0.21&CDS=1-2016	YNR038W
OG0002387	augustus_masked-mau_s37-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-mau_s37-processed-gene-0.25&CDS=1-747	YPL157W
OG0002388	augustus_masked-mau_s38-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-mau_s38-processed-gene-0.26&CDS=1-3819	YOR296W
OG0002389	augustus_masked-mau_s38-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-mau_s38-processed-gene-0.29&CDS=1-600	YOR294W
OG0002390	augustus_masked-mau_s38-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-mau_s38-processed-gene-0.30&CDS=1-1938	YAL048C
OG0002391	augustus_masked-mau_s38-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-mau_s38-processed-gene-0.21&CDS=1-360	YAL046C
OG0002392	augustus_masked-mau_s38-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-mau_s38-processed-gene-0.32&CDS=1-2181	YOR361C
OG0002393	snap_masked-mau_s38-processed-gene-0.58-mRNA-1_1&gene=snap_masked-mau_s38-processed-gene-0.58&CDS=1-726	YOR362C
OG0002394	maker-mau_s38-snap-gene-0.36-mRNA-1_1&gene=maker-mau_s38-snap-gene-0.36&CDS=1-1287	YOL003C
OG0002395	augustus_masked-mau_s38-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-mau_s38-processed-gene-0.25&CDS=1-1425	YIL097W
OG0002396	augustus_masked-mau_s38-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-mau_s38-processed-gene-0.35&CDS=1-1191	YIL096C
OG0002397	augustus_masked-mau_s39-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.66&CDS=1-1533	YDR539W
OG0002398	augustus_masked-mau_s39-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.44&CDS=1-807	YDR538W
OG0002399	augustus_masked-mau_s39-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.45&CDS=1-2388	YJR126C
OG0002400	augustus_masked-mau_s39-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.69&CDS=1-2448	YGR099W
OG0002401	snap_masked-mau_s39-processed-gene-0.4-mRNA-1_1&gene=snap_masked-mau_s39-processed-gene-0.4&CDS=1-1107	YKL114C
OG0002402	augustus_masked-mau_s39-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.49&CDS=1-4098	YKL113C
OG0002403	augustus_masked-mau_s39-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.70&CDS=1-750	YOL038W
OG0002404	augustus_masked-mau_s39-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.50&CDS=1-387	YIR015W
OG0002405	augustus_masked-mau_s39-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.71&CDS=1-420	YOL026C
OG0002406	augustus_masked-mau_s39-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.72&CDS=1-1449	YGL253W
OG0002407	augustus_masked-mau_s39-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.51&CDS=1-846	YPL076W
OG0002408	augustus_masked-mau_s39-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.52&CDS=1-2232	YBR198C
OG0002409	augustus_masked-mau_s39-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.54&CDS=1-705	YGR057C
OG0002410	maker-mau_s39-augustus-gene-0.41-mRNA-1_1&gene=maker-mau_s39-augustus-gene-0.41&CDS=1-1437	YMR035W
OG0002411	augustus_masked-mau_s39-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.56&CDS=1-945	YHR062C
OG0002412	augustus_masked-mau_s39-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.76&CDS=1-1008	YNL230C
OG0002413	augustus_masked-mau_s39-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.58&CDS=1-1017	YER142C
OG0002414	augustus_masked-mau_s39-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.60&CDS=1-1209	YDR083W
OG0002415	augustus_masked-mau_s39-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.62&CDS=1-2328	YER125W
OG0002416	augustus_masked-mau_s39-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.63&CDS=1-972	YPR023C
OG0002417	augustus_masked-mau_s39-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.64&CDS=1-549	YDL217C
OG0002418	augustus_masked-mau_s39-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-1.51&CDS=1-1062	YNL141W
OG0002419	augustus_masked-mau_s39-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-1.57&CDS=1-396	YBL078C
OG0002420	augustus_masked-mau_s39-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-1.53&CDS=1-1500	YBL080C
OG0002421	augustus_masked-mau_s39-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-1.58&CDS=1-1083	YKL178C
OG0002422	augustus_masked-mau_s39-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-1.81&CDS=1-3309	YER110C
OG0002423	augustus_masked-mau_s39-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-1.82&CDS=1-1191	YDR021W
OG0002424	augustus_masked-mau_s39-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-1.59&CDS=1-699	YDR020C
OG0002425	augustus_masked-mau_s39-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-1.60&CDS=1-1209	YDR415C
OG0002426	augustus_masked-mau_s39-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-1.84&CDS=1-417	YCR028C-A
OG0002427	augustus_masked-mau_s39-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-1.62&CDS=1-714	YPR037C
