	Ambrosiozyma_kashinagacola	Saccharomyces_cerevisiae
OG0003051	-augustus-gene-15.1-mRNA-1_1&gene=maker-gi|1002316255|dbj|BCGA01000002.1|-augustus-gene-15.1&CDS=1-363	YKL003C
OG0003052	-snap-gene-15.214-mRNA-1_1&gene=maker-gi|1002316255|dbj|BCGA01000002.1|-snap-gene-15.214&CDS=1-1404	YPR083W
OG0003053	-processed-gene-15.155-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.155&CDS=1-471	YER030W
OG0003054	-processed-gene-15.156-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.156&CDS=1-3048	YGL207W
OG0003055	-processed-gene-15.186-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.186&CDS=1-7218	YBR136W
OG0003056	-processed-gene-15.187-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.187&CDS=1-300	YBR135W
OG0003057	-processed-gene-15.157-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.157&CDS=1-2403	YBR133C
OG0003058	-processed-gene-15.189-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.189&CDS=1-1251	YLR097C
OG0003059	-processed-gene-15.159-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.159&CDS=1-1254	YDR124W
OG0003060	-processed-gene-15.191-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.191&CDS=1-2676	YKR079C
OG0003061	-processed-gene-15.160-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.160&CDS=1-5163	YMR229C
OG0003062	-processed-gene-15.161-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.161&CDS=1-1881	YHL010C
OG0003063	-processed-gene-15.162-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.162&CDS=1-1614	YPR045C
OG0003064	-processed-gene-15.193-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.193&CDS=1-735	YJR099W
OG0003065	-processed-gene-15.195-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.195&CDS=1-1236	YDR083W
OG0003066	-processed-gene-15.164-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.164&CDS=1-1140	YIL063C
OG0003067	-processed-gene-15.199-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.199&CDS=1-717	YIL064W
OG0003068	-processed-gene-15.165-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.165&CDS=1-1035	YNL274C
OG0003069	-processed-gene-15.167-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.167&CDS=1-1824	YPL169C
OG0003070	-processed-gene-15.202-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.202&CDS=1-978	YKR030W
OG0003071	-processed-gene-15.169-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.169&CDS=1-867	YBR039W
OG0003072	-processed-gene-15.203-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.203&CDS=1-1197	YBR045C
OG0003073	-processed-gene-15.170-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.170&CDS=1-1395	YDR023W
OG0003074	-processed-gene-15.204-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.204&CDS=1-1188	YDR021W
OG0003075	-snap-gene-15.211-mRNA-1_1&gene=maker-gi|1002316255|dbj|BCGA01000002.1|-snap-gene-15.211&CDS=1-690	YDR020C
OG0003076	-processed-gene-15.173-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.173&CDS=1-1065	YDR371W
OG0003077	-processed-gene-15.72-mRNA-1_1&gene=genemark-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-15.72&CDS=1-732	YGR001C
OG0003078	-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-0.91&CDS=1-1731	YGR186W
OG0003079	-augustus-gene-0.1-mRNA-1_1&gene=maker-gi|1002316256|dbj|BCGA01000001.1|-augustus-gene-0.1&CDS=1-1119	YGR187C
OG0003080	-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-0.114&CDS=1-210	YGR183C
OG0003081	-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-0.115&CDS=1-5535	YGR184C
OG0003082	-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-0.93&CDS=1-5478	YLR024C
OG0003083	-snap-gene-0.47-mRNA-1_1&gene=maker-gi|1002316256|dbj|BCGA01000001.1|-snap-gene-0.47&CDS=1-5154	YGL078C
OG0003084	-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-0.97&CDS=1-822	YPL196W
OG0003085	-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-0.98&CDS=1-2124	YJL012C
OG0003086	-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-0.99&CDS=1-1341	YLL006W
OG0003087	-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-0.101&CDS=1-1338	YGR202C
OG0003088	-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-0.102&CDS=1-330	YGR203W
OG0003089	-snap-gene-0.45-mRNA-1_1&gene=maker-gi|1002316256|dbj|BCGA01000001.1|-snap-gene-0.45&CDS=1-2724	YGR258C
OG0003090	-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-0.120&CDS=1-891	YHR187W
OG0003091	-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-0.106&CDS=1-2571	YGR261C
OG0003092	-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-0.107&CDS=1-321	YGR181W
OG0003093	-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.47&CDS=1-1344	YML126C
OG0003094	-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.50&CDS=1-753	YMR200W
OG0003095	-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.48&CDS=1-3354	YMR288W
OG0003096	-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.51&CDS=1-1299	YOR212W
OG0003097	-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.67&CDS=1-804	YPL129W
OG0003098	-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.72&CDS=1-4587	YPR184W
OG0003099	-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.74&CDS=1-291	YBL028C
OG0003100	-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.75&CDS=1-2202	YBR083W
OG0003101	-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.76&CDS=1-3477	YDR060W
OG0003102	-augustus-gene-1.94-mRNA-1_1&gene=maker-gi|1002316256|dbj|BCGA01000001.1|-augustus-gene-1.94&CDS=1-759	YDR381W
OG0003103	-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.57&CDS=1-330	YDR382W
OG0003104	-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.81&CDS=1-2703	YML093W
OG0003105	-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.60&CDS=1-1143	YHR112C
OG0003106	-processed-gene-1.16-mRNA-1_1&gene=snap_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.16&CDS=1-2142	YDR362C
OG0003107	-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.82&CDS=1-1326	YHR111W
OG0003108	-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.83&CDS=1-639	YHR110W
OG0003109	-augustus-gene-1.96-mRNA-1_1&gene=maker-gi|1002316256|dbj|BCGA01000001.1|-augustus-gene-1.96&CDS=1-798	YDR367W
OG0003110	-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.62&CDS=1-1515	YOR119C
OG0003111	-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.86&CDS=1-1857	YOR118W
OG0003112	-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.63&CDS=1-1950	YDR365C
OG0003113	-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.87&CDS=1-597	YDR032C
OG0003114	-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.88&CDS=1-2730	YPR194C
OG0003115	-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.90&CDS=1-1395	YDR375C
OG0003116	-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.66&CDS=1-4125	YOR124C
OG0003117	-snap-gene-2.134-mRNA-1_1&gene=maker-gi|1002316256|dbj|BCGA01000001.1|-snap-gene-2.134&CDS=1-1335	YDR372C
OG0003118	-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-2.99&CDS=1-378	YOR122C
OG0003119	-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-2.100&CDS=1-1281	YOR123C
OG0003120	-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-2.96&CDS=1-951	YER016W
OG0003121	-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-2.118&CDS=1-1962	YHR188C
OG0003122	-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-2.119&CDS=1-3984	YOL075C
OG0003123	-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-2.105&CDS=1-2067	YNR006W
OG0003124	-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-2.107&CDS=1-1374	YOL031C
OG0003125	-snap-gene-2.136-mRNA-1_1&gene=maker-gi|1002316256|dbj|BCGA01000001.1|-snap-gene-2.136&CDS=1-3597	YFL034W
OG0003126	-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-2.123&CDS=1-1767	YLR060W
OG0003127	-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-2.111&CDS=1-612	YFL005W
OG0003128	-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-2.126&CDS=1-4641	YCR081W
OG0003129	-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-2.112&CDS=1-1215	YGR223C
OG0003130	-snap-gene-2.137-mRNA-1_1&gene=maker-gi|1002316256|dbj|BCGA01000001.1|-snap-gene-2.137&CDS=1-3366	YLR051C
OG0003131	-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.10&CDS=1-573	YJR014W
OG0003132	-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.11&CDS=1-1215	YPR140W
OG0003133	-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.14&CDS=1-2061	YPR141C
OG0003134	-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.15&CDS=1-1485	YFL022C
OG0003135	-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.31&CDS=1-1716	YML054C
OG0003136	-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.17&CDS=1-6720	YJL130C
OG0003137	-augustus-gene-3.92-mRNA-1_1&gene=maker-gi|1002316256|dbj|BCGA01000001.1|-augustus-gene-3.92&CDS=1-624	YJR073C
OG0003138	-augustus-gene-3.93-mRNA-1_1&gene=maker-gi|1002316256|dbj|BCGA01000001.1|-augustus-gene-3.93&CDS=1-1254	YJR076C
OG0003139	-processed-gene-3.59-mRNA-1_1&gene=genemark-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.59&CDS=1-828	YOR278W
OG0003140	-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.35&CDS=1-3366	YMR218C
OG0003141	-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.36&CDS=1-363	YKL160W
OG0003142	-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.20&CDS=1-1170	YHR052W
OG0003143	-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.24&CDS=1-1389	YMR014W
OG0003144	-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.25&CDS=1-1563	YER168C
OG0003145	-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.39&CDS=1-2490	YKL056C
OG0003146	-processed-gene-3.83-mRNA-1_1&gene=genemark-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.83&CDS=1-1179	YLR340W
OG0003147	-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.42&CDS=1-3816	YLR336C
OG0003148	-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.26&CDS=1-1062	YGR028W
OG0003149	-processed-gene-3.115-mRNA-1_1&gene=snap_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.115&CDS=1-981	YOR026W
OG0003150	-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.44&CDS=1-2112	YDR479C
OG0003151	-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.48&CDS=1-1728	YOR027W
OG0003152	-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-3.29&CDS=1-1629	YDR257C
OG0003153	-processed-gene-4.5-mRNA-1_1&gene=genemark-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.5&CDS=1-3702	YGR233C
OG0003154	-processed-gene-4.110-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.110&CDS=1-1332	YOR025W
OG0003155	-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.105&CDS=1-318	YJL199C
OG0003156	-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.111&CDS=1-1254	YGR210C
OG0003157	-processed-gene-4.132-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.132&CDS=1-2169	YKL022C
OG0003158	-processed-gene-4.114-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.114&CDS=1-1101	YIR034C
OG0003159	-processed-gene-4.133-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.133&CDS=1-1245	YKL021C
OG0003160	-processed-gene-4.116-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.116&CDS=1-1092	YPL050C
OG0003161	-processed-gene-4.134-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.134&CDS=1-288	YBR268W
OG0003162	-processed-gene-4.118-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.118&CDS=1-1890	YGL073W
OG0003163	-processed-gene-4.142-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.142&CDS=1-1038	YDR400W
OG0003164	-augustus-gene-4.1-mRNA-1_1&gene=maker-gi|1002316256|dbj|BCGA01000001.1|-augustus-gene-4.1&CDS=1-3228	YMR155W
OG0003165	-processed-gene-4.145-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.145&CDS=1-3882	YDR335W
OG0003166	-processed-gene-4.127-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.127&CDS=1-1365	YDR316W
OG0003167	-processed-gene-4.128-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.128&CDS=1-762	YDR302W
OG0003168	-processed-gene-4.129-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.129&CDS=1-4344	YDR459C
OG0003169	-processed-gene-4.146-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.146&CDS=1-2442	YML035C
OG0003170	-processed-gene-4.147-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.147&CDS=1-1698	YLL018C
OG0003171	-processed-gene-4.148-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.148&CDS=1-1818	YDR091C
OG0003172	-processed-gene-4.30-mRNA-1_1&gene=genemark-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.30&CDS=1-798	YPL199C
OG0003173	-processed-gene-4.98-mRNA-1_1&gene=snap_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-4.98&CDS=1-441	YPL225W
OG0003174	-processed-gene-5.93-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.93&CDS=1-876	YMR178W
OG0003175	-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.98&CDS=1-5235	YMR176W
OG0003176	-processed-gene-5.116-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.116&CDS=1-1341	YDL090C
OG0003177	-processed-gene-5.100-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.100&CDS=1-1116	YPR178W
OG0003178	-processed-gene-5.118-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.118&CDS=1-1011	YPR180W
OG0003179	-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.101&CDS=1-2028	YPR179C
OG0003180	-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.102&CDS=1-1263	YOR216C
OG0003181	-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.120&CDS=1-828	YGL050W
OG0003182	-processed-gene-5.104-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.104&CDS=1-1077	YCR019W
OG0003183	-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.105&CDS=1-438	YDR462W
OG0003184	-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.106&CDS=1-549	YML036W
OG0003185	-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.107&CDS=1-2238	YJL061W
OG0003186	-processed-gene-5.125-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.125&CDS=1-396	YBR269C
OG0003187	-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.108&CDS=1-2562	YJL062W
OG0003188	-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.126&CDS=1-3558	YPL226W
OG0003189	-processed-gene-5.127-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.127&CDS=1-2673	YMR066W
OG0003190	-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.129&CDS=1-1752	YML130C
OG0003191	-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.130&CDS=1-3315	YML099C
OG0003192	-processed-gene-5.131-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.131&CDS=1-390	YML098W
OG0003193	-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.109&CDS=1-438	YCL033C
OG0003194	-processed-gene-5.133-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.133&CDS=1-930	YML004C
OG0003195	-processed-gene-5.134-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.134&CDS=1-7242	YIL129C
OG0003196	-processed-gene-5.135-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.135&CDS=1-1572	YHR045W
OG0003197	-processed-gene-5.136-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.136&CDS=1-1098	YHR071W
OG0003198	-processed-gene-5.111-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.111&CDS=1-2625	YLR166C
OG0003199	-processed-gene-5.137-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.137&CDS=1-4713	YDR180W
OG0003200	-processed-gene-5.112-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.112&CDS=1-1101	YDR202C
OG0003201	-processed-gene-6.118-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-6.118&CDS=1-2178	YHR072W
OG0003202	-processed-gene-6.119-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-6.119&CDS=1-1542	YPL003W
OG0003203	-processed-gene-6.121-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-6.121&CDS=1-672	YKL070W
OG0003204	-processed-gene-6.103-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-6.103&CDS=1-1146	YNL084C
OG0003205	-processed-gene-6.123-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-6.123&CDS=1-3189	YIL128W
OG0003206	-processed-gene-6.124-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-6.124&CDS=1-1701	YDR536W
OG0003207	-snap-gene-6.143-mRNA-1_1&gene=maker-gi|1002316256|dbj|BCGA01000001.1|-snap-gene-6.143&CDS=1-1650	YPR169W
OG0003208	-processed-gene-6.126-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-6.126&CDS=1-2460	YJR113C
OG0003209	-processed-gene-6.127-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-6.127&CDS=1-429	YPR168W
OG0003210	-processed-gene-6.105-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-6.105&CDS=1-810	YPR167C
OG0003211	-processed-gene-6.106-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-6.106&CDS=1-606	YPR165W
OG0003212	-processed-gene-6.129-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-6.129&CDS=1-1296	YCL034W
OG0003213	-processed-gene-6.82-mRNA-1_1&gene=genemark-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-6.82&CDS=1-1320	YHR005C
OG0003214	-processed-gene-6.84-mRNA-1_1&gene=genemark-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-6.84&CDS=1-1992	YKL025C
OG0003215	-processed-gene-6.108-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-6.108&CDS=1-777	YIR035C
OG0003216	-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-6.110&CDS=1-2508	YNL041C
OG0003217	-processed-gene-6.132-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-6.132&CDS=1-1272	YIL103W
